0.107762342002030;	0.070614842675711;	0.037613915034799;	0.032559641812005;
0.111573169839935;	0.073941419454553;	0.039421056372250;	0.033875502279497;
0.114168448264933;	0.076017867548705;	0.040533329961814;	0.034726704172318;
0.116359015933915;	0.077792246211914;	0.041483791157931;	0.035450060065024;
0.118296306128567;	0.079295284574141;	0.042284110903284;	0.036075060448178;
0.120106949883913;	0.080666453155436;	0.043012660680050;	0.036653513449550;
0.121832848829560;	0.081908702930074;	0.043668915920416;	0.037190778273762;
0.126149797446556;	0.085778708050315;	0.047006332359364;	0.062064456740096;
0.127683534952504;	0.086884829346644;	0.047594144981279;	0.062568390285122;
0.129188490474050;	0.087984240035571;	0.048179585320975;	0.063071103458361;
0.130803708861962;	0.089139936685030;	0.048794882459470;	0.063597888339970;
0.132296412067300;	0.090217259343463;	0.049372345519158;	0.064113968691218;
0.133878147993537;	0.091340884246679;	0.049998404037543;	0.065195476699691;
0.135423044247518;	0.092470673468573;	0.050640617799997;	0.066468031223836;
0.136929162926934;	0.093547789576180;	0.051223327311245;	0.067031199867287;
0.138529634055219;	0.094714716182476;	0.051856664705406;	0.067628167519266;
0.144735884508932;	0.105713087242462;	0.075069172253714;	0.073739098470489;
0.146570191009385;	0.107268024050743;	0.075963031111816;	0.075548911729510;
0.148255104125035;	0.108676640812887;	0.076790948715389;	0.076357505935249;
0.149906520518458;	0.109978945621820;	0.077541647164179;	0.077072741843180;
0.151765673756210;	0.111433122521559;	0.078436679383647;	0.078945969421358;
0.153518837356070;	0.112790999635412;	0.079248345718320;	0.080278015278114;
0.155201774563239;	0.114173806742971;	0.080070020177862;	0.081236935526893;
0.157061789334532;	0.115604852106541;	0.080922070087861;	0.082638120160169;
0.159007881417369;	0.117223196873019;	0.081908303092439;	0.084365694714120;
0.160825102207055;	0.118637892492124;	0.082745774852341;	0.085591199572437;
0.162771164492819;	0.120291540241118;	0.083755954246368;	0.087428945557793;
0.164809869814526;	0.121909395814988;	0.084829306717580;	0.089021425720553;
0.166909378350770;	0.123720330245422;	0.085991093681911;	0.090679915322956;
