0.000000000000000;	0.023798804210566;	0.013480915013610;	0.005907656655896;
0.003670437013336;	0.002865761538979;	0.001593849365960;	0.001249324776976;
0.003095009903283;	0.002463116651266;	0.001371023953374;	0.001063850905277;
0.002738677838329;	0.002112557743080;	0.001167760201977;	0.000922042333287;
0.002553163058642;	0.001939826716297;	0.001068092187209;	0.000850921852679;
0.002429464854293;	0.001769403223007;	0.000967154964483;	0.000789762553602;
0.006010118597186;	0.005413265589151;	0.004682950437614;	0.029150140391932;
0.002139289192839;	0.001574813534172;	0.000863282799616;	0.000734944980638;
0.002094718124522;	0.001566301428326;	0.000860220443404;	0.000726243565083;
0.002235758160490;	0.001638327086883;	0.000897407887017;	0.000757508118008;
0.002055080823643;	0.001521410215563;	0.000836625453961;	0.000735046755530;
0.002195751252412;	0.001605477839649;	0.000924539394363;	0.001550588255113;
0.002133544507047;	0.001605400368818;	0.000944219239727;	0.001804719906407;
0.002047568354198;	0.001499805460673;	0.000828973560841;	0.000789768600524;
0.002165434838560;	0.001613977362660;	0.000894608833893;	0.000834600699335;
0.008923719276252;	0.014575460793697;	0.028408885218411;	0.008647589748186;
0.002559190262374;	0.002217276556313;	0.001336581144014;	0.002630244881560;
0.002290848030092;	0.001961389625805;	0.001180030986392;	0.001158513441974;
0.002214018238123;	0.001789345382954;	0.001050498883973;	0.000998076478127;
0.002522066027518;	0.002025337512466;	0.001279591817584;	0.002701672875351;
0.002348137045837;	0.001867649914861;	0.001142542849549;	0.001918966349221;
0.002232276971551;	0.001880445444140;	0.001136438222700;	0.001352613780105;
0.002464788175053;	0.001945217878010;	0.001185306642457;	0.001986805209668;
0.002600529698187;	0.002217057640179;	0.001384333043239;	0.002509821508715;
0.002379855436830;	0.001900833435343;	0.001147513220100;	0.001739057203756;
0.002582294732030;	0.002251966909402;	0.001408678609637;	0.002632187353501;
0.002669851957048;	0.002173771097994;	0.001464905297674;	0.002286720037429;
0.002753838538962;	0.002437016341599;	0.001589958645677;	0.002353971015467;
0.002513525615184;	0.002169766097622;	0.001470649263718;	0.002680661679103;
0.002842372571060;	0.002432462638487;	0.001561881517558;	0.002240803970458;
0.002692668924162;	0.002316659960083;	0.001526613753335;	0.002619611917798;
0.002773311664937;	0.002508354088560;	0.001705495236364;	0.002476693586997;
0.002986395279358;	0.002603559408438;	0.001844429153991;	0.002822095166552;
0.002964181381996;	0.002725334772755;	0.001987471905399;	0.002675574356652;
0.002829393088827;	0.002558193197651;	0.001819323087947;	0.002712052981529;
0.003259567178509;	0.002978032963346;	0.002155257045036;	0.002985819373084;
0.002939053132461;	0.002758298965736;	0.002041887281417;	0.002658648802465;
0.003311342333066;	0.003127442017429;	0.002508222332315;	0.003459804634554;
0.003193621790865;	0.002964192601530;	0.002281392502187;	0.002661041512404;
0.003266095417822;	0.003188900596173;	0.002615147031129;	0.003638669402126;
0.003507529037340;	0.003339385354662;	0.002695470241448;	0.002951474956092;
0.003479858421334;	0.003360923337985;	0.002901978897644;	0.003494117360869;
0.003389103359223;	0.003400475440264;	0.002905303536719;	0.003238723474951;
0.003764434736602;	0.003665045357982;	0.003264691143468;	0.003522507906779;
0.003715594280845;	0.003673409879533;	0.003279009742581;	0.003547088605768;
0.003667893868081;	0.003779080840095;	0.003405202587177;	0.003843956171318;
0.003910064479220;	0.003857933198862;	0.003566010155619;	0.003598502797121;
0.004032335330733;	0.004016137771838;	0.003774313294837;	0.004024131275537;
0.003760490445960;	0.004008715666115;	0.003848798111990;	0.003910212204039;
0.004246696852500;	0.004350866579292;	0.004372325788154;	0.004170013018326;
0.004324909530709;	0.004420622983874;	0.004220041298494;	0.004364706358355;
0.004131245253642;	0.004488861505118;	0.004626460551242;	0.004240303736129;
0.004380170390510;	0.004475956686944;	0.004503508067774;	0.004531819534249;
0.004525302393830;	0.004733683614774;	0.004763036255204;	0.004516911615546;
0.004312140032566;	0.004640449495876;	0.004775183914400;	0.004669767678281;
0.004744180395925;	0.005005364325691;	0.005243226027678;	0.005349841260357;
0.004768548305303;	0.005021436870207;	0.005204867697218;	0.004935242626815;
