0.131718543683275;	0.083113676176751;	0.079136951717077;	0.049047725508533;
0.006461585336162;	0.004644722712621;	0.000000000000000;	0.000000000000000;
0.005357723316833;	0.004136564153513;	0.000000000000000;	0.000000000000000;
0.004868809065318;	0.003450692892405;	0.000000000000000;	0.000000000000000;
0.004610795742642;	0.003138046712528;	0.000000000000000;	0.000000000000000;
0.004521552053906;	0.002709084100830;	0.000000000000000;	0.000000000000000;
0.004111372438098;	0.002493109326997;	0.000000000000000;	0.001977812117233;
0.003948993962168;	0.002469772218118;	0.000000000000000;	0.003955624234466;
0.003818608147631;	0.002522809346990;	0.000000000000000;	0.001848238157436;
0.004132608608777;	0.002564020198588;	0.000000000000000;	0.001503227485717;
0.003761778337355;	0.002422090321276;	0.000000000000000;	0.001774751071970;
0.003919800669457;	0.002286999503736;	0.000000000000000;	0.005024817099858;
0.003661585130105;	0.002314993245484;	0.000000000000000;	0.039661979678986;
0.003743481468764;	0.002324800646158;	0.000000000000000;	0.009147040581574;
0.003908540447520;	0.002565066376835;	0.000000000000000;	0.004929120947881;
0.003865990771915;	0.002401315305826;	0.000000026139028;	0.007394388472140;
0.003757171094658;	0.003770227269919;	0.000000052278055;	0.025940461880443;
0.003608860036911;	0.003520213139189;	0.000000051695470;	0.020766580597255;
0.003701803158107;	0.003062442171126;	0.002402567887492;	0.009784839642394;
0.003976182357795;	0.002990559315783;	0.002141917062730;	0.014271273799885;
0.003827400678277;	0.002895275675849;	0.002120747541912;	0.047190321746573;
0.003508660140257;	0.003303674576331;	0.002083965951256;	0.024876212644913;
0.004031616851872;	0.002971673003175;	0.001930246681297;	0.024488558137195;
0.003883999876203;	0.003703969719331;	0.001907343221713;	0.041746259376683;
0.003861961237934;	0.003019035646370;	0.001756761547119;	0.035963112059227;
0.003719896566946;	0.003858965939509;	0.001637789757713;	0.035994793422604;
0.004219201883106;	0.003189850027299;	0.002888781040286;	0.043629283910596;
0.003980049380834;	0.004204733183648;	0.005639053561080;	0.038008767810852;
0.003634936713616;	0.003411578165518;	0.005155564266957;	0.041830807263442;
0.004270922272499;	0.004083517553159;	0.004737923128942;	0.038373035630692;
0.003932115570572;	0.003743261608927;	0.004302865511698;	0.036173945453989;
0.003860017703881;	0.004299478058580;	0.005169460009958;	0.038311003722119;
0.004322515155265;	0.004050060548804;	0.007377124804068;	0.037935704078385;
0.004054796600818;	0.004495489662580;	0.009469763144135;	0.037827149979731;
0.003894413038523;	0.004179031302561;	0.009162146075522;	0.035852843570259;
0.004461959747931;	0.004886931613831;	0.009093529386630;	0.036939731785881;
0.003889724327977;	0.004605338569349;	0.010417925041957;	0.034006935555585;
0.004292950008207;	0.004795807623146;	0.012621385437829;	0.036119237367469;
0.004323776701449;	0.004732378047406;	0.014450886647190;	0.033144752089512;
0.003994200221094;	0.004964629073443;	0.014532540304378;	0.033133253032370;
0.004587751434700;	0.005250957950776;	0.016470312647014;	0.033484215909187;
0.004396602079104;	0.004916081263485;	0.018271366220429;	0.030891517332545;
0.004058604054959;	0.005341816333463;	0.019624478899523;	0.032653436988619;
0.004738962482004;	0.005252761669252;	0.020844825243246;	0.030596217380857;
0.004551629744154;	0.005354943860156;	0.022671947833846;	0.030837852518613;
0.004151587311023;	0.005710733280833;	0.022517981327128;	0.032024494376725;
0.004818681287351;	0.005364307346252;	0.023513913335535;	0.030347215022499;
0.004841737936573;	0.005478405876353;	0.025097035215353;	0.029497617152816;
0.004032556608095;	0.005848871266650;	0.025979377603083;	0.030589578752891;
0.004925351149294;	0.005629361657637;	0.028511181996238;	0.029291192748806;
0.004945868695485;	0.006092440367571;	0.028871043031978;	0.029826732062600;
0.004303276795258;	0.006063505884291;	0.029173425977063;	0.028944310509939;
0.004996378289405;	0.005662747958609;	0.030485212286950;	0.028553941243564;
0.004980971294522;	0.006231133499469;	0.029476148987239;	0.028496440521806;
0.004460572654072;	0.006088357178425;	0.029756665854729;	0.027954923468230;
0.005040133919666;	0.006123890434271;	0.030826155624707;	0.030637170794406;
0.005119512021988;	0.006283069991802;	0.031389843062561;	0.029879576699480;
0.004665508269810;	0.006321282969142;	0.030645544144278;	0.029048718290540;
0.005105935560970;	0.006007558890817;	0.030637165987623;	0.029864234787137;
0.005145655397426;	0.006461372847057;	0.030395561277432;	0.027592885285972;
0.004808084226756;	0.006733301797579;	0.031631751199780;	0.026786008561628;
0.005424761848544;	0.006431535302247;	0.030708025281925;	0.026256232191761;
0.005180804331000;	0.006045705012111;	0.030531909643714;	0.025880534198457;
0.005011619655455;	0.006628393847437;	0.031755805856454;	0.025379226357899;
0.005506994204402;	0.006816757778870;	0.030001428176870;	0.024876289866872;
0.005689991729735;	0.006697942906901;	0.028538191902247;	0.024480284950477;
0.005100620493629;	0.006565263625198;	0.027291580649338;	0.023866448779785;
0.005876477498725;	0.006874015938351;	0.027739676829510;	0.024033478591499;
0.005601548844308;	0.006630553255644;	0.026946707575241;	0.023311596888104;
0.005211952137882;	0.006728593534020;	0.025843829015709;	0.022469697703894;
0.006071963202130;	0.006716448650752;	0.025980696438948;	0.022595046154554;
0.006022883755632;	0.007068473695823;	0.025508004097732;	0.021343791395811;
0.005178449319917;	0.007181811987099;	0.024581109526179;	0.020336636876554;
0.006106848068124;	0.007199878627489;	0.023255828669832;	0.020796086419441;
0.006390026744500;	0.007040836024234;	0.022851641126044;	0.020296120472454;
0.006361634040540;	0.006773322893980;	0.022303973442875;	0.019019753787911;
0.005762900120464;	0.007238554838924;	0.021317321193763;	0.018346129705236;
0.006615468380473;	0.007352103343363;	0.020784884479627;	0.017823564940650;
0.006497285922602;	0.007395541252727;	0.020393515122837;	0.017156326109827;
0.005818878498122;	0.007370620509683;	0.019467274046711;	0.016806101301632;
0.006758447017132;	0.007158507944254;	0.019038126946484;	0.016209257883697;
0.007087716583534;	0.007451576648437;	0.020082266026667;	0.015634591411913;
0.007088195945640;	0.007599242860648;	0.019907065103188;	0.015445979465031;
0.006313797615969;	0.007720372695627;	0.017871434147844;	0.015351611494543;
0.007628857441906;	0.007777942636770;	0.016484954737396;	0.014747888606103;
0.007411791859813;	0.007764044646061;	0.016013110047065;	0.014159868695129;
0.007560479699494;	0.007727983738254;	0.015715000834941;	0.013969681323680;
0.006921760728398;	0.007975415934627;	0.015203221940140;	0.013717622905733;
0.007823389586931;	0.008273157795403;	0.014823338351264;	0.013396764527280;
0.008027166458999;	0.008413311400404;	0.014092610275705;	0.013125608786800;
0.007995157422563;	0.008525680866185;	0.013646684459631;	0.012721774317400;
0.007358745615474;	0.008566119236312;	0.013396202878025;	0.012354654515190;
0.007878759171709;	0.008644605680224;	0.012971481431896;	0.012233260638688;
0.008440287556703;	0.008771125149422;	0.012668492546935;	0.012094503786248;
0.008522950076815;	0.008998522721206;	0.012246808634266;	0.011974609328702;
0.008308721179207;	0.009328421741194;	0.011938572992871;	0.011870279610814;
0.007203165109699;	0.009269045690820;	0.011687237999373;	0.011735810298292;
0.008465157219942;	0.009455095993243;	0.011477422926627;	0.011542933922528;
0.008297631210285;	0.009460682103957;	0.011411362773482;	0.011343256309324;
0.008034827982582;	0.009483433092730;	0.011413534046957;	0.011057923515177;
0.007776828866039;	0.009550042636357;	0.011158239198883;	0.010848014240970;
0.006512842251653;	0.009712124987328;	0.010801202870159;	0.010812594858082;
0.007809187726440;	0.009630469353408;	0.010621214030384;	0.010656157761150;
0.006389733032437;	0.009469144623866;	0.010475485785926;	0.010428453048360;
0.006593875806474;	0.009286973132557;	0.010322667685592;	0.010178046691553;
0.006437889939251;	0.008592608644986;	0.010158803577591;	0.009860452174046;
0.006214061315756;	0.008563846647799;	0.009885997515976;	0.009499989225028;
0.006201988856328;	0.008440264741140;	0.009561300584868;	0.009091807010095;
0.006301726950082;	0.008398407710858;	0.009270961072204;	0.008568621624919;
0.006150152112212;	0.008270922546563;	0.009003039788823;	0.008042996565234;
0.006006561537333;	0.008112413595213;	0.008519793829002;	0.007593544457730;
0.005833162198016;	0.007932199647162;	0.007965009234304;	0.007183701270095;
0.005657684075442;	0.007752282799744;	0.007558384925620;	0.006759753987477;
0.005428270188173;	0.007611141942524;	0.007152992485709;	0.006365935575758;
0.005694838258829;	0.007470020102215;	0.006755044529622;	0.006023150999414;
0.005535090143390;	0.007285127767383;	0.006368994999600;	0.005695004589603;
0.005484951759190;	0.007087204493742;	0.006005159636211;	0.005394525796589;
0.005302876512464;	0.006922451966985;	0.005689692748344;	0.005082502913717;
0.005164131877497;	0.006906862346992;	0.005354666488081;	0.004787785709175;
0.005073981269086;	0.006753011157407;	0.005027068500824;	0.004515532321613;
0.004911088000173;	0.006648271960785;	0.004755306544930;	0.004268232611507;
0.004680790023279;	0.006486660609194;	0.004506623542345;	0.004030406253443;
0.004901673243371;	0.006391287881475;	0.004222452903850;	0.003781652912041;
0.004725654333960;	0.006199353680819;	0.003961094831557;	0.003563295174140;
0.004560514969319;	0.006012222159570;	0.003750849867339;	0.003376908761027;
0.004403855657330;	0.005802059029072;	0.003540757060610;	0.003153569531272;
0.004253995838302;	0.005600764569009;	0.003321669622512;	0.002948958961780;
0.004199309767088;	0.005435122793062;	0.003107925564339;	0.002774967886252;
0.004070420756363;	0.005311355175269;	0.002892400042481;	0.002594809085403;
0.003952656053155;	0.005147537076478;	0.002688395505743;	0.002450523994903;
0.003903560462778;	0.004998794006428;	0.002511893575251;	0.002353865628545;
0.003708101372729;	0.004909620654361;	0.002348421132157;	0.002239629033522;
0.003984995625821;	0.004810233150483;	0.002193946079916;	0.002099249481029;
0.003879698170293;	0.004875798593157;	0.002054670908203;	0.002034005097074;
0.003729619361609;	0.004776197019444;	0.001943437926469;	0.001719099049525;
0.003590978018350;	0.004638028043127;	0.001844007598614;	0.001627662643420;
0.003475079484639;	0.004494986866705;	0.001744075272310;	0.001843962772032;
0.003345955215903;	0.004355903961845;	0.001648570852117;	0.001667380472234;
0.003230968073814;	0.004184611076733;	0.001550115306017;	0.001429485687505;
0.003116577004371;	0.004071680711398;	0.001449146565165;	0.001275709661388;
0.002991424322195;	0.003937246636100;	0.001342133639845;	0.001210502454285;
0.002874769337092;	0.003805929090236;	0.001250778277649;	0.001174092766638;
0.002761981334516;	0.003652348921731;	0.001175225331942;	0.001074696703742;
0.002698373852762;	0.003543050790822;	0.001097906156936;	0.000985320120775;
0.002596473537519;	0.003455278493952;	0.001022686322386;	0.000919098549159;
0.002550102376102;	0.003403857317834;	0.000956377866082;	0.000865048548930;
0.002414241907724;	0.003382184864689;	0.000891709016509;	0.000824818066328;
0.002631588391225;	0.003315629199259;	0.000842907506015;	0.000791203424852;
0.002553424643318;	0.003225264834885;	0.000808822412554;	0.000742538230195;
0.002435192776061;	0.003142018534158;	0.000766505496638;	0.000702734316844;
0.002353227882637;	0.003043513528553;	0.000720573381823;	0.000657754946539;
0.002222978235188;	0.002894171559927;	0.000671716180816;	0.000613281713248;
0.002135490907790;	0.002790348024821;	0.000624634690769;	0.000572707341070;
0.002045352670730;	0.002668219688913;	0.000580480860070;	0.000528145127061;
0.001958297120525;	0.002578516513252;	0.000533761880076;	0.000489290406531;
0.001853763318034;	0.002473664975150;	0.000493734433503;	0.000456187175291;
0.001761148542384;	0.002363337189591;	0.000460340810423;	0.000424352536004;
0.001701446210401;	0.002248705174566;	0.000424170216324;	0.000391254095474;
0.001611574790443;	0.002160421047127;	0.000392901923855;	0.000363569998355;
0.001553082652480;	0.002015372177320;	0.000368904573208;	0.000338157798712;
0.001505202394948;	0.001863355908602;	0.000339964855875;	0.000314705195739;
0.001440273250943;	0.002110568125256;	0.000319443093276;	0.000297144955728;
0.001353627533342;	0.001939436548570;	0.000309599888516;	0.000278310955626;
0.001267166412789;	0.001801339229697;	0.000286844318235;	0.000255561228129;
0.001194282444741;	0.001770994974217;	0.000263130182657;	0.000234953935975;
0.001091165032830;	0.001674282503069;	0.000245997139081;	0.000215698380159;
0.001017279763667;	0.001567274040783;	0.000224810725640;	0.000195276024725;
0.000954276123471;	0.001480976936481;	0.000204219826151;	0.000177495752984;
0.000882142545072;	0.001394232758557;	0.000188092027207;	0.000161879472872;
0.000797834592245;	0.001286581091634;	0.000170795713752;	0.000145917920295;
0.000727012013526;	0.001175518394712;	0.000150203391920;	0.000130083635074;
0.000633168058717;	0.001066477964447;	0.000130599386887;	0.000115310961373;
0.000545424284933;	0.000947354123432;	0.000112985319024;	0.000100672930696;
0.000437329263211;	0.000812365136367;	0.000097856485490;	0.000085606415977;
0.000327787197023;	0.000651791591015;	0.000080223962389;	0.000069358194011;
0.000224845734021;	0.000481992596388;	0.000060920372259;	0.000052422506567;
0.000139640995527;	0.000312033918158;	0.000041485087592;	0.000035776485841;
0.000094262018737;	0.000139775324175;	0.000021097858171;	0.000020200915867;
0.000063750200712;	0.000097743733659;	0.000012162987870;	0.000012669513968;
0.000044449171908;	0.000061212176330;	0.000007856484528;	0.000008439366548;
0.000024045722646;	0.000034139611627;	0.000004601730589;	0.000005052530920;
0.000011727072855;	0.000017002846586;	0.000002401189121;	0.000002711588731;
0.000005149989903;	0.000007644172204;	0.000001126449197;	0.000001310609140;
0.000002025395197;	0.000003023165113;	0.000000464200319;	0.000000558502362;
0.000000695086427;	0.000001060668767;	0.000000167030116;	0.000000204836986;
0.000000208606543;	0.000000308386706;	0.000000050030568;	0.000000062444846;
0.000000054053791;	0.000000076210271;	0.000000012448779;	0.000000015363452;
0.000000011875100;	0.000000016370338;	0.000000002628523;	0.000000003051343;
0.000000001939793;	0.000000002807531;	0.000000000418772;	0.000000000436547;
0.000000000234804;	0.000000000302837;	0.000000000051132;	0.000000000046750;
0.000000000022734;	0.000000000029658;	0.000000000005231;	0.000000000004234;
0.000000000002010;	0.000000000002520;	0.000000000000460;	0.000000000000338;
0.000000000000249;	0.000000000000305;	0.000000000000045;	0.000000000000037;
0.000000000000089;	0.000000000000101;	0.000000000000010;	0.000000000000010;
0.000000000000046;	0.000000000000052;	0.000000000000005;	0.000000000000006;
0.000000000000024;	0.000000000000026;	0.000000000000003;	0.000000000000004;
0.000000000000012;	0.000000000000014;	0.000000000000002;	0.000000000000003;
0.000000000000004;	0.000000000000006;	0.000000000000002;	0.000000000000002;
0.000000000000000;	0.000000000000001;	0.000000000000001;	0.000000000000001;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
