0.521536279341413;	0.033329871999177;	0.039110056522928;	0.041776316771347;	0.041805532150816;	0.047716740898315;	0.049540307046784;	0.044988856434989;	0.102475108673934;	0.122818604689325;	0.047936647977425;	0.048888641041084;	0.048625890594009;	0.046571815354865;	0.048372257191136;	0.047891245514303;	0.049450596472012;	0.048707801334398;	0.050649682174946;	0.050089874212465;	0.051559919854773;	0.054825126422163;	0.055867423584568;	0.055700266536724;	0.055710623548255;	0.057045486794929;	0.056199604801781;	0.056605796427970;	0.057707774708167;	0.059175992291119;	0.058208397046025;	0.058654079480602;	0.058528669323109;	0.060048010559231;	0.058878057642225;	0.059614540712608;	0.060134475269552;	0.060896163653609;	0.061896099867432;	0.060488362499672;	0.060158263356423;	0.060896573582891;	0.061030581051327;	0.061696355724735;	0.062458781796239;	0.062543294018582;	0.062058425154989;	0.062276005001436;	0.061398889296738;	0.061558921475606;	0.061866993805868;	0.061526668529812;	0.061622120355628;	0.062025112899996;	0.062186477383302;	0.062162864386834;	0.062216615545833;	0.061025784567912;	0.060728733714180;	0.060132418529986;	0.059804954510153;	0.059502444194546;	0.059115611389592;	0.058461320746486;	0.057639120529484;	0.056835150406975;	0.056060248865205;	0.055476247656645;	0.054837275152905;	0.053749211168536;	0.053121243122433;	0.052162082031762;	0.051367677044128;	0.050572464310427;	0.049827690183978;	0.049030405801909;	0.048505967491191;	0.046480585100183;	0.045447194928610;	0.043868957780233;	0.042618519214803;	0.041284907435872;	0.039852024685981;	0.038609124524685;	0.036876532022985;	0.035295357194933;	0.033576576840007;	0.031998748970483;	0.030321304912485;	0.028556267191877;	0.026564585354581;	0.024842049276811;	0.023077120650838;	0.021046610597670;	0.019131244370409;	0.017586693414445;	0.015129358143193;	0.013292254694475;	0.011761423940125;	0.003262929986434
0.529983814154467;	0.037415835746418;	0.043606250742829;	0.046470929937922;	0.046461286221131;	0.054746971522896;	0.057333122492238;	0.050067309651194;	0.107731858985169;	0.128110567689917;	0.053364285289557;	0.054443916302336;	0.054226467812140;	0.052224521072225;	0.054306198650095;	0.053805884867820;	0.055643215001814;	0.054811048459072;	0.057047811587635;	0.056425310591889;	0.058107661691087;	0.056963625638334;	0.058070469070917;	0.057918112176554;	0.057959678090672;	0.059376504202861;	0.058514801855488;	0.058967744938222;	0.060132071584570;	0.061688139232251;	0.060707139820263;	0.061196251851167;	0.061093003331014;	0.062703924439856;	0.061512056671102;	0.062308405879527;	0.062881829762186;	0.063709487611092;	0.064786124494913;	0.063351048428287;	0.063051099600757;	0.063866205316349;	0.064054437776861;	0.064804380685508;	0.065659531149331;	0.065805556790002;	0.065357431666591;	0.065650262007015;	0.064799821195548;	0.065038971308890;	0.065438587598088;	0.065154993856704;	0.065327870141659;	0.065823352172843;	0.066060925462884;	0.066100444823095;	0.066219612783171;	0.065018713430316;	0.064764707497537;	0.064191395286643;	0.063895693074312;	0.063628425317563;	0.063273045030202;	0.062633615689358;	0.061814624948220;	0.060998001997555;	0.060202258970775;	0.059627288717990;	0.058995671790762;	0.057886936237369;	0.057268385282652;	0.056293089912356;	0.055494377385072;	0.054694145277344;	0.053942480358787;	0.053127886655030;	0.052594460883023;	0.050439014952341;	0.049334917724172;	0.047632007188160;	0.046279479288992;	0.044832932922430;	0.043275472367248;	0.041924515948904;	0.040047110026246;	0.038336232520864;	0.036477377845336;	0.034774599385639;	0.032966620895148;	0.031064997480804;	0.028917598747271;	0.027059910344275;	0.025155007939081;	0.022955672680206;	0.020877516959002;	0.019189875017904;	0.016514021416282;	0.014516013210917;	0.012817747501465;	0.003408376047762
0.538690877476747;	0.041178930069361;	0.047347303004843;	0.050169558525187;	0.049999655334282;	0.060358960557738;	0.063436921001472;	0.053714993654897;	0.111442137083197;	0.131731100519695;	0.056992994703943;	0.058083396122418;	0.057803942028811;	0.055758099019773;	0.057943970906883;	0.057363986054850;	0.059292263727269;	0.058360076946496;	0.060696788516230;	0.059968077337579;	0.061699215448233;	0.061607541192897;	0.062795952442908;	0.062612465589997;	0.062663131694861;	0.064191007732435;	0.063239183884420;	0.063731873204692;	0.064959654333998;	0.066635967011281;	0.065580399306015;	0.066087201690539;	0.065975743711131;	0.067707100926672;	0.066425303896229;	0.067271956184798;	0.067886461160274;	0.068772594386920;	0.069918835420133;	0.068369213509302;	0.068038786891923;	0.068898460716934;	0.069084590418835;	0.069870575423255;	0.070762120158702;	0.070883100291569;	0.070363344221661;	0.070639866703690;	0.069687309887707;	0.069886166596514;	0.070254195156189;	0.069890504506560;	0.070011069063029;	0.070479899537371;	0.070671709085939;	0.070650517662556;	0.070712511752996;	0.069375926412578;	0.069049171435675;	0.068385120841944;	0.068023891447593;	0.067695432611972;	0.067268923611434;	0.066540900712785;	0.065623081016966;	0.064735673146374;	0.063872404260233;	0.063233122888341;	0.062526596243306;	0.061314228078623;	0.060611206438541;	0.059530888725150;	0.058637868121384;	0.057746838063606;	0.056909328032363;	0.056010883527006;	0.055410005274336;	0.053117040956166;	0.051942782142814;	0.050145243832729;	0.048721175550219;	0.047201040803685;	0.045565817512695;	0.044146187512394;	0.042173774034520;	0.040373782842361;	0.038411063996981;	0.036607741876243;	0.034689498455750;	0.032669623868246;	0.030390455408101;	0.028413894371836;	0.026391064120933;	0.024062920316231;	0.021867168436183;	0.020081054423346;	0.017272768428313;	0.015180598456279;	0.013389751648184;	0.003588332860828
0.549665172657874;	0.045908896879937;	0.052052488280005;	0.054787551261250;	0.054297465864540;	0.067244997349113;	0.070858990515136;	0.058097234295656;	0.115979917062196;	0.136160547493538;	0.061445210892056;	0.062619513383276;	0.062289154947115;	0.060225227773186;	0.062586376899824;	0.061939823582181;	0.064014645576398;	0.063009674027081;	0.065521134666762;	0.064708006831253;	0.066548571270231;	0.066339614294171;	0.067601906510094;	0.067374055140066;	0.067434621997533;	0.069071426199447;	0.068029440546037;	0.068566285179818;	0.069850532153630;	0.071652261554229;	0.070527180860950;	0.071043041937688;	0.070926740032330;	0.072779374495532;	0.071411768323484;	0.072286155234391;	0.072937060981756;	0.073875907164652;	0.075085233065672;	0.073420582160919;	0.073053422653550;	0.073957104840429;	0.074146076235324;	0.074978074157662;	0.075921504733141;	0.076039385367391;	0.075477463741389;	0.075762199217286;	0.074747524555897;	0.074940363069534;	0.075324510033591;	0.074934511226258;	0.075058831177213;	0.075556022239664;	0.075754625692507;	0.075723791191171;	0.075779927542735;	0.074348982800175;	0.073992279921358;	0.073273931066301;	0.072871491713936;	0.072504086124999;	0.072032173834504;	0.071241261085100;	0.070251808839117;	0.069300542034089;	0.068345571795698;	0.067662906541700;	0.066911026410127;	0.065627582678957;	0.064885911690904;	0.063745147910614;	0.062808031025696;	0.061876134279060;	0.060998902728670;	0.060055082341781;	0.059414554414048;	0.056973665067896;	0.055701086815040;	0.053752309460045;	0.052197302048287;	0.050532446544241;	0.048740337818535;	0.047176996258495;	0.045028152795366;	0.043067157992888;	0.040938580339144;	0.038987994672936;	0.036925329381326;	0.034763979362499;	0.032335674393003;	0.030235096627890;	0.028090965903609;	0.025623717835400;	0.023297982209701;	0.021397687787277;	0.018416039536720;	0.016197736888073;	0.014262977087153;	0.003779654068140
0.563708294356411;	0.051403932785736;	0.057471923386781;	0.060205724864096;	0.059182122879049;	0.074764674376973;	0.079211946841793;	0.062742963561577;	0.120843438687022;	0.140899323150425;	0.066213927884218;	0.067455977725983;	0.067084219715834;	0.065001192135596;	0.067543963289102;	0.066812584311139;	0.069039955378027;	0.067952492524452;	0.070643119298176;	0.069770397649474;	0.071718373292376;	0.071414821106547;	0.072761693294811;	0.072488019246269;	0.072568533845279;	0.074321899722725;	0.073178163906583;	0.073763697165529;	0.075107084364327;	0.077041434221279;	0.075830798737230;	0.076344419143631;	0.076220902416872;	0.078200198772825;	0.076736951570337;	0.077630916664560;	0.078320356347823;	0.079315963739078;	0.080592898763791;	0.078814455605125;	0.078397688110871;	0.079348664966428;	0.079542548608602;	0.080423800879444;	0.081419984110177;	0.081530358082126;	0.080918441383257;	0.081189794504534;	0.080097765677287;	0.080282810972138;	0.080672102855213;	0.080237536992018;	0.080347270987101;	0.080862582124487;	0.081056719097663;	0.081004000847937;	0.081042398324254;	0.079506981793436;	0.079116490895963;	0.078344276447135;	0.077913210694854;	0.077523567668691;	0.077021061873065;	0.076179889131838;	0.075126229790212;	0.074117844162381;	0.073055243382700;	0.072320605641367;	0.071501677727978;	0.070113464832217;	0.069286287075837;	0.068030169505508;	0.066986137545983;	0.065948012985139;	0.064964086256290;	0.063902978347350;	0.063171129817022;	0.060548434802298;	0.059178588353219;	0.057098190861409;	0.055445817520286;	0.053688023614615;	0.051801234390743;	0.050161584175082;	0.047908346177987;	0.045856387585104;	0.043618544470996;	0.041566558746530;	0.039387020883722;	0.037098057937096;	0.034516185633551;	0.032274770778482;	0.029985322455956;	0.027349966444533;	0.024866600324608;	0.022831114204927;	0.019658152409180;	0.017302236508296;	0.015235082413179;	0.004029760698055
0.581101068971993;	0.057890757683523;	0.063537585075721;	0.066331144790731;	0.064847405729454;	0.084326122695484;	0.088572021027357;	0.067750790277349;	0.126035256281018;	0.145940843097743;	0.071324229583033;	0.072575651241626;	0.072204683989891;	0.070116568193137;	0.072871267898472;	0.072058803963100;	0.074450582992593;	0.073280305260375;	0.076170898447473;	0.075259044038607;	0.077301555626286;	0.076875957605825;	0.078293026451667;	0.077961985367657;	0.078059621134281;	0.079927390546709;	0.078670567877107;	0.079309041939542;	0.080709264507512;	0.082786827867630;	0.081482115874456;	0.082004652010748;	0.081881559140685;	0.084005443902472;	0.082437164791241;	0.083347281415800;	0.084081901829208;	0.085140978489073;	0.086489177209437;	0.084594942527394;	0.084117671817493;	0.085115166609537;	0.085312622123420;	0.086246106565582;	0.087299961635007;	0.087407716706061;	0.086753357698497;	0.087005609639869;	0.085850926946892;	0.086043078918292;	0.086461313040322;	0.086006203572695;	0.086124321167609;	0.086674152019454;	0.086876654007808;	0.086814677878051;	0.086847268368188;	0.085210143662775;	0.084784234282327;	0.083946326988874;	0.083454530352626;	0.083002528910436;	0.082427755948404;	0.081491885871360;	0.080331690519053;	0.079222461514439;	0.077976624133327;	0.077161697900691;	0.076259888496472;	0.074765116155511;	0.073866834004715;	0.072522413973491;	0.071411946292321;	0.070320701279242;	0.069288343504072;	0.068238925338533;	0.067475280092550;	0.064713301415815;	0.063267213122906;	0.061050729582533;	0.059284903343194;	0.057394705890081;	0.055348247253585;	0.053559579380115;	0.051120315838898;	0.048896453557704;	0.046477525664562;	0.044261968226788;	0.041919052357735;	0.039473334627926;	0.036724207387753;	0.034344961612138;	0.031923281557886;	0.029137725770825;	0.026516515475852;	0.024359768365366;	0.021000119677968;	0.018510346722285;	0.016281571535505;	0.004336638055359
0.604853509899866;	0.065386597163373;	0.070804853283143;	0.073266768092476;	0.071337774645701;	0.092294850171700;	0.100621314769874;	0.073293589588037;	0.131680316749756;	0.151358414926933;	0.076847794032583;	0.078109471890069;	0.077738864605906;	0.075672488490134;	0.078641838270026;	0.077761415228383;	0.080313350189435;	0.079044643354764;	0.082096360748516;	0.081116951682881;	0.083245108534221;	0.082734815276942;	0.084211262709845;	0.083818665721352;	0.083936547937649;	0.085919153932165;	0.084528158252744;	0.085220371012084;	0.086674694918596;	0.088900963869408;	0.087493653527513;	0.088001619470467;	0.087872590146075;	0.090144695268123;	0.088458289787927;	0.089394398472270;	0.090178337384894;	0.091310595598542;	0.092739529296829;	0.090739897675284;	0.090187185730742;	0.091243364095737;	0.091455839754485;	0.092454053143045;	0.093574911876812;	0.093681898517270;	0.092982956763305;	0.093219670883779;	0.091986365253107;	0.092136181513174;	0.092551009705115;	0.092040488188549;	0.092130544582905;	0.092682899236528;	0.092859245679427;	0.092753297366926;	0.092747530657246;	0.090981733685393;	0.090502145245539;	0.089590335608549;	0.089052112411788;	0.088565281642898;	0.087952884144577;	0.086964212299638;	0.085745215511054;	0.084584620583383;	0.083243352452215;	0.082397385205765;	0.081451895327868;	0.079875663660892;	0.078918161644395;	0.077482565721346;	0.076287407480695;	0.075112346271228;	0.073989059245256;	0.072675183580320;	0.071812479613674;	0.068850740127446;	0.067285960093248;	0.064908046138079;	0.063019425450627;	0.061011923587403;	0.058848445294145;	0.056965703329661;	0.054405210376770;	0.052078542470324;	0.049541384024742;	0.047218911032374;	0.044755977529394;	0.042180849629156;	0.039275534185581;	0.036754502120188;	0.034187004850491;	0.031229620429497;	0.028446950397639;	0.026150602556636;	0.022582255732581;	0.019949608457598;	0.017577554710561;	0.004747196787236
0.621062095533900;	0.074082031662978;	0.078925418234878;	0.080968516249399;	0.078482435435618;	0.101341571910839;	0.109748599986129;	0.079545148333951;	0.137889398125316;	0.157152403758466;	0.082725863508651;	0.083956630756803;	0.083510971513046;	0.081447618214702;	0.084683637200078;	0.083711422480417;	0.086423405043134;	0.085085054041529;	0.088331288752732;	0.087318348282437;	0.089564007724688;	0.088964812036406;	0.090496732184360;	0.090053669905546;	0.090206903733836;	0.092315047611091;	0.090793569927504;	0.091555397194688;	0.093049784275047;	0.095443064462587;	0.093936750958709;	0.094440247722607;	0.094310379279282;	0.096747272152448;	0.094937695418949;	0.095863505132145;	0.096690321896787;	0.097888448023743;	0.099383437850002;	0.097259919124848;	0.096618264055503;	0.097709560351105;	0.097912596921908;	0.098952797974828;	0.100118811649332;	0.100204694231425;	0.099445446891405;	0.099642276176775;	0.098324497585950;	0.098420513240523;	0.098847736121526;	0.098304968763561;	0.098397367167482;	0.098991741090170;	0.099184366725787;	0.099079338560672;	0.099079351949981;	0.097224466536801;	0.096724520652419;	0.095761008906483;	0.095180233028492;	0.094649119343735;	0.093977888062726;	0.092905886317815;	0.091587029374147;	0.090326273869609;	0.088769427265764;	0.087833902202838;	0.086790618117309;	0.085087138532827;	0.084037744667029;	0.082489788617895;	0.081203843667223;	0.079952543366818;	0.078757914029067;	0.077457086812352;	0.076557050019442;	0.073450448009646;	0.071812331569792;	0.069300879125150;	0.067306471276114;	0.065176243922368;	0.062866713105300;	0.060848484997797;	0.058110293298180;	0.055620102991283;	0.052907004521213;	0.050424939065222;	0.047799611176019;	0.045066609521500;	0.041987442777561;	0.039321298217396;	0.036611534438062;	0.033488968873210;	0.030552808728100;	0.028127626180971;	0.024346010269820;	0.021572060562280;	0.019047407132557;	0.005299497104766
0.642079020432290;	0.087365985019536;	0.088851816142597;	0.089848495359806;	0.086700081074338;	0.111468914857010;	0.120293498663100;	0.086700397925135;	0.145048679420349;	0.163528075220749;	0.089236500997195;	0.090297763134022;	0.089700361793843;	0.087647569171474;	0.091154132998298;	0.090131114881872;	0.093007786633025;	0.091589183325684;	0.094996707845172;	0.093948190808492;	0.096283012889839;	0.095626754502197;	0.097205566304744;	0.096705913220371;	0.096894143021485;	0.099120859371787;	0.097440405841301;	0.098262970974308;	0.099798495470453;	0.102357857255086;	0.100740939455450;	0.101187857541319;	0.101042396784238;	0.103636486851888;	0.101684448974491;	0.102597651785259;	0.103461906454970;	0.104727125754145;	0.106291551850285;	0.104054728109182;	0.103289280211838;	0.104430122387908;	0.104644066554168;	0.105751713718469;	0.106990260793387;	0.107082033151968;	0.106287785406222;	0.106473484752699;	0.105085852514565;	0.105132886899627;	0.105573327862260;	0.104988459165077;	0.105061800030173;	0.105668863703894;	0.105840403457601;	0.105693207486609;	0.105655571445012;	0.103667219369044;	0.103108372976834;	0.102063184542211;	0.101427893903020;	0.100853097442012;	0.100133670543913;	0.098996285154306;	0.097609707315380;	0.096286268837009;	0.094575133326648;	0.093602026208440;	0.092511361436268;	0.090724255968605;	0.089618355523238;	0.087984084631412;	0.086622687160120;	0.085298859502021;	0.084025724776397;	0.082410561440640;	0.081412382254516;	0.078101189512490;	0.076338916618079;	0.073652072819169;	0.071521322012651;	0.069257699464418;	0.066809118050427;	0.064674275995813;	0.061789183446626;	0.059170389048967;	0.056319628737551;	0.053714494374428;	0.050958173286432;	0.048099511788620;	0.044872708412314;	0.042082800024410;	0.039252171949014;	0.035983014352901;	0.032909161854618;	0.030369405495460;	0.026379414776651;	0.023477051846059;	0.020817718936930;	0.006010644214329
0.658145635702957;	0.110063231472847;	0.102290071154787;	0.100168747040930;	0.095614204584974;	0.122898244217186;	0.131748890542131;	0.094658578176223;	0.152812579658563;	0.170692912142093;	0.096683161304435;	0.097210549068617;	0.096334965856060;	0.094260504305181;	0.097980289164766;	0.096887031417004;	0.099921727677074;	0.098473260147798;	0.102044715696178;	0.100941956284664;	0.103368067276126;	0.102656691561046;	0.104273403262024;	0.103698889896408;	0.103912920093510;	0.106242204477150;	0.104409235713317;	0.105291151932555;	0.106826137383903;	0.109556792968002;	0.107832464448825;	0.108273522503877;	0.108127898162322;	0.110909712864820;	0.108832713986611;	0.109690637383625;	0.110607343719973;	0.111953534164417;	0.113592717012125;	0.111247948486153;	0.110374195466002;	0.111555910945942;	0.111767779564922;	0.112928140032995;	0.114219693339240;	0.114295030409246;	0.113441833424770;	0.113552926710345;	0.112077006477144;	0.112040058676757;	0.112481727716838;	0.111854593162467;	0.111919180448099;	0.112560674968727;	0.112744275181558;	0.112590643552501;	0.112556834611990;	0.110476577451549;	0.109897761149808;	0.108804753875665;	0.108123678859399;	0.107503119149924;	0.106727839715133;	0.105503042700271;	0.104020430067317;	0.102594943124085;	0.100606663866166;	0.099539481051479;	0.098343096116597;	0.096416642584168;	0.095204588552908;	0.093439050988680;	0.091964047103997;	0.090539627583963;	0.089167193445134;	0.087547767884854;	0.086491963926832;	0.083006198541692;	0.081158504129556;	0.078330742241389;	0.076096891643135;	0.073729074701868;	0.071164856153213;	0.068937028066099;	0.065920347740855;	0.063191601228955;	0.060212114626062;	0.057502452191858;	0.054632422416108;	0.051655033343807;	0.048289849149156;	0.045387821877672;	0.042441721830769;	0.039028905568505;	0.035812223865749;	0.033155547194544;	0.028923861041800;	0.025883801076465;	0.023058421372303;	0.006936353017324
