0.126388759463637;	0.017165960456804;	0.018874549994465;	0.019771860095311;	0.019984552373824;	0.020694680368687;	0.020836388573627;	0.020771816957636;	0.225734355263628;	0.285380847727625;	0.027239899559427;	0.027381602409950;	0.026759395533618;	0.020548005201985;	0.021172584525368;	0.021166674367053;	0.021068565328985;	0.021291575518576;	0.021350385570441;	0.021554369409559;	0.021593444089771;	0.023633959640425;	0.023491868161460;	0.023653405452417;	0.023662275556671;	0.023771725180907;	0.023686545040000;	0.023789338053639;	0.023842870394025;	0.024290723269015;	0.024125543005242;	0.024018517080961;	0.024010169733740;	0.024427621973431;	0.024175866268523;	0.024148293790859;	0.024271910676756;	0.024456153349055;	0.024649750726850;	0.024444353276133;	0.024331486172117;	0.024370123849720;	0.024292281004445;	0.024441143454064;	0.024609048063302;	0.024608307263476;	0.024530066391817;	0.024631913640630;	0.024364177905666;	0.024218432997208;	0.024253305259273;	0.024125228940241;	0.024076613228731;	0.024138112784147;	0.024103241753151;	0.024035820536477;	0.024011295974529;	0.023704478654805;	0.023577626523813;	0.023341889429299;	0.023157937273717;	0.022976880121295;	0.022794584191429;	0.022550596439861;	0.022289216399364;	0.021943142138814;	0.021521078191963;	0.021247007993892;	0.020933105799147;	0.020504197407254;	0.020189440332494;	0.019805130456478;	0.019460290662589;	0.019120905575893;	0.018735513208253;	0.018353620213175;	0.018045644872040;	0.017439123470469;	0.016993377967758;	0.016362846998642;	0.015847726069888;	0.015304095201266;	0.014730534798463;	0.014193199150924;	0.013527340924225;	0.012908879838586;	0.012231206772991;	0.011592296695711;	0.010939305431828;	0.010262796757887;	0.009510351870507;	0.008846720590160;	0.008172967908980;	0.007431852586609;	0.006762676274282;	0.006169984938564;	0.005351082438497;	0.004720324735385;	0.003783973126976;	0.001313696284482
0.127167364939228;	0.017562560077763;	0.019336562495120;	0.020267482485580;	0.020485991878246;	0.021387289604141;	0.021593649588997;	0.021319610058855;	0.226302965393892;	0.285949423030813;	0.027813497918291;	0.027966418328528;	0.027343407208109;	0.021133308201010;	0.021781547489424;	0.021773372548713;	0.021698297986959;	0.021913942412218;	0.021999757265293;	0.022199917235061;	0.022257583305585;	0.023850707586493;	0.023714372570128;	0.023877280655990;	0.023888461148754;	0.024005206310541;	0.023919260755266;	0.024026292370629;	0.024086529609995;	0.024542507289105;	0.024376845065400;	0.024275006212799;	0.024269603699529;	0.024696495244083;	0.024443975450714;	0.024423478185861;	0.024553927172706;	0.024746307299065;	0.024949174702963;	0.024743109958170;	0.024634464238370;	0.024681672110842;	0.024610204649062;	0.024768144303234;	0.024945778588615;	0.024951476754948;	0.024876827779292;	0.024985333130364;	0.024719031050698;	0.024578696496340;	0.024619642638707;	0.024494724983589;	0.024451197604574;	0.024518642858887;	0.024488889605242;	0.024426022135159;	0.024406909467585;	0.024099006400965;	0.023976544713433;	0.023744269302781;	0.023565352128775;	0.023390486675827;	0.023214877979183;	0.022976376556495;	0.022719429992317;	0.022375888039998;	0.021955710803557;	0.021685649292434;	0.021375124556018;	0.020946213521819;	0.020633943474145;	0.020249015519150;	0.019903980281095;	0.019563687058574;	0.019176275576209;	0.018791588710769;	0.018481478473359;	0.017860798573789;	0.017406529981916;	0.016762549334069;	0.016236283579914;	0.015680227675931;	0.015093215108797;	0.014544715030471;	0.013864319935752;	0.013232896623278;	0.012541324147985;	0.011889961454757;	0.011223903116527;	0.010533572506525;	0.009765150291466;	0.009087566042257;	0.008399129259745;	0.007640472014671;	0.006954343061387;	0.006346943811695;	0.005505841878300;	0.004856496177635;	0.003901767650338;	0.001883959255011
0.128022932124460;	0.017938022964208;	0.019731922143663;	0.020663917085907;	0.020865988138081;	0.021927492247016;	0.022172387428770;	0.021691352234709;	0.226676881347425;	0.286316226825261;	0.028180465073061;	0.028332585907115;	0.027705010943840;	0.021491447463141;	0.022148625002713;	0.022133319289941;	0.022067182857905;	0.022271895192538;	0.022366759195600;	0.022558306005941;	0.022620013219154;	0.024322748815060;	0.024194749453295;	0.024356716197431;	0.024369310233743;	0.024497504212348;	0.024405354410996;	0.024517329202647;	0.024586063295525;	0.025053846811293;	0.024882249136016;	0.024784470069754;	0.024778554807938;	0.025216474456162;	0.024954990013623;	0.024939479831491;	0.025073142194011;	0.025269928417865;	0.025477957438899;	0.025259201183759;	0.025145451416622;	0.025194161804182;	0.025120028284028;	0.025279079478352;	0.025458310258454;	0.025460378969802;	0.025378034927343;	0.025483479533821;	0.025207150891888;	0.025063728779578;	0.025102967149931;	0.024972263382371;	0.024925972755248;	0.024993178816925;	0.024962213756708;	0.024896816156083;	0.024875232488480;	0.024556838407226;	0.024429192904201;	0.024189447360850;	0.024004179795347;	0.023822750667078;	0.023639248500659;	0.023390561623392;	0.023121813847082;	0.022769159944943;	0.022338875713295;	0.022060266646315;	0.021740401002847;	0.021299599083144;	0.020977761197523;	0.020581677408424;	0.020226777727329;	0.019877220008691;	0.019481055206260;	0.019088435746836;	0.018772274590772;	0.018138915603463;	0.017678345363411;	0.017025742952194;	0.016492880334207;	0.015929998371973;	0.015335645539318;	0.014780261518076;	0.014090037710092;	0.013449255460191;	0.012746692289800;	0.012084737699339;	0.011407179463190;	0.010704614635320;	0.009922686130713;	0.009233025940608;	0.008532583559371;	0.007760908440997;	0.007062884128010;	0.006445636369571;	0.005591150785819;	0.004931032510026;	0.003965975840927;	0.002097122306760
0.129010583998869;	0.018366541595282;	0.020157179022774;	0.021088291247930;	0.021279661085177;	0.022588990149331;	0.022888707544246;	0.022130132591623;	0.227127709116803;	0.286762625506319;	0.028634808212010;	0.028790493386772;	0.028161364998269;	0.022135956565140;	0.022620968370976;	0.022600158660540;	0.022549350239628;	0.022745319318073;	0.022856994376888;	0.023041666997774;	0.023114203579585;	0.024808071567564;	0.024687154591292;	0.024846779290269;	0.024859673893612;	0.024997735905034;	0.024897491632798;	0.025013092981243;	0.025086926395841;	0.025564915299479;	0.025386160873035;	0.025290095550955;	0.025282382922735;	0.025729979453480;	0.025459000578483;	0.025447338377567;	0.025583995044155;	0.025785433529365;	0.025999322997100;	0.025769942070712;	0.025654157125291;	0.025707049664801;	0.025633713507769;	0.025797919916908;	0.025983250836059;	0.025986544861279;	0.025901692778810;	0.026009441171730;	0.025728352559532;	0.025586801189890;	0.025629260415520;	0.025497053586362;	0.025451483298669;	0.025520576778445;	0.025489680106315;	0.025422642456541;	0.025399601307433;	0.025070965625111;	0.024938959318350;	0.024692712147023;	0.024501802387997;	0.024315378650131;	0.024126898531167;	0.023871883413120;	0.023596062177249;	0.023237344942783;	0.022800319362256;	0.022518341576909;	0.022195022638654;	0.021748162351738;	0.021423450124736;	0.021022267261764;	0.020663444253204;	0.020309962850344;	0.019909245275571;	0.019511555065364;	0.019191025272533;	0.018542485202776;	0.018071289312256;	0.017403079976676;	0.016856609238983;	0.016315472656245;	0.015804100162382;	0.015322203869340;	0.014662913142415;	0.014025948630681;	0.013317802777793;	0.012646672913857;	0.011954229698285;	0.011232107628505;	0.010424277127995;	0.009711851149760;	0.008987334810236;	0.008186955786834;	0.007463199774596;	0.006823516854555;	0.005931052926265;	0.005239306879949;	0.004231761407817;	0.002277504835336
0.130303010092101;	0.018891662641160;	0.020670841857890;	0.021588331308319;	0.021750678773326;	0.023325418247535;	0.023710069483667;	0.022614626538140;	0.227627587026153;	0.287250534268039;	0.029126366852119;	0.029288822010746;	0.028654733348044;	0.022628358652575;	0.023130698148162;	0.023104506365170;	0.023068614863694;	0.023257604401559;	0.023385388898415;	0.023560782192525;	0.023642678743684;	0.025325441099333;	0.025210718575315;	0.025365923964337;	0.025378264130153;	0.025525651063307;	0.025416215823136;	0.025535453554403;	0.025613730247644;	0.026103014091286;	0.025918225722614;	0.025823097735541;	0.025815064708132;	0.026274450143390;	0.025995795253869;	0.025989048345857;	0.026130748047631;	0.026338896718918;	0.026560402295072;	0.026321414914496;	0.026203336187619;	0.026260607055038;	0.026187685440158;	0.026356340817366;	0.026546389131874;	0.026548594388315;	0.026458349276365;	0.026566008686129;	0.026276415137057;	0.026132183669331;	0.026173283560885;	0.026035452858815;	0.026011628477194;	0.026174584040338;	0.026243562155677;	0.026260499886541;	0.026301271950064;	0.026016422500922;	0.025932885651541;	0.025725156236701;	0.025570537529418;	0.025416037104657;	0.025253449243418;	0.025016001346932;	0.024752601946597;	0.024404768370870;	0.023975624266406;	0.023704130213972;	0.023387297053716;	0.022937313156440;	0.022615107975011;	0.022209497783611;	0.021848596287652;	0.021493348094425;	0.021088922322163;	0.020689077307678;	0.020371415426892;	0.019699027167474;	0.019221241885478;	0.018534142840142;	0.017976970070706;	0.017415585255589;	0.016875421380261;	0.016377754264634;	0.015699606222043;	0.015049853292392;	0.014322847156577;	0.013634501308549;	0.012920449868945;	0.012171489703550;	0.011326724007145;	0.010582987775341;	0.009824223252447;	0.008981723526382;	0.008223243183209;	0.007558498210527;	0.006619100599703;	0.005908636522220;	0.004814606988764;	0.002455087086036
0.131917004445114;	0.019501169802643;	0.021267985546218;	0.022178104301549;	0.022282396489825;	0.026903050636242;	0.024584091113419;	0.023126540333962;	0.228163045702295;	0.287772250828218;	0.029651277668127;	0.029821638412616;	0.029181786311957;	0.023153283427794;	0.024090839975192;	0.023638216256677;	0.023616266784835;	0.023893771283470;	0.024280944721295;	0.024624794656996;	0.024799437607599;	0.026141447511524;	0.026088852643355;	0.026290888864422;	0.026352316931142;	0.026562670801181;	0.026483947850461;	0.026652083050478;	0.026779719428332;	0.027330705990993;	0.027166422161077;	0.027105613267377;	0.027126705037844;	0.027643901859338;	0.027372490939813;	0.027398930444532;	0.027577554126883;	0.027826886669676;	0.028091764759591;	0.027853220054726;	0.027751683053606;	0.027843713900987;	0.027794592644025;	0.028002223394075;	0.028233708278032;	0.028262225310454;	0.028186712021944;	0.028321746105840;	0.028032810732029;	0.027904753504145;	0.027969023292124;	0.027840445870836;	0.027814098203366;	0.027929069892372;	0.027946948964738;	0.027927303016292;	0.027953920470632;	0.027638955970466;	0.027550012469354;	0.027337109720845;	0.027187069603870;	0.027044179086675;	0.026897240331131;	0.026673326744648;	0.026423708761112;	0.026088214832152;	0.025665232584791;	0.025415165461395;	0.025118558643727;	0.024678808369093;	0.024377480066006;	0.023985363816346;	0.023642756004500;	0.023307548812621;	0.022919281173128;	0.022537629937209;	0.022245905573445;	0.021561040352350;	0.021090526781305;	0.020387890066714;	0.019827880241137;	0.019251412895771;	0.018678074248082;	0.018154256333451;	0.017444740127466;	0.016785849469502;	0.016055685321170;	0.015389760446484;	0.014720069020586;	0.014035183924422;	0.013261310791395;	0.012614714214703;	0.011948327107120;	0.011155389807860;	0.010422146968763;	0.009708739756198;	0.008611806882535;	0.007768704521078;	0.006162924168487;	0.002639658915177
0.230362492677758;	0.021012032973731;	0.022831872170154;	0.023815139970890;	0.023886853357717;	0.028991272303208;	0.030984976788246;	0.024801697954174;	0.229924461214271;	0.289536206659103;	0.031448436472805;	0.031668647913585;	0.031048270180863;	0.025185262000951;	0.026054077884441;	0.025939154891120;	0.025653516851732;	0.025833560155203;	0.026036646502451;	0.026208774161817;	0.026345958978663;	0.027753035055029;	0.027684736745321;	0.027856615784092;	0.027897578415589;	0.028112410239943;	0.027998496942168;	0.028166339276980;	0.028299849206401;	0.028879398959700;	0.028697497188793;	0.028640966774907;	0.028667168484018;	0.029226731349948;	0.028944431900830;	0.028992253130792;	0.029200697540811;	0.029487340275477;	0.029793672574687;	0.029555788560575;	0.029470625474770;	0.029601052232338;	0.029580940625148;	0.029836870315078;	0.030121273898290;	0.030189013488782;	0.030144570530455;	0.030327551518255;	0.030060308234526;	0.029975564968372;	0.030094925368502;	0.030006766017834;	0.030031207685576;	0.030205303153156;	0.030268960595566;	0.030287314783079;	0.030352899641341;	0.030042290224935;	0.029979760066138;	0.029783465566930;	0.029657547520284;	0.029542606632946;	0.029425514329872;	0.029225237393452;	0.028998505856841;	0.028677254305770;	0.028253638319908;	0.028026202420444;	0.027747547544086;	0.027311853462177;	0.027030288147227;	0.026649404996010;	0.026327442645246;	0.026022054659919;	0.025665810303245;	0.025330025143802;	0.025118582544046;	0.024495285876104;	0.024141400602901;	0.023552242884685;	0.023168970179371;	0.022798797079814;	0.022443164252881;	0.022143996337793;	0.021617787253674;	0.021126693974681;	0.020464104622307;	0.019803312068068;	0.019045569413404;	0.018162274884619;	0.017078575922735;	0.016071303926531;	0.015003442783500;	0.013770172234449;	0.012635892158285;	0.011540693235128;	0.010090391566037;	0.009011652956496;	0.007029491119856;	0.002836966103297
0.233695271428910;	0.022630369971788;	0.024398016293086;	0.025332841635710;	0.025327042225477;	0.032403341963194;	0.033016903543855;	0.026148546568444;	0.231282278746218;	0.290860235011858;	0.032790677071253;	0.033018767723744;	0.032403197032423;	0.026537024303449;	0.027824822941136;	0.027394550376228;	0.027629189543872;	0.027437744018682;	0.027910193811783;	0.028250373822074;	0.028492173371480;	0.029617210913624;	0.029619644337610;	0.029846520278770;	0.029941995089701;	0.030228734406654;	0.030134768394083;	0.030356347994395;	0.030538751941263;	0.031199958739304;	0.031026701496942;	0.030998434287259;	0.031053000066208;	0.031693541661349;	0.031406003722563;	0.031484929216458;	0.031741159746175;	0.032084587951415;	0.032449480912172;	0.032213775235495;	0.032146448761277;	0.032322865185908;	0.032333400043550;	0.032649234614488;	0.032998493944968;	0.033109751246896;	0.033097633183614;	0.033334997734908;	0.033079921648952;	0.033026444646861;	0.033198324548834;	0.033144476828731;	0.033212907290838;	0.033440279889366;	0.033544333209714;	0.033601986319684;	0.033716182355474;	0.033414903548943;	0.033390319238797;	0.033219522602681;	0.033129583823596;	0.033057213139927;	0.032992296267904;	0.032846656476192;	0.032691320148558;	0.032446091924272;	0.032093109491821;	0.032011513626256;	0.031906432953796;	0.031666394655974;	0.031639949650785;	0.031542103543074;	0.031547762502467;	0.031606624017527;	0.031601919327713;	0.031612968142931;	0.031716200223744;	0.031312423630055;	0.031103888055017;	0.030469409366909;	0.029987741121292;	0.029370968920777;	0.028612422988280;	0.027848170664930;	0.026792849391038;	0.025793952723259;	0.024601694036071;	0.023470439864551;	0.022290417590272;	0.021027647635951;	0.019598688579865;	0.018316214614979;	0.017004462121703;	0.015535169846429;	0.014202871839980;	0.012918016096981;	0.011268550431252;	0.010051343639129;	0.007786584437520;	0.003040387097992
0.306253915940820;	0.025163795797469;	0.026956596854950;	0.027898865338775;	0.027801358278176;	0.036393491181659;	0.039706760239933;	0.028674591404373;	0.234171017065904;	0.293438957479168;	0.035402089050956;	0.035698107234142;	0.035091709096964;	0.029344094334272;	0.030709458923756;	0.030441712388575;	0.030672946281747;	0.030727726726200;	0.031265531315234;	0.030998393647933;	0.031267620193438;	0.032301120934703;	0.032327016250580;	0.032585202126785;	0.032720805579099;	0.033071965238580;	0.032990833662951;	0.033273061023041;	0.033510842031606;	0.034279443591509;	0.034123303321239;	0.034125250386264;	0.034222286258381;	0.034973423526259;	0.034689242111791;	0.034805644967997;	0.035126443656342;	0.035547228348021;	0.035987964512742;	0.035767612304275;	0.035722347766273;	0.035952837517179;	0.035998894204811;	0.036387285292501;	0.036814266972582;	0.036976384781278;	0.037005349275854;	0.037311823918438;	0.037071628958895;	0.037050374297267;	0.037297413354716;	0.037304836463212;	0.037455996181275;	0.037803482619181;	0.038032572529993;	0.038238639015815;	0.038545421540494;	0.038432192042767;	0.038668698938628;	0.038782789875853;	0.039029733456382;	0.039336776920697;	0.039682356866904;	0.039952728745455;	0.040221639382763;	0.040350184522591;	0.040218884020040;	0.040422145040840;	0.040492668742079;	0.040316153397104;	0.040257020413769;	0.040008140818109;	0.039780968516114;	0.039542461038842;	0.039132657102503;	0.038673840724645;	0.038306160641202;	0.037403059269794;	0.036723449411299;	0.035585742230515;	0.034691905347070;	0.033703372415156;	0.032615006247531;	0.031568591688855;	0.030256110695344;	0.029040745685274;	0.027621589701265;	0.026289618214689;	0.024917351609444;	0.023462772789247;	0.021832808836964;	0.020369481416108;	0.018881610368435;	0.017224397602944;	0.015725117344081;	0.014272135599799;	0.012436346613837;	0.011087253313837;	0.008556268031099;	0.003275929176111
0.329590122381195;	0.028552256259576;	0.030006548761509;	0.030886976071567;	0.030672948787552;	0.041307910059135;	0.044720117792691;	0.031467440401280;	0.237139118660335;	0.296368423901536;	0.038445041645406;	0.038633580717447;	0.038072146701662;	0.032411481109818;	0.034065180983321;	0.033839126029879;	0.034261671440373;	0.034451171153414;	0.035157269976145;	0.035183394249240;	0.034827039407006;	0.035745733004598;	0.035798444912776;	0.036112505133358;	0.036302658754279;	0.036720658168448;	0.036659207146557;	0.037009175783038;	0.037295288197567;	0.038192789589171;	0.038058173496398;	0.038084914433509;	0.038234478181616;	0.039123369829367;	0.038850897622235;	0.038999225839596;	0.039402399357415;	0.039926542479637;	0.040471204608839;	0.040310216290146;	0.040334475744031;	0.040675593789015;	0.040835152816261;	0.041410102396555;	0.042055425566346;	0.042437279132688;	0.042718883750456;	0.043347860673880;	0.043400746529013;	0.043678926074910;	0.044333182224667;	0.044752293073576;	0.045335017440895;	0.046173827548160;	0.046845896097713;	0.047458968296604;	0.048144527332439;	0.048315310812798;	0.048786229288544;	0.049004681000755;	0.049219060193122;	0.049402699355607;	0.049543448788511;	0.049516340416433;	0.049438001375323;	0.049145783996411;	0.048433401349467;	0.048214036567173;	0.047845332889948;	0.047241654325492;	0.046795516960745;	0.046171563252158;	0.045621024891051;	0.045111899862792;	0.044440359810906;	0.043765673624928;	0.043196203089014;	0.042083453368622;	0.041224882909446;	0.039864195421094;	0.038791279653390;	0.037619135831290;	0.036342842966277;	0.035115751630130;	0.033602819093402;	0.032201388106652;	0.030575613019592;	0.029051311823861;	0.027489882243727;	0.025845521540003;	0.024016309561975;	0.022375577902671;	0.020717523864782;	0.018881007169547;	0.017225183404834;	0.015617286380774;	0.013607001102144;	0.012136351003493;	0.009351995643132;	0.003549972382058
