0.613697590664309;	0.083210589783611;	0.083695571200382;	0.077453545800890;	0.064783324107787;	0.087932471343887;	0.146378211924395;	0.047243790766782;	0.262081471145140;	0.579183622464258;	0.073237101549637;	0.081108393555657;	0.072476247842532;	0.042172221217108;	0.042808919051205;	0.038130123657638;	0.047037166889051;	0.039919264491489;	0.049171702760172;	0.042913292505839;	0.047731279150651;	0.047388543887767;	0.052971532319228;	0.049609042111255;	0.051091576823548;	0.056498291026110;	0.053405730290435;	0.054788897334459;	0.059150214840790;	0.063406066949802;	0.059614712441352;	0.063958071591546;	0.065770950205047;	0.071177559264056;	0.067169665386432;	0.069809705449274;	0.072609936220539;	0.076640305379730;	0.081432372424016;	0.077234261422031;	0.076847030689039;	0.080608570105832;	0.083757125802986;	0.086470961455893;	0.089178314674614;	0.091694685923263;	0.089507888262251;	0.090638132475358;	0.089775599730806;	0.093048755558110;	0.094917449858101;	0.097733166954582;	0.100650841635873;	0.103495534358507;	0.107177506800117;	0.110546547244677;	0.113955715944573;	0.111395786289662;	0.113889412366574;	0.117761939101646;	0.121510008765114;	0.125077741069066;	0.128263155883760;	0.130928566334598;	0.134514054682549;	0.136427534191869;	0.139518336834493;	0.143404503877658;	0.146835348854287;	0.147711144848819;	0.152973997066041;	0.157755599733209;	0.162578186522335;	0.167596925557329;	0.172747799064278;	0.175434087302494;	0.182161410051838;	0.181166194032906;	0.187886780217387;	0.193283796812253;	0.200075174180452;	0.206657393846180;	0.214378010951005;	0.224660841091503;	0.227772973261628;	0.238018974913633;	0.248706798105745;	0.258646195331192;	0.273756816671914;	0.287022307398188;	0.304210473171227;	0.325103181942589;	0.348036260223188;	0.351336749027493;	0.402311537576074;	0.452024835728936;	0.496475081442342;	0.549129975151035;	0.590810989351873;	0.510274011909202
0.628332494968569;	0.095864159525046;	0.095963595209451;	0.088812192922349;	0.074643209946068;	0.102515119573887;	0.159928793775049;	0.054901707865221;	0.270843101061592;	0.587126703761547;	0.081278592751655;	0.088267382812387;	0.078840885687365;	0.049033509828432;	0.049822608733396;	0.044434270463450;	0.054479291503359;	0.046420886610743;	0.056824856482886;	0.049751618989399;	0.055139310910597;	0.049667080881643;	0.055466123034907;	0.051988745333431;	0.053539114893858;	0.059163346452607;	0.055964731775732;	0.057410829802625;	0.061947280817481;	0.066387983057628;	0.062455812695617;	0.066976733653517;	0.068893406106797;	0.074527564542560;	0.070376806528551;	0.073130353897638;	0.076071657457887;	0.080287890647852;	0.085288966251981;	0.080986736690641;	0.080595795279695;	0.084537783830049;	0.087851512864405;	0.090721734427891;	0.093587649151185;	0.096260705569016;	0.094045175946644;	0.095272513409571;	0.094428270923120;	0.097878251382426;	0.099897037789132;	0.102902918437303;	0.106016266643442;	0.109057945980183;	0.112970815005864;	0.116568336692176;	0.120216274532980;	0.117651432429852;	0.120366384841162;	0.124515551126833;	0.128541966429108;	0.132390245216972;	0.135849156026283;	0.138773946162408;	0.142651260339629;	0.144687265949779;	0.147934802277042;	0.152064337880758;	0.155723676498041;	0.156750001244099;	0.162309496043296;	0.167371120669507;	0.172475126327834;	0.177781848985839;	0.183222695605499;	0.186151362643922;	0.193226572822542;	0.192240158775170;	0.199283322657162;	0.204958818096963;	0.212077346386776;	0.218982922420654;	0.227062809296903;	0.237761713176102;	0.241092149483969;	0.251724741586308;	0.262786977214214;	0.273073840454263;	0.288625704777547;	0.302265547566448;	0.319880207511198;	0.341231600656251;	0.364621048206387;	0.368177907135680;	0.419801081374173;	0.469647411053015;	0.514350932991091;	0.567150562774984;	0.608798329368309;	0.520410278760404
0.642257605962749;	0.108065369426604;	0.107268730869972;	0.098859860960388;	0.083075772575421;	0.114541364957916;	0.170385974082967;	0.060877014542040;	0.277407338056624;	0.592664160960429;	0.087022738564069;	0.093285601979358;	0.083211152888539;	0.053631961378558;	0.054429887581917;	0.048502008746592;	0.059160045727127;	0.050451534948580;	0.061454611913967;	0.053827878974020;	0.059460845057163;	0.054849692813967;	0.061069020115560;	0.057283918132053;	0.058925167616136;	0.064955327109540;	0.061468927690611;	0.062984176159046;	0.067819367213349;	0.072571197410312;	0.068280191389122;	0.073075977871113;	0.075121234029517;	0.081114783949171;	0.076600022222312;	0.079486575410080;	0.082600117283928;	0.087060338954060;	0.092332406749376;	0.087738045919325;	0.087214420687470;	0.091348104281533;	0.094815390663506;	0.097812237126884;	0.100794765826154;	0.103568345102166;	0.101153796745165;	0.102376645132638;	0.101394430253261;	0.104930258721295;	0.106983424339101;	0.110064360968822;	0.113246213424351;	0.116352413642705;	0.120355585788569;	0.124019284536652;	0.127724516670186;	0.124920158372229;	0.127646192535061;	0.131849309532328;	0.135914147865106;	0.139789305252239;	0.143258291403160;	0.146175622521374;	0.150076862492761;	0.152069816097963;	0.155344879773397;	0.159550285771915;	0.163267535597333;	0.164286249493489;	0.169951574055931;	0.175104560662243;	0.180298005495034;	0.185695968056074;	0.191225364523842;	0.194105616626260;	0.201289630024364;	0.200208731344015;	0.207382700564149;	0.213153297276438;	0.220392031555728;	0.227399554062344;	0.235595530978024;	0.246444752152126;	0.249822782446260;	0.260621875277901;	0.271850592173544;	0.282295890443152;	0.298060767517509;	0.311881112475367;	0.329694861622524;	0.351232545557299;	0.374786777906964;	0.378394031949009;	0.430194606753947;	0.479982897316808;	0.524595261526194;	0.577226893385951;	0.618639289208400;	0.532626870324619
0.657249357879131;	0.122820869612707;	0.121005696383900;	0.111181469034660;	0.093558866491926;	0.129741539358498;	0.183191003658643;	0.068554874358104;	0.285828564872394;	0.599548367959316;	0.094556625457644;	0.099956147797432;	0.089083988468399;	0.059846695891276;	0.060724185112696;	0.054111422748759;	0.065633898285379;	0.056098369758272;	0.067969265765403;	0.059633007212631;	0.065656978769222;	0.060505488010412;	0.067143241822539;	0.063017837553955;	0.064738035176405;	0.071175841007968;	0.067375827363032;	0.068948758279755;	0.074077629806222;	0.079143621690555;	0.074466866821551;	0.079539433599502;	0.081714394372485;	0.088075511767914;	0.083178199234331;	0.086187790602601;	0.089479100612227;	0.094192685114514;	0.099745633529080;	0.094860982571737;	0.094210891500155;	0.098552203429595;	0.102193062510867;	0.105340850261111;	0.108467454305282;	0.111373397118447;	0.108781543363178;	0.110027537048512;	0.108935619604769;	0.112599096357776;	0.114737665117483;	0.117954266598608;	0.121267671040782;	0.124499019580906;	0.128661984230382;	0.132470904736019;	0.136324496683608;	0.133343808242200;	0.136184296685852;	0.140560340655200;	0.144790924920230;	0.148829129299283;	0.152450117193673;	0.155504283039672;	0.159582453933944;	0.161603252735889;	0.164946997754966;	0.169321801287677;	0.173188558101924;	0.174277473634515;	0.180156128498735;	0.185501271368418;	0.190883808174375;	0.196472793702121;	0.202189548888927;	0.205219478990404;	0.212640935193760;	0.211458031520040;	0.218830551406547;	0.224753020459981;	0.232186247147279;	0.239381304063830;	0.247794252040104;	0.258900487877981;	0.262357908881388;	0.273368236578279;	0.284782637873713;	0.295382992883698;	0.311367232416631;	0.325337521471598;	0.343334021270465;	0.365076446750116;	0.388830226854396;	0.392504234390035;	0.444636868099380;	0.494282118078793;	0.538957307534146;	0.591603913536041;	0.632898871153055;	0.544333188647055
0.674134720660871;	0.140175346001540;	0.137091951034170;	0.125587650935765;	0.105842844979702;	0.147135257993721;	0.197655991384809;	0.077538387538692;	0.295554323508295;	0.607153562747085;	0.103251208809699;	0.107678349369040;	0.095884056912493;	0.067019819671550;	0.067974241804449;	0.060581014517994;	0.073047066332646;	0.062578677706632;	0.075388315758517;	0.066254949008846;	0.072690453737436;	0.066942805982398;	0.074030742009182;	0.069526217251416;	0.071327879595273;	0.078207500978769;	0.074055882900305;	0.075685255259318;	0.081132446528418;	0.086543017165839;	0.081434914582383;	0.086797084168628;	0.089113280729195;	0.095873190783047;	0.090548104217891;	0.093694685893508;	0.097178688570368;	0.102167210694206;	0.108021651260027;	0.102821889270127;	0.102009626181532;	0.106568965009247;	0.110391802256293;	0.113697341421527;	0.116972390178515;	0.120013270305881;	0.117219477536398;	0.118487031887478;	0.117262125606117;	0.121047424360779;	0.123263259695482;	0.126608982456572;	0.130047920410812;	0.133409065052172;	0.137736101602991;	0.141687654700891;	0.145679594033804;	0.142487646850754;	0.145422580932384;	0.149948017176526;	0.154314032751798;	0.158479191066742;	0.162209537225512;	0.165350931349244;	0.169549491334535;	0.171537987835605;	0.174933257734615;	0.179433064760039;	0.183402829685244;	0.184518016226869;	0.190561972732414;	0.196055777260303;	0.201585281141880;	0.207323885407323;	0.213185805956535;	0.216184995772474;	0.223775886996879;	0.222493283824456;	0.230060947531205;	0.236130472532609;	0.243745925920637;	0.251103260769376;	0.259697420858700;	0.271025446960751;	0.274581787389663;	0.285839752891750;	0.297500160974564;	0.308342481263437;	0.324636868006545;	0.338879567978975;	0.357171779582924;	0.379188005875623;	0.403187524300731;	0.406991621648140;	0.459333211512586;	0.508863882199125;	0.553397513525120;	0.605801338561051;	0.646769291540834;	0.557569056227206
0.692877659065513;	0.160559855468524;	0.155895042972740;	0.142401170104609;	0.120215193525329;	0.168768455649525;	0.213861668669170;	0.088041116044457;	0.306760532278743;	0.615537170206845;	0.113276564167311;	0.116602382257115;	0.103745208402811;	0.075257848499284;	0.076326417918807;	0.068017806764200;	0.081506580258710;	0.070004578734656;	0.083851809116485;	0.073829858387054;	0.080713860928741;	0.074277240084572;	0.081842759169134;	0.076914113376757;	0.078797141288762;	0.086152627706292;	0.081611075180691;	0.083294227953756;	0.089074921834429;	0.094859885874690;	0.089267493954364;	0.094947716286425;	0.097418864407699;	0.104614077145515;	0.098813257996932;	0.102082548875079;	0.105773690178870;	0.111058756237308;	0.117235602533950;	0.111694900373004;	0.110712867021536;	0.115505870447391;	0.119525832150605;	0.123004406662388;	0.126442124672091;	0.129632259035111;	0.126621082782389;	0.127903297947677;	0.126533349134662;	0.130445604692825;	0.132749564956452;	0.136240934041116;	0.139815789189549;	0.143302970531764;	0.147792328088931;	0.151889304253886;	0.156029823746348;	0.152613142335661;	0.155657713790523;	0.160354611561710;	0.164881290051690;	0.169203879642268;	0.173078803297527;	0.176347438237551;	0.180715271101884;	0.182695965619254;	0.186126520570961;	0.190786002619783;	0.194892831651915;	0.196065925258462;	0.202314728562360;	0.207991174182412;	0.213700014954068;	0.219620010458525;	0.225658402868247;	0.228799613333088;	0.236621508481312;	0.235205850414159;	0.242986911654100;	0.249223020503026;	0.257051214305871;	0.264596533959902;	0.273385015353158;	0.284945019599272;	0.288573055767238;	0.300041347362023;	0.311882635885495;	0.322879680144242;	0.339389147898394;	0.353775503424578;	0.372241707870371;	0.394452374216232;	0.418642395020601;	0.422538687323544;	0.475171672384669;	0.524454236200301;	0.569039639716460;	0.621475675259223;	0.662350863979515;	0.570849162899324
0.714559568530218;	0.184529798800153;	0.177893058858959;	0.162045978910434;	0.137056938311629;	0.187473995309966;	0.232425469742026;	0.100345138587319;	0.319752140510516;	0.624822540997733;	0.124868054602702;	0.126964649979411;	0.112872010494447;	0.084823512564143;	0.085951861652291;	0.076627887255897;	0.091227366594533;	0.078537597935587;	0.093469678975090;	0.082440853917560;	0.089772470751742;	0.082606673582706;	0.090672206953273;	0.085262864168255;	0.087217674227030;	0.095073783241136;	0.090085823271942;	0.091809058306792;	0.097943514334961;	0.104127154215534;	0.097992754018855;	0.103983065434051;	0.106613523855628;	0.114266127905643;	0.107934967510105;	0.111347508132244;	0.115255972177640;	0.120854591488556;	0.127368699974916;	0.121463231388115;	0.120256820521999;	0.125289325840810;	0.129512057732663;	0.133169268213174;	0.136773462050311;	0.140116110437738;	0.136866353938619;	0.138170774890254;	0.136636344274188;	0.140674210094502;	0.143064769620468;	0.146703089446196;	0.150415288416409;	0.154037631926783;	0.158697622186555;	0.162943490201064;	0.167231590311511;	0.163565461918364;	0.166712887508272;	0.171572960762498;	0.176247758872221;	0.180712467007005;	0.184713013757270;	0.188085677230074;	0.192595482159517;	0.194522353414629;	0.197996182499264;	0.202791982666121;	0.207010810332623;	0.208219138239306;	0.214648999624703;	0.220489805142209;	0.226361313086438;	0.232446589061578;	0.238643464512582;	0.241742075115562;	0.249745675440553;	0.248212766446458;	0.256182585343390;	0.262551906967285;	0.270551101633026;	0.278246512988893;	0.287211368320244;	0.298981719045620;	0.302697523120747;	0.314399470278600;	0.326466339464650;	0.337687243634695;	0.354481752953022;	0.369113436167066;	0.387840228616664;	0.410275106235714;	0.434653649405752;	0.438657111963748;	0.491365756107555;	0.540376208183836;	0.584684175002577;	0.636737322197892;	0.677144219703382;	0.584509468961205
0.732678255540843;	0.212449408620024;	0.203368343495794;	0.184758575027095;	0.156582347033804;	0.209114920527596;	0.251839465170849;	0.114610162317732;	0.334490245733226;	0.634911043957004;	0.138105475041949;	0.138792324123746;	0.123300126563608;	0.095579841315492;	0.096951247243342;	0.086380122107431;	0.102159503387265;	0.088194517116892;	0.104316727980510;	0.092165108778833;	0.099987351342060;	0.091992188779595;	0.100572710976043;	0.094633902792404;	0.096656242651579;	0.105042652183272;	0.099572335157870;	0.101329146037514;	0.107816234052689;	0.114424862941838;	0.107687095914638;	0.114027559553182;	0.116830437062562;	0.124975503905109;	0.118060137083326;	0.121570071322555;	0.125704601164848;	0.131631400479212;	0.138494924830634;	0.132196036229218;	0.130767814020214;	0.136047114592600;	0.140479902725550;	0.144323421098452;	0.148099859473142;	0.151600531617000;	0.148090296619441;	0.149392255631746;	0.147672620929248;	0.151825601056507;	0.154302441138891;	0.158091248320243;	0.161942844755275;	0.165704125607758;	0.170540373625181;	0.174941136736906;	0.179383765319791;	0.175454077834354;	0.178711515824975;	0.183744248788989;	0.188577004809465;	0.193196474418568;	0.197337964397805;	0.200833197896542;	0.205509176339643;	0.207392413817458;	0.210864873987266;	0.215810967871230;	0.220154508958663;	0.221411068784584;	0.228034403616817;	0.234044902171546;	0.240081327968707;	0.246332115739817;	0.252686440101281;	0.255913317165635;	0.264127731230351;	0.262417635233488;	0.270586791477735;	0.277106637937917;	0.285302790048025;	0.293170897308625;	0.302321363298815;	0.314306717921371;	0.318083536714604;	0.329968806366663;	0.342180120822361;	0.353517254987481;	0.370472656190158;	0.385186532760186;	0.404009407161713;	0.426542713585303;	0.450997358208687;	0.455000254718724;	0.507784992511001;	0.556292917041358;	0.600426770029149;	0.652228747644030;	0.692285417388621;	0.598587807197136
0.753063486854160;	0.245010676297723;	0.232924647258061;	0.211081552457060;	0.179288928116765;	0.233941362558787;	0.273602147944001;	0.131129395079727;	0.351661537411952;	0.645974013050285;	0.153236934097211;	0.152450860486676;	0.135309440956308;	0.107951924458600;	0.109352436282280;	0.097600933349192;	0.114622132265949;	0.099172435878430;	0.116528776624202;	0.103177167643724;	0.111455285019557;	0.102561241050405;	0.111682462356312;	0.105151492587834;	0.107228118175338;	0.116167765015226;	0.110140340189769;	0.111910823745735;	0.118786640848309;	0.125848472365818;	0.118442979943910;	0.125093517109471;	0.128071765864821;	0.136727829046587;	0.129164822303942;	0.132826458897986;	0.137198435836005;	0.143472167212485;	0.150699876710638;	0.143983879189331;	0.142243785238691;	0.147773464397117;	0.152420417672616;	0.156454749712592;	0.160405852947143;	0.164066563719909;	0.160272073509011;	0.161588141081347;	0.159660100196262;	0.163925734450646;	0.166485526968082;	0.170424214688937;	0.174411344503384;	0.178308291359670;	0.183317016470609;	0.187867499813105;	0.192458659839612;	0.188238361334129;	0.191598416563727;	0.196795630026350;	0.201775345968748;	0.206537208740484;	0.210804911358474;	0.214404858916239;	0.219225216419373;	0.221016864057965;	0.224509536631546;	0.229585868865108;	0.234032835152178;	0.235319687621202;	0.242116339593897;	0.248283341819823;	0.254473299968863;	0.260878560366754;	0.267376875789666;	0.270521987119782;	0.278896818737153;	0.277032959012576;	0.285357510437367;	0.291971758315124;	0.300296584481019;	0.308266536968301;	0.317542518762971;	0.329677142530768;	0.333490959567622;	0.345533884226373;	0.357884548166629;	0.369350418010382;	0.386471503440164;	0.401315441417018;	0.420273454584941;	0.442911152327290;	0.467444652457379;	0.471506171194818;	0.524239970851353;	0.572473029218635;	0.616285718917095;	0.667597694098072;	0.707115696512996;	0.612928721015915
0.770671208654921;	0.282851036049995;	0.267040638977377;	0.241432079119550;	0.205548087247898;	0.262309077469556;	0.297579926885858;	0.150235908127552;	0.370184019106325;	0.657992387949833;	0.170689807550995;	0.167983041268327;	0.149063195335315;	0.121943528865669;	0.123385416549237;	0.110194614641410;	0.128595255877418;	0.111645457015760;	0.130328381315013;	0.115523412446974;	0.124338292361093;	0.114449713730597;	0.124088316810928;	0.116899327829029;	0.119011061282694;	0.128520107579029;	0.121908056914651;	0.123676169034130;	0.130894408721855;	0.138423623044856;	0.130274269724527;	0.137312917642505;	0.140478002098619;	0.149678301044278;	0.141407415350030;	0.145107356627382;	0.149718647390197;	0.156345525714349;	0.163940660343179;	0.156778059290548;	0.154763513611748;	0.160545302249695;	0.165409040303518;	0.169637935418767;	0.173765371340359;	0.177587682569966;	0.173484882429836;	0.174770414298935;	0.172610043426572;	0.176966974167989;	0.179604622027180;	0.183690569390848;	0.187809226746859;	0.191839578124005;	0.197018209079426;	0.201715326040911;	0.206451695506628;	0.201920576590315;	0.205379322101465;	0.210737010396201;	0.215859618644896;	0.220761993281735;	0.225156386867687;	0.228864699023301;	0.233836643383724;	0.235537391257884;	0.238977566235196;	0.244181622970567;	0.248728157900344;	0.250042979919927;	0.257002972955829;	0.263307370988134;	0.269626919554538;	0.276158923561097;	0.282771456446589;	0.286010486943859;	0.294543560172122;	0.292434229636039;	0.300902873633624;	0.307612766951713;	0.316073352071157;	0.324159920478064;	0.333571343246552;	0.345870078080242;	0.349725198977823;	0.361919938209502;	0.374402600368217;	0.385981832424921;	0.403260922582556;	0.418207747007535;	0.437277464075761;	0.460016471813388;	0.484620142231574;	0.488704875100835;	0.541444436502683;	0.589086743219130;	0.632658732663205;	0.683615752873683;	0.722700013239286;	0.627591149327861
