0.601212518046855;	0.082238797302523;	0.081836318536808;	0.076342789949149;	0.065121620750420;	0.087331328789754;	0.137710633251451;	0.049822628794250;	0.262686091563481;	0.556992392078709;	0.070151085235102;	0.077203407984859;	0.069350186607111;	0.043993041203965;	0.044025740075618;	0.039552874805902;	0.048260754902855;	0.041226904596508;	0.050168149083128;	0.044177565184757;	0.049266525908800;	0.049007056173781;	0.054919542820588;	0.051687677425904;	0.053335136807647;	0.059133682387060;	0.056257971040738;	0.058008246537444;	0.063061673496882;	0.067925071692773;	0.064471160971897;	0.069759267903903;	0.072355142933763;	0.078971889514402;	0.075520102503734;	0.079456853907548;	0.083554738298053;	0.089196029384927;	0.095898552051490;	0.092290126707488;	0.093150453661621;	0.098741531945089;	0.103689120954713;	0.108166117689914;	0.112563988516174;	0.116653527839832;	0.115279944852329;	0.117577168758504;	0.116887063312715;	0.121254097866135;	0.123636271298020;	0.127257519578099;	0.130646488432749;	0.133764904308453;	0.137664405528010;	0.140893195744316;	0.143964641777271;	0.139909740204194;	0.141517806132880;	0.144784838443452;	0.147655016013366;	0.150326463386364;	0.152545259538973;	0.154218173498004;	0.157077746917225;	0.158075355896380;	0.160190645086554;	0.163556454255905;	0.166495501716599;	0.166855930858186;	0.172349513790917;	0.177420943730806;	0.182711810544391;	0.188423163183926;	0.194373375729846;	0.197851552441164;	0.205887642040967;	0.206055997410573;	0.214450857130420;	0.221422305931260;	0.230192810776226;	0.238712295865574;	0.248583980251639;	0.261032656813120;	0.265857327593405;	0.278534296166789;	0.291376274838753;	0.303559256137668;	0.320858219708352;	0.335754448720757;	0.353965930604313;	0.374677683801994;	0.397070780785274;	0.406431642951733;	0.450964991138150;	0.489044656500113;	0.525829177844768;	0.570508297940138;	0.606607388364631;	0.510958477843203
0.616346746742826;	0.094447360195646;	0.093638805312258;	0.087306870964003;	0.074713266520867;	0.101470154740993;	0.150794622796548;	0.057465230041273;	0.271132620504147;	0.564944916943628;	0.078048006851583;	0.084365379349725;	0.075750866125485;	0.050823058692002;	0.050942694583714;	0.045808770795222;	0.055603022129232;	0.047669290129624;	0.057698666694776;	0.050948526956789;	0.056622040833920;	0.051274326363251;	0.057407600278868;	0.054070433469217;	0.055790086044302;	0.061811687990164;	0.058842470809806;	0.060665906307560;	0.065909924108833;	0.070970439628585;	0.067392644425256;	0.072879942044832;	0.075601847324211;	0.082470420564068;	0.078901686320610;	0.082987106968532;	0.087260366848198;	0.093125791522413;	0.100080378074078;	0.096407580184711;	0.097303397738722;	0.103122908667226;	0.108285390371382;	0.112970170998557;	0.117577415143415;	0.121873535034266;	0.120524343251399;	0.122963799000154;	0.122322204594519;	0.126902874322575;	0.129469159409708;	0.133317316363481;	0.136930178871872;	0.140268401729202;	0.144415424508428;	0.147881583327091;	0.151194899582650;	0.147132383038465;	0.148950809418887;	0.152483209995155;	0.155611413434185;	0.158541184627048;	0.161008379467037;	0.162914058656405;	0.166040489262083;	0.167125105680828;	0.169346750552877;	0.172927355296093;	0.176068380438097;	0.176560571231783;	0.182339811511122;	0.187683237784952;	0.193252328691998;	0.199253842436043;	0.205498164133094;	0.209232881880906;	0.217628195662369;	0.217843036605458;	0.226577932859267;	0.233846346930881;	0.242963914605250;	0.251823810623396;	0.262067968840561;	0.274929023387418;	0.279989851386990;	0.293043373898649;	0.306237209006590;	0.318742898881907;	0.336423477943938;	0.351634754339644;	0.370184632559366;	0.391244262868222;	0.413976116983390;	0.423581756275429;	0.468514909726619;	0.506644012051524;	0.543629358802743;	0.588420954458770;	0.624516995902835;	0.521220407939168
0.630719813667584;	0.106230016704553;	0.104530842216604;	0.097015962241617;	0.082917793310788;	0.113130458633702;	0.160926529810474;	0.063417814567947;	0.277469580652974;	0.570506172911065;	0.083685527745787;	0.089377508305432;	0.080137776196454;	0.055392541683370;	0.055480197988964;	0.049838805910053;	0.060215345398767;	0.051657509465758;	0.062249553241945;	0.054979231037516;	0.060907377733379;	0.056426508882261;	0.062990474721141;	0.059366743571700;	0.061186461827349;	0.067625106361159;	0.064394529387815;	0.066307539501734;	0.071880379441149;	0.077274958943645;	0.073370833937601;	0.079173191492241;	0.082063873023562;	0.089334029988164;	0.085446801807202;	0.089725181909716;	0.094227095050227;	0.100397690215519;	0.107690292926879;	0.103786618345392;	0.104605529157825;	0.110684070472908;	0.116067252927180;	0.120945194384673;	0.125731015675108;	0.130184627824008;	0.128696568785957;	0.131175407742421;	0.130414454955229;	0.135105208135397;	0.137723670420599;	0.141665071903865;	0.145351141855339;	0.148751478384077;	0.152976592187765;	0.156485604733379;	0.159824797523891;	0.155486415074998;	0.157268930008208;	0.160808521801036;	0.163920492419784;	0.166822788997821;	0.169245634911356;	0.171091194711788;	0.174193715406771;	0.175189607302692;	0.177387900688584;	0.181008732281817;	0.184174800643796;	0.184634092955908;	0.190500383751387;	0.195919756877361;	0.201567265723449;	0.207653564668130;	0.213981801435151;	0.217663653083142;	0.226167411075256;	0.226305350307316;	0.235175801593452;	0.242544009084932;	0.251786102244547;	0.260748762223208;	0.271106164185157;	0.284103684071046;	0.289214801658440;	0.302420420275866;	0.315760489220540;	0.328404514950492;	0.346257872743240;	0.361612471471678;	0.380307676620466;	0.401486683286365;	0.424312364611950;	0.433946485302530;	0.478915525518317;	0.516944645341864;	0.553813790001221;	0.598425775344002;	0.634307720899723;	0.533583031381724
0.646160111754499;	0.120491681402694;	0.117784265344538;	0.108934564500445;	0.093119209828847;	0.127858067382727;	0.173372281373153;	0.071054157922020;	0.285609602683625;	0.577439026373874;	0.091075776159796;	0.096030562191292;	0.086023520465772;	0.061559674892260;	0.061671145621846;	0.055388661175133;	0.066588035831673;	0.057237895420190;	0.068647438175899;	0.060713252622248;	0.067044872915987;	0.062041378277777;	0.069034798738999;	0.065093303292247;	0.067001495572456;	0.073858729180737;	0.070342244557095;	0.072333691996424;	0.078230530542117;	0.083961872436394;	0.079705590066755;	0.085824475817970;	0.088885085760623;	0.096564060752181;	0.092341171302672;	0.096802735742319;	0.101538643374561;	0.108023320105681;	0.115663185288716;	0.111533596880239;	0.112283749860317;	0.118638241666125;	0.124263989216112;	0.129362175349625;	0.134357571443201;	0.139005069637981;	0.137408209567700;	0.139959977810029;	0.139116133140528;	0.143965900950160;	0.146696924364482;	0.150802393220913;	0.154634735970634;	0.158166677258658;	0.162548097313753;	0.166188464791144;	0.169654664279401;	0.165116580184071;	0.166976017852300;	0.170650719319583;	0.173881370816900;	0.176899324689901;	0.179425745401989;	0.181360446896662;	0.184595936562063;	0.185571463172811;	0.187774266240863;	0.191525066803627;	0.194804161998250;	0.195306603389507;	0.201365935271228;	0.206960614524285;	0.212785325117099;	0.219056003029265;	0.225566810848118;	0.229404587613420;	0.238147363735807;	0.238212862477415;	0.247288464133829;	0.254816364022046;	0.264261390946504;	0.273417538881450;	0.283994103167225;	0.297235438700603;	0.302433082939974;	0.315830499204787;	0.329326511066139;	0.342093940062758;	0.360105577960558;	0.375551192274223;	0.394348572970828;	0.415637318042273;	0.438565091344386;	0.448247962308135;	0.493362248562343;	0.531209923264157;	0.568114043093775;	0.612722923939596;	0.648513506304933;	0.545427960109376
0.663516557397885;	0.137280055967989;	0.133326113824716;	0.122884164875272;	0.105075540704680;	0.144738641728469;	0.187476444214419;	0.079974836456791;	0.295022895344545;	0.585119620250533;	0.099600555538536;	0.103721459546463;	0.092827491795182;	0.068665963269858;	0.068794353606214;	0.061780249373443;	0.073877581898031;	0.063634113212327;	0.075927235222897;	0.067246240453236;	0.074003876208565;	0.068424063619522;	0.075879602996780;	0.071584064109151;	0.073584086690327;	0.080894467252534;	0.077057291713357;	0.079127575795998;	0.085374716947320;	0.091474246039146;	0.086823477855578;	0.093274404920052;	0.096519060688071;	0.104639660204635;	0.100040238883244;	0.104702325447043;	0.109690190566988;	0.116513330043210;	0.124523759597751;	0.120149724589669;	0.120798601367358;	0.127442140512993;	0.133321687574505;	0.138649780789613;	0.143861542338489;	0.148707620073015;	0.146982544673441;	0.149608511687281;	0.148659962383659;	0.153662705461600;	0.156498101309064;	0.160760276140615;	0.164731824480964;	0.168400664588529;	0.172942253717151;	0.176709753492503;	0.180289886587462;	0.175516360976351;	0.177428201955515;	0.181208965670540;	0.184521848932094;	0.187612938099081;	0.190193666627360;	0.192161128208744;	0.195465797085075;	0.196355182972584;	0.198546425117859;	0.202378573760635;	0.205720388613702;	0.206218953468705;	0.212419759721728;	0.218143572335591;	0.224101104597178;	0.230512809357880;	0.237162411670087;	0.240964428166915;	0.249875167621564;	0.249865200248896;	0.259140620013769;	0.266820526554711;	0.276451738950752;	0.285769984040121;	0.296522496878968;	0.309965719931037;	0.315265226910767;	0.328888982142718;	0.342602594030513;	0.355583478278301;	0.373850062198056;	0.389518193953156;	0.408540390785852;	0.430016479063909;	0.453098035852646;	0.462869720878438;	0.508016034042010;	0.545718003520420;	0.582458537992504;	0.626816402666152;	0.662312702289515;	0.558818710096957
0.682749364200249;	0.157017055538319;	0.151518520407890;	0.139182062405710;	0.119067578013163;	0.165630503722496;	0.203329244931576;	0.090387028520019;	0.305884104003296;	0.593610528455779;	0.109425014709456;	0.112596616393943;	0.100680076753112;	0.076817852335091;	0.076987887986004;	0.069117368678951;	0.082187448858581;	0.070953828790317;	0.084223892292931;	0.074711375189957;	0.081933376424286;	0.075686804072127;	0.083633501356224;	0.078941770357121;	0.081034554416035;	0.088832640167202;	0.084639547980601;	0.086787738577902;	0.093402880318836;	0.099901529496732;	0.094806934403451;	0.101620138390419;	0.105065209237101;	0.113665443811152;	0.108646289520134;	0.113498905963288;	0.118756229127718;	0.125942207743235;	0.134346738398319;	0.129709124735357;	0.130253776314948;	0.137205411801753;	0.143357700900756;	0.148935094596898;	0.154381407084139;	0.159444389849725;	0.157583613077692;	0.160279466172683;	0.159218125022918;	0.164380481082364;	0.167334112727814;	0.171772267751073;	0.175894461300752;	0.179694587330406;	0.184391830583203;	0.188287154513494;	0.191990139768222;	0.186970375514146;	0.188948665658009;	0.192856121830200;	0.196274946077845;	0.199468480148103;	0.202137921563207;	0.204177721076094;	0.207600088938636;	0.208427129919446;	0.210579918285641;	0.214525785186264;	0.217962191436041;	0.218487345314098;	0.224867085924060;	0.230751614746139;	0.236871845514520;	0.243453759480739;	0.250270670824797;	0.254218018517469;	0.263356849412249;	0.263243907640093;	0.272736362590530;	0.280588446280009;	0.290437956425688;	0.299946314042151;	0.310889495589311;	0.324545042215775;	0.329920281780778;	0.343729638655858;	0.357589723057948;	0.370688844949265;	0.389103507910119;	0.404852049983359;	0.423963773286548;	0.445537334232998;	0.468710392163543;	0.478545118043385;	0.523802900918125;	0.561247606179876;	0.598024907994643;	0.642404143472508;	0.677838812306341;	0.572252376354147
0.704908059188338;	0.180246502988357;	0.172832408399931;	0.158245048191515;	0.135467904143472;	0.184141018709821;	0.221545728543551;	0.102567664604955;	0.318491563887890;	0.603040898128323;	0.120780504497802;	0.122888005855190;	0.109783202819537;	0.086263275361581;	0.086424890498303;	0.077599453226465;	0.091726361087473;	0.079355850647478;	0.093645323546497;	0.083186990452262;	0.090876164844622;	0.083925079203532;	0.092386260186600;	0.087244738191559;	0.089421652638772;	0.097732470547401;	0.093130877537654;	0.095344901738080;	0.102349152820698;	0.109271689433595;	0.103678753598007;	0.110849038218201;	0.114500776583612;	0.123603220417006;	0.118113733497460;	0.123179223329884;	0.128718005309397;	0.136285174270709;	0.145099713265897;	0.140180608970596;	0.140568513514518;	0.147835212770229;	0.154267249456639;	0.160101047004077;	0.165787003010518;	0.171071399093439;	0.169059153362637;	0.171836003212418;	0.170644977617646;	0.175966260085233;	0.179037727355128;	0.183653609517049;	0.187928238274735;	0.191870248364344;	0.196731843773117;	0.200758082084246;	0.204581599057713;	0.199293022387385;	0.201328755791273;	0.205351366247743;	0.208859862363392;	0.212136522589029;	0.214871514979174;	0.216956014234591;	0.220463686153789;	0.221177885023082;	0.223303099134021;	0.227335797729890;	0.230838572053809;	0.231365354301277;	0.237897378212742;	0.243922431292001;	0.250187271217075;	0.256922248403503;	0.263887816970297;	0.267785008369931;	0.277100400414317;	0.276896195575286;	0.286577414888376;	0.294563423118758;	0.304582722745556;	0.314235781953307;	0.325344346986886;	0.339183155742691;	0.344644923206035;	0.358658572161486;	0.372708218917186;	0.385994884765760;	0.404630178236405;	0.420567258378812;	0.439862399880390;	0.461569916381686;	0.484836572678281;	0.494720031220659;	0.539885313278049;	0.577056713266443;	0.613549928065876;	0.657549835147097;	0.692556731063248;	0.586068574228484
0.723667535851568;	0.207326531383767;	0.197549851183413;	0.180307886120795;	0.154484893849979;	0.205547491691973;	0.240667041809762;	0.116661912408413;	0.332818088450855;	0.613317889181292;	0.133738974939997;	0.134617539022837;	0.120165317111301;	0.096887683361682;	0.097183080306267;	0.087195092793464;	0.102443351054221;	0.088849640705183;	0.104258449664812;	0.092748941499785;	0.100948207608634;	0.093195007960779;	0.102188468969534;	0.096551448068942;	0.098809451059348;	0.107663152921599;	0.102619825798585;	0.104894785638996;	0.112290211047975;	0.119663745213863;	0.113514802371550;	0.121082291627631;	0.124955826610564;	0.134595986266844;	0.128586936935756;	0.133823696677506;	0.139654465187513;	0.147618601704651;	0.156855998219589;	0.151632638287103;	0.151870114670576;	0.159460683861174;	0.166181538563589;	0.172281381566588;	0.178214529773953;	0.183727639342779;	0.181548556624673;	0.184381219236009;	0.183042561712937;	0.188511398068358;	0.191701500088106;	0.196499135673450;	0.200928403371334;	0.205016272324297;	0.210047402825850;	0.214210255455163;	0.218160813675897;	0.212593514295762;	0.214693166561415;	0.218838943556300;	0.222445422812540;	0.225816493457484;	0.228631297625399;	0.230778315443169;	0.234394642404237;	0.235006310253963;	0.237048109848830;	0.241179546444559;	0.244759382362021;	0.245299469604890;	0.251993417619962;	0.258161022997966;	0.264569036057398;	0.271453197713063;	0.278561952100786;	0.282587011638720;	0.292104558178300;	0.291752703386209;	0.301631507545676;	0.309768898000312;	0.319984969749443;	0.329807466056782;	0.341092497007640;	0.355120661054624;	0.360643368443821;	0.374808587264673;	0.388962033100826;	0.402321855853501;	0.421044191017844;	0.436995077830089;	0.456298043890156;	0.478006036572941;	0.501249478548945;	0.511088106966859;	0.556165074164334;	0.592846907621623;	0.629155583182852;	0.672901656754967;	0.707597925694992;	0.600305077634806
0.744677495329687;	0.238936254127249;	0.226266885763120;	0.205904987633513;	0.176605372317786;	0.230127652347553;	0.262171461161485;	0.132974258036958;	0.349520977696162;	0.624620353673452;	0.148552106055390;	0.148141520626020;	0.132104078400641;	0.109085964632724;	0.109332111235971;	0.098214314256920;	0.114645091224476;	0.099633299562533;	0.116202151652518;	0.103561255138939;	0.112244517014669;	0.103622490374548;	0.113173599708075;	0.106981744867702;	0.109308667644197;	0.118728334801543;	0.113173995247366;	0.115491807153019;	0.123313609383728;	0.131166430487822;	0.124400561268478;	0.132329747265117;	0.136429652427295;	0.146625962711445;	0.140038158948944;	0.145500519130643;	0.151636002218439;	0.160016547815596;	0.169691894963333;	0.164147002321812;	0.164145704180288;	0.172063991110844;	0.179078248978872;	0.185449242630174;	0.191632441109952;	0.197376728990187;	0.195012652050492;	0.197922011216974;	0.196415394593258;	0.202030064687387;	0.205336493077574;	0.210315370872841;	0.214895082177708;	0.219125078959826;	0.224320636145084;	0.228613668182339;	0.232683818022898;	0.226814207620495;	0.228968926306872;	0.233227213505251;	0.236918031768437;	0.240368241748845;	0.243245049310415;	0.245433400682759;	0.249132375018560;	0.249589882292641;	0.251575235018049;	0.255782267174744;	0.259415162581319;	0.259948741686153;	0.266781707421501;	0.273076936744892;	0.279615450889948;	0.286636791787858;	0.293874660025637;	0.297805972513350;	0.307472806213339;	0.306991879215050;	0.317018979160999;	0.325244816271081;	0.335580212014900;	0.345490917966027;	0.356881439952007;	0.371022134684858;	0.376572383802001;	0.390853983482496;	0.405099001814323;	0.418538242967222;	0.437348327627586;	0.453360242556134;	0.472711380162347;	0.494429367856067;	0.517656439024453;	0.527485416475446;	0.572368769542765;	0.608794492911590;	0.644795282180523;	0.688084290706294;	0.722307206647924;	0.614804285322983
0.763021036670069;	0.275697889476553;	0.259458845494134;	0.235447750854652;	0.202190229497423;	0.258212300703887;	0.285948401280595;	0.151808351491760;	0.367615760286722;	0.636934786385621;	0.165610686687038;	0.163504001038998;	0.145749433050479;	0.122871702620580;	0.123070224640124;	0.110588304931252;	0.128322102134882;	0.111860189483016;	0.129674998005120;	0.115675899394655;	0.124916148556283;	0.115332927278544;	0.125425084487466;	0.118615903066365;	0.120994165474687;	0.130996566623977;	0.124904633532533;	0.127250622623715;	0.135458309940009;	0.143805112816626;	0.136349959549374;	0.144714841575460;	0.149053746095712;	0.159838557536640;	0.152616263076458;	0.158196544040082;	0.164638903826828;	0.173441384197188;	0.183556523573669;	0.177665566190630;	0.177465959493042;	0.185713706060772;	0.193024206742630;	0.199670458073415;	0.206105659430460;	0.212083054324585;	0.209516021072853;	0.212454188365028;	0.210758425992321;	0.216495354454261;	0.219913405026417;	0.225070319688018;	0.229796036033668;	0.234165653971058;	0.239522155617097;	0.243941674734782;	0.248127422951689;	0.241940392311261;	0.244145706285491;	0.248510981981126;	0.252280891521291;	0.255807368748560;	0.258746069892296;	0.260979221906660;	0.264767577235052;	0.265073049437628;	0.266917330905477;	0.271195919634744;	0.274876495635771;	0.275400056486023;	0.282358856035292;	0.288758606129785;	0.295398998818469;	0.302524335813684;	0.309855591342035;	0.313874815016627;	0.323682876841330;	0.322982455777672;	0.333142391061944;	0.341455618399065;	0.351915434652883;	0.361928879870556;	0.373434899099778;	0.387703980073312;	0.393288320088253;	0.407681540862356;	0.422012602168721;	0.435518802264896;	0.454412415656994;	0.470461710345148;	0.489841831654130;	0.511571226569353;	0.534778081810964;	0.544583749202571;	0.589330347768465;	0.625205759355438;	0.660970415391082;	0.703917704621290;	0.737758908337223;	0.629625360390167
