0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.038896969476873;	0.015863632859049;	0.000000000000000;	0.000000000000000;
0.031876346891069;	0.013698805569470;	0.000000000000000;	0.000000000000000;
0.027066376137414;	0.012091831591844;	0.000000000000000;	0.000000000000000;
0.024674505140800;	0.011247082605680;	0.000000000000000;	0.000000000000000;
0.022933701456737;	0.010698306255379;	0.000000000000000;	0.000000000000000;
0.021556002847488;	0.010289226676036;	0.000000000000000;	0.001669053081951;
0.020522002151058;	0.009965720036159;	0.000000000000000;	0.003338106163902;
0.019733503897327;	0.009754904840640;	0.000000000000000;	0.001913145740032;
0.019058017020309;	0.009538796291626;	0.000000000000000;	0.002258511050815;
0.018350242565921;	0.009339317465082;	0.000000000000000;	0.002365710377445;
0.017797394768492;	0.009199774373441;	0.000000000000000;	0.002453433466617;
0.017394145447254;	0.009056672807688;	0.000000000000000;	0.002500273996644;
0.016958047861757;	0.008971286629713;	0.000000000000000;	0.002568058608695;
0.016711578112299;	0.008905635207416;	0.000000000000000;	0.002610776996537;
0.016469297738926;	0.008794459204786;	0.001067568747155;	0.002660284368870;
0.016059491902671;	0.008709949632454;	0.002135137494311;	0.002722106309800;
0.015736055692352;	0.008688183184326;	0.001246717748192;	0.002757269055230;
0.015566940883578;	0.008612599790273;	0.001522393801284;	0.002806646695699;
0.015488166107287;	0.008579201686559;	0.001597645067559;	0.002847383313937;
0.015175949619499;	0.008568267853170;	0.001670337668813;	0.002894953133478;
0.014884227127698;	0.008494682645810;	0.001733335913334;	0.002954526492347;
0.014847768500474;	0.008494389407942;	0.001782868961688;	0.002994686915550;
0.014737885376230;	0.008474909775591;	0.001831105165869;	0.003042645641349;
0.014421044528647;	0.008477984235871;	0.001875124838464;	0.003108119760641;
0.014321189058114;	0.008486418639632;	0.001937100194954;	0.003172487539691;
0.014353892673495;	0.008475483574796;	0.002402641127060;	0.003214853099753;
0.014021336049294;	0.008465457734443;	0.002814733811861;	0.003260930494953;
0.013901517632908;	0.008429054243911;	0.002636623245632;	0.003318203426154;
0.013892099886957;	0.008390209775319;	0.002687094492825;	0.003384664178206;
0.013693189624913;	0.008419753807522;	0.002737275128866;	0.003454716838766;
0.013669258965622;	0.008507897694021;	0.002800449981411;	0.003520517963920;
0.013620557874868;	0.008515247791458;	0.002862051994286;	0.003580954074740;
0.013437303675007;	0.008503174389835;	0.002923635618129;	0.003643703414922;
0.013362957854892;	0.008468446882877;	0.002990182779940;	0.003712712184390;
0.013411464534755;	0.008467757237793;	0.003057332400256;	0.003782481346367;
0.013221911241700;	0.008556524404431;	0.003128951121764;	0.003853470528272;
0.013131523308450;	0.008655149857778;	0.003191196676913;	0.003941587962464;
0.013258210394498;	0.008652773538126;	0.003270876822096;	0.004029662922791;
0.013046532274373;	0.008610894882902;	0.003342998482688;	0.004109445105641;
0.013025864189241;	0.008653399471857;	0.003413853014935;	0.004196037084714;
0.013171283405770;	0.008735215336005;	0.003504112176825;	0.004285185043675;
0.012920628704906;	0.008835400497538;	0.003589275546701;	0.004379713631718;
0.012929266074625;	0.008857225920166;	0.003657248249439;	0.004471375220175;
0.013059242022030;	0.008798391388005;	0.003743389632428;	0.004571066330025;
0.012873025619097;	0.008896295555821;	0.003851660634925;	0.004664964705697;
0.012886677001232;	0.009048595751900;	0.003945894766262;	0.004769003439990;
