0.034432165247890;	0.023245516025094;	0.013537517453555;	0.005974794712580;
0.119176960677773;	0.119495055160801;	0.000000000000000;	0.000000000000000;
0.096637697902569;	0.103067301959315;	0.000000000000000;	0.000000000000000;
0.080964021608628;	0.083938805403537;	0.000000000000000;	0.000000000000000;
0.073002089296396;	0.068750916721004;	0.000000000000000;	0.000000000000000;
0.067361578881977;	0.056861100670436;	0.000000000000000;	0.000000000000000;
0.061404210373958;	0.048620485661811;	0.000000000000000;	0.001828246152936;
0.056186286831116;	0.044555115090722;	0.000000000000000;	0.003656492305872;
0.052604704711066;	0.041197527359908;	0.000000000000000;	0.001697099894623;
0.052373283576525;	0.038413133494379;	0.000000000000000;	0.001346164572987;
0.050944608977523;	0.035226046592957;	0.000000000000000;	0.001551514737298;
0.047467792983778;	0.031202229496366;	0.000000000000000;	0.003202756115740;
0.046902525851581;	0.028676511678654;	0.000000000000000;	0.004444271319907;
0.045196297348581;	0.027090854054907;	0.000000000000000;	0.003077206774360;
0.043484591770292;	0.026673094727986;	0.000000000000000;	0.002598715913564;
0.042989084889197;	0.029761705905767;	0.000000024077290;	0.003546420170094;
0.041404298373192;	0.035028593248861;	0.000000048154579;	0.005509703078619;
0.039825643440914;	0.034918269598807;	0.000000047617947;	0.004320807940742;
0.038780244440844;	0.030098269848045;	0.002217016341346;	0.003762472245533;
0.039074496238118;	0.026410389465397;	0.001975520276809;	0.005419145574052;
0.038841694390388;	0.023640537984340;	0.001953477174463;	0.006353969174415;
0.036524316136564;	0.023505381462848;	0.001872862676712;	0.004910393574560;
0.036617770144677;	0.022989772340182;	0.001719680593084;	0.005834605071134;
0.036964873281701;	0.023306001975329;	0.001723870022688;	0.007445640253164;
0.035954886006361;	0.022251967222116;	0.001579497522514;	0.006456906727191;
0.034750510211399;	0.022149984182454;	0.001453750412936;	0.007306586940400;
0.035021915342396;	0.022024142326566;	0.002528641131297;	0.008282225187595;
0.035489165456828;	0.021705185767217;	0.004914730664921;	0.007683777448689;
0.032790244835117;	0.021434366483873;	0.004082878708560;	0.008719557421052;
0.033100945843066;	0.020626633845082;	0.003642108979128;	0.008673115133777;
0.033447529841326;	0.021246543207666;	0.003502528135936;	0.008852037100965;
0.031821639021536;	0.021150451994567;	0.004128672251332;	0.009678549635170;
0.032389643202060;	0.021374344762448;	0.004940172924652;	0.009932279316684;
0.032151084365862;	0.021247805968615;	0.005264992224528;	0.010518633671331;
0.030602994363782;	0.021482969327027;	0.005135991785665;	0.010711439283308;
0.031237117992253;	0.021958141200301;	0.004683265842987;	0.011221033946976;
0.030304919606216;	0.022339996323505;	0.005308532201606;	0.011356560344080;
0.029444708693384;	0.021641941770572;	0.006356969381990;	0.011928901533994;
0.030266545180010;	0.021818708352617;	0.006650690180827;	0.012168651665981;
0.028940512548019;	0.021848108491480;	0.006971282771110;	0.012683664317159;
0.029262878144975;	0.022513746267238;	0.007493127436227;	0.013044791475621;
0.029535255902523;	0.022145317272135;	0.007601567412876;	0.013178600634599;
0.027758408501551;	0.021936176465423;	0.007738323727516;	0.013887722355178;
0.028259236548519;	0.022300443796773;	0.008137673316639;	0.013981461567704;
0.028819529739797;	0.022110502815281;	0.008462523177347;	0.014428425440932;
0.026981074663174;	0.022831497730853;	0.008567839060965;	0.015181719465685;
0.027085782097042;	0.022605869692167;	0.008847315489970;	0.015348487655399;
0.028284058669081;	0.022233733420843;	0.009169562326795;	0.015592822032843;
0.025798367100522;	0.022975453090785;	0.009420500212446;	0.016320311088780;
0.025387679864230;	0.022637906413469;	0.009923487839448;	0.016584322198696;
0.027086935337954;	0.022725892659969;	0.010027014836230;	0.017098900578905;
0.025240819431711;	0.023389894529663;	0.010360862497001;	0.017480663504535;
0.024965680516674;	0.022696884993752;	0.010831703987765;	0.017817008471712;
0.025964815629523;	0.022737683878722;	0.010966303992983;	0.018267466487869;
0.024357584565278;	0.023291892998963;	0.011318595440276;	0.018600045802431;
0.023890417796129;	0.022850286841392;	0.011767455570379;	0.019561820968813;
0.024656583704659;	0.022870678994095;	0.012241872540734;	0.020025419770398;
0.023511681834941;	0.023238669248965;	0.012457569498936;	0.020256718516161;
0.023033153278136;	0.022671137564285;	0.012868901404285;	0.020696810068724;
0.023415106752296;	0.022651761020973;	0.013271900839172;	0.020623787838018;
0.022373407492300;	0.023518374209375;	0.013897837879322;	0.020868252146419;
0.022356261717874;	0.023350278872786;	0.014233158145350;	0.021184601435232;
0.022549997800589;	0.022270579925568;	0.014685726849464;	0.021505546663333;
0.021400257458457;	0.022316567700280;	0.015469342345421;	0.021589605832394;
0.021404639310966;	0.023062400790617;	0.015676389304414;	0.021795996904082;
0.022007188711155;	0.022833007725975;	0.015916107552760;	0.022002437100373;
0.020849683497114;	0.022154624766475;	0.016237004876582;	0.022019991694436;
0.020595267712547;	0.022171270445459;	0.016932788412313;	0.022392427504855;
0.020917851701013;	0.022282427018714;	0.017337864002878;	0.022370506162185;
0.019463455096875;	0.021849295532370;	0.017586557962394;	0.022239631957238;
0.019608879770443;	0.021395179424395;	0.018213079039262;	0.022515594772337;
0.020318688773039;	0.021407332063391;	0.018714340572078;	0.022185954276695;
0.018417594648090;	0.021763688458980;	0.019062240855668;	0.021832015337294;
0.017998853402404;	0.021595432529399;	0.019111350398133;	0.022196780351764;
0.019302552439232;	0.021026820255557;	0.019500879437255;	0.022078854377207;
0.019232928948414;	0.020137738090481;	0.019889612155676;	0.021495596340968;
0.017792314493477;	0.019992059988893;	0.019962795668087;	0.021243726641671;
0.017565863857508;	0.020279503223018;	0.020208841207133;	0.021020236903739;
0.017947517393046;	0.020017738055990;	0.020521456177762;	0.020688410997942;
0.016385500300348;	0.019631555287468;	0.020466367011777;	0.020557225618972;
0.016258744321984;	0.018924643930012;	0.020622359305305;	0.020194403266399;
0.017349387063092;	0.018549290444508;	0.021700429176552;	0.019824117473025;
0.017166640358795;	0.018571835515823;	0.022049344621015;	0.019707767868392;
0.015696350082283;	0.018401951096206;	0.021028920723337;	0.019605655235805;
0.015717869405751;	0.018123147046536;	0.020291246788421;	0.019116723798066;
0.016384168152507;	0.017648983498736;	0.020208728438130;	0.018652354957540;
0.015843463226897;	0.017048897433843;	0.020224299351286;	0.018489900195694;
0.014853914718574;	0.016768097517536;	0.019961820711711;	0.018246470404818;
0.014549003752989;	0.016805186919649;	0.019786091099434;	0.017954001365691;
0.015093715537279;	0.016665692534929;	0.019244694192452;	0.017713432125832;
0.014717010078998;	0.016374839226913;	0.018925009654383;	0.017301439429973;
0.013571897008697;	0.015999643515748;	0.018728008014907;	0.016869044168011;
0.012983738628621;	0.015554534289050;	0.018311073266269;	0.016700981740138;
0.013488298022412;	0.015160828809900;	0.018005613757494;	0.016534966305525;
0.013525641748695;	0.014891547845647;	0.017533722358002;	0.016367411783185;
0.012859035147763;	0.014786542840349;	0.017153542085560;	0.016206152026076;
0.011353627094123;	0.014515656539539;	0.016813769827994;	0.015970267114164;
0.011052441435920;	0.014081880721280;	0.016497582620176;	0.015678566425272;
0.011456650302318;	0.013649335857238;	0.016353965681971;	0.015375417338219;
0.010725480792646;	0.013152667996865;	0.016273761432017;	0.014908229045119;
0.009967202324675;	0.012692519915107;	0.015836661894599;	0.014559160081810;
0.008523731632096;	0.012360811434894;	0.015256922623330;	0.014427416248565;
0.008222431069711;	0.011917019273433;	0.014909979237684;	0.014138339927635;
0.007774083654988;	0.011288037965919;	0.014583988587890;	0.013733547162351;
0.006859212902472;	0.010652134185098;	0.014246060620314;	0.013286018546379;
0.006592344227227;	0.009685622894935;	0.013897750979295;	0.012763581277340;
0.006119425653445;	0.008889645511665;	0.013387349165166;	0.012169924446226;
0.005751169751575;	0.008421647714495;	0.012808734165449;	0.011534153957846;
0.005564196245808;	0.007974420272160;	0.012294571420084;	0.010746819858044;
0.005311532088065;	0.007548232930967;	0.011838516942830;	0.009979078520086;
0.004959874834483;	0.007097907359421;	0.011048029851250;	0.009326083712350;
0.004620754901150;	0.006649311099529;	0.010138372824687;	0.008721073826864;
0.004285373873579;	0.006207414633226;	0.009471024673811;	0.008111525140238;
0.003943900922408;	0.005815776540927;	0.008824368733259;	0.007555342129552;
0.003798769906475;	0.005463972436914;	0.008215111311397;	0.007071626030628;
0.003682029532265;	0.005111931915948;	0.007628441873270;	0.006605847784252;
0.003453618518846;	0.004755476946793;	0.007090333713905;	0.006179128197293;
0.003230616458165;	0.004419621000580;	0.006639964193568;	0.005760860896840;
0.002993813770196;	0.004172564227209;	0.006155075862858;	0.005362464288503;
0.002794434348921;	0.003944920976429;	0.005681829915158;	0.004993697186923;
0.002598805312578;	0.003692662285217;	0.005303075224182;	0.004670237524477;
0.002376606663811;	0.003445586539251;	0.004967359902431;	0.004378014162637;
0.002280225836050;	0.003227196717634;	0.004582600839248;	0.004063649069274;
0.002202628377833;	0.003014276213243;	0.004227318072173;	0.003768772367673;
0.002030523965491;	0.002788932423874;	0.003945901860672;	0.003537436002610;
0.001874708278840;	0.002574110551982;	0.003671424131895;	0.003230718552987;
0.001735990432415;	0.002373507023068;	0.003386065304280;	0.002964071683227;
0.001626984173664;	0.002200265093486;	0.003115239253144;	0.002772785964037;
0.001525089517644;	0.002057901527742;	0.002848789027423;	0.002571760439347;
0.001415813446226;	0.001923742124978;	0.002610056238049;	0.002440012154874;
0.001324611106344;	0.001788459425559;	0.002418778190841;	0.002422155100900;
0.001218161707417;	0.001673693848706;	0.002244805636653;	0.002349823279397;
0.001185930009670;	0.001564719830895;	0.002082206548224;	0.002170549962086;
0.001185780444729;	0.001486978299479;	0.001938648353170;	0.002036838472803;
0.001112034136770;	0.001436112808319;	0.001808506585766;	0.001339098566142;
0.001021048243235;	0.001362005100335;	0.001684586641168;	0.001260655884550;
0.000936431833660;	0.001263727882303;	0.001588760804697;	0.001921145060573;
0.000869083954313;	0.001164711468733;	0.001509890459849;	0.001700753423141;
0.000812774482853;	0.001073353426141;	0.001409858769940;	0.001305935584595;
0.000760514894978;	0.001005798834398;	0.001295497248694;	0.001093764179081;
0.000706681527148;	0.000948516900754;	0.001186762462303;	0.001086389286447;
0.000655941062033;	0.000884648408947;	0.001108791996787;	0.001135437298403;
0.000612254215554;	0.000821504711667;	0.001046166029155;	0.001001529492581;
0.000577878497542;	0.000770161193194;	0.000976486145300;	0.000898436611057;
0.000544992107332;	0.000731578397408;	0.000911835361221;	0.000847978564918;
0.000515327975533;	0.000698366769409;	0.000860010342242;	0.000817851974960;
0.000480588891274;	0.000673485692278;	0.000810739984267;	0.000799467189062;
0.000477841314817;	0.000648007305736;	0.000773030656320;	0.000769622976424;
0.000485221360418;	0.000616423384558;	0.000745611051763;	0.000705467061899;
0.000455487519834;	0.000586199404217;	0.000712751220585;	0.000690086655004;
0.000426946481033;	0.000557493157325;	0.000677336753464;	0.000656284099189;
0.000398840953420;	0.000521768815352;	0.000638404286612;	0.000619152008267;
0.000371936492751;	0.000488713942317;	0.000600831017359;	0.000591386293934;
0.000349717815815;	0.000459850544916;	0.000570418459260;	0.000546081334229;
0.000329058260733;	0.000433845564790;	0.000529446007388;	0.000514170570863;
0.000307314159136;	0.000410738391763;	0.000496836977163;	0.000487101990311;
0.000285328938763;	0.000385159032528;	0.000483099806204;	0.000459669167718;
0.000269078237537;	0.000359552329244;	0.000445337288932;	0.000430753915763;
0.000253138416284;	0.000338840697371;	0.000411160577446;	0.000408021147605;
0.000236384457813;	0.000315980984780;	0.000408808656145;	0.000384696777189;
0.000225433040775;	0.000286434083755;	0.000377000470788;	0.000364594834227;
