0.155598787700891;	0.058587248442643;	0.000000000000000;	0.000000000000000;
0.100754701105764;	0.078507446711918;	0.043381730226726;	0.035316424065262;
0.083733486817530;	0.066749471567470;	0.036836594355241;	0.029687498613160;
0.070231214537962;	0.055745680820524;	0.030707149418302;	0.024781163445995;
0.062395927956072;	0.048245716228152;	0.026516159175540;	0.021626787914419;
0.056689455708059;	0.042508299098725;	0.023311729290356;	0.019258414244735;
0.071874235322878;	0.055982607240036;	0.034038010065347;	0.034637377623915;
0.064764733013312;	0.050249407548169;	0.030265229295534;	0.031724473839942;
0.044672986862020;	0.032838732267621;	0.017992336090600;	0.015758911666961;
0.044046863667283;	0.031831893722641;	0.017410063325191;	0.015208070879121;
0.042580938821290;	0.030386467628099;	0.016606653448450;	0.014758474943201;
0.039734498215924;	0.028083976445910;	0.015385011896947;	0.014568188172462;
0.038816093560848;	0.026955905660124;	0.014781465865618;	0.014482095963531;
0.037280487105296;	0.025762272125716;	0.014086121723954;	0.013402341123255;
0.036353703826744;	0.025223296423769;	0.013761837036945;	0.012879038263205;
0.055477541325298;	0.043871155993766;	0.026516588294322;	0.022890348480164;
0.055827612444221;	0.047661106356021;	0.029447762738518;	0.026107751338632;
0.035988328970527;	0.027180184752002;	0.015435288035207;	0.014308793936547;
0.034555694702981;	0.025568316228869;	0.014784770703960;	0.013418982035955;
0.034340855677126;	0.024667807671003;	0.014218510231616;	0.013964931800926;
0.033735802568946;	0.023668659819972;	0.013669174070698;	0.013880680768457;
0.032063706708718;	0.022967005745465;	0.013215464354936;	0.012839534198330;
0.032164041358577;	0.022871603625147;	0.013159793128405;	0.013350488350815;
0.032718749712219;	0.023284436657326;	0.013417375387737;	0.014062398274339;
0.031719636495418;	0.022441716584884;	0.012887274474679;	0.013320428162004;
0.031009797936826;	0.022174705598541;	0.012724516917745;	0.013600311525818;
0.031579641563319;	0.022799645956914;	0.013831015506516;	0.014335814755418;
0.032029204016069;	0.023053258303725;	0.014443180981371;	0.014304544607258;
0.030005282035601;	0.022051157256373;	0.013628120099553;	0.014221698873971;
0.030029981851183;	0.021731387621251;	0.013328027987501;	0.014119529823549;
0.030570541068040;	0.022199001650470;	0.013539254593811;	0.014435290241624;
0.029542350480490;	0.021887965056771;	0.013628240386373;	0.014565366299821;
0.030203837657449;	0.022434096275032;	0.014191115257925;	0.014988509672691;
0.030198870329718;	0.022485333199540;	0.014377536434799;	0.015287477958772;
0.029155498719360;	0.022153605585359;	0.014184415945344;	0.015183087149754;
0.029807896593850;	0.022603404319024;	0.014293714760589;	0.015621983119891;
0.029437213666966;	0.022755001013290;	0.014640063091821;	0.015755198698702;
0.028799279038795;	0.022398023992654;	0.014801882508646;	0.015927133073682;
0.029595165254396;	0.022890623540990;	0.015174024387350;	0.016335221696704;
0.028777593894002;	0.022667929633931;	0.015161926857764;	0.016488825619175;
0.029332707019166;	0.023304667263250;	0.015717595502612;	0.016979803967736;
0.029587478875137;	0.023344596833775;	0.015852329823740;	0.017155963533016;
0.028319619380006;	0.022820095537632;	0.015645184324871;	0.017225309896315;
0.028906926923622;	0.023321793776435;	0.016052797319221;	0.017554124580186;
0.029467918732763;	0.023603899072946;	0.016395181059536;	0.018015821545582;
0.028411632299429;	0.023569666711981;	0.016471128184712;	0.018311602472531;
0.028538715992538;	0.023629951276621;	0.016607064852736;	0.018507471129862;
0.029479736087310;	0.023981446079873;	0.016968150154431;	0.018946082015644;
0.028008601252869;	0.023842872716176;	0.017065448716069;	0.019185240113438;
0.027724038949009;	0.023713502464299;	0.017201833386513;	0.019351699719082;
0.029146299255841;	0.024424067505150;	0.017685707700711;	0.020098859945621;
0.028064045196742;	0.024404494948368;	0.017868290920953;	0.020261769352963;
0.027798664904068;	0.024155240878437;	0.017956000587937;	0.020468403925663;
0.028695434150288;	0.024644957918472;	0.018336851909207;	0.021075670817136;
0.027736343585940;	0.024626588262293;	0.018510088224846;	0.021256293015221;
0.027432605571746;	0.024498501106537;	0.018705118409324;	0.021864863853028;
0.028191789151731;	0.024990144710099;	0.019227057149401;	0.022517883029776;
0.027506224338767;	0.024995600349879;	0.019383862035634;	0.022708416695080;
0.027106397604735;	0.024741952329388;	0.019493664087125;	0.023004682347209;
0.027506455064155;	0.025041246828661;	0.019872659441853;	0.023263534537505;
0.027094299074730;	0.025466746539276;	0.020439343203062;	0.023646311752367;
0.027134121691088;	0.025559135832458;	0.020709807588330;	0.024038384883009;
0.027093287823286;	0.025241209383821;	0.020836286352487;	0.024350826704443;
0.026347077012451;	0.025177039255624;	0.021211861570435;	0.024492785705249;
0.026627154681818;	0.025748714882655;	0.021691807676386;	0.024977137680808;
0.027086690400188;	0.025966982364913;	0.022007902741577;	0.025417591083764;
0.026036411652015;	0.025366112940121;	0.021927702716736;	0.025339894286319;
0.025964993439123;	0.025565279727127;	0.022450938132073;	0.025837172771653;
0.026323691857270;	0.025927963360728;	0.022925104933736;	0.026167719684928;
0.025103210406275;	0.025348170827695;	0.022834386990408;	0.025962202715570;
0.025145100721009;	0.025361517523171;	0.023250820548418;	0.026378907387888;
0.025684092968423;	0.025733942583554;	0.023788663527790;	0.026539172177490;
0.024411416340411;	0.025492827724616;	0.023925961854342;	0.026243708568904;
