0.092252892017561;	0.062037390078425;	0.037491316623875;	0.033814432940179;
0.096869624305103;	0.065832501976887;	0.039801103287908;	0.035655440860875;
0.100074167751228;	0.068345811216842;	0.041316802591037;	0.036891548259795;
0.102771141580179;	0.070503137232894;	0.042619899159275;	0.037942908017205;
0.105174954619379;	0.072382762210669;	0.043749866433853;	0.038864905380823;
0.107443599414550;	0.074121908322391;	0.044790705158966;	0.039722549412620;
0.109564759773398;	0.075702280302786;	0.045731224705409;	0.040509132728720;
0.114086841717274;	0.079710669440186;	0.049135111251942;	0.056985495497568;
0.116027726572794;	0.081158685973298;	0.049997735683984;	0.057740636482529;
0.117915739732642;	0.082557662070164;	0.050829335255908;	0.058465657174387;
0.119932101549546;	0.084021282997817;	0.051695288775819;	0.059221215175083;
0.121822319860144;	0.085395301709007;	0.052508825514881;	0.059951131063657;
0.123699169340942;	0.086738806329219;	0.053305209393629;	0.060725848334048;
0.125625677986977;	0.088100992718150;	0.054109755339672;	0.061492220611663;
0.127479391885146;	0.089417321342153;	0.054885512308656;	0.062211302891062;
0.129442437571495;	0.090813868411934;	0.055708227577399;	0.062972099414378;
0.135962216905534;	0.099999287568567;	0.071559723896327;	0.068660970009832;
0.138069790473890;	0.101603045667441;	0.072522607827452;	0.069580704709186;
0.140155995954958;	0.103187836993768;	0.073515983933967;	0.070456648798491;
0.142234974595774;	0.104724850021995;	0.074461301988078;	0.071328398265710;
0.144438653154894;	0.106322596609134;	0.075450950559320;	0.072332731988380;
0.146583750475478;	0.107852937662586;	0.076390231285938;	0.073250036218462;
0.148718515325210;	0.109452581875403;	0.077379872418242;	0.074177179706489;
0.151028771777000;	0.111080606325781;	0.078377378666197;	0.075229750055790;
0.153392251331885;	0.112857366330830;	0.079479981346642;	0.076316664358237;
0.155715212306705;	0.114481400881147;	0.080468909416901;	0.077335708134589;
0.158135733618194;	0.116333098091504;	0.081619858712437;	0.078540383054004;
0.160716910488066;	0.118169163998745;	0.082839945190796;	0.079737636540142;
0.163379565784248;	0.120205425760831;	0.084167585596362;	0.081029000865948;
0.165818200720772;	0.121999549136739;	0.085342035019909;	0.082279659407519;
0.168672540823013;	0.124124215717737;	0.086705009139448;	0.083643186749638;
0.171371469744893;	0.126118665346861;	0.088001711165883;	0.085040584815577;
0.174226952045526;	0.128320628752463;	0.089469398667926;	0.086514293055590;
0.177247241219394;	0.130561785405401;	0.090961776282301;	0.088097720707524;
0.180303256280595;	0.132931530020667;	0.092569849911762;	0.089730889669422;
0.183324545964053;	0.135248674443328;	0.094123869536823;	0.091395975596173;
0.186752047474907;	0.137895224879793;	0.095883797920188;	0.093246548499449;
0.189913220929286;	0.140396640805954;	0.097613211955397;	0.095053609293585;
0.193422723249096;	0.143142620151626;	0.099522453814967;	0.097068207232065;
0.196987888863533;	0.145940556767205;	0.101463156984357;	0.099099438260711;
0.200548291608602;	0.148812386890013;	0.103496292958159;	0.101285419953182;
0.204524176857005;	0.151977950687504;	0.105724304168538;	0.103587981383372;
0.208394377534891;	0.155068763386440;	0.107933566222529;	0.105975590337259;
0.212301576363589;	0.158292231834224;	0.110248591786415;	0.108441576141332;
0.216624568668312;	0.161749250275308;	0.112735126995883;	0.111099395837737;
0.220961900793410;	0.165292978513711;	0.115313796384656;	0.113874774279134;
0.225284371546687;	0.168955407814071;	0.117994487754507;	0.116795572282975;
0.229970508052787;	0.172772449065944;	0.120795356298268;	0.119826679322640;
0.234893694371510;	0.176832891961988;	0.123788816567709;	0.123108106284437;
0.239461055406000;	0.180836238184077;	0.126808973375893;	0.126410688542023;
0.244627901640969;	0.185137986038362;	0.130052562980660;	0.129978092104012;
0.250004315901089;	0.189704765916718;	0.133474114631548;	0.133793794922987;
0.255163704484207;	0.194269598221305;	0.137004961054544;	0.137657891390080;
0.260811021959348;	0.199069573639048;	0.140689006491023;	0.141817948495005;
0.266681765892006;	0.204173191708028;	0.144635036362317;	0.146201964769093;
0.272360740775537;	0.209271725771830;	0.148638377129545;	0.150715995912341;
0.278515142520990;	0.214685316853739;	0.152938176022769;	0.155662914397349;
0.284925215210207;	0.220380180123102;	0.157457620443452;	0.160782214887831;
0.291222362566266;	0.226153417363863;	0.162125483431575;	0.166157511442668;
0.297890670391772;	0.232135066664773;	0.167000432255343;	0.171765481669897;
0.304828748266676;	0.238478600081600;	0.172186927991952;	0.177658712398126;
0.311788424142912;	0.245066284230119;	0.177689581395444;	0.183855657115463;
0.319243824073097;	0.251914228210674;	0.183376840129778;	0.190368912727252;
0.326658048505752;	0.258828278033994;	0.189317362700881;	0.197165318659934;
0.334232908168617;	0.266106200337963;	0.195594607348557;	0.204209087676696;
0.342359497019751;	0.273832068936537;	0.202248144786312;	0.211784439245464;
0.350734970260932;	0.281776366240339;	0.209158525055216;	0.219591298063626;
0.358799868442711;	0.289669631667167;	0.216198032893462;	0.227633372126222;
0.367737673150441;	0.298319917290215;	0.223936246668015;	0.236320864424024;
0.376600962699188;	0.307013037739520;	0.231775906198473;	0.245158062649848;
0.385337918213843;	0.315848817765633;	0.239963035872864;	0.254296873947398;
0.394858593292050;	0.325194421618245;	0.248635164003287;	0.264061879052167;
0.404591493918624;	0.334954637733152;	0.257795028352435;	0.273985763682367;
0.413874797588495;	0.344723327462705;	0.267153417200060;	0.284204572644772;
0.423993782415054;	0.355052841393655;	0.277009533536089;	0.295074283732362;
0.434490720019474;	0.365713739603654;	0.287354164601604;	0.306245769607142;
0.444944360814019;	0.376389915952908;	0.297891900099166;	0.317538070585265;
0.455201242710202;	0.387324432411116;	0.308825233734101;	0.329192327764001;
0.466259869295377;	0.398863632110928;	0.320379264542466;	0.341286130473667;
0.477323904455295;	0.410596505019492;	0.332323200939224;	0.353697000754001;
0.487939597967893;	0.422219771181989;	0.344359573484467;	0.366259282791791;
0.499311781434942;	0.434319521698517;	0.357044869368675;	0.379189213475294;
0.511249307926694;	0.447148311249478;	0.370790185539327;	0.392711778991431;
0.523189576453931;	0.460070554380991;	0.384636857240110;	0.406487899598072;
0.534532297232368;	0.472741790736814;	0.398301674111570;	0.420298308893469;
0.546821149728147;	0.485940883727112;	0.412397575837984;	0.434326728515342;
0.558942985264330;	0.499179318275739;	0.426827220677701;	0.448570439067760;
0.571194249411998;	0.512528238401356;	0.441524693694997;	0.463014609254414;
0.582998089829591;	0.525811836517964;	0.456330500531981;	0.477476012719886;
0.595519191608637;	0.539639954562499;	0.471695532806424;	0.492278245200306;
0.608058182466398;	0.553413790340075;	0.486893330089232;	0.507143362650843;
0.620591051099457;	0.567346712906901;	0.502541895405707;	0.521955575698190;
0.632519543111833;	0.580893867470231;	0.517883130288347;	0.536588463587623;
0.644749646354383;	0.594633897953348;	0.533509742262533;	0.551418075226541;
0.657325967510398;	0.608494083266240;	0.549152196693348;	0.566342141049420;
0.669800768100099;	0.622322614055689;	0.564782788500848;	0.581283444186407;
0.682123290698747;	0.636117153703741;	0.580378062043521;	0.596186026060850;
0.693558683834529;	0.649392762795364;	0.595666431700688;	0.610756514309791;
0.705710721361786;	0.662964571741240;	0.611071989134311;	0.625455225536135;
0.717635273894753;	0.676400901298756;	0.626495470434602;	0.640037414684639;
0.729223913695976;	0.689580399695345;	0.641740753896297;	0.654263495597013;
0.740452080663817;	0.702425056539365;	0.656569674903895;	0.668363407802370;
0.750777147605127;	0.714744102975686;	0.670940543902434;	0.682151496420611;
0.761703073684115;	0.727226928676910;	0.685356174166809;	0.695983490695912;
0.771536040234635;	0.738976158681545;	0.699198151407627;	0.709298921497946;
0.781261071026414;	0.750516984222270;	0.712861760371797;	0.722391904162164;
0.790471762658569;	0.761406923571519;	0.725969151945528;	0.735001332193198;
0.799331222466436;	0.771941593945787;	0.738672810220434;	0.747195020022253;
0.807923574209954;	0.782122951871668;	0.750947923245018;	0.758956204322612;
0.816344233092010;	0.792054570717163;	0.762924714866058;	0.770176573118894;
0.824443522965493;	0.801636037897564;	0.774528739890517;	0.780934555427128;
0.832118351972981;	0.810667965800154;	0.785354359281264;	0.791089877210330;
0.839410342856680;	0.819233873283834;	0.795584079638193;	0.800742725027669;
0.846346788022370;	0.827388356190702;	0.805335139303570;	0.809858709620954;
0.852914533787626;	0.835116709645098;	0.814529570836958;	0.818524951760710;
0.859386300763801;	0.842598228902909;	0.823356461157590;	0.826828264754288;
0.865528752207614;	0.849675943534592;	0.831654878398053;	0.834703116346172;
0.871428152486850;	0.856438939834622;	0.839573386621249;	0.842216219039354;
0.877041403678778;	0.862871226574698;	0.847092654951425;	0.849347802311749;
0.882418814379808;	0.869030012454095;	0.854220116778002;	0.856141194568024;
0.887566511628119;	0.874903334365397;	0.860979613831151;	0.862608919826789;
0.892496391169641;	0.880539335612172;	0.867464858225843;	0.868820984858021;
0.897167745138963;	0.885900756352270;	0.873638651269429;	0.874752521261565;
0.901775281660433;	0.891085760417102;	0.879514896360000;	0.880422496331044;
