0.154830466851350;	0.088552199819735;	0.078996868955033;	0.050166212305896;
0.052278724283929;	0.051514242570078;	0.024731860663996;	0.017405905371131;
0.042956171016080;	0.042890495426300;	0.020546281686205;	0.014401329561502;
0.035226568536405;	0.034207000255357;	0.016364897090227;	0.011625680223794;
0.030374433813613;	0.027898154937472;	0.013355507267298;	0.009735124514112;
0.026909698657387;	0.023265213416532;	0.011167311327228;	0.008380484102243;
0.037357999032139;	0.032246016402717;	0.017303575638800;	0.015243429605452;
0.032611125034621;	0.027691626672518;	0.014686737181833;	0.013768017231713;
0.020320253635308;	0.016572873444736;	0.008014188000456;	0.006748032945321;
0.019912078712434;	0.015718555627746;	0.007628852459388;	0.006490362948499;
0.019119153578022;	0.014645313118784;	0.007154475163305;	0.006335562619655;
0.017700499039484;	0.013229657878938;	0.006534471504405;	0.006534580364408;
0.017314639471513;	0.012586902071217;	0.006257919990384;	0.006650187185115;
0.016683353866440;	0.012042120329256;	0.005993613956084;	0.006023659168810;
0.016197470047317;	0.011814472690544;	0.005892906479320;	0.005719921990761;
0.026716829055846;	0.021981674887442;	0.011724885664579;	0.010712186033978;
0.027337664540400;	0.026383836143229;	0.013856652496935;	0.013298176620639;
0.016303132902065;	0.014007833402492;	0.007298470383588;	0.006777316893129;
0.015549218142195;	0.012714890567725;	0.007053477035830;	0.006256295176756;
0.015296838606809;	0.011820634032918;	0.006628227614335;	0.006766828145522;
0.014950459771542;	0.011086144533485;	0.006289060462305;	0.006832812431162;
0.014252885558174;	0.010735995806667;	0.006052112197063;	0.006126960892813;
0.014326041390633;	0.010729341062547;	0.006024360362184;	0.006510319475814;
0.014551125113944;	0.010941442941906;	0.006146084931972;	0.007091155985622;
0.014132911007243;	0.010520614720381;	0.005885004257162;	0.006616264930984;
0.013811851125320;	0.010352048639408;	0.005752345239942;	0.006831739165054;
0.014100040962567;	0.010777218568721;	0.006630300941156;	0.007365324354548;
0.014331140038531;	0.010955663084532;	0.007218664464420;	0.007269135342601;
0.013427171920907;	0.010353634997860;	0.006592833539416;	0.007343699921496;
0.013407850888040;	0.010095977991198;	0.006315002854456;	0.007265734893012;
0.013625302295566;	0.010304633431977;	0.006358814723172;	0.007379767205358;
0.013247697743475;	0.010241940849928;	0.006563079198223;	0.007564924279070;
0.013543551663718;	0.010478230258772;	0.006909591426825;	0.007765616611949;
0.013523664589526;	0.010485804278210;	0.006995991935522;	0.007945729195303;
0.013110765135848;	0.010346254808262;	0.006868754282210;	0.007902129317658;
0.013397417647864;	0.010501266589435;	0.006788824534723;	0.008101107219230;
0.013254559949210;	0.010616966203879;	0.007088506167509;	0.008161911750665;
0.013027494922264;	0.010508096148404;	0.007332654693650;	0.008292224974020;
0.013384586513651;	0.010714568402292;	0.007502043676163;	0.008457353309451;
0.013046844657230;	0.010619276614967;	0.007553398437647;	0.008536725449930;
0.013347087453548;	0.010945411206334;	0.007881058923656;	0.008763689237832;
0.013469296166235;	0.010948534681630;	0.007900547016910;	0.008815087805459;
0.012947378510974;	0.010709895692505;	0.007800647797083;	0.008856607890677;
0.013259937031385;	0.010964804238939;	0.008054212713721;	0.008978454496795;
0.013524833297845;	0.011087713315446;	0.008214123346150;	0.009174225337951;
0.013104764441573;	0.011078829000090;	0.008218289936678;	0.009302234672077;
0.013214695156729;	0.011125249201078;	0.008325228492593;	0.009359031059249;
0.013677481148876;	0.011286529129320;	0.008505741850398;	0.009526201391737;
0.013058352330946;	0.011225435053915;	0.008518311206269;	0.009607681630873;
