0.195931697489119;	0.082187072754281;	0.000000000000000;	0.000000000000000;
0.076795531924558;	0.067891173236232;	0.039085551073671;	0.028917812316942;
0.063320432024065;	0.056927099788599;	0.032780223733406;	0.024047746407448;
0.052114246287017;	0.046262477670850;	0.026522215094267;	0.019571338011867;
0.045007472127216;	0.038623702355860;	0.021983414406909;	0.016490585602937;
0.039783348391174;	0.032874764070783;	0.018574402681284;	0.014206295149191;
0.055522178890735;	0.046607743926256;	0.028596245667145;	0.025621965289983;
0.048488468074295;	0.040499159725601;	0.024582924725476;	0.023015502814883;
0.029989483919053;	0.024108282501343;	0.013558914639087;	0.011244938871247;
0.029243375470186;	0.022990940043141;	0.012880215253554;	0.010726326754530;
0.027936418180412;	0.021518192912724;	0.012029470208485;	0.010360010821444;
0.025746880470668;	0.019524587646083;	0.010946743106208;	0.010466586958962;
0.025064881330988;	0.018594634738185;	0.010421219311754;	0.010512129278227;
0.023982756590807;	0.017664091074095;	0.009866009409982;	0.009461174331779;
0.023113038987388;	0.017150058090213;	0.009582369554162;	0.008934604618159;
0.038794913992917;	0.031735521267152;	0.018824096259984;	0.016700201118170;
0.040943981467232;	0.038171210892550;	0.023490350177631;	0.021267868203943;
0.023894925390471;	0.020256020266438;	0.012100282649930;	0.010837208096352;
0.022401975199263;	0.018309302096026;	0.011218252463805;	0.009831546340103;
0.021732809141291;	0.016991981985644;	0.010384870521637;	0.010384781256776;
0.021035201478707;	0.015924764649995;	0.009742475358686;	0.010294154293037;
0.019991841764028;	0.015335078162088;	0.009349114248198;	0.009217747186962;
0.020032043368516;	0.015282816060482;	0.009306896821002;	0.009791630342791;
0.020305660531186;	0.015532831094307;	0.009481831591346;	0.010556955786310;
0.019630544585048;	0.014907267448702;	0.009047108636806;	0.009780525727607;
0.019199536086837;	0.014692120817100;	0.008900379455309;	0.010116338900450;
0.019604821431638;	0.015309844060739;	0.010032794172595;	0.010892602913440;
0.019822915199919;	0.015518012850323;	0.010657779832059;	0.010717601824748;
0.018577390294424;	0.014678569305693;	0.009881672145498;	0.010823082633886;
0.018449115041473;	0.014315764958216;	0.009498642555332;	0.010641070551308;
0.018679994628579;	0.014539097366198;	0.009566588141158;	0.010794897427068;
0.018172538451633;	0.014436444487633;	0.009794677608622;	0.011062876640882;
0.018540471827761;	0.014783683804235;	0.010254517508634;	0.011349125005154;
0.018475876607052;	0.014789344702285;	0.010380075561846;	0.011606710948028;
0.017890353773844;	0.014541300905465;	0.010206724078879;	0.011531758545257;
0.018204429687528;	0.014718201791565;	0.010135735818101;	0.011800165799653;
0.018004098245704;	0.014851540282887;	0.010493076467231;	0.011894913949814;
0.017673632311994;	0.014709247488872;	0.010762402977698;	0.012099241567084;
0.018082246629627;	0.014989560648963;	0.011021871565703;	0.012337747397769;
0.017641918308109;	0.014870069284163;	0.011111508402299;	0.012487057360458;
0.017992710935749;	0.015280214093251;	0.011529548317546;	0.012814218508879;
0.018036924201627;	0.015220512445814;	0.011502627577906;	0.012853870631807;
0.017352157143390;	0.014892720288371;	0.011389028046111;	0.012943206064928;
0.017697504238769;	0.015212077782793;	0.011719517741457;	0.013120302662066;
0.017933984467606;	0.015326773011108;	0.011878825160662;	0.013376031845299;
0.017406199425789;	0.015280741769918;	0.011914374062537;	0.013589185045962;
0.017471647613804;	0.015317184900211;	0.012041600089740;	0.013670940049936;
0.017923818499254;	0.015480673356455;	0.012219285202822;	0.013876651074392;
0.017167941090499;	0.015361691264297;	0.012263702829787;	0.014026456921904;
0.017014569723658;	0.015302734446236;	0.012407642865972;	0.014093468774932;
0.017758912230853;	0.015684930958393;	0.012644583081549;	0.014497682836691;
0.017218368533208;	0.015646314227412;	0.012759693470940;	0.014548786062611;
0.017060010521895;	0.015488799948010;	0.012811951354798;	0.014615043099700;
0.017522603620806;	0.015734115646747;	0.012980277822250;	0.014908252381958;
0.017055538946290;	0.015704728780122;	0.013098837093368;	0.014952403975859;
0.016895139344875;	0.015622762827869;	0.013210946587384;	0.015287705199184;
0.017312438671109;	0.015900895393847;	0.013513812245452;	0.015598506213717;
0.016984114105312;	0.015867145463179;	0.013567872449374;	0.015608574720925;
0.016764522304008;	0.015706151058938;	0.013603232532781;	0.015689329574542;
0.016986677284100;	0.015860301109389;	0.013803061030756;	0.015715465383398;
0.016839860727823;	0.016091815165627;	0.014144937573782;	0.015843311017394;
0.016891687835579;	0.016137475796479;	0.014266933235476;	0.015972088764629;
0.016868427509367;	0.015959527760528;	0.014299905665413;	0.016045056083644;
0.016516096781877;	0.015919267871234;	0.014513014529322;	0.016016314865707;
0.016738166204263;	0.016233623389853;	0.014754580104785;	0.016196155151682;
0.017047957350622;	0.016375950090475;	0.014895989396405;	0.016352893480259;
0.016516410091445;	0.016023149250577;	0.014784951343285;	0.016184858511961;
0.016549952976500;	0.016162637903243;	0.015078030546850;	0.016388472687153;
0.016819838801968;	0.016387205456100;	0.015318932811167;	0.016488911860609;
0.016183770899206;	0.016031373934829;	0.015187138696930;	0.016252950443911;
0.016316721774083;	0.016106306562064;	0.015410595199721;	0.016430669569080;
0.016744870470439;	0.016394550015389;	0.015709544614243;	0.016476737074787;
0.016068734069136;	0.016220544835142;	0.015718138074178;	0.016213882473268;
0.015935403865670;	0.016158109749107;	0.015702497570233;	0.016343389640591;
0.016542445551805;	0.016397826040133;	0.015939880567529;	0.016509621254938;
0.016439135252652;	0.016208182252073;	0.015925564691201;	0.016261729329389;
0.015849505413431;	0.015933287973810;	0.015795478907727;	0.016034408597444;
0.015903815840576;	0.016095855732817;	0.015970989582737;	0.016057985877109;
0.016142125073545;	0.016226052013809;	0.016137569042099;	0.016068547647400;
0.015420328239870;	0.015822704364256;	0.015907586610326;	0.015860636797187;
0.015323800158045;	0.015673334539565;	0.015872123464946;	0.015744313434883;
0.015961874042591;	0.016084816652779;	0.016437699405023;	0.015935780758089;
0.016032350428612;	0.016234345174134;	0.016659280879790;	0.016045657310783;
0.015314168497010;	0.015767300246439;	0.016128209169167;	0.015821982915354;
0.015292811011427;	0.015640877407529;	0.015861729028628;	0.015657683553745;
0.015581655409762;	0.015702000538593;	0.015896683742842;	0.015623062892498;
0.015291290901181;	0.015478717562729;	0.015816857196970;	0.015557660636186;
0.014840261958782;	0.015224231395869;	0.015648816056576;	0.015416768541280;
0.014776841726333;	0.015249302001617;	0.015672899291230;	0.015395209620464;
0.015065610562748;	0.015349209415558;	0.015625687891511;	0.015453205770191;
0.014870309189845;	0.015199907012032;	0.015502587512858;	0.015298663626890;
0.014281482895200;	0.014854481546771;	0.015312345593709;	0.015017895798144;
0.013926809885826;	0.014574776422323;	0.015093323139281;	0.014891967343737;
0.014158349736948;	0.014610740133159;	0.015087514522826;	0.014949980753191;
0.014153724735475;	0.014532239770878;	0.014964757260013;	0.014922402794199;
0.013836575219877;	0.014357807180602;	0.014822376351069;	0.014818673160028;
0.013061056738836;	0.013918536036583;	0.014538871766975;	0.014531037940670;
0.012824952187426;	0.013688962477177;	0.014363797264048;	0.014348741575014;
0.012963800407084;	0.013664704590102;	0.014357537634467;	0.014278356237891;
0.012501570937798;	0.013329668005871;	0.014188717821538;	0.013943936939725;
0.011986060000634;	0.012914162012121;	0.013844954552491;	0.013608168189626;
0.011155761860575;	0.012360743261866;	0.013375564469523;	0.013277503952789;
0.010875292527182;	0.012071682772588;	0.013118335684593;	0.013037287785204;
0.010477002468077;	0.011668053362318;	0.012790754572555;	0.012690865618510;
0.009781735914062;	0.011104313733506;	0.012359471504488;	0.012223883970085;
0.009367788956730;	0.010585246557103;	0.011935021297337;	0.011780181064859;
0.008842155395388;	0.010016634606908;	0.011417914582916;	0.011256564006127;
0.008442339238287;	0.009589798516554;	0.010961163354526;	0.010767331086579;
0.008144133951672;	0.009223609961498;	0.010556933944622;	0.010240133420990;
0.007820450933639;	0.008861337518904;	0.010178615346679;	0.009719616414788;
0.007388307327315;	0.008377686049522;	0.009608297573128;	0.009183547815065;
0.006940426447671;	0.007860407479467;	0.008970324469029;	0.008646583406397;
0.006522306924997;	0.007400961321133;	0.008454622402021;	0.008136235188562;
0.006113160855481;	0.006961938633767;	0.007957951156685;	0.007653627728960;
0.005833696482948;	0.006604980197789;	0.007520942462598;	0.007249162331863;
0.005564392191861;	0.006251614923698;	0.007089515164968;	0.006849322456739;
0.005232434177295;	0.005870791571480;	0.006656323180580;	0.006447280862456;
0.004916616434821;	0.005516882765024;	0.006268853583345;	0.006058448539554;
0.004607458430153;	0.005182429608855;	0.005876052998348;	0.005678011701817;
0.004324430694928;	0.004865904541990;	0.005493959760527;	0.005318416937436;
0.004051960423276;	0.004565299387458;	0.005156344085465;	0.004992268233869;
0.003771779716290;	0.004270072584114;	0.004837514496111;	0.004683422477858;
0.003562983645470;	0.004006467916369;	0.004513394450275;	0.004377274336535;
0.003368877551087;	0.003756567160996;	0.004207396206223;	0.004087745369174;
0.003133188613007;	0.003499618476407;	0.003929293833104;	0.003829015596286;
0.002903154586514;	0.003245918114585;	0.003652218016280;	0.003529760187579;
0.002688284240968;	0.003003127350324;	0.003378019773530;	0.003256675472977;
0.002508790883889;	0.002793124215203;	0.003132286984307;	0.003042434623376;
0.002342103966483;	0.002599458353839;	0.002898042200980;	0.002829480162187;
0.002183784854874;	0.002421114577400;	0.002686747984702;	0.002663115082996;
0.002054790671998;	0.002272523528249;	0.002516936952868;	0.002578349694683;
0.001919784540567;	0.002127707635081;	0.002354232160058;	0.002461506783698;
0.001824809818964;	0.002002481307280;	0.002203021010689;	0.002296920861011;
0.001763868698158;	0.001910029606312;	0.002081156443329;	0.002174441824825;
0.001627957741059;	0.001770392783993;	0.001920337598702;	0.001737457825372;
0.001523255678446;	0.001663542607760;	0.001800471533913;	0.001630956281627;
0.001489322092739;	0.001626073684733;	0.001761275685132;	0.001972012659300;
0.001391080734247;	0.001521559703129;	0.001659055892287;	0.001805575944204;
0.001272819192188;	0.001392395803736;	0.001523134008813;	0.001503331285898;
0.001185544255350;	0.001295497099046;	0.001411267280150;	0.001336333574760;
0.001121145675385;	0.001224444892867;	0.001325683634340;	0.001301370259279;
0.001062712158245;	0.001161281145331;	0.001257789879194;	0.001296171187350;
0.000993149678688;	0.001086832228373;	0.001182162161948;	0.001181560787580;
0.000933906872935;	0.001020636502001;	0.001109088305776;	0.001088064495128;
0.000884944377627;	0.000966895348965;	0.001047324994871;	0.001030540350239;
0.000843335825885;	0.000921930152094;	0.000996599756913;	0.000989087318166;
0.000802788329980;	0.000881084881341;	0.000949638806476;	0.000956183005986;
0.000784130923266;	0.000853275801798;	0.000914500974331;	0.000924548938148;
0.000767956138187;	0.000825503240555;	0.000882468550536;	0.000873376250620;
0.000734310625440;	0.000791360881967;	0.000847260887381;	0.000848325934410;
0.000699821774195;	0.000756223745529;	0.000810176504943;	0.000811826452462;
0.000661970031660;	0.000715936375522;	0.000768237769172;	0.000770591476021;
0.000626464221999;	0.000678303941551;	0.000728846215860;	0.000736184310481;
0.000594654937755;	0.000644576400068;	0.000694174917949;	0.000692648313702;
0.000563647063205;	0.000610098104776;	0.000654537065833;	0.000656220586099;
0.000534555677134;	0.000579539354349;	0.000621001661952;	0.000624682246244;
0.000507762171404;	0.000553750821518;	0.000599011295024;	0.000596114965436;
0.000479040320471;	0.000520601454142;	0.000560963593101;	0.000561697233498;
0.000452810985790;	0.000491154602475;	0.000526721513916;	0.000532563132029;
0.000431454430827;	0.000471340086630;	0.000513370843667;	0.000509079201387;
0.000404793098952;	0.000438302520017;	0.000477185519994;	0.000479558091367;
0.000389166781007;	0.000421687867700;	0.000450900481296;	0.000460289317804;
0.000381487634107;	0.000421867434595;	0.000458641009251;	0.000451084997599;
0.000353383414084;	0.000388449460801;	0.000422249974190;	0.000420128074100;
0.000331369172432;	0.000361962188345;	0.000387633951467;	0.000393801110129;
0.000319833369100;	0.000353610435818;	0.000383654605594;	0.000381393069634;
0.000303378132859;	0.000337362836450;	0.000368432154082;	0.000363387054638;
0.000288628872815;	0.000321809725269;	0.000351085281920;	0.000347820459875;
0.000278051728220;	0.000315437789632;	0.000352386595191;	0.000336830538926;
0.000257018305671;	0.000295336133614;	0.000337499536308;	0.000311455391099;
0.000226637839866;	0.000257056176717;	0.000288808770023;	0.000275196639551;
0.000200297612795;	0.000223187095820;	0.000243272056790;	0.000244542421100;
0.000182655519210;	0.000202777407252;	0.000217986438016;	0.000224498127133;
0.000170463455294;	0.000192385737429;	0.000212040354400;	0.000210314255435;
0.000149011268147;	0.000169174180255;	0.000188044564962;	0.000184780574928;
0.000124289067238;	0.000140685391776;	0.000155124491638;	0.000155374271147;
0.000101095517207;	0.000114674447110;	0.000126825370575;	0.000127356046968;
0.000077664869362;	0.000086456223316;	0.000095227484478;	0.000098066272447;
0.000060491370635;	0.000066373634317;	0.000072652271305;	0.000076499344118;
0.000048428740571;	0.000052733209036;	0.000057544313510;	0.000060542170888;
0.000035688974078;	0.000038600449786;	0.000042055374439;	0.000044166364269;
0.000023353329969;	0.000025192290243;	0.000027355037022;	0.000028869203581;
0.000013976271828;	0.000015073954470;	0.000016422073506;	0.000017258244326;
0.000007063613872;	0.000007571478209;	0.000008201543096;	0.000008622323333;
0.000003025168772;	0.000003221107510;	0.000003461121988;	0.000003630339213;
0.000001045256038;	0.000001106121128;	0.000001181336631;	0.000001236323360;
0.000000280207030;	0.000000295814070;	0.000000315337968;	0.000000327877656;
0.000000059192765;	0.000000062790758;	0.000000067513717;	0.000000069552576;
0.000000007311015;	0.000000007816412;	0.000000008429683;	0.000000008445569;
0.000000000553576;	0.000000000598364;	0.000000000659351;	0.000000000648095;
0.000000000037776;	0.000000000041542;	0.000000000046865;	0.000000000046895;
0.000000000003078;	0.000000000003476;	0.000000000004096;	0.000000000003591;
0.000000000000221;	0.000000000000247;	0.000000000000283;	0.000000000000267;
0.000000000000066;	0.000000000000072;	0.000000000000079;	0.000000000000083;
0.000000000000039;	0.000000000000042;	0.000000000000045;	0.000000000000049;
0.000000000000027;	0.000000000000029;	0.000000000000031;	0.000000000000034;
0.000000000000017;	0.000000000000019;	0.000000000000020;	0.000000000000022;
0.000000000000010;	0.000000000000010;	0.000000000000011;	0.000000000000012;
0.000000000000004;	0.000000000000004;	0.000000000000004;	0.000000000000005;
0.000000000000001;	0.000000000000001;	0.000000000000001;	0.000000000000001;
