0.276426668280744;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.036191147615973;	0.074594507957875;	0.064064303878837;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.026027917628568;	0.029929253494126;	0.032604597933316;	0.032218009668903;	0.037756315053775;	0.043241874276610;	0.047800828905514;	0.049830959674118;	0.050391077646030;	0.056850999408046;	0.063976461513439;	0.071346562859710;	0.079663967862412;	0.087628000048193;	0.095520987550176;	0.102499277722423;	0.110542418231341;	0.118726508855070;	0.127728974681939;	0.136748772286519;	0.142916959717218;	0.144974921745622;	0.150148435705268;	0.153219831304609;	0.159420944033790;	0.166865616423270;	0.169096358905933;	0.174187013830622;	0.185255326992264;	0.193402669195298;	0.207961945850723;	0.226333858243236;	0.249126345238548;	0.294063439880267;	0.347393848615843;	0.396018622082368;	0.078332459034171
0.288934425725999;	0.007080047720807;	0.006052149664552;	0.005580497877276;	0.041239928145216;	0.078968674736788;	0.067368724038708;	0.004056108420515;	0.003783901002973;	0.004317387195164;	0.004068614512970;	0.004584673559922;	0.004408257136473;	0.026751621513349;	0.030744074049935;	0.033475835787545;	0.033058742533857;	0.038708115680777;	0.044293270134248;	0.048929011952867;	0.050979778601556;	0.051522154703086;	0.058083284697015;	0.065308368263402;	0.072772943535060;	0.081186840278020;	0.089239988437260;	0.097217380587588;	0.104267504251010;	0.112385632710869;	0.120647922120784;	0.129727321870695;	0.138818303688017;	0.145040770676838;	0.147110025200321;	0.152335166813010;	0.155415859899107;	0.161669378682496;	0.169168889321525;	0.171403987997428;	0.176542129710447;	0.187675042917569;	0.195873206269192;	0.210495423832017;	0.228927793603011;	0.251755010429091;	0.296727193985297;	0.350044299687762;	0.398651735341662;	0.087419018338665
0.292887377615126;	0.009363385043077;	0.007947938880887;	0.007227175520450;	0.042636769375426;	0.080153087756719;	0.068301294579685;	0.005166119619747;	0.004787938654150;	0.005431867193795;	0.005094423303366;	0.005708489572555;	0.005461159014115;	0.028015123877493;	0.032142698320791;	0.034950581803169;	0.034458987992937;	0.040263972317864;	0.045983974981745;	0.050717864885435;	0.052778042215041;	0.053265375725018;	0.059949685567372;	0.067292368500040;	0.074863548618331;	0.083458168375607;	0.091775875904308;	0.100039906345611;	0.107382931281304;	0.115819076874308;	0.124413310985795;	0.133824873244365;	0.143225169343455;	0.149729213706821;	0.151992145326656;	0.157509555162577;	0.160792979880443;	0.167374221532837;	0.175232171244748;	0.177708772050406;	0.183235015957490;	0.194853353111424;	0.203561710961911;	0.218823280704680;	0.238005097357770;	0.261667140170316;	0.307756192003822;	0.362472990710698;	0.413120541339425;	0.094220236887244
0.349529898180427;	0.019026988493785;	0.016069930662349;	0.014871299514232;	0.049294964080526;	0.085889780153575;	0.072684143958355;	0.011874129313558;	0.009694609832474;	0.010986034016622;	0.010308784047039;	0.011549796263571;	0.011063796245170;	0.031060515642451;	0.035581003437553;	0.038659460556741;	0.038052866042460;	0.044332904694440;	0.050505654776695;	0.055623121206553;	0.057842461999269;	0.058296291189898;	0.065467335285140;	0.073319897917774;	0.081404325805321;	0.090543781797435;	0.099389372431903;	0.108180679098060;	0.116031732710687;	0.125027715170620;	0.134201288214595;	0.144244398827967;	0.154320942037849;	0.161478879043940;	0.164211065606750;	0.170483199668322;	0.174355980653396;	0.181943996952173;	0.191013218415928;	0.194490127472072;	0.201549567853380;	0.215175375604954;	0.226084483902580;	0.244020883431189;	0.265888644830247;	0.291773455107279;	0.340470715687549;	0.398460062931681;	0.452254199486417;	0.101222674957659
0.405198775890170;	0.032921729579362;	0.027631657630631;	0.025756282139929;	0.058956250348317;	0.094205714370227;	0.079182123599317;	0.021169378820083;	0.019248320797742;	0.019325155576503;	0.018170576122356;	0.020521994803146;	0.019715831395863;	0.036885210996970;	0.042138173307847;	0.045745839126437;	0.044912301551479;	0.052062709757003;	0.059096458516784;	0.064977215689130;	0.067554680781046;	0.067951063131324;	0.076036586104843;	0.084880666739368;	0.093982509845459;	0.104200742193930;	0.114065928395908;	0.123866254742851;	0.132718273078747;	0.142843587878949;	0.153129427041910;	0.164438169619691;	0.175922605606401;	0.184440633512666;	0.188096749490161;	0.195684901958973;	0.200338382390522;	0.209231950102478;	0.219424460622753;	0.222833162693257;	0.230017517304310;	0.243733193076377;	0.254153375801928;	0.271622737800528;	0.292735035177968;	0.317925365661790;	0.366209173357712;	0.424498205165002;	0.478690437692460;	0.108924654509564
0.471512944482223;	0.053785143437242;	0.045662009348874;	0.042603706453639;	0.073476887842673;	0.106857567195510;	0.088838741789079;	0.033879205177026;	0.032211867980055;	0.035105986781987;	0.034049494638359;	0.032460831468147;	0.030956290351869;	0.046439335611993;	0.052818571305922;	0.057272487569287;	0.055876065217206;	0.064266033048946;	0.072567451021794;	0.079606422355149;	0.082729250861890;	0.082906935270475;	0.092191666513818;	0.102368531743338;	0.112816608466960;	0.124470619134504;	0.135633021994253;	0.146605552185095;	0.156555022116517;	0.167838975337444;	0.178895101497696;	0.190981514317259;	0.203125395938564;	0.211953257263602;	0.215128467944504;	0.222450699945093;	0.225990647321083;	0.234557555858682;	0.244640467449408;	0.247201537305915;	0.254060420657979;	0.267741295177041;	0.278129834040949;	0.295892443088537;	0.317284738480485;	0.342587753499533;	0.391292373919370;	0.450833743888011;	0.506447488088220;	0.117482912687765
0.536613453502057;	0.200187812285813;	0.069599896459344;	0.067396571656820;	0.094257445706936;	0.124672124576169;	0.102980223135182;	0.052958401065446;	0.047661202273787;	0.053729458966804;	0.052032807858230;	0.056034842436576;	0.054731386938775;	0.058999208236330;	0.066608774713794;	0.071955608439599;	0.070883608961130;	0.080585168700858;	0.090261789727365;	0.098553114942525;	0.102167012531663;	0.101660571013366;	0.111889512003963;	0.123141355426625;	0.134599284519258;	0.147286788009139;	0.159232357783779;	0.170774330544679;	0.181230142793392;	0.193075904158442;	0.204304170428773;	0.216728698792843;	0.229396916517618;	0.238647881439537;	0.241726597254942;	0.249327077616075;	0.251564711684260;	0.260497427751900;	0.271056297545350;	0.273304353169875;	0.280343487807157;	0.294407933637305;	0.305096870091274;	0.323369519350318;	0.345135865241514;	0.370503563046226;	0.419583806828053;	0.480486608278079;	0.537544440812117;	0.127204712960039
0.591789332446499;	0.338545308486521;	0.219239600145652;	0.097789154505269;	0.123440411752546;	0.148789324131304;	0.122279261965607;	0.077457768126770;	0.072682274739419;	0.079748883723163;	0.075983297942481;	0.077972289775996;	0.075261079889832;	0.088767604220043;	0.099803781493097;	0.108663633858512;	0.088297386081052;	0.099297497465768;	0.110438286558040;	0.120184578868722;	0.124045138184847;	0.122457192042589;	0.133396769391315;	0.145573110437508;	0.157956663772430;	0.171726574689922;	0.184673919918724;	0.197098552461827;	0.208504125650975;	0.221436692100073;	0.233359763294874;	0.246684377171981;	0.260374354877019;	0.270551229701306;	0.273942161567951;	0.282126548040287;	0.280689461149612;	0.290144662046942;	0.301344461065793;	0.303321734931822;	0.310629687205876;	0.325176522582818;	0.336300974811254;	0.355239598295959;	0.377545571140963;	0.402986596994992;	0.452580847999912;	0.515226835060761;	0.574065127206673;	0.138730054242270
0.630657284410505;	0.435935890156970;	0.341418228624808;	0.286908196514947;	0.156436018966943;	0.180966730149741;	0.147638545080182;	0.108935747429517;	0.098960539861138;	0.110512614008017;	0.104387217556059;	0.114171846253908;	0.108184097608903;	0.111303101321171;	0.123826997078147;	0.133874862505495;	0.130069466588959;	0.143464071277065;	0.157957339574110;	0.171105293662190;	0.151549910400487;	0.149339205298330;	0.161644002275522;	0.175572697012523;	0.189712793221531;	0.205476468082032;	0.220266082688929;	0.234264355262218;	0.247290602499580;	0.261909818509251;	0.274876750254269;	0.289473978354593;	0.304498973544480;	0.315881800895370;	0.319735799372372;	0.328574605673877;	0.317580812982721;	0.327794880400702;	0.339880965400881;	0.341599647735239;	0.349273191568166;	0.364409429444780;	0.376068938732648;	0.395763406220573;	0.418656907461136;	0.443894843886085;	0.493936835807430;	0.558525865316562;	0.619201417867493;	0.153467062373737
0.656432750368902;	0.508837255762693;	0.421622807190684;	0.403029854059425;	0.363784149968065;	0.217499674322022;	0.180846407836576;	0.147432868406616;	0.136001256053678;	0.148828467166357;	0.140688965879920;	0.148020899823414;	0.139593920332174;	0.152204563975003;	0.167822410451612;	0.177633005691103;	0.162363984049315;	0.177391823149101;	0.194069917565872;	0.209480278449880;	0.209517343280865;	0.206324660356619;	0.219620584581610;	0.235282921023230;	0.250827535669877;	0.268428406184107;	0.284777984379947;	0.299754248692765;	0.313799994327492;	0.329445591400298;	0.342689461551739;	0.357901061833050;	0.373527021918802;	0.385473471876363;	0.389104306351997;	0.397893710117269;	0.368730821385518;	0.379679822527132;	0.392675006510246;	0.393849094626267;	0.401781544756805;	0.417433579206531;	0.429589782122347;	0.449991512936059;	0.473418679821435;	0.497854628078899;	0.548107676085045;	0.614652523541879;	0.676998312071968;	0.174453814882843
