0.272482068924065;	0.000000299865986;	0.000000468383124;	0.000000314691482;	0.071791667514202;	0.148106372311044;	0.141245337854379;	0.000000001459443;	0.000000000503381;	0.000000000192206;	0.000000000091860;	0.000000000053859;	0.000000000035004;	0.016468927229631;	0.018280902670415;	0.019194919682423;	0.018415709719128;	0.021002256559086;	0.023264506155492;	0.024942480795095;	0.025168645088770;	0.024753067757976;	0.027168369737854;	0.029598654925972;	0.032031502327931;	0.034548217765099;	0.036707672845171;	0.038775989824023;	0.040394907314299;	0.042215981231085;	0.044253400069008;	0.046534450201057;	0.049045773458790;	0.050466208511566;	0.050067930943192;	0.051937888882996;	0.053898946046069;	0.057159854627000;	0.060898536790120;	0.063076976438058;	0.067077447013337;	0.074227090872379;	0.080176439624351;	0.089346947461936;	0.101106641338538;	0.115899247928555;	0.144681910651152;	0.172925803804832;	0.197995242205852;	0.176440561765542
0.272482128492727;	0.000000334535085;	0.000000498065493;	0.000000341961680;	0.071791692207514;	0.148106393687088;	0.141245353917448;	0.000000021214112;	0.000000018945099;	0.000000021231553;	0.000000019927487;	0.000000022381005;	0.000000021488565;	0.016468930743473;	0.018280906620531;	0.019194923896721;	0.018415713772041;	0.021002261131407;	0.023264511185996;	0.024942486168377;	0.025168650522842;	0.024753073055369;	0.027168375464259;	0.029598661063516;	0.032031508842798;	0.034548224659422;	0.036707680077658;	0.038775997368386;	0.040394915105811;	0.042215989270341;	0.044253408391383;	0.046534458813491;	0.049045782338090;	0.050466217563880;	0.050067939889142;	0.051937898034362;	0.053898955285744;	0.057159864154496;	0.060898546641568;	0.063076986372009;	0.067077457276854;	0.074227101620134;	0.080176450768735;	0.089346959073605;	0.101106653418641;	0.115899260318161;	0.144681923284360;	0.172925816369905;	0.197995254622006;	0.180481496149481
0.272482147335844;	0.000000345667879;	0.000106944128315;	0.000000349984094;	0.071791699013817;	0.148106399457371;	0.141245358447727;	0.000000026616303;	0.000000023833957;	0.000000026657017;	0.000000024923071;	0.000000027848582;	0.000000026608869;	0.016468936878035;	0.018280913401357;	0.019194931032057;	0.018415720525596;	0.021002268611528;	0.023264519284789;	0.024942494701915;	0.025168659047656;	0.024753081243980;	0.027168384169771;	0.029598670247978;	0.032031518444436;	0.034555694201145;	0.036732085466525;	0.038820170218993;	0.040460852510160;	0.042305464328449;	0.044367694520859;	0.046673790359393;	0.049208672659400;	0.050651420079722;	0.050269902136913;	0.052164042288729;	0.054147621360082;	0.057438419798994;	0.061210875356869;	0.063417378513934;	0.067457493145906;	0.074658374570534;	0.080662624064222;	0.089901367243446;	0.101743208721011;	0.116629871071964;	0.145534567098224;	0.173930583610170;	0.199213362767136;	0.182511220330991
0.277998199685967;	0.000633827666453;	0.000670161402902;	0.000678527737104;	0.072273085541346;	0.148526969558892;	0.141560197916015;	0.015631254990075;	0.000365094049484;	0.000419134096665;	0.000398791402878;	0.000452372988027;	0.000439311079511;	0.016634163592463;	0.018472004410057;	0.019405551588546;	0.018623794452823;	0.021242380008258;	0.023536186539356;	0.025241995240813;	0.025481906158637;	0.025067174927372;	0.027516769995630;	0.029983422016945;	0.032453294595865;	0.035017090148857;	0.037232124288828;	0.039359107129748;	0.041037491102321;	0.042923329083839;	0.045029973373503;	0.047385750529060;	0.049975401412395;	0.051470376833830;	0.051119413852821;	0.053077548224956;	0.055121470299544;	0.058507779013855;	0.062398495340603;	0.064707974966865;	0.068903944028535;	0.076316621932032;	0.082555715065712;	0.092080692213234;	0.104219843249407;	0.119366245126377;	0.148571493325455;	0.177342012868584;	0.202974355684214;	0.184512415882379
0.283440201098640;	0.001582251191519;	0.001501713822832;	0.001474934326476;	0.073117324396577;	0.149168296121736;	0.142057166046103;	0.016405333418266;	0.020988194748623;	0.001098963218944;	0.001049245129285;	0.001208262013701;	0.001177876632299;	0.017057800218187;	0.018955967386136;	0.019935690769998;	0.019142893678633;	0.021833707416557;	0.024200425262141;	0.025972194478657;	0.026245324334989;	0.025828185133200;	0.028353382704871;	0.030902290470162;	0.033456444079218;	0.036109230240749;	0.038407223798166;	0.040615393653702;	0.042373365197159;	0.044348149332955;	0.046544392162818;	0.049002775393788;	0.051709418492140;	0.053312485629559;	0.053011387756350;	0.055075553421271;	0.057196060564492;	0.060707481301317;	0.064716911025385;	0.067038326567567;	0.071272354885801;	0.078732773410309;	0.084970729786159;	0.094493367896769;	0.106599354644989;	0.121715511458601;	0.150910155001174;	0.179747445902684;	0.205443966158724;	0.189767302321844
0.290077984324774;	0.003116333395421;	0.003004655750672;	0.002938999793116;	0.074302278722312;	0.150381066981325;	0.142836721915667;	0.017486282105912;	0.022132281807462;	0.027182224312393;	0.031568262320685;	0.002228718829019;	0.002147001837435;	0.017837728078973;	0.019836687233877;	0.020895591129199;	0.020059857109095;	0.022860844275054;	0.025342198383728;	0.027220131161814;	0.027545178691500;	0.027108500202475;	0.029736616072782;	0.032400192706252;	0.035069091110896;	0.037843359815639;	0.040248213569297;	0.042549130073872;	0.044391042919541;	0.046453205981780;	0.048705211781626;	0.051220122030983;	0.053981895151187;	0.055609633660570;	0.055246034870535;	0.057301303562625;	0.059364081932544;	0.062894764617870;	0.066957122634019;	0.069262317762941;	0.073545161026612;	0.081103750669358;	0.087454343296585;	0.097147844802042;	0.109460043464873;	0.124807225517669;	0.154323131439327;	0.183647541777321;	0.209936371593062;	0.196529402854656
0.297844468453569;	0.018101597560500;	0.005174372550368;	0.005209150778207;	0.076287306367591;	0.152121669176773;	0.144449074136018;	0.028726172901366;	0.023639535276677;	0.029102676896206;	0.033474029767522;	0.037281229947974;	0.040747283572061;	0.019019556732053;	0.021160567991686;	0.022331130535391;	0.021562970613192;	0.024525071485933;	0.027178460008610;	0.029217952268418;	0.029622586909348;	0.029139031305982;	0.031906172983354;	0.034727679403391;	0.037553570188466;	0.040499956968551;	0.043063048571919;	0.045508515079402;	0.047494388443131;	0.049719836896190;	0.052112527740323;	0.054795575093472;	0.057764258983522;	0.059583380365435;	0.059294517322178;	0.061546190120634;	0.063669805594933;	0.067464134088572;	0.071818965032433;	0.074246399533633;	0.078760039029222;	0.086619477776031;	0.093236346650498;	0.103238827491853;	0.115802328047933;	0.131318656890242;	0.161048626646839;	0.190770280549625;	0.217407360225798;	0.206636168573465
0.314313718993396;	0.033774837384457;	0.022038499353728;	0.009377310835454;	0.080343268532335;	0.155585234476899;	0.147241681266392;	0.036853683984612;	0.045230688382822;	0.045951162323018;	0.052961068470938;	0.040447161474154;	0.043761585903751;	0.060784679533467;	0.067768205751556;	0.074448690794604;	0.024072178137031;	0.027289599447423;	0.030219848890598;	0.032528209959287;	0.033025530199504;	0.032434456573271;	0.035395432450180;	0.038444504077130;	0.041501300285399;	0.044700616521583;	0.047492857522359;	0.050142274767666;	0.052328945005785;	0.054776078114960;	0.057323823132600;	0.060181093720655;	0.063347647281572;	0.065316882015345;	0.064988769266790;	0.067325024019456;	0.069118340062799;	0.073054361470703;	0.077608366522706;	0.080043747403156;	0.084717450169700;	0.092835784419770;	0.099728229568692;	0.110103916289094;	0.123050134932807;	0.138911677952691;	0.169121337274800;	0.199641144386757;	0.227132646638280;	0.219858990445360
0.328097570208073;	0.056301305422458;	0.036953976674076;	0.031514591358396;	0.085459383907295;	0.160649974733258;	0.151494965881827;	0.050494657333543;	0.049790122903949;	0.060560017468751;	0.067953478573017;	0.075555075187617;	0.080930601216890;	0.065680596523647;	0.073641851601348;	0.081427195439825;	0.080956325743821;	0.087445924102040;	0.094986586715267;	0.101623121036544;	0.038051953166792;	0.037363947309600;	0.040631442842020;	0.044047748981491;	0.047473970537116;	0.051081789175828;	0.054248955939852;	0.057228004923572;	0.059746065911487;	0.062554840646975;	0.065365356133095;	0.068528244221948;	0.072055633650497;	0.074339591023478;	0.074073304080733;	0.076649025555436;	0.077542501760642;	0.081815546067132;	0.086762063131258;	0.089267574629209;	0.094215321816966;	0.102718624412338;	0.109979398592524;	0.120815218265978;	0.134169696122135;	0.150305380884664;	0.180954806822842;	0.212346259167473;	0.240709593789003;	0.236938896415985
0.349454447138795;	0.082751020036195;	0.063420122924313;	0.050260377279360;	0.111635092996589;	0.168197366820040;	0.158150627475125;	0.064752225888192;	0.073998185987113;	0.083483602441818;	0.093324730115760;	0.090509740613515;	0.096605921944831;	0.106414037044628;	0.118412046736732;	0.129417735197508;	0.104442369186141;	0.113288366221677;	0.123784324050918;	0.133395052156699;	0.113042263979216;	0.113620050124515;	0.118566302264401;	0.124402349371875;	0.129366218893025;	0.135213913044215;	0.140430426994170;	0.144528862676963;	0.147932063485967;	0.151338073751063;	0.154350653863487;	0.157958423202083;	0.161328364905113;	0.163523648981785;	0.162550677400421;	0.164283784431420;	0.089536669381750;	0.094190871793027;	0.099611051893883;	0.102158543811439;	0.107435361260206;	0.116411875980816;	0.124151075869177;	0.135581127148210;	0.149468981172081;	0.165881928058644;	0.197074108684959;	0.229582284217907;	0.259018271316503;	0.258795300829754
0.369407230889240;	0.116279200305137;	0.090515232672216;	0.082355291725967;	0.133597616588517;	0.198602119611766;	0.167681024087719;	0.084650077350539;	0.091340676569819;	0.107401631095721;	0.118378920273796;	0.124564868569546;	0.131686014516875;	0.133929967118581;	0.149292210616006;	0.163372706567119;	0.152675916324629;	0.163840510426238;	0.177607468378225;	0.190279597254428;	0.164755091995637;	0.166802585079226;	0.173915249003826;	0.182445056378369;	0.189603520344550;	0.198117839873166;	0.205866924028324;	0.211885939061122;	0.217074046250793;	0.222103090983621;	0.226360187491914;	0.231396294404156;	0.235827648674243;	0.239076297811320;	0.238504968123520;	0.240638740119087;	0.179884538027118;	0.184280091779413;	0.190547360503570;	0.193196101738204;	0.198601848584876;	0.208618741167257;	0.218406467266099;	0.231939954484151;	0.248586865116336;	0.267217303025892;	0.300255566104288;	0.340669804724430;	0.376625155620122;	0.284967231887604
0.393370605987729;	0.151766767206098;	0.126205850927394;	0.117092085541983;	0.166595470959598;	0.226655071992943;	0.206492446026657;	0.133445237989103;	0.118905900707449;	0.138501241017712;	0.149584717258866;	0.157885545551656;	0.165663696928257;	0.172217888121854;	0.191021190116994;	0.208278286082501;	0.199415947101385;	0.213189929337921;	0.230392664520997;	0.246325703772817;	0.227994357263631;	0.230583842247750;	0.239205959003278;	0.249833097163712;	0.258633450699859;	0.269238715119043;	0.278905090468902;	0.286258148646541;	0.292694533106681;	0.298890175412115;	0.303879951706272;	0.309866106490151;	0.315062540780392;	0.319035217946824;	0.318507364567535;	0.320846640873390;	0.270455492611833;	0.275631391496200;	0.283590556511389;	0.286924132545851;	0.293378894941164;	0.305276224619990;	0.317702465347844;	0.334046426378350;	0.353971426942121;	0.371354273116669;	0.406514419266049;	0.454293281528869;	0.496279047883598;	0.462299407181610
0.418811075891160;	0.190606307089316;	0.163795060449352;	0.155684248122921;	0.203896810241368;	0.262949292546031;	0.244485357388814;	0.182475848559912;	0.174643495975982;	0.198244086325320;	0.188199238258361;	0.200652827216664;	0.205724666750309;	0.214499976842440;	0.236880184018852;	0.257682292509524;	0.250925244818652;	0.267054967173790;	0.287403336663287;	0.306310282470145;	0.294309715672240;	0.296750737609040;	0.306797380173351;	0.319387227296982;	0.329791930353248;	0.342341556211797;	0.353741398816239;	0.362314241856345;	0.369909893817188;	0.377224524831548;	0.382854775935586;	0.389671214741143;	0.395640552275397;	0.400298805503390;	0.399724338200060;	0.402297740395537;	0.361654043769885;	0.367622824301633;	0.377082765075246;	0.380474908975711;	0.387847340174308;	0.401313822369452;	0.415821664012001;	0.434363626352618;	0.456664015559054;	0.476332308081550;	0.513571183398471;	0.566026158852935;	0.612018409247787;	0.636348709647869
0.446245545097733;	0.232082091607863;	0.204570498798857;	0.197278389096607;	0.243998286872981;	0.304377367179817;	0.289360842117299;	0.238220825968593;	0.233072823451068;	0.260439482828186;	0.254265974490364;	0.270173975791389;	0.255247138310953;	0.266658737180613;	0.292631107584440;	0.317028433573549;	0.307211344787409;	0.325524076862691;	0.348730264582410;	0.370312445275343;	0.364604079212387;	0.364963550979892;	0.376190118521436;	0.390431704587951;	0.402226338440005;	0.416401321447335;	0.429208690926868;	0.438771731353060;	0.447328260544616;	0.455590275506956;	0.461709404814219;	0.469160860125413;	0.475785253334278;	0.481014200381733;	0.480253682299763;	0.483034959016669;	0.451306766895022;	0.457893405011810;	0.468443157865668;	0.470699094286026;	0.478633276906387;	0.493036934475517;	0.508796734698125;	0.528559541884058;	0.552020750285708;	0.573929187381245;	0.611519394827255;	0.665614376722475;	0.712661490391986;	0.772453432924546
0.475437238041003;	0.275982876122983;	0.248089959492591;	0.241698671209774;	0.286845772319996;	0.348098130422371;	0.339356502703011;	0.298792600092428;	0.296937005784055;	0.327520856165447;	0.323597842407595;	0.342555122008695;	0.330463430703633;	0.344823132947641;	0.373171584176994;	0.399532880735000;	0.372965115721722;	0.393235834768725;	0.418752045220808;	0.442364053183811;	0.442328986416245;	0.435622167262316;	0.447759397626856;	0.463257549112810;	0.476121984987870;	0.491479109199071;	0.505271238172418;	0.515522866075266;	0.524757321191373;	0.533680656635899;	0.540112998977968;	0.547952004489397;	0.554998797484948;	0.560614861704075;	0.559502910467291;	0.562444630777395;	0.538592172984328;	0.545520528550075;	0.556629536252495;	0.555744693108811;	0.563872622774527;	0.578558603713416;	0.594757476884926;	0.614789895848877;	0.638262229670944;	0.661140262711275;	0.697551274501887;	0.750394662824534;	0.795723674399945;	0.864470796788778
0.506214658446498;	0.321993876308397;	0.294074922033631;	0.288640557033795;	0.332115730703863;	0.394043079891122;	0.391158509525144;	0.360762937706745;	0.364468580114313;	0.397532579473131;	0.396543647206869;	0.417840808331805;	0.408045832086564;	0.424703759900866;	0.454598828246320;	0.482235929761001;	0.460417319645434;	0.481931124294711;	0.508183417609290;	0.531997911670885;	0.535689475154547;	0.512382109220221;	0.525133044858518;	0.541307930272593;	0.554700874183181;	0.570526746398384;	0.584671763266267;	0.595166546726231;	0.604624267069683;	0.613711044169348;	0.620251375549574;	0.628151398300313;	0.635224665052507;	0.640937982432945;	0.639297380589782;	0.642366287082188;	0.625228605436588;	0.632143670636253;	0.643157988755320;	0.635818321110174;	0.643839780307180;	0.658186502035029;	0.674055390425822;	0.693409450235157;	0.715770211805114;	0.738133980911083;	0.771724020231355;	0.820323183904394;	0.861166387963245;	0.921550614333264
0.538378233849631;	0.369762609363159;	0.342181554053680;	0.337734507948779;	0.379446216080770;	0.441722078431127;	0.444361211854397;	0.423519813402884;	0.432063402572651;	0.466899378672734;	0.470736552916243;	0.493555984502188;	0.486827307185877;	0.504824932271027;	0.535259266323079;	0.563351344889685;	0.546040845372605;	0.567907451810482;	0.593910533930651;	0.617092360916011;	0.623494909339376;	0.603609797975440;	0.616494805653551;	0.632273702727194;	0.645129196563045;	0.660114715195879;	0.673524434501968;	0.683504576634219;	0.692384710817926;	0.700746803934537;	0.707113336680841;	0.714595965192705;	0.721027395880119;	0.726361733907784;	0.724016704505015;	0.727185202349328;	0.715555727311267;	0.721957158966287;	0.732008941512919;	0.713512863576542;	0.721147278316107;	0.734467029979156;	0.749189815896848;	0.766780445236886;	0.786820702441928;	0.807011734409620;	0.835787548011333;	0.876834964070154;	0.910360462094117;	0.955314698562807
0.571697099674902;	0.418890946411836;	0.392003513951650;	0.388543912688904;	0.428403858159886;	0.490613637705425;	0.498222916258915;	0.486111276425904;	0.498862515634913;	0.534672958028142;	0.542433559549426;	0.566051437697470;	0.564025556304155;	0.582453727877133;	0.612416407275484;	0.640074343798287;	0.627546150135468;	0.648768501285227;	0.673557723984314;	0.695358639921813;	0.703476817755755;	0.687270710059554;	0.699649524618428;	0.714366429386862;	0.726171737930068;	0.739763991555123;	0.751928160490578;	0.760992728967974;	0.768974247176165;	0.776353617890007;	0.782230489101611;	0.788978871820638;	0.794581230456227;	0.799357253473134;	0.796294068758045;	0.799372494234370;	0.791955605974494;	0.797628936131846;	0.806387801344296;	0.793898665148723;	0.800860930992826;	0.812332825107276;	0.824991584907829;	0.839507668639280;	0.855859773860754;	0.871987859713974;	0.893409870853021;	0.922916242228134;	0.945750696370469;	0.975784018725241
0.605907810618145;	0.468935173317730;	0.443071866102005;	0.440567921400493;	0.478490741796207;	0.540128033321341;	0.551999182900006;	0.547613491488222;	0.563763203789229;	0.599709972164983;	0.610595132769068;	0.634272174030989;	0.635959690961275;	0.654172880863293;	0.682843055939678;	0.709267259369613;	0.702242310567394;	0.721995057519273;	0.744767363374246;	0.764564543021163;	0.773446231823194;	0.761254226960447;	0.772502442160304;	0.785599666035084;	0.795956354494993;	0.807762933921533;	0.818315139639455;	0.826164731739856;	0.833034765676017;	0.839290819369480;	0.844411810526380;	0.850189747261766;	0.854866922839682;	0.858972085198333;	0.855551221176268;	0.858353583715787;	0.853967020815620;	0.858764995587442;	0.866043027723443;	0.858807056913771;	0.864771534888792;	0.874081278087371;	0.884314247217121;	0.895581378340505;	0.908082909452470;	0.920093402722234;	0.934981887325285;	0.954763044503344;	0.969241371500553;	0.993121846978539
0.640714465954780;	0.519408697500186;	0.494858731549922;	0.493245945505929;	0.529148887063889;	0.589626302022279;	0.604920148104640;	0.607116591662424;	0.625776273754270;	0.661023004095411;	0.674121097792480;	0.697158138502886;	0.701682774158299;	0.719091345846986;	0.745752055105428;	0.770240612154186;	0.767336448883599;	0.785125392968930;	0.805368537305516;	0.822753998695029;	0.831593984038413;	0.823917268899721;	0.833629035453673;	0.844764945632312;	0.853447849064104;	0.863264891678488;	0.872015250129061;	0.878495855161322;	0.884147311508156;	0.889225053556528;	0.893444639057371;	0.898138872837833;	0.901865865726855;	0.905231328695522;	0.902438505241126;	0.904833900146173;	0.902474662719212;	0.906327005704211;	0.912067136917738;	0.908399756051341;	0.913159460402367;	0.920217099683628;	0.927948784843370;	0.936120269981744;	0.944996159505798;	0.953267764416854;	0.962833541457562;	0.975221063067572;	0.983795318291074;	0.998728389976327
0.675787799811971;	0.569784618564993;	0.546783917023614;	0.545967178189562;	0.579768479836781;	0.638436585939791;	0.656227649608715;	0.663770497130913;	0.684013679199500;	0.717772265613329;	0.732174251892135;	0.753949986549395;	0.760390438318591;	0.776511522226345;	0.800605534079224;	0.822615010366652;	0.822635243953850;	0.838131175060394;	0.855532903729660;	0.870283822939097;	0.878472227363745;	0.874043373099264;	0.882095798750440;	0.891193904887789;	0.898188817246519;	0.906028947119027;	0.912984962097625;	0.918107268213192;	0.922553875886301;	0.926499656159094;	0.929813375911902;	0.933451868788898;	0.936295203142030;	0.938919623317562;	0.937527061767851;	0.939441035752288;	0.938330020883721;	0.941248535978415;	0.945521054448325;	0.943969646777215;	0.947507864311726;	0.952502803326553;	0.957951426792374;	0.963475228647739;	0.969317055739169;	0.974577240409606;	0.980238591409409;	0.987441101038378;	0.992149935585425;	0.999858233660943
0.710766036191584;	0.619501118593724;	0.598225166946486;	0.598084584641085;	0.629703198960713;	0.685877195026871;	0.705204715602939;	0.716819833353880;	0.737732526816894;	0.769306017676587;	0.784155528510326;	0.804161410096590;	0.811667495479063;	0.826139456951022;	0.847290682883014;	0.866463197498251;	0.868326795548358;	0.881380690026862;	0.895836663986674;	0.907916730923489;	0.915057279834708;	0.912837489098325;	0.919245523662233;	0.926380505622319;	0.931789784790536;	0.937794393895249;	0.943087041828504;	0.946957799935335;	0.950299224823260;	0.953229460018683;	0.955706921090833;	0.958392623095016;	0.960464152164658;	0.962407408945680;	0.961842144384305;	0.963284587838797;	0.962891014635140;	0.964989197560904;	0.967998426296245;	0.967576997655974;	0.970049147386793;	0.973380566120178;	0.976977099761772;	0.980477127318942;	0.984067780362499;	0.987184566373666;	0.990307902483361;	0.994176517767053;	0.996549231974735;	0.999992232192336
0.745258323017280;	0.667971298107508;	0.648534684905070;	0.648932939621656;	0.678287952126373;	0.731282212292697;	0.751204825749990;	0.765632676750206;	0.786362804536811;	0.815179113814590;	0.829722882590434;	0.847582955104882;	0.855420225042931;	0.868012369328631;	0.886030868863913;	0.902200787805790;	0.905029868825043;	0.915651850495635;	0.927239437875471;	0.936771644157422;	0.942665687590038;	0.941816968011187;	0.946705907703202;	0.952067912557540;	0.956075781891043;	0.960475981684611;	0.964321400253157;	0.967111154836427;	0.969503104860185;	0.971576493563922;	0.973335602537963;	0.975217862560148;	0.976653614075183;	0.978015552269900;	0.977890357675318;	0.978913603292017;	0.978879515590549;	0.980303848342568;	0.982298734776225;	0.982380085463103;	0.983994662860398;	0.986073694582524;	0.988281262548884;	0.990341991094927;	0.992383392033994;	0.994085565554045;	0.995672287907715;	0.997566214528412;	0.998646787806530;	0.999999813663694
0.778850325044116;	0.714596159295957;	0.697057679792377;	0.697849659088960;	0.724859474887729;	0.774027312469542;	0.793677839039946;	0.809723330681662;	0.829524026753843;	0.855160468142475;	0.868782961736848;	0.884262559959310;	0.891844172880157;	0.902453563693105;	0.917325936494131;	0.930507995832649;	0.933641538462984;	0.941974130825545;	0.950917089189890;	0.958147186717637;	0.962761330085160;	0.962673303530616;	0.966240248014081;	0.970090545549084;	0.972926609723477;	0.976001337957822;	0.978659985077034;	0.980570740149183;	0.982195749933233;	0.983587797978337;	0.984769438182387;	0.986016610387394;	0.986958592970691;	0.987858070698394;	0.987922075421359;	0.988602644687181;	0.988708739276553;	0.989616200119609;	0.990852938546891;	0.991084431740884;	0.992063229082868;	0.993267002045827;	0.994515829426554;	0.995631552902870;	0.996692726241149;	0.997538404238496;	0.998269981595079;	0.999100923960144;	0.999537096138981;	0.999999991621648
