0.269152958765557;	0.000000002921654;	0.000000005265604;	0.000000003116587;	0.070169893218637;	0.144748743098203;	0.137925235345822;	0.000000000001851;	0.000000000000406;	0.000000000000101;	0.000000000000035;	0.000000000000015;	0.000000000000008;	0.016535284705059;	0.018361438376402;	0.019304803897029;	0.018564907508717;	0.021238865536915;	0.023620318661552;	0.025449324144062;	0.025869843578986;	0.025714081116855;	0.028521902860190;	0.031443650093412;	0.034477196240538;	0.037714260311371;	0.040634911866967;	0.043518720915002;	0.045900968400373;	0.048606392298254;	0.051351911067204;	0.054293454023241;	0.057308614619456;	0.058917854346416;	0.058494542440084;	0.060039792356517;	0.061297111199985;	0.063941499707848;	0.067109821588515;	0.068519345800860;	0.071726103631487;	0.078106335012870;	0.083303782775533;	0.091763370070898;	0.102601662536794;	0.116319118853735;	0.143195636778453;	0.170281947109779;	0.194371691612502;	0.164024642012716
0.269153018761898;	0.000000037293180;	0.000000034649697;	0.000000030171091;	0.070169917686283;	0.144748764288994;	0.137925251326350;	0.000000019630564;	0.000000018310334;	0.000000020887764;	0.000000019679286;	0.000000022162873;	0.000000021294820;	0.016535288200801;	0.018361442309427;	0.019304808098213;	0.018564911555912;	0.021238870112450;	0.023620323707912;	0.025449329549268;	0.025869849068088;	0.025714086499014;	0.028521908707049;	0.031443656393489;	0.034477202965832;	0.037714267468805;	0.040634919418763;	0.043518728836860;	0.045900976628530;	0.048606400840700;	0.051351919946566;	0.054293463236694;	0.057308624137116;	0.058917864073620;	0.058494552120001;	0.060039802239472;	0.061297121120154;	0.063941509869251;	0.067109832017368;	0.068519356251488;	0.071726114340301;	0.078106346117317;	0.083303794201582;	0.091763381892933;	0.102601674758709;	0.116319131333058;	0.143195649472920;	0.170281959734687;	0.194371704104181;	0.167972105599174
0.269153037742719;	0.000000048365757;	0.000104675416040;	0.000000038149894;	0.070169924452118;	0.144748770024872;	0.137925255837821;	0.000000025003952;	0.000000023170308;	0.000000026281444;	0.000000024642911;	0.000000027598279;	0.000000026384583;	0.016535294305085;	0.018361449062024;	0.019304815211862;	0.018564918299496;	0.021238877596031;	0.023620331828511;	0.025449338127356;	0.025869857669933;	0.025714094805838;	0.028521917577799;	0.031443665797220;	0.034477212846630;	0.037722041765866;	0.040660472636312;	0.043565251590206;	0.045970834087886;	0.048701801581599;	0.051474290399708;	0.054443099017181;	0.057483925572931;	0.059117689898519;	0.058713996602410;	0.060285066316946;	0.061565218568222;	0.064239787122184;	0.067441692971578;	0.068878663664622;	0.072123871275890;	0.078553230004738;	0.083803510001119;	0.092329077926037;	0.103246987155229;	0.117056296753061;	0.144053527796048;	0.171292181816698;	0.195597367202306;	0.169975445822435
0.274686499347807;	0.000628700048308;	0.000662623535131;	0.000670931910814;	0.070647213903979;	0.145165968737650;	0.138238719859055;	0.015259487275801;	0.000362734264693;	0.000416382342517;	0.000395904853256;	0.000449313358400;	0.000436309969558;	0.016699738179875;	0.018551772243268;	0.019514820755902;	0.018772713146973;	0.021479138076437;	0.023892784879714;	0.025750485931061;	0.026186061546935;	0.026032912166819;	0.028877225284571;	0.031838083521315;	0.034911962942710;	0.038200290538227;	0.041181749718332;	0.044130323223742;	0.046579020180419;	0.049357619532629;	0.052180368076638;	0.055204817071595;	0.058306274973321;	0.059998640794612;	0.059634683299662;	0.061274034092549;	0.062614213059991;	0.065384836998702;	0.068704667441133;	0.070243465148502;	0.073642158331566;	0.080278708548707;	0.085758900981024;	0.094565008676910;	0.105772502810591;	0.119832555431302;	0.147122899912570;	0.174730776481279;	0.199383982367595;	0.171952033930155
0.280147958515863;	0.001571806926677;	0.001488021473079;	0.001462607292670;	0.071483782571268;	0.145803005181671;	0.138733946889160;	0.016026928477443;	0.020512934147629;	0.001092438488770;	0.001042349515153;	0.001200678915042;	0.001170363652178;	0.017121539404409;	0.019033940637175;	0.020043510501422;	0.019291132705344;	0.022070745185818;	0.024558706700726;	0.026484278878572;	0.026956019701754;	0.026804453105995;	0.029729248346037;	0.032778505776945;	0.035944121789646;	0.039330201033800;	0.042404378748932;	0.045445092935762;	0.047985633435422;	0.050867734331293;	0.053793326974781;	0.056935065728151;	0.060168145853382;	0.061984465748746;	0.061691921759439;	0.063447119836827;	0.064861459973549;	0.067754265217286;	0.071183850580634;	0.072719208871625;	0.076137094299250;	0.082799957636902;	0.088256595081701;	0.097040658049986;	0.108198094273789;	0.122214920635125;	0.149486564027267;	0.177155670418812;	0.201871076116086;	0.177098199563872
0.286811767826215;	0.003099926266189;	0.002981266152905;	0.002917398436733;	0.072661895592465;	0.147006327713131;	0.139511498044378;	0.017101068905523;	0.021646947966885;	0.026608855902475;	0.030921130727790;	0.002216602229925;	0.002135094481826;	0.017898394783024;	0.019911636874937;	0.021000905647752;	0.020206949880141;	0.023098198821836;	0.025702880723121;	0.027737469539653;	0.028265596713731;	0.028100544761919;	0.031135406003343;	0.034308335292182;	0.037599543931691;	0.041119947197843;	0.044315033732659;	0.047463939612794;	0.050105107393710;	0.053092948744695;	0.056087757865266;	0.059300371534978;	0.062598346964235;	0.064446954660224;	0.064103360786819;	0.065845473645600;	0.067183107609115;	0.070080840086019;	0.073548676711917;	0.075052977526969;	0.078504436770555;	0.085249998697182;	0.090804897249128;	0.099747702762724;	0.111100865010172;	0.125339670047314;	0.152927645342832;	0.181080755298217;	0.206389726399912;	0.183756691618804
0.294609850495764;	0.017995289541900;	0.005139734139182;	0.005177523706340;	0.074635976028408;	0.148737342363511;	0.141113353866676;	0.028102185311152;	0.023145757184658;	0.028515713971937;	0.032811645919026;	0.036581478697336;	0.040005088237940;	0.019077208089929;	0.021232635699276;	0.022434274786147;	0.021708329947361;	0.024762821184921;	0.027542495129676;	0.029742679475993;	0.030356736673969;	0.030153439754750;	0.033337119534869;	0.036680064175371;	0.040142451708788;	0.043851598882520;	0.047222979792573;	0.050536248762439;	0.053343054761969;	0.056518587289424;	0.059673885398383;	0.063077707043857;	0.066603795380540;	0.068667157097952;	0.068436014612837;	0.070388972520943;	0.071768903236934;	0.074924532300959;	0.078671708294714;	0.080279943084513;	0.083937181637298;	0.090953161369745;	0.096742402773812;	0.105964752353692;	0.117541851807982;	0.131925701066133;	0.159712444151809;	0.188250410815048;	0.213903269433105;	0.193672744751334
0.311143345631320;	0.033600167084191;	0.021913382910382;	0.009327595354411;	0.078670859525300;	0.152182541204654;	0.143894357356403;	0.036097539798759;	0.044293144780103;	0.045047853251266;	0.051932884153342;	0.039730327246529;	0.043002416583020;	0.060094782945629;	0.067066670652374;	0.073763104077164;	0.024215839538737;	0.027528656281347;	0.030589268683490;	0.033063855472939;	0.033779605180953;	0.033481168727938;	0.036872289875619;	0.040459515771145;	0.044172565395640;	0.048157821337847;	0.051783630309506;	0.055329246214176;	0.058368443609468;	0.061800741903905;	0.065138481733729;	0.068748887683245;	0.072497951699201;	0.074735785618100;	0.074505277670979;	0.076548068936080;	0.077535076181060;	0.080811238533748;	0.084731645627500;	0.086321871706976;	0.090108716784980;	0.097351192981547;	0.103383786935094;	0.112951363561563;	0.124887081118043;	0.139594662098665;	0.167849521110314;	0.197174598795776;	0.223679010943460;	0.206651146947426
0.324988486169933;	0.056040305713073;	0.036772722498559;	0.031331530384168;	0.083769624671228;	0.157226418781752;	0.148128896444947;	0.049505444867227;	0.048823752837485;	0.059419374201680;	0.066683248673775;	0.074217785242381;	0.079529910007815;	0.064954765616996;	0.072895765946768;	0.080688994417298;	0.080324192901338;	0.086944708394377;	0.094665441860560;	0.101538924004206;	0.038826761693851;	0.038446784998154;	0.042161273017955;	0.046136891246986;	0.050244801777378;	0.054669093417300;	0.058703943508772;	0.062618474680417;	0.066033490818060;	0.069876315254477;	0.073518095229519;	0.077484170904662;	0.081636275836906;	0.084233205972599;	0.084136221646606;	0.086442389589937;	0.086407186236613;	0.090002342044953;	0.094285336253433;	0.095914417060154;	0.099932969407751;	0.107512677284483;	0.113863858012493;	0.123847580800837;	0.136153964811321;	0.151102312460776;	0.179778901593339;	0.209956514976693;	0.237324857213121;	0.223426295279124
0.346434517033384;	0.082422159825199;	0.063140460611430;	0.050009074218982;	0.109831586186633;	0.164748154642611;	0.154762899960403;	0.063573955474376;	0.072610987186107;	0.081975764219413;	0.091640494647729;	0.088990745553539;	0.095008391189719;	0.105040957609734;	0.117009285463752;	0.128035357913843;	0.103556886248004;	0.112537690980525;	0.123225311095628;	0.133095012086857;	0.113311984135709;	0.114351613206308;	0.119933069776174;	0.126570120828445;	0.132507684792953;	0.139505878822589;	0.146001544681153;	0.151521421623109;	0.156391115537805;	0.161456152052584;	0.166001749137795;	0.171126779842111;	0.175840039748901;	0.179095183068165;	0.179059627548000;	0.181112010293569;	0.098989012074469;	0.102940505009818;	0.107655851414467;	0.109288821773205;	0.113583016500148;	0.121575992999252;	0.128341441983493;	0.138862659864428;	0.151655165859492;	0.166838313928635;	0.196035489564591;	0.227301992046425;	0.255729066931904;	0.244934103530157
