0.426270149133033;	0.000000000000000;	0.000000000000001;	0.000000000000000;	0.019626202001831;	0.040003722205922;	0.031706276224173;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.061016825782709;	0.070455030471057;	0.076309895305806;	0.075510965250505;	0.089013072108627;	0.101452503569325;	0.110911048977032;	0.114132742307450;	0.115098863245297;	0.130038383255774;	0.145409766830502;	0.160676849308827;	0.177198847257778;	0.193008269327781;	0.208724572618958;	0.221847870660033;	0.236369533342115;	0.253017311106963;	0.270168174633324;	0.286192117375205;	0.296844165390893;	0.299908285481455;	0.310076475478035;	0.315727551966487;	0.326716836722357;	0.339351105277404;	0.343814503034183;	0.354251315186009;	0.374386841814246;	0.389386379834397;	0.413943190525555;	0.445363493494457;	0.481890063504583;	0.549704198155106;	0.611352404064074;	0.659482793728012;	0.396710200659751
0.583526475504225;	0.089619950888091;	0.076286813278822;	0.070716078936485;	0.083277779159260;	0.095196541442890;	0.073846320242315;	0.051609120438703;	0.048013199070393;	0.054645213403954;	0.051389019621169;	0.057732374221274;	0.055358298073429;	0.070049386869427;	0.080584626260019;	0.087124291588028;	0.085909029219247;	0.100716684313697;	0.114331435247770;	0.124706052518149;	0.128171337620028;	0.128881239068700;	0.144988176650672;	0.161510736142199;	0.177867827437867;	0.195501207396896;	0.212334818496097;	0.229016144715826;	0.242968774673235;	0.258353573553243;	0.275881960080599;	0.293901885383175;	0.310735623634029;	0.322017960577332;	0.325207185838746;	0.335967575051476;	0.341700462248338;	0.353293406694517;	0.366557596352369;	0.371047958472856;	0.382024183151403;	0.402872755423418;	0.418441271523276;	0.443683323922943;	0.475735189024620;	0.512570695134865;	0.580636464128246;	0.642077738915159;	0.689995075174800;	0.427492721041045
0.625124939352235;	0.118522348627081;	0.098878554308098;	0.091582743797263;	0.100888206868785;	0.110141387004186;	0.085739192820863;	0.065732858366786;	0.060753409580794;	0.068751393781465;	0.064345798684486;	0.071884253768118;	0.068580793560143;	0.085819262727442;	0.097971994881298;	0.105429978632209;	0.103227228948685;	0.119848159767860;	0.135041779146837;	0.146579837744674;	0.150146599742554;	0.150123213152576;	0.167631549106758;	0.185495425907091;	0.203065093056293;	0.221888521918564;	0.239738484364077;	0.257308969173694;	0.271949184475578;	0.288029877393390;	0.306215813273215;	0.324854361567996;	0.342219698382983;	0.353811592394031;	0.356671842238477;	0.367659122043709;	0.372976307067419;	0.384792953220494;	0.398296190694481;	0.402316976515297;	0.413418677268940;	0.434548528196671;	0.450325467410071;	0.475900784914797;	0.508176136113388;	0.544843718765969;	0.612588218633243;	0.673296352139478;	0.720453593305186;	0.453940435378121
0.672563540673977;	0.165701189278064;	0.134868075068125;	0.124323215134622;	0.127931965559583;	0.132733110960341;	0.103752972739364;	0.086769834715930;	0.079431225001953;	0.089141187837706;	0.082840346537324;	0.091819942472815;	0.086978004352616;	0.104363282162068;	0.118261316350867;	0.126705820561040;	0.123224374959969;	0.141736220113808;	0.158588309436821;	0.171367778662785;	0.175010975474143;	0.174056442927657;	0.192990391139350;	0.212228802057938;	0.231040902040052;	0.251082918731413;	0.269970230032317;	0.288441194203714;	0.303794352163272;	0.320594916267201;	0.339430004303689;	0.358685247382391;	0.376587504030118;	0.388508269940567;	0.391007812703035;	0.402214427121798;	0.407025193929426;	0.419030535397282;	0.432709522570744;	0.436107685499295;	0.447198282673609;	0.468391144750346;	0.484091842072671;	0.509658256105909;	0.541796777154226;	0.577927996165352;	0.644872530549813;	0.704361534162925;	0.750338468880783;	0.483261202026366
0.717257297978961;	0.228749522208843;	0.182318438363776;	0.167393983532370;	0.162787994369222;	0.161765279227616;	0.127164293773488;	0.113586905913166;	0.103091341837107;	0.114769761852733;	0.105881387414383;	0.116395618524463;	0.109446519937621;	0.127450211220801;	0.143275389546190;	0.152769886989454;	0.147508315491611;	0.168015944130601;	0.186612937405492;	0.200691912420905;	0.204292197472314;	0.202041808567665;	0.222378995653430;	0.242962955068977;	0.262966147530665;	0.284161856074100;	0.304003447860001;	0.323267541047893;	0.339227446454817;	0.356623193958808;	0.375938975681309;	0.395630536513820;	0.413879940269820;	0.425953344733615;	0.427874896936276;	0.439111670265498;	0.443169703001470;	0.455185222685388;	0.468884053041152;	0.471528491757997;	0.482554703039430;	0.503739780325746;	0.519363413709435;	0.544874352396782;	0.576835086102466;	0.612322656606693;	0.678242429252452;	0.736276569481532;	0.780883449149038;	0.514703445891226
0.758176151371398;	0.313534508558458;	0.245012356442018;	0.224292747881478;	0.207906039380371;	0.198837139869303;	0.157600430285660;	0.147725107804589;	0.132697039566188;	0.146646052634532;	0.134160363658879;	0.146596374309190;	0.136795454173525;	0.155629176846746;	0.173503302124382;	0.184057424997665;	0.176414604093425;	0.198942003366587;	0.219296638611553;	0.234673035670792;	0.238057273543883;	0.234082708815326;	0.255730796776713;	0.277559561837192;	0.298634109364107;	0.320847758993195;	0.341502714617242;	0.361408937021080;	0.377840976476461;	0.395684880025324;	0.415330090317309;	0.435313166638770;	0.453789638198481;	0.465953433256561;	0.467233483059747;	0.478488416424222;	0.481752961689502;	0.493782083116918;	0.507479968000960;	0.509321079343108;	0.520279949642996;	0.541387537943676;	0.556878755626206;	0.582200124585102;	0.613797381559418;	0.648402992727592;	0.712928564224291;	0.769117127228777;	0.812011777944462;	0.548365800394287
0.791762848128826;	0.408355177636307;	0.327193237113760;	0.298860994671655;	0.265921453707714;	0.245951428316769;	0.196562391375576;	0.190488790254339;	0.169771030786074;	0.185962976428974;	0.168521882260979;	0.182922391896784;	0.169176124189352;	0.189885012219319;	0.209890892575325;	0.221475016227041;	0.210544926176773;	0.235058159083812;	0.257132468005116;	0.273766981358078;	0.276718046217568;	0.270537576582494;	0.293390348753457;	0.316353394796099;	0.338381429501433;	0.361487284584013;	0.382843189308107;	0.403282014255086;	0.420100027373510;	0.438292960350141;	0.458164410082647;	0.478325413769792;	0.496910152022305;	0.509086010274028;	0.509610746732575;	0.520808723897811;	0.523260808585856;	0.535223686794250;	0.548820101064526;	0.549725063223294;	0.560542043226697;	0.581428006089066;	0.596673610752785;	0.621620104040745;	0.652628604998530;	0.686072983770725;	0.748771342413493;	0.802650168131736;	0.843438057978179;	0.584339252136048
0.817069234325732;	0.505568429231804;	0.416596957396867;	0.396588578970894;	0.340117273485071;	0.305751344758987;	0.246315328962735;	0.243912569762561;	0.215289443233909;	0.233652603559835;	0.210255461900569;	0.226855156706749;	0.207839197244489;	0.230078147217699;	0.252022126658347;	0.264273383314808;	0.250927681695171;	0.277330137593036;	0.301025432700722;	0.318819413743676;	0.321106395045419;	0.312158261221482;	0.336091562423443;	0.360054772850942;	0.382890084721863;	0.406718055813680;	0.428602937278173;	0.449395386234585;	0.466435543544011;	0.484787230699848;	0.504685661017828;	0.524807665726831;	0.543284473110784;	0.555304934858747;	0.554875923814714;	0.565876822073094;	0.567786491082635;	0.579557520017789;	0.592903698940067;	0.592702400032273;	0.603272433862208;	0.623748436750398;	0.638595764983836;	0.662931395869386;	0.693070628769105;	0.725034988667153;	0.785394699046169;	0.836380243643925;	0.874578326394698;	0.622657460473782
0.833086083171600;	0.616575268833358;	0.508294906077160;	0.501722398862573;	0.435326599650170;	0.381475482237262;	0.310068407294518;	0.310929655071373;	0.271323770335289;	0.291492786641409;	0.260337719341700;	0.278568551875970;	0.253591093237794;	0.278074777965239;	0.301825416730149;	0.314471318690610;	0.296571497647712;	0.324575778532375;	0.349525441454782;	0.368115738893320;	0.371878580172759;	0.359373991516640;	0.384114122166188;	0.408775652655729;	0.432107215010603;	0.456308177789730;	0.478382237789519;	0.499202946871389;	0.516166447472612;	0.534357896648909;	0.553986836690716;	0.573753909696111;	0.591821896188210;	0.603452820028000;	0.601818483904136;	0.612452407734249;	0.614902487831156;	0.626304806414636;	0.639195426931581;	0.637686369660474;	0.647875217918641;	0.667707019566898;	0.681965663336946;	0.705406185879348;	0.734346195250770;	0.764497245571780;	0.821945770829147;	0.869346011469129;	0.904393919507188;	0.663140880578641
0.843092207314321;	0.751893600452695;	0.615128655749862;	0.614114023076453;	0.532696236198943;	0.477748537885722;	0.391919428745941;	0.395408794690870;	0.340501855630635;	0.362036231779099;	0.320151818398583;	0.339902992802778;	0.307373326191762;	0.333502753319727;	0.358603126699153;	0.372585268983548;	0.349234803325553;	0.378511543613726;	0.404335488745398;	0.423368200995363;	0.427236563003226;	0.410224314220206;	0.435468677258778;	0.460458667424226;	0.483949723550356;	0.508127777173271;	0.530030856998239;	0.550577106549545;	0.567198324925050;	0.584948250134787;	0.604070281885697;	0.623211996426596;	0.640624923543476;	0.651691310393702;	0.648659894738389;	0.658830686387223;	0.663241139591353;	0.674074569229170;	0.686270275849376;	0.683259035535323;	0.692930208649897;	0.711860439101996;	0.725320192196508;	0.747550938294459;	0.774926508517860;	0.802982971730636;	0.856911148182527;	0.899939835569260;	0.931230941758427;	0.705145985380422
