0.063855431141201;	0.014546558444046;	0.013398689572156;	0.012623039464321;	0.012204419091498;	0.011748250688984;	0.011468057583404;	0.011220422278995;	0.010983697601580;	0.010700933220931;	0.010535063605875;	0.010325696471234;	0.010185774780950;	0.010049994119643;	0.009874251530800;	0.009741829592143;	0.009610783373493;	0.009490424774501;	0.009358453105702;	0.009323569670400;	0.009364249880369;	0.009144403236248;	0.009116460209037;	0.008966390066845;	0.008977406570193;	0.008798507876882;	0.008744166134535;	0.008697549378310;	0.008585392821980;	0.008571262497606;	0.008144532365138;	0.008027157719797;	0.007931013355123;	0.007820304423165;	0.007848699901671;	0.007671179936361;	0.007663063485160;	0.007575352695564;	0.007544491754369;	0.007427395560983;	0.007445555315535;	0.007323431402745;	0.007320552267130;	0.007245100235939;	0.007190161183087;	0.007171142970085;	0.007105449685053;	0.007044274520493;	0.007057997064965;	0.006975219067081;	0.006913917817151;	0.006972516407277;	0.006839224884974;	0.006842099683732;	0.006849088623163;	0.006763879321739;	0.006751938713748;	0.006756274929086;	0.006695128411833;	0.006680712159843
0.069386655030323;	0.016551545985246;	0.015168435339636;	0.014236780381548;	0.013723892274679;	0.013178839013387;	0.012838305204345;	0.012539119570110;	0.012255524574543;	0.011920821903808;	0.011718191257827;	0.011469483338068;	0.011299597461289;	0.011134969273281;	0.010926720308572;	0.010768846559654;	0.010614068906762;	0.010472234040443;	0.010318894932322;	0.010263725478521;	0.010286603386586;	0.010060782061793;	0.010007931438233;	0.009849572554510;	0.009849438088616;	0.009657083709411;	0.009589881431647;	0.009537921129624;	0.009411645237946;	0.009547344258759;	0.009117857274240;	0.008774708500008;	0.008705988147372;	0.008589956438112;	0.008620055217818;	0.008423971738970;	0.008412577867146;	0.008313607788558;	0.008277399577172;	0.008145693754137;	0.008162820250084;	0.008026586499786;	0.008020625144838;	0.007935731876765;	0.007873704571927;	0.007850588953465;	0.007776519106460;	0.007707456621823;	0.007720513261593;	0.007627731638576;	0.007558829132549;	0.007621389002798;	0.007473730163025;	0.007475233775817;	0.007481554815526;	0.007386862025767;	0.007372011623115;	0.007374923118392;	0.007306333503488;	0.007288513234059
0.079271547177652;	0.020550260406807;	0.018759377822449;	0.017563979910028;	0.016898188643694;	0.016199567985313;	0.015757175998643;	0.015367287977513;	0.015002274567617;	0.014580613684039;	0.014322690376334;	0.014009104723867;	0.013792729100883;	0.013584661216372;	0.013325116831061;	0.013125411968325;	0.012928972753544;	0.012748241239262;	0.012552577602937;	0.012439738388268;	0.012411252332823;	0.012163370594438;	0.012044001178742;	0.011857321510424;	0.011821354499259;	0.011587602947384;	0.011481039328351;	0.011408318241779;	0.011245481110431;	0.011416083528409;	0.011435306580651;	0.011101612973269;	0.010625319818885;	0.010290340517345;	0.010292771140049;	0.010053256709107;	0.010029190703310;	0.009901399753809;	0.009849112171999;	0.009685471069352;	0.009698481375383;	0.009529311752279;	0.009515974687478;	0.009408355510838;	0.009327627790758;	0.009294004547966;	0.009200073629824;	0.009112409066232;	0.009121871700090;	0.009007011401160;	0.008920014475663;	0.008987731033081;	0.008808577269864;	0.008804784732581;	0.008806223826240;	0.008689429747243;	0.008666993800550;	0.008665469099777;	0.008580063442307;	0.008554822831116
0.096695303968494;	0.027644170033544;	0.025542654187157;	0.024180274347911;	0.023516091610324;	0.022786387988122;	0.022404004061583;	0.022192654631104;	0.021826952173812;	0.021372784141097;	0.021186050780719;	0.020915065224559;	0.020777617714405;	0.020638935545875;	0.020414841496281;	0.020275960728581;	0.020137494031992;	0.020017665719005;	0.019868635599885;	0.019839835880061;	0.019938657076131;	0.019711064415234;	0.019659056267961;	0.019515161455160;	0.019610866951834;	0.019406120774464;	0.019395471574392;	0.019442127052230;	0.019327525282588;	0.019625136122364;	0.019500401224934;	0.019379584470402;	0.019345818654904;	0.019187078086665;	0.019420533891275;	0.018726354737440;	0.018274732697945;	0.017998257997639;	0.017923761838159;	0.017653010897448;	0.017699125937936;	0.017413915908457;	0.017410897685039;	0.017232266237961;	0.017101594768017;	0.017056069298390;	0.016897913700762;	0.016752096536403;	0.016785677075217;	0.016590557789183;	0.016446584699406;	0.016589084305271;	0.016276137405755;	0.016285458550140;	0.016304511341042;	0.016104487605003;	0.016078281479065;	0.016090265973790;	0.015946109404237;	0.015917705625624
0.171562007684596;	0.049987303459126;	0.045461887520011;	0.042467933582807;	0.040797134177939;	0.039080175022642;	0.037997054137692;	0.037182483825179;	0.036236328575823;	0.035178776355783;	0.034554676531885;	0.033804033950751;	0.033345486250679;	0.032883206113606;	0.032210872362653;	0.031746059165386;	0.031315821872730;	0.030928349459738;	0.030509800080743;	0.030231234390442;	0.030131039466255;	0.029708501851460;	0.029389875322327;	0.029068309214739;	0.029033980799583;	0.028640639250137;	0.028492673358900;	0.028465663807303;	0.028197211414578;	0.028513516987344;	0.028527512438037;	0.028356081046881;	0.028277899974027;	0.027948460844974;	0.028107363420821;	0.027543497980506;	0.027521158395944;	0.027224672174636;	0.027349780002039;	0.026801731550645;	0.026553504130937;	0.025706642695686;	0.025680607638941;	0.025541342660481;	0.025411159771976;	0.025398103052960;	0.025213181737147;	0.025043431415820;	0.025140847487030;	0.024891205793523;	0.024717774562451;	0.024977048400826;	0.024545656435827;	0.024595647817297;	0.024655655563357;	0.024381617856357;	0.024368046109394;	0.024411078685217;	0.024216173491395;	0.024189767842702
0.255968429315053;	0.079077047754771;	0.071880854712462;	0.067113969401154;	0.064433441237700;	0.061690867764083;	0.059970456995477;	0.058641121942135;	0.057167532291618;	0.055543942939675;	0.054574930205879;	0.053385484040433;	0.052673998715509;	0.052001012000865;	0.050961762039031;	0.050248918212378;	0.049552069269602;	0.049046755030040;	0.048363489281864;	0.047847342538640;	0.047598986587093;	0.047003328342533;	0.046434888764509;	0.045953834958973;	0.045815187769696;	0.045104813302699;	0.044747953529190;	0.044604276944731;	0.044072828880645;	0.044324285734175;	0.044239094280365;	0.043758436144687;	0.043401133573361;	0.042756162558190;	0.043099257684245;	0.042484393476325;	0.042587309843835;	0.041949978035066;	0.041826139504941;	0.041080723000136;	0.041337603869845;	0.040657822575757;	0.040388874455122;	0.039702824592137;	0.039455246848183;	0.039126786351355;	0.038247626541923;	0.037388137806519;	0.037455232379639;	0.037082485652699;	0.036809423827890;	0.037183383985725;	0.036533686654844;	0.036618555061571;	0.036737557838340;	0.036361452139969;	0.036377999760524;	0.036483510338175;	0.036236561361592;	0.036243071966114
0.362796209260445;	0.122704648092580;	0.108402388079232;	0.101011643857343;	0.096840254823035;	0.092530280348682;	0.089784317327927;	0.087764676686934;	0.085453817974370;	0.082907050957904;	0.081429920751067;	0.079615808827552;	0.078425369769047;	0.077211108308335;	0.075511363511076;	0.074319356861150;	0.073137445970882;	0.072195545026854;	0.070939978414175;	0.069909769612308;	0.069278560501301;	0.068538294129639;	0.067332099566348;	0.066502081000546;	0.066079292327140;	0.064981635396973;	0.064198157112456;	0.063847283843170;	0.063018298688851;	0.063097604111804;	0.063014830004574;	0.062436465381575;	0.061889225940388;	0.060951770270865;	0.061379939978821;	0.060466033192295;	0.060702575043935;	0.059977937535854;	0.059963363994441;	0.058975072575405;	0.059413256025962;	0.058619183196485;	0.058680317045176;	0.057894904530509;	0.057751491033863;	0.057556233936186;	0.056966947478630;	0.056416936848941;	0.056525237731512;	0.055783919504938;	0.054820502886503;	0.055239722357241;	0.053715011424361;	0.052799655322514;	0.052587033678634;	0.051924067646348;	0.051907366189558;	0.052019855544321;	0.051635750014484;	0.051622505832445
0.474741889585759;	0.246238832639485;	0.174481013662407;	0.144513895616180;	0.138157851699465;	0.131743763935416;	0.127498717192663;	0.124131669818592;	0.120631286438229;	0.116765236539895;	0.114327447214829;	0.111517486450012;	0.109725802069236;	0.107982835434237;	0.105438374381451;	0.103637882458166;	0.101907791664297;	0.100641654609398;	0.098852687662670;	0.097471446687506;	0.096668407402292;	0.095560659635588;	0.093991931967190;	0.092830504337289;	0.092289396399275;	0.090680681018219;	0.089590912211346;	0.089046568343438;	0.087855868707606;	0.088039254819707;	0.087771991310820;	0.086728986171743;	0.085810768808978;	0.084322999325318;	0.084529044236082;	0.082827481911700;	0.082906135136262;	0.081900709459685;	0.081831085730426;	0.080510472454527;	0.081109003652917;	0.080064571931877;	0.080212679563122;	0.079193487341587;	0.079075533233859;	0.078998237373792;	0.078448072387361;	0.077882452284398;	0.078005976173210;	0.077502455306920;	0.076688855222740;	0.077318179508039;	0.076025839194176;	0.075980324433258;	0.075768768610608;	0.074888781410915;	0.074492445532503;	0.074012045029192;	0.073037437926778;	0.072079490257758
0.578992850610797;	0.387082406105449;	0.341143293100523;	0.295802214985272;	0.244595765206993;	0.190160662602508;	0.175409664310751;	0.170617068637110;	0.165447586893180;	0.159986438080399;	0.156424551647326;	0.152259403285322;	0.149580656082097;	0.147086735733308;	0.143522156524721;	0.140873187365124;	0.138318131966519;	0.136457182838733;	0.133938294960165;	0.131775872359283;	0.130339588641111;	0.128709673455394;	0.126263915808974;	0.124499731998825;	0.123635876194168;	0.121464038383857;	0.119776558372626;	0.118884928396721;	0.117172690033575;	0.117082819757344;	0.116751222162228;	0.115450109628438;	0.114212050958201;	0.112217313370339;	0.112793560395513;	0.110908554434050;	0.111193214052456;	0.109571958189366;	0.109336646293641;	0.107290118284459;	0.107898835703404;	0.106256628704641;	0.106090188316827;	0.104246753917242;	0.103630729667115;	0.103095187400833;	0.101993198151730;	0.100995682107047;	0.101218035139598;	0.100658037922172;	0.099727228257191;	0.100689957955045;	0.099194575943303;	0.099382482698168;	0.099388990956715;	0.098670759406832;	0.098645926558562;	0.098573209429593;	0.098223266624868;	0.097910673975183
0.666296808870160;	0.510537930481921;	0.477687001295627;	0.451605705079295;	0.422905214608881;	0.394387875342729;	0.360006699441942;	0.319988500123570;	0.270509675631677;	0.221666068212563;	0.206684754480609;	0.201547449302251;	0.197420796307455;	0.193645916301436;	0.188789880523900;	0.185116434989180;	0.181406618202155;	0.178531360124181;	0.174957506966948;	0.171881239015844;	0.169718261464107;	0.167700069300862;	0.164043671886565;	0.161613031607083;	0.160262880514165;	0.157478391705613;	0.155193603213557;	0.153981558007962;	0.151604011849347;	0.150802053671482;	0.150086211532690;	0.148415198150221;	0.146777439165980;	0.144309794417382;	0.145015466366696;	0.142445628536987;	0.142756257337100;	0.140650190502480;	0.140384416590373;	0.137848676020698;	0.138749188849776;	0.136816910540613;	0.136869713449077;	0.134760484571753;	0.134500929823270;	0.134182177088223;	0.133148065941823;	0.132092571022807;	0.132090057951608;	0.131311617296981;	0.129660792546632;	0.130428601969632;	0.128107559952972;	0.127657971791677;	0.126745811875487;	0.125116313148425;	0.124125984088750;	0.122955085219373;	0.121523013603770;	0.120768612579274
