0.460917830134812;	0.000000000008407;	0.000000000011619;	0.074012781367082;	0.060695205160711;	0.087383834180376;	0.108749772219601;	0.074087936242708;	0.038413383156066;	0.040549168860402;	0.041567700152367;	0.043954828467746;	0.045096745520162;	0.046707835858263;	0.048378806870753;	0.052906824979757;	0.056175105271731;	0.058761942287986;	0.063879017862620;	0.070617833238577;	0.077995757559701;	0.085217056972000;	0.087813064551998;	0.095634342873612;	0.104575902143914;	0.113139119323921;	0.120630580969691;	0.130008066616526;	0.130080614963818;	0.140125013447358;	0.152372223040626;	0.160381867807989;	0.169167400643183;	0.181290670219406;	0.192771552171855;	0.204040372197358;	0.214474239092826;	0.222638379989056;	0.229904172727878;	0.232836132283431;	0.238103154367406;	0.244347345602540;	0.251496706557788;	0.257322712431658;	0.261511988253888;	0.272953739534618;	0.287129578341506;	0.300930276357394;	0.311689462748745;	0.319604269696767;	0.338064912067823;	0.359484065592863;	0.381387629948021;	0.408904468829634;	0.440358655546342;	0.484247743542816;	0.538167160150759;	0.590204309965694;	0.631990839980479;	0.706089179635151
0.578471623959153;	0.082139934152822;	0.068125701550001;	0.083700165476435;	0.069006809859012;	0.095092573559653;	0.116728280333306;	0.080566558772086;	0.044526908668931;	0.046938348194465;	0.048053545532539;	0.050735916852187;	0.051955254040169;	0.053700782770521;	0.055505434990512;	0.060598211869050;	0.064149650961960;	0.066940246244940;	0.072610909257813;	0.080031199448492;	0.087998904717577;	0.095854947710426;	0.098607656887073;	0.107144974408067;	0.116864972124178;	0.126098861722677;	0.134023073068713;	0.144112095442464;	0.144031674026653;	0.154792639315475;	0.167854392500418;	0.176439353746445;	0.185824134395560;	0.198688559967125;	0.210854203670435;	0.222776497060169;	0.233812063169226;	0.242477677910790;	0.250207124921217;	0.253186878326638;	0.258815721283291;	0.265359647085038;	0.272952386784907;	0.279180277745336;	0.283503558008655;	0.295490256525425;	0.310282771498125;	0.324667686826488;	0.335897155794031;	0.343923603374250;	0.362982763163442;	0.385002794869279;	0.407449133700286;	0.435513565943855;	0.467444934770773;	0.511711997889067;	0.565760777334722;	0.617593577591139;	0.659015810293699;	0.736265073187073
0.608896799619446;	0.103934541752213;	0.085731754008811;	0.100657332111838;	0.083097159799290;	0.107631285933453;	0.129309096357469;	0.090747436508584;	0.053927737831447;	0.056534537007511;	0.057592645944152;	0.060516827944716;	0.061665234454028;	0.063427189391042;	0.065249539983621;	0.070955110018914;	0.074707247866626;	0.077598362527847;	0.083824994741932;	0.091934254485193;	0.100431421725090;	0.108877019494169;	0.111649525741541;	0.120863285270220;	0.131314279519864;	0.141146672949692;	0.149401335502423;	0.160142114729310;	0.159747766305427;	0.171141959277992;	0.184923129852942;	0.193976595803265;	0.203838619878317;	0.217305031021657;	0.230000742523254;	0.242408093932901;	0.253866638749694;	0.262849592185699;	0.270853671954879;	0.273671217424783;	0.279454961472487;	0.286078302707953;	0.293893961972610;	0.300304841185877;	0.304539848876718;	0.316808130684436;	0.331938734988813;	0.346625503821629;	0.358046479400577;	0.365924940720378;	0.385260353353517;	0.407543686105477;	0.430193465119182;	0.458447041535482;	0.490491749474059;	0.534761827395719;	0.588598928595988;	0.639994789857886;	0.680867792311780;	0.753509326119686
0.642524571770129;	0.136476119430666;	0.111730298307523;	0.121168425314780;	0.100191822360864;	0.122658547045716;	0.144325753039416;	0.103180597255388;	0.065406415179095;	0.068200441899855;	0.069148260621423;	0.072327563029397;	0.073352397481634;	0.075100072128560;	0.076909983863344;	0.083330321798792;	0.087278370372920;	0.090257771109680;	0.097124591008343;	0.106014248029367;	0.115071564166529;	0.124171575005899;	0.126954993418495;	0.136935903537814;	0.148209993426739;	0.158695202006201;	0.167270900900156;	0.178724700392904;	0.177951741792978;	0.190035785889303;	0.204599528306352;	0.214179297622428;	0.224573707214038;	0.238701257280864;	0.251981224227174;	0.264925860845251;	0.276858974655367;	0.286209083050440;	0.294541064259950;	0.297178323198086;	0.303154322369869;	0.309878470280779;	0.317973383080783;	0.324601687121978;	0.328724793884391;	0.341288012079132;	0.356779895422001;	0.371796380554697;	0.383433398100919;	0.391136208203855;	0.410773609117213;	0.433343481404126;	0.456218823981360;	0.484678447494683;	0.516845478285987;	0.561104360913938;	0.614699162844439;	0.665670787945775;	0.706008130474788;	0.773404347850534
0.681081414745272;	0.179083180193283;	0.145831409836033;	0.147742816371661;	0.122346067637479;	0.141813810191058;	0.163285898253672;	0.119146271791586;	0.080065010638993;	0.082977364266844;	0.083662263847672;	0.087044022416842;	0.087802313932403;	0.089429696584436;	0.091129255359366;	0.098345266807017;	0.102427121520355;	0.105426890535805;	0.112988262111264;	0.122717228694003;	0.132314487466772;	0.142093850707573;	0.144835442432284;	0.155644380257295;	0.167805403873855;	0.178973846302424;	0.187820430196063;	0.200019296135955;	0.198770940876076;	0.211566597785934;	0.226935487687526;	0.237062976436663;	0.248003786949653;	0.262801996210414;	0.276668341390209;	0.290147472062371;	0.302549765792577;	0.312259995275120;	0.320914434221012;	0.323297330290571;	0.329439647505306;	0.336218163796698;	0.344574695709955;	0.351402043088879;	0.355349179578990;	0.368162955087609;	0.383974667891747;	0.399280243281263;	0.411085983411692;	0.418517650407075;	0.438381261856790;	0.461139523215130;	0.484116827076816;	0.512615915584971;	0.544684114407055;	0.588623885157219;	0.641581446249720;	0.691670194861015;	0.731010102012102;	0.793830830575463
0.717082905011785;	0.233402437842388;	0.189326069082048;	0.181578083116083;	0.150328573248439;	0.165790328944804;	0.186820691785304;	0.139342254455353;	0.098363469712545;	0.101414722524582;	0.101649598495727;	0.105159942615055;	0.105475993646894;	0.106846897603594;	0.108306834774267;	0.116398319631516;	0.120521053655913;	0.123445616811306;	0.131746314347096;	0.142358881077599;	0.152442994134536;	0.162904902898008;	0.165528679402538;	0.177209296705324;	0.190300479612282;	0.202156963423615;	0.211189121692501;	0.224137765246039;	0.222292188590437;	0.235792887060862;	0.251957226449619;	0.262628482063205;	0.274101274728492;	0.289544012900646;	0.303962352870852;	0.317934400118734;	0.330761018393988;	0.340786457306979;	0.349719121241591;	0.351738412449144;	0.357982204993117;	0.364722976752115;	0.373269192354580;	0.380229148458420;	0.383888304193500;	0.396840126594211;	0.412840921218235;	0.428286694891619;	0.440100272686959;	0.447056476925512;	0.466938228560933;	0.489681284016830;	0.512591080606689;	0.540962914367582;	0.572796158868217;	0.616293622416119;	0.668510692884742;	0.717605922992911;	0.755918390300606;	0.814647814580810
0.750997869955423;	0.302558964856504;	0.244822313896414;	0.224397441032986;	0.185745962050948;	0.195481312874169;	0.215863403528660;	0.164776264395848;	0.121147340986560;	0.124066026710590;	0.123758639068770;	0.127246449292378;	0.126940670217646;	0.127861431600950;	0.128898877165505;	0.137928274731326;	0.141950223406938;	0.144661633866220;	0.153722775018533;	0.165234276791364;	0.175705351005565;	0.186819524788210;	0.189217559392796;	0.201785544959564;	0.215818359170715;	0.228331486370541;	0.237425339203034;	0.251090406586867;	0.248497843535245;	0.262661858497375;	0.279570859428283;	0.290747142636905;	0.302700347473263;	0.318715809546267;	0.333607123399989;	0.347985962129441;	0.361146245230334;	0.371397313783108;	0.380514962349371;	0.382027461667999;	0.388277459060871;	0.394857941812448;	0.403491496569944;	0.410504267170466;	0.413778404419230;	0.426814056492317;	0.442946414114994;	0.458490613662418;	0.470317575822922;	0.476802425036507;	0.496707713912957;	0.519428432518949;	0.542253688312585;	0.570457831124783;	0.601999375513726;	0.644949728949619;	0.696275853904527;	0.744189055164315;	0.781316291898539;	0.835709029958285
0.780647466880765;	0.388594281999284;	0.315181917672284;	0.278098333173607;	0.230144205282733;	0.232182718157129;	0.251233425799414;	0.196620932286914;	0.149388802678699;	0.151818938219333;	0.150483202490998;	0.153653989789378;	0.152619460918172;	0.153074355946922;	0.153445747284033;	0.163424629863263;	0.167144974786048;	0.169453937148134;	0.179273958109568;	0.191664464929106;	0.202370891374068;	0.214069261354693;	0.216097554092312;	0.229538293918803;	0.244490011315416;	0.257590143146836;	0.266584362382080;	0.280903081121305;	0.277384792322939;	0.292144828209280;	0.309717902410605;	0.321336307520645;	0.333698260404518;	0.350194234972036;	0.365469168608867;	0.380168404430904;	0.393585095962194;	0.404004537796497;	0.413267427276445;	0.414213014904174;	0.420476581807083;	0.426877825080352;	0.435602793111410;	0.442683398893330;	0.445546496607290;	0.458648148092902;	0.474873669628005;	0.490471856192762;	0.502281308792614;	0.508253469856482;	0.528110018984823;	0.550720291342991;	0.573370712846515;	0.601292260524702;	0.632414682783873;	0.674648706093085;	0.724878667017089;	0.771370562017297;	0.807120165638208;	0.856812709825161
0.804967332170468;	0.477304188554627;	0.402425556776155;	0.344992791378476;	0.285538260302887;	0.277120404432422;	0.294306027272768;	0.235896660732533;	0.183611252759699;	0.185779122792119;	0.182798803063362;	0.185312841888884;	0.182893249978792;	0.182673950947734;	0.182003873842167;	0.193552906569400;	0.196713525586450;	0.198383396166022;	0.208835337370195;	0.222050470639205;	0.232792340188966;	0.244989523786147;	0.246470759420192;	0.260750447328953;	0.276578474750348;	0.290174521088665;	0.298890443027964;	0.313799731726732;	0.309167461415076;	0.324465005716537;	0.342634400792387;	0.354652848948794;	0.367383701133495;	0.384302931687664;	0.399911735171515;	0.414885159344026;	0.428517536813628;	0.439077356818200;	0.448454029222712;	0.448750680064203;	0.455007594273911;	0.461168479868844;	0.469941071815603;	0.477048934918224;	0.479411062312831;	0.492513379079014;	0.508745945331277;	0.524309664567725;	0.536035506120268;	0.541486985493307;	0.561200449774716;	0.583593103736477;	0.605961497363436;	0.633468917505460;	0.664028946331847;	0.705357233155746;	0.754261082072620;	0.799056177696465;	0.833204865271995;	0.877717436376795
0.823387744734660;	0.571181433399593;	0.489322222240961;	0.426497078367797;	0.354125269133255;	0.332008715560393;	0.346349791137407;	0.284514993862560;	0.225277774757779;	0.226342478789352;	0.220873566593818;	0.222894122843268;	0.218919151627703;	0.217348101347859;	0.215222338585890;	0.227982341330869;	0.230129984915715;	0.230733279910743;	0.243117108085494;	0.257073244226367;	0.267595027996844;	0.280112975329131;	0.280842905569231;	0.295922713241274;	0.312577036755137;	0.326564200284127;	0.334801327568905;	0.350232891024684;	0.344307007311962;	0.360081914773143;	0.378771974797646;	0.391139994398117;	0.404177673032884;	0.421431327762546;	0.437286495608909;	0.452444574851826;	0.466204786180050;	0.476829352454377;	0.486244841226997;	0.485767896549675;	0.491968575079961;	0.497799983026485;	0.506550670677204;	0.513623308412255;	0.515369897153307;	0.528390761788120;	0.544521739452488;	0.559940828638340;	0.571499487832612;	0.576528994981486;	0.595982860985341;	0.618025629219109;	0.639978047987457;	0.666910279996834;	0.696734491525942;	0.736932384815744;	0.784240968320406;	0.827009859371302;	0.859290352177953;	0.897926361795381
