0.460532677903184;	0.000000000001596;	0.000000000002241;	0.083675082861280;	0.068996676359667;	0.095048532707290;	0.116667523867270;	0.080536640435762;	0.044530943333355;	0.046943323509685;	0.048057392859936;	0.050740589734542;	0.051960810684201;	0.053709967201290;	0.055517726910266;	0.060616312309045;	0.064174958132039;	0.066975213478874;	0.072660828906049;	0.080101198296342;	0.088094777410097;	0.095984333626441;	0.098776757074987;	0.107365330083327;	0.117154979282118;	0.126475632566955;	0.134499046585108;	0.144709251996282;	0.144766362035975;	0.155705337696564;	0.168978102017494;	0.177784936343942;	0.187442949535294;	0.200633212451610;	0.213155382445406;	0.225470572960153;	0.236927146661688;	0.246029854552870;	0.254250346687106;	0.257675172289216;	0.263765946044792;	0.270792076064539;	0.278852188335045;	0.285636519813029;	0.290566395593219;	0.302909058565229;	0.317991234608787;	0.332491031443425;	0.343666248764392;	0.351339302293125;	0.369998102421911;	0.391417860774415;	0.413154704182675;	0.440309679254884;	0.471176386902303;	0.514165549464886;	0.566894555461136;	0.617987320923668;	0.658831684775524;	0.736936084962916
0.601763341728686;	0.099121710793597;	0.082417044499496;	0.095292928116167;	0.079012976529075;	0.104272768527691;	0.126197002867217;	0.088425895066201;	0.051981809887381;	0.054706239064946;	0.055917386352425;	0.058937445760712;	0.060227867654777;	0.062116242146065;	0.064060061420990;	0.069819606641014;	0.073682328207532;	0.076697992974301;	0.083021194581997;	0.091236165878718;	0.099869717693361;	0.108468152907010;	0.111429467333442;	0.120831303799715;	0.131502515459149;	0.141575026502607;	0.150056602897233;	0.161060807311188;	0.160936673754451;	0.172671060821196;	0.186842864984902;	0.196302431739686;	0.206635392274615;	0.220645409551570;	0.233924777450770;	0.246962317017614;	0.259087023841339;	0.268755162269373;	0.277506213936131;	0.280978143249607;	0.287479560081426;	0.294834466655887;	0.303397811602842;	0.310649287091327;	0.315739169485608;	0.328663943883597;	0.344401472819043;	0.359522196502365;	0.371195823204734;	0.378942747244969;	0.398204882334655;	0.420219405570303;	0.442487906239072;	0.470164890955235;	0.501468607704216;	0.544760301905703;	0.597525300593827;	0.648371408323155;	0.688818927709604;	0.765893524761605
0.631134033353905;	0.125424799244228;	0.103717916950677;	0.115629639087043;	0.095993366115260;	0.119276647231165;	0.141223538739734;	0.100823390665518;	0.063438946954931;	0.066365576940619;	0.067477405962636;	0.070760310787253;	0.071931880845464;	0.073808276058760;	0.075739650662348;	0.082212136593227;	0.086268952996130;	0.089368525589189;	0.096326185176087;	0.105315514299194;	0.114503511805903;	0.123748834024519;	0.126715024389178;	0.136878405325649;	0.148370153611595;	0.159104770666625;	0.167918022099989;	0.179641737125240;	0.179148688682195;	0.191577078307122;	0.206532654779780;	0.216519753593202;	0.227384554745865;	0.242050409749685;	0.255906024584755;	0.269469841825910;	0.282055514926147;	0.292076389236616;	0.301139823345286;	0.304417109286698;	0.311090889030941;	0.318521370994542;	0.327334605494582;	0.334774181543073;	0.339731187042352;	0.352898239829979;	0.368934019037629;	0.384316012899952;	0.396138376491979;	0.403640928482490;	0.423114996223481;	0.445317145079908;	0.467708412640540;	0.495478250034883;	0.526784569503060;	0.569935673319781;	0.622329592409565;	0.672620429299756;	0.712403576932560;	0.783087754207853
0.668487028780609;	0.164698835471066;	0.135172979378074;	0.140163991261786;	0.116594462482360;	0.137258500545812;	0.159159562958931;	0.115963368160907;	0.077428273870043;	0.080537946551537;	0.081465729457592;	0.085005312210167;	0.085972800682226;	0.087780596156715;	0.089646780966386;	0.096936572630069;	0.101163059956496;	0.104316600160188;	0.111990660270999;	0.121840259699694;	0.131593427458360;	0.141539716799587;	0.144489407169614;	0.155499182524719;	0.167895678245198;	0.179333084942520;	0.188445898388003;	0.200936063362381;	0.199993359694691;	0.213155085050283;	0.228936688467830;	0.239494395898067;	0.250928833128888;	0.266286312171343;	0.280748439162045;	0.294865808671729;	0.307938964308481;	0.318338858935237;	0.327744235799926;	0.330783594974902;	0.337640703161495;	0.345136826682131;	0.354223110998662;	0.361875049266904;	0.366674061718433;	0.380084877950830;	0.396424843148499;	0.412073656852493;	0.424040661422574;	0.431233549048280;	0.450886623082006;	0.473224349087313;	0.495667222902586;	0.523422313119291;	0.554579530517081;	0.597362940157095;	0.649079700129293;	0.698442971416353;	0.737201604355814;	0.803284492212883
0.705688127676389;	0.215083428354991;	0.175565144410489;	0.171702939986920;	0.142837528661528;	0.159914429188978;	0.181530819079557;	0.135174983752889;	0.094944846612928;	0.098264114182101;	0.098825199285988;	0.102557256782242;	0.103152641347348;	0.104764353554250;	0.106443622791563;	0.114632737476375;	0.118941957234817;	0.122058853594533;	0.130495989876504;	0.141251750574272;	0.151520105172156;	0.162172487356139;	0.165032992042026;	0.176934254928003;	0.190280479748850;	0.202427331508408;	0.211756359726363;	0.225019443479947;	0.223507754178879;	0.237395942679126;	0.253992787315544;	0.265115830760859;	0.277103430208037;	0.293123140520409;	0.308153461491709;	0.322778040716198;	0.336288263754514;	0.347016049281912;	0.356711658215671;	0.359397767589480;	0.366365670796874;	0.373826711477176;	0.383103963981948;	0.390892111381370;	0.395415110013438;	0.408952895763351;	0.425462969822042;	0.441230098956850;	0.453189473862035;	0.459885645867901;	0.479529903149777;	0.501823524999693;	0.524173149877317;	0.551774484176561;	0.582675681579456;	0.624996753033039;	0.675958669991147;	0.724306356370991;	0.762027356759577;	0.823873104513963
0.740481588784395;	0.279321951694066;	0.227083279109643;	0.211663990800464;	0.176010769745262;	0.187975827537308;	0.209129966928251;	0.159333914558316;	0.116711200947647;	0.120028740601152;	0.120148395731085;	0.123946514329357;	0.123997661197209;	0.125227098265385;	0.126551275053271;	0.135709531494192;	0.139971134434419;	0.142922872079066;	0.152148671838590;	0.163830382290766;	0.174520197542178;	0.185852257589852;	0.188520488154639;	0.201330898085366;	0.215639835201978;	0.228466133285507;	0.237885687850372;	0.251891660665797;	0.249662785653401;	0.264234093185257;	0.281592972000987;	0.293239901753274;	0.305725794604490;	0.322331740252472;	0.337846799344306;	0.352887989201744;	0.366740285144210;	0.377702738116309;	0.387592310773400;	0.389783289977940;	0.396768679122401;	0.404075575690024;	0.413445838672260;	0.421295602950753;	0.425453737693544;	0.439071845300957;	0.455702540619741;	0.471556025441369;	0.483524234068275;	0.489742006691193;	0.509394023279752;	0.531647022166528;	0.553895657569912;	0.581310408958247;	0.611903630185373;	0.653659271316153;	0.703714125118507;	0.750852218991108;	0.787369710471213;	0.844666308748223
0.771692324930294;	0.360874193094223;	0.292591092605263;	0.261871243892337;	0.217649809107679;	0.222643194202307;	0.242754695586210;	0.189571333863594;	0.143683329438369;	0.146639957903208;	0.145906066027851;	0.149504104793316;	0.148929786369811;	0.149760418780143;	0.150505633247106;	0.160630432889222;	0.164657372249300;	0.167266593475353;	0.177288197533269;	0.189881771572513;	0.200849075808248;	0.212797185386791;	0.215135048693951;	0.228842354465205;	0.244093109996578;	0.257531084535810;	0.266880916632141;	0.281565869696608;	0.278447117868901;	0.293633715589973;	0.311673156913785;	0.323780166818125;	0.336691796295366;	0.353790808357512;	0.369700866482588;	0.385072425131095;	0.399190302688850;	0.410331704371459;	0.420376703023210;	0.422015765168118;	0.429028364788446;	0.436164655570969;	0.445633869565647;	0.453560668199701;	0.457329122366142;	0.471009848859417;	0.487721707022513;	0.503615568670923;	0.515559010193549;	0.521261987988539;	0.540846682556680;	0.562968774066037;	0.585024658410433;	0.612137295671445;	0.642295395067652;	0.683317632307942;	0.732261931847197;	0.777950036528809;	0.813070566043588;	0.865408155636195
0.797815633188589;	0.449102353552465;	0.375604743479161;	0.324569365197030;	0.269622283061447;	0.265119197083023;	0.283653297550766;	0.226860218237109;	0.176389781123115;	0.179186275987427;	0.177027883699972;	0.180083118299707;	0.178282393282800;	0.178553999794396;	0.178366093132600;	0.190066409844135;	0.193620099474609;	0.195666932034424;	0.206322336266856;	0.219780829035916;	0.230835748065140;	0.243321703956610;	0.245159498124423;	0.259733030668360;	0.275885695041335;	0.289847628748916;	0.298952898471787;	0.314253913272453;	0.310062375743101;	0.325809333996777;	0.344462677380633;	0.356988618000036;	0.370286423587652;	0.387821415773263;	0.404076798817170;	0.419732288741566;	0.434074370932362;	0.445365527372249;	0.455532820243194;	0.456537590162307;	0.463554527627213;	0.470456187666902;	0.479976332352987;	0.487934185095769;	0.491219640340721;	0.504893757332777;	0.521596318316557;	0.537438745255528;	0.549288952958962;	0.554484195352546;	0.573907780542978;	0.595793113881916;	0.617550330739929;	0.644231383996981;	0.673813662088514;	0.713915931483038;	0.761522136332957;	0.805482790411334;	0.838980671162688;	0.885748963352906
0.818131272791554;	0.540796707308803;	0.462705030877438;	0.402627150341951;	0.334111660954299;	0.316985551595618;	0.333074521609699;	0.272905739150748;	0.216096115704524;	0.218089493265406;	0.213721633241833;	0.216378187183265;	0.213181906930031;	0.212211112361872;	0.210701328829535;	0.223688145450832;	0.226332136476184;	0.227403924610252;	0.239986463176867;	0.254236652493605;	0.265134796796385;	0.277932772793311;	0.279076959677404;	0.294483035302555;	0.311492757016543;	0.325879386488330;	0.334545454842487;	0.350395348362097;	0.344952667816121;	0.361202204699344;	0.380396738995357;	0.393291117615627;	0.406912773424114;	0.424793867383296;	0.441305235273886;	0.457152430904774;	0.471627341040584;	0.482988389254885;	0.493197972883685;	0.493441224766853;	0.500408196577997;	0.506982071611134;	0.516478267288319;	0.524398473922086;	0.527082900941947;	0.540663950902133;	0.557243582264991;	0.572920605875722;	0.584591024384417;	0.589402636291603;	0.608548542877302;	0.630065618697012;	0.651390948026873;	0.677481157185290;	0.706316802745683;	0.745277740524929;	0.791279973991343;	0.833182333796078;	0.864788970186324;	0.905238841950937
0.832495705964776;	0.642591959206044;	0.551687605610347;	0.482404216456570;	0.414266380262265;	0.380009856530696;	0.392666948703657;	0.329683275808303;	0.264386708137083;	0.264736330531377;	0.257128771374062;	0.258862449952191;	0.253206421232577;	0.251776764454653;	0.248415301527042;	0.262796428670225;	0.264125825413200;	0.263878907576156;	0.277169726260287;	0.291940361397356;	0.302290817814948;	0.317243205625817;	0.317406787385080;	0.333532774400163;	0.351258734200956;	0.365853501674096;	0.373756613485176;	0.389979107988413;	0.383446942381422;	0.400083898477286;	0.419680962095426;	0.432830606823624;	0.446653899497522;	0.464728645859933;	0.481348915831581;	0.497241548031405;	0.511707695470153;	0.523015899287653;	0.533145619276510;	0.532466588675956;	0.539307592819424;	0.545442017298569;	0.554812747920887;	0.562599263635312;	0.564533336469140;	0.577914651838608;	0.594228315030105;	0.609599508515784;	0.620983309964730;	0.625781206069736;	0.644509186350390;	0.665502313434496;	0.686238137315464;	0.711553371273262;	0.739448544407385;	0.777019695727851;	0.821122259786880;	0.860586576147693;	0.889997427468807;	0.923582155737993
0.842087849497618;	0.760795669303946;	0.651762100703156;	0.563767889970104;	0.492524555404705;	0.456948534355401;	0.464371904789975;	0.399645113334345;	0.323041760943464;	0.320680286988139;	0.308564278292391;	0.308504418956956;	0.299851381951198;	0.297119052194973;	0.291252614853033;	0.306496017587661;	0.306990950651168;	0.304881541353423;	0.319985514211358;	0.335125501837894;	0.344549224366024;	0.359809103364658;	0.358563040118722;	0.375220571910245;	0.393420775461764;	0.407939110426250;	0.414760989805334;	0.431230788202855;	0.425119429580860;	0.441958124958064;	0.461740677807044;	0.474951381999944;	0.488788968893273;	0.506845072952211;	0.523378620597453;	0.539128727932820;	0.553407914958417;	0.564514242846484;	0.574416718719373;	0.572648665731454;	0.579292016847283;	0.584896050351811;	0.594040892217976;	0.601596485786510;	0.602625529124754;	0.615708782418197;	0.631608529096896;	0.646532692454304;	0.657524304091853;	0.663105045762695;	0.681258052999760;	0.701552131583621;	0.721517740073166;	0.745850294135593;	0.772588867661477;	0.808494327618803;	0.850372005655004;	0.886967018543743;	0.913839281556570;	0.940345695256720
0.849515780942776;	0.791047135830302;	0.770240309367165;	0.655946253857693;	0.573330441900777;	0.528019208228791;	0.551109491336795;	0.486295137890837;	0.394643872413473;	0.388224709534450;	0.369931223178755;	0.367075172307267;	0.353807393721950;	0.349439100468074;	0.340215673025828;	0.356384360126754;	0.355653055832965;	0.351075784398661;	0.366620794351087;	0.383050915911884;	0.390998084800377;	0.407750520422775;	0.404637692979209;	0.421623685398028;	0.440056729793258;	0.454267255463107;	0.459600700326378;	0.476117636241237;	0.468589511089096;	0.485505364825071;	0.505298726406953;	0.518408086521061;	0.532108603525646;	0.549972050367469;	0.566265183338418;	0.581726265316817;	0.595680368754690;	0.606479003019199;	0.616046002892191;	0.613075841805114;	0.619498025129529;	0.624575635871186;	0.633431563914717;	0.640691108875733;	0.640684713051375;	0.653400955771375;	0.668759472802764;	0.683116611270570;	0.693631802665403;	0.700357469203400;	0.717777194100849;	0.737193663427428;	0.756199763254193;	0.779335291823829;	0.804697203359442;	0.838653334381826;	0.877974391502793;	0.911244046786802;	0.935223039716795;	0.954825606558313
0.856711902244383;	0.801721190970853;	0.799367227520306;	0.764629558065643;	0.667865801760315;	0.603087213104003;	0.629577535591419;	0.558675260778085;	0.482046914450758;	0.469838977340785;	0.443277025011080;	0.436287262094610;	0.417303355844064;	0.409911132447734;	0.396319429408688;	0.412821955785757;	0.410047748408037;	0.402206974548679;	0.418613466945257;	0.436193823134879;	0.442005611629352;	0.458991923644060;	0.453416883229553;	0.470452755064964;	0.488816215660359;	0.503873449809258;	0.507308945705156;	0.523687242525676;	0.515251295717513;	0.532038303557212;	0.551591112098361;	0.564380790619198;	0.577732833218036;	0.595157329353328;	0.610987886764131;	0.625949912073168;	0.639381964192124;	0.649711222775233;	0.658783592298230;	0.654462316223901;	0.660594836604873;	0.665130010034425;	0.673581849358196;	0.680435984811330;	0.679216095346168;	0.691450437160900;	0.706099419813846;	0.719728081909479;	0.729650136465485;	0.736871530366581;	0.753415112236640;	0.771789376812126;	0.789659526270214;	0.811397113692318;	0.835177349449592;	0.866917198810807;	0.903374221669751;	0.932904006005924;	0.953683586508729;	0.966271051766178
