0.348071248603351;	0.000000000000927;	0.000000000001323;	0.050721955676453;	0.037322454264702;	0.085381558390312;	0.113120918404025;	0.076550418108028;	0.016857537907462;	0.016587410348789;	0.016021702510458;	0.016046155947891;	0.015823081745749;	0.015785702603125;	0.015962038049025;	0.016731034825578;	0.017329344924586;	0.017905561568197;	0.018987941650953;	0.020574056270639;	0.022400034898748;	0.024272025104240;	0.024804178003187;	0.026784475653359;	0.029379430377861;	0.031913650240674;	0.033921029282025;	0.036508213861633;	0.036511855109951;	0.039270667667420;	0.042579424384961;	0.045037159301324;	0.047810108948457;	0.051178758786366;	0.054493857670238;	0.057866323647027;	0.061152108987523;	0.063833766495816;	0.066431241289089;	0.067675982992192;	0.070342185685640;	0.072442618324370;	0.073963923942348;	0.076003137375634;	0.077656286598026;	0.081041652813906;	0.085475015850666;	0.088823965624638;	0.093458949342764;	0.096086811039531;	0.100424158600114;	0.105886687806308;	0.114028583112551;	0.122143997397335;	0.131261357081283;	0.144585859000169;	0.159429456185698;	0.189614439243388;	0.222316780989475;	0.438657734954961
0.350786790839937;	0.001893196461834;	0.001570360849614;	0.050945273872750;	0.037514073370134;	0.085559286484701;	0.113304878470852;	0.076699828091040;	0.016998510639975;	0.016734746072534;	0.016171264691848;	0.016202531948117;	0.015981249198022;	0.015946986712532;	0.016126417354190;	0.016908459995899;	0.017513325094447;	0.018094273149311;	0.019189467904017;	0.020791356428487;	0.022631000650058;	0.024517712414565;	0.025053586013129;	0.027050514670435;	0.029663571318187;	0.032213431700445;	0.034230967401744;	0.036834772418355;	0.036835180932657;	0.039610804198082;	0.042938634722821;	0.045409967166739;	0.048197115736069;	0.051583224691088;	0.054914489772460;	0.058302405566576;	0.061602454358243;	0.064296104831733;	0.066904759351045;	0.068151103462573;	0.070826156498657;	0.072933918937219;	0.074465864952134;	0.076514902750576;	0.078171987104466;	0.081569989983594;	0.086017410230803;	0.089379531664166;	0.094025079216702;	0.096654877687793;	0.101005222947770;	0.106480663860294;	0.114634175491715;	0.122761284560693;	0.131888868304331;	0.145221495611188;	0.160068013469822;	0.190248484427779;	0.222942892408865;	0.440192465375430
0.351489438418443;	0.002395611522601;	0.001976240908620;	0.051336190982707;	0.037838921896677;	0.085848375045890;	0.113594956142660;	0.076934614749183;	0.017528628709127;	0.016956031474287;	0.016391229891638;	0.016428081120895;	0.016205171008949;	0.016171309152158;	0.016351163309473;	0.017147364551497;	0.017756887906301;	0.018340192159144;	0.019448263986457;	0.021066106157634;	0.022918029917425;	0.024818426987326;	0.025354872519668;	0.027367523019254;	0.029997590202768;	0.032561427331935;	0.034586758353593;	0.037205800321407;	0.037199268521166;	0.039989766803595;	0.043334455188181;	0.045816897397541;	0.048615396925654;	0.052015706989938;	0.055359513144028;	0.058758927325514;	0.062069041556560;	0.064770353863931;	0.067385730501961;	0.068628740448310;	0.071307761924309;	0.073417658382997;	0.074955038902632;	0.077013888179066;	0.078676880543380;	0.082089204198077;	0.086552418780106;	0.089929261431886;	0.094586006448865;	0.097217653421745;	0.101580697859924;	0.107068811846640;	0.115233951633268;	0.123372965192957;	0.132511331493397;	0.145852999633625;	0.160704529936475;	0.190885974018616;	0.223580221570448;	0.440946073696749
0.352265923794154;	0.003145795286269;	0.002575610380315;	0.056690936465713;	0.038233039314046;	0.086194843498281;	0.113941200529384;	0.077221336101971;	0.017793305574549;	0.017225307669034;	0.016660441213501;	0.016706088923136;	0.016483046594958;	0.016451307067883;	0.016632718969004;	0.017447939719019;	0.018063875909504;	0.018650875432851;	0.019776228479863;	0.021414888285463;	0.023282271296234;	0.025200516009110;	0.025738785172602;	0.027772270989015;	0.030424789577468;	0.033006983789431;	0.035042296387606;	0.037681422909164;	0.037667355442243;	0.040477814776870;	0.043845256415829;	0.046344147495153;	0.049159529123245;	0.052580421078260;	0.055943098634883;	0.059360492786027;	0.062687298859366;	0.065402829685246;	0.068031877120022;	0.069275146584530;	0.071964824166570;	0.074083463290952;	0.075635258396866;	0.077707509811651;	0.079375669394799;	0.082804255171286;	0.087286667469279;	0.090682983727255;	0.095357056967117;	0.097995680555317;	0.102382889378354;	0.107898214215455;	0.116093189595941;	0.124268103058524;	0.133448114208031;	0.146838919814761;	0.161747715645693;	0.192006766657770;	0.224775595105865;	0.444275482440918
0.354426583936689;	0.004315997340688;	0.003518249217594;	0.057364285980193;	0.051368986305932;	0.086685006430550;	0.114428680350478;	0.077630731380860;	0.018193655008906;	0.018009036207490;	0.017036400244656;	0.017088179016601;	0.016859236722551;	0.016825637204436;	0.017005558725559;	0.017843438582343;	0.018464724166961;	0.019054153969079;	0.020200279418003;	0.021863878500313;	0.023748465504583;	0.025687961818667;	0.026228191368692;	0.028287724856619;	0.030968535103443;	0.033573972690290;	0.035621134283363;	0.038285688952437;	0.038262985315518;	0.041098747560470;	0.044495047206561;	0.047016063069247;	0.049854183358242;	0.053302435763083;	0.056724262309683;	0.060275443476479;	0.063742102038303;	0.066582258932553;	0.069306897607922;	0.070607725220241;	0.073371766049803;	0.075555873135642;	0.077181359963576;	0.079324658473375;	0.081044551626304;	0.084551617641546;	0.089123121292079;	0.092611202569253;	0.097376367439214;	0.100078008851027;	0.104568760163164;	0.110184757712964;	0.118473375803730;	0.126736283925926;	0.135991445237080;	0.149443792787087;	0.164393427073837;	0.194718368086658;	0.227541630289835;	0.450832789827697
0.358747021157458;	0.007509251441291;	0.006195178618944;	0.058497847271539;	0.052348323810482;	0.097708443214155;	0.115342749395638;	0.078418145792790;	0.019122949609279;	0.018819202453820;	0.018315298267900;	0.018514022696632;	0.017679510080454;	0.017662172868108;	0.017857235617095;	0.018763846075351;	0.019416099400237;	0.020029550121586;	0.021243173447082;	0.022986650317557;	0.024934766350696;	0.026948405454334;	0.027511728676436;	0.029658657415041;	0.032435866859463;	0.035125955437883;	0.037227116323463;	0.039983283550242;	0.039955010435651;	0.042883722267113;	0.046384749487359;	0.048991471470344;	0.051918210842001;	0.055468624702705;	0.058956310275097;	0.062503909733705;	0.065963031712355;	0.068805158062797;	0.071563050269920;	0.072862667661409;	0.075671723922644;	0.077900142912483;	0.079596268706005;	0.081815831579992;	0.083585131351192;	0.087176218399690;	0.091848638974497;	0.095437567005495;	0.100297999542037;	0.103045497056470;	0.107642551380317;	0.113374311952663;	0.121791134361979;	0.130183719874839;	0.139564340835950;	0.153136550482131;	0.168185699804353;	0.198684030209813;	0.231667000110358;	0.462692094721615
0.363209999670119;	0.011180777675670;	0.009112467298570;	0.065401331550355;	0.061307304283904;	0.099282449510460;	0.131442478456531;	0.079751810702242;	0.020477503760847;	0.020362423821356;	0.019557741921285;	0.019786370289126;	0.019584665106257;	0.018835301247291;	0.019021152111952;	0.020005356193270;	0.020672297432444;	0.021294674258554;	0.022574807738917;	0.024400411061323;	0.026406016528867;	0.028495544411616;	0.029078064145523;	0.031322557624260;	0.034209858220791;	0.036997422938865;	0.039157330829945;	0.042021978683972;	0.041991932673719;	0.045033451915510;	0.048662973721325;	0.051383184743259;	0.054428722495883;	0.058114872918345;	0.061749316119723;	0.065467664672382;	0.069088438040655;	0.072070646293860;	0.074955454233590;	0.076297712746826;	0.079204115314561;	0.081511127020973;	0.083312421078686;	0.085641058688801;	0.087473499240672;	0.091180484526117;	0.095993238691073;	0.099717918536876;	0.104715278888175;	0.107512261059483;	0.112246212060662;	0.118124081025757;	0.126710986090088;	0.135265967900609;	0.144801314209567;	0.158520729621174;	0.173682898560156;	0.204452622232377;	0.237705400270484;	0.482859402239013
0.370791660746633;	0.019930680935539;	0.014412586680778;	0.068690713792146;	0.068868644204246;	0.111192925859097;	0.135160798926284;	0.107896334490614;	0.055672470194701;	0.022434683302249;	0.021968283872094;	0.022356187208640;	0.021777868294643;	0.021554645709409;	0.021782037847222;	0.022043809814836;	0.022744348820490;	0.023389236942412;	0.024811352795988;	0.026776300786335;	0.028875318077122;	0.031084778094317;	0.031692544063588;	0.034088524024019;	0.037145884703036;	0.040078199122452;	0.042311365258610;	0.045327529170719;	0.045269715589452;	0.048461452677179;	0.052260534289738;	0.055126601613215;	0.058320694386194;	0.062173100845722;	0.065963754964369;	0.069832598874147;	0.073603534484697;	0.076726313172063;	0.079758182393395;	0.081138442360529;	0.084172382090267;	0.086579562480543;	0.088518664148094;	0.090998964314364;	0.092919155300029;	0.096783882793189;	0.101789610559365;	0.105695460929550;	0.110891599963327;	0.113736134915357;	0.118646919517431;	0.124713401291447;	0.133536366619244;	0.142301540369152;	0.152031486191611;	0.165930298969543;	0.181207541063548;	0.212380283987264;	0.246049786951546;	0.519221589444293
0.379324487991324;	0.031095718752457;	0.024177023612625;	0.078078081033062;	0.081642251281198;	0.118655379249236;	0.151545242058345;	0.122961067845803;	0.074670045711596;	0.063360944206880;	0.067015121766389;	0.026056787699906;	0.025181453762040;	0.024877500058821;	0.025130032437488;	0.025931134133441;	0.026736006958919;	0.027475278508170;	0.027894222649399;	0.030039934307874;	0.032252449002489;	0.034639738878967;	0.035278772751088;	0.037876847214749;	0.041164091242436;	0.044291519826800;	0.046615545530626;	0.049832953203216;	0.049731319843223;	0.053118862297685;	0.057137493890916;	0.060199396391522;	0.063593078072793;	0.067662045472989;	0.071658420048137;	0.075727324798217;	0.079696879062464;	0.083005034854973;	0.086231944097438;	0.087657850949051;	0.090864905202452;	0.093397437698088;	0.095506072406669;	0.098182327881811;	0.100211376997023;	0.104271142374320;	0.109519187147167;	0.113641814926784;	0.119101670644635;	0.121947299718913;	0.127059953954790;	0.133345078015314;	0.142475116955761;	0.151493248898232;	0.161453112443716;	0.175560923557808;	0.190943477023323;	0.222707916238779;	0.257022614195760;	0.588708827356139
0.390404652852893;	0.047462326032969;	0.038289650989661;	0.090814431576321;	0.095836726619788;	0.131546277173052;	0.166306170433966;	0.147956243150291;	0.104775311317971;	0.096271233669750;	0.103954623872220;	0.076666472272470;	0.078880544213847;	0.029766783252570;	0.030046774073008;	0.030918150749553;	0.031813026683010;	0.032631877188185;	0.033569318411240;	0.036057760145132;	0.038479805509664;	0.039473141182140;	0.040142963785852;	0.043000864603457;	0.046589704769619;	0.049973358124202;	0.052406891112517;	0.055885896994847;	0.055648870591902;	0.059279712501333;	0.063569933202977;	0.066884408825951;	0.070534681669809;	0.074872731830806;	0.079126477927436;	0.083447791530653;	0.087670181190553;	0.091215959423377;	0.094695289212531;	0.096177068177636;	0.099616085690359;	0.102301369731342;	0.104613744755177;	0.107541317951707;	0.109709201734539;	0.114009823351287;	0.119561405829798;	0.123941540707965;	0.129754677993067;	0.132448962293515;	0.137784012297042;	0.144312498955318;	0.153830180032904;	0.163136261969850;	0.173346152018158;	0.187669937145070;	0.203103778744402;	0.235669005705329;	0.270889363116298;	0.651082101541828
