0.459249782640934;	0.000000000000000;	0.000000000000000;	0.073939682475699;	0.060677833832946;	0.087233348279609;	0.108530826326202;	0.073981345077956;	0.038445607181111;	0.040586181742414;	0.041602259865778;	0.043994478705119;	0.045142199938016;	0.046768956416419;	0.048454924280443;	0.053009623011565;	0.056309781406498;	0.058939169143289;	0.064120584857775;	0.070946128509779;	0.078435544890223;	0.085797039111443;	0.088556544806582;	0.096589621516579;	0.105818549183982;	0.114737625842221;	0.122633005104703;	0.132500816684506;	0.133119888572099;	0.143879095541169;	0.156975779981295;	0.165874619262127;	0.175757789912891;	0.189194742757256;	0.202116159177836;	0.214979971960318;	0.227135716210826;	0.237105829373381;	0.246433732885100;	0.251273377311431;	0.258587751344751;	0.267024795008615;	0.276405941554534;	0.284989962935033;	0.292270490235053;	0.305817203544042;	0.321943213733494;	0.337025394346292;	0.348445775802114;	0.355636052348242;	0.373111689584722;	0.392486377677558;	0.411705175919946;	0.435218677548231;	0.461534953314520;	0.498606678296184;	0.544909641108676;	0.592455304391567;	0.630401800644334;	0.619800468334868
0.577269953130283;	0.082027614544867;	0.068053150777891;	0.083617829287322;	0.068983316538355;	0.094937389890036;	0.116505664506259;	0.080460488429678;	0.044557957678644;	0.046974870023260;	0.048087469238403;	0.050775551704612;	0.052001487468516;	0.053764449838848;	0.055585553367541;	0.060707420859478;	0.064293448967162;	0.067130192792299;	0.072870358106395;	0.080383591933166;	0.088469610386012;	0.096474538892250;	0.099402003716142;	0.108163350612866;	0.118186187235909;	0.127793727742883;	0.136139765513926;	0.146740400953808;	0.147236388040952;	0.158740598908072;	0.172680338743750;	0.182187092950482;	0.192706823273216;	0.206920469473003;	0.220562670401081;	0.234116206759658;	0.246910469396732;	0.257422962033866;	0.267261204448832;	0.272197337752741;	0.279923104530866;	0.288700370040226;	0.298566191395401;	0.307608010682862;	0.315110377453493;	0.329210727626797;	0.345938312260459;	0.361577724201247;	0.373446476660894;	0.380691255637358;	0.398688702052756;	0.418572414935499;	0.438245837599354;	0.462214818067337;	0.488933291321811;	0.526330973856078;	0.572778703487941;	0.620164281689972;	0.657840226196398;	0.654015776627095
0.607795301214054;	0.103799876699409;	0.085643868477143;	0.100559895048752;	0.083063520853069;	0.107468636959513;	0.129080773912264;	0.090641571599331;	0.053956390757895;	0.056569723559604;	0.057625051518192;	0.060555827222547;	0.061711918235754;	0.063493647287384;	0.065334257673881;	0.071071858066126;	0.074861804249461;	0.077803280312606;	0.084105347622734;	0.092314471797735;	0.100937265022027;	0.109541004263512;	0.112500398708333;	0.121950785918793;	0.132720312954044;	0.142944141690260;	0.151638255987318;	0.162911367797830;	0.163123718119641;	0.175288107599504;	0.189973438291162;	0.199978735458023;	0.211009466436746;	0.225855665685924;	0.240058094837489;	0.254126112138844;	0.267372470000127;	0.278234676524570;	0.288384294919620;	0.293197453635294;	0.301116478737587;	0.310001929807673;	0.320119359188291;	0.329384436088484;	0.336870236116864;	0.351249115884446;	0.368291195724041;	0.384199265064411;	0.396232826981890;	0.403275052499221;	0.421479373141434;	0.441547447916884;	0.461351422674839;	0.485437073169995;	0.512213741463853;	0.549582163564617;	0.595840488336796;	0.642825427125916;	0.680025513144056;	0.673731110989165
0.641520315634833;	0.136310483224707;	0.111620825975014;	0.121054252126694;	0.100146200938089;	0.122487187629716;	0.144090723666775;	0.103074154907230;	0.065431357608627;	0.068233217479806;	0.069178068030209;	0.072365004305261;	0.073398790969615;	0.075168930717534;	0.076999115503746;	0.083454720362133;	0.087444115830015;	0.090478513087098;	0.097427238647436;	0.106424198253041;	0.115614865753988;	0.124882858737108;	0.127866398223931;	0.138097274042629;	0.149706388302570;	0.160601550616883;	0.169634843103553;	0.181642253950343;	0.181508670612595;	0.194390483979950;	0.209884773824571;	0.220447144025218;	0.232044540086123;	0.247581983683614;	0.262398132994640;	0.277031846843758;	0.290780715944634;	0.302041586911105;	0.312554937173925;	0.317228240922274;	0.325378198542836;	0.334392734536865;	0.344817618541529;	0.354338844051984;	0.361789540136495;	0.376456403012272;	0.393831346200946;	0.410030970334238;	0.422251438575861;	0.429060971068513;	0.447494999956929;	0.467768965308754;	0.487725912841146;	0.511947953194505;	0.538798354175460;	0.576135666041819;	0.622191825840040;	0.668798599156191;	0.705548626868058;	0.696603334600201
0.680181972390221;	0.178880344403528;	0.145695080931891;	0.147609104323324;	0.122285377057772;	0.141631631245939;	0.163042521058868;	0.119038061320489;	0.080084291887918;	0.083006119973245;	0.083687876421662;	0.087078553861472;	0.087847330743261;	0.089500346086904;	0.091222446585334;	0.098477304725901;	0.102604397483431;	0.105664243315850;	0.113314513567648;	0.123158655404844;	0.132897253686917;	0.142854827889542;	0.145810699245466;	0.156883336486094;	0.169396218954780;	0.180993369950828;	0.190315629139069;	0.203089220179864;	0.202514653825304;	0.216135208354338;	0.232460026199756;	0.243600203596688;	0.255777066775656;	0.272012868581109;	0.287442036222596;	0.302635313033493;	0.316877586177339;	0.328526359186748;	0.339393709706272;	0.343851094592304;	0.352202625009028;	0.361295663346004;	0.372005837820648;	0.381758869639140;	0.389110670918536;	0.404015491872162;	0.421676408176760;	0.438122186431203;	0.450480016205591;	0.456961410536466;	0.475550241903657;	0.495934919257684;	0.515925627092658;	0.540124390853302;	0.566836255819075;	0.603846777829075;	0.649317237984072;	0.695088549473047;	0.730927424155641;	0.720214410093164
0.716290555570246;	0.233156567245679;	0.189157257195593;	0.181421851614428;	0.150250329918620;	0.165594988051372;	0.186567072468051;	0.139230410960581;	0.098375292443023;	0.101437232211544;	0.101668802362533;	0.105189652812115;	0.105518028705665;	0.106918266924142;	0.108403280977437;	0.116537512788528;	0.120709711776963;	0.123699846160391;	0.132096869132807;	0.142832771378620;	0.153066290600503;	0.163716795265803;	0.166569727970569;	0.178527796638395;	0.191987500078961;	0.204291066050503;	0.213816304910790;	0.227359814227712;	0.226223448050077;	0.240574635122530;	0.257718068299586;	0.269430046155097;	0.282169101297717;	0.299072946663468;	0.315076015119833;	0.330781857256773;	0.345466720053455;	0.357452276549565;	0.368622203891890;	0.372749921050990;	0.381231620330554;	0.390303743794804;	0.401219005688371;	0.411126858146428;	0.418262516779825;	0.433282925136671;	0.451088510329799;	0.467621271725554;	0.479946018342358;	0.485888601274238;	0.504419374697829;	0.524712225597377;	0.544572595609064;	0.568593716719904;	0.595049683334323;	0.631634765852733;	0.676443808227415;	0.721290027644124;	0.756204133819518;	0.744467693034321
0.750312459253292;	0.302263641611513;	0.244613985807460;	0.224215676385756;	0.185646085770394;	0.195270882228774;	0.215597308795242;	0.164657976946910;	0.121148981998421;	0.124080466337688;	0.123768624437311;	0.127268971698986;	0.126977434605460;	0.127931821858413;	0.128997158944725;	0.138073483313614;	0.142149428172539;	0.144932261812709;	0.154097449137896;	0.165740521575321;	0.176368899414777;	0.187681893759740;	0.190324364032989;	0.203183065430745;	0.217600213541120;	0.230577619758966;	0.240180534971101;	0.254458622669596;	0.252610690056670;	0.267647905813670;	0.285555436306924;	0.297796660925133;	0.311041401595781;	0.328535072730342;	0.345025886307095;	0.361150123474361;	0.376178013292192;	0.388401161960781;	0.399769020029669;	0.403415448630961;	0.411920453883406;	0.420836562393268;	0.431840510306552;	0.441807062380169;	0.448619216343774;	0.463691753292538;	0.481575688909205;	0.498150670464033;	0.510449651850183;	0.515868115886390;	0.534357906460398;	0.554567063524220;	0.574295486160668;	0.598117627782140;	0.624282440763310;	0.660361457021838;	0.704382646897127;	0.748128742487285;	0.781970971853207;	0.769270069482836
0.780062949682217;	0.388246823996851;	0.314925699148738;	0.277888417403975;	0.230018359270795;	0.231954075565496;	0.250953393388956;	0.196492168343183;	0.149376396088965;	0.151822425872505;	0.150481704660108;	0.153667790052611;	0.152648698816041;	0.153141201987948;	0.153543602328878;	0.163573858403057;	0.167353008500982;	0.169739545958810;	0.179671465395787;	0.192201623039089;	0.203072831265848;	0.214979759311571;	0.217267842897952;	0.231011551108871;	0.246361872317794;	0.259941499617463;	0.269458619450613;	0.284405573071299;	0.281666348142575;	0.297318185600354;	0.315904052709750;	0.328606154425177;	0.342278143713316;	0.360261202314242;	0.377141555028344;	0.393588196472229;	0.408871780022067;	0.421265149786806;	0.432780139322901;	0.435879264205274;	0.444406648785123;	0.453139978904285;	0.464228517312014;	0.474258841920705;	0.480718562553125;	0.495820061499220;	0.513738015635988;	0.530308186818556;	0.542549933520200;	0.547411607171112;	0.565793818241341;	0.585840649015331;	0.605357797957589;	0.628881840433681;	0.654647650819735;	0.690075299585869;	0.733128329341037;	0.775549549599670;	0.808139719461971;	0.794520558656549
0.804472366078956;	0.476947123490077;	0.402115864687381;	0.344752204323552;	0.285380852745842;	0.276870600709111;	0.294009144643071;	0.235754062240322;	0.183582860048370;	0.185767181902245;	0.182782071657045;	0.185314852845540;	0.182913249747063;	0.182735546616935;	0.182100001109811;	0.193703019342992;	0.196927551288785;	0.198681450203435;	0.209253147209597;	0.222615649535533;	0.233529155717541;	0.245943900901357;	0.247700133445392;	0.262293626159965;	0.278532468314745;	0.292620704518046;	0.301870857640130;	0.317420177019956;	0.313600162906899;	0.329803641544797;	0.348994619581127;	0.362109922882518;	0.376162692855395;	0.394570173401433;	0.411782307413034;	0.428496631453747;	0.443986283477069;	0.456512795692291;	0.468132816611973;	0.470596671312789;	0.479116642031851;	0.487596282941836;	0.498714417594461;	0.508753670131477;	0.514764233932664;	0.529819943196452;	0.547675890272273;	0.564146935967851;	0.576262063166840;	0.580572558711806;	0.598758727990640;	0.618546722025479;	0.637757818872915;	0.660870310952695;	0.686116033861604;	0.720729699104622;	0.762612247717693;	0.803449361144801;	0.834578052325259;	0.820064431222656
0.822962959296603;	0.570853887200163;	0.489003706427004;	0.426227015226593;	0.353929860218223;	0.331733561965098;	0.346033396781473;	0.284352183155845;	0.225229453243565;	0.226313347668884;	0.220840584177159;	0.222881529167476;	0.218926005784500;	0.217402151570829;	0.215314724879781;	0.228132275708534;	0.230349227215459;	0.231043199827232;	0.243551417645571;	0.257662176096954;	0.268361739947612;	0.281105250254175;	0.282125177380000;	0.297527976209385;	0.314602971912902;	0.329092217029084;	0.337872246190811;	0.353951911269840;	0.348870517900664;	0.365560742894660;	0.385275368020522;	0.398747318037578;	0.413111351386254;	0.431845650722384;	0.449292642319217;	0.466174806935549;	0.481771582469984;	0.494343931567007;	0.505980483272921;	0.507676093639023;	0.516126318929854;	0.524250491525250;	0.535314400221410;	0.545282499583009;	0.550720373212503;	0.565636604614398;	0.583309945186138;	0.599564778277438;	0.611465321186332;	0.615346378976048;	0.633226410275203;	0.652635077370074;	0.671419803844663;	0.693979854895389;	0.718556714109733;	0.752161484974815;	0.792634995421251;	0.831577153447650;	0.860993212669016;	0.845680085562283
