0.287223990353389;	0.000000000100733;	0.000000000138660;	0.043849570060150;	0.035632131549074;	0.124046541831000;	0.188428363562579;	0.161827536248655;	0.017053110210252;	0.016807570058522;	0.016249364170415;	0.016145572172973;	0.015791280926529;	0.015812165526532;	0.015923024499959;	0.016849259907320;	0.017288428735326;	0.017593020237344;	0.018563735905913;	0.019958284908950;	0.021399226658420;	0.022838926421844;	0.023265668440194;	0.025042355141095;	0.026988807866076;	0.028790507001217;	0.030341593566080;	0.032455442515573;	0.032422779420102;	0.034685472865507;	0.037500650449806;	0.039402819437506;	0.041440530952853;	0.044326617247550;	0.047032548204712;	0.049688144455789;	0.052164553720789;	0.054130800580192;	0.055958075560357;	0.056499215105471;	0.057424924198652;	0.058835658304526;	0.060856845254752;	0.062477930771129;	0.063656043763476;	0.066536548479421;	0.070415249087820;	0.074671918540949;	0.077653855970223;	0.080058510044455;	0.085730020200336;	0.092380390886500;	0.098886095082661;	0.107450424397455;	0.117361462020651;	0.131283387646654;	0.150048638972401;	0.172863690771835;	0.191830177988710;	0.206188389538118
0.287224044560008;	0.000000038040993;	0.000000031603855;	0.043849574534142;	0.035632135387477;	0.124046545390927;	0.188428367246882;	0.161827539239865;	0.017053113033183;	0.016807573008646;	0.016249367165246;	0.016145575304065;	0.015791284093313;	0.015812168755159;	0.015923027790162;	0.016849263457986;	0.017288432416383;	0.017593024012042;	0.018563739935524;	0.019958289252377;	0.021399231273224;	0.022838931328477;	0.023265673417621;	0.025042360447362;	0.026988813529508;	0.028790512971675;	0.030341599733635;	0.032455449008393;	0.032422785837787;	0.034685479609587;	0.037500657565418;	0.039402826813581;	0.041440538599648;	0.044326625230699;	0.047032556498033;	0.049688153044730;	0.052164562581328;	0.054130809665475;	0.055958084852066;	0.056499224411608;	0.057424933664283;	0.058835667902396;	0.060856855051515;	0.062477940745826;	0.063656053788851;	0.066536558756548;	0.070415259653262;	0.074671929382019;	0.077653867034480;	0.080058521171355;	0.085730031616380;	0.092380402594335;	0.098886107054483;	0.107450436635485;	0.117361474490137;	0.131283400299220;	0.150048651687067;	0.172863703391123;	0.191830190436457;	0.210146098455029
0.287224058592191;	0.000000048106361;	0.000000039734646;	0.043849582365352;	0.035632141894479;	0.124046551181260;	0.188428373056356;	0.161827543940466;	0.030705374061051;	0.016807577439610;	0.016249371569950;	0.016145579820328;	0.015791288576749;	0.015812173245870;	0.015923032288861;	0.016849268239254;	0.017288437289894;	0.017593028931453;	0.018563745110834;	0.019958294744858;	0.021399237009153;	0.022838937335276;	0.023265679431877;	0.025042366772108;	0.026988820189463;	0.028790519905315;	0.030341606817162;	0.032455456389645;	0.032422793069517;	0.034685487129427;	0.037500665413192;	0.039402834872861;	0.041440546873826;	0.044326633777701;	0.047032565284650;	0.049688162050228;	0.052164571777062;	0.054130819002209;	0.055958094309423;	0.056499233787815;	0.057424943106045;	0.058835677376327;	0.060856864624257;	0.062500990153274;	0.063711178042744;	0.066626605628227;	0.070542015030235;	0.074835008144111;	0.077848810072664;	0.080280067517875;	0.085983848776606;	0.092668398921059;	0.099209625977596;	0.107812426125447;	0.117764125641527;	0.131729470128610;	0.150539952158629;	0.173404581685402;	0.192425899541678;	0.211818252106980
0.287224074103095;	0.000000063134504;	0.000000051740960;	0.043904024511449;	0.035632149788754;	0.124046558120666;	0.188428379990531;	0.161827549681028;	0.030705379361464;	0.016808817715280;	0.016261976125039;	0.016171477001246;	0.015829578018911;	0.015861560933000;	0.015980777416522;	0.016918470874571;	0.017366142780358;	0.017678110822621;	0.018660029932927;	0.020067115513476;	0.021519291426261;	0.022971086431161;	0.023404336581960;	0.025194692163357;	0.027156123663113;	0.028971903861540;	0.030533751772942;	0.032663029789003;	0.032633981184895;	0.034913556877835;	0.037748609378531;	0.039668567105603;	0.041725139640368;	0.044633568861250;	0.047362091522980;	0.050041133534563;	0.052541657281700;	0.054531751244526;	0.056384133125431;	0.056942365422353;	0.057893383033617;	0.059330801561268;	0.061385709990874;	0.063064553349046;	0.064304145219526;	0.067261988310320;	0.071227471987152;	0.075576040881789;	0.078647226444653;	0.081132012077097;	0.086918471029216;	0.093702063877355;	0.100360241490065;	0.109109929926495;	0.119242554614210;	0.133435541826485;	0.152531736229061;	0.175794460720595;	0.195210631105813;	0.213420413881931
0.293033859407884;	0.000860927630734;	0.000716594688740;	0.044181918795388;	0.036010731026374;	0.124268708541144;	0.188658708207363;	0.162016202791308;	0.030991310297487;	0.034509878970143;	0.016450998428445;	0.016367131073989;	0.016026298211231;	0.016062296722069;	0.016186230884990;	0.017143459769840;	0.017601277289409;	0.017921945328106;	0.018925227402420;	0.020357406413630;	0.021830845367969;	0.023307559569357;	0.023753326242539;	0.025574600166291;	0.027570772338603;	0.029419515514732;	0.031005691145292;	0.033171134375365;	0.033150287001289;	0.035468414082680;	0.038348384073090;	0.040309207212674;	0.042409221358270;	0.045369279216820;	0.048150568697602;	0.050885612755791;	0.053444417262873;	0.055492619816723;	0.057406901320498;	0.058005946067503;	0.059016679110706;	0.060518713461056;	0.062658389657038;	0.064417138684325;	0.065722474259963;	0.068776267648830;	0.072863575779662;	0.077354173881471;	0.080566674469629;	0.083172816717595;	0.089130868357444;	0.096075324395859;	0.102857860980536;	0.111715792997761;	0.121909454958665;	0.136113459907879;	0.155177428838523;	0.178465460395907;	0.197831277987613;	0.215198961434057
0.298135736943084;	0.001956388436922;	0.001631458438094;	0.044699250366950;	0.036467137512620;	0.124795437624382;	0.189086901363332;	0.162372052109820;	0.031429943625904;	0.035033843312635;	0.038211335463427;	0.043017372618698;	0.016405751908408;	0.016456162816933;	0.016587439473644;	0.017580731762499;	0.018054653350213;	0.018388670129861;	0.019431058081578;	0.020907479589135;	0.022415267123738;	0.023934157179139;	0.024400835758002;	0.026276096927609;	0.028333164026925;	0.030239234342766;	0.031864256614667;	0.034090498675879;	0.034082094895562;	0.036463457006065;	0.039417751111823;	0.041448255991574;	0.043620918594569;	0.046666651585340;	0.049533562566907;	0.052356829496531;	0.055007276811935;	0.057146241658073;	0.059158570432474;	0.059809660370069;	0.060892923296112;	0.062467223753520;	0.064701568721156;	0.066535479369484;	0.067869811666436;	0.070946147755457;	0.075066730813334;	0.079580144224183;	0.082762163809824;	0.085274913316634;	0.091186364914948;	0.098088793339990;	0.104835685110135;	0.113665979214389;	0.123831616827090;	0.138015415994704;	0.157080177094852;	0.180457646083391;	0.199893105052966;	0.221402223365439
0.303983849100958;	0.003545455363516;	0.002986009722240;	0.045658802802035;	0.037334276329452;	0.125516347953340;	0.189978944381048;	0.162973693350860;	0.032082249459451;	0.035782589984426;	0.039065512624733;	0.043960385006947;	0.046867047223359;	0.017060586473990;	0.017193257937786;	0.018281560985131;	0.018774926072166;	0.019124656730970;	0.020215128831497;	0.021753694261970;	0.023303483937952;	0.024879315620658;	0.025372938194138;	0.027322470202039;	0.029463477564976;	0.031447132743999;	0.033116419139441;	0.035419061210675;	0.035420425540137;	0.037875628502706;	0.040916997340164;	0.043030489614165;	0.045283149979555;	0.048417964236119;	0.051364385574547;	0.054260086979598;	0.056974152236266;	0.059160049430946;	0.061208656772708;	0.061817031356899;	0.062867989402550;	0.064405412512892;	0.066626938020165;	0.068453918316819;	0.069765124578462;	0.072855336006889;	0.077025377214675;	0.081608663103274;	0.084848593898294;	0.087361513063736;	0.093369236961373;	0.100388607807703;	0.107268377303376;	0.116264344457401;	0.126624375535377;	0.141047121966980;	0.160422585649818;	0.184292881435902;	0.204241958215754;	0.226325027447925
0.309720599346330;	0.016497770007651;	0.004736116273916;	0.047091396471741;	0.038608333943563;	0.126722916721818;	0.191108530896230;	0.164195508922008;	0.045634841847373;	0.036747939384323;	0.040113626321299;	0.045082936768541;	0.048216593229811;	0.050367401333488;	0.051843382917879;	0.019232285725291;	0.019743109315343;	0.020106666008271;	0.021390862571662;	0.023021685681785;	0.024627872268991;	0.026272815511773;	0.026808060772761;	0.028866297442177;	0.031128871459235;	0.033222631289421;	0.034947261437006;	0.037352229677100;	0.037363147104453;	0.039913375866565;	0.043067167503135;	0.045287815975119;	0.047639135626408;	0.050885402019286;	0.053935636246064;	0.056935400513478;	0.059756360141642;	0.062047193280637;	0.064219337398511;	0.064877538087913;	0.066028733849071;	0.067680314233286;	0.070078864176922;	0.072097378878893;	0.073557146070900;	0.076841917528689;	0.081255160784207;	0.086106045119343;	0.089575119383315;	0.092143315407636;	0.098401051390816;	0.105658541777508;	0.112733559388484;	0.121913783691019;	0.132401845172005;	0.146895793486884;	0.166307348268358;	0.190373898830526;	0.210363171048558;	0.235570608619945
0.322385450601625;	0.030532946074395;	0.021079389692258;	0.049433780134046;	0.041056377762477;	0.128779807102146;	0.193229091343995;	0.166020380564842;	0.047792116889879;	0.054727321796839;	0.058496192121084;	0.067494216933077;	0.049955389417248;	0.052442631016575;	0.053918325912946;	0.059133953910329;	0.062171377221459;	0.064953389214472;	0.023231595159971;	0.024994221176457;	0.026678063716021;	0.028527545131389;	0.029104130204873;	0.031309897082442;	0.033738104823673;	0.035978377127346;	0.037766681198562;	0.040312402791987;	0.040297871210617;	0.042975017752449;	0.046282669410960;	0.048656757285294;	0.051162634332469;	0.054586502593934;	0.057806685982409;	0.060975834328500;	0.063966574531580;	0.066415607468272;	0.068751875334660;	0.069431594923108;	0.070643242134292;	0.072343492901254;	0.074849058187561;	0.076955352545278;	0.078421946181539;	0.081732146545146;	0.086222603623498;	0.091164665535230;	0.094660438034044;	0.096933656782715;	0.103252953627932;	0.110606223538501;	0.117805689053031;	0.127159369384458;	0.137853670051785;	0.152605656907943;	0.172371145200201;	0.197090336502597;	0.217712081130032;	0.245887749606196
0.334575534642963;	0.042983113490439;	0.036323331362478;	0.065763234801163;	0.044318302272570;	0.132069980026933;	0.196576041568323;	0.168910068130273;	0.052968598819123;	0.057881418360432;	0.064776126206091;	0.073819311848954;	0.080100899472786;	0.065267957059669;	0.068195054945316;	0.061795355232303;	0.064822904336539;	0.067572865665278;	0.073815478433004;	0.079330659159500;	0.083670238985014;	0.031522089563381;	0.032184795879564;	0.034620694809645;	0.037313452079569;	0.039803860533276;	0.041728205678680;	0.044513352609357;	0.044147055277345;	0.046996571818275;	0.050510827991121;	0.053100012092768;	0.055806907252154;	0.059449456221472;	0.062871683933433;	0.066238449981578;	0.069426973737156;	0.072063097055327;	0.074608388341991;	0.075334729336861;	0.076666429138496;	0.078491696443875;	0.081238195171008;	0.083608547524054;	0.085265052639169;	0.088820224713424;	0.093640852137171;	0.098948691177250;	0.102739822783520;	0.104631106438023;	0.111264800320259;	0.118924792203074;	0.126388396710893;	0.136004735623181;	0.146905581687575;	0.161814473555328;	0.181736361322177;	0.206916659659186;	0.227824318331911;	0.259342583235604
