0.000000000000000;	0.037342894520033;	0.019894631268428;	0.018182914700665;
0.002845213893455;	0.002977356589407;	0.000000000000000;	0.000000000000000;
0.002335078365813;	0.002418916778074;	0.000000000000000;	0.000000000000000;
0.002173104990621;	0.001847827640790;	0.000000000000000;	0.000000000000000;
0.002013713802199;	0.001496335928912;	0.000000000000000;	0.000000000000000;
0.002038304513319;	0.001225425522582;	0.000000000000000;	0.000000000000000;
0.001876106279649;	0.001121186091891;	0.000000000000000;	0.001038398844388;
0.001815693482450;	0.001074155649096;	0.000000000000000;	0.002076797688776;
0.001767737510011;	0.001007543847886;	0.000000000000000;	0.001080344531538;
0.001943007391921;	0.001061184397468;	0.000000000000000;	0.000928230313281;
0.001789873955927;	0.001042349247826;	0.000000000000000;	0.001050575795124;
0.001861028910079;	0.001003157937928;	0.000000000000000;	0.002043066240845;
0.001826297015644;	0.001022217984125;	0.000000000000000;	0.002610470077302;
0.001870862968243;	0.001003324291687;	0.000000000000000;	0.002023009966686;
0.001955366408257;	0.001071846288839;	0.000000000000000;	0.001760477605699;
0.001952565973345;	0.001228530134641;	0.000000013732095;	0.002277230578368;
0.001930444062234;	0.001396280078827;	0.000000027464189;	0.003314944761140;
0.001935922690363;	0.001286628039575;	0.000000027158190;	0.002776715514533;
0.001979667217225;	0.001216909155538;	0.001680239978670;	0.002459965729383;
0.002127811531333;	0.001159988499297;	0.001490835904230;	0.003324531756937;
0.002095616769935;	0.001081629179697;	0.001436555565747;	0.003836309029984;
0.002019872609921;	0.001236894472116;	0.001356844672053;	0.003145145644862;
0.002283043361207;	0.001130445202070;	0.001223191488760;	0.003625280224516;
0.002221537119399;	0.001385705109379;	0.001212253382418;	0.004397936193574;
0.002320384038067;	0.001104233808464;	0.001107531999608;	0.003944851306907;
0.002229774374798;	0.001477430060034;	0.001003747317314;	0.004391646374386;
0.002550816353704;	0.001168990867445;	0.001761686993773;	0.004913665689564;
0.002471572975262;	0.001596213481213;	0.003479959015445;	0.004685252077528;
0.002340278805105;	0.001240154962315;	0.002751043676344;	0.005261271801834;
0.002712746294293;	0.001551064423111;	0.002345212388246;	0.005310725622331;
0.002579704798974;	0.001409144872324;	0.002236810446518;	0.005468812511878;
0.002641523945885;	0.001656263943663;	0.002708285047706;	0.005968451237346;
0.002888016267514;	0.001538656958881;	0.003226811832685;	0.006201345873674;
0.002804937641962;	0.001759727008356;	0.003353726753555;	0.006576643073226;
0.002806517315682;	0.001694791430749;	0.003280362263844;	0.006728282259334;
0.003170506743947;	0.001982602827009;	0.002991936827435;	0.007053195312531;
0.002860519670550;	0.001878953153023;	0.003463355141984;	0.007148252072939;
0.003216691931634;	0.002001133878350;	0.004181302892166;	0.007496718423232;
0.003255074200073;	0.002055873266098;	0.004283502541134;	0.007664820216304;
0.003167871952940;	0.002160701411237;	0.004428594602312;	0.008003142734157;
0.003597787617871;	0.002353301001542;	0.004843104272562;	0.008280190718933;
0.003491105035586;	0.002253461612151;	0.004990679291031;	0.008408965732381;
0.003418766792544;	0.002487464785175;	0.005031804117085;	0.008898631923941;
0.003902533350758;	0.002509736033870;	0.005282750507046;	0.008991483263950;
0.003844341004995;	0.002638396215621;	0.005581412917000;	0.009315382461140;
0.003690629291872;	0.002888201463238;	0.005658946035371;	0.009837169586738;
0.004184815435811;	0.002793375286635;	0.005806387606016;	0.009992190000901;
0.004327757518695;	0.003021547729889;	0.006102630007327;	0.010204773095176;
0.003763954449650;	0.003221419747114;	0.006277610933958;	0.010730753075990;
0.004534674606688;	0.003164931561440;	0.006579174549830;	0.010963214548527;
0.004636456445375;	0.003510155804336;	0.006712013369007;	0.011368284314129;
0.004248819793255;	0.003621374163595;	0.006923420578677;	0.011696124140858;
0.004848279167740;	0.003579136349556;	0.007264896537224;	0.012001150825216;
0.004947547447690;	0.003933739203152;	0.007370416740115;	0.012394597791421;
0.004615606780317;	0.004063161344030;	0.007610400573648;	0.012721235841234;
0.005128194646412;	0.004101472712053;	0.007963460384536;	0.013490137758690;
0.005330448784952;	0.004406940787032;	0.008313299542768;	0.013940232841992;
0.005031323742858;	0.004584651600806;	0.008507627818192;	0.014240496470217;
0.005464589516700;	0.004546695272708;	0.008828590332978;	0.014711764059190;
0.005613461401691;	0.004976587154173;	0.009144847027130;	0.014833840880752;
0.005386409705343;	0.005314696178818;	0.009616610705780;	0.015191766151127;
0.006053271481598;	0.005312688881165;	0.009908424899261;	0.015619012893984;
0.005884896352514;	0.005250543760494;	0.010277112913584;	0.016064591992597;
0.005811208677716;	0.005797943605662;	0.010888890032495;	0.016352981287905;
0.006354031881020;	0.006085425421314;	0.011116516143888;	0.016735128512858;
0.006631406553863;	0.006170428564797;	0.011373814115166;	0.017133796714820;
0.006120070275558;	0.006212595301920;	0.011695260252899;	0.017387920060295;
0.006971724017981;	0.006714043165161;	0.012286712541845;	0.017933923479358;
0.006746505539330;	0.006839557798261;	0.012695645060882;	0.018182126379332;
0.006416459315877;	0.007013071417956;	0.013004511575448;	0.018344723521827;
0.007400397605204;	0.007090839030461;	0.013599987355584;	0.018848768767352;
0.007398918224929;	0.007616763689428;	0.014125798837050;	0.018854941992418;
0.006514045934884;	0.007959984923729;	0.014560423371443;	0.018820158238283;
0.007569629616378;	0.008151263359644;	0.014784989882009;	0.019410486095290;
0.007971979901256;	0.008178069403953;	0.015276141949923;	0.019590245992671;
0.007976697627788;	0.008082549933225;	0.015792045836593;	0.019340759836750;
0.007307177880488;	0.008730274860710;	0.016075682837933;	0.019367266254354;
0.008310947179830;	0.008992362321420;	0.016510199977962;	0.019413362314919;
0.008178364518887;	0.009194923333958;	0.017021775575229;	0.019344733997264;
0.007384494127982;	0.009327208357736;	0.017241646145105;	0.019448377185138;
0.008513580602322;	0.009195161354957;	0.017642412209610;	0.019317091018185;
0.008897166258521;	0.009642502556771;	0.018852320752670;	0.019152466015713;
0.008894140033184;	0.009912418960164;	0.019470627839252;	0.019214850214191;
0.007965029975456;	0.010171767329308;	0.018886190358953;	0.019277106696112;
0.009516219831474;	0.010286577648920;	0.018518774716993;	0.018938928477561;
0.009227034312278;	0.010295158409817;	0.018711604768598;	0.018589368630077;
0.009384334435578;	0.010254067794017;	0.018980722513575;	0.018514594179892;
0.008592944104783;	0.010627750664557;	0.018984482268746;	0.018336425860314;
0.009636838949697;	0.010981362000129;	0.019046859564196;	0.018085920612837;
0.009846293479081;	0.011143352485181;	0.018738195081545;	0.017859149894685;
0.009773181702525;	0.011237548482609;	0.018600509613559;	0.017431259428528;
0.008983253090032;	0.011265920253405;	0.018552763155486;	0.016968716777529;
0.009581176054781;	0.011297269562160;	0.018253992138620;	0.016756812656883;
0.010201647808582;	0.011377260282857;	0.018029498601041;	0.016533910106714;
0.010272453064382;	0.011577743662240;	0.017605392245089;	0.016296451743598;
0.009978609630877;	0.011937205093547;	0.017238939391965;	0.016052000644269;
0.008621959606113;	0.011797462590913;	0.016880498191227;	0.015732090669744;
0.010100797994691;	0.011929401859710;	0.016519863193935;	0.015361974771874;
0.009888444259991;	0.011854541618435;	0.016314890232768;	0.014991271700586;
0.009538129324620;	0.011784501117339;	0.016158000460985;	0.014467441025663;
0.009205364278569;	0.011777468447802;	0.015637644599949;	0.014057110785799;
0.007662636223718;	0.011965252494974;	0.014971385782987;	0.013872577715175;
0.009205628328470;	0.011743273227232;	0.014542870569995;	0.013557096590001;
0.007492807902434;	0.011529067039088;	0.014147246805461;	0.013133933097306;
0.007711966241407;	0.011261487482383;	0.013749573543488;	0.012685796272383;
0.007509014253806;	0.010342580719063;	0.013359223589624;	0.012186579808772;
0.007222122788456;	0.010259478481875;	0.012834092435790;	0.011638631940228;
0.007200152509263;	0.010061962850043;	0.012263516483661;	0.011058699486289;
0.007316792562452;	0.009981917098401;	0.011774311210852;	0.010346303750032;
0.007124845889091;	0.009797416866208;	0.011361963228155;	0.009667157035678;
0.006943110393330;	0.009586823780781;	0.010647707322859;	0.009103658520089;
0.006725611017380;	0.009349585536702;	0.009827604871278;	0.008587581706507;
0.006498011184097;	0.009098366146128;	0.009246316899220;	0.008057115829679;
0.006197637677268;	0.008934486655348;	0.008686175543588;	0.007567179096357;
0.006520840474562;	0.008743713899952;	0.008158977843441;	0.007143165447528;
0.006315817735876;	0.008502049354629;	0.007649302680732;	0.006730674443578;
0.006240666822888;	0.008221226903769;	0.007179545498607;	0.006351990801747;
0.006011046272862;	0.007984354722685;	0.006790414976047;	0.005972974276923;
0.005837733257113;	0.007973548156299;	0.006355643609969;	0.005605528260331;
0.005719767882456;	0.007773965202929;	0.005921705501099;	0.005264971051385;
0.005519440375942;	0.007618366362456;	0.005578662827915;	0.004969940692321;
0.005236424052616;	0.007400530645476;	0.005276273291804;	0.004704084428888;
0.005519976567770;	0.007296985826673;	0.004916944505310;	0.004410416570606;
0.005317799258776;	0.007046675825164;	0.004583957220570;	0.004133804830617;
0.005126016889693;	0.006815758204133;	0.004326729968985;	0.003920009170331;
0.004945314842139;	0.006561708274317;	0.004070648684437;	0.003615265702485;
0.004781581183431;	0.006332178761125;	0.003795167648847;	0.003349212926979;
0.004720121888040;	0.006153180830598;	0.003530379517245;	0.003166560443892;
0.004558601500535;	0.006041377330310;	0.003265804410972;	0.002968933936443;
0.004415322016089;	0.005860743741738;	0.003026986254320;	0.002847215500626;
0.004339602672096;	0.005688677036615;	0.002837920697510;	0.002857923869523;
0.004071208759904;	0.005592268262962;	0.002664353233897;	0.002804078569589;
0.004442168914149;	0.005400548992943;	0.002499131464470;	0.002618610216260;
0.004378671125374;	0.005454340216827;	0.002351709682041;	0.002479976479327;
0.004202169655893;	0.005431449374616;	0.002213247836935;	0.001642382901444;
0.004020430200790;	0.005296459142352;	0.002074602274409;	0.001550476555425;
0.003901998918479;	0.005099371674130;	0.001964767565688;	0.002369483654525;
0.003785400651548;	0.004929356004452;	0.001876166363361;	0.002122367915682;
0.003701467258177;	0.004726366412016;	0.001767486848370;	0.001650416191247;
0.003601723893998;	0.004702695474692;	0.001642322722354;	0.001396780804415;
0.003493306480700;	0.004581578964039;	0.001519899310202;	0.001396451792787;
0.003391975321152;	0.004470065280437;	0.001432934453508;	0.001473194901410;
0.003301655068663;	0.004315564886513;	0.001365201557038;	0.001313223726773;
0.003268988671096;	0.004272858160811;	0.001287923407090;	0.001190476949047;
0.003184629678510;	0.004235912715349;	0.001215262722534;	0.001134314951553;
0.003174267067266;	0.004228300551874;	0.001158003595686;	0.001104557251708;
0.003039117314447;	0.004279344566278;	0.001102352264307;	0.001087150371201;
0.003403925744190;	0.004246269417396;	0.001059996012252;	0.001053023625393;
0.003368873634649;	0.004188864515504;	0.001028730359250;	0.000971238335421;
0.003283556127991;	0.004182459029070;	0.000988399363893;	0.000957384530178;
0.003239118765476;	0.004144003427739;	0.000947368785930;	0.000921108264558;
0.003133206798749;	0.004005307217798;	0.000903056546376;	0.000877951993357;
0.003081741577912;	0.003967186624613;	0.000859305189809;	0.000847161257633;
0.003033101816588;	0.003875044131490;	0.000824306918335;	0.000790163429470;
0.002987613023976;	0.003858314796644;	0.000773088416659;	0.000751898109610;
0.002906646475181;	0.003803040053254;	0.000733091645087;	0.000720199249821;
0.002845878031812;	0.003727277468535;	0.000720942724722;	0.000687636033124;
0.002834056399664;	0.003640355424067;	0.000672988337617;	0.000652783724149;
0.002752281313388;	0.003631553688077;	0.000629076582526;	0.000626908043926;
0.002714666855712;	0.003479758335087;	0.000634196502319;	0.000599032990120;
0.002719430752258;	0.003250406203321;	0.000593399501775;	0.000573117873571;
0.002694308567282;	0.003807579876495;	0.000545884424897;	0.000555603911763;
0.002662051399766;	0.003608808868054;	0.000574709090577;	0.000538611754181;
0.002671708706466;	0.003461846433072;	0.000534560882676;	0.000513648139624;
0.002162699186872;	0.003617716523150;	0.000484824546566;	0.000494507033292;
0.001495324163449;	0.003576416546272;	0.000500502454283;	0.000483381728033;
0.000931116595340;	0.003413120785688;	0.000495220156420;	0.000463442029583;
