0.000000000000000;	0.010406360332050;	0.004660568150065;	0.002064051522480;
0.001286224750429;	0.001196619150150;	0.000647964232995;	0.000468314465874;
0.032637034924600;	0.030216307067985;	0.016377042797032;	0.011905941798286;
0.026860734741728;	0.024090014147170;	0.013108624548130;	0.009765187551307;
0.023573814232897;	0.020049250554628;	0.010955457199056;	0.008435980816926;
0.020976119777634;	0.017124756981092;	0.009414119435440;	0.007459671034023;
0.027870173727699;	0.023268057599960;	0.014138084839622;	0.013567624859322;
0.025422970863598;	0.020525993773633;	0.012355342794912;	0.012394938302707;
0.016735966711400;	0.012793385289448;	0.007077356561679;	0.006162902078098;
0.016337149971951;	0.012257651852878;	0.006823878527297;	0.006005429492763;
0.015673236364354;	0.011582856591167;	0.006502753465297;	0.005893738358903;
0.014912764690802;	0.010716841655105;	0.006045242380212;	0.005863895663045;
0.014343153278038;	0.010204901153129;	0.005800265834887;	0.005791559089531;
0.013766792490790;	0.009812878491784;	0.005595493418640;	0.005468669566752;
0.013793552345077;	0.009797503981647;	0.005584423575772;	0.005380400690172;
0.021654345921703;	0.017926788663834;	0.011037839781385;	0.009783517569932;
0.021748139982554;	0.019179886179116;	0.011689393455299;	0.010729108154550;
0.013574423694776;	0.010439948565549;	0.006150288208603;	0.005794701162040;
0.013205230960459;	0.009959521249220;	0.006098153360821;	0.005572995409636;
0.013343110213608;	0.009758653850750;	0.005973795364020;	0.005869732673005;
0.013150865313077;	0.009448959872510;	0.005801897863938;	0.005896445819701;
0.012479522914174;	0.009109745080506;	0.005597300145126;	0.005505049450055;
0.012482266335257;	0.009088412356749;	0.005573956411562;	0.005669829157722;
0.012934807834361;	0.009348956082133;	0.005715444445814;	0.006012143051692;
0.012387754034859;	0.008961245961915;	0.005482520622865;	0.005735424894910;
0.012104420725580;	0.008778519948966;	0.005360323481527;	0.005785273354822;
0.012488038796799;	0.009149143119714;	0.005937697935554;	0.006111853625978;
0.012597566888132;	0.009328612073365;	0.006312868686275;	0.006134086433463;
0.011933132186936;	0.008905362418729;	0.005879844573054;	0.006041891043653;
0.011940642391206;	0.008798943695433;	0.005731520800280;	0.006020581977689;
0.012261752881790;	0.009027047458027;	0.005837478516930;	0.006152584104971;
0.011834377475335;	0.008904365766182;	0.005907383632654;	0.006163906253800;
0.012000054723455;	0.009080641392046;	0.006138109212723;	0.006311448954003;
0.012197250598880;	0.009166655841609;	0.006220145609175;	0.006435277522263;
0.011772188424155;	0.009000896967487;	0.006114762922149;	0.006368274019456;
0.011982485541633;	0.009149933449287;	0.006127494456435;	0.006528257137937;
0.012051277063529;	0.009283025826719;	0.006337387622171;	0.006607558543006;
