0.000000000000000;	0.037342894520033;	0.019894631268428;	0.018182914700665;
0.001989161277891;	0.001684554347360;	0.000969230159444;	0.000759781668636;
0.001644578002543;	0.015046563301957;	0.024463244906900;	0.019199477766565;
0.001450105263130;	0.023042136645725;	0.019678941299717;	0.015689035632817;
0.001334613373871;	0.028462533286499;	0.016570640841707;	0.013518852782354;
0.001275542693432;	0.024788159249902;	0.014427056409905;	0.012020698416598;
0.002875472881072;	0.033598768334158;	0.021364707462699;	0.021849861927054;
0.001157203746683;	0.029896332963014;	0.019056364810408;	0.019888263736120;
0.001129106053977;	0.019151752719569;	0.011265451859363;	0.009923307489502;
0.001213659947904;	0.018810161244088;	0.011018352685873;	0.009697844141398;
0.001135680880296;	0.018172369110257;	0.010621030414679;	0.009474879007999;
0.001159475159037;	0.017096510861962;	0.010016401568531;	0.009387994136997;
0.001131262678798;	0.016335009406847;	0.009526707351674;	0.009156900242352;
0.001143542264457;	0.015618990739041;	0.009058207744608;	0.008560355688353;
0.001215881566108;	0.015622429164065;	0.009080332882535;	0.008486319858787;
0.003923984485274;	0.027777083256367;	0.017750829783701;	0.015164635324475;
0.001273115184369;	0.029151883271101;	0.018892217934028;	0.016538206556063;
0.001250218095146;	0.016175611918451;	0.009814318220958;	0.009003463486297;
0.001271342511224;	0.015428164125266;	0.009555379364282;	0.008556623459211;
0.001351648385880;	0.015178845301071;	0.009382360325905;	0.008974601970119;
0.001310773889868;	0.014611891082382;	0.009041908836461;	0.008928708927842;
0.001286938313190;	0.013971528120353;	0.008593779794050;	0.008210967891120;
0.001420211509760;	0.013983997701251;	0.008574487073192;	0.008468570126432;
0.001454024686728;	0.014429050701222;	0.008889231957375;	0.009032829636201;
0.001411597015526;	0.013788221174398;	0.008429280571962;	0.008524006898083;
0.001475513228207;	0.013536303626715;	0.008253797133417;	0.008587797333323;
0.001589128688204;	0.014074363623899;	0.009090767541005;	0.009124628240722;
0.001643201305222;	0.014406367680039;	0.009600588444149;	0.009218636809250;
0.001485466054607;	0.013605627197077;	0.008897698212800;	0.009010453448622;
0.001755381013843;	0.013370755564098;	0.008649349912149;	0.008946996486902;
0.001666339800875;	0.013771289779647;	0.008879330428902;	0.009237074291332;
0.001740001800738;	0.013489243711324;	0.008874300943750;	0.009200009484968;
0.001867257153083;	0.013826506011924;	0.009223109184066;	0.009469847905936;
0.001878971904138;	0.013935661054371;	0.009381435802184;	0.009715728485591;
0.001845430283919;	0.013596251236332;	0.009148609783362;	0.009551116265635;
0.002120353910472;	0.013892681872383;	0.009230618139345;	0.009839452408931;
0.001949552714711;	0.014052661188302;	0.009540107915142;	0.009976244694627;
0.002158118586943;	0.013795141481666;	0.009582916196208;	0.010003194981823;
0.002206037088633;	0.014127023546126;	0.009803775847802;	0.010277259171092;
0.002181942995974;	0.013927801596407;	0.009734220797027;	0.010313038126461;
0.002459576748816;	0.014305447305887;	0.010088785691091;	0.010594854406741;
0.002411860462095;	0.014488849166002;	0.010290769394457;	0.010808204552450;
0.002396735337869;	0.014051419920052;	0.010038532851164;	0.010736082446443;
0.002684457989581;	0.014332435922307;	0.010266843229255;	0.010912164999658;
0.002707654964626;	0.014674646820515;	0.010614190599512;	0.011308493426923;
0.002664499659700;	0.014521758963782;	0.010562364858848;	0.011378681429749;
0.002932413570811;	0.014577086563953;	0.010635993028335;	0.011491991385880;
0.003068926376583;	0.014939579530164;	0.010968071048815;	0.011852641578145;
0.002829732505000;	0.014703695575154;	0.010923219979797;	0.011879249694636;
0.003245159787982;	0.014665620704280;	0.011007619368376;	0.011986834983909;
0.003394487680851;	0.015280404853495;	0.011438462619496;	0.012557386590935;
0.003218861744790;	0.015150188142362;	0.011463020154517;	0.012570133545470;
0.003551791170283;	0.014998767228783;	0.011485770606787;	0.012662912479968;
0.003708580883424;	0.015428146252546;	0.011807165657779;	0.013121122026487;
0.003568311174415;	0.015342810356588;	0.011856647190731;	0.013175135085966;
0.003912707849571;	0.015315616369586;	0.011987718529735;	0.013539785145191;
