0.000000000000000;	0.010600652112437;	0.005826009152057;	0.005505257109002;
0.001285534139452;	0.000862754063581;	0.000520852774367;	0.000483695689991;
0.016940359135974;	0.022318011865413;	0.013526488503507;	0.012492709142189;
0.028150910743466;	0.019407562026840;	0.011883457753520;	0.010925597478769;
0.025655756946365;	0.017642110496587;	0.010886201707282;	0.009994572121954;
0.023819504537464;	0.016407806101154;	0.010226797761297;	0.009422541254661;
0.024411013004122;	0.017402346917918;	0.011540792587834;	0.016011683663882;
0.022955612315308;	0.016403906134545;	0.010898434083244;	0.014768278983095;
0.020085323213362;	0.013957353102077;	0.008834834768477;	0.008163818496023;
0.019732623689162;	0.013757363905345;	0.008698981481759;	0.007999511789714;
0.019138210387400;	0.013474315392963;	0.008535746785043;	0.007844022781531;
0.018396014453170;	0.012941621001580;	0.008230193710898;	0.007651027212435;
0.017864241956404;	0.012615576880800;	0.008030657324082;	0.007495391082606;
0.017233807205752;	0.012271695729966;	0.007811777050463;	0.007249851087416;
0.017057606832948;	0.012171508284047;	0.007734376431504;	0.007165360662197;
0.019147841163002;	0.016130345489613;	0.013017523433833;	0.009247183000600;
0.018702979216934;	0.015800610850574;	0.012696648519253;	0.009130185364848;
0.016151935904875;	0.011749096453304;	0.007520900479086;	0.006983489720579;
0.015869112854984;	0.011576966133670;	0.007492792598002;	0.006935351932941;
0.015940062797205;	0.011546964666932;	0.007448504772225;	0.006992238713945;
0.015741295804506;	0.011353943790916;	0.007316659384592;	0.006922058801375;
0.015163160578160;	0.011194424626768;	0.007241695846742;	0.006800553920951;
0.015119671258617;	0.011129896523222;	0.007226282095179;	0.006866101677146;
0.015257654230116;	0.011141905254949;	0.007187434329450;	0.006881861424174;
0.014834214599259;	0.010882971877235;	0.007065147747846;	0.006800070630765;
0.014587995299490;	0.010814522830462;	0.007064044465071;	0.006851447803795;
0.014701210742079;	0.010861274628163;	0.007185517755058;	0.006918211615552;
0.014786192509164;	0.010946611489134;	0.007321484914644;	0.007013623940842;
0.014149978319909;	0.010683975037725;	0.007136966145770;	0.006907565573253;
0.014135734840704;	0.010618423723183;	0.007086738180205;	0.006918521310432;
0.014359586337772;	0.010795675996931;	0.007184205640163;	0.007044508339705;
0.013935980823619;	0.010656027317200;	0.007168829408191;	0.007041608084227;
0.014058271228712;	0.010803560894852;	0.007301424105613;	0.007172617285068;
0.014124108533331;	0.010804381290192;	0.007320145618186;	0.007231107586204;
0.013743733346578;	0.010728275487287;	0.007318961054768;	0.007247434946795;
0.013921807812777;	0.010902261137884;	0.007406864656241;	0.007393363543744;
0.013925476434643;	0.010976777919721;	0.007505751724387;	0.007486361271268;
0.013615675041506;	0.010810734477752;	0.007503958629630;	0.007540017411607;
0.013889940621826;	0.010991140653273;	0.007627445975027;	0.007705528128103;
0.013598260859948;	0.010898559680009;	0.007607144024820;	0.007761696359715;
0.013713462799625;	0.011134409015947;	0.007804782950375;	0.007965299016518;
0.013984682112432;	0.011205013585077;	0.007895723909272;	0.008105118927655;
0.013499039252438;	0.011011841310755;	0.007833231184673;	0.008148934565134;
0.013667011796137;	0.011236918813484;	0.008025140043979;	0.008363885736626;
0.013984711479796;	0.011346170200364;	0.008127598433447;	0.008554769065742;
0.013617141220513;	0.011374077219884;	0.008204578480620;	0.008726675927205;
0.013697998112862;	0.011469435750300;	0.008327362446557;	0.008928805765934;
0.014050806730916;	0.011570281243915;	0.008413210627923;	0.009118675269246;
0.013669506087658;	0.011627608283719;	0.008554078899654;	0.009354284423949;
0.013633941188400;	0.011626601337922;	0.008644892727637;	0.009541383508572;
0.014095024187036;	0.011834203638478;	0.008768977374425;	0.009815579805078;
0.013829345153712;	0.011956015496946;	0.008956956241230;	0.009996423539731;
0.013768529535318;	0.011902998762842;	0.009032339396128;	0.010084259636019;
0.014143997689991;	0.012094686178430;	0.009182187185081;	0.010252415270132;
0.013882445541619;	0.012191821277988;	0.009348084876554;	0.010351834481461;
0.013850386718706;	0.012177130012819;	0.009442974830943;	0.010528645791505;
0.014261933940761;	0.012417497004046;	0.009668583360967;	0.010731855683246;
0.014047571973353;	0.012506290730334;	0.009824835042986;	0.010818156477358;
0.013996391136153;	0.012471355202907;	0.009925877833768;	0.010920020822906;
0.014307242836863;	0.012664979735773;	0.010130209601521;	0.011031984646038;
0.014152285703271;	0.012858799279543;	0.010380972757404;	0.011156808835613;
0.014290122657904;	0.012962735799760;	0.010548783821217;	0.011309393412744;
0.014503757396539;	0.012968411095536;	0.010701867123468;	0.011477076735206;
0.014255294666554;	0.013009166359705;	0.010910645744912;	0.011556383252327;
0.014468863496873;	0.013300531859627;	0.011153853350236;	0.011753313866402;
0.014836401729518;	0.013487079385532;	0.011354788822442;	0.011960501285033;
0.014517691370134;	0.013356541786449;	0.011428613560761;	0.012004264377382;
0.014661101542812;	0.013548895386839;	0.011722540090432;	0.012255509678174;
0.015019116633198;	0.013800795197436;	0.011973993960620;	0.012443145820643;
0.014593762068251;	0.013674031330222;	0.012036300543453;	0.012455824022212;
0.014799821819235;	0.013831997094234;	0.012314261142740;	0.012728271282831;
0.015270084338455;	0.014110564801362;	0.012595202946336;	0.012905989538799;
0.014826872145444;	0.014107731933029;	0.012711297441810;	0.012908470153338;
0.014890116246309;	0.014225772022523;	0.012841640497712;	0.013173091016921;
0.015458176456237;	0.014469938037354;	0.013066849922656;	0.013435438612280;
0.015442795206599;	0.014416284997456;	0.013144995955825;	0.013461102967755;
0.015151654697808;	0.014417044459337;	0.013222729294442;	0.013557286405029;
0.015296786425784;	0.014666793971329;	0.013441193428246;	0.013758488555643;
0.015601068307217;	0.014842405168911;	0.013622110593118;	0.013913781396739;
0.015229902936253;	0.014750643262929;	0.013657107578837;	0.014014987104178;
0.015254282028716;	0.014780716460083;	0.013801611158155;	0.014155780659311;
0.015699065941332;	0.015065651938234;	0.014210974640431;	0.014368973691331;
0.015792602443028;	0.015248210652313;	0.014445694777554;	0.014561337412639;
0.015464517438906;	0.015190529531120;	0.014367189375449;	0.014688765412369;
0.015563692680429;	0.015252077857730;	0.014374706046964;	0.014767032635099;
0.015838290813036;	0.015341502122073;	0.014499138882810;	0.014844054850162;
0.015699050352147;	0.015285573348736;	0.014605598378836;	0.014953612705724;
0.015470881294706;	0.015267583790656;	0.014694767732209;	0.015048392496335;
0.015459479157991;	0.015378888313902;	0.014842889022078;	0.015148941077197;
0.015677842452577;	0.015493179870818;	0.014909343596229;	0.015262573755246;
0.015602629532173;	0.015478466061750;	0.014975227605285;	0.015264043816312;
0.015287282822034;	0.015365123923843;	0.015030223109935;	0.015211785080180;
0.015087382744850;	0.015244356601399;	0.015011208493699;	0.015234436551968;
0.015234771473237;	0.015256615740628;	0.015061931590711;	0.015305997684214;
0.015266166702383;	0.015236111361280;	0.015062753381110;	0.015341114891129;
0.015078651195672;	0.015170017731328;	0.015051244050883;	0.015315636394898;
0.014597905295009;	0.014948941606512;	0.014961126254558;	0.015181664071442;
0.014416250336300;	0.014791187147026;	0.014883500006517;	0.015062189790814;
0.014444781583923;	0.014729131002962;	0.014885793605724;	0.014981311637641;
0.014133445754056;	0.014526869646702;	0.014839312010986;	0.014776968526275;
0.013768069100801;	0.014255881306481;	0.014632159121449;	0.014569730996543;
0.013200826915116;	0.013900578996030;	0.014323961482751;	0.014380600592536;
0.012908881991416;	0.013632598435375;	0.014110152178632;	0.014168155401458;
0.012546998809071;	0.013294585304300;	0.013859906869375;	0.013888857169692;
0.012073519205420;	0.012896512744728;	0.013569922998938;	0.013571887175681;
0.011765235375035;	0.012483435617474;	0.013258315312317;	0.013236762639219;
0.011314459167969;	0.012033437175151;	0.012866344399418;	0.012836481724246;
0.010908798669560;	0.011654026578458;	0.012481566472792;	0.012430870504190;
0.010544493733634;	0.011282747394416;	0.012125550512517;	0.011983303733757;
0.010142010865574;	0.010898689780334;	0.011797110983458;	0.011547643917882;
0.009669864400357;	0.010433545596611;	0.011321353968774;	0.011104436943656;
0.009164784944091;	0.009916735598093;	0.010756814172939;	0.010618170188235;
0.008654811058221;	0.009405390320446;	0.010268199169855;	0.010109774968356;
0.008155184238059;	0.008900385726573;	0.009771589830478;	0.009590056613965;
0.007700013673930;	0.008417546746544;	0.009277740458041;	0.009076960304374;
0.007229430709917;	0.007915424937861;	0.008757934409267;	0.008547493365836;
0.006764536184914;	0.007405954249311;	0.008232402307163;	0.008024112838299;
0.006312326996537;	0.006913815942142;	0.007734432623442;	0.007501134070631;
0.005851400947359;	0.006435165910457;	0.007205953957294;	0.006978545210789;
0.005422201833022;	0.005967711844395;	0.006676113534072;	0.006472530002707;
0.005014900777667;	0.005520962443169;	0.006196595098341;	0.006007552647318;
0.004623442495135;	0.005096280520429;	0.005746028351617;	0.005568561470594;
0.004265859203734;	0.004692751609188;	0.005277052648916;	0.005115405052296;
0.003930718821782;	0.004316604078528;	0.004838117675708;	0.004686585913007;
0.003610981510662;	0.003966925679393;	0.004455640462514;	0.004318111738588;
0.003311962475350;	0.003635915122571;	0.004087526506085;	0.003919370645691;
0.003038359545392;	0.003331184472401;	0.003737528516248;	0.003576626027054;
0.002814057531836;	0.003069085448442;	0.003429281509892;	0.003311952085761;
0.002616348622925;	0.002839481616292;	0.003148661698138;	0.003056634015316;
