0.000000000000000;	0.010406360332050;	0.004660568150065;	0.002064051522480;
0.001622020737664;	0.001411354694416;	0.000807066137291;	0.000594593827290;
0.014679476359710;	0.035723282341031;	0.020395392773171;	0.015072085524986;
0.022737277868350;	0.028502904707277;	0.016236393855760;	0.012155700769168;
0.029651398939120;	0.024007908420817;	0.013540648962641;	0.010412440871295;
0.026121294807014;	0.020543399982873;	0.011549328285193;	0.009047247694026;
0.034222050769065;	0.028080823312037;	0.017342221975497;	0.016071744825746;
0.031675913922920;	0.025239090844271;	0.015357477797278;	0.015073123419714;
0.020840339909356;	0.015785952472644;	0.008809488186494;	0.007495773972761;
0.020224403810522;	0.015173303415589;	0.008445151824021;	0.007203876594852;
0.019329037151897;	0.014350823367387;	0.007971139214247;	0.007103198845932;
0.018492144039419;	0.013373971124365;	0.007394161461743;	0.007226800382882;
0.017250593804171;	0.012440520689524;	0.006925380885100;	0.006972723917176;
0.016138055919602;	0.011690182446010;	0.006546258346176;	0.006340601726353;
0.016471114133855;	0.011690766519128;	0.006521890201217;	0.006291476230462;
0.027150928556295;	0.021446892666762;	0.012820574101585;	0.011765747637020;
0.027758782904973;	0.024008272293272;	0.014529806993390;	0.013481879851128;
0.016288210550860;	0.012858913346057;	0.007501312859029;	0.007014804631103;
0.015619069736193;	0.011966542450042;	0.007179252712207;	0.006641358225421;
0.016073408232726;	0.011656316733520;	0.006950412258808;	0.007166858336901;
0.015773267777206;	0.011239616581283;	0.006716640431855;	0.007112768735932;
0.014384151092991;	0.010652489858304;	0.006427558947690;	0.006446357652539;
0.014383611238790;	0.010597592459710;	0.006395400819335;	0.006767601813719;
0.015477025817128;	0.011064524749973;	0.006618751443512;	0.007277026011732;
0.014338455705219;	0.010424134968344;	0.006275343831250;	0.006747240098586;
0.013834397114535;	0.010194660185296;	0.006146405841681;	0.006894363369792;
0.014654525153322;	0.010788096864163;	0.006865997852548;	0.007372688377004;
0.014784115439990;	0.010968595664491;	0.007262195948738;	0.007316723672203;
0.013680369400730;	0.010444591680577;	0.006835302191160;	0.007304840639087;
0.013688028433316;	0.010320596790968;	0.006671960686552;	0.007225242093367;
0.014312290666546;	0.010627824071616;	0.006795681710277;	0.007400116556771;
0.013466227553185;	0.010385107591920;	0.006849784220230;	0.007412828174877;
0.013634778106261;	0.010580635402638;	0.007108690709601;	0.007559556723382;
0.014117176178672;	0.010776006562395;	0.007264253700006;	0.007774487472174;
0.013275120973870;	0.010457224887210;	0.007111139512406;	0.007653061000596;
0.013524776426713;	0.010591947995240;	0.007105150949773;	0.007828031775157;
0.013754387257940;	0.010818479565210;	0.007361723164280;	0.007946189119540;
0.013197481116633;	0.010590840391545;	0.007445824041560;	0.007995862556744;
0.013668079049121;	0.010846734294818;	0.007637092637133;	0.008185218929643;
0.013217838719131;	0.010705602349769;	0.007640390356970;	0.008235743625729;
0.013248097943095;	0.010895082920631;	0.007870303028047;	0.008400239756467;
0.013966270069343;	0.011131596368703;	0.007991064692938;	0.008559392046207;
0.013011426278411;	0.010754315167244;	0.007849663535484;	0.008518005509466;
0.013060457789541;	0.010886645481700;	0.008016792207275;	0.008602663207708;
0.013970765749349;	0.011258974238708;	0.008253703421112;	0.008911854179120;
0.013111126271869;	0.011059645127656;	0.008219182787185;	0.008960129455065;
0.013101876930426;	0.011066414369786;	0.008280010760762;	0.009007392210050;
0.013902843526413;	0.011388155077795;	0.008503352817249;	0.009250808244985;
0.013027808656020;	0.011198387536481;	0.008511803231735;	0.009285852985597;
0.013028885116949;	0.011182252955692;	0.008601248282825;	0.009349788856778;
0.013942558517342;	0.011612668023986;	0.008860717374790;	0.009708957041478;
0.013198370366196;	0.011499422519016;	0.008919682265545;	0.009703362818996;
0.013080989306680;	0.011396609534834;	0.008958979697898;	0.009764426628758;
0.013791657580280;	0.011730398426758;	0.009168235977622;	0.010066490812755;
0.013156288405515;	0.011619430672782;	0.009221001629551;	0.010075157243199;
0.013181854190612;	0.011642496849886;	0.009336223642738;	0.010340610506918;
0.013865707810081;	0.012011796341893;	0.009629282088156;	0.010671157799875;
0.013264043296289;	0.011880356944056;	0.009650487631188;	0.010669230810766;
0.013202020026398;	0.011812506859503;	0.009705777441034;	0.010789492476644;
0.013708592207517;	0.012102979152332;	0.009939328963971;	0.010955436887738;
0.013339440271480;	0.012218366101549;	0.010176759273302;	0.011064122831257;
0.013521206825463;	0.012324052439970;	0.010314251796389;	0.011241526193879;
0.013767656009999;	0.012317228671314;	0.010403195808341;	0.011404593568626;
0.013235884950810;	0.012234437600694;	0.010546187135184;	0.011409588702213;
0.013560684157301;	0.012594188355812;	0.010812336067077;	0.011659951529705;
0.014121503235180;	0.012862200577480;	0.011014539721270;	0.011921794189150;
0.013434881529372;	0.012527687688664;	0.010930823514211;	0.011835648191351;
0.013571370453127;	0.012708984972301;	0.011195708536959;	0.012089800816679;
0.014170849177528;	0.013100940745533;	0.011506354856694;	0.012352658145314;
0.013361802469860;	0.012772930057484;	0.011424997565254;	0.012234074857763;
0.013536829700575;	0.012894949376233;	0.011644826259296;	0.012495043269661;
0.014307841794316;	0.013329737630012;	0.011996569807860;	0.012754724704263;
0.013560400979573;	0.013185175896515;	0.012048866813376;	0.012643189348010;
0.013595858572213;	0.013281392569165;	0.012157559344790;	0.012880324808624;
0.014355948181043;	0.013632485616784;	0.012458745426585;	0.013182263761378;
0.014165460662181;	0.013478089794804;	0.012495557931569;	0.013097272844718;
0.013608841056036;	0.013302129036246;	0.012478201333507;	0.013042734117545;
0.013796591601990;	0.013576658188786;	0.012747569162960;	0.013232792304897;
0.014333756894841;	0.013894667861094;	0.013038345759938;	0.013439726972159;
0.013699802533281;	0.013616828681047;	0.012953728602180;	0.013393169084957;
0.013548406593177;	0.013517054117242;	0.013011250153711;	0.013408206653073;
0.014169175999008;	0.013958853022849;	0.013581678014739;	0.013698353219597;
0.014352254313907;	0.014221329157687;	0.013916170221093;	0.013931330417893;
0.013715771327197;	0.013918977383949;	0.013639909540598;	0.013868771788077;
0.013770523587308;	0.013911849162919;	0.013571890882615;	0.013861996891507;
0.014253093129953;	0.014106265595494;	0.013756224120448;	0.013972120350899;
0.014000026138276;	0.013973298859145;	0.013807970392234;	0.014009824880706;
0.013539030255638;	0.013793379838545;	0.013784179183748;	0.013972909812834;
0.013570974633877;	0.013922341010754;	0.013949897664013;	0.014061517090010;
0.013956045739680;	0.014131592930183;	0.014061181643924;	0.014214066274458;
0.013837373080113;	0.014060287145156;	0.014067321660544;	0.014140511951018;
0.013343173724423;	0.013798507068535;	0.013999512623355;	0.013948783586978;
0.013098275360714;	0.013625346739491;	0.013913692786089;	0.013905218154869;
0.013327808362163;	0.013712701146421;	0.014003292643590;	0.014011842559121;
0.013365454318302;	0.013700678793623;	0.013980235273246;	0.014032472415930;
0.013168249918859;	0.013618446537959;	0.013935360238236;	0.013982147303424;
0.012516328277467;	0.013260930127310;	0.013739812422612;	0.013763986195249;
0.012348413699389;	0.013093124415233;	0.013633351434463;	0.013642179765328;
0.012519816935692;	0.013125565093301;	0.013684996681385;	0.013624568868743;
0.012155272705554;	0.012870726683533;	0.013586065865435;	0.013365789663316;
0.011745946951056;	0.012545757753343;	0.013322381281063;	0.013101436654723;
0.011095610970774;	0.012110057362818;	0.012943250677067;	0.012858962406394;
0.010883925507082;	0.011891088756534;	0.012748839651701;	0.012692719387797;
0.010573239893752;	0.011573955063759;	0.012495532826242;	0.012427709968773;
0.010040499122180;	0.011133725483513;	0.012159278088813;	0.012066816188912;
0.009750156467844;	0.010742663553510;	0.011838012785103;	0.011731623820819;
