0.143557437477556;	0.190061733606248;	0.000000304391884;	0.000000319819587;	0.000002279806009;	0.000001609516307;	0.000000451367010;	0.712415032949811;	0.787183144305307;	0.632811731905210;	0.643337124239216;	0.000002316931024;	0.000001159079714;	0.000001033143278;	0.000001194107046;	0.000001967016307;	0.000004880880483;	0.000006404798709;	0.000007712376096;	0.000013021973246;	0.000014359234724;	0.000025599047352;	0.000048507403054;	0.000045039749588;	0.000058053116976;	0.000133560354518;	0.000225263555057;	0.000224756042740;	0.000306856889537;	0.000500599663983;	0.000698606316108;	0.001155389032875;	0.001282052601891;	0.001382544238418;	0.001951107421467;	0.002873969569040;	0.003879596284425;	0.005383009019154;	0.006879959447531;	0.008548529528942;	0.010451815409197;	0.012214169068021;	0.013222685517282;	0.015605986333695;	0.018765252947427;	0.022742041051284;	0.027524048893844;	0.031658077804405;	0.037344039165687;	0.042191075911220;	0.047263878540574;	0.053462472561025;	0.060828286629418;	0.069074997412546;	0.077676208629996;	0.087037173334919;	0.096225623504086;	0.105847607176157;	0.120360678832127;	0.129318437923831;	0.140368007494963;	0.152166324456775;	0.163440290623584;	0.173669771782223;	0.185607350120773;	0.195213848464293;	0.208133359583791;	0.221776348999861;	0.234515148607238;	0.249126253610061;	0.263744806194217;	0.278271831941844;	0.293653495692144;	0.307694868766776;	0.328691405694279;	0.351919489118434;	0.384712904063295;	0.415155219989160;	0.715656973617494;	0.000000000000038
0.143557442977979;	0.190061739919588;	0.000000304392188;	0.000000319819691;	0.000002279863205;	0.000001609547470;	0.000000451374552;	0.712415032956131;	0.787183144311772;	0.632811731910641;	0.643337124247267;	0.000002316978138;	0.000001159101632;	0.000001033163139;	0.000001194127386;	0.000001967045140;	0.000004880935367;	0.000006404857202;	0.000007712445626;	0.000013022056342;	0.000014359320278;	0.000025599172907;	0.000048507576897;	0.000045039902740;	0.000058053289048;	0.000133560652620;	0.000225263954727;	0.000224756412196;	0.000306857340814;	0.000500600295145;	0.000698607092502;	0.001155390087220;	0.001282053707993;	0.001382545360092;	0.001951108823298;	0.002873971385946;	0.003879598479030;	0.005383011708237;	0.006879962564534;	0.008548533021161;	0.010451819275394;	0.012214173236425;	0.013222689689047;	0.015605990838722;	0.018765257879415;	0.022742046455278;	0.027524054816595;	0.031658084153847;	0.037344046005498;	0.042191083109004;	0.047263886065418;	0.053462480452162;	0.060828294897115;	0.069075006026893;	0.077676217544917;	0.087037182524903;	0.096225632918624;	0.105847616788663;	0.120360682039694;	0.129318441166647;	0.140368010803082;	0.152166327826073;	0.163440294044493;	0.173669775252807;	0.185607353637333;	0.195213851994581;	0.208133363153703;	0.221776352609492;	0.234515152258274;	0.249126257292489;	0.263744809903241;	0.278271835677230;	0.293653499447388;	0.307694872545874;	0.328691409450889;	0.351919492819224;	0.384712907633107;	0.415155223401429;	0.715656975333470;	0.000000000000112
0.143557451363145;	0.190061747332880;	0.000000304393268;	0.000000319820037;	0.000002280043163;	0.000001609637521;	0.000000451396025;	0.712415032971859;	0.787183144325440;	0.632811731922238;	0.643337124261852;	0.000002317054572;	0.000001159138544;	0.000001033195096;	0.000001194158401;	0.000001967087004;	0.000004881006902;	0.000006404930210;	0.000007712529855;	0.000013022153528;	0.000014359419023;	0.000025599310179;	0.000048507761843;	0.000045040063762;	0.000058053464762;	0.000133560945274;	0.000225264336687;	0.000224756761093;	0.000306857757123;	0.000500600862415;	0.000698607776686;	0.001155390994343;	0.001282054644722;	0.001382546294991;	0.001951109968009;	0.002873972836708;	0.003879600197621;	0.005383013771998;	0.006879964915392;	0.008548535613441;	0.010451822101101;	0.012214176238952;	0.013222692648045;	0.015605993980895;	0.018765261263296;	0.022742050101720;	0.027524058746132;	0.031658088299958;	0.037344050396324;	0.042191087655579;	0.047263890742715;	0.053462485276036;	0.060828299866499;	0.069075011117411;	0.077676222724570;	0.087037187773619;	0.096225638203856;	0.105847622091425;	0.120360689012393;	0.129318448130963;	0.140368017818966;	0.152166334879872;	0.163440301112784;	0.173669782327144;	0.185607360702579;	0.195213858979444;	0.208133370101201;	0.221776359509648;	0.234515159103792;	0.249126264053935;	0.263744816563688;	0.278271842235149;	0.293653505893335;	0.307694878891409;	0.328694594763216;	0.351937133538786;	0.384745675584366;	0.415202114990035;	0.715688059327811;	0.000000000000305
0.143557461820586;	0.190061755655481;	0.000000304397165;	0.000000319821247;	0.000002280644671;	0.000001609920951;	0.000000451463805;	0.712415033016062;	0.787183144358636;	0.632811731951119;	0.643337124293192;	0.208788439367925;	0.000001159214336;	0.000001033258675;	0.000001194217647;	0.000001967164140;	0.000004881126996;	0.000006405049082;	0.000007712664582;	0.000013022305462;	0.000014359573105;	0.000025599515806;	0.000048508034708;	0.000045040301253;	0.000058053719637;	0.000133561358836;	0.000225264868896;	0.000224757247313;	0.000306858331284;	0.000500601634975;	0.000698608702499;	0.001155392209483;	0.001282055896675;	0.001382547541816;	0.001951111485441;	0.002873974745492;	0.003879602448703;	0.005383016462219;	0.006879967973818;	0.008548538985003;	0.010451825777748;	0.012214180151855;	0.013222696508732;	0.015605998081788;	0.018765265683967;	0.022742054870917;	0.027524063892530;	0.031658093744219;	0.037365566912350;	0.042248434907053;	0.047357885503326;	0.053588201194743;	0.060974865026378;	0.069238912573829;	0.077855439566437;	0.087230062627305;	0.096429968533572;	0.106061918249844;	0.120480810828209;	0.129448313007592;	0.140508867962192;	0.152318263800071;	0.163603332718569;	0.173844437605911;	0.185794179220450;	0.195411246996283;	0.208343124109539;	0.221999026580114;	0.234751494264802;	0.249376470433320;	0.264009514200763;	0.278552364242650;	0.293951096338172;	0.308011995868302;	0.329029860038823;	0.352289640257653;	0.385111265102775;	0.415580892101339;	0.715899107072096;	0.000000000001160
0.143557476469852;	0.190061765047086;	0.000000304411351;	0.000000319825505;	0.004567269851806;	0.000001610808683;	0.000000451678197;	0.712415033139802;	0.787183144438532;	0.632811732022187;	0.643337124359382;	0.208788439649071;	0.000001159366682;	0.000001052945849;	0.000001281880941;	0.000002202137282;	0.000005490639298;	0.000007198401877;	0.000008736714133;	0.000014491904856;	0.000016012460125;	0.000028117643090;	0.000052375584876;	0.000048588945665;	0.000062105487831;	0.000140994980585;	0.000235774060221;	0.000234767983113;	0.000319443114512;	0.000518822073059;	0.000721731157515;	0.001188005983991;	0.001316952003418;	0.001418416467031;	0.001996822288988;	0.002934255094115;	0.003953515687854;	0.005475049318910;	0.006988448049546;	0.008672303271475;	0.010591311046758;	0.012367005428955;	0.013377501887367;	0.015774869352916;	0.018952480011607;	0.022950075364356;	0.027755470124661;	0.031909998953691;	0.037634982671482;	0.042529176651899;	0.047651631629941;	0.053899887714786;	0.061309165948928;	0.069597011644382;	0.078237464255934;	0.087636850800021;	0.096860931835138;	0.106517586608964;	0.120870276799657;	0.129855077178785;	0.140938025987860;	0.152771008853313;	0.164080495064745;	0.174347772386880;	0.186325007593636;	0.195966629157168;	0.208929450040362;	0.222619256887332;	0.235409428566132;	0.250075191725777;	0.264754384531097;	0.279353216112157;	0.294820084136878;	0.308968064222271;	0.330082882329965;	0.353447288656946;	0.386380042895859;	0.416963855878444;	0.716714354825586;	0.000000000001997
0.168163366948339;	0.190371039585262;	0.000000316087601;	0.000000325445700;	0.004570560199836;	0.006409167252229;	0.000001074717892;	0.712415479329956;	0.787183500351547;	0.632812079456832;	0.643337652759876;	0.209662007202844;	0.209470270464556;	0.000002439941573;	0.000002619987378;	0.000004055862039;	0.000008426971175;	0.000010253868837;	0.000012117880507;	0.000018771136003;	0.000020499255336;	0.000034163494470;	0.000061130910215;	0.000056371491584;	0.000070521128889;	0.000155587876914;	0.000255719920231;	0.000253462517567;	0.000342229878290;	0.000550837115159;	0.000761641932092;	0.001243456507355;	0.001375777737048;	0.001478393380978;	0.002072704190419;	0.003033621912190;	0.004074959154196;	0.005626117166194;	0.007167106948904;	0.008877502712346;	0.010824468158291;	0.012624687491731;	0.013640237201789;	0.016062964067223;	0.019274179152541;	0.023310494848402;	0.028159976116431;	0.032354392871902;	0.038120298504520;	0.043044542712882;	0.048196367561191;	0.054479525621453;	0.061929900591397;	0.070260418633069;	0.078943806997970;	0.088387889560483;	0.097655790347067;	0.107357722531918;	0.121657751589333;	0.130677962305261;	0.141806974984367;	0.153689264984758;	0.165051773789885;	0.175378510034959;	0.187421926393990;	0.197129183175006;	0.210178035025274;	0.223968305840606;	0.236873475178615;	0.251661592665447;	0.266458853504003;	0.281152934189308;	0.296684444262355;	0.310867032944122;	0.331956547426809;	0.355230205536526;	0.388028183150267;	0.418439488110793;	0.717437463716055;	0.000000000008210
0.172037897427547;	0.190698804821158;	0.000000419180843;	0.000000370757497;	0.004707579306093;	0.006497937002212;	0.004952496770664;	0.712417605339623;	0.787184751629557;	0.632813329675692;	0.643339088771819;	0.209911405878288;	0.210176625500412;	0.252927406199729;	0.000005657124059;	0.000008240242060;	0.000014448802034;	0.000016457956942;	0.000018868984338;	0.000027387183941;	0.000029599970412;	0.000045865211173;	0.000078111714702;	0.000071402172058;	0.000086350875623;	0.000182528262403;	0.000292217767661;	0.000287451172007;	0.000383002622790;	0.000607260481346;	0.000831215386515;	0.001339209515028;	0.001476248788773;	0.001579505606338;	0.002199147937857;	0.003197226039012;	0.004273005917416;	0.005870457727990;	0.007454544296597;	0.009206743733962;	0.011197886917879;	0.013036585891004;	0.014058252975342;	0.016518388868801;	0.019780522007742;	0.023875995749770;	0.028793089449379;	0.033048404688006;	0.038879979371237;	0.043855606049049;	0.049058037896016;	0.055399029909584;	0.062915132170563;	0.071313710323512;	0.080066248230303;	0.089583160627261;	0.098923272172534;	0.108701242905037;	0.122982557562447;	0.132068239551610;	0.143280411108860;	0.155249162213985;	0.166697911700582;	0.177106029265089;	0.189212619361061;	0.198938565514801;	0.211996737011195;	0.225769984031698;	0.238628661123428;	0.253340112607290;	0.268037127844750;	0.282636519917916;	0.298081461863803;	0.312187090014530;	0.333197219767105;	0.356395004091223;	0.389125227263638;	0.419468080734910;	0.717955796140152;	0.000000000012950
0.186733168562606;	0.191338967789116;	0.000001044621529;	0.000000632890404;	0.004740705969673;	0.006662999619066;	0.005126736212699;	0.718789391993174;	0.787188885007123;	0.632817575503888;	0.643343126898147;	0.210161326763657;	0.210790915807747;	0.254210318368066;	0.261186683038128;	0.284902210277936;	0.000026135645724;	0.000028292976373;	0.000031306035904;	0.000043042439024;	0.000046087508229;	0.000065886328880;	0.000107025217410;	0.000096886721256;	0.000112383951922;	0.000225678469798;	0.000349985099539;	0.000340962089035;	0.000446167367805;	0.000693393498063;	0.000936497488811;	0.001483155740033;	0.001626044777866;	0.001728610467016;	0.002383776986712;	0.003433427295939;	0.004556173393385;	0.006216890002349;	0.007859934506880;	0.009669927725092;	0.011722287835404;	0.013613649644888;	0.014640231331212;	0.017146880248704;	0.020474721196423;	0.024647080094458;	0.029652122530406;	0.033985368139624;	0.039902996089178;	0.044947947461271;	0.050219034872188;	0.056635846708894;	0.064234740914400;	0.072715662507621;	0.081547166700717;	0.091139645118232;	0.100540638800214;	0.110366764929983;	0.124631848056628;	0.133716797805478;	0.144926128907512;	0.156874391547113;	0.168288733334925;	0.178652717716676;	0.190708226325259;	0.200376303706549;	0.213389460972841;	0.227122934932460;	0.239948998394806;	0.254632367651608;	0.269304335549249;	0.283883214037541;	0.299309221387452;	0.313399039833319;	0.334379813458927;	0.357537915318549;	0.390222595092703;	0.420502639084392;	0.718472812287039;	0.000000000054168
0.197204044832998;	0.192202793778545;	0.000004222890560;	0.000001921486106;	0.007164973153488;	0.008616818785217;	0.005216013366370;	0.719045815387931;	0.793338715065999;	0.638899028227282;	0.643353228326289;	0.210273734448922;	0.211141263745082;	0.254877165350703;	0.262771255905963;	0.286789920714615;	0.283167687538036;	0.000047459293981;	0.000050617286971;	0.000069712481410;	0.000074114563588;	0.000097566456691;	0.000152362241324;	0.000136605701065;	0.000151759071283;	0.000289160165659;	0.000433933139896;	0.000418373372612;	0.000535941575322;	0.000813783541378;	0.001082198532815;	0.001680700952684;	0.001829748500948;	0.001928969499795;	0.002629025690777;	0.003743015607290;	0.004923089722236;	0.006661107007795;	0.008376082181300;	0.010257173054792;	0.012384706732389;	0.014339255132052;	0.015365063053419;	0.017919179892303;	0.021317681803855;	0.025572354548360;	0.030669628455202;	0.035078627762572;	0.041077798685935;	0.046182449662989;	0.051506561015702;	0.057972642790440;	0.065614197526253;	0.074127245685273;	0.082979737759834;	0.092584148176938;	0.101982758937366;	0.111801288957002;	0.126046778575199;	0.135114014248618;	0.146320428216609;	0.158269622514692;	0.169691681455018;	0.180070493837303;	0.192141950003923;	0.201816216625014;	0.214848979797163;	0.228605063745302;	0.241456688807957;	0.256163942289820;	0.270859266663361;	0.285468214578430;	0.300931612759619;	0.315073576936591;	0.336107320183233;	0.359334995278352;	0.392101292361789;	0.422462489637621;	0.719589232482561;	0.000000000082650
0.203742025621045;	0.197726353747222;	0.000019000489774;	0.000008008173588;	0.007250422452179;	0.009142057338394;	0.007710276742407;	0.719923228601647;	0.793572849029178;	0.639148492845131;	0.649593574932307;	0.213067149601709;	0.211276896472790;	0.255193973566342;	0.263473367442748;	0.287686022090510;	0.285129941384500;	0.275314486273869;	0.267741259993357;	0.000106548616743;	0.000112353668329;	0.000146963819936;	0.000222300625282;	0.000197673953086;	0.000209229240005;	0.000378890260883;	0.000550834233828;	0.000525922320735;	0.000659097315803;	0.000976561492208;	0.001277978470026;	0.001944549371066;	0.002101091516976;	0.002194853766258;	0.002952964470206;	0.004149414964343;	0.005403087440092;	0.007240161466595;	0.009047926234941;	0.011021330835873;	0.013245738059147;	0.015280610287417;	0.016302014375833;	0.018912947612637;	0.022397753637947;	0.026750844126216;	0.031957029961138;	0.036455794485374;	0.042566777873618;	0.047772799984617;	0.053198553232149;	0.059770805299500;	0.067520199100276;	0.076139819981238;	0.085098421090052;	0.094811569342606;	0.104313612421301;	0.114235757329125;	0.128339180878255;	0.137479687732843;	0.148782380292107;	0.160830196119149;	0.172356138819607;	0.182847626557896;	0.195035401551358;	0.204810420269132;	0.217979617984823;	0.231888691359808;	0.244909093901862;	0.259786605370795;	0.274638122950341;	0.289379152283683;	0.304942605903908;	0.319159245659150;	0.340185423055969;	0.363319168541515;	0.395928692121839;	0.426040383025279;	0.721407976365819;	0.000000000348313
