0.180196391709880;	0.201725096394340;	0.000000068167755;	0.000000054124551;	0.000006963909165;	0.000004370226739;	0.000001090219399;	0.104193965254707;	0.110668244419671;	0.092066491133154;	0.106852315867127;	0.000015648199350;	0.000007077312799;	0.000007000530997;	0.000008027342921;	0.000013212740486;	0.000032287915886;	0.000039630136664;	0.000047884557778;	0.000070641387262;	0.000075513567615;	0.000126878327185;	0.000209154443215;	0.000186248377127;	0.000221120826174;	0.000466599678116;	0.000725819669098;	0.000683864468653;	0.000904269414544;	0.001424193241735;	0.001904914698696;	0.002998396351989;	0.003278019195255;	0.003430020223401;	0.004700532307529;	0.006803690992407;	0.008962233870190;	0.012197990368229;	0.015385411412851;	0.018681151491148;	0.022362023708848;	0.025619662119003;	0.027090239044668;	0.031172045992564;	0.036555304521298;	0.043311917895253;	0.051576399772222;	0.058843550629092;	0.068493628362476;	0.076427928368487;	0.084508336380770;	0.094353920836179;	0.105870889390174;	0.118407845250576;	0.131143112352689;	0.144724265692157;	0.157652841679829;	0.170948701410843;	0.191614192906971;	0.203015957997892;	0.217436890174044;	0.232718641823337;	0.246898973010473;	0.259753308372047;	0.274652727503427;	0.285682792918082;	0.300955597554855;	0.317562219549190;	0.333033599171947;	0.350019283922609;	0.366824728053386;	0.383544512917802;	0.400956662018501;	0.416679876323126;	0.440784528155084;	0.467299812519829;	0.504303926403457;	0.537178527958139;	0.773465427337371;	0.000000000059419
0.180196391709880;	0.201725096394340;	0.000000068167755;	0.000000054124551;	0.000006963909165;	0.000004370226739;	0.000001090219399;	0.104193965254707;	0.110668244419671;	0.092066491133154;	0.106852315867127;	0.000015648199350;	0.000007077312799;	0.000007000530997;	0.000008027342921;	0.000013212740486;	0.000032287915886;	0.000039630136664;	0.000047884557778;	0.000070641387262;	0.000075513567615;	0.000126878327185;	0.000209154443215;	0.000186248377127;	0.000221120826174;	0.000466599678116;	0.000725819669098;	0.000683864468653;	0.000904269414544;	0.001424193241735;	0.001904914698696;	0.002998396351989;	0.003278019195255;	0.003430020223401;	0.004700532307529;	0.006803690992407;	0.008962233870190;	0.012197990368229;	0.015385411412851;	0.018681151491148;	0.022362023708848;	0.025619662119003;	0.027090239044668;	0.031172045992564;	0.036555304521298;	0.043311917895253;	0.051576399772222;	0.058843550629092;	0.068493628362476;	0.076427928368487;	0.084508336380770;	0.094353920836179;	0.105870889390174;	0.118407845250576;	0.131143112352689;	0.144724265692157;	0.157652841679829;	0.170948701410843;	0.191614192906971;	0.203015957997892;	0.217436890174044;	0.232718641823337;	0.246898973010473;	0.259753308372047;	0.274652727503427;	0.285682792918082;	0.300955597554855;	0.317562219549190;	0.333033599171947;	0.350019283922609;	0.366824728053386;	0.383544512917802;	0.400956662018501;	0.416679876323126;	0.440784528155084;	0.467299812519829;	0.504303926403457;	0.537178527958139;	0.773465427337371;	0.000000000165639
0.180196391709880;	0.201725096394340;	0.000000068167755;	0.000000054124551;	0.000006963909165;	0.000004370226739;	0.000001090219399;	0.104193965254707;	0.110668244419671;	0.092066491133154;	0.106852315867127;	0.000015648199350;	0.000007077312799;	0.000007000530997;	0.000008027342921;	0.000013212740486;	0.000032287915886;	0.000039630136664;	0.000047884557778;	0.000070641387262;	0.000075513567615;	0.000126878327185;	0.000209154443215;	0.000186248377127;	0.000221120826174;	0.000466599678116;	0.000725819669098;	0.000683864468653;	0.000904269414544;	0.001424193241735;	0.001904914698696;	0.002998396351989;	0.003278019195255;	0.003430020223401;	0.004700532307529;	0.006803690992407;	0.008962233870190;	0.012197990368229;	0.015385411412851;	0.018681151491148;	0.022362023708848;	0.025619662119003;	0.027090239044668;	0.031172045992564;	0.036555304521298;	0.043311917895253;	0.051576399772222;	0.058843550629092;	0.068493628362476;	0.076427928368487;	0.084508336380770;	0.094353920836179;	0.105870889390174;	0.118407845250576;	0.131143112352689;	0.144724265692157;	0.157652841679829;	0.170948701410843;	0.191614192906971;	0.203015957997892;	0.217436890174044;	0.232718641823337;	0.246898973010473;	0.259753308372047;	0.274652727503427;	0.285682792918082;	0.300955597554855;	0.317562219549190;	0.333033599171947;	0.350019283922609;	0.366824728053386;	0.383544512917802;	0.400956662018501;	0.416679876323126;	0.440821594429205;	0.467504989431409;	0.504683551004141;	0.537719456006367;	0.773809294592572;	0.000000000426202
0.180196391709880;	0.201725096394340;	0.000000068167755;	0.000000054124551;	0.000006963909165;	0.000004370226739;	0.000001090219399;	0.104193965254707;	0.110668244419671;	0.092066491133154;	0.106852315867127;	0.000015648199350;	0.000007077312799;	0.000007000530997;	0.000008027342921;	0.000013212740486;	0.000032287915886;	0.000039630136664;	0.000047884557778;	0.000070641387262;	0.000075513567615;	0.000126878327185;	0.000209154443215;	0.000186248377127;	0.000221120826174;	0.000466599678116;	0.000725819669098;	0.000683864468653;	0.000904269414544;	0.001424193241735;	0.001904914698696;	0.002998396351989;	0.003278019195255;	0.003430020223401;	0.004700532307529;	0.006803690992407;	0.008962233870190;	0.012197990368229;	0.015385411412851;	0.018681151491148;	0.022362023708848;	0.025619662119003;	0.027090239044668;	0.031172045992564;	0.036555304521298;	0.043311917895253;	0.051576399772222;	0.058843550629092;	0.068759013389786;	0.077132980391558;	0.085660168891293;	0.095889874850878;	0.107656157820600;	0.120398255104239;	0.133312913156838;	0.147052360557648;	0.160112997946452;	0.173522746161810;	0.193053712012299;	0.204568984369665;	0.219118090496911;	0.234528698738754;	0.248837504747759;	0.261826239646171;	0.276866243108951;	0.288018235891075;	0.303433654853345;	0.320188656323048;	0.335817129486127;	0.352961287648045;	0.369932576634962;	0.386833296549504;	0.404440037025386;	0.420385389466888;	0.444730474231546;	0.471606377359746;	0.508919857667185;	0.542089526723332;	0.776144084168075;	0.000000001488342
0.180196391709880;	0.201725096394340;	0.000000068167755;	0.000000054124551;	0.000006963909165;	0.000004370226739;	0.000001090219399;	0.104193965254707;	0.110668244419671;	0.092066491133154;	0.106852315867127;	0.000015648199350;	0.000007077312799;	0.000007391205928;	0.000009727607245;	0.000017488217510;	0.000043309806723;	0.000053377166942;	0.000066177393926;	0.000094421199441;	0.000101760338504;	0.000167191186466;	0.000267341940336;	0.000239573400087;	0.000282772978868;	0.000575654601050;	0.000875402377574;	0.000826059494499;	0.001081983049091;	0.001677874883633;	0.002223384779885;	0.003437596701435;	0.003746954624858;	0.003913079740157;	0.005311118779187;	0.007601873377884;	0.009935094590861;	0.013399097342351;	0.016789747217553;	0.020269092676393;	0.024136319348354;	0.027551656199435;	0.029042078838719;	0.033298016232919;	0.038904315238534;	0.045910400194757;	0.054452978631747;	0.061963558549469;	0.072082785860378;	0.080584800233833;	0.089259930196407;	0.099698040297902;	0.111728257855787;	0.124747062959952;	0.137938207970584;	0.151962571998460;	0.165301918179991;	0.178996151245059;	0.197721188172311;	0.209433566810597;	0.224240734619988;	0.239922804306650;	0.254511386416335;	0.267800334407066;	0.283155912293888;	0.294589523586967;	0.310360720412975;	0.327504629873148;	0.343566339667505;	0.361177181006240;	0.378678294582166;	0.396222411379879;	0.414611822560010;	0.431556993356777;	0.457007561334220;	0.485077382029040;	0.523624651007992;	0.558045635536548;	0.785156520376128;	0.000000002514530
0.184156673174962;	0.205487590039908;	0.000000707467561;	0.000000271918664;	0.000118649661611;	0.000067683843531;	0.000017396225270;	0.104206109266119;	0.110678747890181;	0.092076055217792;	0.106864088459769;	0.020019950403306;	0.000038461788030;	0.000035082415484;	0.000035708735616;	0.000051232482806;	0.000096418326791;	0.000106328310384;	0.000126581918063;	0.000163668798408;	0.000173011789346;	0.000263983781197;	0.000399070807401;	0.000356524344640;	0.000410829699886;	0.000789744210739;	0.001159307231226;	0.001091605870481;	0.001403766854517;	0.002123623677151;	0.002773090666375;	0.004184341990764;	0.004537466735647;	0.004720819442880;	0.006324730090674;	0.008917620881687;	0.011533574819323;	0.015370681741946;	0.019102610989023;	0.022901902855800;	0.027102178335596;	0.030809264233429;	0.032354766081883;	0.036924956481499;	0.042940763476331;	0.050412606273491;	0.059481375971285;	0.067467705267876;	0.078070157693906;	0.086921462026255;	0.095935543070920;	0.106780075558608;	0.119289451532662;	0.132803641368907;	0.146490196700011;	0.161028200981298;	0.174872323853719;	0.189087801748662;	0.207155484060155;	0.219264229472128;	0.234594860976238;	0.250838540759174;	0.266029994115693;	0.279997518269101;	0.296110782109669;	0.308297704546427;	0.325059904607095;	0.343360774800463;	0.360748896605028;	0.379765448045617;	0.398621523522895;	0.417249172679227;	0.436358636792266;	0.453667146102519;	0.478771471579277;	0.505750014986232;	0.542652636201993;	0.574995087268930;	0.793111403749881;	0.000000009446402
0.232498615889409;	0.209475011586930;	0.000006366387436;	0.000002030380319;	0.004769366458352;	0.002637553683238;	0.000109116775845;	0.104263989623063;	0.110715679680649;	0.092110475217158;	0.106896083383860;	0.025731166636914;	0.014593053032203;	0.000093565314737;	0.000094679593321;	0.000127404063902;	0.000205334991959;	0.000213846774237;	0.000247192554112;	0.000303098402173;	0.000317536163370;	0.000451328636351;	0.000654560874918;	0.000582399015088;	0.000651409736854;	0.001183731012359;	0.001676396595727;	0.001571733755859;	0.001975913020845;	0.002903741558798;	0.003724215362387;	0.005463799496955;	0.005876495417780;	0.006070709030319;	0.007998518852855;	0.011063633319416;	0.014115038481028;	0.018527770520128;	0.022785984190875;	0.027083085887817;	0.031803490310564;	0.035962714964299;	0.037570102924022;	0.042597640183332;	0.049226391939451;	0.057401495154565;	0.067268227516898;	0.075972978202884;	0.087342920220459;	0.096786700623212;	0.106380548160096;	0.117892098912648;	0.131160228207325;	0.145457173140181;	0.159935342811588;	0.175304986068241;	0.189976489037887;	0.205063910468127;	0.222903083345164;	0.235766065598782;	0.252061313921383;	0.269304792680845;	0.285487743765680;	0.300387284577080;	0.317215784784862;	0.329595984193064;	0.346437237547677;	0.364503543813925;	0.381312501867517;	0.399392770626422;	0.417042139379580;	0.434530679724135;	0.452596718978380;	0.468972563282591;	0.493113206940811;	0.519181204174874;	0.555242493221318;	0.586735957291514;	0.798776489890516;	0.000000014671135
0.450076579632363;	0.217154885100711;	0.000040648474115;	0.000012190108947;	0.005889687853437;	0.007414664549138;	0.004673325250100;	0.104488773261930;	0.110837408247813;	0.092227134746308;	0.106985813814293;	0.030863302884471;	0.027249966668524;	0.025709006273713;	0.000834501745914;	0.001290773269085;	0.000414932104526;	0.000417081117378;	0.000467022090380;	0.000553836716817;	0.000576611700057;	0.000767931471243;	0.001084410186783;	0.000960580530471;	0.001042332112443;	0.001809057111075;	0.002489225103174;	0.002323295437874;	0.002858031793987;	0.004089944466576;	0.005158842933099;	0.007382373190975;	0.007868726655226;	0.008057935845400;	0.010439708861818;	0.014160233311179;	0.017806101474074;	0.023006533849226;	0.027986339939630;	0.032973983486049;	0.038417954881467;	0.043198468950240;	0.044849277359734;	0.050447854200914;	0.057870198695557;	0.066962202557824;	0.077870232810939;	0.087497130771922;	0.099878486278054;	0.110129036980157;	0.120517037150309;	0.132908989874037;	0.147136150214710;	0.162380796653796;	0.177759863521676;	0.193983815792582;	0.209337415442625;	0.224953145059579;	0.242550613049374;	0.255353016501466;	0.271564587874453;	0.288515934129965;	0.304240655997598;	0.318570525782274;	0.334751718118334;	0.346413368330125;	0.362687847981529;	0.380249767984107;	0.396642229706431;	0.414358740106944;	0.431685192333766;	0.448906060908324;	0.466723675343034;	0.482885477927729;	0.506652698895303;	0.532238789909978;	0.567726298778171;	0.598445627024834;	0.804379034152430;	0.000000056160639
0.603352040806186;	0.227525147121642;	0.000214003266931;	0.000061954480673;	0.006573240269770;	0.009397204901704;	0.007007491835268;	0.111470499092073;	0.111566838271587;	0.093062031595284;	0.107209931239860;	0.033409030012760;	0.033906376490842;	0.039016092847266;	0.031602287123474;	0.035653753760794;	0.008208121046397;	0.000746140035509;	0.000808382581323;	0.000981718822876;	0.001017896385522;	0.001270348127855;	0.001760620040180;	0.001552134209214;	0.001635679910264;	0.002731431299663;	0.003672598780061;	0.003411978568979;	0.004112931023652;	0.005748926894258;	0.007144807234163;	0.010015390548611;	0.010577011115582;	0.010726300663415;	0.013678768298764;	0.018212407221720;	0.022578711897073;	0.028734468488814;	0.034587229781111;	0.040416950252797;	0.046741416380188;	0.052258614437400;	0.053872839207250;	0.060044378637299;	0.068307750694463;	0.078366396364334;	0.090348807858402;	0.100853842955731;	0.114171457118631;	0.125093489890680;	0.136068057808219;	0.149000700008625;	0.163683891693502;	0.179254100491266;	0.194822699992959;	0.211126477926700;	0.226396831975285;	0.241855131878365;	0.259186498378805;	0.271683476928025;	0.287736266974742;	0.304541122281423;	0.320163227947647;	0.334438433513147;	0.350540460968564;	0.361986973864044;	0.378157861530629;	0.395614113929658;	0.411901550419425;	0.429462442653270;	0.446580935040521;	0.463591778764060;	0.481181957819038;	0.497128957342807;	0.520511971195479;	0.545611084687343;	0.580527059727136;	0.610402767137794;	0.810013714980537;	0.000000084376945
0.717802395464939;	0.244966827490233;	0.001016289092890;	0.000296346036119;	0.009462898155882;	0.012229187322698;	0.008549126361749;	0.114075313741497;	0.118474239969142;	0.099927320688605;	0.109671489062370;	0.034643705608352;	0.036671578924018;	0.044677806938855;	0.044784310825123;	0.051443969639271;	0.043694893916782;	0.018239250150461;	0.019198878721329;	0.001570525151905;	0.001617543389104;	0.002051722172096;	0.002800968354116;	0.002458591595650;	0.002497141438132;	0.004025815023178;	0.005304179097564;	0.004904362696787;	0.005802937522033;	0.007936627462379;	0.009729094485959;	0.013394295589077;	0.014012995935381;	0.014063744112834;	0.017665995392755;	0.023107591082251;	0.028250829232268;	0.035430157685194;	0.042203814529619;	0.048915379704499;	0.056144322480843;	0.062375888284501;	0.063784129525838;	0.070370467018264;	0.079317405458424;	0.090130304508664;	0.102916173282895;	0.114004899099317;	0.127939213934379;	0.139269079641090;	0.150595514929370;	0.163879295812215;	0.178926794838118;	0.194815046637249;	0.210667037984130;	0.227236001579047;	0.242700642671749;	0.258324780945059;	0.275601853080858;	0.288048746653198;	0.304164546938537;	0.320998512652472;	0.336643573029643;	0.350940234867071;	0.366991661922332;	0.378224124435013;	0.394274373964643;	0.411601691429072;	0.427765895488697;	0.445156500333132;	0.462062252308600;	0.478863472555956;	0.496226666824685;	0.511959026716968;	0.534947739823579;	0.559544607276287;	0.593868771018360;	0.622771410163250;	0.815721292330309;	0.000000325893807
