0.723416864107195;	0.310006699469207;	0.000000263970715;	0.000000090456789;	0.000050770337934;	0.000029535270522;	0.000006928574404;	0.005887996540660;	0.006301831921357;	0.005476609199058;	0.008651631420508;	0.000095154246906;	0.000039539853512;	0.000038188851973;	0.000042643493459;	0.000065746127109;	0.000159378901561;	0.000185801854943;	0.000232418274520;	0.000301176157082;	0.000312714990790;	0.000530031334131;	0.000785953009054;	0.000695932448487;	0.000838695282994;	0.001647986243316;	0.002396679954486;	0.002234469266606;	0.002908693167845;	0.004422986461293;	0.005740764263192;	0.008496691193097;	0.009209945029363;	0.009642330393963;	0.012879357771159;	0.018153700853099;	0.023421789505393;	0.030998914201288;	0.038072839970136;	0.044765969500139;	0.051887220437739;	0.057959792886429;	0.060369270628800;	0.068680956545238;	0.079141540632358;	0.091763047076570;	0.106877750579082;	0.120013096480686;	0.137058440385917;	0.150357035749994;	0.163422044188657;	0.179529563938662;	0.198074310478693;	0.217617881642524;	0.236695520589024;	0.256468457337369;	0.274855830043140;	0.293384332251723;	0.323681943393404;	0.337936764202247;	0.356964802870545;	0.376912594475174;	0.394371213671023;	0.409830656928033;	0.428094946560019;	0.440619608070907;	0.458961102011210;	0.479023528812451;	0.497677082426617;	0.517403168371008;	0.537255803498955;	0.557207792936887;	0.577662075733264;	0.601237143014800;	0.631898865504627;	0.664192307421796;	0.699521249285731;	0.726809041165175;	0.934585282311713;	0.029532953477379
0.735281068131326;	0.323605702786197;	0.000000925399958;	0.000000315562383;	0.000175146559869;	0.000097240868302;	0.000023322002138;	0.005901712891639;	0.006315859758006;	0.005488388623235;	0.008669092280264;	0.000197449109402;	0.000087092114820;	0.000081302270576;	0.000086777054368;	0.000128298220911;	0.000278416128434;	0.000312648124261;	0.000383166434073;	0.000481314520652;	0.000498154865742;	0.000802148130669;	0.001162688018026;	0.001027807848684;	0.001211564665537;	0.002293926365157;	0.003262675838556;	0.003034987111733;	0.003886480314292;	0.005790476249361;	0.007422849545709;	0.010780860218140;	0.011606167659854;	0.012072199027933;	0.015916013796382;	0.022089369876257;	0.028175502378805;	0.036823641213272;	0.044824471308515;	0.052330349144818;	0.060261725872739;	0.066989136666618;	0.069406269747400;	0.078440329063952;	0.089826380297983;	0.103471016586498;	0.119710128689734;	0.133770535078832;	0.151878558583579;	0.165952932904139;	0.179726581933564;	0.196627027226874;	0.215985884645082;	0.236277452775439;	0.256002035972541;	0.276364954242691;	0.295231466829234;	0.314179524612116;	0.330617273349787;	0.344944185623362;	0.364107979539292;	0.384181398294730;	0.401743892446450;	0.417302227649224;	0.435655184295209;	0.448197600214637;	0.466609610498806;	0.486740274679329;	0.505463191381034;	0.525230273815169;	0.545106371873666;	0.565074542757811;	0.585522785593921;	0.609045443558427;	0.639545307932102;	0.671585169961197;	0.706501806304079;	0.733308400343738;	0.936053523761634;	0.033953855804428
0.753405752112483;	0.339574803088698;	0.000003267206560;	0.000001067567850;	0.000566353333970;	0.000292842158706;	0.000069982636045;	0.005935845131870;	0.006345509089616;	0.005513539381698;	0.008700719052452;	0.000363380040774;	0.000167167757533;	0.000150664545480;	0.000154067961088;	0.000219113796063;	0.000433554206382;	0.000470958825381;	0.000565771319477;	0.000691987300467;	0.000712181863863;	0.001099647170148;	0.001563472595444;	0.001376726320941;	0.001592318474674;	0.002928049310078;	0.004090281534280;	0.003790947628101;	0.004788484385209;	0.007019515910537;	0.008905143195302;	0.012746063589808;	0.013635449157031;	0.014097451325771;	0.018395684369712;	0.025231916236217;	0.031898127197625;	0.041293882960485;	0.049916584836190;	0.057945400989480;	0.066382440311684;	0.073493011576190;	0.075816102210114;	0.085247250974065;	0.097157247219658;	0.111371043782502;	0.128223775473553;	0.142753736996997;	0.161392053544593;	0.175803929109193;	0.189860739788980;	0.207078270346982;	0.226751291742184;	0.247303490112305;	0.267218736812565;	0.287727969981109;	0.306669615994584;	0.325650739889977;	0.345693094782499;	0.359993080351032;	0.379257021412055;	0.399398863632655;	0.416977278520062;	0.432532057702443;	0.450844833624607;	0.463191228834307;	0.481494832034999;	0.501491977769865;	0.520062228892612;	0.539602416584950;	0.559204521883845;	0.578886153325515;	0.599016482659139;	0.622155222735932;	0.652116796512108;	0.683518274382427;	0.717592829009555;	0.743493085078319;	0.938320300337589;	0.037999919332650
0.776068005862708;	0.357503568976892;	0.000011721116838;	0.000003691739847;	0.001873555530398;	0.000908323763200;	0.000217239449182;	0.006031748757073;	0.006417508415527;	0.005576164354187;	0.008768670687119;	0.000689108207246;	0.000331567907891;	0.000288645369605;	0.000282596590230;	0.000386427435139;	0.000693984915380;	0.000728706286823;	0.000857840516482;	0.001021326784646;	0.001046134276484;	0.001545272395385;	0.002154763864160;	0.001891334427830;	0.002144589861346;	0.003824137989848;	0.005243415527969;	0.004844427602266;	0.006032486485798;	0.008693314183085;	0.010910906266933;	0.015378536846118;	0.016347600136528;	0.016798407144092;	0.021682736703827;	0.029366594205837;	0.036774171836821;	0.047121079955335;	0.056541338986809;	0.065248431387279;	0.074346357982188;	0.081968866020346;	0.084179149552354;	0.094130985536644;	0.106734120839541;	0.121703367754669;	0.139373633485124;	0.154549312442616;	0.173923106324683;	0.188845044599197;	0.203351434239461;	0.221063928539498;	0.241229013129386;	0.262210361319522;	0.282472924050065;	0.303279082556303;	0.322432075438665;	0.341575722801319;	0.361397744498626;	0.375611884359583;	0.394921479118542;	0.415077140877965;	0.432622082561561;	0.448129822902362;	0.466361294654847;	0.478479818871474;	0.496653820921047;	0.516508236090648;	0.534933488541683;	0.554269183389421;	0.573630915313770;	0.593059407064130;	0.612899204892610;	0.635667096561656;	0.665076215152986;	0.695793140959738;	0.728953393087658;	0.753862637688499;	0.940609722658312;	0.042853851440614
0.807879002247474;	0.377736249201941;	0.000042484019339;	0.000012924686874;	0.006485654010896;	0.002835589106998;	0.000682909264544;	0.006300165652391;	0.006590766315070;	0.005730240175030;	0.008912164545068;	0.001299274705896;	0.000661984285149;	0.000555464981021;	0.000520677884246;	0.000684418037109;	0.001114863346161;	0.001131424744152;	0.001304832532879;	0.001512517869655;	0.001541916014584;	0.002178260676846;	0.002979587893702;	0.002606931022877;	0.002897520953109;	0.005010448428093;	0.006743885164167;	0.006211250824611;	0.007624534468306;	0.010801320707705;	0.013412208387253;	0.018616749158573;	0.019664332301480;	0.020082195410176;	0.025639622857109;	0.034286772282107;	0.042526988655803;	0.053934081621525;	0.064238210759112;	0.073693559828517;	0.083517670081218;	0.091699697447389;	0.093745297562070;	0.104244711752448;	0.117591331149299;	0.133368194180906;	0.151909220118110;	0.167770704951202;	0.187895734567161;	0.203315880976603;	0.218255719367058;	0.236450837048653;	0.257103408377815;	0.278507164833313;	0.299108477625806;	0.320201512011461;	0.339554641357020;	0.358849519071914;	0.378494609566461;	0.392604016214414;	0.411953333252799;	0.432117100408200;	0.449626047763379;	0.465086461557076;	0.483226967532095;	0.495089931644686;	0.513104913047171;	0.532773467887075;	0.550997827168389;	0.570055089145932;	0.589092214757126;	0.608192167899341;	0.627680043512527;	0.650030222023132;	0.678855924685865;	0.708883728745690;	0.741146436308361;	0.765094434736888;	0.943110827075743;	0.048834431682542
0.851830412796768;	0.400545049376928;	0.000155273023067;	0.000045731593247;	0.006603866458946;	0.009361692721185;	0.002149603471668;	0.007058532696658;	0.007010264178917;	0.006111477490430;	0.009216605182662;	0.002583185411717;	0.001317283819663;	0.001075320326688;	0.000962434615386;	0.001215500911562;	0.001795314081455;	0.001760571084225;	0.001988533206364;	0.002244000235628;	0.002276548940591;	0.003075114368092;	0.004126473243775;	0.003598577433699;	0.003919993057971;	0.006573516551804;	0.008685751244660;	0.007974587505637;	0.009649509147331;	0.013438210896403;	0.016508869015945;	0.022568524872088;	0.023686998983701;	0.024040593137812;	0.030360075449612;	0.040086059793072;	0.049246929936322;	0.061816993172726;	0.073084506104657;	0.083350977326947;	0.093958708383537;	0.102740581228555;	0.104556696961225;	0.115617539714569;	0.129745249236449;	0.146367185128112;	0.165815351943136;	0.182388136920828;	0.203288455162571;	0.219221467895687;	0.234603312936130;	0.253283389960443;	0.274419160697291;	0.296234475743137;	0.317160057441778;	0.338521355640032;	0.358051938144483;	0.377470771832434;	0.396944836510457;	0.410896634229647;	0.430238139229036;	0.450355719884456;	0.467773748382834;	0.483134261094773;	0.501130242846829;	0.512690267211663;	0.530515422087043;	0.549981582717811;	0.568009018512980;	0.586804751804930;	0.605538904760859;	0.624313464849382;	0.643423285145449;	0.665287879881090;	0.693405803211687;	0.722574132747690;	0.753722724023212;	0.776478080791719;	0.945592224136539;	0.054860928522127
0.877663846772139;	0.425899201121605;	0.000571318773726;	0.000163285887415;	0.007000494173326;	0.009718526435398;	0.007242299794275;	0.009181919058582;	0.008033847013546;	0.007063032416131;	0.009864485384380;	0.003435188597284;	0.002715858234980;	0.002063467295401;	0.001785246305481;	0.002166150500849;	0.002895059359201;	0.002742072086795;	0.003032699715763;	0.003332043836723;	0.003363858338860;	0.004343631609108;	0.005717975519499;	0.004969874094307;	0.005305705428238;	0.008628278614866;	0.011192525564401;	0.010243571474733;	0.012217931653575;	0.016726822395176;	0.020330425747622;	0.027374278094688;	0.028547859843624;	0.028793751648029;	0.035967894163116;	0.046890431853896;	0.057058072428545;	0.070889242585292;	0.083193312027079;	0.094325993212934;	0.105765498865675;	0.115177859509032;	0.116681967885356;	0.128302131734205;	0.143232697090085;	0.160718835568225;	0.181089466839691;	0.198379436413689;	0.220054932488646;	0.236496537462966;	0.252311939488543;	0.271459931933276;	0.293051954713775;	0.315244091176165;	0.336455649578508;	0.358042799342423;	0.377707636548804;	0.397207129794441;	0.416518433136676;	0.430268991921821;	0.449571328540895;	0.469613962250133;	0.486917979982671;	0.502155947410560;	0.519966926296257;	0.531154949519598;	0.548701869200171;	0.567846568533494;	0.585528114623434;	0.603883449455438;	0.622122671964865;	0.640403560637796;	0.658999196053035;	0.680276483729340;	0.707629798758651;	0.735933995148963;	0.766009854948415;	0.787646267094859;	0.948030342459371;	0.062649140720363
0.907855672004802;	0.454093637616525;	0.002113825922980;	0.000587568112705;	0.007901322751871;	0.010592261234293;	0.007694072785484;	0.015811172125729;	0.010504676013457;	0.009389308336863;	0.011254409111131;	0.004640555532139;	0.004229057988079;	0.004154556355018;	0.003293795882040;	0.003832014854560;	0.004671902045643;	0.004277758498559;	0.004632286069478;	0.004949505957473;	0.004971285679094;	0.006137712170203;	0.007925133838588;	0.006865136944297;	0.007181107270693;	0.011324089935264;	0.014420557783578;	0.013155621093406;	0.015467138947650;	0.020816092322728;	0.025031411467007;	0.033197043736239;	0.034399301523028;	0.034478980728503;	0.042602084743694;	0.054838033027872;	0.066094030060310;	0.081276307387984;	0.094681114185796;	0.106725034354032;	0.119033040261555;	0.129095635590983;	0.130187132482304;	0.142348126085670;	0.158086983135751;	0.176437177346656;	0.197723480840047;	0.215717033687344;	0.238144494603731;	0.255072352930321;	0.271296342918598;	0.290878386317996;	0.312883819860656;	0.335403469327783;	0.356849327575911;	0.378604979944350;	0.398342220731662;	0.417851193096719;	0.436981012066662;	0.450431959574705;	0.469588839413695;	0.489435788824141;	0.506500658490921;	0.521492908770153;	0.539002445434694;	0.549734332544073;	0.566938909655920;	0.585723616865895;	0.603054973166752;	0.620994086471331;	0.638786108821097;	0.656619019786061;	0.674738905183637;	0.695458644888161;	0.722059331547512;	0.749496457282117;	0.778481867159455;	0.798993751955394;	0.950499540696337;	0.070245445273854
0.928406063096259;	0.485121426514581;	0.007858067663025;	0.002128713660298;	0.010924238968534;	0.012943296185947;	0.008608946409251;	0.016595224842015;	0.017150445013843;	0.015936311813859;	0.014177182202681;	0.006530452800301;	0.006140706874292;	0.005884094621087;	0.006256262863428;	0.006985669599670;	0.007562670193264;	0.006663918672128;	0.007061985805409;	0.007364317572063;	0.007359841452213;	0.008672450330829;	0.010980848264092;	0.009478239857706;	0.009719026130584;	0.014858798031539;	0.018573141288424;	0.016889299413153;	0.019569694664380;	0.025889428908264;	0.030799490403381;	0.040230329157899;	0.041420452740615;	0.041257789037746;	0.050423577923782;	0.064085801671521;	0.076504409891418;	0.093115991199958;	0.107673438482689;	0.120660063680150;	0.133858233117905;	0.144577153849915;	0.145136033881636;	0.157802285756573;	0.174337335634414;	0.193531270059906;	0.215703564409365;	0.234367139074799;	0.257498239907817;	0.274867286830721;	0.291449998876098;	0.311401413015726;	0.333739553629971;	0.356496190098586;	0.378082534985819;	0.399908952903256;	0.419627649227126;	0.439062330146672;	0.457979086052868;	0.471073457279995;	0.490046348261846;	0.509674591744463;	0.526496740173629;	0.541255471148137;	0.558475627097564;	0.568758528123599;	0.585626283912451;	0.604049957915239;	0.621026516979679;	0.638535656514873;	0.655861067223019;	0.673223329222977;	0.690842421299705;	0.710975561018637;	0.736787452614630;	0.763320800897649;	0.791176984220175;	0.810521763100354;	0.953001319907095;	0.080230514809503
0.941703190414580;	0.518938254404019;	0.029312572982097;	0.007759454143896;	0.013019279959028;	0.014276447237849;	0.011417897254160;	0.018172165829233;	0.018458212923657;	0.017207373246683;	0.021187050971193;	0.009962460534141;	0.009303376333091;	0.008062940520746;	0.009033244303617;	0.009492179367699;	0.011878807616692;	0.010494579574191;	0.010891016981729;	0.010917379361188;	0.010843450584566;	0.012274837292757;	0.015235516601757;	0.013108420023125;	0.013149128215736;	0.019486037964730;	0.023903801449448;	0.021664479533582;	0.024748389817999;	0.032180221252802;	0.037871373293006;	0.048714788636045;	0.049833813966847;	0.049326236348385;	0.059626526904302;	0.074822186066891;	0.088468895111677;	0.106574360299944;	0.122322519420912;	0.136268082272739;	0.150361279289837;	0.161727885177707;	0.161613507482025;	0.174733382111042;	0.192036870282486;	0.212035220302204;	0.235043017941317;	0.254328585853668;	0.278099468218382;	0.295857111822137;	0.312747418949318;	0.333012753536672;	0.355627761193409;	0.378568121773179;	0.400250162303416;	0.422108002616702;	0.441780270153691;	0.461116958076893;	0.479796368142332;	0.492502381135000;	0.511264243643157;	0.530643017637417;	0.547193054257698;	0.561690193477842;	0.578585920130525;	0.588383896463489;	0.604879573663019;	0.622904904147078;	0.639493088295124;	0.656537840500812;	0.673364386889617;	0.690224816756022;	0.707311958141562;	0.726824458253949;	0.751805744706918;	0.777391870771277;	0.804072954702925;	0.822248208463422;	0.955537052036993;	0.089827410888873
