0.348040252003735;	0.248081127621889;	0.000000105023464;	0.000000036839803;	0.000002662755759;	0.000001168270185;	0.000000350409064;	0.027266864015492;	0.031014879571469;	0.025319228426930;	0.025995400922582;	0.000004588056665;	0.000002033544313;	0.000001930555999;	0.000002345933169;	0.000003929935815;	0.000010152594207;	0.000012912969119;	0.000017051976050;	0.000024237375759;	0.000026970919497;	0.000047062819721;	0.000075245680691;	0.000073264754726;	0.000095174952803;	0.000195192832168;	0.000316139599914;	0.000313317387856;	0.000411443998059;	0.000653472607092;	0.000883916715180;	0.001396039710498;	0.001624806552090;	0.001778816488880;	0.002418293767894;	0.003514762596720;	0.004642581877947;	0.006376651797551;	0.008060351418232;	0.009842293698316;	0.011903873939304;	0.013962656247750;	0.015389905600868;	0.018077019597061;	0.021147259669690;	0.025178117449552;	0.030088058171153;	0.034440064337991;	0.040642903274691;	0.045980914196552;	0.051439345337875;	0.058077721897892;	0.065811253647434;	0.074873881569968;	0.084067302333669;	0.093555316942804;	0.103265647497937;	0.113466834102708;	0.128740105320192;	0.138602583257731;	0.150580187402057;	0.163056718505873;	0.174988919884655;	0.185921520120658;	0.199452307294872;	0.211035474870540;	0.225081265226732;	0.240173665707651;	0.254640063630695;	0.271525348881625;	0.291565398569280;	0.310276951433897;	0.328424693277594;	0.350949700927278;	0.380605990264456;	0.414772432989853;	0.460858348620575;	0.500491761326461;	0.910054093281593;	0.000000000036361
0.348313864583969;	0.248394636775084;	0.000000120278131;	0.000000042031399;	0.000005531755509;	0.000002729945636;	0.000000728539090;	0.027267180368706;	0.031015203102192;	0.025319500095018;	0.025995803622191;	0.000006947480650;	0.000003130271459;	0.000002924933757;	0.000003363811157;	0.000005372597718;	0.000012897972613;	0.000015838426992;	0.000020528642997;	0.000028391835545;	0.000031247608730;	0.000053338473943;	0.000083934040644;	0.000080918504297;	0.000103774098280;	0.000210089580329;	0.000336111278178;	0.000331778943877;	0.000433993730192;	0.000685009682057;	0.000922709003279;	0.001448717347426;	0.001680068335322;	0.001834854135816;	0.002488325221804;	0.003605527270048;	0.004752212481356;	0.006510982471436;	0.008216058688411;	0.010016744914438;	0.012097008662516;	0.014170893107707;	0.015598319108870;	0.018302092932848;	0.021393676697498;	0.025448130580255;	0.030384003212200;	0.034757343849324;	0.040984691173655;	0.046340593817213;	0.051815368341683;	0.058472032130120;	0.066224339664291;	0.075304218488660;	0.084512559460607;	0.094014180309575;	0.103735560508435;	0.113946422085281;	0.128900050334984;	0.138764190156201;	0.150744923775410;	0.163224350058497;	0.175158944066261;	0.186093820844524;	0.199626646526536;	0.211210214831420;	0.225257617594141;	0.240351572036376;	0.254819539745222;	0.271705723733146;	0.291746244584238;	0.310458074049585;	0.328605548685463;	0.351128996610495;	0.380781219549501;	0.414941313447301;	0.461017347178886;	0.500639110472318;	0.910081768352742;	0.000000000061367
0.348731893376011;	0.248762788038558;	0.000000174286976;	0.000000059374654;	0.000014555716760;	0.000007241603429;	0.000001804807685;	0.027267967590337;	0.031015886916286;	0.025320080143993;	0.025996533027643;	0.000010774655784;	0.000004977104318;	0.000004524719880;	0.000004915779443;	0.000007467110374;	0.000016475948699;	0.000019489546601;	0.000024740012026;	0.000033250496960;	0.000036183586627;	0.000060199501820;	0.000093177038768;	0.000088965306294;	0.000112555077396;	0.000224713802978;	0.000355197604291;	0.000349212926402;	0.000454795762264;	0.000713353831458;	0.000956893710077;	0.001494039003845;	0.001726867733339;	0.001881560545235;	0.002545511493437;	0.003678000933718;	0.004838064074920;	0.006614075868249;	0.008333493934354;	0.010146240409378;	0.012238166015935;	0.014320887074700;	0.015746144311243;	0.018459076097480;	0.021562743438973;	0.025630323715201;	0.030580348121350;	0.034964518053933;	0.041204095482586;	0.046567781947772;	0.052049087101118;	0.058713063884407;	0.066472617010844;	0.075558506719104;	0.084771244862759;	0.094276239936564;	0.103999352560203;	0.114210976108403;	0.129247733957031;	0.139111251180525;	0.151094291487138;	0.163575291398601;	0.175510246440830;	0.186445032808916;	0.199976919197561;	0.211555949807481;	0.225600825989570;	0.240691664471823;	0.255156056814910;	0.272036924784315;	0.292071005480660;	0.310776064197709;	0.328915998293851;	0.351430014214993;	0.381069952070937;	0.415217425293821;	0.461276360700796;	0.500878878719549;	0.910126686515098;	0.000000000181614
0.349254630736971;	0.249176119973138;	0.000000369256349;	0.000000119894434;	0.000044708807896;	0.000021438001719;	0.000005201408278;	0.027270179493744;	0.031017547459459;	0.025321524454052;	0.025998100185804;	0.004842380361498;	0.000008768763772;	0.000007707137636;	0.000007880107231;	0.000011325926703;	0.000022482303294;	0.000025433972782;	0.000031475927092;	0.000040845919921;	0.000043885336187;	0.000070476668685;	0.000106813554748;	0.000100833269603;	0.000125291615202;	0.000245379518964;	0.000381791306954;	0.000373508323998;	0.000483484972814;	0.000751955037384;	0.001003150711739;	0.001554749317240;	0.001789415539097;	0.001943850079305;	0.002621317682506;	0.003773355271089;	0.004950516026049;	0.006748463640813;	0.008486275289223;	0.010314664494062;	0.012421831834815;	0.014516359403542;	0.015939015133268;	0.018663955376613;	0.021783608356735;	0.025868611375665;	0.030837490376785;	0.035236552390256;	0.041497793720982;	0.046881075543419;	0.052380759714420;	0.059063084273401;	0.066838539669850;	0.075938109767870;	0.085162196043375;	0.094677010320726;	0.104407483035561;	0.114625009482878;	0.129636117997491;	0.139499761918166;	0.151486223223311;	0.163969920436109;	0.175906476564228;	0.186842653708248;	0.200375236258008;	0.211951217314133;	0.225995664593664;	0.241085853502094;	0.255549658572168;	0.272428514817723;	0.292459772376404;	0.311161870666178;	0.329298084853515;	0.351806057300571;	0.381435317021346;	0.415568276983832;	0.461606464415790;	0.501185589415045;	0.910184681527119;	0.000000000273940
0.349988454532178;	0.249642569513764;	0.000001078721973;	0.000000332826540;	0.412192571379850;	0.000065891269257;	0.000015942455819;	0.027276370200393;	0.031021543350586;	0.025325077877578;	0.026001409554955;	0.004856453710213;	0.000016389358568;	0.000013865405272;	0.000013390278555;	0.000018250001457;	0.000032322416661;	0.000034895389025;	0.000042008729266;	0.000052495408270;	0.000055680641594;	0.000085625358626;	0.000126681277375;	0.000118112108727;	0.000143541399162;	0.000274363105495;	0.000418692184571;	0.000407217970570;	0.000522951267265;	0.000804551949762;	0.001065888962660;	0.001636556218864;	0.001873531732118;	0.002027418705097;	0.002722559608172;	0.003899995993324;	0.005099337739588;	0.006925694541868;	0.008687483972341;	0.010536469355312;	0.012663819521697;	0.014774166556427;	0.016193458464932;	0.018934102622317;	0.022074912721253;	0.026183090587839;	0.031177164506884;	0.035596525587246;	0.041878920504027;	0.047276168676290;	0.052788692011221;	0.059486065912304;	0.067277699939332;	0.076392200528618;	0.085629309540421;	0.095156124150171;	0.104896459488299;	0.115122823893396;	0.130115355701653;	0.139980302887597;	0.151972487704532;	0.164461415791263;	0.176402341344779;	0.187342984530900;	0.200879263369310;	0.212454462387752;	0.226501660251873;	0.241594540484920;	0.256061407747448;	0.272941981763614;	0.292974778953542;	0.311680125729490;	0.329821215340670;	0.352334215735917;	0.381965903328143;	0.416099237476543;	0.462132531225336;	0.501701920088952;	0.910287140299102;	0.000000000944219
0.356439512701078;	0.250235580488802;	0.000003682435913;	0.000001090651081;	0.412196021280112;	0.577799418502355;	0.000049909401167;	0.027293958603649;	0.031031296168109;	0.025333946260296;	0.026008546360629;	0.005077331490131;	0.004867287470571;	0.000026159148463;	0.000023871621595;	0.000030904217712;	0.000048658122728;	0.000050073711634;	0.000058516159207;	0.000070301004776;	0.000073604033503;	0.000107630608976;	0.000155044893843;	0.000142682690713;	0.000168961202857;	0.000313600312845;	0.000467835083570;	0.000451969949312;	0.000574631427965;	0.000872360785452;	0.001146026343083;	0.001739809951537;	0.001979157494327;	0.002131813264191;	0.002848003696009;	0.004055451445747;	0.005280848826566;	0.007140498967170;	0.008930534868097;	0.010804025755400;	0.012955557226666;	0.015085098160457;	0.016500204162873;	0.019259340572794;	0.022425511426221;	0.026561644380400;	0.031586277713661;	0.036030765078026;	0.042339985777603;	0.047755631395419;	0.053284768268826;	0.060000950371313;	0.067812697940087;	0.076945993457753;	0.086199930614393;	0.095742649859992;	0.105496588391529;	0.115735618030391;	0.130736141885770;	0.140660277002140;	0.152719868742441;	0.165267136518412;	0.177263848682845;	0.188259417645530;	0.201848508752957;	0.213466968475397;	0.227563782664090;	0.242706340670984;	0.257223877296740;	0.274151530670089;	0.294226206633153;	0.312964926389973;	0.331127764824575;	0.353644651962094;	0.383254143285951;	0.417344416981218;	0.463304697299904;	0.502780734096582;	0.910490347525570;	0.000000001433398
0.357886642759795;	0.250891298477355;	0.000013299882726;	0.000003811606151;	0.412235271572421;	0.577827097296976;	0.446454763100480;	0.027343396942526;	0.031055176897144;	0.025356165167344;	0.026023802252513;	0.005151596315703;	0.005054055012488;	0.005891397007610;	0.000043513252140;	0.000053745038017;	0.000075339030764;	0.000074067059342;	0.000084073870230;	0.000097278135607;	0.000100669786652;	0.000139443754988;	0.000195460442748;	0.000177593138654;	0.000206131393256;	0.000374560523782;	0.000548882208101;	0.000528597399791;	0.000665875129634;	0.000995860697527;	0.001295939192997;	0.001938548363971;	0.002187589156002;	0.002342524629296;	0.003107298211140;	0.004385994974161;	0.005676893912601;	0.007621946496250;	0.009488052179381;	0.011431060724703;	0.013653523765097;	0.015843799687862;	0.017264334107872;	0.020085409239850;	0.023331027292120;	0.027556192582370;	0.032679112815019;	0.037208038625683;	0.043616827773719;	0.049114066120110;	0.054721174946494;	0.061521698959934;	0.069418941458356;	0.078634290299493;	0.087963404460985;	0.097577455377644;	0.107395440168735;	0.117695163206055;	0.132445469569988;	0.142347193840501;	0.154398141541270;	0.166944252214217;	0.178938835282076;	0.189933085437470;	0.203517450763956;	0.215113143262441;	0.229196388440647;	0.244322198356547;	0.258820170038614;	0.275720729906995;	0.295766459366411;	0.314483801877899;	0.332632183812153;	0.355135131323035;	0.384723058291251;	0.418786600037549;	0.464703551842289;	0.504119369587665;	0.910752647118535;	0.000000005021893
0.362640828741054;	0.252473215513180;	0.000049128865474;	0.000013694015244;	0.412274822164675;	0.577887951318619;	0.446504958541128;	0.600597148016105;	0.031113913869564;	0.025411534243975;	0.026057722709679;	0.007554968699596;	0.005226915315369;	0.006223578348245;	0.006119278453740;	0.006685582490741;	0.000127736356442;	0.000121772508489;	0.000135569564783;	0.000152464115192;	0.000156939628192;	0.000207283423761;	0.000283599927245;	0.000255501769916;	0.000285861852492;	0.000493491420634;	0.000695447112377;	0.000661463119216;	0.000817405835170;	0.001193158095927;	0.001528271127825;	0.002237331542347;	0.002494108128967;	0.002645327158758;	0.003469101754341;	0.004831398375118;	0.006193514689464;	0.008229954053949;	0.010172672755445;	0.012182254648059;	0.014470641589867;	0.016713498742516;	0.018121053781135;	0.020989941876592;	0.024301448451342;	0.028600323171624;	0.033804047061323;	0.038398980156834;	0.044879954021728;	0.050428022391826;	0.056082065019455;	0.062935749624540;	0.070890287138396;	0.080161292805447;	0.089541883554360;	0.099205360023966;	0.109067353721923;	0.119410085436980;	0.134164591508196;	0.144138557268210;	0.156278550669253;	0.168901572326583;	0.180967291688331;	0.192029871769488;	0.205677122192158;	0.217315393566578;	0.231452548304852;	0.246629112798176;	0.261175806424106;	0.278114314386683;	0.298188117953444;	0.316922459704074;	0.335073744708490;	0.357556938541574;	0.387090643965842;	0.421076215082601;	0.466878551685826;	0.506149836598133;	0.911144427679298;	0.000000007559592
0.370320257262712;	0.254393624084782;	0.000184375309251;	0.000050149126731;	0.628828107259848;	0.747381404626936;	0.446561903277003;	0.600678627055316;	0.582654571702164;	0.570175976837247;	0.026131190324071;	0.007734878600423;	0.007801099876823;	0.006446704552518;	0.006543104558933;	0.007182730073418;	0.006829095386312;	0.000197060723288;	0.000214137855116;	0.000234582434545;	0.000239668165381;	0.000299516910424;	0.000399360948138;	0.000356298440934;	0.000387320639437;	0.000643787499158;	0.000882381645530;	0.000833527780593;	0.001013456628536;	0.001447675622926;	0.001829104664376;	0.002624950893719;	0.002895393123091;	0.003045488477306;	0.003951433353244;	0.005432559701929;	0.006902022196334;	0.009078807435129;	0.011147246649363;	0.013273887461525;	0.015683204404243;	0.018031509120031;	0.019446577530612;	0.022415849783804;	0.025857495646247;	0.030303430824566;	0.035669027020132;	0.040402593137778;	0.047043012127060;	0.052719058113292;	0.058493316555871;	0.065473991234033;	0.073555055141390;	0.082946085478050;	0.092433255230119;	0.102193537750861;	0.112138352867457;	0.122554658807652;	0.137079667174114;	0.147050983843124;	0.159214557829108;	0.171864787744089;	0.183957745618920;	0.195050945287850;	0.208726677384046;	0.220368292055013;	0.234529307385450;	0.249729859042529;	0.264302438743646;	0.281258572644537;	0.301347103141220;	0.320094000772857;	0.338250435364896;	0.360718595246909;	0.390198928679695;	0.424103352697890;	0.469778448249035;	0.508875407462542;	0.911676796629231;	0.000000027075033
0.376338596839357;	0.257516968868185;	0.000698329359489;	0.000185922846049;	0.628921765854727;	0.785840254487780;	0.665831381887298;	0.671041875679432;	0.582751980946150;	0.570275391755835;	0.577920637325474;	0.008514864029222;	0.008032973782086;	0.009556511921035;	0.008852406975743;	0.010019166296267;	0.007387126973356;	0.006866071057204;	0.006715520375224;	0.000365057287422;	0.000371398563045;	0.000446571661545;	0.000583992607888;	0.000519301615768;	0.000549969744039;	0.000880405635033;	0.001174133971776;	0.001101325258415;	0.001315286902645;	0.001835009144317;	0.002282553932392;	0.003202515006642;	0.003488690842926;	0.003630556568449;	0.004644597548299;	0.006278811681236;	0.007879031596307;	0.010224632797156;	0.012437328878916;	0.014693919580321;	0.017235229988435;	0.019694691592649;	0.021095639610628;	0.024162390493362;	0.027736686114045;	0.032334110886021;	0.037867118023054;	0.042742602087041;	0.049545282476966;	0.055350126550305;	0.061248161061682;	0.068364145435617;	0.076586564800243;	0.086118072870525;	0.095736421700643;	0.105621306985537;	0.115680400673684;	0.126205431340693;	0.140621630012867;	0.150652957815775;	0.162903386860588;	0.175631075460371;	0.187795269909265;	0.198957995356222;	0.212695887401483;	0.224363820387479;	0.238572672226767;	0.253817637539841;	0.268434314182083;	0.285421417147090;	0.305535800100395;	0.324300689859624;	0.342461902715196;	0.364907713148775;	0.394315308058642;	0.428111307895752;	0.473620746579770;	0.512484153351009;	0.912386809736332;	0.000000040396817
0.386263352366416;	0.261843301939095;	0.018155659652393;	0.000696359939777;	0.722453056955000;	0.834508729687089;	0.665909265331017;	0.809601150947103;	0.777558698396968;	0.770756287090487;	0.578058813088701;	0.469109160196457;	0.444815641748983;	0.009811109312436;	0.010368784514266;	0.011613847595173;	0.011638989802889;	0.007503460626255;	0.007350984881720;	0.006797522291643;	0.006755863552689;	0.000662275841932;	0.000848052048590;	0.000750146297929;	0.000781733558006;	0.001206914816932;	0.001571139408374;	0.001466075412395;	0.001719796706250;	0.002347423039188;	0.002879336763636;	0.003957201887917;	0.004265274800385;	0.004397789565200;	0.005551737534912;	0.007384965249536;	0.009158431959845;	0.011728835193218;	0.014137874713799;	0.016575201057542;	0.019301588882476;	0.021920609121755;	0.023312691793659;	0.026513728732716;	0.030266437207049;	0.035067483426785;	0.040823065160255;	0.045885239837589;	0.052902258998323;	0.058876523950952;	0.064933831988117;	0.072219130814246;	0.080613502666647;	0.090314520615289;	0.100087382553534;	0.110115076542630;	0.120303826666866;	0.130950539525328;	0.145222679186334;	0.155310668805533;	0.167655639195677;	0.180469984154341;	0.192716626164531;	0.203961865413831;	0.217774871714357;	0.229473795285562;	0.243740064989326;	0.259038016089131;	0.273707453189927;	0.290731667243627;	0.310880147219957;	0.329667535070256;	0.347833268927722;	0.370250672039784;	0.399567248154840;	0.433228516372922;	0.478535509835781;	0.517098867040651;	0.913303442737056;	0.000000148064636
