0.348029412319871;	0.248277220666432;	0.000000105026862;	0.000000036840848;	0.000002662814191;	0.000001168290200;	0.000000350415708;	0.027267081028161;	0.031015062337700;	0.025319259954687;	0.025995332663583;	0.000004588187816;	0.000002033580079;	0.000001930601122;	0.000002345974948;	0.000003929998317;	0.000010152723238;	0.000012913110745;	0.000017052122016;	0.000024237559205;	0.000026971089248;	0.000047063076439;	0.000075246041906;	0.000073265062872;	0.000095175338808;	0.000195193559596;	0.000316140697496;	0.000313318374483;	0.000411445179190;	0.000653474290645;	0.000883918792776;	0.001396042573081;	0.001624809440590;	0.001778819022491;	0.002418296281800;	0.003514764977156;	0.004642583615744;	0.006376652629562;	0.008060350943919;	0.009842291489023;	0.011903869470668;	0.013962648901401;	0.015389894594213;	0.018077005189459;	0.021147242042265;	0.025178096147223;	0.030088034066479;	0.034440040719409;	0.040642882758298;	0.045980900741335;	0.051439346684144;	0.058077751206371;	0.065811330250764;	0.074874030988747;	0.084067562952560;	0.093555743987477;	0.103266323116359;	0.113467871505355;	0.128741692998723;	0.138604994160666;	0.150583739556678;	0.163061882513624;	0.174996409934558;	0.185932438195559;	0.199468191643534;	0.211058915673477;	0.225115549945837;	0.240222438955072;	0.254711532758465;	0.271630948819577;	0.291721469778591;	0.310498736279561;	0.328730415548488;	0.351492503683131;	0.381344545155576;	0.415816828999824;	0.462135442949830;	0.502285817337375;	0.914506092143598;	0.000000000063659
0.348303014259418;	0.248590713582329;	0.000000120281837;	0.000000042032540;	0.000005531950995;	0.000002730021985;	0.000000728561111;	0.027267397388484;	0.031015385874137;	0.025319531626615;	0.025995735368329;	0.000006947675555;	0.000003130326275;	0.000002925002226;	0.000003363871570;	0.000005372683913;	0.000012898137890;	0.000015838602114;	0.000020528820674;	0.000028392051533;	0.000031247805833;	0.000053338763381;	0.000083934438309;	0.000080918838342;	0.000103774510543;	0.000210090344846;	0.000336112416895;	0.000331779962475;	0.000433994944283;	0.000685011400984;	0.000922711114169;	0.001448720241864;	0.001680071249634;	0.001834856687935;	0.002488327750144;	0.003605529660049;	0.004752214222866;	0.006510983301239;	0.008216058206670;	0.010016742693598;	0.012097004179147;	0.014170885745297;	0.015598308086605;	0.018302078513323;	0.021393659063774;	0.025448109281065;	0.030383979124963;	0.034757320266853;	0.040984670721030;	0.046340580453087;	0.051815369813328;	0.058472061608510;	0.066224416488608;	0.075304368176450;	0.084512820391997;	0.094014607695989;	0.103736236478737;	0.113947459804065;	0.128901638068587;	0.138766601071887;	0.150748475804703;	0.163229513692923;	0.175166433352202;	0.186104737553569;	0.199642528490755;	0.211233651764672;	0.225291895898984;	0.240400335043258;	0.254890992489354;	0.271811297428520;	0.291902274379789;	0.310679796155890;	0.328911179441907;	0.351671627102419;	0.381519527165463;	0.415985344615998;	0.462293992335275;	0.502432583010899;	0.914532383723663;	0.000000000106126
0.348721036912577;	0.248958846082697;	0.000000174291581;	0.000000059376066;	0.000014556316367;	0.000007241831394;	0.000001804871080;	0.027268184626264;	0.031016069699103;	0.025320111682867;	0.025996464782044;	0.000010774948928;	0.000004977189257;	0.000004524824309;	0.000004915866891;	0.000007467229272;	0.000016476158769;	0.000019489761371;	0.000024740226029;	0.000033250748945;	0.000036183813487;	0.000060199824931;	0.000093177472817;	0.000088965665772;	0.000112555514776;	0.000224714601599;	0.000355198779834;	0.000349213973271;	0.000454797004928;	0.000713355580249;	0.000956895848469;	0.001494041923871;	0.001726870668048;	0.001881563111698;	0.002545514032657;	0.003678003330641;	0.004838065818873;	0.006614076696145;	0.008333493447046;	0.010146238180227;	0.012238161522267;	0.014320879701344;	0.015746133278592;	0.018459061670281;	0.021562725801421;	0.025630302418311;	0.030580324045329;	0.034964494493918;	0.041204075068526;	0.046567768637498;	0.052049088645218;	0.058713093458599;	0.066472693956490;	0.075558656550300;	0.084771505955110;	0.094276667491191;	0.104000028692894;	0.114212013956370;	0.129249321760143;	0.139113662057947;	0.151097843166405;	0.163580454145093;	0.175517734013277;	0.186455946557370;	0.199992796146640;	0.211579378791579;	0.225635091432726;	0.240740407432329;	0.255227478194488;	0.272142449407533;	0.292226959730658;	0.310997674678661;	0.329221470231980;	0.351972352702484;	0.381807849836883;	0.416260858293085;	0.462552274779786;	0.502671404615762;	0.914575058926375;	0.000000000299187
0.349243782158672;	0.249372157293354;	0.000000369263512;	0.000000119896600;	0.000044710669073;	0.000021438672168;	0.000005201594796;	0.027270396570805;	0.031017730265811;	0.025321556008799;	0.025998031955785;	0.004842486727675;	0.000008768906689;	0.000007707310542;	0.000007880243796;	0.000011326102863;	0.000022482584642;	0.000025434248765;	0.000031476196027;	0.000040846225128;	0.000043885606810;	0.000070477039280;	0.000106814039164;	0.000100833664108;	0.000125292086716;	0.000245380362747;	0.000381792530595;	0.000373509407783;	0.000483486252547;	0.000751956824425;	0.001003152885060;	0.001554752269307;	0.001789418499281;	0.001943852663580;	0.002621320235045;	0.003773357676256;	0.004950517772640;	0.006748464465959;	0.008486274794694;	0.010314662254381;	0.012421827328261;	0.014516352016613;	0.015939004087831;	0.018663940940113;	0.021783590714727;	0.025868590081974;	0.030837466315040;	0.035236528858434;	0.041497773355921;	0.046881062303553;	0.052380761355922;	0.059063113979057;	0.066838616783597;	0.075938259798828;	0.085162457360266;	0.094677438108323;	0.104408159388023;	0.114626047492697;	0.129637705809454;	0.139502172663729;	0.151489774396382;	0.163975082040727;	0.175913962020288;	0.186853563860799;	0.200391107189939;	0.211974636800608;	0.226029914719410;	0.241134572609829;	0.255621042492138;	0.272533980493673;	0.292615635209044;	0.311383344853428;	0.329603360777488;	0.352348029186869;	0.382172695009360;	0.416610955214973;	0.462881453152692;	0.502976909885994;	0.914630166661540;	0.000000000448488
0.349977634493405;	0.249838583826078;	0.000001078735954;	0.000000332830690;	0.412208579627056;	0.000065893217345;	0.000015943008073;	0.027276587380680;	0.031021726206667;	0.025325109465838;	0.026001341353240;	0.004856560400254;	0.000016389610199;	0.000013865704759;	0.000013390501807;	0.000018250275190;	0.000032322808805;	0.000034895757610;	0.000042009079675;	0.000052495791079;	0.000055680975785;	0.000085625795666;	0.000126681831363;	0.000118112551406;	0.000143541917076;	0.000274364009550;	0.000418693471851;	0.000407219103222;	0.000522952595889;	0.000804553786910;	0.001065891181581;	0.001636559212529;	0.001873534725393;	0.002027421312502;	0.002722562177967;	0.003899998409157;	0.005099339489642;	0.006925695363583;	0.008687483468663;	0.010536467102236;	0.012663814998742;	0.014774159152233;	0.016193447403252;	0.018934088174087;	0.022074895073734;	0.026183069298441;	0.031177140463594;	0.035596502091644;	0.041878900200195;	0.047276155521231;	0.052788693766175;	0.059486095767088;	0.067277777240856;	0.076392350779717;	0.085629571100893;	0.095156552184248;	0.104897136062785;	0.115123862045642;	0.130116943459385;	0.139982713387461;	0.151976038147812;	0.164466575851650;	0.176409824005611;	0.187353889976463;	0.200895126472009;	0.212477869524209;	0.226535890450448;	0.241643228504885;	0.256132742572082;	0.273047369633017;	0.293130520181962;	0.311901416605183;	0.330126223306910;	0.352875672181045;	0.382702527718428;	0.417140792756326;	0.463406070186435;	0.503491216676068;	0.914727371003869;	0.000000001468745
0.356429504255062;	0.250431565748837;	0.000003682466022;	0.000001090660009;	0.412212029679465;	0.577814785522991;	0.000049911037318;	0.027294176044170;	0.031031479129251;	0.025333977918862;	0.026008478210701;	0.005077443389814;	0.004867340294968;	0.000026159690206;	0.000023872001752;	0.000030904660928;	0.000048658689206;	0.000050074221053;	0.000058516630186;	0.000070301499666;	0.000073604458592;	0.000107631136726;	0.000155045540840;	0.000142683197171;	0.000168961781190;	0.000313601293295;	0.000467836450297;	0.000451971142771;	0.000574632816915;	0.000872362683575;	0.001146028616987;	0.001739812994720;	0.001979160526884;	0.002131815898930;	0.002848006286022;	0.004055453873935;	0.005280850580557;	0.007140499784843;	0.008930534353803;	0.010804023486833;	0.012955552684793;	0.015085090736408;	0.016500193082563;	0.019259326111251;	0.022425493772608;	0.026561623096250;	0.031586253691972;	0.036030741624491;	0.042339965544686;	0.047755618338609;	0.053284770155020;	0.060000980397931;	0.067812775456873;	0.076946143959677;	0.086200192450017;	0.095743078167675;	0.105497265203406;	0.115736656315309;	0.130737729533924;	0.140662687145929;	0.152723418105415;	0.165272294152694;	0.177271326683953;	0.188270314804114;	0.201864357340945;	0.213490351639904;	0.227597972450798;	0.242754963022965;	0.257295104357896;	0.274256741266023;	0.294381661997227;	0.313185777364870;	0.331432123527919;	0.354184847864496;	0.383988956321035;	0.418383390634623;	0.464575038235087;	0.504565839568235;	0.914920330426413;	0.000000002219778
0.357876679440771;	0.251087252212919;	0.000013299939978;	0.000003811624086;	0.412251282241465;	0.577842465018116;	0.446468129658231;	0.027343615021210;	0.031055360074526;	0.025356196967634;	0.026023734192216;	0.005151709949253;	0.005054110182813;	0.005891500704527;	0.000043513910008;	0.000053745769970;	0.000075339865380;	0.000074067778815;	0.000084074516750;	0.000097278790613;	0.000100670340727;	0.000139444406006;	0.000195461214094;	0.000177593729664;	0.000206132055810;	0.000374561621315;	0.000548883708297;	0.000528598701334;	0.000665876631315;	0.000995862716722;	0.001295941583227;	0.001938551520637;	0.002187592283519;	0.002342527334305;	0.003107300857831;	0.004385997442443;	0.005676895686369;	0.007621947313474;	0.009488051646793;	0.011431058423424;	0.013653519179370;	0.015843792214802;	0.017264322978928;	0.020085394741886;	0.023331009620662;	0.027556171311583;	0.032679088853950;	0.037208015294125;	0.043616807753806;	0.049114053368094;	0.054721177252909;	0.061521729554396;	0.069419019708255;	0.078634441684585;	0.087963667304830;	0.097577884749583;	0.107396118006385;	0.117696202274300;	0.132447057191383;	0.142349603331350;	0.154401688661108;	0.166949404974296;	0.178946304420020;	0.189943967686770;	0.203533274616856;	0.215136487661653;	0.229230516143077;	0.244370724956582;	0.258891247390809;	0.275825706157754;	0.295921555071260;	0.314704121034081;	0.332935779599142;	0.355673870445314;	0.385455787788604;	0.419822559591043;	0.465970077922121;	0.505899304534498;	0.915169337154705;	0.000000007383443
0.362631041447606;	0.252669090337480;	0.000049128906088;	0.000013694037133;	0.412290833938920;	0.577903320161199;	0.446518326586101;	0.600603797556747;	0.031114097479745;	0.025411566316901;	0.026057654807144;	0.007555131319990;	0.005226972788225;	0.006223688471746;	0.006119356193132;	0.006685647151817;	0.000127737693548;	0.000121773628138;	0.000135570549873;	0.000152465086369;	0.000156940442229;	0.000207284332949;	0.000283600969393;	0.000255502553367;	0.000285862698491;	0.000493492746111;	0.000695448850975;	0.000661464604842;	0.000817407520314;	0.001193160304709;	0.001528273695126;	0.002237334867046;	0.002494111393877;	0.002645329962982;	0.003469104478624;	0.004831400896338;	0.006193516488788;	0.008229954871530;	0.010172672202520;	0.012182252310801;	0.014470636957075;	0.016713491218337;	0.018121042602917;	0.020989927343421;	0.024301430764044;	0.028600301915531;	0.033804023158976;	0.038398956938621;	0.044879934192101;	0.050428009903192;	0.056082067677526;	0.062935780678940;	0.070890365964274;	0.080161444863254;	0.089542147139180;	0.099205790134444;	0.109068032199149;	0.119411124855761;	0.134166178789603;	0.144140965713564;	0.156282094872085;	0.168906718887343;	0.180974749375724;	0.192040734260076;	0.205692912515904;	0.217338684044413;	0.231486587623265;	0.246677499872794;	0.261246660332352;	0.278218932159068;	0.298342649876684;	0.317141930798753;	0.335376113887470;	0.358093322106459;	0.387820029575671;	0.422107429939176;	0.468139183188645;	0.507921991506339;	0.915541330803485;	0.000000011057277
0.370310973876523;	0.254589405207492;	0.000184374854909;	0.000050149059743;	0.628846021218927;	0.747394091423338;	0.446575272290871;	0.600685277394318;	0.582657922303850;	0.570177734020402;	0.026131122667922;	0.007735044715142;	0.007801179886810;	0.006446819034736;	0.006543188340914;	0.007182800390391;	0.006829145493747;	0.000197062422435;	0.000214139309856;	0.000234583833586;	0.000239669323925;	0.000299518133829;	0.000399362305809;	0.000356299441998;	0.000387321691721;	0.000643789083401;	0.000882383662041;	0.000833529486320;	0.001013458536884;	0.001447678065702;	0.001829107455214;	0.002624954436441;	0.002895396571722;	0.003045491418708;	0.003951436189567;	0.005432562305025;	0.006902024041190;	0.009078808263230;	0.011147246076330;	0.013273885079086;	0.015683199706903;	0.018031501521622;	0.019446566277059;	0.022415835194844;	0.025857477932798;	0.030303409592168;	0.035669003216787;	0.040402570115079;	0.047042992634235;	0.052719046102045;	0.058493319864763;	0.065474023154467;	0.073555135064865;	0.082946238829662;	0.092433520248435;	0.102193969299028;	0.112139032604187;	0.122555698951689;	0.137081253807188;	0.147053390385628;	0.159218097117961;	0.171869924422271;	0.183965185798068;	0.195061778523772;	0.208742419393887;	0.220391506476474;	0.234563224406050;	0.249778056347430;	0.264372992655944;	0.281362714435002;	0.301500892782636;	0.320312361067126;	0.338551202164355;	0.361251891754908;	0.390923922087611;	0.425128307585851;	0.471031256476632;	0.510637208857049;	0.916046801006621;	0.000000037614401
0.376329492685423;	0.257712658774186;	0.000698325386946;	0.000185922063653;	0.628939681217743;	0.785852332998811;	0.665845418619229;	0.671048082053305;	0.582755332014213;	0.570277149319951;	0.577921216461078;	0.008515043784854;	0.008033056099622;	0.009556673694726;	0.008852515330361;	0.010019259058989;	0.007387182081551;	0.006866107711222;	0.006715544680726;	0.000365059310660;	0.000371400224509;	0.000446573347070;	0.000583994433556;	0.000519302946913;	0.000549971112955;	0.000880407615531;	0.001174136417629;	0.001101327306091;	0.001315289157280;	0.001835011951761;	0.002282557074490;	0.003202518895387;	0.003488694582563;	0.003630559726148;	0.004644600560027;	0.006278814412006;	0.007879033514007;	0.010224633648423;	0.012437328287831;	0.014693917147580;	0.017235225217325;	0.019694683909602;	0.021095628271738;	0.024162375843311;	0.027736668374202;	0.032334089683367;	0.037867094331764;	0.042742579278806;	0.049545263344760;	0.055350115042049;	0.061248165046638;	0.068364178242942;	0.076586645832431;	0.086118227509835;	0.095736688116142;	0.105621739876375;	0.115681081473596;	0.126206471838621;	0.140623215337570;	0.150655361379063;	0.162906919223980;	0.175636198664166;	0.187802686478091;	0.198968789264573;	0.212711564652628;	0.224386932881297;	0.238606425619886;	0.253865581504019;	0.268504468027166;	0.285524924914899;	0.305688601772968;	0.324517574410087;	0.342760547348815;	0.365436917104413;	0.395034494799116;	0.429128015311843;	0.474863254533391;	0.514232383720916;	0.916720905343123;	0.000000055817810
0.386254621888213;	0.262038828920222;	0.018155424112462;	0.000696355011147;	0.722468962471766;	0.834517963954499;	0.665923302037340;	0.809606482124054;	0.777561581881630;	0.770757805927302;	0.578059392673284;	0.469110295424756;	0.444816976147543;	0.009811274662789;	0.010368908863154;	0.011613953341950;	0.011639068921837;	0.007503501753325;	0.007351012351423;	0.006797538235254;	0.006755871971839;	0.000662278131221;	0.000848054468109;	0.000750148042158;	0.000781735329159;	0.001206917290778;	0.001571142389596;	0.001466077890493;	0.001719799398142;	0.002347426309190;	0.002879340357668;	0.003957206229746;	0.004265278928474;	0.004397793017233;	0.005551740790624;	0.007384968163909;	0.009158433989268;	0.011728836090582;	0.014137874113421;	0.016575198571028;	0.019301584024674;	0.021920601335257;	0.023312680347246;	0.026513714006014;	0.030266419435666;	0.035067462266056;	0.040823041618676;	0.045885217312056;	0.052902240337879;	0.058876513097153;	0.064933836846450;	0.072219164755669;	0.080613585097173;	0.090314676851046;	0.100087650658802;	0.110115510986417;	0.120304508572167;	0.130951580107052;	0.145224262330544;	0.155313067878732;	0.167659161818078;	0.180475089028878;	0.192724011187439;	0.203972607316439;	0.217790464063738;	0.229496774804009;	0.243773606043381;	0.259085633002887;	0.273777092252595;	0.290834361521871;	0.311031683552158;	0.329882533746327;	0.348129210329603;	0.370774655798676;	0.400279045395705;	0.434234749024368;	0.479764935220135;	0.518829952435870;	0.917591133150646;	0.000000194316317
