0.137761818892762;	0.004699785047785;	0.004475205238680;	0.004290233550916;	0.003939068225468;	0.011794834750053;	0.019067702415802;	0.015112264502875;	0.020167931138382;	0.023996622673767;	0.034800567118788;	0.002192290956428;	0.001974862601629;	0.001770587933862;	0.001595697999312;	0.001396992917891;	0.001216163930998;	0.001110895862400;	0.000967067677076;	0.000849131017443;	0.000757343201931;	0.000657120938677;	0.000579109290638;	0.000516365462238;	0.000463806411941;	0.000415567204385;	0.000381255839379;	0.000356258118857;	0.000331354421105;	0.000313090980399;	0.000305052336836;	0.000295599756443;	0.000282927009380;	0.000276101545086;	0.000273947443713;	0.000273326755799;	0.000267078551995;	0.000253550228996;	0.000245970650752;	0.000238983033484;	0.000234466261330;	0.000219818766833;	0.000198399845620;	0.000185061593976;	0.000167643971035;	0.000142542807380;	0.000115470964468;	0.000132265664873;	0.000266291900220;	0.000006648791549
0.143155662477546;	0.006212322500933;	0.005880237782331;	0.005582444484571;	0.005097394687793;	0.013067389474017;	0.020218366723103;	0.016160567000588;	0.021145551202856;	0.024970750567225;	0.035714324155054;	0.003138114893978;	0.002883568870811;	0.002688959897453;	0.002463645412719;	0.002325949708990;	0.002216327801265;	0.002036241804222;	0.001946292134173;	0.001892529018900;	0.001760270994829;	0.001718593423669;	0.001724207293880;	0.001739144470619;	0.001647135378038;	0.001669435328980;	0.001750070910979;	0.001865609570943;	0.001764826664751;	0.001841299236246;	0.002015331926415;	0.002163268642826;	0.002246980357662;	0.002349102101176;	0.002447982236805;	0.002484378059449;	0.002550932441087;	0.002659774854528;	0.002916039740767;	0.003212183677730;	0.003701319726630;	0.003814075347481;	0.003922606287198;	0.004297706966928;	0.004489011865050;	0.004945416078784;	0.005928514545291;	0.010407713968767;	0.016358244370916;	0.013454065125225
0.144858252110624;	0.006803354120495;	0.009494037424543;	0.006054195314784;	0.005526497074545;	0.013511577035373;	0.020616759612900;	0.016538890352469;	0.021496338445378;	0.025318235737018;	0.036038090419717;	0.003580036041145;	0.003200576277186;	0.003008014073297;	0.002764210477868;	0.002641305881877;	0.002552192953564;	0.002349378562010;	0.002271687320243;	0.002236930892954;	0.002091079747241;	0.002063361750184;	0.002092982314852;	0.002129924693782;	0.002022433905826;	0.002064774874394;	0.002176436557645;	0.002330925857180;	0.002206600574840;	0.002310693933897;	0.002531489819388;	0.002720416807632;	0.002834703574269;	0.002971424179128;	0.003097384740438;	0.003144110024173;	0.003232504203146;	0.003374524288889;	0.003702016280338;	0.004081378541466;	0.004697186386783;	0.004861813479124;	0.005032304227639;	0.005541320870294;	0.005834661779892;	0.006510340731564;	0.008561889578704;	0.015746159815440;	0.026379875245676;	0.028465562478046
0.146532775610364;	0.007530356412019;	0.010124620596094;	0.010243008755178;	0.009224826207574;	0.014027928460920;	0.021075096543415;	0.016972033794288;	0.021894451401229;	0.025709380639293;	0.036399643766348;	0.003956276941596;	0.003677156492279;	0.003521461894349;	0.003090635107245;	0.002980593048909;	0.002910813087518;	0.002682794971422;	0.002615186572806;	0.002598343783454;	0.002436817348710;	0.002421030373366;	0.002473407361877;	0.002531023772953;	0.002405640148671;	0.002466422040503;	0.002606924025636;	0.002798198360782;	0.002652398634160;	0.002874763573577;	0.003255429434094;	0.003618500216290;	0.003904580266295;	0.004235367489914;	0.004559956105826;	0.004775824972349;	0.005068018776182;	0.005458892005192;	0.006173556204314;	0.007005281836048;	0.008278843305814;	0.008775974169856;	0.009270857813098;	0.010362517506930;	0.010991703307356;	0.012225358612205;	0.014780071216459;	0.025417940927503;	0.041106003767816;	0.044470508880942
0.150379700063442;	0.008986524456202;	0.011157992797268;	0.011502898103346;	0.010392862804893;	0.019205005583760;	0.027160853659334;	0.018091460006292;	0.022958660737645;	0.026789326381426;	0.037430565861440;	0.005030255539376;	0.004745824733264;	0.004622100987114;	0.004322485146100;	0.004107077777867;	0.004136505809147;	0.003837016607078;	0.003842439141982;	0.003917425198290;	0.003716725107639;	0.003778956474189;	0.003945294433935;	0.004108989313247;	0.003939922403262;	0.004099924431332;	0.004392753299804;	0.004771361655712;	0.004535404051527;	0.004798799461189;	0.005296584004699;	0.005727415306824;	0.006012476728011;	0.006345028035666;	0.006640187228057;	0.006764972650030;	0.006998967075114;	0.007358281033370;	0.008134275701855;	0.009047894780891;	0.010498655911166;	0.011057433318391;	0.011700116829586;	0.013161674508348;	0.014165521442037;	0.016094328237695;	0.019955609921037;	0.034362210573541;	0.056026280551075;	0.060569598486234
0.156162952094580;	0.011123807941391;	0.015914189622682;	0.013108103657250;	0.011821655541391;	0.020691482338404;	0.028464686001611;	0.026181789142711;	0.024053632075983;	0.027850685118877;	0.038398510824817;	0.006131386940371;	0.005664584323945;	0.005532930126471;	0.005161685399290;	0.005174287190264;	0.005272122785590;	0.004635180326359;	0.004650042626518;	0.004756074844203;	0.004508618316246;	0.004586226521009;	0.004792582014594;	0.004990928892901;	0.004772706945252;	0.004963102852183;	0.005307045297362;	0.005753512380375;	0.005461037736854;	0.005828198992864;	0.006487752110615;	0.007097998797603;	0.007572137076957;	0.008134676613902;	0.008665176607025;	0.008992986614692;	0.009479529608853;	0.010131846431573;	0.011350532727171;	0.012748556986333;	0.014846459350750;	0.015642820718141;	0.016471018029842;	0.018346018487854;	0.019517787970538;	0.021899959188328;	0.026549549096237;	0.044719433374632;	0.072679654711771;	0.072528034503065
0.160030048799599;	0.013152964852250;	0.017949942057651;	0.018246475642462;	0.016421358175605;	0.022593835622590;	0.030440321285848;	0.027404305901183;	0.033555831968975;	0.039428225398982;	0.039499618640980;	0.007276422636154;	0.006910076495239;	0.006841456435162;	0.006329086085968;	0.006343994286129;	0.006544655940898;	0.006144058122972;	0.006278324537770;	0.006150142818172;	0.005887943160586;	0.006062229750922;	0.006413856146557;	0.006751254240895;	0.006508496459484;	0.006837840011414;	0.007377597325944;	0.008063586849825;	0.007694386837795;	0.008188803537637;	0.009050760289041;	0.009803238321883;	0.010342458800185;	0.010970697230862;	0.011514240098580;	0.011777469110592;	0.012261046651504;	0.012959654536374;	0.014390636576426;	0.016080968412821;	0.018666999004310;	0.019759812245052;	0.020941460213776;	0.023439394558134;	0.025055184649838;	0.028170731456408;	0.033880383719893;	0.056073945918362;	0.090841127366476;	0.082334222396289
0.167235144955861;	0.016510252472895;	0.021736164461922;	0.020706571399317;	0.018659338861828;	0.028458945092139;	0.036742115030432;	0.033373419508276;	0.035458755842594;	0.041300352826655;	0.053471132188675;	0.022778514941295;	0.008665580911188;	0.008586719933571;	0.008084289032212;	0.008215941094196;	0.008525061423187;	0.007767567431925;	0.007922526811725;	0.008217941080128;	0.007439261958835;	0.007625791703579;	0.008034445900979;	0.008431066642073;	0.008075472598701;	0.008438797507051;	0.009054299775349;	0.009850011295342;	0.009373526296900;	0.010011315546943;	0.011101811833965;	0.012091680291135;	0.012864460065516;	0.013761275554870;	0.014538410452433;	0.014958706973164;	0.015650315825758;	0.016575008690146;	0.018391756966848;	0.020502891984922;	0.023673229037203;	0.025007789816907;	0.026446438175374;	0.029499956461945;	0.031467766316507;	0.035274097617478;	0.042002036616291;	0.068252009503487;	0.110145444879894;	0.092594400193748
0.174468324352882;	0.021553054397478;	0.026998064327276;	0.026455601572645;	0.023882601634154;	0.031316571474418;	0.039465116489144;	0.038292732320532;	0.044783047857002;	0.052542021691190;	0.055311120343775;	0.024742564205808;	0.026322141860060;	0.028976348524882;	0.009972572973454;	0.010118559228104;	0.010563106339233;	0.009961527145492;	0.010242887358384;	0.010388927386499;	0.009981146147985;	0.010341033784019;	0.010979197970081;	0.010902852526762;	0.010468862794448;	0.011000472101700;	0.011821314986091;	0.012868374565771;	0.012237972751029;	0.013015814683125;	0.014331901533541;	0.015493123238757;	0.016382242008963;	0.017423345539476;	0.018293537736963;	0.018735434344034;	0.019548626761209;	0.020642223020671;	0.022839468596612;	0.025403971291681;	0.029218834962297;	0.030875429520156;	0.032642438051589;	0.036320698467929;	0.038674875015166;	0.043210389756053;	0.050957011697443;	0.081296830263578;	0.130752577148882;	0.103601813311582
0.183541350118451;	0.027858364890165;	0.032479421863725;	0.031157819633440;	0.028111256266031;	0.038566250790475;	0.047014051809451;	0.045424663526212;	0.048631369815525;	0.056410819432934;	0.069608879940698;	0.040489325663897;	0.029981284622266;	0.033020000673457;	0.032614742163319;	0.035519155449254;	0.013701592373689;	0.012473716974880;	0.012793245327753;	0.013351111786740;	0.012564731747576;	0.012992644485592;	0.013777672585856;	0.014324252705405;	0.013843236679536;	0.013622391955331;	0.014610004356214;	0.015883783342574;	0.015111586802006;	0.016092031732924;	0.017705998787684;	0.019126389075548;	0.020244859613872;	0.021543265130552;	0.022594488212275;	0.023119541222982;	0.024111347167365;	0.025391861703187;	0.028008777626670;	0.031061451850681;	0.035556462513182;	0.037565293916094;	0.039694196738131;	0.044053858263751;	0.046831912671545;	0.052149096497808;	0.060912392332054;	0.095298490668772;	0.152526205164980;	0.115642548177233
