0.106552855363377;	0.000953556582002;	0.000960116562559;	0.000898833560028;	0.000765623453807;	0.004199880863124;	0.007511942091949;	0.005688401944475;	0.008412937017130;	0.010623873336964;	0.016044252519209;	0.000427582538452;	0.000382984874617;	0.000344897984084;	0.000310889100465;	0.000269219862793;	0.000228958231830;	0.000213794696200;	0.000185547414413;	0.000161919271011;	0.000146553899997;	0.000126231481890;	0.000112183829163;	0.000101544094287;	0.000090940897977;	0.000081932158252;	0.000075862040256;	0.000071690094043;	0.000066812723698;	0.000062938233969;	0.000062894251248;	0.000063348952159;	0.000062163881905;	0.000062050755940;	0.000063250059591;	0.000063497848129;	0.000061661097521;	0.000060293235708;	0.000062079891788;	0.000063971203109;	0.000069414579832;	0.000063965323622;	0.000057898679060;	0.000056928756272;	0.000052438736740;	0.000048486988258;	0.000049172840181;	0.000100701644505;	0.000308542772181;	0.000013568453772
0.341580702393575;	0.062347585389976;	0.057608139002709;	0.053290732204818;	0.048882271379152;	0.055139269080510;	0.053343023843967;	0.049477474817069;	0.049269487130293;	0.051388750199977;	0.054229997499249;	0.039838804871604;	0.038164795408817;	0.038494819634861;	0.036323446881503;	0.038749092696830;	0.041721602429772;	0.038610855013952;	0.040804883869284;	0.043547260620950;	0.041804806307458;	0.044240723319326;	0.047853153250849;	0.051176732044081;	0.049559376114215;	0.052879076423421;	0.058046142027713;	0.064403686654113;	0.061579152730933;	0.066178205538071;	0.074649212245063;	0.082197746859143;	0.087032245818500;	0.092357403304654;	0.097203432904050;	0.098950816128852;	0.101730145567888;	0.106636291566517;	0.117589125554422;	0.129940508887892;	0.150160733641408;	0.154359887510271;	0.158417263799353;	0.173310601583126;	0.181073999816231;	0.202176957213721;	0.249284421160704;	0.424306330445832;	0.607887381628697;	0.712497749207664
0.400757136545031;	0.085531224819959;	0.077875113387041;	0.071479160289768;	0.065505747508174;	0.071881509934934;	0.068175239731762;	0.063897328946679;	0.062548692119208;	0.064476452539734;	0.066326690749678;	0.052153370830935;	0.049783661770769;	0.050107254021746;	0.047176707145492;	0.050029572221759;	0.053664464647192;	0.049682244970514;	0.052209441346550;	0.055553791516210;	0.053246271224007;	0.056059700238232;	0.060417438797563;	0.064388081361891;	0.062121183926102;	0.066049205338870;	0.072136761311091;	0.079653501865974;	0.075970038724666;	0.081380793609737;	0.091176403541072;	0.099840229379215;	0.105475994094904;	0.111668021094099;	0.117018454104411;	0.118712281842792;	0.121754303972325;	0.127113705552876;	0.139367913759284;	0.153112772947360;	0.175378250319292;	0.179887098586432;	0.184305864458572;	0.200585095459190;	0.208639423905887;	0.231477554238070;	0.281468985282954;	0.463949726245739;	0.654572806036938;	0.740526681107923
0.451276618656467;	0.111069205293126;	0.099845332472384;	0.091029811006029;	0.083273329758726;	0.089539421742929;	0.083708231423818;	0.078982589312185;	0.076354099082079;	0.078002943810474;	0.078755172064264;	0.064738093169646;	0.061579993144797;	0.061840580845881;	0.058090857369843;	0.061280529055402;	0.065502439606498;	0.060632606827320;	0.063401951547207;	0.067274904116949;	0.064372030118868;	0.067474745989862;	0.072488518068131;	0.077015523104496;	0.074063790731251;	0.078504710082560;	0.085372662336260;	0.093883099917580;	0.089340220680251;	0.095433383304620;	0.106318427523548;	0.115879707752731;	0.122172528976724;	0.129072422687536;	0.134760050361813;	0.136308208254929;	0.139515911814859;	0.145172781715278;	0.158420067515568;	0.173212446971997;	0.196973345143096;	0.201659950278856;	0.206276290926920;	0.223444738605807;	0.231369211602593;	0.254876413045519;	0.305645877198823;	0.490828532756099;	0.682639980425307;	0.762887724334370
0.498070504339471;	0.139132034995306;	0.123801470085955;	0.112197948974681;	0.102497513334955;	0.108496088283991;	0.100326015130188;	0.095159036322426;	0.091112667460034;	0.092424527647384;	0.091969484663292;	0.078049528053306;	0.074042670278033;	0.074210065613030;	0.069567444126607;	0.073046057096819;	0.077836498329250;	0.072040473710538;	0.075001441075427;	0.079386187185922;	0.075848060666418;	0.079191696843740;	0.084833429155038;	0.089881676294883;	0.086185716813036;	0.091100729426360;	0.098689342364982;	0.108126610063768;	0.102681649052087;	0.109401136167033;	0.121259216839430;	0.131604771320295;	0.138483164716054;	0.146007831091903;	0.151920532864046;	0.153239336686664;	0.156543232438992;	0.162387627147115;	0.176434082314436;	0.192049315046244;	0.216948614018531;	0.221666957234258;	0.226274057929035;	0.243889676656073;	0.251499602963786;	0.275690584945246;	0.327548250993860;	0.515299725300189;	0.707822758493884;	0.782387038306118
0.542627954961058;	0.170981433973503;	0.150792258410369;	0.135926292713833;	0.124027179773918;	0.129502714939777;	0.118667597934638;	0.113109664773569;	0.107439342969034;	0.108332088619792;	0.106504862413926;	0.092616069231761;	0.087618580946663;	0.087636601515579;	0.082043566426052;	0.085764458742481;	0.091120277419581;	0.084317217724123;	0.087419948699895;	0.092315205564346;	0.088070544839352;	0.091610961596197;	0.097869957012530;	0.103422152943279;	0.098895461852707;	0.104255636349670;	0.112527643326324;	0.122853718464477;	0.116435313603644;	0.123747798183360;	0.136502584899181;	0.147553189648398;	0.154970266398915;	0.163064152745959;	0.169112838386434;	0.170128104540622;	0.173478883292874;	0.179431055481610;	0.194143231580790;	0.210418583720930;	0.236213041053694;	0.240925277914210;	0.245580053098396;	0.263766518251681;	0.271294029330330;	0.296229515539256;	0.348998543753883;	0.538696917027621;	0.731083662904674;	0.800152754461266
0.584411288668851;	0.207636013548162;	0.181629903417261;	0.162964703627313;	0.148548981010352;	0.153233405811413;	0.139326828148149;	0.133305415059578;	0.125827566722386;	0.126204080883568;	0.122778308867142;	0.108843859214159;	0.102686633002406;	0.102490226775493;	0.095785824801765;	0.099762750584900;	0.105688895688773;	0.097785997086540;	0.100981639138397;	0.106375189583776;	0.101346507130150;	0.105043592320826;	0.111924437372682;	0.117951491211490;	0.112482098936514;	0.118286255263694;	0.127221378163222;	0.138420733101982;	0.130921265275015;	0.138806247853773;	0.152403771104413;	0.164103164964547;	0.172022924464820;	0.180641496249146;	0.186743588888192;	0.187381107800743;	0.190741559242767;	0.196753281570703;	0.212072382300239;	0.228976490454259;	0.255658889616702;	0.260480558373765;	0.265278767490559;	0.284039283684201;	0.291449773800113;	0.317057090376492;	0.370576310495742;	0.561790232219512;	0.753483918806047;	0.816945979924534
0.623732583023646;	0.250251477948400;	0.217276789203562;	0.194073515731773;	0.176756581038373;	0.180350067408081;	0.162865687663358;	0.156369953028100;	0.146687228629078;	0.146402692107438;	0.141232797074833;	0.127173356254347;	0.119615264366640;	0.119123665745525;	0.111127962504496;	0.115285255368991;	0.121775760602446;	0.112706908044010;	0.115930491329652;	0.121902102327031;	0.115925110607472;	0.119726179272658;	0.127229627527387;	0.133785948027019;	0.127249284494392;	0.133435802557094;	0.143016621824017;	0.155079303314401;	0.146411261474329;	0.154861487664961;	0.169269481344254;	0.181571670586047;	0.189981889348642;	0.199111149212867;	0.205218319043116;	0.205435440635110;	0.208809703577879;	0.214877786439057;	0.230810968387059;	0.248345957165984;	0.275880399054626;	0.280798544114701;	0.285712098346446;	0.304982529488036;	0.312209775140447;	0.338402502413804;	0.392466488709329;	0.584687111964212;	0.774925169240942;	0.832744366450799
0.659505218621633;	0.300274509061820;	0.258792957419086;	0.230195209925129;	0.209506465475225;	0.211560673328989;	0.189872671891566;	0.182896940727538;	0.170661564049280;	0.169560037652326;	0.162196866293893;	0.147891876790179;	0.138864025036787;	0.137994907858456;	0.128424717916505;	0.132668006452345;	0.139740974297130;	0.129316416461575;	0.132476476174183;	0.139101388483591;	0.132204902005561;	0.136079924452262;	0.144245466926832;	0.151134175497504;	0.143351575415923;	0.150067507191761;	0.160300545129940;	0.173248045993306;	0.163186281623474;	0.172205711678845;	0.187407178356071;	0.200310374845311;	0.209208357471539;	0.218843992392045;	0.224906156535599;	0.224650181047145;	0.228034420389117;	0.234142488173335;	0.250671405517542;	0.268811173404118;	0.297147904139243;	0.302160309277072;	0.307188905389861;	0.326941187919324;	0.333947900005150;	0.360692361571238;	0.415179189376333;	0.608059504743632;	0.796339326706958;	0.848124911791236
0.691403553860197;	0.354219524828094;	0.307420288164784;	0.272395184383618;	0.247776333846065;	0.247787062097793;	0.221141093813448;	0.213663327371345;	0.198347104255271;	0.196208315600261;	0.186360931547003;	0.171651876310357;	0.160698055462804;	0.159295944758970;	0.148168951067723;	0.152437826135294;	0.160054694617796;	0.147966020266951;	0.150986779657803;	0.158237259741967;	0.150268904357012;	0.154112131139344;	0.162911808011460;	0.170650578558851;	0.161482518843835;	0.168322065440001;	0.179188730772443;	0.193016214285027;	0.181609728572718;	0.191209693533747;	0.207197426388268;	0.220636992244575;	0.230033505086255;	0.240184672093540;	0.246150761980546;	0.245350171318122;	0.248723868470987;	0.254837813935645;	0.271936782760520;	0.290647610007714;	0.319727727126509;	0.324812043003310;	0.329927033988346;	0.350094170337365;	0.356782870226183;	0.383963751981194;	0.438617236924921;	0.631575848242966;	0.816934524640463;	0.862885589556789
