0.041629188137637;	0.000112064066038;	0.000093801315944;	0.000078969008533;	0.000063715638057;	0.003160456772479;	0.006277266116911;	0.004398644970103;	0.007914121054438;	0.010825171642035;	0.017218242616834;	0.000020915898418;	0.000016275916301;	0.000012852828357;	0.000010585924472;	0.000007284717432;	0.000004954042286;	0.000004364097219;	0.000002944475427;	0.000002095157606;	0.000001585270252;	0.000001033036866;	0.000000746844517;	0.000000514511612;	0.000000363366748;	0.000000273474890;	0.000000196001651;	0.000000141094839;	0.000000111388325;	0.000000092266770;	0.000000075942691;	0.000000066970045;	0.000000062069195;	0.000000060105716;	0.000000059942526;	0.000000060339360;	0.000000059212223;	0.000000059039349;	0.000000063270291;	0.000000068993326;	0.000000082625227;	0.000000077543760;	0.000000071613814;	0.000000076516904;	0.000000075298995;	0.000000083264687;	0.000000128532470;	0.000000924325612;	0.000016993764106;	0.000000861741801
0.063241184582944;	0.005084814161005;	0.004697121042720;	0.004375990121583;	0.004142630410133;	0.007330224941657;	0.010012773765329;	0.008196290133045;	0.011458241635112;	0.014377963559180;	0.020537349412381;	0.003416728601983;	0.003255948135926;	0.003283450075029;	0.003088423102120;	0.003287156831918;	0.003554078890011;	0.003287550543793;	0.003475268891669;	0.003729719027949;	0.003572956870013;	0.003787093482284;	0.004123678767555;	0.004427624437209;	0.004282005548844;	0.004619818428069;	0.005108589800573;	0.005708715054855;	0.005500855610025;	0.005997610156191;	0.006860032592739;	0.007682057425626;	0.008267201726060;	0.008921254632196;	0.009541207799551;	0.009868696787218;	0.010526917300938;	0.011438245639589;	0.013062526577655;	0.014961408442565;	0.017981362716813;	0.019350310265039;	0.021095087341482;	0.024861479647534;	0.028520033651656;	0.035584714564190;	0.050123538145758;	0.099148777006766;	0.192452150160179;	0.423114178243466
0.078174418930959;	0.008201672671420;	0.007649730444962;	0.007165116891933;	0.006848576180040;	0.010158084883469;	0.012605641034479;	0.010887416517386;	0.014022107171670;	0.017000493764694;	0.023034139979781;	0.006228042035333;	0.005777025318600;	0.005877154950005;	0.005574431874838;	0.005964116536420;	0.006488230858528;	0.006065592607598;	0.006444398121634;	0.006966096763341;	0.006735369683266;	0.007178385464777;	0.007870904522847;	0.008519979836057;	0.008304849114243;	0.009031141953522;	0.010060099873197;	0.011337910279567;	0.011039807724242;	0.012157459489477;	0.014014838407353;	0.015848333003439;	0.017300627828283;	0.018967121874607;	0.020592164473497;	0.021642219063263;	0.023119911271142;	0.025136458830344;	0.028725800220251;	0.032952188278993;	0.039551688264485;	0.042761728171350;	0.046910367879465;	0.055573675065554;	0.064405075374946;	0.082190466810430;	0.115708321517519;	0.200183378979248;	0.348890761285376;	0.452059042206695
0.104379678992775;	0.014468419087855;	0.013260100056300;	0.012287492562187;	0.011622692861007;	0.014962934108645;	0.016876970782398;	0.015192437258827;	0.018018515668877;	0.020993758867793;	0.026753915253015;	0.010178942610162;	0.009666928553422;	0.009912779164373;	0.009019694629124;	0.009602995382449;	0.010408468193062;	0.009743485279743;	0.010309007637017;	0.011123412500759;	0.010759979598500;	0.011430243195783;	0.012511185768980;	0.013535189379693;	0.013181290482132;	0.014319093133063;	0.015922841924122;	0.017931584694171;	0.017485374565595;	0.019272219122002;	0.022178327385693;	0.025074794457352;	0.027478543458107;	0.030268598649304;	0.032956161214313;	0.034755091357261;	0.037076761413721;	0.040194563376341;	0.045774860347538;	0.052326003631284;	0.062320121842560;	0.067226877728067;	0.073602028999122;	0.086164600919697;	0.096037158856872;	0.113027385558339;	0.140963573901639;	0.220775504777479;	0.375705628828731;	0.479030893053696
0.131783613463459;	0.021733823057129;	0.019798935051592;	0.018278898182925;	0.017246410515485;	0.020694342886783;	0.022013291727019;	0.020355382613178;	0.022828598114668;	0.025814357979795;	0.031252529923783;	0.014926122970579;	0.014263450036170;	0.014654992580046;	0.013664465725868;	0.013977764352570;	0.015096193523632;	0.014156062382914;	0.014910451985005;	0.016051039388550;	0.015525640850760;	0.016425724437700;	0.017931132026513;	0.019366450442454;	0.018818373199736;	0.020390712658350;	0.022595612160534;	0.025376645818181;	0.024724832203558;	0.027201062314509;	0.031148221175980;	0.035082448211346;	0.038444178346211;	0.042361064549524;	0.046011853852187;	0.048408251933697;	0.051425578219332;	0.055395924045945;	0.062594839061418;	0.070888058279862;	0.082929806835951;	0.087717301336897;	0.093158848482491;	0.104174857655424;	0.111254557111595;	0.127520479679455;	0.155854688973758;	0.237927676092325;	0.402095688273573;	0.504776547376284
0.165019390621541;	0.031302432306514;	0.028270533160246;	0.025908043572245;	0.024327482883848;	0.027840882269150;	0.028369080868277;	0.026754880451240;	0.028717139449421;	0.031686522517190;	0.036707103644638;	0.020607241684883;	0.019705063732171;	0.020223783975746;	0.019076840759636;	0.019831365631058;	0.021435218425733;	0.019308445979166;	0.020224617464053;	0.021757171987121;	0.021026154023370;	0.022137784997065;	0.024083376988550;	0.025949587622453;	0.025136912749202;	0.027138727258648;	0.029933369026772;	0.033481450308811;	0.032548545641000;	0.035683942484157;	0.040578776861867;	0.045428873353514;	0.049661474330987;	0.054586885832896;	0.058947458624786;	0.061623674763972;	0.064969349065490;	0.069194743184297;	0.077009831535006;	0.085572340687604;	0.097465128354310;	0.101135495017899;	0.105909155159159;	0.117201142800062;	0.124493570291059;	0.141886119785244;	0.171281098480362;	0.255426768497327;	0.428289312700425;	0.527890499212789
0.202392959739740;	0.043453252416158;	0.038895410627143;	0.035415132764616;	0.033084291535293;	0.036605738882574;	0.036123476045367;	0.034507660052646;	0.035891707119727;	0.038828320596428;	0.043236961500119;	0.027316788251482;	0.026079182076848;	0.026695874623684;	0.025286329407953;	0.026488258342256;	0.028564832003348;	0.026433347767566;	0.027720857365915;	0.028119565396598;	0.027280383433890;	0.028573176830828;	0.030964270486975;	0.033211169735192;	0.032044744770308;	0.034458022757086;	0.037793686539304;	0.042056155084845;	0.040741223926378;	0.044447071233270;	0.050104736572028;	0.055642823931451;	0.060534233685708;	0.066183474534953;	0.070822384346105;	0.073324920253203;	0.076583672774623;	0.080638506308932;	0.088630295627805;	0.097422015815482;	0.109760738336166;	0.113664209724184;	0.118928996780785;	0.131053536712946;	0.138585145059225;	0.156943468290326;	0.187210302902207;	0.272964395127358;	0.453422898413528;	0.551434300360115
0.241661534843508;	0.058493732313833;	0.052141589481159;	0.047144071222014;	0.043813237403812;	0.047312088202440;	0.045554963521839;	0.043869901501613;	0.044476582645216;	0.047326873412464;	0.051115518970621;	0.035569520285146;	0.033456123088659;	0.034108852183150;	0.032364117099936;	0.033938777518445;	0.036436269899769;	0.034280876296801;	0.035839003527219;	0.037438809387228;	0.034011015763987;	0.035365931482909;	0.038115176709626;	0.041233102568456;	0.039628587517206;	0.042293250584649;	0.046107308795276;	0.051017882984891;	0.049236718202313;	0.053429809745432;	0.059693049708386;	0.065747893233121;	0.071176444224313;	0.077411943869533;	0.082194377369989;	0.084483861090909;	0.087754129365801;	0.091817657239793;	0.100315624714867;	0.109692130811178;	0.122672906149492;	0.126791374168616;	0.132415509922359;	0.145218636728958;	0.152893209332796;	0.172106071642021;	0.203008079418456;	0.290060985064630;	0.478246225268756;	0.575658704385205
0.281785622970720;	0.110328682591092;	0.068696659541867;	0.061616115319862;	0.056955826550691;	0.060327610184879;	0.056953100138790;	0.055137731299761;	0.054807079927681;	0.057522765175588;	0.060409416026827;	0.045224374576822;	0.042747559941348;	0.043636328429071;	0.040564951443173;	0.042106629191023;	0.044966809362885;	0.042797671574322;	0.044467630061655;	0.047157546239830;	0.044967183877786;	0.047063650761524;	0.050871476702422;	0.049288287898414;	0.047074499322232;	0.050789090832692;	0.055006432046021;	0.060483285114892;	0.058083605639006;	0.062688604238805;	0.069436711406985;	0.075914778275729;	0.081802717902796;	0.088568338817654;	0.093483948182651;	0.095699814277105;	0.099188171171537;	0.103263861212554;	0.112343960676169;	0.122369593908450;	0.136017663837923;	0.140508770124215;	0.146684386226417;	0.160350905572343;	0.168384373802162;	0.188760388385701;	0.220607123424157;	0.309253269285740;	0.505780456023145;	0.600113381188190
0.321554552165261;	0.165393373671036;	0.087712412942867;	0.079579611093195;	0.073196911873115;	0.076137791272142;	0.070765587843361;	0.068690308220884;	0.067110837170114;	0.069584872940955;	0.071522840679875;	0.056548447773991;	0.053283599054973;	0.054271798063000;	0.051032472242962;	0.053007164249932;	0.056041551011726;	0.051670388044848;	0.053320374253587;	0.056956398316863;	0.055526453540251;	0.057811380149898;	0.062100102193183;	0.065824150199966;	0.064331537445898;	0.059349390513728;	0.064028143046263;	0.070204562108515;	0.067403526495615;	0.072461673822452;	0.079771230853792;	0.086523937820459;	0.093025267204159;	0.100551549710537;	0.105848191742843;	0.108221186682269;	0.112168835504907;	0.115871834956842;	0.125704425285035;	0.136573139817497;	0.151066327078130;	0.156134356408130;	0.163071555240378;	0.177806666382245;	0.186268255838179;	0.207876987295988;	0.240594777995563;	0.330536585487765;	0.535008965490724;	0.626251551508618
