0.142291528291458;	0.007456758320675;	0.007112489248482;	0.006905693125410;	0.006496692754486;	0.014176966291771;	0.021199839537821;	0.017033820103077;	0.021131091670915;	0.024303311360097;	0.034367651803161;	0.004010926940068;	0.003697848553240;	0.003403044145016;	0.003124100443635;	0.002835801702523;	0.002557678776769;	0.002374534157851;	0.002146646546607;	0.001946523128966;	0.001792031439168;	0.001618448999469;	0.001467487385776;	0.001357483047341;	0.001260103915481;	0.001163556500403;	0.001111322108632;	0.001079502981530;	0.001028833292363;	0.000987650892325;	0.000977670316518;	0.000957212617707;	0.000921352679201;	0.000900335067933;	0.000890111528151;	0.000881537552284;	0.000855668643145;	0.000807376457510;	0.000776394002810;	0.000746126884308;	0.000715317707117;	0.000668251896374;	0.000602215837267;	0.000553936061890;	0.000498804889775;	0.000418777379880;	0.000325905226418;	0.000299490336558;	0.000434004822933;	0.000018462510839
0.142291528291458;	0.007456758320675;	0.007112489248482;	0.006905693125410;	0.006496692754486;	0.014176966291771;	0.021199839537821;	0.017033820103077;	0.021131091670915;	0.024303311360097;	0.034367651803161;	0.004010926940068;	0.003697848553240;	0.003403044145016;	0.003124100443635;	0.002835801702523;	0.002557678776769;	0.002374534157851;	0.002146646546607;	0.001946523128966;	0.001792031439168;	0.001618448999469;	0.001467487385776;	0.001357483047341;	0.001260103915481;	0.001163556500403;	0.001111322108632;	0.001079502981530;	0.001028833292363;	0.000987650892325;	0.000977670316518;	0.000957212617707;	0.000921352679201;	0.000900335067933;	0.000890111528151;	0.000881537552284;	0.000855668643145;	0.000807376457510;	0.000776394002810;	0.000746126884308;	0.000715317707117;	0.000668251896374;	0.000602215837267;	0.000553936061890;	0.000498804889775;	0.000418777379880;	0.000325905226418;	0.000299490336558;	0.000434004822933;	0.001572515347418
0.142291528291458;	0.007456758320675;	0.007112489248482;	0.006905693125410;	0.006496692754486;	0.014176966291771;	0.021199839537821;	0.017033820103077;	0.021131091670915;	0.024303311360097;	0.034367651803161;	0.004010926940068;	0.003697848553240;	0.003403044145016;	0.003124100443635;	0.002835801702523;	0.002557678776769;	0.002374534157851;	0.002146646546607;	0.001946523128966;	0.001792031439168;	0.001618448999469;	0.001467487385776;	0.001357483047341;	0.001260103915481;	0.001163556500403;	0.001111322108632;	0.001079502981530;	0.001028833292363;	0.000987650892325;	0.000977670316518;	0.000957212617707;	0.000921352679201;	0.000900335067933;	0.000890111528151;	0.000881537552284;	0.000855668643145;	0.000807376457510;	0.000776394002810;	0.000746126884308;	0.000715317707117;	0.000668251896374;	0.000602215837267;	0.000553936061890;	0.000498804889775;	0.000418777379880;	0.001066058993766;	0.002813788232915;	0.006451350602486;	0.011052815832850
0.142291528291458;	0.007456758320675;	0.007112489248482;	0.006905693125410;	0.006496692754486;	0.014176966291771;	0.021199839537821;	0.017033820103077;	0.021131091670915;	0.024303311360097;	0.034367651803161;	0.004010926940068;	0.003697848553240;	0.003403044145016;	0.003124100443635;	0.002835801702523;	0.002557678776769;	0.002374534157851;	0.002146646546607;	0.001946523128966;	0.001792031439168;	0.001618448999469;	0.001467487385776;	0.001357483047341;	0.001260103915481;	0.001163556500403;	0.001111322108632;	0.001079502981530;	0.001032652747093;	0.001094520618655;	0.001213215764814;	0.001341043532133;	0.001459404497025;	0.001612903302143;	0.001789982556559;	0.001952560180422;	0.002128283522011;	0.002321338155607;	0.002640052412293;	0.003019937711720;	0.003579217799808;	0.003851868256366;	0.004107794209693;	0.004608984108719;	0.004936009851830;	0.005443508582281;	0.006435423431793;	0.011407106114631;	0.020283771253303;	0.017653102783110
0.144573588605368;	0.008188503979937;	0.007499811627936;	0.007628310103045;	0.007165695458123;	0.014990494864769;	0.021979618121968;	0.017744602761241;	0.021825774431160;	0.025026709103740;	0.035075723994876;	0.004748944701717;	0.004457393247058;	0.004198678735011;	0.003902462245771;	0.003696849869313;	0.003510663419484;	0.003281924559904;	0.003130947141880;	0.003017285058345;	0.002843630695190;	0.002749211089831;	0.002703536694707;	0.002688507896139;	0.002559236970566;	0.002547171356563;	0.002631269442173;	0.002762252487643;	0.002634573036770;	0.002704237239389;	0.002897477871736;	0.003049733860089;	0.003129194321802;	0.003246967634023;	0.003365676774808;	0.003421193211064;	0.003519445306347;	0.003657204118561;	0.003986127384428;	0.004394287402933;	0.005068862571911;	0.005408655775464;	0.005855018012466;	0.006795094916349;	0.007618167770300;	0.008862848581012;	0.010997855020102;	0.019444753103950;	0.034491449060324;	0.022181426843360
0.148902588240580;	0.009520708595474;	0.011933745178969;	0.008625734153093;	0.008025666816954;	0.015941806775071;	0.022814241502821;	0.018475334969238;	0.022485389571997;	0.025662415694198;	0.035652589194138;	0.005482887887447;	0.004997394342552;	0.004731056914754;	0.004378896959753;	0.004182762096615;	0.004011539722615;	0.003735331609212;	0.003588627785889;	0.003488112426472;	0.003286114829518;	0.003199705537720;	0.003174137549566;	0.003175406432902;	0.003016913269274;	0.003018015044496;	0.003128592573951;	0.003295132951341;	0.003135823175598;	0.003292372041195;	0.003621435716186;	0.003933403245725;	0.004188713694644;	0.004524976650290;	0.004882477370962;	0.005158781219685;	0.005526845638830;	0.005979074321025;	0.006757901614833;	0.007668687431270;	0.009018686623887;	0.009646606751269;	0.010338058065413;	0.011731632448436;	0.012758752988320;	0.014409431982738;	0.017043187864408;	0.028903361821526;	0.050421109768520;	0.025870140826112
0.151194029723907;	0.010545445552446;	0.013158200019658;	0.013538806316942;	0.012671112837210;	0.017267875936634;	0.024335379147418;	0.019131388857665;	0.023151779626195;	0.026341534455904;	0.036306930257887;	0.006177148316614;	0.005862398833066;	0.005674164346497;	0.005183112217994;	0.004958886108687;	0.004877975903253;	0.004605442430239;	0.004544537157411;	0.004551841003758;	0.004359834569852;	0.004378326740640;	0.004494636677943;	0.004632583508449;	0.004474066652452;	0.004605706099452;	0.004904659421590;	0.005296301240378;	0.005080411939238;	0.005344848422665;	0.005851887682374;	0.006279752277302;	0.006575827647436;	0.006956627351250;	0.007318923270840;	0.007534080731074;	0.007903256073349;	0.008409753834015;	0.009396399824532;	0.010598500647888;	0.012434659061337;	0.013371153533763;	0.014446893186498;	0.016496176684362;	0.018015951719299;	0.020367817534461;	0.023772137816466;	0.039304247456072;	0.067986631187672;	0.029752809871396
0.157017253157019;	0.012829712160383;	0.016160695512638;	0.015198212340313;	0.014152746687540;	0.023057727983825;	0.030764597773926;	0.025430546340993;	0.024519576140634;	0.027698650459987;	0.037693280899462;	0.007700092702973;	0.007200584053139;	0.007011364191509;	0.006589953093512;	0.006490100301932;	0.006510043682979;	0.005838483607546;	0.005796077145760;	0.005853438156180;	0.005577146732881;	0.005607725605138;	0.005765927062152;	0.005931660780037;	0.005679867619038;	0.005831109804080;	0.006185227789129;	0.006660040357251;	0.006361749219324;	0.006756894331736;	0.007477888067503;	0.008133763669761;	0.008657173956170;	0.009304347232281;	0.009912682758144;	0.010306009154449;	0.010902360269026;	0.011655351347084;	0.013029844678227;	0.014655621820477;	0.017079028104807;	0.018272548665391;	0.019643111661783;	0.022292034951981;	0.024228979100653;	0.027267970425809;	0.031427368098349;	0.050724619033154;	0.087078166651737;	0.033756245453531
0.162921329797646;	0.015534154830695;	0.020556761327638;	0.020391824854869;	0.019070197726318;	0.025132210972855;	0.032847431730703;	0.030272891195965;	0.034937184895138;	0.040483283072398;	0.038966712103355;	0.009078660059774;	0.008709901813282;	0.008598488450263;	0.008007356861233;	0.007969365623388;	0.008119766577596;	0.007684327169836;	0.007790757238128;	0.007599761148095;	0.007287216144428;	0.007436746086289;	0.007768790818573;	0.008098816602594;	0.007799186377305;	0.008086911109018;	0.008641112245572;	0.009356299471813;	0.008928815776475;	0.009447105849572;	0.010376183714510;	0.011183740727800;	0.011805643646249;	0.012584305713836;	0.013285801224766;	0.013707446166239;	0.014434044577016;	0.015374028867873;	0.017132519845191;	0.019220547522315;	0.022304807339834;	0.023844246530154;	0.025592002527641;	0.028922714615614;	0.031309571000780;	0.035057700771597;	0.039932241938867;	0.062954461969723;	0.107360935860607;	0.037214558730808
0.170817418019955;	0.019479030344270;	0.024953557544022;	0.024102697721322;	0.022395294476066;	0.032079523114631;	0.040339288784057;	0.037524765640560;	0.038264615321215;	0.043876917611185;	0.055324022330229;	0.027199980807980;	0.012037763698058;	0.012403498315537;	0.010178830698800;	0.010274899270038;	0.010610760017804;	0.009809034563942;	0.009970311255696;	0.010228528090641;	0.009466036468637;	0.009695529956806;	0.010172687242842;	0.010370592285749;	0.009948512638645;	0.010369741062296;	0.011079995749249;	0.012006811560203;	0.011458002960620;	0.012169290789542;	0.013386838714665;	0.014450797830811;	0.015291594945410;	0.016319833341083;	0.017206000541844;	0.017718791764581;	0.018633512308598;	0.019791950911277;	0.021974782190013;	0.024558954913441;	0.028336644334499;	0.030240107828489;	0.032384314600756;	0.036435663488613;	0.039293650466056;	0.043788922958831;	0.049362666322748;	0.076059212289386;	0.128926180980471;	0.041073854848338
