0.109726768233443;	0.002004874870623;	0.001998658613531;	0.001874099057121;	0.001627340732672;	0.012417431713614;	0.023247482567928;	0.018502259320648;	0.028825178591287;	0.037306061344666;	0.057283936444885;	0.000878439839547;	0.000779444242630;	0.000690984365251;	0.000617428715976;	0.000517972178492;	0.000430657490755;	0.000400410656503;	0.000335668343927;	0.000284705851865;	0.000250085833737;	0.000205593685469;	0.000176620238985;	0.000150849104575;	0.000128073190372;	0.000110786802940;	0.000095681520513;	0.000082962082167;	0.000073395170990;	0.000065803525390;	0.000059929178641;	0.000055984000452;	0.000052795459033;	0.000050532546778;	0.000049090469216;	0.000048106760048;	0.000046801254932;	0.000045412054324;	0.000044969776529;	0.000044374277208;	0.000045024603912;	0.000041938149491;	0.000038438982072;	0.000036447776940;	0.000033068129513;	0.000029516356336;	0.000026896700619;	0.000041724215518;	0.000129958196012;	0.000009579727632
0.109726876674728;	0.002004902977500;	0.001998684536685;	0.001874123047422;	0.001627362821307;	0.012417455015736;	0.023247503524259;	0.018502279444341;	0.028825197368829;	0.037306080084458;	0.057283953996491;	0.000878457945546;	0.000779461595551;	0.000691001885939;	0.000617445252281;	0.000517989844287;	0.000430676542757;	0.000400428287328;	0.000335686994659;	0.000284725778552;	0.000250104965552;	0.000205613946964;	0.000176642174768;	0.000150872577618;	0.000128095925131;	0.000110811084318;	0.000095708194499;	0.000082991699180;	0.000073423507539;	0.000065834010009;	0.000059963599112;	0.000056021938955;	0.000052835663227;	0.000050575244363;	0.000049135433584;	0.000050175397945;	0.000080070718164;	0.000117545423810;	0.000171950464041;	0.000245724420476;	0.000361068646242;	0.000467605838937;	0.000599566615888;	0.000818255468487;	0.001065969219916;	0.001490971014418;	0.002380686355823;	0.005795468499036;	0.013762696252755;	0.036527259398030
0.111193722184393;	0.002144383246426;	0.002175791576912;	0.002023005177820;	0.001775418686707;	0.012586832519368;	0.023410001637888;	0.018665968196430;	0.028986158662618;	0.037474658584489;	0.057449069921966;	0.004804963309275;	0.000956287828817;	0.000876546755574;	0.000799104268894;	0.000718453521967;	0.000653620960927;	0.000614254572668;	0.000568631466390;	0.000541285233131;	0.000504666974117;	0.000482850019734;	0.000485649364060;	0.000491998693725;	0.000468642067087;	0.000485535725249;	0.000519894454061;	0.000569349954053;	0.000554257533637;	0.000599994335917;	0.000682357377495;	0.000765549614780;	0.000834346069664;	0.000915487312178;	0.000997816554086;	0.001058286379873;	0.001160165383255;	0.001300705999362;	0.001542782161814;	0.001846762206920;	0.002320572733771;	0.002626513140862;	0.002999881926476;	0.003691324599042;	0.004411881396665;	0.005802441346761;	0.008423235933551;	0.015576767430614;	0.029318814796596;	0.039632047954000
0.113681077225049;	0.002638350153333;	0.002625180097461;	0.002468229785157;	0.002178825406130;	0.012981775071085;	0.023765471959508;	0.019006785730384;	0.029305049406797;	0.037794289228406;	0.057749858183878;	0.005142125304545;	0.005723178003209;	0.007041087777979;	0.001090603264504;	0.001029962859176;	0.000990666669430;	0.000932562840362;	0.000906265670206;	0.000905671327085;	0.000860843273431;	0.000862174208130;	0.000900795755097;	0.000943156357785;	0.000911928295674;	0.000965783617351;	0.001054379145295;	0.001173255865776;	0.001146020764855;	0.001251877414089;	0.001431344032967;	0.001610249599293;	0.001762299396138;	0.001940977382412;	0.002115584093907;	0.002239491460295;	0.002417878382706;	0.002664373274926;	0.003103160931749;	0.003644628931467;	0.004469596941093;	0.004964220112201;	0.005565553706586;	0.006637287478083;	0.007426221153471;	0.008693234596328;	0.010782511175884;	0.017569496156827;	0.032027382344876;	0.042602198610891
0.116419142870991;	0.003215435285061;	0.003154211405046;	0.002962737220633;	0.002638761367348;	0.013505772702024;	0.024255776361892;	0.019436355110974;	0.029709649246663;	0.038201900801225;	0.058134687511457;	0.005566872737001;	0.006144191877183;	0.007482288647559;	0.008134812269718;	0.001426177836450;	0.001416593518877;	0.001336455274838;	0.001330638603993;	0.001361105106623;	0.001305234861702;	0.001330944922348;	0.001410226832477;	0.001493558097820;	0.001448904495811;	0.001542974825120;	0.001690213479294;	0.001885108687017;	0.001839265581426;	0.002006873341752;	0.002283209246632;	0.002555228741706;	0.002790235257914;	0.003065655757979;	0.003321040972403;	0.003490757626408;	0.003728401531495;	0.004053691745020;	0.004649856007492;	0.005367242502288;	0.006403224752508;	0.006897356047253;	0.007407104320131;	0.008317759898844;	0.008820990382392;	0.010009712197724;	0.012150127414883;	0.019214807942859;	0.034704518974525;	0.071257009028130
0.119711575707392;	0.004015286354909;	0.003899885401842;	0.003614900557348;	0.003237596407048;	0.014132670416185;	0.024821742767724;	0.020041843213914;	0.030216376094846;	0.038708735585774;	0.058609955744200;	0.006080867953679;	0.006644657038552;	0.008000786023006;	0.008650855191862;	0.010038981679706;	0.011460494172566;	0.001809216195977;	0.001820271525945;	0.001889134209077;	0.001818182361703;	0.001865783803401;	0.001986396561158;	0.002111996666328;	0.002047189219028;	0.002179943716493;	0.002383473366148;	0.002652716214991;	0.002581235079136;	0.002808009427937;	0.003172347695144;	0.003526861665644;	0.003838782780882;	0.004202466788703;	0.004517257704502;	0.004705107351490;	0.004969177401136;	0.005317573740044;	0.005975432127221;	0.006724768718563;	0.007753771222935;	0.008151484671534;	0.008621826744071;	0.009623339835913;	0.010270183729851;	0.011834091169133;	0.014736860359110;	0.024683977767293;	0.048086658124196;	0.080305775122029
0.123349050999229;	0.005043130986846;	0.004812555590508;	0.004468008472709;	0.004013758865137;	0.014910393581518;	0.025522405637924;	0.020713173180343;	0.030913156055802;	0.039423300971449;	0.059184983007646;	0.006688770111933;	0.007233223487067;	0.008605113973487;	0.009241771473300;	0.010685257179052;	0.012154895708601;	0.013091813099704;	0.014734476354653;	0.002479027530688;	0.002408009997286;	0.002475023776361;	0.002638131767519;	0.002800603170912;	0.002707433040421;	0.002877742462053;	0.003133442142276;	0.003472903914480;	0.003366197571094;	0.003643187780853;	0.004077010670132;	0.004491087527070;	0.004858668818085;	0.005289368651903;	0.005639584692489;	0.005834837546154;	0.006166472143524;	0.006610266450378;	0.007458348699330;	0.008475804735338;	0.009931730590160;	0.010722164426170;	0.011680399733102;	0.013437330990812;	0.014827974647222;	0.017646492839088;	0.022409314561031;	0.035958084708805;	0.064598853734461;	0.093380560037703
0.127433570861898;	0.006352354756506;	0.006010961542750;	0.005529478441536;	0.004986574280444;	0.015950156764410;	0.026469850754539;	0.021630466533959;	0.031740148255067;	0.040254273887970;	0.060076228504172;	0.010219083812362;	0.007996781738234;	0.009388252510727;	0.010029539639457;	0.011541232410688;	0.013076789128242;	0.014032774060182;	0.015730952040331;	0.017636175685444;	0.003257069808223;	0.003359807060392;	0.003595433415176;	0.003897709247658;	0.003780237867452;	0.004018947712087;	0.004388316095505;	0.004877000739957;	0.004740377928601;	0.005145584753423;	0.005766908718577;	0.006365920195044;	0.006910668932760;	0.007539399392125;	0.008042974925411;	0.008319336554478;	0.008761351878797;	0.009349774423833;	0.010496040317950;	0.011858979069921;	0.013795794804226;	0.014791104209739;	0.015964594706119;	0.018044496606014;	0.019281742433256;	0.021838271493180;	0.026047014029127;	0.039468694543138;	0.069772479026985;	0.116031053625016
0.134473414023372;	0.012760306166495;	0.008007381328263;	0.007343596669809;	0.006639257811332;	0.017608705427301;	0.027960615967682;	0.023087025827733;	0.033140089101950;	0.041669402066625;	0.061317033110233;	0.012398814360416;	0.013518527683870;	0.016228857068844;	0.012760828733565;	0.012720521613302;	0.014322212954810;	0.015312542589242;	0.017053001785692;	0.019122040666521;	0.021278261839663;	0.023853347931270;	0.026082475964956;	0.005283111433860;	0.005100605878989;	0.005504867877968;	0.005984097947767;	0.006618657118753;	0.006403507871945;	0.006919848949575;	0.007701731692796;	0.008448686278532;	0.009129705049752;	0.009915119807164;	0.010518659555869;	0.010832432991064;	0.011354043125468;	0.012017354966838;	0.013367609806988;	0.014931370847642;	0.017056705342670;	0.017977423764841;	0.019032903349964;	0.021053024726551;	0.022217558994995;	0.025126283224636;	0.030146619091430;	0.046556531398553;	0.085724627795227;	0.131311778463566
0.142117625316264;	0.019735837248265;	0.010438799000798;	0.009661365926290;	0.008751239222592;	0.019805894715571;	0.029946926647319;	0.024994750206879;	0.034840697402590;	0.043355371234437;	0.062991600359177;	0.014191357185432;	0.015087927462879;	0.017844325709378;	0.018993494010304;	0.021365127763402;	0.024145308734104;	0.016698492870508;	0.018467276716127;	0.020716817190237;	0.022973001148485;	0.025597075609642;	0.027921343545414;	0.031880923570225;	0.034879340931788;	0.007075385895866;	0.007663719712551;	0.008451421896635;	0.008167013729412;	0.008786481964406;	0.009711092465874;	0.010557421114448;	0.011365737555368;	0.012301193205475;	0.012981057593659;	0.013305995879510;	0.013902854977104;	0.014572904266697;	0.016126821380954;	0.017957312199935;	0.020478188775100;	0.021787577673482;	0.023414011799277;	0.026353981099272;	0.028416706274145;	0.032739755663946;	0.039489569504688;	0.058852130839443;	0.102316946945064;	0.156999812309674
