0.371986706888538;	0.033667847335182;	0.037718780545146;	0.033259430313287;	0.029499058165712;	0.028676778428033;	0.045760363933251;	0.040091022271444;	0.022674453959751;	0.021141302842310;	0.082444906226673;	0.111365033875814;	0.078085729356871;	0.090896533760123;	0.090547728386475;	0.103044146687132;	0.018158359550901;	0.017532482205782;	0.017561865044140;	0.017671743493469;	0.017793376258226;	0.018165269077548;	0.018220580581615;	0.018346475795516;	0.018213930418614;	0.018802451379885;	0.019566613573690;	0.019414660979520;	0.019884667881730;	0.020727827243362;	0.020254940682909;	0.021027445396361;	0.021659434116208;	0.021510421758662;	0.022296034981483;	0.023023678541207;	0.022783440965044;	0.023732435512367;	0.024259458126356;	0.024936183108927;	0.024753319802740;	0.025833144033997;	0.025892802288699;	0.027124796293255;	0.028012621103031;	0.027906651332522;	0.028840581371563;	0.029488256990992;	0.029719129261847;	0.031037115918609;	0.032443560885507;	0.033155716368110;	0.032744752858154;	0.033789267394933;	0.034507083846911;	0.035480370470652;	0.035712476380695;	0.036454715930304;	0.037759671576657;	0.038760604601142;	0.038712416912101;	0.039854610445384;	0.041317327857966;	0.042639194583539;	0.043463086974618;	0.043947256820820;	0.045026402789460;	0.046109080278182;	0.047388626613864;	0.048030218554931;	0.049607291998415;	0.051061421085142;	0.052287577796855;	0.052870233037304;	0.052744554240118;	0.054032705207696;	0.055662822632523;	0.057464845417849;	0.059231189143600;	0.060977474008232;	0.062805086893481;	0.064631259334375;	0.066502723041400;	0.068432442627423;	0.070258132524915;	0.076175849676624;	0.078509431399960;	0.079996759465764;	0.081140890657664;	0.082907738558325;	0.084539094268136;	0.086357014315109;	0.087988728537962;	0.088463974675241;	0.089127064604041;	0.089726729891180;	0.091283217406872;	0.093152531389142;	0.096159720561761;	0.098886463986107;	0.101881776808397;	0.105261964492732;	0.108901409853501;	0.113496952548573;	0.117101105930984;	0.120996621672333;	0.126755160199479;	0.133596167827951;	0.141381665981562;	0.150608305968146;	0.161432985422486;	0.168283814655508;	0.189182632548916;	0.218268829872987;	0.244799109392328;	0.275380718610571;	0.312980598815998;	0.348345770416475;	0.392759557037968;	0.475840935973684
0.373215673843659;	0.034818227120821;	0.038984582089085;	0.034388241676745;	0.030504086651246;	0.028982416053367;	0.046105343804432;	0.040414198660832;	0.022923322673710;	0.021373358193238;	0.082763573815007;	0.111698280022589;	0.078316771529771;	0.091121591163210;	0.090769756815033;	0.103271759491279;	0.018410650692418;	0.017780194108708;	0.017820805611516;	0.017935547940400;	0.018066611638154;	0.018455657935808;	0.018519872518560;	0.018646150961227;	0.018517111480582;	0.019123345011602;	0.019904013521679;	0.019753048778879;	0.020232900207007;	0.021091841026766;	0.020608262376075;	0.021395390531907;	0.022039298831699;	0.021888883846889;	0.022680651031842;	0.023434917730768;	0.023189762529625;	0.024160527236710;	0.024670579208281;	0.025358405758943;	0.025175308344457;	0.026272593467166;	0.026358390910211;	0.027610719917814;	0.028512885679680;	0.028396097600275;	0.029341902086805;	0.029975957171315;	0.030218850115462;	0.031556619402084;	0.032983132776829;	0.033706134275416;	0.033305336441701;	0.034366812216162;	0.035101220030464;	0.036090286085299;	0.036321850701785;	0.037074735515826;	0.038400590216249;	0.039417409326427;	0.039348071648094;	0.040508161040713;	0.041992577756301;	0.043334794174674;	0.044173285721653;	0.044665850661258;	0.045762761636186;	0.046863025748043;	0.048163255820032;	0.048817295183666;	0.050418268318132;	0.051894869393551;	0.053141100326154;	0.053736004607777;	0.053615050129799;	0.054922871617156;	0.056576897610680;	0.058404727927339;	0.060196373648848;	0.061967754206537;	0.063821360777937;	0.065673769191368;	0.067572075436989;	0.069529382531881;	0.071382058674232;	0.076456433340433;	0.078800142309443;	0.080296030228651;	0.081448554112802;	0.083225363293285;	0.084866583005390;	0.086694994127004;	0.088337472916032;	0.088819831416886;	0.089491275433974;	0.090098846808248;	0.091667911427228;	0.093551239198785;	0.096575595676994;	0.099319529678411;	0.102333434627682;	0.105733800708847;	0.109394732206845;	0.114014509103981;	0.117641664007196;	0.121562148916098;	0.127350241299583;	0.134223454052462;	0.142043494123436;	0.151307438741413;	0.162171615320539;	0.169059231569870;	0.190008670707941;	0.219137385748995;	0.245700263406274;	0.276313147247235;	0.313942361311909;	0.349326900268950;	0.393719790027034;	0.512719040276871
0.374109760606268;	0.035656834154231;	0.039843070465458;	0.035114435618572;	0.031117079757511;	0.029649234793626;	0.046821752275052;	0.041060265813245;	0.023410019125994;	0.021808528015323;	0.083327788137061;	0.112265541088951;	0.078699318542923;	0.091481791756205;	0.091108937761223;	0.103604920286551;	0.018765500877989;	0.018119608787211;	0.018152253522999;	0.018268838629532;	0.018396466435309;	0.018787852320083;	0.018846948500294;	0.018973389660329;	0.018835635929177;	0.019440632502151;	0.020229711075363;	0.020069097992525;	0.020550119278758;	0.021417622128096;	0.020924413677594;	0.021717331193919;	0.022365096797155;	0.022207436157208;	0.023012490942747;	0.023758106165570;	0.023504983086795;	0.024477310768879;	0.025014758106431;	0.025708168244879;	0.025515024748865;	0.026620726266024;	0.026675613395538;	0.027938237268038;	0.028846315599875;	0.028732339511323;	0.029686135986121;	0.030346886784583;	0.030579433862469;	0.031927815061339;	0.033365051663080;	0.034092695852890;	0.033667633622063;	0.034734686848307;	0.035465106059639;	0.036460023163992;	0.036695667366821;	0.037453978375669;	0.038786599453833;	0.039808122274897;	0.039755377019513;	0.040921927591621;	0.042414590588548;	0.043763662117469;	0.044605069554173;	0.045096828326621;	0.046197441282235;	0.047300844673115;	0.048605510270001;	0.049255646448321;	0.050862558334201;	0.052343980019256;	0.053593449445535;	0.054186744355056;	0.054054675737785;	0.055366591014813;	0.057026171977122;	0.058859841931310;	0.060656459728311;	0.062432080501592;	0.064289685651559;	0.066145537111414;	0.068046894915261;	0.070006893698178;	0.071861318765025;	0.077147309351282;	0.079505408388830;	0.081011096156205;	0.082171531794598;	0.083958802131016;	0.085609414916280;	0.087447635523175;	0.089099333079288;	0.089581819654371;	0.090255088177023;	0.090862373641712;	0.092439533950558;	0.094332264226335;	0.097370343795610;	0.100126242107184;	0.103152729725897;	0.106566420793204;	0.110240696192444;	0.114875871360129;	0.118513740847509;	0.122445124562552;	0.128247609769344;	0.135135091667792;	0.142968211225256;	0.152244055124636;	0.163117734531671;	0.170006835653108;	0.190968182973673;	0.220093403913447;	0.246638469955190;	0.277229333035182;	0.314831575920341;	0.350179605175055;	0.394505231621975;	0.520723252294360
0.375131765820904;	0.036730016284487;	0.040960578341043;	0.036087595846684;	0.031964035231700;	0.030376694967595;	0.047584477412748;	0.041748890153174;	0.023937282945471;	0.022281846384105;	0.083928224392149;	0.112868932531836;	0.079119193032780;	0.091878338879725;	0.091486617434211;	0.103979629105658;	0.019169050075769;	0.018504261317435;	0.018541993569512;	0.018656112991985;	0.018786877804520;	0.019192107657871;	0.019253568159845;	0.019372044869739;	0.019230394877316;	0.019849040334521;	0.020650841694440;	0.020484668542864;	0.020970857231250;	0.021853019837134;	0.021343154212863;	0.022148362718609;	0.022805946726988;	0.022642930457477;	0.023449219048491;	0.024222150049371;	0.023959983423453;	0.024952945252639;	0.025462565863948;	0.026163647612330;	0.025966915959104;	0.027086789846848;	0.027170808242850;	0.028449974209367;	0.029368742356896;	0.029237059159059;	0.030197920521309;	0.030832277791977;	0.031074459619531;	0.032436774281226;	0.033887860875921;	0.034620608485091;	0.034207810354637;	0.035286319959220;	0.036030611174072;	0.037035098043340;	0.037261747536545;	0.038023196367693;	0.039369719322767;	0.040400226048398;	0.040308112162495;	0.041483703337450;	0.042988191757634;	0.044347741068547;	0.045195008997385;	0.045687107107593;	0.046795927374900;	0.047907345204353;	0.049222151774110;	0.049878316181383;	0.051497061032266;	0.052988983981730;	0.054246936353052;	0.054843422836553;	0.054717721221150;	0.056035827349463;	0.057704186230428;	0.059547584985618;	0.061353257933861;	0.063137460830368;	0.065003910705308;	0.066868411320748;	0.068778484177683;	0.070747314687489;	0.072609806551450;	0.077894052119313;	0.080261231367969;	0.081771389265115;	0.082933995440182;	0.084726110458976;	0.086380828018601;	0.088223850020017;	0.089879949893558;	0.090357819284648;	0.091028723973036;	0.091631879348164;	0.093213957326078;	0.095113383472043;	0.098162844889469;	0.100929064453217;	0.103967053644263;	0.107393552544529;	0.111081234945183;	0.115732242408162;	0.119381934048703;	0.123325785128682;	0.129144465087393;	0.136048531370868;	0.143897788704455;	0.153189701749756;	0.164078824135086;	0.170978446904224;	0.192046460115132;	0.221459868210552;	0.248279540237835;	0.279052597314731;	0.316797858328373;	0.352245334103630;	0.396565313206477;	0.528593135041019
0.376257822367087;	0.037975079788755;	0.042242950402995;	0.037206950462615;	0.032939795663922;	0.031216388819187;	0.048450579395685;	0.042531544339415;	0.024549627425279;	0.022829626027929;	0.084606380584585;	0.113549483883971;	0.079599717066265;	0.092333968078682;	0.091916368710586;	0.104403485327415;	0.022107532706880;	0.018942088597294;	0.018971392796444;	0.019091665985922;	0.019220822637898;	0.019632415993323;	0.019690694041254;	0.019813186364424;	0.019663640555675;	0.020283781163296;	0.021100366189433;	0.020924933722435;	0.021414228954415;	0.022309080949277;	0.021786542188708;	0.022599878659558;	0.023263855085035;	0.023091993219073;	0.023915747709694;	0.024679185394337;	0.024407216256173;	0.025403694950038;	0.025948686787042;	0.026658682873506;	0.026449646209818;	0.027582350977754;	0.027625834620606;	0.028919898088988;	0.029847932095171;	0.029720443649175;	0.030693529022625;	0.031365199828727;	0.031594096407850;	0.032972453248798;	0.034439926181413;	0.035181040456190;	0.034735335370886;	0.035823091889354;	0.036562558265884;	0.037576618353011;	0.037810589123780;	0.038581375250675;	0.039938856250217;	0.040977712587442;	0.040916156210014;	0.042103751608488;	0.043622897731628;	0.044995304023513;	0.045850082821392;	0.046344266650201;	0.047461813376659;	0.048581276213722;	0.049906032848068;	0.050557159173435;	0.052188114496522;	0.053690828579155;	0.054957428285856;	0.055554636774458;	0.055405947241532;	0.056735177910402;	0.058417142381833;	0.060274987833419;	0.062094262960143;	0.063891408642445;	0.065770875525805;	0.067647983025845;	0.069570574416705;	0.071551852207108;	0.073425794149328;	0.078714509121559;	0.081095052189675;	0.082621037989202;	0.083871608801424;	0.085776092151045;	0.087532936664926;	0.089474769618762;	0.091229285550294;	0.091788165872817;	0.092541289548519;	0.093219415183008;	0.094891487051679;	0.096881601908013;	0.100028676077791;	0.102885708088468;	0.106014143811411;	0.109531747582026;	0.113310842500053;	0.118059593644348;	0.121797634830973;	0.125834289111971;	0.131760730054586;	0.138780167845714;	0.146751477230133;	0.156174872544888;	0.167204012853455;	0.174239363967913;	0.195481641189777;	0.225017702900319;	0.251951528103244;	0.282884569885277;	0.320821390080953;	0.356441406223260;	0.400785273833634;	0.536768047770062
0.377543702145177;	0.039415047471204;	0.043708898386003;	0.038490629639052;	0.034061199861324;	0.032183317232682;	0.049427541860981;	0.043418508412869;	0.025253266408596;	0.023461734030988;	0.085369737641069;	0.114310551084561;	0.080151744048135;	0.092854102388151;	0.092409454595395;	0.104890411126389;	0.022630789325600;	0.021942375026418;	0.019471862431580;	0.019585243044726;	0.019716147099883;	0.020143486347721;	0.020202506130257;	0.020311471407394;	0.020155153591183;	0.020789784141442;	0.021619175138326;	0.021435423633838;	0.021927833659660;	0.022838646081839;	0.022294295295749;	0.023119753303993;	0.023793925122432;	0.023614413163497;	0.024436317705460;	0.025231130205952;	0.024947513417046;	0.025966576661563;	0.026475108450983;	0.027192761812986;	0.026978767423843;	0.028126484018628;	0.028203453604117;	0.029515645654931;	0.030455905928624;	0.030307706860643;	0.031288768673925;	0.031928020233190;	0.032167606133542;	0.033561124186052;	0.035043740948341;	0.035790635082362;	0.035360720204242;	0.036461617868190;	0.037217773718910;	0.038242890977169;	0.038548598094453;	0.039514618356311;	0.041055676181330;	0.042191179325906;	0.042118449839391;	0.043375311839589;	0.044963936132781;	0.046398247095379;	0.047301313536213;	0.047829612807132;	0.049001367523590;	0.050179299179464;	0.051571148915886;	0.052272698226124;	0.053977391083152;	0.055551593505262;	0.056885005769488;	0.057533014386086;	0.057434366254668;	0.058829331248033;	0.060585302439345;	0.062520861599394;	0.064416471429378;	0.066288940526425;	0.068245045934507;	0.070198111887330;	0.072195915196966;	0.074252042050793;	0.076197064393977;	0.081035230406098;	0.083486366012122;	0.085063348675545;	0.086304120140559;	0.088199832382371;	0.089962045654677;	0.091924514965091;	0.093707384937306;	0.094275532732981;	0.095056377335573;	0.095766125852544;	0.097509943855501;	0.099587324429356;	0.102846994466725;	0.105823202297950;	0.109082641726952;	0.112743916606970;	0.116679469251823;	0.121605442657784;	0.125518482948568;	0.129747907165676;	0.135900097599654;	0.143167738049296;	0.151407802996110;	0.161124788902943;	0.172470102332202;	0.179827290273127;	0.201472941632537;	0.231294028253879;	0.258482994873539;	0.289786265620200;	0.328188720119388;	0.364267466867996;	0.408853166931794;	0.544983475487430
0.378876296117969;	0.041074625361481;	0.045378607760734;	0.039955581129133;	0.035343458264547;	0.033291250470069;	0.050565358481937;	0.044414310360958;	0.026062541472284;	0.024183344119394;	0.086219576481104;	0.115158312419412;	0.080774578566646;	0.093445647319825;	0.092963956203471;	0.105435249003301;	0.023215641906033;	0.022504269209966;	0.020018860808238;	0.020141069199596;	0.020267979418072;	0.020763768836632;	0.020926640410313;	0.021110275070826;	0.020991836363015;	0.021676615031542;	0.022570693990111;	0.022400261768195;	0.022926715622506;	0.023894757883258;	0.023347264282824;	0.024222734292702;	0.024944529367922;	0.024774125941848;	0.025656082490711;	0.026483952802340;	0.026204152034756;	0.027278291860293;	0.027848613880772;	0.028617519957321;	0.028404235289991;	0.029619071450602;	0.029685232452040;	0.031070752702021;	0.032068291053700;	0.031928085436237;	0.032966862532390;	0.033664046788488;	0.033913101261897;	0.035381426075667;	0.036941354154133;	0.037737966022054;	0.037278883229454;	0.038439053417374;	0.039226698227931;	0.040309019405506;	0.040553976785430;	0.041370134409923;	0.042808300418345;	0.043914219771981;	0.043851481559716;	0.045119876706869;	0.046736350715227;	0.048201191670171;	0.049126726769264;	0.049665799707604;	0.050869695088654;	0.052078455539374;	0.053507799355297;	0.054214424838698;	0.055971306722868;	0.057599237143839;	0.058985691973726;	0.059670088741383;	0.059559424297821;	0.061027549967535;	0.062869958116319;	0.064900835650815;	0.066895669405311;	0.068871605899889;	0.070937754686017;	0.073005380525837;	0.075124140199961;	0.077306678602594;	0.079378899635347;	0.083985714220233;	0.086557260874263;	0.088241094831356;	0.089579871938960;	0.091581333136911;	0.093447540723794;	0.095519617786032;	0.097409811397128;	0.098042114058397;	0.098902880170053;	0.099686428876493;	0.101556951623914;	0.103777817105611;	0.107214941885880;	0.110378449170412;	0.113845502619689;	0.117738781957926;	0.121929255529525;	0.127144888972869;	0.131349383769099;	0.135903391306612;	0.142436137425110;	0.150127592846212;	0.158835836129130;	0.169081929941472;	0.181029536144418;	0.189072702542834;	0.211631941580366;	0.242284667766604;	0.270420486521939;	0.303197943431842;	0.343702556358828;	0.381993429625701;	0.428098246855578;	0.553422908193095
0.435586056726022;	0.044692172076112;	0.049090097988853;	0.043255245542529;	0.038278741279002;	0.035582449542783;	0.053002114161591;	0.046774229633673;	0.027868748711604;	0.025851277601811;	0.088339829306484;	0.117324705696807;	0.082334987670279;	0.094954250919680;	0.094420996787481;	0.106902607267066;	0.025859205545357;	0.024024171330966;	0.024286966535100;	0.021740435109511;	0.021893435824014;	0.022396086462096;	0.022471396231304;	0.022582967458134;	0.022412805158482;	0.023103195227361;	0.024019693543365;	0.023815228043006;	0.024339895847150;	0.025342987162551;	0.024731801213379;	0.025624053961716;	0.026360302050804;	0.026157854251152;	0.027034595451749;	0.027907482863519;	0.027589225299169;	0.028699023460492;	0.029213496131581;	0.029996133671159;	0.029759083754796;	0.031005721312980;	0.031096795794295;	0.032522661243485;	0.033550393419080;	0.033377467338970;	0.034444433567045;	0.035108334884391;	0.035375134668734;	0.036893352766052;	0.038507926234618;	0.039340576748686;	0.038918438696344;	0.040138046981488;	0.040988831178574;	0.042133737993235;	0.042450711880446;	0.043440036605169;	0.045052750424524;	0.046265724317639;	0.046161109325640;	0.047518339642116;	0.049230433350576;	0.050782337422055;	0.051775539543541;	0.052357904699679;	0.053637398259085;	0.054922831358221;	0.056437250057443;	0.057194018838290;	0.059043474066267;	0.060760057722232;	0.062227584090203;	0.062966422935857;	0.062895969062526;	0.064448540814062;	0.066390045357671;	0.068528746044162;	0.070633210961282;	0.072721488265849;	0.074906687290558;	0.077097389194758;	0.079346701167050;	0.081666855104371;	0.083877842166754;	0.088219017777897;	0.090941868614336;	0.092761594064808;	0.094230375377179;	0.096383771710365;	0.098405609310489;	0.100645968223385;	0.102702073416684;	0.103438432916435;	0.104429000042382;	0.105333217734877;	0.107401763845645;	0.109844319450848;	0.113550839285511;	0.117001796440631;	0.120788112691468;	0.125041920606508;	0.129638169129629;	0.135327463956936;	0.140042588147164;	0.145193460117578;	0.152444288158456;	0.160956502193420;	0.170563342087339;	0.181752810388817;	0.194594537642209;	0.203391914280239;	0.226725324144556;	0.257539822411377;	0.285645254029921;	0.318791815364489;	0.359836381280417;	0.398067316233755;	0.443287733254606;	0.562228688727975
0.439048140719327;	0.049027032838591;	0.053396997985147;	0.047026867902828;	0.041574798694484;	0.038420117340846;	0.055856665950778;	0.049350267475134;	0.030047235577006;	0.027694629248781;	0.090516975573001;	0.119480057529143;	0.083901087451891;	0.096439988118884;	0.095806338627513;	0.108258173341634;	0.028116926096138;	0.027337843992441;	0.025620147158628;	0.026073709643578;	0.023236568259430;	0.023784106996193;	0.023902565924770;	0.024058976724587;	0.023900929514167;	0.024636275280084;	0.025634121970421;	0.025436781351651;	0.026000860856174;	0.027088175437771;	0.026462414943178;	0.027420517499094;	0.028224478267023;	0.028029491584961;	0.028988090757595;	0.029901460425691;	0.029583317774712;	0.030765522107855;	0.031372103681368;	0.032225739941907;	0.031980584958641;	0.033318924536953;	0.033357312943021;	0.034877563173937;	0.035980106258283;	0.035815085990591;	0.036958440844848;	0.037708784590789;	0.037964030538445;	0.039572516466676;	0.041280360726026;	0.042168538603983;	0.041688728600282;	0.042977972275927;	0.043861712709986;	0.045074005230428;	0.045384859194594;	0.046383227399442;	0.048053776667397;	0.049334913415175;	0.049264773451102;	0.050709990398554;	0.052528014052363;	0.054181523644803;	0.055257008278248;	0.055894337691244;	0.057269468004322;	0.058653364996773;	0.060277810648866;	0.061082515669537;	0.063055920850466;	0.064893533053991;	0.066473504704763;	0.067286772824820;	0.067217635037196;	0.068893539396019;	0.070974510591449;	0.073263432863818;	0.075520502171165;	0.077764043103245;	0.080112208889589;	0.082469719241560;	0.084894915637395;	0.087398912362959;	0.089793415991529;	0.093917252639462;	0.096845379335458;	0.098851420002268;	0.100501255876829;	0.102865812786880;	0.105104938257314;	0.107580029882964;	0.109863310454664;	0.110739409758734;	0.111909889340723;	0.112983524721872;	0.115335196905051;	0.118100629021605;	0.122200569700600;	0.126077552339236;	0.130324437935480;	0.135067600056071;	0.140157203153935;	0.146320987172413;	0.151389413972940;	0.156813113301006;	0.164256956501255;	0.172835454563341;	0.182358511705831;	0.193345669729510;	0.205915340581135;	0.214559698748893;	0.237799955456571;	0.268281896281265;	0.296171621388510;	0.329508993746210;	0.371010608407640;	0.409549045758427;	0.454604461972196;	0.571374576913316
0.456413841591726;	0.053943963146544;	0.058233075787125;	0.051334035289792;	0.045404827583634;	0.041706537567029;	0.059218186246161;	0.052469955043623;	0.032588531711639;	0.030228646261564;	0.093495053534928;	0.122374547795435;	0.086077626963131;	0.098554068411503;	0.097850383848451;	0.110320619044092;	0.031130618440052;	0.029459831597002;	0.029879091453307;	0.028405588078584;	0.028624553417626;	0.029861351460900;	0.026230932918827;	0.026328162095333;	0.026130586883525;	0.026904601500398;	0.027955133114526;	0.027726068499619;	0.028297029142204;	0.029459217650678;	0.028752770750864;	0.029756731405783;	0.030611807133838;	0.030393009394744;	0.031370163533357;	0.032382132081886;	0.032035394147813;	0.033308648348417;	0.033872944127820;	0.034793139805073;	0.034543998186814;	0.035982862174777;	0.036064033584509;	0.037692036985599;	0.038887671427229;	0.038707809371087;	0.039944209547898;	0.040714484135931;	0.040999981643847;	0.042726347131595;	0.044558539429045;	0.045530053278124;	0.045064633565900;	0.046460749484720;	0.047429996428926;	0.048743635619203;	0.049059551302882;	0.050107584379270;	0.051882588842465;	0.053261813862217;	0.053149053513902;	0.054702124110540;	0.056647736936778;	0.058422376537808;	0.059596876859145;	0.060298891024873;	0.061791040597982;	0.063297139444120;	0.065056952243721;	0.065935361537199;	0.068060052236952;	0.070046537544958;	0.071765576078477;	0.072676798113951;	0.072697636578756;	0.074524415044438;	0.076774306635474;	0.079244929447036;	0.081687121103562;	0.084118800780646;	0.086663946818254;	0.089221640991473;	0.091857712563867;	0.094580649693028;	0.097190249835056;	0.101185185448152;	0.104360736522953;	0.106593502025765;	0.108468112814461;	0.111097477614955;	0.113612751815064;	0.116389631390948;	0.118951386031947;	0.119971754006241;	0.121317682443757;	0.122507327016307;	0.125055653838056;	0.127969740614489;	0.132181702181933;	0.136116611246668;	0.140358472964394;	0.145046099080001;	0.150041738615959;	0.156095655265298;	0.161059569257709;	0.166418446930915;	0.173835601541363;	0.182419546225486;	0.191973458477355;	0.203021515048883;	0.215665295490236;	0.224440825796386;	0.247845640195892;	0.278255154613149;	0.306130679988490;	0.339782351016548;	0.381806484522317;	0.420682789547456;	0.465578861116354;	0.580918281691968
