0.394511580765157;	0.043467384211071;	0.045739337056639;	0.041478203601314;	0.037916391207993;	0.037727434932024;	0.060203609149861;	0.053461846808361;	0.030528184042336;	0.027989543335203;	0.088745709123682;	0.112915300263544;	0.069465763975698;	0.080997951145390;	0.081668345618099;	0.092901166772610;	0.022450224757032;	0.021739900695459;	0.021751875565968;	0.021920666867387;	0.022091709787756;	0.022610963273141;	0.022762967688878;	0.022923772331015;	0.022874742133643;	0.023707681375583;	0.024736986050981;	0.024632448804515;	0.025416946886348;	0.026582764836982;	0.026197057253932;	0.027397239315607;	0.028370432688708;	0.028479103352929;	0.029876852452149;	0.031105036075016;	0.031111831555352;	0.032756623719642;	0.033844908373620;	0.035012628640637;	0.035277336916577;	0.037258202587230;	0.037772659661652;	0.039943904247320;	0.041654204529126;	0.042161510219389;	0.043986880407046;	0.045192588723753;	0.045840460072343;	0.048158907137152;	0.050651903640586;	0.051884201645590;	0.051684428568903;	0.053473249077454;	0.054701437413866;	0.056114733561910;	0.056374581682472;	0.057351079607551;	0.059165552243094;	0.060368942718633;	0.060193911254822;	0.061474998733631;	0.063160535437031;	0.064462288089907;	0.064935136716010;	0.064897231600219;	0.065634718983395;	0.066407223329013;	0.067498340208607;	0.067753288131960;	0.069143093948736;	0.070384146960865;	0.071304626499581;	0.071390074762287;	0.070859104914386;	0.072030396808686;	0.073708853600757;	0.075669222965943;	0.077622028063630;	0.079580506902601;	0.081701083122895;	0.083865962457900;	0.086198004814106;	0.088652400306361;	0.090997954877634;	0.098093292137661;	0.101211494213546;	0.103335383321765;	0.105195383735540;	0.107941482360467;	0.110639408449930;	0.113724203691811;	0.116607350174246;	0.118261330791164;	0.120158671997886;	0.122477754208140;	0.125878373175544;	0.130003458487966;	0.135566556945247;	0.141089120890496;	0.147080739891366;	0.153654313292583;	0.160625804604930;	0.168641011203648;	0.175524623270627;	0.183202936954965;	0.192452757716789;	0.202387453487729;	0.212677759254370;	0.223765552528742;	0.235689272084263;	0.246979932447808;	0.267553492808690;	0.289517307447517;	0.309705685095692;	0.335671929701504;	0.367997497966822;	0.393951855821219;	0.421809333601361;	0.486444567863284
0.395847935774968;	0.044548702872107;	0.046906414231271;	0.042538997871033;	0.038885371667340;	0.038030844687782;	0.060534076073165;	0.053778257391267;	0.030794625295907;	0.028240868182228;	0.089064217056254;	0.113243919138597;	0.069711442636772;	0.081240451219867;	0.081908010262605;	0.093145435585694;	0.022713759453740;	0.022001888073742;	0.022024515676041;	0.022200789840321;	0.022381844514673;	0.022917758616162;	0.023079624707237;	0.023244201525050;	0.023200310835349;	0.024053487386749;	0.025102959756256;	0.025001879499023;	0.025800223693420;	0.026985158529883;	0.026593058360193;	0.027812443657090;	0.028802061796089;	0.028914051558079;	0.030323308932686;	0.031584335849152;	0.031591332324524;	0.033265937765550;	0.034341375915904;	0.035525504113974;	0.035796386114606;	0.037802714219174;	0.038353482497825;	0.040553390027067;	0.042285635396273;	0.042788803473713;	0.044633652012746;	0.045823949913837;	0.046491031327593;	0.048836356839510;	0.051356339319223;	0.052603908915079;	0.052420858771516;	0.054231854834503;	0.055482119335147;	0.056913690851061;	0.057171645575436;	0.058159009380119;	0.059996491389817;	0.061216232365606;	0.061018263753052;	0.062316589363497;	0.064022816267648;	0.065342518218146;	0.065826464456522;	0.065791325597995;	0.066542584673112;	0.067328855854810;	0.068436874008102;	0.068699634085063;	0.070108651000539;	0.071367535604517;	0.072303458776836;	0.072396191775164;	0.071866758683632;	0.073053883723459;	0.074752828312933;	0.076735960371594;	0.078711357764309;	0.080692602101824;	0.082837246836485;	0.085026780742764;	0.087384814860678;	0.089866293220182;	0.092238690026906;	0.098401772893708;	0.101530494686684;	0.103663545998281;	0.105532917318162;	0.108290084754970;	0.110999200501231;	0.114095991625363;	0.116991483903032;	0.118654318510205;	0.120561689727596;	0.122891230016081;	0.126306403643302;	0.130447474642984;	0.136028835823207;	0.141569710216417;	0.147580503883227;	0.154174146273628;	0.161166355478283;	0.169203643043936;	0.176108532130712;	0.183809450609777;	0.193083870119272;	0.203044237833187;	0.213361286851762;	0.224477076942537;	0.236429659671690;	0.247747208396189;	0.268350645967089;	0.290341108887408;	0.310554458934910;	0.336544041321477;	0.368888357551756;	0.394859614649172;	0.422720741807405;	0.519997672998168
0.396811689002352;	0.045334722581778;	0.047698335020648;	0.043220636502858;	0.039474608362800;	0.038690708620388;	0.061219447201527;	0.054409634420650;	0.031312399306444;	0.028709791145479;	0.089626813186476;	0.113801595911699;	0.070116626259352;	0.081626241110675;	0.082272600509244;	0.093501615886965;	0.023083085220134;	0.022357318192972;	0.022373353253726;	0.022551498387119;	0.022729681330655;	0.023267566541633;	0.023425454004405;	0.023590944296268;	0.023540108437077;	0.024394759981748;	0.025454344384414;	0.025344996220870;	0.026148174371370;	0.027344169195050;	0.026944991566562;	0.028173226660113;	0.029169820235770;	0.029277557677994;	0.030704721002117;	0.031961030603149;	0.031963306658516;	0.033643206792149;	0.034751304476238;	0.035944761167654;	0.036209488784610;	0.038229636710476;	0.038747876623345;	0.040962499716013;	0.042704496591664;	0.043215578458916;	0.045072897427099;	0.046300210153295;	0.046955556115203;	0.049315107008245;	0.051849203323187;	0.053103269526980;	0.052895860989081;	0.054714353129239;	0.055958522024075;	0.057396609593888;	0.057659381975195;	0.058652418778956;	0.060496231856983;	0.061719599859337;	0.061539187586095;	0.062842192408790;	0.064554621498463;	0.065878351251249;	0.066361859377867;	0.066321495948626;	0.067072828468687;	0.067858768244894;	0.068967792502470;	0.069222409253451;	0.070633678144347;	0.071893811981777;	0.072829491434111;	0.072916950168632;	0.072373649298528;	0.073562030113377;	0.075263904413769;	0.077250446756888;	0.079228567008978;	0.081211998778687;	0.083358785897119;	0.085550069901670;	0.087909783761259;	0.090392722767500;	0.092765780192533;	0.099159682687431;	0.102302707581799;	0.104445923439777;	0.106324295224624;	0.109093181930530;	0.111813339679792;	0.114921848320257;	0.117828471607898;	0.119493533005800;	0.121404477056496;	0.123737078480224;	0.127162228157043;	0.131314325456170;	0.136909161971249;	0.142461673760172;	0.148483653530140;	0.155087987891684;	0.162089846669588;	0.170136696250504;	0.177047383792631;	0.184753449689620;	0.194032921230985;	0.203996454912141;	0.214314369545909;	0.225428608219463;	0.237376524779298;	0.248683137745042;	0.269275228598331;	0.291247140306451;	0.311437597739248;	0.337400466372587;	0.369712074449404;	0.395649839217686;	0.423469332685122;	0.527498311154206
0.397901693268767;	0.046338162820436;	0.048729688555549;	0.044133240265731;	0.040286771396444;	0.039407400297663;	0.061948250796389;	0.055080272631977;	0.031869343876317;	0.029215483854391;	0.090223026610171;	0.114393195408912;	0.070558090435523;	0.082048804409104;	0.082676027882906;	0.093899714266526;	0.023500403474847;	0.022759806411417;	0.022779702903891;	0.022958483224701;	0.023140022772361;	0.023690406905743;	0.023851364707079;	0.024012801051764;	0.023959599932914;	0.024830301493285;	0.025906307382903;	0.025793754377599;	0.026606104306346;	0.027819998805098;	0.027408838293542;	0.028653798191337;	0.029664606916606;	0.029771686251077;	0.031205097828766;	0.032494385557407;	0.032492528199104;	0.034200618773223;	0.035284533204524;	0.036490203034778;	0.036757115723618;	0.038798292381535;	0.039355359589594;	0.041593548773141;	0.043352604657261;	0.043851426304336;	0.045721833079714;	0.046917706697454;	0.047589040636464;	0.049967547371498;	0.052520237270064;	0.053782016474881;	0.053592259363151;	0.055425325744791;	0.056687951353414;	0.058136136106683;	0.058386392016956;	0.059380716684322;	0.061238716643073;	0.062469965742830;	0.062246427117081;	0.063556330682544;	0.065278135049632;	0.066608851151907;	0.067094009250440;	0.067048077489265;	0.067803152923814;	0.068592850934640;	0.069707809695913;	0.069964096963475;	0.071382380328803;	0.072648320857124;	0.073587892713740;	0.073673972518738;	0.073133954645629;	0.074324604231414;	0.076031647516429;	0.078024619564461;	0.080008794532710;	0.081998121585482;	0.084151370871507;	0.086349179021685;	0.088715976794134;	0.091206347957066;	0.093586319709390;	0.099976019095750;	0.103127384188431;	0.105274851744566;	0.107155881276242;	0.109930255046913;	0.112655575644699;	0.115770198662687;	0.118682540022243;	0.120344528336008;	0.122254290853046;	0.124585588370060;	0.128016996036485;	0.132176913876543;	0.137782508068373;	0.143344739189326;	0.149376687587619;	0.155991207720484;	0.163002913031119;	0.171060011896625;	0.177977814389445;	0.185690731505796;	0.194977226996250;	0.204946336862027;	0.215268141376742;	0.226384847599494;	0.238333826911956;	0.249637992955223;	0.270311154520973;	0.292542732066571;	0.312985905411023;	0.339109242814932;	0.371536273475249;	0.397562866587776;	0.425424444706661;	0.534903685930223
0.399095789494596;	0.047499468216396;	0.049913806042558;	0.045181959992567;	0.041220042901897;	0.040231177546224;	0.062774556577269;	0.055840658455460;	0.032511005449678;	0.029796861836919;	0.090894427639199;	0.115058116901466;	0.071060808549325;	0.082530911852895;	0.083132735470964;	0.094347945794356;	0.025477133602696;	0.023213141780497;	0.023226886296716;	0.023411866624526;	0.023592769600485;	0.024149210741270;	0.024308661330008;	0.024475321825029;	0.024416829486259;	0.025292820816609;	0.026386019758403;	0.026266392154363;	0.027086828149026;	0.028316656219416;	0.027896479658541;	0.029153551408386;	0.030174983352280;	0.030277413396182;	0.031734114744630;	0.033019528121281;	0.033012554088489;	0.034729355010420;	0.035854939944755;	0.037074629772232;	0.037334858253042;	0.039396081106215;	0.039911709686288;	0.042170701076379;	0.043944317108825;	0.044454397665840;	0.046343171513705;	0.047589690763310;	0.048246520322947;	0.050646113327968;	0.053219962795294;	0.054493106470297;	0.054271478201984;	0.056116804750575;	0.057372112548201;	0.058831186079074;	0.059090407613826;	0.060094990763909;	0.061963759130576;	0.063202426405871;	0.063011603987937;	0.064331606888093;	0.066065734808028;	0.067405923282156;	0.067894595929249;	0.067845222579659;	0.068604507568318;	0.069397937344478;	0.070518496748123;	0.070764052102431;	0.072189743023270;	0.073461843602402;	0.074405571074704;	0.074487525433361;	0.073921109807213;	0.075119266938214;	0.076836551453104;	0.078840861392459;	0.080835787075097;	0.082835494755889;	0.084999482520495;	0.087207864421562;	0.089585646894062;	0.092087159092228;	0.094477529632790;	0.100869658481648;	0.104033826289840;	0.106197904495674;	0.108176117200500;	0.111074435758395;	0.113913161274853;	0.117138015046964;	0.120160507557140;	0.121915898914355;	0.123919773669320;	0.126341371853864;	0.129875217713018;	0.134137669752014;	0.139848300897834;	0.145507934808827;	0.151633854647384;	0.158339403338153;	0.165439147757097;	0.173584391754297;	0.180582588579331;	0.188377316055186;	0.197749824809479;	0.207806316317917;	0.218217285587605;	0.229426774646866;	0.241472253693056;	0.252869627057472;	0.273634559199847;	0.295934522746037;	0.316467503313534;	0.342715149896555;	0.375278086405992;	0.401451367282172;	0.429424399648521;	0.542625378327871
0.400440799008850;	0.048839292741674;	0.051268271009727;	0.046383582443929;	0.042289990931223;	0.041175832827925;	0.063705955346671;	0.056699344097971;	0.033243664239503;	0.030461898847630;	0.091647049832148;	0.115800143724962;	0.071633991794667;	0.083078808442519;	0.083653450881798;	0.094859612366754;	0.026012364029445;	0.025292395968713;	0.023742856538942;	0.023925344161268;	0.024108009392643;	0.024678105708005;	0.024838897341177;	0.024997167161436;	0.024933550748155;	0.025826484453168;	0.026936697217548;	0.026811421176279;	0.027639326204512;	0.028888514507135;	0.028452100008058;	0.029725953008559;	0.030762311825248;	0.030862311146196;	0.032322442414231;	0.033644900220001;	0.033631739755834;	0.035378990845957;	0.036472398558145;	0.037704482003610;	0.037966012731211;	0.040049252838293;	0.040608308838379;	0.042892731289844;	0.044685369772115;	0.045181015366189;	0.047084226322836;	0.048292776926200;	0.048967210234436;	0.051387120211830;	0.053980976334731;	0.055262770116271;	0.055062986114295;	0.056924733933131;	0.058201914574962;	0.059672610505781;	0.060026061923453;	0.061283291537360;	0.063385394561373;	0.064742516413259;	0.064551176885263;	0.065949942319139;	0.067759810888848;	0.069163643895258;	0.069699110875808;	0.069677366655176;	0.070487378234011;	0.071336728510217;	0.072521926498927;	0.072813460120909;	0.074307604179744;	0.075645585233647;	0.076650056390798;	0.076775823013939;	0.076256162649405;	0.077514475197430;	0.079300649839361;	0.081378057281689;	0.083445192472965;	0.085516704095305;	0.087754458158146;	0.090036410323300;	0.092488355606646;	0.095064140985533;	0.097525578497970;	0.103409808776581;	0.106646325880318;	0.108864109048698;	0.110832033356327;	0.113720970261931;	0.116567441175442;	0.119817506921986;	0.122874070089869;	0.124646551716460;	0.126686239961587;	0.129154537932306;	0.132771941253420;	0.137134239736897;	0.142965496702257;	0.148753188148767;	0.155016122786233;	0.161867609537423;	0.169122650345613;	0.177435899854363;	0.184603032102451;	0.192580229886434;	0.202151942240547;	0.212419996389095;	0.223054268951206;	0.234500942661126;	0.246796307404470;	0.258445509376225;	0.279472071191591;	0.301965854784716;	0.322710354498685;	0.349250964868341;	0.382152061552170;	0.408707850333542;	0.437059762775111;	0.550407211227887
0.401838486900100;	0.050379849187878;	0.052811844826943;	0.047753723143215;	0.043510293753390;	0.042253722268909;	0.064776012729602;	0.057661772705159;	0.034078972107320;	0.031216594193029;	0.092482918371788;	0.116623632809119;	0.072277883306278;	0.083697111122514;	0.084236125276698;	0.095429621565459;	0.026608166377531;	0.025867394155548;	0.024306779797536;	0.024497492018520;	0.024677545272446;	0.025320255092375;	0.025594847258571;	0.025836210518482;	0.025818728118481;	0.026772277724161;	0.027955961110179;	0.027851470888283;	0.028726639917208;	0.030043264742560;	0.029615769042338;	0.030953075415316;	0.032051416321463;	0.032175438612279;	0.033714197200317;	0.035089563740532;	0.035097875864101;	0.036922290598527;	0.038096771830655;	0.039399558070821;	0.039684387378957;	0.041862262126091;	0.042428367485656;	0.044812378685440;	0.046687282681017;	0.047217825210247;	0.049205695368083;	0.050495905668599;	0.051193246773463;	0.053712469478269;	0.056407886068587;	0.057756759712117;	0.057545311587818;	0.059484992404262;	0.060802312613369;	0.062341056638569;	0.062611566602249;	0.063663853113065;	0.065619863447125;	0.066927866566951;	0.066738832422852;	0.068137358085145;	0.069965086216912;	0.071388697008970;	0.071935660779259;	0.071910133130321;	0.072741165939280;	0.073610705928286;	0.074822891711051;	0.075106760687172;	0.076642637141907;	0.078024985858813;	0.079073959062968;	0.079227130810508;	0.078691464131970;	0.080017993669050;	0.081886744330925;	0.084056663158109;	0.086221225960789;	0.088395506250634;	0.090743689002486;	0.093141483033522;	0.095717675748812;	0.098424091170936;	0.101017903696431;	0.106634179489492;	0.109996613147732;	0.112329024739753;	0.114405593885243;	0.117411439517379;	0.120375050977350;	0.123749515772115;	0.126928766440251;	0.128782896332905;	0.130919329311251;	0.133488119881026;	0.137253207998834;	0.141780712026616;	0.147804323686677;	0.153795675176132;	0.160278954367482;	0.167370685506863;	0.174884582215345;	0.183480147595038;	0.190936741155691;	0.199230260399528;	0.209149759802095;	0.219793343011624;	0.230833232968753;	0.242729136220513;	0.255532931271582;	0.267764641723693;	0.289483880029815;	0.312685195594683;	0.334331764187038;	0.362191589194980;	0.396803154498842;	0.425117624320149;	0.454848040515509;	0.558426484772061
0.451410431097769;	0.053805864079259;	0.056296442018284;	0.050896382800504;	0.046363355511854;	0.044527226836923;	0.067121496284318;	0.059936808129528;	0.035990873946118;	0.032998906897218;	0.094599462906235;	0.118762892909169;	0.073925104980928;	0.085308718157234;	0.085796678256831;	0.096992691620299;	0.028913781764186;	0.027465302610320;	0.027676883650681;	0.026179818327946;	0.026387879463387;	0.027028875114431;	0.027212358449802;	0.027388645438580;	0.027322408378668;	0.028287872251290;	0.029502587405366;	0.029369522717474;	0.030254396343356;	0.031614052320820;	0.031135210079483;	0.032499638695379;	0.033622975189550;	0.033726316221454;	0.035272213241587;	0.036705060158528;	0.036686751760283;	0.038563007983558;	0.039692567274747;	0.041019549342839;	0.041294634572224;	0.043520640211778;	0.044126217680227;	0.046566773405441;	0.048487724162606;	0.049002772225917;	0.051035938181459;	0.052292972240155;	0.053022100253294;	0.055607504222898;	0.058374615651662;	0.059772980753026;	0.059618498099661;	0.061634527592006;	0.063034076535154;	0.064647863807531;	0.065013395814900;	0.066286070375440;	0.068457406273111;	0.069891059587375;	0.069669640830292;	0.071163397082725;	0.073089813377596;	0.074597481350175;	0.075205009992163;	0.075207397231544;	0.076103232187032;	0.077039148025805;	0.078325403284474;	0.078645164623838;	0.080258644119588;	0.081714781702620;	0.082829790201113;	0.083021462408178;	0.082516679636076;	0.083915583277248;	0.085872710747323;	0.088141205120049;	0.090407609231592;	0.092688075080892;	0.095150812017790;	0.097668574967687;	0.100375288497040;	0.103220831089530;	0.105956556172266;	0.111261106205063;	0.114781037662912;	0.117259165320448;	0.119480166528176;	0.122654323181824;	0.125793341653960;	0.129358787291053;	0.132727933193316;	0.134713842153474;	0.137007423112812;	0.139739199716825;	0.143737158227801;	0.148522953850574;	0.154844054392702;	0.161153562283365;	0.167982555739904;	0.175456734498379;	0.183395174129444;	0.192472530097250;	0.200464110740622;	0.209381206611482;	0.220026189896684;	0.231495387815725;	0.243436202136064;	0.256261549766085;	0.269916190091688;	0.282788978982115;	0.304977944297031;	0.328258993130448;	0.349856505202292;	0.377815711008785;	0.412403840662478;	0.440208733018080;	0.469114310943464;	0.566821385944725
0.455121994909310;	0.057898044325121;	0.060344490072376;	0.054482707167311;	0.049550735597209;	0.047329894238512;	0.069864809157865;	0.062451192584601;	0.038211049871188;	0.034945346126800;	0.096758720470732;	0.120875027333890;	0.075558417524793;	0.086872263158970;	0.087261203699857;	0.098418328378431;	0.030893295460592;	0.030128523914122;	0.029058112923705;	0.029531348548490;	0.027778393383048;	0.028464213908920;	0.028699300905033;	0.028929624795768;	0.028886061599005;	0.029911246758894;	0.031219347470439;	0.031104128873457;	0.032048202009863;	0.033506823636426;	0.033031780620886;	0.034481200932637;	0.035693183340417;	0.035825945220044;	0.037479766044700;	0.038981971665702;	0.038989600068718;	0.040968959060378;	0.042216579713971;	0.043641344058955;	0.043940308923791;	0.046295571550695;	0.046869084837621;	0.049437866651438;	0.051466409790990;	0.052026183031942;	0.054171063281896;	0.055548357061120;	0.056278660080181;	0.058983683673675;	0.061872878581959;	0.063346544046533;	0.063155455624240;	0.065262202418292;	0.066703298831462;	0.068395442163034;	0.068750391240714;	0.070023881267999;	0.072253410596849;	0.073758402596787;	0.073578874597274;	0.075160988368730;	0.077192673613786;	0.078795930707906;	0.079476364844279;	0.079514957784092;	0.080493171251291;	0.081515296642161;	0.082898583309792;	0.083247914737656;	0.084968217674528;	0.086528582321194;	0.087738889710495;	0.087985904239592;	0.087472762362331;	0.088981322594687;	0.091065553319690;	0.093473621530999;	0.095883693560465;	0.098312397346759;	0.100933060518803;	0.103614202468601;	0.106497360264412;	0.109529242350582;	0.112453035715586;	0.117492650425476;	0.121227088739428;	0.123905799426478;	0.126328437827571;	0.129737307024175;	0.133121753074525;	0.136954111144469;	0.140584374006150;	0.142749731389228;	0.145263498682530;	0.148227591178674;	0.152564839498914;	0.157737174055467;	0.164511738966152;	0.171317918861606;	0.178679951719089;	0.186716312043328;	0.195216962908485;	0.204813236216891;	0.213194592665538;	0.222385631196361;	0.233158289334765;	0.244579681249060;	0.256273628588227;	0.268691168650189;	0.281855781463473;	0.294331496254614;	0.316138632832049;	0.339020091227911;	0.360379832493336;	0.388383171813020;	0.423153878033667;	0.451067292618061;	0.479935004163658;	0.575563821845237
0.470897564515128;	0.062534745078232;	0.064905156373933;	0.058586486587958;	0.053259551273177;	0.050571621478909;	0.073088759151337;	0.065485627857902;	0.040872212936632;	0.037521744067791;	0.099667895581021;	0.123730739552330;	0.077839088153570;	0.089116118919229;	0.089437378221794;	0.100603678900878;	0.033701232486609;	0.032353635939865;	0.032696113430732;	0.031950707112327;	0.032239863693959;	0.033400967007612;	0.031127648836549;	0.031315875052318;	0.031238812080286;	0.032313191196710;	0.033689285001420;	0.033552039346651;	0.034521713157798;	0.036068845776517;	0.035535237439885;	0.037049052836787;	0.038332082131362;	0.038463244398097;	0.040159870764685;	0.041785982606705;	0.041791179021120;	0.043894737587935;	0.045126372610642;	0.046644013475181;	0.046973253438758;	0.049468273438166;	0.050115970321250;	0.052831061491364;	0.054991896079357;	0.055580392989697;	0.057861362784888;	0.059281001138843;	0.060068891360619;	0.062930172622435;	0.065982632138048;	0.067569073696165;	0.067427917628281;	0.069673197451748;	0.071224825264813;	0.073037302815614;	0.073398648067607;	0.074724123352972;	0.077068545246630;	0.078679490186745;	0.078465900228644;	0.080157140828568;	0.082316031518211;	0.084033049458173;	0.084800926458857;	0.084880796715759;	0.085959732282934;	0.087089162135425;	0.088591916664699;	0.088993909091367;	0.090844446581007;	0.092533067331741;	0.093861182280483;	0.094183216555096;	0.093747468472595;	0.095389784796655;	0.097627405758334;	0.100203891276728;	0.102788089984329;	0.105396399709746;	0.108207999576258;	0.111085166824387;	0.114180071050510;	0.117434046144065;	0.120578363072023;	0.125445300121622;	0.129439304177652;	0.132363708160677;	0.135038623335466;	0.138744791569979;	0.142444850914184;	0.146625446325239;	0.150583511286366;	0.152949945104733;	0.155694905142024;	0.158853908706449;	0.163448009338749;	0.168819879938440;	0.175731386926644;	0.182605774698415;	0.189945275115017;	0.197881517908523;	0.206218858026966;	0.215608724000442;	0.223798639286821;	0.232829126356830;	0.243460954064091;	0.254775329174039;	0.266391667068329;	0.278763031587936;	0.291899079410345;	0.304363053690467;	0.326153877964786;	0.348958533539770;	0.370324669924004;	0.398532323938386;	0.433581159680480;	0.461649832338068;	0.490502857713054;	0.584716808081430
