0.392784829325785;	0.043575453084565;	0.045461652159818;	0.041289076187913;	0.037825604081327;	0.037765973930898;	0.059544509175518;	0.053155630901162;	0.030843765186070;	0.028373281184967;	0.086532703673227;	0.109793254840765;	0.067779098036754;	0.078726760897518;	0.079280325876782;	0.090110552102299;	0.022693408734508;	0.021961998908892;	0.021934282537873;	0.022091218975830;	0.022222551335001;	0.022692871098246;	0.022807548018567;	0.022968164562245;	0.022898072532828;	0.023713488482371;	0.024734970048187;	0.024618460196185;	0.025390881574608;	0.026544808885738;	0.026163924826540;	0.027354368550412;	0.028335469884691;	0.028450918088392;	0.029847850910698;	0.031100229561022;	0.031133193400398;	0.032814283189480;	0.033947355921465;	0.035176655302272;	0.035504711846984;	0.037566911265513;	0.038195313638153;	0.040492711837324;	0.042335975552609;	0.043009009680154;	0.045026228067609;	0.046452639106681;	0.047325864509147;	0.049931876014831;	0.052758322801934;	0.054307622637692;	0.054452980674804;	0.056667000760931;	0.058335032848721;	0.060185894002741;	0.060846009848639;	0.062301184907745;	0.064674172953713;	0.066407149653497;	0.066748157522131;	0.068588175426398;	0.070880148744591;	0.072702692028769;	0.073587693691335;	0.073916064935640;	0.075057166996381;	0.076231301315950;	0.077719308799824;	0.078215821670904;	0.079908536073567;	0.081399196568397;	0.082489058197050;	0.082575444930881;	0.082049498382600;	0.083274579994052;	0.085038395589422;	0.087080650029390;	0.089067225665516;	0.091019728698548;	0.093110430485830;	0.095197379837524;	0.097477626992834;	0.099854210534541;	0.102073915909455;	0.109361246730738;	0.112399030064903;	0.114350932990681;	0.116057434439835;	0.118751258063649;	0.121402218704577;	0.124480477102787;	0.127307968198679;	0.128860490736738;	0.130634450833516;	0.132988669408588;	0.136416565129604;	0.140625530678877;	0.146285178359481;	0.151902192200601;	0.157949292902158;	0.164542910356523;	0.171491916059607;	0.179406242052608;	0.186118600542825;	0.193614116834407;	0.202547078009090;	0.212038552571516;	0.221813199536051;	0.232298808507955;	0.243531280148789;	0.254208675649229;	0.273476655357247;	0.293946725640213;	0.312937467617736;	0.337747389818615;	0.368766762454763;	0.393460012783780;	0.420136834434966;	0.471076631161352
0.394129648358700;	0.044648412267718;	0.046618055515130;	0.042339815278855;	0.038785399349066;	0.038066616367219;	0.059871501645515;	0.053468580244997;	0.031108265123446;	0.028623018438691;	0.086847368394478;	0.110117507856668;	0.068022609734717;	0.078967903565080;	0.079518686409202;	0.090353338492746;	0.022954624409298;	0.022221730412994;	0.022204299509577;	0.022368741533437;	0.022509767695955;	0.022996266740542;	0.023120446487554;	0.023285030785164;	0.023219890528594;	0.024055272109934;	0.025096815439090;	0.024983651138806;	0.025769860916959;	0.026942743449382;	0.026555732967896;	0.027765285073158;	0.028762841134036;	0.028881703358377;	0.030290369588753;	0.031575337059742;	0.031608729274285;	0.033319756093252;	0.034441326297898;	0.035687522331416;	0.036022332350976;	0.038110609686270;	0.038775391882717;	0.041102313545890;	0.042968512750101;	0.043638740865068;	0.045676790282087;	0.047089719683458;	0.047983803373498;	0.050618438435044;	0.053473787275999;	0.055040453296970;	0.055205204503180;	0.057444014618498;	0.059137003182190;	0.061008887158692;	0.061669533758990;	0.063138598214856;	0.065537867895178;	0.067290581932008;	0.067612825155480;	0.069473701935333;	0.071789983124211;	0.073633856971916;	0.074533371872665;	0.074867707081547;	0.076025960712378;	0.077217238442298;	0.078725291275615;	0.079232243306419;	0.080946457843731;	0.082457086476072;	0.083564417793751;	0.083659649531596;	0.083137573319943;	0.084379520739890;	0.086164478611547;	0.088229772917308;	0.090238871480596;	0.092213737327044;	0.094327731962065;	0.096438155418488;	0.098743102802591;	0.101145126835756;	0.103389763979929;	0.109687133750622;	0.112735016107819;	0.114695715325889;	0.116411302510865;	0.119115855269838;	0.121777667415623;	0.124867560925422;	0.127706992176285;	0.129268023518252;	0.131051528039518;	0.133416067977820;	0.136858174631460;	0.141082740364930;	0.146760052254692;	0.152394822429946;	0.158460458677817;	0.165073417899574;	0.172042362210721;	0.179977832750744;	0.186710725886375;	0.194228067471764;	0.203184666994329;	0.212700870503201;	0.222501374899396;	0.233014143255754;	0.244274716615107;	0.254978470326641;	0.274275643719917;	0.294772208141166;	0.313788200826632;	0.338621893944364;	0.369660699600449;	0.394371895102373;	0.421053785751454;	0.504811772741508
0.395099569301372;	0.045428634768642;	0.047403194641510;	0.043015360221740;	0.039369332015003;	0.038720633931059;	0.060549961826973;	0.054093299736654;	0.031622318242957;	0.029089024736150;	0.087403417437566;	0.110668020502616;	0.068424297808237;	0.079351510613400;	0.079881311165745;	0.090707386726790;	0.023320735923829;	0.022573997230544;	0.022549909985714;	0.022716107707702;	0.022854082702679;	0.023342302416964;	0.023462353603575;	0.023627849176917;	0.023555753193816;	0.024392723393315;	0.025444305180303;	0.025322887673110;	0.026114048613239;	0.027297938399073;	0.026903915793403;	0.028122330204109;	0.029127017644212;	0.029241727588879;	0.030668181580976;	0.031949146130231;	0.031978108597777;	0.033694863970810;	0.034848510966985;	0.036104384693650;	0.036433472311487;	0.038536007074079;	0.039169882389769;	0.041512104123048;	0.043388700217963;	0.044067697633992;	0.046119063722481;	0.047569672833600;	0.048452928374849;	0.051102899699616;	0.053973550349755;	0.055548007371282;	0.055690012337570;	0.057937867022194;	0.059626229755273;	0.061506172968783;	0.062173522544167;	0.063650100150614;	0.066057405330650;	0.067815518506545;	0.068157508513417;	0.070024867723276;	0.072349083099583;	0.074198543306674;	0.075099188914553;	0.075429721379837;	0.076589478232520;	0.077781804466815;	0.079292053552913;	0.079791475224668;	0.081508645572697;	0.083021125650031;	0.084128734278547;	0.084218895036668;	0.083683620060911;	0.084926759887274;	0.086714368998588;	0.088782592743029;	0.090793759163458;	0.092769997699126;	0.094885148120555;	0.096996159612735;	0.099301582663664;	0.101703723885832;	0.103947584263752;	0.110486863589257;	0.113547432973489;	0.115516829562787;	0.117240105941263;	0.119954940807125;	0.122626387027392;	0.125726558569856;	0.128575602470752;	0.130137500391320;	0.131922931950012;	0.134289628056527;	0.137740378848161;	0.141974575093528;	0.147663596256719;	0.153308374200767;	0.159383473161391;	0.166005320205192;	0.172982105763384;	0.180925163285231;	0.187662283489271;	0.195183213712605;	0.204143114915134;	0.213660845460909;	0.223460733603789;	0.233970604943237;	0.245225334978273;	0.255917315174610;	0.275202220321798;	0.295679974692631;	0.314673249520286;	0.339480517774657;	0.370487114505697;	0.395165587562626;	0.421806847173440;	0.512438006767264
0.396196533441380;	0.046424982072886;	0.048426228195245;	0.043920219576437;	0.040174508986291;	0.039431239904768;	0.061271869524820;	0.054757201590221;	0.032175366611563;	0.029591596409300;	0.087992991742598;	0.111252380195119;	0.068861999848591;	0.079771714653064;	0.080282552472966;	0.091103089549827;	0.023734415088071;	0.022973039955002;	0.022952407951095;	0.023119361831749;	0.023260366437932;	0.023760567318929;	0.023883338685179;	0.024045129510213;	0.023970534441167;	0.024823345570482;	0.025891322822561;	0.025766643193507;	0.026567002003992;	0.027768658517819;	0.027363002224320;	0.028598095751916;	0.029617073481124;	0.029731262529998;	0.031164285883098;	0.032477930018147;	0.032503009498511;	0.034248080879553;	0.035379141096236;	0.036647746334872;	0.036979614831777;	0.039103799122316;	0.039776314386838;	0.042142915524440;	0.044037493200556;	0.044705475419124;	0.046771156512558;	0.048192228172972;	0.049092936143824;	0.051763344342303;	0.054654188834180;	0.056238099579240;	0.056399973805765;	0.058664500440205;	0.060373663297091;	0.062265839008321;	0.062922310959420;	0.064402380093974;	0.066826286158614;	0.068594747307693;	0.068896870527705;	0.070773681374688;	0.073109756469285;	0.074968461168312;	0.075873018565990;	0.076200025651337;	0.077365654519483;	0.078563817527154;	0.080081844240107;	0.080584610849813;	0.082309901362070;	0.083829152372412;	0.084941516626493;	0.085030920903658;	0.084499966776465;	0.085745466188945;	0.087538032039958;	0.089612201657483;	0.091628714269728;	0.093609925664453;	0.095730374640058;	0.097846496948232;	0.100157531688126;	0.102565428305463;	0.104814389780501;	0.111346615215283;	0.114413478124294;	0.116385289751924;	0.118109551670026;	0.120828096132566;	0.123503002745517;	0.126607587985311;	0.129460606851212;	0.131017899268559;	0.132800352700508;	0.135164728827911;	0.138620310928753;	0.142860871190937;	0.148558872096056;	0.154211761022247;	0.160295164504705;	0.166925484726501;	0.173910419632893;	0.181861877504112;	0.188604643686704;	0.196130949493014;	0.205096198550040;	0.214617914866740;	0.224420231612715;	0.234931229872653;	0.246185854335862;	0.256874573476507;	0.276240016213775;	0.296978139465404;	0.316225377087590;	0.341194285744416;	0.372317852139065;	0.397087460192160;	0.423773891309359;	0.519975234530612
0.397398359057989;	0.047578445913211;	0.049601404435707;	0.044960541998904;	0.041100149317804;	0.040248315429242;	0.062090835924070;	0.055510342241006;	0.032812627179167;	0.030169454546226;	0.088657275502791;	0.111909529900762;	0.069360546650549;	0.080251102992930;	0.080736809981496;	0.091548663256708;	0.025635152774838;	0.023422370771144;	0.023395517816470;	0.023568487416615;	0.023708614632548;	0.024214545336171;	0.024335584806604;	0.024502556602457;	0.024422614515006;	0.025280839727681;	0.026365885495870;	0.026234097134105;	0.027042692576570;	0.028260206582151;	0.027845617367361;	0.029092845007000;	0.030122640169703;	0.030232292222212;	0.031688474854831;	0.032999134470261;	0.033019454489394;	0.034773788675118;	0.035945822451898;	0.037228888686798;	0.037554619357192;	0.039699407054825;	0.040332573453880;	0.042720732408412;	0.044630708550277;	0.045311065144153;	0.047396215015814;	0.048868773318701;	0.049756176095486;	0.052449112361800;	0.055362660425293;	0.056959645156042;	0.057091868994201;	0.059370721143520;	0.061074565330468;	0.062979715026884;	0.063647755772884;	0.065140621123746;	0.067577641865142;	0.069356002411073;	0.069693849622120;	0.071583308169057;	0.073934162900803;	0.075804602762774;	0.076715028040672;	0.077040788363940;	0.078212827088093;	0.079416884644426;	0.080942414821630;	0.081435461348373;	0.083169424236786;	0.084696000303085;	0.085813617792268;	0.085899530946737;	0.085343826409388;	0.086597148762974;	0.088399948344154;	0.090485151197365;	0.092511862375494;	0.094502671455073;	0.096632815284143;	0.098758200458764;	0.101078837805151;	0.103496268784312;	0.105753870906891;	0.112285909789128;	0.115363576383693;	0.117350664498522;	0.119175141295858;	0.122021165623808;	0.124812025142818;	0.128028659736098;	0.130993113760311;	0.132644980483182;	0.134521729791190;	0.136977670154810;	0.140535701989533;	0.144878278216720;	0.150679565601676;	0.156427950712001;	0.162602821809004;	0.169321126869957;	0.176390733146798;	0.184426258181785;	0.191246124291744;	0.198850762509228;	0.207897829416261;	0.217502828264382;	0.227390481238036;	0.237990675501542;	0.249338584312260;	0.260118158408292;	0.279572714320665;	0.300379132880467;	0.319717598669696;	0.344812329202755;	0.376074157097115;	0.400994596941115;	0.427798523423354;	0.527840543369187
0.398751875045257;	0.048909643282693;	0.050946342162932;	0.046153117934239;	0.042161806292936;	0.041185623512456;	0.063014527745306;	0.056361244758642;	0.033540410518406;	0.030830481745457;	0.089402269993913;	0.112643325487801;	0.069929016347718;	0.080795965482772;	0.081254711541936;	0.092057271751410;	0.026165754490019;	0.025422468248324;	0.023906643827202;	0.024077352629260;	0.024218866284975;	0.024737850613587;	0.024859834487883;	0.025018910327312;	0.024933703732598;	0.025808655125089;	0.026910733759854;	0.026773239996263;	0.027589384040814;	0.028826128390241;	0.028395728998874;	0.029659720587694;	0.030704541529861;	0.030811921589031;	0.032271944254284;	0.033619283841236;	0.033633685022389;	0.035418602384456;	0.036560314801403;	0.037856333925622;	0.038184002691625;	0.040351467166726;	0.041027741727378;	0.043442177091560;	0.045372133227052;	0.046039371299573;	0.048140236657682;	0.049576912660463;	0.050483437676613;	0.053198209871333;	0.056133402088471;	0.057740841032094;	0.057897206015144;	0.060194631996252;	0.061922767472243;	0.063841742335207;	0.064609383015874;	0.066366940588299;	0.069049669083153;	0.070955777003198;	0.071303489839445;	0.073280544001260;	0.075715756816103;	0.077657865807842;	0.078623145281354;	0.078984232015041;	0.080215196946267;	0.081483851246726;	0.083082546101647;	0.083629342898794;	0.085438766856842;	0.087037975873188;	0.088222871129100;	0.088358291412724;	0.087856490891445;	0.089174332466351;	0.091049425792758;	0.093210178706424;	0.095310659841431;	0.097373937980400;	0.099577475510861;	0.101774898999425;	0.104167637521823;	0.106656192092698;	0.108980851382512;	0.114963888307894;	0.118110020720573;	0.120146937608009;	0.121954562199711;	0.124784125010379;	0.127576857965481;	0.130813524900291;	0.133807183109697;	0.135472385435234;	0.137380698734299;	0.139881966827066;	0.143521083612963;	0.147961069895091;	0.153879511338830;	0.159752911667572;	0.166061318423098;	0.172921628633899;	0.180142371085720;	0.188340848128623;	0.195325770786098;	0.203108693518484;	0.212349627581972;	0.222160835337014;	0.232266699432382;	0.243099205763664;	0.254692567485840;	0.265720582937637;	0.285432717464058;	0.306433206308300;	0.325985538918325;	0.351374933589902;	0.382977824791782;	0.408287587168754;	0.435481630203678;	0.535770098369991
0.400158814601047;	0.050440770795163;	0.052479855560380;	0.047513606911410;	0.043373177777452;	0.042255520266094;	0.064075851184188;	0.057315480393693;	0.034370255067264;	0.031580744870988;	0.090230140895027;	0.113458128251938;	0.070567785371029;	0.081410788273939;	0.081834281508273;	0.092623939857739;	0.026756480208780;	0.025992409758554;	0.024465528960291;	0.024644193940547;	0.024782845861271;	0.025373436780964;	0.025607643437647;	0.025849093396077;	0.025809285040884;	0.026744461232591;	0.027919420982886;	0.027802245956766;	0.028665621741024;	0.029969284670863;	0.029547806791571;	0.030874953570134;	0.031981842327742;	0.032113228493345;	0.033651607932518;	0.035052963138290;	0.035089410652455;	0.036952346612995;	0.038175380094067;	0.039543366519160;	0.039895915670214;	0.042159719852514;	0.042846504109414;	0.045362999131303;	0.047378070329909;	0.048084136311871;	0.050273678686451;	0.051796612965684;	0.052730854715277;	0.055550378521607;	0.058593124173137;	0.060274325609662;	0.060427730021499;	0.062811477551994;	0.064588593188599;	0.066584498270902;	0.067274816893911;	0.068827728807644;	0.071364812151378;	0.073226198951062;	0.073583167570871;	0.075565927144506;	0.078025197703587;	0.079993190263062;	0.080976688159243;	0.081340550979273;	0.082599344368629;	0.083894943779166;	0.085526828480045;	0.086070623111346;	0.087927055818824;	0.089576117196224;	0.090811284664044;	0.090979169755638;	0.090469773016879;	0.091860835284086;	0.093822988252697;	0.096080197288883;	0.098281548852463;	0.100450502366426;	0.102766624647107;	0.105081107392219;	0.107599112534878;	0.110218336461101;	0.112674549870304;	0.118361029870785;	0.121630427555580;	0.123779745997529;	0.125693941672351;	0.128637361334496;	0.131544037744340;	0.134901564846814;	0.138013822504840;	0.139757397714752;	0.141757684912593;	0.144358560063200;	0.148142406559896;	0.152744477018597;	0.158850557146710;	0.164923541049108;	0.171447688933376;	0.178543165482038;	0.186017444213011;	0.194491665485161;	0.201761180825531;	0.209855019608061;	0.219436532393829;	0.229615831421726;	0.240120181867023;	0.251395231312140;	0.263491528786777;	0.275098683584433;	0.295500213186887;	0.317214430377141;	0.337680217483742;	0.364398251919113;	0.397720829609781;	0.424803947375993;	0.453395385854826;	0.543945842365307
0.449787135020384;	0.053846226191239;	0.055940889065914;	0.050633675969731;	0.046205320333546;	0.044512718535498;	0.066402107599440;	0.059568949158021;	0.036270891420231;	0.033353716064817;	0.092325629937409;	0.115573929497472;	0.072202807731671;	0.083014820884290;	0.083387751405945;	0.094178961674979;	0.029019057523284;	0.027578366400580;	0.027740240379340;	0.026312390493061;	0.026477625416296;	0.027065039591393;	0.027207950016995;	0.027385801463268;	0.027297213263480;	0.028244313844432;	0.029450426079990;	0.029304603490507;	0.030178086290767;	0.031524526434835;	0.031052709186654;	0.032407111093842;	0.033539440908206;	0.033650617920132;	0.035196974990264;	0.036655794880299;	0.036666433424801;	0.038581933120738;	0.039763092492738;	0.041156629291495;	0.041500953979260;	0.043814448495353;	0.044541628960083;	0.047116670410648;	0.049180008343053;	0.049873666738898;	0.052111518547140;	0.053605764511061;	0.054575464346943;	0.057465096767464;	0.060583906683114;	0.062319592996587;	0.062536490483975;	0.065003020603312;	0.066869678288020;	0.068947919369838;	0.069742814565309;	0.071531213969437;	0.074298728894022;	0.076299103881308;	0.076640135794633;	0.078731607532930;	0.081302878194215;	0.083367440667135;	0.084424304753335;	0.084828237184170;	0.086164379775255;	0.087539045156305;	0.089256769809383;	0.089846679709432;	0.091789679695568;	0.093521074088435;	0.094830491510449;	0.095043810654925;	0.094575082305427;	0.096043887383908;	0.098098597426464;	0.100457461686974;	0.102762748596905;	0.105039036149041;	0.107469691481561;	0.109902756790410;	0.112549749848443;	0.115305365515467;	0.117899819774313;	0.123237793458925;	0.126660111852704;	0.128951397984685;	0.131006835486573;	0.134114717161893;	0.137192986241990;	0.140737374973521;	0.144034702925587;	0.145906510631706;	0.148058303887270;	0.150822224366018;	0.154836101198989;	0.159693433008494;	0.166091888454470;	0.172478767561416;	0.179343680905451;	0.186816259883468;	0.194709885290832;	0.203659919386987;	0.211462232743673;	0.220178566885109;	0.230484375232669;	0.241490210645380;	0.252899098774039;	0.265108415963313;	0.278059250562908;	0.290305080483300;	0.311168620494174;	0.332965510084065;	0.353380307852309;	0.380178712502684;	0.413451153643784;	0.440006946503187;	0.467766897267102;	0.552509429846324
0.453524327828249;	0.057916135405412;	0.059965225196866;	0.054197308556608;	0.049371801965587;	0.047296889426171;	0.069125533934155;	0.062063283759022;	0.038476331887002;	0.035290315652209;	0.094465533700791;	0.117665158728659;	0.073824523709087;	0.084570760979702;	0.084845542334852;	0.095597225258934;	0.030963560703025;	0.030173182730749;	0.029110153836830;	0.029561305148686;	0.027855470141318;	0.028486486165527;	0.028679695950172;	0.028911362773736;	0.028844790949572;	0.029851502318083;	0.031150397250379;	0.031021802689110;	0.031954669528040;	0.033399373074333;	0.032931439633807;	0.034370551314421;	0.035591748048569;	0.035732332775033;	0.037386306541776;	0.038916306032562;	0.038953737941189;	0.040973745224678;	0.042272985719781;	0.043766110049831;	0.044136520932543;	0.046581644550271;	0.047282406309792;	0.049989100965881;	0.052163896761415;	0.052907635354893;	0.055262586859660;	0.056883014756697;	0.057860250545166;	0.060876612508446;	0.064125268991320;	0.065944906496917;	0.066136652197690;	0.068704581491400;	0.070624089423271;	0.072791892820846;	0.073586954602608;	0.075386959193897;	0.078224368331702;	0.080309781828119;	0.080710314104936;	0.082905567809583;	0.085597832934640;	0.087773225120624;	0.088919116702608;	0.089374900796707;	0.090809586486943;	0.092286999698049;	0.094117263906509;	0.094749589792062;	0.096812043770106;	0.098659996520018;	0.100076723636216;	0.100355451823610;	0.099894012797091;	0.101480823120703;	0.103669335562786;	0.106173011664950;	0.108625838099898;	0.111052891655988;	0.113642367190201;	0.116237783025517;	0.119059999979302;	0.121999088661328;	0.124777450791194;	0.129810571286450;	0.133442188570080;	0.135929870218724;	0.138183490875729;	0.141521978186359;	0.144841513180830;	0.148648166467574;	0.152200884729841;	0.154248268029767;	0.156613789820445;	0.159612030611316;	0.163964226577554;	0.169208283922103;	0.176059618493245;	0.182945214929284;	0.190345699360145;	0.198383347163530;	0.206841415837381;	0.216308342523001;	0.224495508947736;	0.233474257653094;	0.243888119003428;	0.254820088065365;	0.265951600575148;	0.277720319853597;	0.290150240664147;	0.301972062809490;	0.322433163547991;	0.343824381996934;	0.363996820887561;	0.390830094920914;	0.424276644717930;	0.450939679500269;	0.478666346351049;	0.561431097960924
0.469333984191080;	0.062529612958079;	0.064502265420476;	0.058277661805947;	0.053058413003420;	0.050518899920471;	0.072327619936850;	0.065074482309446;	0.041123849111937;	0.037850468533431;	0.097347333669450;	0.120493787203977;	0.076090015104435;	0.086805189068363;	0.087012897550016;	0.097772447661064;	0.033732942290400;	0.032383260878226;	0.032668539522371;	0.031960119534884;	0.032201964765850;	0.033287215287474;	0.031083713517059;	0.031275142423391;	0.031174508412932;	0.032230058952563;	0.033597044441491;	0.033445998787662;	0.034405001057220;	0.035937619997422;	0.035412427934032;	0.036915958330363;	0.038208637695014;	0.038348013931997;	0.040045812707637;	0.041699673811313;	0.041735671219604;	0.043880956206810;	0.045168449767306;	0.046756550875650;	0.047159655041946;	0.049747126911305;	0.050524878333709;	0.053381668626396;	0.055693024058544;	0.056471573620489;	0.058968722936689;	0.060639784745265;	0.061682069632998;	0.064862866900611;	0.068283873028851;	0.070226567578378;	0.070481737209281;	0.073201105314788;	0.075245253052033;	0.077547353100533;	0.078362133492988;	0.080228985230224;	0.083197071900203;	0.085405889385357;	0.085795788249052;	0.088119503637314;	0.090958664987351;	0.093266862724409;	0.094520302239375;	0.095036937906490;	0.096592567934891;	0.098198041646161;	0.100167248715355;	0.100869529773841;	0.103078285191893;	0.105070215262095;	0.106620001450002;	0.106987064387081;	0.106620651460800;	0.108352070505969;	0.110702854763767;	0.113382141322092;	0.116014690149550;	0.118625338464399;	0.121407711734477;	0.124198620979421;	0.127231880502805;	0.130390197120760;	0.133384415854829;	0.138205571577692;	0.142091104381730;	0.144820147493246;	0.147322899085751;	0.150955582689902;	0.154588099061542;	0.158740546873328;	0.162617327681524;	0.164864129234744;	0.167455021932080;	0.170650855946883;	0.175255294040176;	0.180689853721592;	0.187662206909940;	0.194596560532585;	0.201949303936693;	0.209857407480991;	0.218119998350397;	0.227346610776243;	0.235312913814279;	0.244103748207043;	0.254351308475161;	0.265154290069641;	0.276190348509260;	0.287898781447307;	0.300289438086789;	0.312089377523559;	0.332528078068120;	0.353846200277100;	0.374027352718450;	0.401060383564623;	0.434779002007504;	0.461596660445044;	0.489313181376110;	0.570776705758504
