0.371122731051159;	0.033520985455195;	0.037533013380300;	0.033101724051225;	0.029369688783781;	0.028572456932364;	0.045453244438943;	0.039872027099170;	0.022667518128418;	0.021161995909789;	0.081909067305562;	0.110723393198440;	0.077811452675797;	0.090484850453610;	0.090102056886360;	0.102536347075950;	0.018185563737512;	0.017556815673545;	0.017579941217761;	0.017686453023559;	0.017800863639911;	0.018161024417121;	0.018208389663342;	0.018334400605889;	0.018196156362611;	0.018781204821956;	0.019541692613474;	0.019387230168361;	0.019855450444491;	0.020693703177491;	0.020221566694818;	0.020990414946929;	0.021619657059662;	0.021468079173980;	0.022248578037801;	0.022973069776146;	0.022732365001957;	0.023676624015058;	0.024199853222828;	0.024871669017653;	0.024685661737627;	0.025759255428795;	0.025818596573180;	0.027043925720961;	0.027925083989630;	0.027815904247974;	0.028744693604567;	0.029389287555026;	0.029617415869141;	0.030927698231459;	0.032325334317754;	0.033031356636602;	0.032618141734851;	0.033655006442221;	0.034366834961213;	0.035332846825236;	0.035559466290409;	0.036294917502364;	0.037591589486569;	0.038585852647338;	0.038533254754346;	0.039666557825570;	0.041119451642627;	0.042432961009356;	0.043251207088423;	0.043730678459951;	0.044803669974167;	0.045880602669581;	0.047152047286463;	0.047787439991349;	0.049355913460141;	0.050801987807101;	0.052021774003390;	0.052601755455295;	0.052473578754909;	0.053754353098282;	0.055375092832367;	0.057166698736738;	0.058923299171371;	0.060660920795263;	0.062479469897852;	0.064296669671307;	0.066158667578149;	0.068079013151818;	0.069896818375344;	0.075798598742324;	0.078123235030795;	0.079605474880972;	0.080745955152881;	0.082507150609940;	0.084133236856890;	0.085944329398572;	0.087570080419746;	0.088040198435251;	0.088696943987176;	0.089283033771115;	0.090821007846445;	0.092663691814277;	0.095634887188243;	0.098317407216391;	0.101259251496283;	0.104576649905368;	0.108144956181532;	0.112660065248791;	0.116184197855376;	0.119983882284328;	0.125636714954333;	0.132368789600343;	0.140046831219154;	0.149168193615006;	0.159894639809557;	0.166558912004220;	0.187277414908565;	0.216335086820125;	0.242860836055826;	0.273406042962148;	0.310902672510940;	0.346247560087202;	0.390704088857388;	0.473917066056487
0.372349621973312;	0.034671792078004;	0.038799414223952;	0.034230453429454;	0.030374021824506;	0.028877689701713;	0.045797690877232;	0.040194481990035;	0.022915757198804;	0.021393500058782;	0.082226677182241;	0.111055416532164;	0.078041827820131;	0.090709454923557;	0.090323649982102;	0.102763496336734;	0.018437274100248;	0.017803925585851;	0.017838210931503;	0.017949543078720;	0.018073300985316;	0.018450478950198;	0.018506637167145;	0.018633022037062;	0.018498206899541;	0.019100879438368;	0.019877784070262;	0.019724247591579;	0.020202255471709;	0.021056203671989;	0.020573397002279;	0.021356804753027;	0.021997909558531;	0.021844899319452;	0.022631550217078;	0.023382531918379;	0.023136903094654;	0.024102854801170;	0.024609363541563;	0.025292293140674;	0.025106041362537;	0.026197053273026;	0.026282363262020;	0.027528012793367;	0.028423507293155;	0.028303556867605;	0.029244240599231;	0.029875433069119;	0.030115602282668;	0.031445680785581;	0.032863398959083;	0.033580302941408;	0.033177273695097;	0.034231119986076;	0.034959557869050;	0.035941379861483;	0.036167508692981;	0.036913637124581;	0.038231222575432;	0.039241394056738;	0.039167685516242;	0.040318900594908;	0.041793510140852;	0.043127388875524;	0.043960254628776;	0.044448147205094;	0.045538922054829;	0.046633457122181;	0.047925602045290;	0.048573463722605;	0.050165867498306;	0.051634446693814;	0.052874343130913;	0.053466607683425;	0.053343168028280;	0.054643635613353;	0.056288310041519;	0.058105750330448;	0.059887676955117;	0.061650419331422;	0.063494988641552;	0.065338453043359;	0.067227324286016;	0.069175294398964;	0.071020130354829;	0.076079054882074;	0.078413833971578;	0.079904644468383;	0.081053525354826;	0.082824693098826;	0.084460649603448;	0.086282232954168;	0.087918738156893;	0.088395941547662;	0.089061000866527;	0.089654944192904;	0.091205434265671;	0.093062065474902;	0.096050374736897;	0.098750034201868;	0.101710432782435;	0.105047985649744;	0.108637764761546;	0.113177118225693;	0.116724242164423;	0.120548882531400;	0.126231311369513;	0.132995669732778;	0.140708380280772;	0.149867230240606;	0.160633411239998;	0.167334615163027;	0.188104377495129;	0.217205326041275;	0.243764175495318;	0.274341136975012;	0.311867849955073;	0.347232810425434;	0.391668715984836;	0.511042506210713
0.373242478261316;	0.035510768781477;	0.039658363326677;	0.034956659335251;	0.030986658883541;	0.029543680336752;	0.046513074078840;	0.040839176185734;	0.023401261573294;	0.021827655406024;	0.082789088479561;	0.111620689225544;	0.078423295579734;	0.091068941489607;	0.090662174554333;	0.103095989042508;	0.018791321764994;	0.018142542483860;	0.018168813730533;	0.018281954320729;	0.018402215684117;	0.018781636566219;	0.018832604523932;	0.018959139068578;	0.018815564328405;	0.019416993753257;	0.020202256813515;	0.020039054659230;	0.020518212246019;	0.021380671826335;	0.020888232428974;	0.021677404796404;	0.022322362232567;	0.022162098602404;	0.022961960701535;	0.023704400620455;	0.023450832332264;	0.024418395801632;	0.024952106315842;	0.025640628965001;	0.025444342319074;	0.026543752470517;	0.026598467282220;	0.027854417496997;	0.028755833200989;	0.028638700618259;	0.029587382485562;	0.030245154914041;	0.030475068252643;	0.031815786529751;	0.033244255182580;	0.033965842253339;	0.033538620022840;	0.034598073209330;	0.035322587124557;	0.036310285166905;	0.036540516452770;	0.037292093842064;	0.038616466493557;	0.039631364126210;	0.039574250152302;	0.040731946547118;	0.042214822861504;	0.043555578963573;	0.044391382850253;	0.044878494243763;	0.045972991682083;	0.047070684401767;	0.048367283586311;	0.049011265153967;	0.050609632263274;	0.052083056918298;	0.053326217482597;	0.053916896788604;	0.053782354152808;	0.055086933552290;	0.056737182546063;	0.058560482205336;	0.060347399060283;	0.062114399790423;	0.063962986103204;	0.065809912504792;	0.067701854778289;	0.069652538258049;	0.071499147315255;	0.076769631708144;	0.079118842757594;	0.080619482737023;	0.081776297860752;	0.083557955421225;	0.085203321722185;	0.087034716089449;	0.088680419612532;	0.089157696648839;	0.089824501703587;	0.090418060337627;	0.091976537189102;	0.093842458855521;	0.096844411102670;	0.099555964618667;	0.102528904110222;	0.105879767161594;	0.109482894745184;	0.114037689680528;	0.117595537355062;	0.121431082188821;	0.127127992868275;	0.133906757312244;	0.141632743505390;	0.150803750900670;	0.161579743560623;	0.168282612065511;	0.189065003173147;	0.218163215220474;	0.244704665218063;	0.275259945671028;	0.312760209097742;	0.348089040499568;	0.392457615240870;	0.519090802053126
0.374263432770420;	0.036584489239244;	0.040776528599353;	0.035929907229774;	0.031833200263348;	0.030270322179695;	0.047274822455131;	0.041526447407196;	0.023927285282601;	0.022299907629098;	0.083387710854661;	0.112222082813530;	0.078842028276805;	0.091464717266233;	0.091039137532546;	0.103469963315306;	0.019193988185220;	0.018526303860623;	0.018557593406698;	0.018668230706223;	0.018791544378774;	0.019184663532082;	0.019237884904347;	0.019356467363025;	0.019208929003784;	0.019823933562446;	0.020621841318585;	0.020453030873515;	0.020937313559269;	0.021814350131911;	0.021305289135911;	0.022106700146883;	0.022761427194862;	0.022595786830137;	0.023396904615580;	0.024166523391930;	0.023903914022658;	0.024892036981280;	0.025398234085047;	0.026094462843337;	0.025894595032475;	0.027008151023608;	0.027091783479653;	0.028364279918834;	0.029276396638090;	0.029141621703302;	0.030097404576118;	0.030729068007319;	0.030968639955784;	0.032323321412277;	0.033765670013972;	0.034492408845208;	0.034077472230875;	0.035148415073417;	0.035886819082913;	0.036884130811500;	0.037105432527801;	0.037860192821404;	0.039198493487223;	0.040222407181405;	0.040125979902366;	0.041292743750636;	0.042787472035510;	0.044138733935938;	0.044980425846257;	0.045467908522104;	0.046570638026674;	0.047676366917752;	0.048983129155419;	0.049633162026963;	0.051243394069189;	0.052727352848238;	0.053979030770593;	0.054572933462264;	0.054444776834086;	0.055755571879949;	0.057414625798473;	0.059247681230970;	0.061043677554739;	0.062819284472216;	0.064676740036849;	0.066532341029266;	0.068433024805999;	0.070392570057761;	0.072247279975242;	0.077516076507183;	0.079874414350075;	0.081379557333315;	0.082538567948862;	0.084325100541934;	0.085974588764643;	0.087810785625576;	0.089460870235344;	0.089933475493340;	0.090597839736258;	0.091187173523037;	0.092750466556040;	0.094622981814290;	0.097636245595645;	0.100358059478217;	0.103342465849223;	0.106706125924236;	0.110322666599606;	0.114893336017745;	0.118463015186001;	0.122311035028651;	0.128024230595237;	0.134819719481574;	0.142562045056763;	0.151749388085582;	0.162541143299138;	0.169254739652048;	0.190144616494433;	0.219532349350913;	0.246349654602522;	0.277088337491855;	0.314733408794338;	0.350163416383017;	0.394527153916219;	0.527002551695913
0.375388577268988;	0.037830255157180;	0.042059722528655;	0.037049448404386;	0.032808579633957;	0.031109167006895;	0.048139945014684;	0.042307674919457;	0.024538257954278;	0.022846489992666;	0.084063925235330;	0.112900518479904;	0.079321287816815;	0.091919480697135;	0.091468089263656;	0.103893006704159;	0.022136270419159;	0.018963158791808;	0.018985956110898;	0.019102698542571;	0.019224322725828;	0.019623680757546;	0.019673617972606;	0.019796187015273;	0.019640679893499;	0.020257158802981;	0.021069772260114;	0.020891663693215;	0.021379017137735;	0.022268671378524;	0.021746927240194;	0.022556432708807;	0.023217539200095;	0.023043034040876;	0.023861522065914;	0.024621773305973;	0.024349389396472;	0.025341083860811;	0.025882420123623;	0.026587576018248;	0.026375411560203;	0.027501767452897;	0.027545263819192;	0.028832667573489;	0.029754062368661;	0.029623489468420;	0.030591503402424;	0.031260327898832;	0.031486732541397;	0.032857494146497;	0.034316266753193;	0.035051426647137;	0.034603676467748;	0.035683907131509;	0.036417578354912;	0.037424498167597;	0.037653152833116;	0.038417282158153;	0.039766570463418;	0.040798864406915;	0.040732994520079;	0.041911790375097;	0.043421204665402;	0.044785353893048;	0.045634586394680;	0.046124188726022;	0.047235672635779;	0.048349470578089;	0.049666207813716;	0.050311234070536;	0.051933709719769;	0.053428492742685;	0.054688851979099;	0.055283508464075;	0.055132373103438;	0.056454316433174;	0.058127002510709;	0.059974531738163;	0.061784155068840;	0.063572729530374;	0.065443227499897;	0.067311461790195;	0.069224691635340;	0.071196715516937;	0.073062911026151;	0.078336234842826;	0.080707985481882;	0.082228987636326;	0.083475958562773;	0.085374863314923;	0.087126476911993;	0.089061466015263;	0.090809912437417;	0.091363409020653;	0.092109815819309;	0.092773886330292;	0.094426898575910;	0.096389799190269;	0.099500426602780;	0.102312817358585;	0.105387498437525;	0.108842158824305;	0.112550059322754;	0.117218525775801;	0.120876517714140;	0.124817295737802;	0.130638444607407;	0.137549641277849;	0.145414550443412;	0.154734132126409;	0.165666873947835;	0.172516836557105;	0.193583544664316;	0.223096721176442;	0.250030004397145;	0.280930728865799;	0.318770877903355;	0.354377046033015;	0.398766770739860;	0.535219528813702
0.376673939251581;	0.039271126364427;	0.043526682924673;	0.038333438032492;	0.033929654569456;	0.032075228590832;	0.049115935585867;	0.043193162595744;	0.025240389514053;	0.023477275351040;	0.084825228361034;	0.113659357883026;	0.079871923378894;	0.092438648592440;	0.091960280130442;	0.104379024154713;	0.022658453021201;	0.021965123603389;	0.019485266058385;	0.019595075628988;	0.019718354625521;	0.020133297568026;	0.020183853322351;	0.020292916077085;	0.020130564106282;	0.020761455376222;	0.021586792464022;	0.021400313082191;	0.021890741195545;	0.022796265839646;	0.022252750364759;	0.023074327195758;	0.023745577223153;	0.023563397920016;	0.024380072498768;	0.025171546017752;	0.024887515954602;	0.025901714206704;	0.026406954407183;	0.027119813504466;	0.026902704654823;	0.028044047682346;	0.028120782582957;	0.029426325355138;	0.030359961042208;	0.030208746368749;	0.031184776268624;	0.031821511399002;	0.032058632181372;	0.033444592291669;	0.034918546693585;	0.035659542755820;	0.035227607104495;	0.036321019530299;	0.037071400265550;	0.038089429482843;	0.038389707495057;	0.039348711719249;	0.040881281233641;	0.042010122208899;	0.041933067264980;	0.043181092890639;	0.044759967097620;	0.046186021370104;	0.047083549966374;	0.047607292569733;	0.048772994947452;	0.049945261800712;	0.051329092549073;	0.052024553863722;	0.053720801761989;	0.055287114965594;	0.056614338764626;	0.057259845236460;	0.057158760525227;	0.058546469870886;	0.060293205993027;	0.062218496630021;	0.064104497449207;	0.065968441165380;	0.067915628360583;	0.069859878671995;	0.071848385647281;	0.073895340968141;	0.075832719359036;	0.080655962742727;	0.083098436524429;	0.084670530453104;	0.085907795288659;	0.087798042960247;	0.089555093552506;	0.091510735331329;	0.093287479792580;	0.093850074561900;	0.094623949318829;	0.095319310198095;	0.097043682526898;	0.099093422498664;	0.102316294090088;	0.105247514175498;	0.108452932228171;	0.112051081469572;	0.115915318568059;	0.120761031148224;	0.124593891904079;	0.128727283121071;	0.134774381533807;	0.141934192987018;	0.150068583722558;	0.159682864672936;	0.170933266282220;	0.178106068619282;	0.199580540108432;	0.229383517087980;	0.256575186135499;	0.287850240206406;	0.326163337314728;	0.362236192337409;	0.406873254447502;	0.543476093460400
0.378005994043497;	0.040931849508214;	0.045197630224678;	0.039798854125835;	0.035211664634805;	0.033182298290275;	0.050253003064244;	0.044187441501986;	0.026048036907819;	0.024197426110414;	0.085672912984231;	0.114504816347501;	0.080493244530835;	0.093029127877313;	0.092513799413628;	0.104922871687105;	0.023242137256207;	0.022525850658608;	0.020031022310677;	0.020149604950977;	0.020268798337049;	0.020751854130872;	0.020905745812902;	0.021089202897771;	0.020964412125715;	0.021645229703093;	0.022534966592413;	0.022361596636170;	0.022885888277484;	0.023848367822792;	0.023301599518049;	0.024172985546497;	0.024891686462321;	0.024718447129927;	0.025594908812121;	0.026419437007913;	0.026139151775218;	0.027208337082093;	0.027775191525735;	0.028539260998776;	0.028322776088565;	0.029531053767831;	0.029597310423253;	0.030976104732112;	0.031966955226607;	0.031823750456907;	0.032857476122080;	0.033552183190463;	0.033798957824345;	0.035259760641339;	0.036811062308376;	0.037601879352188;	0.037140931179367;	0.038293682636081;	0.039075718637875;	0.040151032154155;	0.040390866632150;	0.041200517354525;	0.042630581939239;	0.043730044053247;	0.043663083292845;	0.044922760770271;	0.046529585687503;	0.047986262092313;	0.048906338386838;	0.049440939783952;	0.050638849030194;	0.051842001245494;	0.053263383172661;	0.053963987170438;	0.055712495804029;	0.057332604830904;	0.058712939372614;	0.059394892497396;	0.059281782070698;	0.060742678645436;	0.062575886118613;	0.064596530578607;	0.066581782334848;	0.068549220262994;	0.070606480054310;	0.072665324506892;	0.074774827488131;	0.076948251505130;	0.079012908358546;	0.083605196921356;	0.086168227921400;	0.087847273418477;	0.089182622463924;	0.091178738220498;	0.093039859510844;	0.095105125126375;	0.096989110331108;	0.097615606624545;	0.098469018522597;	0.099237663365836;	0.101088129972304;	0.103280668152334;	0.106680409592882;	0.109798341252019;	0.113210899229183;	0.117040701648658;	0.121159596669651;	0.126294924308763;	0.130418931893683;	0.134876546908219;	0.141304395661797;	0.148888520072578;	0.157492078478404;	0.167637058777577;	0.179491895714034;	0.187352059065868;	0.209747053979511;	0.240389105300599;	0.268532834832936;	0.301290705389626;	0.341725608940892;	0.380038781972855;	0.426228005545084;	0.551956540284244
0.434926170383039;	0.044550495492069;	0.048910382467102;	0.043098166046551;	0.038145107303493;	0.035470955543028;	0.052686784304306;	0.046543508783409;	0.027850234011645;	0.025861828894523;	0.087787118747186;	0.116664390777553;	0.082049643187605;	0.094534952216683;	0.093968221256013;	0.106387506082960;	0.025884061270015;	0.024042381919529;	0.024297381703659;	0.021745053473816;	0.021889965193234;	0.022379464181991;	0.022445699907758;	0.022557283457377;	0.022380658118664;	0.023067021203862;	0.023979011953715;	0.023771509749951;	0.024293958107898;	0.025291285015759;	0.024680940953999;	0.025569046689934;	0.026302136304311;	0.026096834307334;	0.026968144009353;	0.027837528829066;	0.027518844800437;	0.028623625829874;	0.029135186698296;	0.029913103632459;	0.029672894910899;	0.030912924716403;	0.031003969160051;	0.032423143179437;	0.033444210332001;	0.033268392552505;	0.034330360529165;	0.034992290120651;	0.035256915609607;	0.036767672380591;	0.038373670716160;	0.039200615301461;	0.038776653121637;	0.039988881098946;	0.040834075917098;	0.041972027715035;	0.042283840906603;	0.043266434977919;	0.044870865268263;	0.046077349852215;	0.045968555542376;	0.047317076687168;	0.049019546819773;	0.050563331721559;	0.051551122724215;	0.052129090430536;	0.053402651874874;	0.054682519652183;	0.056189025695204;	0.056939841301551;	0.058781024919802;	0.060489895094247;	0.061951421069090;	0.062687926837543;	0.062615060354078;	0.064160472780512;	0.066092861682764;	0.068221416640891;	0.070316373040893;	0.072396223635562;	0.074572606777805;	0.076754605102091;	0.078994742298562;	0.081305884193841;	0.083509436578290;	0.087836628256978;	0.090551175012181;	0.092366254898866;	0.093831720293527;	0.095979944480721;	0.097996815030722;	0.100230404441793;	0.102280209033332;	0.103010425308793;	0.103993110223811;	0.104881687418033;	0.106929277830948;	0.109342455789940;	0.113010643365951;	0.116415031263694;	0.120145995441817;	0.124335637069425;	0.128859732862431;	0.134468429573505;	0.139102225525318;	0.144155585488503;	0.151300979732957;	0.159705287393052;	0.169207085220523;	0.180295632342507;	0.193045548203390;	0.201659801657419;	0.224837620172628;	0.255648485146968;	0.283765484221618;	0.316902239335534;	0.357897927458952;	0.396174521296078;	0.441496721960965;	0.560803774291660
0.438384785014328;	0.048887048517720;	0.053219124761498;	0.046869896163689;	0.041439710881120;	0.038305876493590;	0.055538481007324;	0.049115313132507;	0.030024965000048;	0.027701485640481;	0.089958718432481;	0.118813835161033;	0.083611997643799;	0.096018084789681;	0.095351178336141;	0.107740679055186;	0.028140322229366;	0.027354731494189;	0.025627606406839;	0.026076303329006;	0.023229820935699;	0.023763781102890;	0.023872683404043;	0.024028924092994;	0.023864049172600;	0.024595148318842;	0.025588123889640;	0.025387459788557;	0.025949090977882;	0.027030242885519;	0.026405173414861;	0.027358872922481;	0.028159440029099;	0.027961353273267;	0.028914164284164;	0.029824071980578;	0.029505409401432;	0.030682525414788;	0.031285893664618;	0.032134767745047;	0.031886335228836;	0.033217818767095;	0.033256876001835;	0.034770374675971;	0.035866188814411;	0.035698302349153;	0.036836647249459;	0.037585009802957;	0.037838415766932;	0.039439542387719;	0.041138911578605;	0.042021570581587;	0.041540188146944;	0.042822184589738;	0.043700595601717;	0.044906075086866;	0.045212006132471;	0.046203876099144;	0.047866279292870;	0.049141028626811;	0.049066766987138;	0.050503340292983;	0.052311806080827;	0.053957272038545;	0.055027410783261;	0.055660434966066;	0.057029700799257;	0.058408082408359;	0.060024671537040;	0.060823507491090;	0.062788755939842;	0.064618775064194;	0.066192883164034;	0.067003944775030;	0.066932394662684;	0.068601211751366;	0.070673163895984;	0.072952042328450;	0.075199687629303;	0.077434885199794;	0.079774319929747;	0.082123217603417;	0.084539333884504;	0.087034437674095;	0.089421659208907;	0.093532167006238;	0.096452255850942;	0.098453822365928;	0.100100475398220;	0.102460089169412;	0.104694421139508;	0.107162836376413;	0.109439753951773;	0.110309332386633;	0.111471307775288;	0.112528374402707;	0.114857900482160;	0.117592460060842;	0.121652558450772;	0.125481216184365;	0.129670963826357;	0.134348205428963;	0.139363950850478;	0.145445901255729;	0.150431310021452;	0.155756001116763;	0.163094600784590;	0.171566366752821;	0.180986814491461;	0.191876745766385;	0.204358872299807;	0.212823662413300;	0.235916529933854;	0.266399394638136;	0.294303117673716;	0.327636460495211;	0.369101229386439;	0.407698518623770;	0.452865315975796;	0.569991545936944
0.455799941623630;	0.053806126127303;	0.058057296529922;	0.051177311789124;	0.045268196288805;	0.041589394287012;	0.058897081642258;	0.052230293970105;	0.032561184976640;	0.030231640834512;	0.092930075960465;	0.121700298340968;	0.085783431813073;	0.098128517991360;	0.097391781292975;	0.109799548240543;	0.031150630581251;	0.029472292931122;	0.029882595272698;	0.028402976567223;	0.028612451845526;	0.029835012820969;	0.026194239954274;	0.026291406003933;	0.026086706431398;	0.026856279882120;	0.027901628758053;	0.027669003177741;	0.028237395337308;	0.029393041129975;	0.028687368114140;	0.029686758454115;	0.030538236462042;	0.030316179560846;	0.031287525671824;	0.032295710118598;	0.031948398810780;	0.033216375947004;	0.033778106123857;	0.034693569797779;	0.034441037747293;	0.035872789615678;	0.035954563141954;	0.037575757074119;	0.038764571031910;	0.038581895601493;	0.039813262494414;	0.040582084295087;	0.040865960909229;	0.042585022652382;	0.044408789764048;	0.045374931774747;	0.044908095142794;	0.046297057766482;	0.047261137732230;	0.048568095101161;	0.048879323151932;	0.049921051020197;	0.051688013503337;	0.053060955023993;	0.052944170651869;	0.054488671170218;	0.056424804518817;	0.058191492007133;	0.059360720647385;	0.060058538088885;	0.061544902689562;	0.063045542646008;	0.064797561667458;	0.065670193363730;	0.067786861906113;	0.069765894449679;	0.071479232939129;	0.072388399093656;	0.072406850769634;	0.074226624300566;	0.076467612136317;	0.078928312154546;	0.081361174783634;	0.083784601008337;	0.086321103794070;	0.088870278159365;	0.091497363441244;	0.094211528719594;	0.096814008416070;	0.100796348928340;	0.103964169758588;	0.106192639825288;	0.108064193502479;	0.110688867794607;	0.113199532354413;	0.115969821318398;	0.118525115674343;	0.119538478712622;	0.120875160299687;	0.122047133669454;	0.124572015282506;	0.127453729708001;	0.131624519501173;	0.135509771873459;	0.139693501934959;	0.144314685524472;	0.149236463141211;	0.155209303101070;	0.160090639121533;	0.165351133874815;	0.172664576952725;	0.181143373618175;	0.190596388143779;	0.201549146377728;	0.214107415188060;	0.222705536865941;	0.245968772613802;	0.276382097175982;	0.304273031127709;	0.337925527921398;	0.379923785247535;	0.418871232914373;	0.463887356268375;	0.579577542547601
