0.395668330666801;	0.042658549803428;	0.045609374541213;	0.041182820962730;	0.037442011193670;	0.036999173440548;	0.060085461168888;	0.052907530517338;	0.029418433810214;	0.026831378223078;	0.091590476787375;	0.117363132643315;	0.072402851685076;	0.084962763799048;	0.085754487213289;	0.097620428546426;	0.021732302406532;	0.021056083392525;	0.021132358529094;	0.021323735326236;	0.021555592427289;	0.022161207276393;	0.022370897300185;	0.022530874254079;	0.022515069032396;	0.023356741120204;	0.024385478970362;	0.024296871804561;	0.025075452140716;	0.026242336286559;	0.025841090045212;	0.027021464190248;	0.027961060055446;	0.028039258417999;	0.029389183540872;	0.030544100159255;	0.030488106028252;	0.032024093643304;	0.033000185342675;	0.034043833496425;	0.034178460331961;	0.035974112555823;	0.036292306606295;	0.038222206373503;	0.039695466980755;	0.039937698867474;	0.041451556332477;	0.042349334462295;	0.042709361009029;	0.044627435972622;	0.046672093770968;	0.047549386285368;	0.047009345167002;	0.048348190110036;	0.049154992820492;	0.050187284082693;	0.050179375778120;	0.050821882198437;	0.052223556602417;	0.053109886481519;	0.052714014129708;	0.053733951792148;	0.055141748511288;	0.056284762068642;	0.056747593523476;	0.056781637089985;	0.057556317911283;	0.058375168465327;	0.059510566180147;	0.059925807720876;	0.061417824778000;	0.062793891109063;	0.063899223414738;	0.064257403277645;	0.063979456770573;	0.065321204060586;	0.067113839053650;	0.069153531674260;	0.071179797199933;	0.073197089466787;	0.075348655825354;	0.077528619528661;	0.079824028360873;	0.082215109667791;	0.084489219170785;	0.091278698705965;	0.094226983356843;	0.096228261851122;	0.097935296481385;	0.100440127421381;	0.102880426514386;	0.105664738850348;	0.108279297852389;	0.109714381004765;	0.111410523017316;	0.113412316612306;	0.116516049221801;	0.120292521640009;	0.125491934577833;	0.130655468182516;	0.136320036304629;	0.142598167801345;	0.149316306742027;	0.157148011370443;	0.163940446879928;	0.171535104593073;	0.180848604646975;	0.190997486994273;	0.201616382806558;	0.213163135307860;	0.225687089657118;	0.237435336071531;	0.259380267139443;	0.283162316220955;	0.304838633971933;	0.332187711544164;	0.366146518501641;	0.393882306967189;	0.423666010664288;	0.494674547124843
0.396992276509141;	0.043753662168987;	0.046794409535382;	0.042259751266423;	0.038424905193321;	0.037306500116259;	0.060421551269385;	0.053229404498047;	0.029686978348130;	0.027084161251452;	0.091915151584388;	0.117698969285873;	0.072651145265480;	0.085206313501934;	0.085995055481228;	0.097865885803604;	0.021998510662943;	0.021320498935429;	0.021407985728149;	0.021606715285696;	0.021849038833579;	0.022472126601666;	0.022692201641853;	0.022855520385394;	0.022845084644471;	0.023707284390354;	0.024756227084732;	0.024671129083443;	0.025463484763312;	0.026649613105556;	0.026241379131225;	0.027440895461207;	0.028396693071685;	0.028477843818086;	0.029838701857277;	0.031026565763769;	0.030970156195985;	0.032535399665308;	0.033496414151111;	0.034555477337921;	0.034695061653272;	0.036514888800870;	0.036868842082339;	0.038825768575128;	0.040319183536739;	0.040554954619758;	0.042086001398405;	0.042965715516282;	0.043342335356292;	0.045284618069833;	0.047353408577512;	0.048243082929597;	0.047716087748108;	0.049073693280517;	0.049898883157547;	0.050946211953186;	0.050933943823957;	0.051584250126783;	0.053005544887539;	0.053905060382903;	0.053483002909789;	0.054517365682156;	0.055943244915564;	0.057102167700513;	0.057574467089314;	0.057610368077553;	0.058397762794231;	0.059229528706797;	0.060381304126859;	0.060804496758441;	0.062316149400574;	0.063710732690462;	0.064832443037852;	0.065199311966128;	0.064923808301610;	0.066282895059661;	0.068097557819151;	0.070161590543174;	0.072212082681912;	0.074253773207245;	0.076431006211129;	0.078637199972838;	0.080959941595224;	0.083379373747214;	0.085681496793150;	0.091575846574567;	0.094534773980941;	0.096545276880469;	0.098261635190468;	0.100777459233389;	0.103228831641251;	0.106025002927176;	0.108651787972880;	0.110095579041443;	0.111801682579145;	0.113813604060931;	0.116931768416429;	0.120724157813112;	0.125942008657178;	0.131124034388541;	0.136808098933011;	0.143106774889344;	0.149846229231874;	0.157700857505548;	0.164515277946553;	0.172133345253173;	0.181472540046704;	0.191648253878228;	0.202295040781568;	0.213870933669915;	0.226424843909940;	0.238200830618767;	0.260176778241367;	0.283985760787345;	0.305686665891285;	0.333058554499785;	0.367035179634568;	0.394786120139135;	0.424570058832274;	0.528518141000214
0.397947171067617;	0.044549465418411;	0.047597901368047;	0.042951311406464;	0.039022306500269;	0.037974744814882;	0.061118189180961;	0.053871362138478;	0.030208914617281;	0.027555864960102;	0.092488318811101;	0.118268552658583;	0.073060603465269;	0.085593932955359;	0.086361089501787;	0.098223843041382;	0.022371614875408;	0.021679538623799;	0.021760491852679;	0.021961278929766;	0.022200998742976;	0.022826545416883;	0.023042860747458;	0.023207061985359;	0.023189655062824;	0.024053053849444;	0.025112178713923;	0.025018728066418;	0.025815600431196;	0.027012787527034;	0.026597269074776;	0.027805485592873;	0.028767900075417;	0.028844503208741;	0.030223242792368;	0.031405149268485;	0.031343409373786;	0.032913119008165;	0.033907434496530;	0.034975124315324;	0.035107675157446;	0.036940420215956;	0.037259478422016;	0.039230067916356;	0.040732122023833;	0.040974324743596;	0.042516436953289;	0.043431767182931;	0.043795491569499;	0.045750336651815;	0.047831505412846;	0.048725914292434;	0.048172500960748;	0.049535642033228;	0.050353144988701;	0.051405229383031;	0.051395740076232;	0.052049850365546;	0.053475869767679;	0.054377507118763;	0.053970947043293;	0.055008722785514;	0.056439718130966;	0.057601936425794;	0.058073293420752;	0.058103866222155;	0.058891229989441;	0.059722693285094;	0.060875712271295;	0.061291569509231;	0.062806181765523;	0.064202846405969;	0.065325260268463;	0.065688072315816;	0.065399672515617;	0.066761179609087;	0.068579951489343;	0.070648584738712;	0.072703003789261;	0.074748070552224;	0.076928605139029;	0.079137682792524;	0.081463121575600;	0.083884988591115;	0.086188692836912;	0.092306484401693;	0.095280423366199;	0.097301652761841;	0.099027354175062;	0.101555196615136;	0.104017826745439;	0.106825902587720;	0.109464063003279;	0.110910282043964;	0.112620350400269;	0.114635207330182;	0.117763687079530;	0.121567572084633;	0.126799839342748;	0.131994440757951;	0.137690858728488;	0.144001620241433;	0.150752264514654;	0.158618323543313;	0.165440108026314;	0.173064970103071;	0.182411214726513;	0.192592080281706;	0.203241600094654;	0.214817702190782;	0.227368535849944;	0.239134794957056;	0.261100790518915;	0.284891537936234;	0.306569184723217;	0.333913912589151;	0.367857041477128;	0.395573061860665;	0.425312765603806;	0.536076791810431
0.399027444150005;	0.045565124680024;	0.048643640443127;	0.043876693049758;	0.039845378308227;	0.038700325581803;	0.061858350429123;	0.054552832160113;	0.030770372795681;	0.028064729598113;	0.093095361926784;	0.118872257695499;	0.073506796675919;	0.086018582762134;	0.086766274838567;	0.098624084506123;	0.022793350916124;	0.022085966101622;	0.022171429556369;	0.022372571890551;	0.022616140677772;	0.023255112648226;	0.023475030553331;	0.023634506357043;	0.023614895332223;	0.024494551073988;	0.025570026306534;	0.025473348008973;	0.026279205633664;	0.027494387793116;	0.027066156561515;	0.028290976850633;	0.029267328709210;	0.029342849814177;	0.030727144780784;	0.031942230793214;	0.031875720827653;	0.033473095363758;	0.034440654099113;	0.035519562433720;	0.035653096600343;	0.037505639049074;	0.037863390612007;	0.039856049557787;	0.041373534705355;	0.041601332456413;	0.043154497505939;	0.044035905251735;	0.044413284120940;	0.046384864110985;	0.048482289114861;	0.049382051400280;	0.048843228143518;	0.050218240254485;	0.051051160161955;	0.052110872790353;	0.052087336648604;	0.052740602458545;	0.054178346078872;	0.055085617543232;	0.054633639446389;	0.055676478072306;	0.057115231678735;	0.058283288579494;	0.058755461718333;	0.058780227880011;	0.059570986390538;	0.060406028534943;	0.061565076489500;	0.061982991590899;	0.063505453877196;	0.064908941120690;	0.066036425116734;	0.066399268896476;	0.066115121636528;	0.067480473436415;	0.069306013108325;	0.071382682778707;	0.073444771447847;	0.075497320186428;	0.077685859100749;	0.079902965139271;	0.082236819939727;	0.084667386796115;	0.086979189662621;	0.093094434820360;	0.096077716431326;	0.098104015426103;	0.099832970072742;	0.102366844399843;	0.104835076186413;	0.107649663136461;	0.110293979642284;	0.111737489550884;	0.113446920162267;	0.115460473210139;	0.118595666852905;	0.122407932849227;	0.127651946984404;	0.132857220875636;	0.138564749674255;	0.144887028115272;	0.151648970240032;	0.159527035794167;	0.166357405484871;	0.173990687020500;	0.183345878202517;	0.193534254624666;	0.204189510707784;	0.215769838873654;	0.228323321890371;	0.240088333565202;	0.262136518141224;	0.286186662047021;	0.308115838886745;	0.335619820728476;	0.369676433420535;	0.397477570501167;	0.427252030418019;	0.543537436364547
0.400210869996634;	0.046740243801838;	0.049843458320443;	0.044939481913644;	0.040790763800328;	0.039534080385808;	0.062696887608381;	0.055324994059608;	0.031417339793153;	0.028649853938703;	0.093778480636366;	0.119550270828237;	0.074014852178619;	0.086503292871969;	0.087225078958861;	0.099074800545387;	0.024913547338902;	0.022544142638071;	0.022623482491320;	0.022831107811644;	0.023074379290563;	0.023720017832870;	0.023938740077676;	0.024103446706043;	0.024078554462592;	0.024963166060420;	0.026055958584395;	0.025952155368905;	0.026765685423060;	0.027996812648939;	0.027559287022737;	0.028796021515337;	0.029782541622263;	0.029853047078111;	0.031260581760668;	0.032470230116030;	0.032397827185562;	0.034002848510673;	0.035012849392338;	0.036104881887344;	0.036230592938859;	0.038102028939786;	0.038415244994374;	0.040427344248155;	0.041957934634988;	0.042195039666773;	0.043764729462454;	0.044695006261405;	0.045056303221661;	0.047046786042842;	0.049163084658060;	0.050071833085831;	0.049498202375430;	0.050882801117722;	0.051706169161010;	0.052774321838311;	0.052756838546229;	0.053417684120345;	0.054863894854041;	0.055776361284200;	0.055354092427981;	0.056405087998130;	0.057854469612590;	0.059030749367503;	0.059505429540559;	0.059526279397831;	0.060320798583449;	0.061159301873893;	0.062323995939196;	0.062732120893197;	0.064262716839151;	0.065673259369230;	0.066805951609423;	0.067166160483849;	0.066856692462016;	0.068230956720093;	0.070068196644362;	0.072157701372931;	0.074232072086312;	0.076296524366981;	0.078497298505301;	0.080726452000487;	0.083072599651170;	0.085515561916167;	0.087838939916311;	0.093958138703435;	0.096955201466729;	0.098998594450879;	0.100822110353601;	0.103476634826294;	0.106055369711678;	0.108977522632546;	0.111729506155153;	0.113263946826610;	0.115065523807876;	0.117166499234497;	0.120402351071822;	0.124315839281843;	0.129664861753123;	0.134967829209760;	0.140770434793266;	0.147185668448250;	0.154038209658292;	0.162008082147180;	0.168921983641321;	0.176640664921490;	0.186086637857946;	0.196367395248435;	0.207116722954413;	0.218794666867658;	0.231449193817551;	0.243311105162576;	0.265455466162631;	0.289574315224944;	0.311591248352900;	0.339217676115334;	0.373407010511356;	0.401347900585411;	0.431219100324430;	0.551316031340410
0.401544597234930;	0.048095630003181;	0.051214942982995;	0.046156518569325;	0.041874107265217;	0.040489897208304;	0.063641284970649;	0.056196504542426;	0.032156063366208;	0.029319421818305;	0.094543807658835;	0.120306255580493;	0.074594239389982;	0.087054214070010;	0.087748395022601;	0.099589513285639;	0.025454703467691;	0.024770941133537;	0.023145518513657;	0.023350162756489;	0.023595767462660;	0.024256149229204;	0.024476820302727;	0.024632206230307;	0.024602356506795;	0.025504126880991;	0.026613784639102;	0.026504294444028;	0.027325022135435;	0.028575600380396;	0.028120956765453;	0.029374307286283;	0.030375435904642;	0.030443036464126;	0.031853176293643;	0.033100175765584;	0.033020902749149;	0.034655837027072;	0.035630686369567;	0.036734055467453;	0.036859789758193;	0.038751958880089;	0.039108666310533;	0.041144651846103;	0.042692573742575;	0.042912949257810;	0.044494949413059;	0.045384513670911;	0.045760970802440;	0.047769483750760;	0.049903383692684;	0.050818303724000;	0.050263293171218;	0.051661498691996;	0.052503533889212;	0.053580706029320;	0.053649883184114;	0.054546231366189;	0.056209094316685;	0.057229160999710;	0.056796443903070;	0.057917859832468;	0.059435503344668;	0.060669385349379;	0.061185794992308;	0.061230710764177;	0.062072069200840;	0.062962649760632;	0.064188654654354;	0.064640724501048;	0.066238559584284;	0.067714420289629;	0.068907969708749;	0.069313151304000;	0.069050576978278;	0.070486832522190;	0.072395085777849;	0.074560068647035;	0.076709315124773;	0.078848392705967;	0.081125843185401;	0.083431603332841;	0.085854595433834;	0.088374516989392;	0.090771565301516;	0.096408600550330;	0.099479493586566;	0.101577859946662;	0.103393771662609;	0.106041605293401;	0.108629793611277;	0.111578236307809;	0.114365138767624;	0.115916885879836;	0.117754698507690;	0.119900629917217;	0.123219455133491;	0.127232292564223;	0.132702693725642;	0.138134344507875;	0.144075359004861;	0.150638773033878;	0.157649499167118;	0.165791698312637;	0.172878034402127;	0.180783382381985;	0.190434601234267;	0.200933505634157;	0.211912788030112;	0.223834680107591;	0.236745621555953;	0.248865028714568;	0.271278092532621;	0.295590766890896;	0.317815680306635;	0.345732951942384;	0.380256468738723;	0.408568238159453;	0.438790526278171;	0.559156673521652
0.402929824180570;	0.049653629339304;	0.052776849010647;	0.047543419024201;	0.043109127142347;	0.041580196067560;	0.064726590131110;	0.057172599421232;	0.032998467212846;	0.030079325711206;	0.095393139637363;	0.121144610851315;	0.075244982968743;	0.087676259124192;	0.088334091769735;	0.100162977946816;	0.026057142158883;	0.025352407544584;	0.023715751361594;	0.023929048482732;	0.024172376211997;	0.024906758929858;	0.025243140802150;	0.025482276082967;	0.025499338271967;	0.026461855252239;	0.027645558999852;	0.027557198654713;	0.028424710705128;	0.029743136206916;	0.029296873112085;	0.030613539075288;	0.031675938581921;	0.031766883982012;	0.033255244596229;	0.034552641944360;	0.034493080041184;	0.036202879005437;	0.037257528806095;	0.038428786723170;	0.038574228288864;	0.040557230145332;	0.040914988994652;	0.043045765629054;	0.044670661574510;	0.044918826904611;	0.046578497195457;	0.047542137573955;	0.047934237827251;	0.050033565620863;	0.052259889719651;	0.053232375061776;	0.052653665277985;	0.054118612035394;	0.054989801416526;	0.056124279352078;	0.056106213860768;	0.056801878584037;	0.058321981915389;	0.059290693504181;	0.058854823875337;	0.059972348840080;	0.061504120827619;	0.062754672288548;	0.063279677969187;	0.063319106998922;	0.064179607899080;	0.065088982533666;	0.066341335387025;	0.066786851527237;	0.068427032346341;	0.069948026586798;	0.071187036143578;	0.071621514793020;	0.071343235779150;	0.072849135705708;	0.074841403739488;	0.077100355434829;	0.079348565088912;	0.081591924005275;	0.083981267440454;	0.086404352562101;	0.088952511679833;	0.091603895031628;	0.094134013097474;	0.099520687238262;	0.102718003102560;	0.104930897963024;	0.106854639762659;	0.109618549187903;	0.112322702556315;	0.115394199208671;	0.118302663805994;	0.119934484895972;	0.121868249134195;	0.124110903020180;	0.127575699078199;	0.131752327641922;	0.137415563861245;	0.143051151045747;	0.149213800083543;	0.156019795727708;	0.163292561717290;	0.171722299199032;	0.179102130078082;	0.187328963859688;	0.197335980303347;	0.208219464813362;	0.219613662056059;	0.231994199944923;	0.245422140950888;	0.258130997436524;	0.281244769832522;	0.306258390508730;	0.329370718462720;	0.358596261219718;	0.394819273527206;	0.424865343361495;	0.456403806168535;	0.567237436053288
0.452714163851122;	0.053115085764814;	0.056301911756389;	0.050722914481715;	0.045994262614734;	0.043877289691560;	0.067103855110732;	0.059483265865711;	0.034922780781663;	0.031870513642823;	0.097543928281008;	0.123322943478893;	0.076906910772421;	0.089293693226133;	0.089899385005896;	0.101732419007661;	0.028435687090254;	0.026963221555890;	0.027255112741096;	0.025627299408543;	0.025900710615478;	0.026636372682827;	0.026882302090097;	0.027053938553520;	0.027022275688324;	0.027996440842536;	0.029210797039388;	0.029093714682007;	0.029969926128394;	0.031331542694411;	0.030831897482115;	0.032175065555255;	0.033261426083387;	0.033330461523196;	0.034824211249582;	0.036178595846957;	0.036090572982890;	0.037850432810276;	0.038855114635005;	0.040048058521813;	0.040180720346180;	0.042208824520196;	0.042604070636581;	0.044787780251143;	0.046454798407950;	0.046682010755130;	0.048381880835463;	0.049305894196111;	0.049724008165851;	0.051883428514681;	0.054174784966431;	0.055189570123786;	0.054658423055842;	0.056190863565655;	0.057134350300076;	0.058334600819826;	0.058399329466327;	0.059295816250226;	0.061012497899899;	0.062092386359743;	0.061608997163239;	0.062809827489496;	0.064429419310609;	0.065755249870499;	0.066333361875238;	0.066395786901635;	0.067316003305382;	0.068287311589874;	0.069610674251925;	0.070091300481977;	0.071809492154318;	0.073405589330377;	0.074712877375435;	0.075189614172721;	0.074944094610219;	0.076526562601041;	0.078611570012918;	0.080973552325958;	0.083328205241737;	0.085682295262892;	0.088190600405230;	0.090737999164698;	0.093420061465724;	0.096213661450740;	0.098888390930543;	0.103985848947589;	0.107341990436554;	0.109700900160920;	0.111768121936047;	0.114698864208738;	0.117576251177950;	0.120836125676022;	0.123932077555191;	0.125692467797393;	0.127781171287038;	0.130180145316305;	0.133873975699917;	0.138305380993395;	0.144265035556064;	0.150217389590444;	0.156725672493044;	0.163915176171144;	0.171614180118398;	0.180529200894792;	0.188444319769384;	0.197294604802662;	0.208028276928016;	0.219737242507413;	0.232030031206974;	0.245337097657968;	0.259614636323927;	0.272971458469913;	0.296568138692957;	0.321653914096091;	0.344712283073122;	0.374055629203691;	0.410284273870346;	0.439833839737386;	0.470523911352025;	0.575696948849086
0.456388645763233;	0.057247395835728;	0.060392067591551;	0.054347506684296;	0.049214919609361;	0.046707496050237;	0.069880759531085;	0.062030604133689;	0.037162839950454;	0.033827331240106;	0.099735382415664;	0.125470542242862;	0.078554980365309;	0.090864524405245;	0.091369595559340;	0.103164971336462;	0.030474935108164;	0.029748365428904;	0.028650041731069;	0.029162500315025;	0.027307023090189;	0.028089599907052;	0.028388802417188;	0.028614371204899;	0.028605993420929;	0.029639431083581;	0.030947687451726;	0.030848861020206;	0.031783227305699;	0.033244351520745;	0.032747574187051;	0.034175338487942;	0.035349184920542;	0.035446634035133;	0.037047648219185;	0.038467453982743;	0.038402778907250;	0.040262242503146;	0.041383755636419;	0.042670530271204;	0.042822036936393;	0.044974163077439;	0.045327947328833;	0.047633359083800;	0.049400848566078;	0.049663096022917;	0.051465343806412;	0.052499697505245;	0.052909584449443;	0.055177603778435;	0.057579276811633;	0.058657099334979;	0.058073482892340;	0.059682427059865;	0.060653409072502;	0.061918492524512;	0.061961313230968;	0.062848086049027;	0.064611154667368;	0.065749074078106;	0.065291195018506;	0.066567379224967;	0.068279766265380;	0.069690657469717;	0.070332202275407;	0.070424184648697;	0.071419974105275;	0.072471346994505;	0.073887271042756;	0.074396516931938;	0.076220997301577;	0.077921830549071;	0.079326136551434;	0.079862250228982;	0.079609557257604;	0.081306102333668;	0.083523029102684;	0.086029606982613;	0.088533245725673;	0.091040937098073;	0.093712456238636;	0.096428552525444;	0.099291143723275;	0.102274837315255;	0.105140923585474;	0.109997633719609;	0.113569595445769;	0.116129012489918;	0.118396073009667;	0.121558827713762;	0.124677998500824;	0.128200525635884;	0.131553617368987;	0.133488225611070;	0.135792954978065;	0.138413358196721;	0.142438545061882;	0.147247646480673;	0.153653185880993;	0.160092597035435;	0.167124479006096;	0.174867130714841;	0.183120755222314;	0.192552493127364;	0.200858955033764;	0.209992704286753;	0.220873555383402;	0.232562209262163;	0.244641478922941;	0.257577507970167;	0.271400191430869;	0.284392394451642;	0.307632162818417;	0.332321315452775;	0.355142511224640;	0.384538620974672;	0.420958196268880;	0.450612300598909;	0.481237327299942;	0.584507600096003
0.472188189412468;	0.061927303472528;	0.064995603913504;	0.058491461812366;	0.052959494515723;	0.049979036993318;	0.073142279216415;	0.065103777148755;	0.039839802979103;	0.036425257526431;	0.102691082322826;	0.128371827548332;	0.080854258609520;	0.093115792179470;	0.093551707593050;	0.105358369882117;	0.033344494482922;	0.031989605871183;	0.032424353489734;	0.031606562211719;	0.031967161471298;	0.033263852850873;	0.030847927947260;	0.031027994755876;	0.030986834055195;	0.032069545476712;	0.033445254838825;	0.033324565816980;	0.034283066418176;	0.035833197422075;	0.035274947861284;	0.036766303799028;	0.038009823136636;	0.038104067507351;	0.039745368783559;	0.041288080433438;	0.041218139020559;	0.043198724830069;	0.044296719356510;	0.045672004094574;	0.045848343912969;	0.048134609901396;	0.048556990493437;	0.051001463157195;	0.052893243285196;	0.053172997181502;	0.055100560203310;	0.056164333907256;	0.056620123835508;	0.059031453372593;	0.061582308241823;	0.062757974396068;	0.062205051104089;	0.063934888360838;	0.064997924258787;	0.066365992394358;	0.066400493454783;	0.067323491574995;	0.069184501052926;	0.070410873311598;	0.069897476139705;	0.071266370289409;	0.073090270170845;	0.074601734388304;	0.075318890587836;	0.075443819643718;	0.076531761197489;	0.077682609028180;	0.079212272164452;	0.079771960824976;	0.081725786050973;	0.083555258967778;	0.085079327209983;	0.085694900955025;	0.085521188855124;	0.087356846519138;	0.089733010659485;	0.092414058920683;	0.095098209885726;	0.097791941884738;	0.100660760597323;	0.103579362429263;	0.106658619660496;	0.109868977272191;	0.112959684984941;	0.117667325392524;	0.121500165331278;	0.124304705602175;	0.126821053597820;	0.130276358484004;	0.133704718915784;	0.137567557888298;	0.141240668120246;	0.143367014345243;	0.145895520782271;	0.148696624938933;	0.152971293765974;	0.157976809580853;	0.164523467676626;	0.171039692691823;	0.178064709095797;	0.185728840495896;	0.193845381419892;	0.203100838086888;	0.211243066053668;	0.220243029317440;	0.231009411098191;	0.242614795299720;	0.254636564701824;	0.267543073666598;	0.281350334561057;	0.294344510840786;	0.317576613894973;	0.342181512518207;	0.365002262075309;	0.394605954731004;	0.431309214529896;	0.461114030098985;	0.491698011821382;	0.593732275561047
