0.460961920238186;	0.052711146822638;	0.057192930562512;	0.051683923285636;	0.047099838003629;	0.046705416313100;	0.066852792609253;	0.057174596629073;	0.034395440098483;	0.030098252928562;	0.088498600445431;	0.111769204306500;	0.063255577816656;	0.070303931537923;	0.069113827140793;	0.075126811100696;	0.018078990429511;	0.017361265582194;	0.016911719001628;	0.016586978898453;	0.016372136555833;	0.016385895125225;	0.016282471044464;	0.016087587697479;	0.015888330105383;	0.016251431553110;	0.016832390346021;	0.016379791970791;	0.016730994689698;	0.017253036402753;	0.016766996096721;	0.017405721157552;	0.017836328627735;	0.017663312767925;	0.018459344480042;	0.019150945725610;	0.018911911432570;	0.019818825638976;	0.020512788764590;	0.021143423680040;	0.021132369734815;	0.022182800516600;	0.022614140347934;	0.024025594066757;	0.024982316452984;	0.025229361252887;	0.026242942377393;	0.026968813710089;	0.027626975024869;	0.029228410938899;	0.030722137394385;	0.031527227066611;	0.031554215706482;	0.032735435878346;	0.033560449009088;	0.034621272207467;	0.035159749571674;	0.036250426565990;	0.037720435524330;	0.038609001781081;	0.038760696885649;	0.039795035744640;	0.041125409765878;	0.042244487969575;	0.042841718752545;	0.043091465869260;	0.043744326827706;	0.044438449196722;	0.045437200133295;	0.045887305179259;	0.046988327117941;	0.047980322385988;	0.048810187966628;	0.049214339469403;	0.049050720350448;	0.049673869408220;	0.050750135488559;	0.051961790420116;	0.053104503838099;	0.054269590139318;	0.055452937012891;	0.056594920167431;	0.057926712401115;	0.059273146302371;	0.060588175867108;	0.064872322278258;	0.066592514308736;	0.067697108186329;	0.068672342272012;	0.070155745278067;	0.071578967499999;	0.073119366865392;	0.074815286706352;	0.076000603153278;	0.077035130543090;	0.078300681990983;	0.080116701257342;	0.082538766800491;	0.085747390334955;	0.088760105314800;	0.092001747808617;	0.095541178384521;	0.099313201157858;	0.103640685189127;	0.107042304929893;	0.111106430549154;	0.115992656940251;	0.120706258749454;	0.126402486738883;	0.132986675951654;	0.140729149385739;	0.145935847940042;	0.154226522123060;	0.164434268753176;	0.173682848174926;	0.183949328451703;	0.198153359657630;	0.209752962165242;	0.255995230507405;	0.338926230385934
0.461287440954714;	0.052969850447109;	0.057471660373068;	0.051937154551059;	0.047331141575546;	0.046777872368290;	0.066931582934629;	0.057249994992457;	0.034459209068318;	0.030158475219746;	0.088574399109971;	0.111847293662488;	0.063314268464550;	0.070362090623675;	0.069171316057206;	0.075185358896375;	0.018141944168555;	0.017423862517248;	0.016976779455836;	0.016653852972714;	0.016441333948026;	0.016458975089808;	0.016357826274480;	0.016163911414661;	0.015965839136164;	0.016333746880848;	0.016919545068027;	0.016467747721000;	0.016822276892009;	0.017348887936289;	0.016861381786647;	0.017504716027085;	0.017939299545380;	0.017767113007809;	0.018565991130118;	0.019265449295674;	0.019026530939043;	0.019940683161730;	0.020631945120699;	0.021266690375975;	0.021257301758641;	0.022314068800620;	0.022754201901473;	0.024172839886558;	0.025135163991297;	0.025381612701361;	0.026400310857038;	0.027123047137451;	0.027786352501384;	0.029394816434119;	0.030895650545166;	0.031705075512135;	0.031736928672767;	0.032924316423178;	0.033755556966576;	0.034821651557674;	0.035360433477061;	0.036454687828848;	0.037931286224775;	0.038824877079605;	0.038972373916654;	0.040012043293946;	0.041348587032032;	0.042473107870414;	0.043074153831688;	0.043325652347620;	0.043982990510010;	0.044681602851478;	0.045685537967253;	0.046138481172390;	0.047244991362215;	0.048242111307233;	0.049076513328309;	0.049483103136177;	0.049320820308862;	0.049948313894450;	0.051029921254925;	0.052247339595511;	0.053395663661344;	0.054566291043781;	0.055755360831229;	0.056903063292321;	0.058240846241054;	0.059593398182602;	0.060914381110203;	0.064953000889671;	0.066675608122823;	0.067782308850892;	0.068759724899766;	0.070245691022721;	0.071671500286762;	0.073214666512470;	0.074913416461774;	0.076100739017583;	0.077137498688047;	0.078405507522293;	0.080224897459925;	0.082650662424488;	0.085863461931182;	0.088880381345476;	0.092126410386037;	0.095670417094671;	0.099447159210229;	0.103779643991847;	0.107186139736032;	0.111255453408296;	0.116147294714049;	0.120866781089603;	0.126569174508659;	0.133159850768315;	0.140909047516377;	0.146122069518308;	0.154419742120814;	0.164633873881242;	0.173888570796326;	0.184160824744791;	0.198369600625482;	0.209973610697945;	0.256217196989352;	0.340045941885903
0.461522218399151;	0.053157990841538;	0.057660932557128;	0.052099986456561;	0.047471883705625;	0.046935505272279;	0.067095078972037;	0.057400522923374;	0.034583148596228;	0.030270853685283;	0.088708358409822;	0.111979886860427;	0.063411088063252;	0.070454609822913;	0.069258778095140;	0.075270740447528;	0.018230181468641;	0.017508757124195;	0.017060062400955;	0.016737554003274;	0.016524288024060;	0.016542332876941;	0.016440178754399;	0.016246483834659;	0.016046730832917;	0.016415028059015;	0.017003247127261;	0.016549456761846;	0.016905187720786;	0.017434454654657;	0.016945258048295;	0.017590733165717;	0.018027048064645;	0.017853863875531;	0.018657031252911;	0.019355563245990;	0.019115591414156;	0.020031152585142;	0.020730129505204;	0.021367233161436;	0.021356487385080;	0.022416724651462;	0.022849488192505;	0.024271858065721;	0.025236734013079;	0.025485354536772;	0.026507323258363;	0.027239204631713;	0.027899953682629;	0.029512194648739;	0.031016803227850;	0.031828196703347;	0.031854663231107;	0.033044342261622;	0.033874568623942;	0.034942719177413;	0.035483256244104;	0.036579461274301;	0.038058128907966;	0.038953161337064;	0.039105594415179;	0.040146976110771;	0.041485580602375;	0.042611587243146;	0.043213052469183;	0.043463776445686;	0.044121626981780;	0.044820645268914;	0.045825253784234;	0.046276479998798;	0.047383817135401;	0.048381497519110;	0.049216083876830;	0.049621549560715;	0.049456245566130;	0.050084104552171;	0.051166406997699;	0.052384566015081;	0.053533406186411;	0.054704364640964;	0.055893691147257;	0.057041490337152;	0.058379330377674;	0.059731829777077;	0.061052526589009;	0.065150873013571;	0.066876419004337;	0.067985110252780;	0.068964279929344;	0.070452588482751;	0.071880573393270;	0.073426051930480;	0.075126933353670;	0.076314289181471;	0.077351289933472;	0.078619676391474;	0.080440958993073;	0.082868845779924;	0.086084233661946;	0.089103350209361;	0.092351442397411;	0.095897374166355;	0.099675797367612;	0.104009896285389;	0.107417240872382;	0.111487257325163;	0.116379723630698;	0.121099423565660;	0.126801531430683;	0.133391387055099;	0.141139068600113;	0.146349173813201;	0.154643806134495;	0.164853366273281;	0.174102580762831;	0.184368467941148;	0.198569496172518;	0.210165651329245;	0.256399485775506;	0.340357979210646
0.461787746099714;	0.053398267975882;	0.057907585519113;	0.052318118325320;	0.047665972640481;	0.047106795646904;	0.067269072459146;	0.057560512814930;	0.034716498971791;	0.030392054305611;	0.088850412256841;	0.112120652836196;	0.063516592676097;	0.070555959284560;	0.069355555510195;	0.075366168562069;	0.018329884603953;	0.017604933502137;	0.017157050608089;	0.016834731292659;	0.016622178723450;	0.016643090975115;	0.016541574628168;	0.016347003644390;	0.016146639473012;	0.016518750411350;	0.017110928087069;	0.016656345819397;	0.017014299352091;	0.017547850382949;	0.017055862315399;	0.017705362828005;	0.018145133735314;	0.017971830896563;	0.018776603078239;	0.019483011729329;	0.019242115846310;	0.020164523896203;	0.020858136894543;	0.021498346746781;	0.021488307840265;	0.022553812285067;	0.022995900389630;	0.024424209324912;	0.025393486321698;	0.025639522300030;	0.026665026256249;	0.027389891908172;	0.028054950423513;	0.029672224845631;	0.031181816955869;	0.031995610790695;	0.032027026426725;	0.033220876601803;	0.034056288746434;	0.035127544027239;	0.035665573338695;	0.036762783787942;	0.038245638295132;	0.039143356601117;	0.039286424860896;	0.040330297122263;	0.041671973274653;	0.042800410000414;	0.043403029457512;	0.043653107596751;	0.044312594435463;	0.045013246377572;	0.046019945970214;	0.046472191267366;	0.047581655810796;	0.048581137711210;	0.049417045539740;	0.049822496781228;	0.049658443107891;	0.050287000882315;	0.051370598278148;	0.052590262943425;	0.053740443838249;	0.054912630881290;	0.056103234699424;	0.057252234361466;	0.058591378844937;	0.059945184799738;	0.061267005615758;	0.065363400129079;	0.067090296204875;	0.068199422160501;	0.069178687660286;	0.070667714075037;	0.072096351391364;	0.073642697561083;	0.075344325027096;	0.076530375107368;	0.077566417571695;	0.078834090782131;	0.080656337600912;	0.083085553934553;	0.086302873079486;	0.089323734203135;	0.092573619049989;	0.096121387762724;	0.099901579806178;	0.104237503395244;	0.107646050613996;	0.111717210252178;	0.116610803255682;	0.121331315422711;	0.127033875337892;	0.133623883032227;	0.141371436510903;	0.146580684025090;	0.154876979610064;	0.165092109383350;	0.174346669341323;	0.184615473511292;	0.198817806241036;	0.210415078356066;	0.256646621049726;	0.340697559079746
0.462078661015666;	0.053676460110077;	0.058190958159745;	0.052568938016032;	0.047889125664878;	0.047303770707896;	0.067466488075524;	0.057742031973668;	0.034870162923515;	0.030531417941195;	0.089010488049857;	0.112278974107348;	0.063636771628905;	0.070671584391121;	0.069465123695900;	0.075473627804244;	0.018784919270383;	0.017713225799644;	0.017263835698121;	0.016942959487193;	0.016730181314607;	0.016752461600160;	0.016650514480018;	0.016457192239471;	0.016255533095711;	0.016628957832732;	0.017225251567592;	0.016768949604477;	0.017128900159910;	0.017666277363886;	0.017172135616159;	0.017824567780992;	0.018266962586113;	0.018092569663137;	0.018902927875069;	0.019608666319082;	0.019366640990766;	0.020291318626676;	0.020994789345529;	0.021638518518338;	0.021627028701049;	0.022697543584756;	0.023130250496869;	0.024563813561498;	0.025536862658972;	0.025785957468982;	0.026816234311777;	0.027553591906608;	0.028215514468423;	0.029838324576660;	0.031353502299601;	0.032170567994976;	0.032194968915599;	0.033392420729350;	0.034226687273163;	0.035301222844133;	0.035842232681820;	0.036942719427655;	0.038428916311742;	0.039329215495649;	0.039481136625039;	0.040528266463282;	0.041873712149365;	0.043005175373429;	0.043609422911525;	0.043859411031236;	0.044520664221947;	0.045222965441468;	0.046231690157729;	0.046681736586187;	0.047793472027147;	0.048794904431830;	0.049632273610739;	0.050037051928057;	0.049867337378093;	0.050497931525823;	0.051584115658999;	0.052806530458133;	0.053959238652483;	0.055133785493188;	0.056326741980946;	0.057477958106689;	0.058819383849683;	0.060175420996761;	0.061499232021799;	0.065595365491363;	0.067324712146906;	0.068435532876613;	0.069418472516085;	0.070912431088349;	0.072345571631360;	0.073896477849614;	0.075602492743388;	0.076790407584854;	0.077828640026883;	0.079098648495364;	0.080925164529426;	0.083358931161738;	0.086581324310847;	0.089606813063028;	0.092861173842010;	0.096413283365737;	0.100197599094920;	0.104537650380126;	0.107949650386118;	0.112024353491635;	0.116921716066352;	0.121645962866205;	0.127352226399705;	0.133945967792725;	0.141697158955933;	0.146909047469616;	0.155208087532505;	0.165424283863819;	0.174680098434777;	0.184950591786358;	0.199153718016088;	0.210751821396899;	0.256980310986711;	0.341087896887990
0.462406282581905;	0.053997546628840;	0.058515309384007;	0.052856502483713;	0.048145099727604;	0.047529754047502;	0.067689182364802;	0.057947138237425;	0.035045666885181;	0.030690844355976;	0.089190034090939;	0.112455786172198;	0.063773810843824;	0.070803006851031;	0.069590044345359;	0.075596290210137;	0.018912809264755;	0.018192077514885;	0.017387006545898;	0.017065596679453;	0.016853132267179;	0.016878534793932;	0.016776793979438;	0.016581591232966;	0.016378652534595;	0.016756104436942;	0.017356513345026;	0.016898829157676;	0.017260607016713;	0.017802622149978;	0.017304684317429;	0.017961164083022;	0.018407194008763;	0.018232260623842;	0.019043569616287;	0.019758147488077;	0.019514707265976;	0.020446780074354;	0.021143033473013;	0.021789924849602;	0.021778940729389;	0.022854973468599;	0.023298076946587;	0.024738039427994;	0.025715974555981;	0.025961980921556;	0.026996134499150;	0.027724954676468;	0.028391593369639;	0.030019777262928;	0.031540291131712;	0.032360002639627;	0.032390389271438;	0.033592474669130;	0.034432774442855;	0.035510802924819;	0.036051378944156;	0.037159040273151;	0.038655325855786;	0.039561522225092;	0.039703327966033;	0.040755058801724;	0.042105582339290;	0.043241233072449;	0.043848125653306;	0.044098445406370;	0.044762942383859;	0.045468669930538;	0.046481459113841;	0.046934387296947;	0.048050283045237;	0.049055532416384;	0.049896165372048;	0.050302640528121;	0.050137411787230;	0.050770520512970;	0.051859941595232;	0.053085865664388;	0.054241894200380;	0.055419626068559;	0.056615830473554;	0.057770177712467;	0.059114841237242;	0.060474082521613;	0.061800811051211;	0.065881916128034;	0.067614699336801;	0.068727686486213;	0.069710878651373;	0.071205689873044;	0.072640084850076;	0.074192897907871;	0.075900890247409;	0.077088207274937;	0.078126647354451;	0.079397396157077;	0.081227269118408;	0.083665093250787;	0.086892537854143;	0.089923086756419;	0.093182730834959;	0.096740365884709;	0.100530388214127;	0.104876506226794;	0.108294168245881;	0.112374863535539;	0.117278608680953;	0.122009286926929;	0.127721932364582;	0.134322013706881;	0.142079349935488;	0.147296332648741;	0.155600505229104;	0.165819001993593;	0.175077203580468;	0.185351470623657;	0.199558151938473;	0.211161039193264;	0.257391905185311;	0.342971690211139
0.462746856201344;	0.054366889895188;	0.058885188094659;	0.053184598005948;	0.048437205834537;	0.047787731329910;	0.070145601681787;	0.058177184787014;	0.035245792773983;	0.030871803092097;	0.089389581448273;	0.112652143103255;	0.063927808862631;	0.070951304049155;	0.069729844923124;	0.075732961186641;	0.019055197570641;	0.018329444290676;	0.017521702554201;	0.017202199922632;	0.016989029892706;	0.017017270238574;	0.016917377645038;	0.016725634031530;	0.016522151821227;	0.016901986690423;	0.017508567935997;	0.017049484249937;	0.017414268295403;	0.017961977915925;	0.017461831374033;	0.018122634351526;	0.018572920915737;	0.018397288028035;	0.019216177446659;	0.019931084562024;	0.019686962928426;	0.020623158071731;	0.021331671971157;	0.021984015743095;	0.021972017358279;	0.023055594504727;	0.023488556704775;	0.024936148090551;	0.025919863069600;	0.026169749362191;	0.027210808775152;	0.027954667086383;	0.028618197598961;	0.030254355191451;	0.031782962735151;	0.032607707512777;	0.032630351510024;	0.033837975328511;	0.034677815622488;	0.035760799258445;	0.036302459276988;	0.037408520706357;	0.038904530205274;	0.039812113671068;	0.039963965623912;	0.041019045984717;	0.042373826283807;	0.043513036806128;	0.044121981087878;	0.044372189545742;	0.045039045671164;	0.045746998233752;	0.046762474763094;	0.047212350474844;	0.048331435281395;	0.049339637368470;	0.050182759917939;	0.050588983309166;	0.050415902185668;	0.051052697856698;	0.052146632196506;	0.053377441032217;	0.054538251278680;	0.055720718857616;	0.056921803336149;	0.058080988071286;	0.059430740908393;	0.060795128956020;	0.062126775418203;	0.066199941676702;	0.067937695556555;	0.069054512071808;	0.070041131793990;	0.071540060680089;	0.072978424959991;	0.074535497008447;	0.076247471193636;	0.077435441790505;	0.078475272368038;	0.079747831955711;	0.081582501185339;	0.084025869434972;	0.087259986638653;	0.090297316894646;	0.093564100961494;	0.097129299559299;	0.100927164204951;	0.105281543008683;	0.108707048561963;	0.112796047283570;	0.117708625703657;	0.122448414155162;	0.128170510616231;	0.134780801290651;	0.142549569302295;	0.147779214183095;	0.156098840937321;	0.166332680841337;	0.175611256804163;	0.185915827138903;	0.200161527226781;	0.211805257188573;	0.258064991331623;	0.344370383148906
0.464279780456524;	0.054831388076522;	0.059347725579225;	0.053596723149622;	0.048805450232501;	0.048107240193000;	0.070454512975100;	0.063667392221958;	0.035496515716758;	0.031100642865157;	0.089641124052943;	0.112899713371379;	0.064125054919141;	0.071141021400691;	0.069910320715464;	0.075910360373792;	0.019254684796361;	0.018506114023342;	0.018090466881167;	0.017379983675713;	0.017167297868512;	0.017198661422404;	0.017096377092633;	0.016900209291474;	0.016693764017091;	0.017077871414891;	0.017689114080455;	0.017227595625228;	0.017593868958715;	0.018147260333263;	0.017641469765727;	0.018306662578202;	0.018761148924503;	0.018584201414234;	0.019403427131146;	0.020128921267455;	0.019882478477361;	0.020827316476213;	0.021526299371297;	0.022182297955433;	0.022170450194575;	0.023260584316138;	0.023705038139644;	0.025160245077143;	0.026149987285090;	0.026396191525172;	0.027442335994998;	0.028176304656805;	0.028845321763639;	0.030488390404747;	0.032024027689626;	0.032852744123031;	0.032883310688526;	0.034097580780555;	0.034945836763309;	0.036034337066605;	0.036574746097359;	0.037686584582351;	0.039192242124130;	0.040106126983725;	0.040244830491033;	0.041305009585830;	0.042665550499128;	0.043809560498929;	0.044421629320787;	0.044672052974163;	0.045342664236524;	0.046054484899589;	0.047074414480174;	0.047527422681432;	0.048651007774863;	0.049663345416111;	0.050509991149186;	0.050918044908266;	0.050751596069707;	0.051391201991457;	0.052488807134515;	0.053723688756561;	0.054888482168616;	0.056074905073610;	0.057280149134295;	0.058443490344444;	0.059797761249011;	0.061166822061159;	0.062502974173160;	0.066566694727062;	0.068309745397329;	0.069430825436612;	0.070421534070514;	0.071925711839810;	0.073369439150485;	0.074932454628103;	0.076650132992912;	0.077839977262684;	0.078882654900621;	0.080158498863012;	0.081999935532491;	0.084450856646880;	0.087693754663492;	0.090740102938730;	0.094016415826856;	0.097591924724875;	0.101400995453940;	0.105781496752186;	0.109297169132277;	0.113465249746500;	0.118448788474087;	0.123255997457618;	0.129042134499521;	0.135712990506725;	0.143537906488891;	0.148812908207417;	0.157170825851356;	0.167430665838838;	0.176730631831540;	0.187056912522071;	0.201317598549845;	0.212964832661113;	0.259221664616181;	0.346953952430844
0.464668524856930;	0.055366563672835;	0.059874812107859;	0.054064765660408;	0.049222371756268;	0.048475672995137;	0.070803045065865;	0.063987368608973;	0.041495830641218;	0.031357423763848;	0.089914924855974;	0.113167828212676;	0.064340599679681;	0.071348757358451;	0.070104959775336;	0.076099896957387;	0.019462670067078;	0.018723117599369;	0.018275028117823;	0.018011533576458;	0.017352979267942;	0.017385978975416;	0.017283131577515;	0.017090124571399;	0.016881769402111;	0.017267500439377;	0.017885982698776;	0.017422413423575;	0.017791785594140;	0.018352145337728;	0.017843389620137;	0.018513300637899;	0.018972927218057;	0.018794922938209;	0.019622971649965;	0.020348383354084;	0.020101055740513;	0.021050542001671;	0.021764240915327;	0.022426759789026;	0.022413424310093;	0.023512454787352;	0.023943367588527;	0.025407203077301;	0.026403606354990;	0.026654170209239;	0.027708194838203;	0.028459902114033;	0.029124049935236;	0.030775834507635;	0.032320323906535;	0.033154470665144;	0.033175156861998;	0.034395323052187;	0.035242342387181;	0.036336049941390;	0.036879753220220;	0.037995867376225;	0.039506826301289;	0.040425396278046;	0.040577518894820;	0.041643690914934;	0.043011078040218;	0.044160892763003;	0.044776901585275;	0.045028352846755;	0.045703146149805;	0.046419142800740;	0.047443752701097;	0.047893665903695;	0.049022180959500;	0.050039061531205;	0.050889525996854;	0.051357607899717;	0.051317588625593;	0.052021611595045;	0.053158713395759;	0.054425740351862;	0.055617438113370;	0.056829106974732;	0.058062006200246;	0.059256519372061;	0.060643061337247;	0.062044653386930;	0.063412827658154;	0.067331279303157;	0.069105566273781;	0.070254704695625;	0.071272499699228;	0.072806328839664;	0.074280048991245;	0.075874168008460;	0.077622673625531;	0.078834318699318;	0.079900792157172;	0.081201772043391;	0.083077646196464;	0.085566203637681;	0.088851090608399;	0.091940168577807;	0.095260615942358;	0.098881480356806;	0.102735974298784;	0.107147664569575;	0.110626022628097;	0.114767847582645;	0.119732867388611;	0.124522283059719;	0.130291324317402;	0.136945372095985;	0.144753690563707;	0.150012728806308;	0.158358942739252;	0.168608128348121;	0.177901999931903;	0.188228240185477;	0.202490870953966;	0.214141136942958;	0.260403000239274;	0.350275016171934
0.465362109467521;	0.055978365151138;	0.060470108094827;	0.054596456309935;	0.049697044623039;	0.048895297620390;	0.071195846402416;	0.064350162040956;	0.041822491213046;	0.040492266294616;	0.097485686848876;	0.113476026161122;	0.064595408394235;	0.071593516848728;	0.070337389920443;	0.076327912677616;	0.019709199713666;	0.018948067398106;	0.018532300148099;	0.018238819365859;	0.018050902698579;	0.018184172889487;	0.017513109888737;	0.017314531543366;	0.017102830233796;	0.017494210238339;	0.018118370220533;	0.017651944440610;	0.018022579508116;	0.018590211131361;	0.018074404183644;	0.018749610082646;	0.019214877696164;	0.019035609643316;	0.019863808299910;	0.020602919804278;	0.020353345022256;	0.021314000647942;	0.022046104644903;	0.022778143669569;	0.022797050730977;	0.023931762287275;	0.024395758292560;	0.025889703998043;	0.026912720727588;	0.027174861602015;	0.028259419430690;	0.029021386530773;	0.029710016305241;	0.031397395638895;	0.032977849827968;	0.033839194756531;	0.033886439242200;	0.035139923241284;	0.036019603720840;	0.037142694081059;	0.037694724864333;	0.038830798296719;	0.040373208222479;	0.041318219903957;	0.041461409744655;	0.042554775254958;	0.043952465816248;	0.045129973352168;	0.045768043229220;	0.046032566416206;	0.046731412688413;	0.047471932793356;	0.048523837754023;	0.048990985581078;	0.050148113196728;	0.051192585927977;	0.052068713829238;	0.052494986681165;	0.052338479514430;	0.053008220736992;	0.054140671000743;	0.055412411567203;	0.056613398255572;	0.057835785409600;	0.059077670258253;	0.060277254865885;	0.061669509244161;	0.063076896198883;	0.064450187201340;	0.068338876670611;	0.070121465048634;	0.071276577210254;	0.072300955935250;	0.073844919272743;	0.075328947931070;	0.076935093242515;	0.078695148154018;	0.079907983715075;	0.080977726316997;	0.082282053601608;	0.084168991104271;	0.086668409117119;	0.089964273862738;	0.093062163920244;	0.096389408801473;	0.100015640511305;	0.103874431455708;	0.108289956393494;	0.111771406032939;	0.115920843491192;	0.120897154879603;	0.125701312155726;	0.131490104717190;	0.138169623069131;	0.146009596993329;	0.151302699180678;	0.159687526874304;	0.169974546151757;	0.179315478469167;	0.189704628660047;	0.204039023138140;	0.215755067374986;	0.262079921696522;	0.354559371403206
