0.530518425833156;	0.000489282353977;	0.000583253993659;	0.070904887295717;	0.055892877649494;	0.086811278458246;	0.111117476948611;	0.074291829948878;	0.034166634950664;	0.035781495179884;	0.036813011558280;	0.038775495425689;	0.039402592941618;	0.040085595044764;	0.040807752681423;	0.043776330363775;	0.045418557867933;	0.046037354729830;	0.048519686913658;	0.052000359975114;	0.055478764405952;	0.058716487333170;	0.057828557841251;	0.061181967295400;	0.064802219354944;	0.067870301567119;	0.070160100072343;	0.074156729600605;	0.071293621167667;	0.075741092583712;	0.081752132803905;	0.085468762432480;	0.089522797338911;	0.095764043256297;	0.102051176855896;	0.108466179919321;	0.114815205322064;	0.120092305631077;	0.124676242019324;	0.126705647350063;	0.131555950044583;	0.136456134088604;	0.142297984067498;	0.145947267711904;	0.146411204187243;	0.154180879838670;	0.163423369069093;	0.172170558362449;	0.179220790878312;	0.185009418772632;	0.198831204582053;	0.216493332334734;	0.237097755905439;	0.266870032740024;	0.303764800483838;	0.364947317407354;	0.455136825398891;	0.529965281477686;	0.589842306368952;	0.683581327742343
0.625772681873844;	0.090193449709878;	0.070102943727358;	0.081129647762819;	0.064412583682765;	0.094784886417120;	0.119348652524894;	0.080491660424347;	0.040152718820284;	0.041968951200648;	0.043116266552486;	0.045341821083750;	0.045987657095098;	0.046680634190424;	0.047438523404003;	0.050814504448895;	0.052586487548242;	0.053220937874395;	0.056009098755130;	0.059906600090200;	0.063711313520746;	0.067298436402163;	0.066257460976449;	0.070021058349387;	0.074080003944939;	0.077491644675436;	0.079950968145434;	0.084395448173440;	0.081138168842887;	0.086064617743520;	0.092690279124136;	0.096824522715597;	0.101320614979438;	0.108179361487951;	0.115072084614942;	0.122090097170727;	0.129027788859540;	0.134806002856133;	0.139840083022677;	0.141945191798967;	0.147218009145704;	0.152486747018054;	0.158845175898275;	0.162882485531956;	0.163317026383257;	0.171713067643294;	0.181685138430844;	0.191157073287247;	0.198830418251530;	0.205030333062269;	0.219858264640632;	0.238696249671685;	0.260542790878471;	0.291796340773845;	0.330239384459376;	0.393077875156628;	0.484213273267632;	0.559198229270089;	0.617901862012514;	0.714470030837639
0.652509345957300;	0.113892372363454;	0.088499929657095;	0.099041684372135;	0.078932639424338;	0.107800989232628;	0.132361540605860;	0.090331517985377;	0.049450018266826;	0.051352646085593;	0.052475718915529;	0.054902816678218;	0.055401478314260;	0.055946361934791;	0.056602454837764;	0.060400193420046;	0.062192271829136;	0.062707682983082;	0.065766034192180;	0.070059636894998;	0.074115517311853;	0.077991330449131;	0.076637012037432;	0.080768631019138;	0.085221603807412;	0.088914179683402;	0.091455811827183;	0.096309543968038;	0.092501149693813;	0.097858680246245;	0.105049166873748;	0.109536205728864;	0.114400344148098;	0.121796669394711;	0.129201113347340;	0.136715225871065;	0.144123159656988;	0.150274650460604;	0.155625032186185;	0.157640535090388;	0.163175797826592;	0.168639827963771;	0.175340191729009;	0.179598055539315;	0.179831978541409;	0.188643531691773;	0.199115772437618;	0.209076818297241;	0.217132436313693;	0.223497256424390;	0.239004705482492;	0.258640594034433;	0.281309962745753;	0.313542507053045;	0.352973750028078;	0.416799068717135;	0.508273225463291;	0.583052221319019;	0.640528526310250;	0.731987856412383
0.683289663846723;	0.149212640820403;	0.115782406585717;	0.120718002198258;	0.096651603899432;	0.123457896391445;	0.147933818861115;	0.102479341074948;	0.060925249522117;	0.062879151336187;	0.063928765540413;	0.066562757999100;	0.066847053227019;	0.067182588918324;	0.067690265242927;	0.071987975431946;	0.073772685410371;	0.074128605880451;	0.077506325276219;	0.082258408112021;	0.086574756452520;	0.090775178684168;	0.089052525288493;	0.093615084273818;	0.098526780020609;	0.102532804496497;	0.105134451941806;	0.110447521671950;	0.105984191889459;	0.111824935546519;	0.119646633044214;	0.124540945873370;	0.129828259629231;	0.137833155396082;	0.145817431293632;	0.153894772000216;	0.161840028562859;	0.168425847434221;	0.174153588721531;	0.176059962605541;	0.181901662917630;	0.187591326083584;	0.194699642044959;	0.199221352772777;	0.199211008213837;	0.208480253120043;	0.219508606834400;	0.230024424402734;	0.238518278830654;	0.245060142906770;	0.261325273454195;	0.281844084931978;	0.305418611794395;	0.338712021789697;	0.379202853815067;	0.444033116193885;	0.535763503676886;	0.610333349203259;	0.666506264063881;	0.752137536198492
0.719130431885177;	0.195365094134916;	0.151727419091316;	0.148753456698682;	0.119725205961747;	0.143476479665471;	0.167636415031777;	0.118240582883442;	0.075724965892630;	0.077624659050170;	0.078453787289542;	0.081230201003657;	0.081136904448464;	0.081116350354170;	0.081357812369025;	0.086209087533481;	0.087899226137574;	0.087997670577021;	0.091713505528111;	0.096957151770393;	0.101498447633638;	0.106025479099544;	0.103838692837871;	0.108874150197818;	0.114291021086974;	0.118627564190561;	0.121235271318154;	0.127038739032140;	0.121787424604821;	0.128140977269124;	0.136633097273403;	0.141964962982257;	0.147702995521416;	0.156352866197551;	0.164947229931819;	0.173613640225962;	0.182119107715288;	0.189155485097754;	0.195275725454955;	0.197005549075621;	0.203143347323428;	0.209030345668842;	0.216548543239155;	0.221333797419617;	0.221005074736564;	0.230720459851060;	0.242299352752373;	0.253369342441840;	0.262286369411541;	0.268942209357250;	0.285928713663924;	0.307271545786303;	0.331657297812214;	0.365861976087506;	0.407191086745842;	0.472659180285648;	0.564122345291839;	0.637925255050441;	0.692225399905054;	0.772779400164313
0.751535272375169;	0.254120793977413;	0.197841441052055;	0.184455470248003;	0.148869039281783;	0.168600234962859;	0.192141383364776;	0.138395967140645;	0.094288455552334;	0.096207179364499;	0.096634270301164;	0.099461062245602;	0.098788998301671;	0.098227074198273;	0.098050208714929;	0.103506487788749;	0.104982157136528;	0.104696269380596;	0.108760063743109;	0.114517362178114;	0.119220178468520;	0.124058518114863;	0.121289583146655;	0.126830061164123;	0.132787459864295;	0.137455818302271;	0.139988006594869;	0.146295426275653;	0.140099079748106;	0.146977006019540;	0.156157340103267;	0.161940815914283;	0.168138645798075;	0.177445239625667;	0.186653302084658;	0.195905305457241;	0.204962849467173;	0.212435577686306;	0.218932733420438;	0.220385736685091;	0.226774554929199;	0.232790345767720;	0.240673823832190;	0.245684271082712;	0.244927511784315;	0.255021782433287;	0.267075118620730;	0.278613142830909;	0.287850741559979;	0.294470915333271;	0.312030366513865;	0.334036213807135;	0.359078089704782;	0.394007381440659;	0.435977145674094;	0.501830105978563;	0.592740967640160;	0.665502231348281;	0.717764432800059;	0.793782221323746
0.781342703293066;	0.328813878421897;	0.257026940371085;	0.229633640384085;	0.185947669648097;	0.199677307177737;	0.222428967661726;	0.164066863099267;	0.117563813953412;	0.119130295100861;	0.119183053005627;	0.121875147966260;	0.120444957990713;	0.119090625695457;	0.118286058043417;	0.124381101640699;	0.125471858377475;	0.124631930082361;	0.129032458298446;	0.135302571516052;	0.140063653003983;	0.145171280882046;	0.141673833183177;	0.147734021870526;	0.154248684719689;	0.159227201595698;	0.161572322365117;	0.168371719476298;	0.161048309790731;	0.168439067237225;	0.178297634379464;	0.184523943444505;	0.191165950292320;	0.201108557923278;	0.210900797704654;	0.220701148255819;	0.230267019279395;	0.238127001950335;	0.244948474758055;	0.245994299118162;	0.252564082594267;	0.258615736944103;	0.266795838895182;	0.271982898890295;	0.270699812945221;	0.281142442653828;	0.293645122376172;	0.305635501194054;	0.315204881609004;	0.321780433930595;	0.339912783524047;	0.362562184456863;	0.388220915769449;	0.423794560474630;	0.466288332058770;	0.532314468079699;	0.622369675524097;	0.693791232442891;	0.743765843513666;	0.815006097121663
0.806564727071224;	0.421249213453028;	0.332510520436182;	0.286243848016614;	0.232594682523151;	0.238186126476938;	0.259221580591201;	0.196575212711456;	0.146652450415430;	0.147400569343295;	0.146527848983169;	0.148718986804150;	0.146519426035951;	0.144397535571383;	0.142689543205706;	0.149403707770160;	0.149876556089698;	0.148260125899307;	0.152966345328589;	0.159719088311646;	0.164389584419073;	0.169692973841358;	0.165287760328080;	0.171862639359094;	0.178930541628932;	0.184172545862167;	0.186188822879737;	0.193449155178102;	0.184789368589830;	0.192665021719380;	0.203173261623454;	0.209819110783490;	0.216877670995054;	0.227421753980741;	0.237760364398667;	0.248069695967597;	0.258106135904452;	0.266322167441517;	0.273448054217286;	0.274003768182529;	0.280750993146927;	0.286812222798618;	0.295290934506463;	0.300669439471643;	0.298801369194575;	0.309586427342615;	0.322525700416869;	0.334951039684877;	0.344838141258024;	0.351325743569429;	0.369976805402750;	0.393192292144490;	0.419373518102891;	0.455450192138785;	0.498288056180568;	0.564209793246718;	0.653043595856503;	0.722768860312945;	0.770168895202897;	0.836296743714837
0.826503708229892;	0.512057037643343;	0.426248589193907;	0.356751747547247;	0.291072166522055;	0.285347467518532;	0.304081477044006;	0.236839256189329;	0.181831594481101;	0.182300930959470;	0.179809977332908;	0.181093818841821;	0.177321497115561;	0.174230627751084;	0.171202676568943;	0.179343762277950;	0.178899799045499;	0.176230245428998;	0.181088182541945;	0.188262779257344;	0.192648618883949;	0.198058519192460;	0.192531852510923;	0.199603506479542;	0.207208889565772;	0.212652666470860;	0.214179432727452;	0.221869715427082;	0.211644411682530;	0.219981668923381;	0.231119431254024;	0.238174643012780;	0.245642229484275;	0.256774369601783;	0.267645364913989;	0.278448774083930;	0.288940616946605;	0.297500306569422;	0.304915793833784;	0.304876489492651;	0.311778883160290;	0.317792829881432;	0.326539421443699;	0.332087216100302;	0.329524581133267;	0.340612703722972;	0.353941068602113;	0.366750022327345;	0.376912708395230;	0.383286466236803;	0.402379573859753;	0.426060764080927;	0.452647179478306;	0.489058915287366;	0.532032922705001;	0.597537974668968;	0.684745901742666;	0.752373905565653;	0.796887712418234;	0.857413766538822
0.841204484247688;	0.604603848129330;	0.515404397430216;	0.442330681431545;	0.363794844955772;	0.343060107562626;	0.358236456974975;	0.287149184037601;	0.224804930066608;	0.223901631978985;	0.218877298818792;	0.219636833567153;	0.214245792729511;	0.209330994991964;	0.204540192026538;	0.213639185562389;	0.211791541147591;	0.207620138867551;	0.214197175012560;	0.221701156989859;	0.225549781399966;	0.230890993582748;	0.223994328125575;	0.231540322379755;	0.239661969663445;	0.245232681386068;	0.246082861221618;	0.254166886108211;	0.242135091533519;	0.250908018965445;	0.262648393085409;	0.270097039388507;	0.277950926728706;	0.289635782264971;	0.300998989778491;	0.312251485664605;	0.323150309293830;	0.332007251074179;	0.339666237062091;	0.338887874794884;	0.345900428901218;	0.351786207413298;	0.360748278606077;	0.366425218520933;	0.363030402569120;	0.374365468988351;	0.388014048129892;	0.401132012858091;	0.411509293201249;	0.417816483870585;	0.437249958093399;	0.461266566442511;	0.488108074216655;	0.524647255412808;	0.567506735227247;	0.632231472015827;	0.717353446959047;	0.782417309192338;	0.823698695660954;	0.878051395054037
