0.366685503330698;	0.001838236607450;	0.002196204940066;	0.039715189056934;	0.027891401782192;	0.078007956164617;	0.105889455990110;	0.074199575834417;	0.012091839916620;	0.011826306755477;	0.011505449219730;	0.011593472571415;	0.011497976009651;	0.011532557414611;	0.011669840422355;	0.012266658218163;	0.012692505936639;	0.012934463910539;	0.013581717228725;	0.014519936890922;	0.015443423982854;	0.016402421353622;	0.016223142614091;	0.017162554208083;	0.018340943302587;	0.019370285881404;	0.019976598795767;	0.021063804336478;	0.020258618833531;	0.021439091328185;	0.022917902429752;	0.023947984627547;	0.025129201219269;	0.026654443665018;	0.028260092569320;	0.029947776399522;	0.031685752736473;	0.033189614565106;	0.034571146433128;	0.035221455914435;	0.037131484740665;	0.038679327923607;	0.039905180158147;	0.040937289493376;	0.041032334275077;	0.043086290318169;	0.045540982272823;	0.047350368598031;	0.049606511754489;	0.051230054694253;	0.053998018145144;	0.057723010769623;	0.063225548225100;	0.070897110003516;	0.080263628781631;	0.097739069803632;	0.125068483246280;	0.158730251071507;	0.219137565330649;	0.306523232049382
0.368871942850471;	0.003906516159844;	0.003797135997228;	0.039950617671688;	0.028087429179697;	0.078191228298144;	0.106078725962755;	0.074342244845235;	0.012229564748995;	0.011968650760756;	0.011650398489006;	0.011744433581990;	0.011649311354698;	0.011684107274625;	0.011822177953779;	0.012428347325010;	0.012857173985258;	0.013099470024211;	0.013753770777270;	0.014701586553170;	0.015632585438278;	0.016599660894391;	0.016416872544266;	0.017365756950402;	0.018554278240499;	0.019591567435242;	0.020201820373040;	0.021299381815620;	0.020485148327787;	0.021676687720797;	0.023169694320208;	0.024209431488364;	0.025400863182502;	0.026940366540694;	0.028560004845192;	0.030261621401686;	0.032013202807941;	0.033528651133871;	0.034920593881864;	0.035572678384349;	0.037492490534907;	0.039048876683850;	0.040286680952087;	0.041327766002677;	0.041422133474334;	0.043490512656947;	0.045961956716880;	0.047787927265808;	0.050058289018711;	0.051691193863936;	0.054482305441282;	0.058234418744546;	0.063765678181288;	0.071471620659093;	0.080874204597828;	0.098388601212441;	0.125740780020343;	0.159406903375664;	0.219787509702193;	0.308159899330109
0.369487206124080;	0.004453291332428;	0.004221125095933;	0.040363151075395;	0.028421592151584;	0.078490500415127;	0.106378034981482;	0.074568704260610;	0.012990237016491;	0.012184554657776;	0.011865663875437;	0.011964283606700;	0.011865700365467;	0.011897070412413;	0.012032755406249;	0.012648604397512;	0.013077889114557;	0.013317419772340;	0.013977954226404;	0.014934896407170;	0.015871684862889;	0.016845454564910;	0.016655471558284;	0.017612868879187;	0.018810505067511;	0.019854310060927;	0.020466504346679;	0.021573543829086;	0.020746653619457;	0.021948165561390;	0.023454229067451;	0.024502134330160;	0.025702081680565;	0.027254009997896;	0.028885478968158;	0.030598567834909;	0.032361027580617;	0.033885117618635;	0.035284387032456;	0.035934435400452;	0.037860339633182;	0.039421272394387;	0.040667000627919;	0.041717076733399;	0.041812164696556;	0.043896138227276;	0.046385552216133;	0.048229298538465;	0.050514287250997;	0.052156148502964;	0.054969706451366;	0.058748023789903;	0.064306992498333;	0.072046028571804;	0.081483517075307;	0.099035168496444;	0.126409513167883;	0.160085353753531;	0.220447892929952;	0.308943868592074
0.370196341297817;	0.005268274550210;	0.004850009749135;	0.049181786168732;	0.028829481699608;	0.078850626504148;	0.106736328579344;	0.074848320337144;	0.013254331931371;	0.012450058104276;	0.012131751862405;	0.012237830622853;	0.012136748720657;	0.012165405052476;	0.012299181333384;	0.012928606337104;	0.013359150588577;	0.013596060146700;	0.014265701865098;	0.015235158731430;	0.016179591145870;	0.017162624986060;	0.016964574907634;	0.017933870339553;	0.019144187746050;	0.020197122369989;	0.020812047064985;	0.021931982367075;	0.021089717639363;	0.022304954373396;	0.023828813528328;	0.024888962537767;	0.026101721591969;	0.027671564601371;	0.029320465265208;	0.031050851122207;	0.032830262214698;	0.034368888734269;	0.035781543746592;	0.036432171896896;	0.038370127273198;	0.039941483161396;	0.041203288709223;	0.042265819061887;	0.042359488456671;	0.044462247783497;	0.046974192419923;	0.048841660970428;	0.051147998034196;	0.052805163698402;	0.055654362490294;	0.059476040290911;	0.065083907525631;	0.072884638429441;	0.082394249570388;	0.100032212338796;	0.127487719816446;	0.161265869040206;	0.221696488328296;	0.312380087696392
0.372431487320442;	0.006531277715263;	0.005834059268535;	0.049890961032539;	0.051678863514800;	0.079360676221187;	0.107240982637488;	0.075250124744932;	0.013672545082249;	0.013497320100842;	0.012505824573215;	0.012616394520557;	0.012506443417705;	0.012527025234928;	0.012655081792076;	0.013300531517590;	0.013730183290859;	0.013961851306220;	0.014642360111457;	0.015626889383382;	0.016579403444207;	0.017573467772108;	0.017365114022397;	0.018349711122689;	0.019576538947655;	0.020641513855873;	0.021259504405046;	0.022396097750383;	0.021534775516373;	0.022767696648540;	0.024314259073725;	0.025390980293074;	0.026621106294495;	0.028214731568325;	0.029910973349982;	0.031743665092650;	0.033632412760614;	0.035270012858220;	0.036760126652464;	0.037454886733529;	0.039457437609692;	0.041087002623862;	0.042416571287622;	0.043538752577473;	0.043659447252600;	0.045837147571058;	0.048435668794962;	0.050394680866535;	0.052790080831474;	0.054521379524830;	0.057495015201363;	0.061455093798456;	0.067206608243905;	0.075170151440256;	0.084846948503577;	0.102658034610392;	0.130226694239175;	0.164129337355909;	0.224594693790098;	0.318950285041017
0.376278775658985;	0.009992523492365;	0.008594978422587;	0.051082692379938;	0.052689021147212;	0.098254399554324;	0.108181904848354;	0.076015905854405;	0.014723068200275;	0.014315055982339;	0.014073841271516;	0.014368587665748;	0.013301445032522;	0.013324547796410;	0.013457413046006;	0.014154950451108;	0.014599834714004;	0.014835798508889;	0.015557910196166;	0.016595416165391;	0.017585320935786;	0.018624242746233;	0.018404316945212;	0.019444143990252;	0.020731194782553;	0.021845317041745;	0.022488057017286;	0.023686654440191;	0.022786296583661;	0.024084711661363;	0.025712287310986;	0.026852701771674;	0.028149739541938;	0.029829097137278;	0.031588134119411;	0.033435144314342;	0.035336196832570;	0.036989890258245;	0.038515854889041;	0.039210086495007;	0.041259459902486;	0.042934848857612;	0.044334919360193;	0.045523558868238;	0.045662560677954;	0.047927759459219;	0.050630883223712;	0.052700275159958;	0.055198648893105;	0.057004926201935;	0.060125413142937;	0.064260514454247;	0.070209809330721;	0.078404762332145;	0.088329513478948;	0.106407281369514;	0.134166541825157;	0.168321813004827;	0.228948950344869;	0.330395076717500
0.380571423280363;	0.013944526743608;	0.011652711322629;	0.061304568647039;	0.067094435996359;	0.099880030827398;	0.134828677476288;	0.077318361628893;	0.016174062115611;	0.016047438908742;	0.015332192079154;	0.015657698501438;	0.015543726101876;	0.014452236339379;	0.014564567736749;	0.015322446431288;	0.015764822604733;	0.015987912192920;	0.016747908554364;	0.017838998827884;	0.018859626113153;	0.019943430751184;	0.019703534138657;	0.020806372693139;	0.022164258845772;	0.023336822976246;	0.024005887687550;	0.025279628627403;	0.024335204957345;	0.025714753343163;	0.027442301093610;	0.028667698716778;	0.030055220157745;	0.031848203549260;	0.033732480424282;	0.035725199788594;	0.037769483067124;	0.039549356237732;	0.041189203478922;	0.041918174641667;	0.044063524695580;	0.045820872470607;	0.047330342920078;	0.048619204637425;	0.048779216509039;	0.051170971924290;	0.054024839208252;	0.056249808969346;	0.058897720599490;	0.060803090530093;	0.064124621704861;	0.068496659214632;	0.074718093830055;	0.083225517348077;	0.093480727322705;	0.111911899636876;	0.139904584942210;	0.174434833564582;	0.235383942363414;	0.348316511905890
0.387639164563949;	0.023914394283077;	0.017165993990037;	0.064875614800551;	0.078365198228567;	0.119046880434242;	0.139562809011877;	0.124673455446972;	0.072496467804041;	0.018180259373825;	0.018003426958601;	0.018515836889271;	0.017812090380240;	0.017455963970582;	0.017570055646382;	0.017227744461589;	0.017676899989160;	0.017888333078275;	0.018745495882725;	0.019930637111465;	0.021002624143108;	0.022158527800157;	0.021882747852316;	0.023085075432589;	0.024554162254940;	0.025814116799529;	0.026511134090442;	0.027891351501971;	0.026858765594579;	0.028349123408623;	0.030212793481430;	0.031550897059642;	0.033056185949793;	0.034996194015749;	0.037025347575376;	0.039162335304781;	0.041355076267371;	0.043273519327847;	0.045052646931737;	0.045813390787895;	0.048087389060974;	0.049953389986196;	0.051609968556643;	0.053041001280246;	0.053230512575050;	0.055797368478869;	0.058860329365260;	0.061297127264054;	0.064158679538105;	0.066188711710359;	0.069777028839102;	0.074462306295861;	0.081054218895515;	0.089975274533829;	0.100658758596443;	0.119540252533292;	0.147796427164496;	0.182856686988064;	0.244382690330631;	0.378771239855507
0.395749333369832;	0.036330541142154;	0.028086258237060;	0.077409129563507;	0.097532986054800;	0.129509227089658;	0.165002766453715;	0.148042628839883;	0.101153485017623;	0.080470731449361;	0.083699807990044;	0.022613347745854;	0.021438987817181;	0.020911337560807;	0.021020048673986;	0.021290408378798;	0.021781876056021;	0.022009090536878;	0.021523369155079;	0.022834863235045;	0.023970398087364;	0.025244224220679;	0.024920860387250;	0.026261343950801;	0.027887368175999;	0.029271070209793;	0.030002650300318;	0.031528951897065;	0.030372499222396;	0.032011943058720;	0.034056178967314;	0.035549478579529;	0.037217498857263;	0.039354005273797;	0.041578053353264;	0.043910092615729;	0.046302430888778;	0.048406988619834;	0.050374295315769;	0.051172413745433;	0.053621640879259;	0.055628450195334;	0.057471920053419;	0.059091975143033;	0.059315975991837;	0.062106886329235;	0.065438450606413;	0.068139828976392;	0.071283778350530;	0.073435902469491;	0.077347358751369;	0.082413494720502;	0.089478224649787;	0.098911460299143;	0.110114452425114;	0.129536884037716;	0.158065661031290;	0.193858603741857;	0.256385529799689;	0.419553480109559
0.406147099483183;	0.054356197831491;	0.043580648668900;	0.092900182473299;	0.117699493074684;	0.148130626302114;	0.186445494204806;	0.186916528675736;	0.146265817903476;	0.128392291275116;	0.135556608190098;	0.092628046608303;	0.093108902012661;	0.026042100173550;	0.026139126191524;	0.026339471047323;	0.026859659608913;	0.027085858748939;	0.027064887386831;	0.028600430681160;	0.029829730161694;	0.029499795297321;	0.029109813811811;	0.030635823652123;	0.032477251325923;	0.034031865129743;	0.034804495418121;	0.036526119301255;	0.035145545618889;	0.036976361585515;	0.039249555666599;	0.040947920332038;	0.042831108598973;	0.045218546642498;	0.047692355799219;	0.050275490618396;	0.052926253887489;	0.055273538425354;	0.057488732204434;	0.058331091914209;	0.061014755967149;	0.063199042277702;	0.065273700891776;	0.067142230067261;	0.067411915614587;	0.070485884405295;	0.074158274890981;	0.077184445765338;	0.080700107029719;	0.082894758460685;	0.087182357885323;	0.092692082110059;	0.100338475350583;	0.110376401271958;	0.122172326723224;	0.142198930717123;	0.170953610425406;	0.207695406020800;	0.271799579072405;	0.463775362251035
