0.310456628427798;	0.000022935882071;	0.000028387309498;	0.047184378897616;	0.037598362030094;	0.096837697653935;	0.136051428332492;	0.099891479662271;	0.020231970599407;	0.020837812641248;	0.021246302542514;	0.022242567202245;	0.022653643244299;	0.023144826337585;	0.023664508482285;	0.025824256888820;	0.026936079215208;	0.027741480204739;	0.029894254946097;	0.032517046272993;	0.034966133617763;	0.037268896532052;	0.037582490628384;	0.040013694326590;	0.042668020209712;	0.044866005310443;	0.046059012914178;	0.047981824247156;	0.045970473422685;	0.047765829183679;	0.050450667564618;	0.051997911546555;	0.053657441282326;	0.056606128684397;	0.059543912116501;	0.062630608779384;	0.065790898306152;	0.068478467187704;	0.071037660967185;	0.071960786249450;	0.074015176711274;	0.076549181669088;	0.080213873687286;	0.083153532328389;	0.084845046318400;	0.090441352161914;	0.097786913258411;	0.106109216672357;	0.113259191575976;	0.120006201199463;	0.132476531510293;	0.147802329929804;	0.164389088258586;	0.186178624303185;	0.212326992086706;	0.249410984683126;	0.298801283059653;	0.356302232164705;	0.407908830202836;	0.446110470157186
0.321316310539793;	0.008238410582828;	0.006815365861717;	0.048148282702843;	0.038425260604401;	0.097612936145852;	0.136848877427106;	0.100523250880118;	0.020834194717312;	0.021466015898760;	0.021887922673457;	0.022914356728889;	0.023334851077240;	0.023836565968559;	0.024369287667148;	0.026581928603373;	0.027717814718277;	0.028539486798559;	0.030738652139798;	0.033418962494030;	0.035915187463780;	0.038264856647012;	0.038576790426367;	0.041058194037257;	0.043764555938328;	0.046000835961754;	0.047208993045276;	0.049170401356258;	0.047108215758473;	0.048938798419294;	0.051670163813478;	0.053242363447395;	0.054928999766981;	0.057922230377326;	0.060903807475626;	0.064035729717955;	0.067241298005896;	0.069967933776797;	0.072563844037287;	0.073489785720637;	0.075581572306074;	0.078150277351673;	0.081865812199708;	0.084848406286017;	0.086548581811793;	0.092216769946129;	0.099645811994213;	0.108052382833209;	0.115275890811177;	0.122071291993992;	0.134638068203031;	0.150063922650356;	0.166742644995052;	0.188624576097059;	0.214852236113518;	0.251997062605151;	0.301401793200228;	0.358873953460834;	0.410418900804107;	0.486092918727642
0.324133105506185;	0.010385410233445;	0.008550152030932;	0.049829170897816;	0.039823708144659;	0.098868817263681;	0.138101759038999;	0.101516261788343;	0.023343511982726;	0.022409691063773;	0.022831408306992;	0.023882850031096;	0.024298602396435;	0.024798050865925;	0.025332386468345;	0.027601728373563;	0.028752563728725;	0.029579701875438;	0.031823885638887;	0.034560979437281;	0.037097235726929;	0.039487772352005;	0.039783183279728;	0.042309745463392;	0.045062537009185;	0.047329353233455;	0.048542376346891;	0.050536453374551;	0.048406577236998;	0.050265141004332;	0.053035535672896;	0.054624143620289;	0.056328590988119;	0.059356548109658;	0.062371072862463;	0.065536442961297;	0.068774682589381;	0.071527156786129;	0.074146157530765;	0.075058472612209;	0.077171690791825;	0.079757783584649;	0.083506519576025;	0.086689758421431;	0.088624643002848;	0.094619642237248;	0.102409631320658;	0.111185576880047;	0.118739007598040;	0.125806876444944;	0.138748393813950;	0.154578554244096;	0.171670570521263;	0.193999394639620;	0.220682091654780;	0.258283486957816;	0.308093949902246;	0.365966642915128;	0.417893758863234;	0.503286577372973
0.327253507655382;	0.013580661584372;	0.011105672741518;	0.051909635013931;	0.041515621853522;	0.100367074221775;	0.139591154379574;	0.102729201367267;	0.024474954322320;	0.023568926787362;	0.024095946075292;	0.025302607583888;	0.025829872246228;	0.026429304501145;	0.027043334573448;	0.029487503434607;	0.030730878306245;	0.031629454540944;	0.034025399478412;	0.036937245291648;	0.039610896889588;	0.042144561434843;	0.042461248116159;	0.045144519485125;	0.048061007609703;	0.050457222657039;	0.051734581810178;	0.053864585138979;	0.051632042852145;	0.053623588379807;	0.056565262941324;	0.058279943823388;	0.060118636769774;	0.063334311610530;	0.066541439943057;	0.069912370350245;	0.073367731745840;	0.076331668357369;	0.079171108839657;	0.080195042993183;	0.082544582314983;	0.085377604670386;	0.089460840392149;	0.092968513494449;	0.095111100938544;	0.101558812326296;	0.109889969784761;	0.119273977200903;	0.127443753203274;	0.135091498740835;	0.148938373691749;	0.165845668520137;	0.184171339287874;	0.208024170834788;	0.236529625365162;	0.276340478485498;	0.328763802568444;	0.390259703201822;	0.445604777506511;	0.519797208279860
0.385317422228756;	0.026115497679494;	0.021388188428144;	0.057218530761320;	0.046164508662858;	0.104447575901892;	0.143710477738717;	0.106083345523554;	0.028853347758204;	0.028837212443515;	0.027358341629146;	0.028652314036610;	0.029171439055909;	0.029784633815453;	0.030433790185636;	0.033133189979319;	0.034471731801851;	0.035442171340705;	0.038079274748327;	0.041276721296879;	0.044164955669004;	0.046941691502386;	0.047302017389997;	0.050277664603824;	0.053508939694543;	0.056165599739487;	0.057577827918789;	0.059980220149444;	0.057594040081375;	0.059848496072000;	0.063120678145603;	0.065098143071105;	0.067217065296768;	0.070814065974746;	0.074416963119142;	0.078215539318422;	0.082130373538318;	0.085554273542648;	0.088886893835063;	0.090182379917544;	0.093038573308300;	0.096417785596411;	0.101255629311510;	0.105458374079596;	0.108053595894394;	0.115430728528229;	0.124925137657177;	0.135687740258144;	0.145218749046351;	0.154079778867904;	0.169677869633004;	0.188323589566233;	0.208079249038879;	0.233263285150726;	0.262671982562014;	0.302831169738251;	0.355035053759634;	0.416853975636510;	0.471612840123439;	0.537661524055159
0.436114602332130;	0.041782698277443;	0.034279827316058;	0.065498464548595;	0.053316051168309;	0.110946715719703;	0.150152555336478;	0.111408637767532;	0.034986952017188;	0.035925234971015;	0.035369228756542;	0.037508626666010;	0.034556011300895;	0.035267077643822;	0.035963533202351;	0.039074378082501;	0.040545477203903;	0.041614993234818;	0.044647977539136;	0.048295580893699;	0.051494218353799;	0.054644608385382;	0.055083085795781;	0.058528324025811;	0.062270166567580;	0.065352727997796;	0.066963000072701;	0.069791513857631;	0.067174182330166;	0.069828381769222;	0.073604134642772;	0.076007280050333;	0.078568537060009;	0.082756832551709;	0.086965830280563;	0.091412782078756;	0.096024095530431;	0.100141679345131;	0.104224189511928;	0.105840224325848;	0.109285715043026;	0.113249389579609;	0.118919671719924;	0.123801458496474;	0.126547421268106;	0.134366644018932;	0.144394111355945;	0.155698562102702;	0.165317336608422;	0.173751596346799;	0.189353467519901;	0.208026923103181;	0.227786912804725;	0.253010532778997;	0.282385649764763;	0.322452655912467;	0.374601156883204;	0.437182687135118;	0.492391368072824;	0.557315068337581
0.493529282556364;	0.063481867073381;	0.052465844639956;	0.078328387530710;	0.064374167646855;	0.120796726131309;	0.160145660424327;	0.119521028494249;	0.043530017236097;	0.045468655649440;	0.046115819368055;	0.049192785632356;	0.047704825853827;	0.043065456917813;	0.043736251439667;	0.047860512667259;	0.049475623725445;	0.050650600992711;	0.054147851492231;	0.058402227773328;	0.061958969931273;	0.065596322642592;	0.066129129792945;	0.070203699680131;	0.074633871754184;	0.078281333460192;	0.080080473718261;	0.083421145993897;	0.080441811785860;	0.083528345625275;	0.087851315273247;	0.090729401693620;	0.093736687929599;	0.098501074992885;	0.103235189025259;	0.108181439079128;	0.113265991227885;	0.117759271606395;	0.122162437166652;	0.123420213669536;	0.126712174943333;	0.130483010620415;	0.136221556445267;	0.141126343236421;	0.143487331337638;	0.151409294795268;	0.161733334983220;	0.173482039762306;	0.183357245998847;	0.191565697448481;	0.207616414344847;	0.226794390623233;	0.247003255729212;	0.272722941556286;	0.302506318136374;	0.342849753473388;	0.395225388505884;	0.458851188038134;	0.514699417102635;	0.578692633481485
0.549024133748255;	0.198986640977292;	0.075514697260606;	0.096984110411099;	0.080312421233187;	0.134987763771934;	0.174193807952416;	0.131641753507117;	0.058194386766491;	0.057388551664551;	0.058835042235156;	0.062555912106135;	0.063474339872945;	0.061581409042712;	0.062784240419311;	0.058729089974881;	0.060323042689367;	0.061446443081490;	0.066687431135010;	0.071623085777133;	0.075451362044249;	0.079445450954165;	0.080016442268240;	0.084759076025550;	0.089912231742747;	0.094102225393531;	0.095894051686114;	0.099613569708429;	0.096040889163285;	0.099350421764131;	0.103985477383731;	0.107123141128456;	0.110291551512728;	0.115305467423126;	0.120223841323074;	0.125336376080071;	0.130596082110988;	0.135232951124393;	0.139873529206635;	0.140811201846375;	0.144094000378245;	0.147878377841963;	0.153965670613843;	0.159248211747047;	0.161577249434270;	0.169855577031271;	0.180729250124033;	0.193169697179525;	0.203507036211286;	0.211164151926419;	0.227735737684052;	0.247455446455976;	0.268131253813146;	0.294335896682747;	0.324490481815804;	0.365050494251512;	0.417601906595835;	0.482332158629471;	0.538863977600499;	0.602632282559537
0.597178382055524;	0.331226935147367;	0.234916427463708;	0.119961324550303;	0.102648147884276;	0.154114836440032;	0.193191203011346;	0.148013691051017;	0.075963131946910;	0.077780937867423;	0.079780252015063;	0.084038599381208;	0.079094078015631;	0.080162775942221;	0.081068765164124;	0.086026476530977;	0.088772066796124;	0.091076385998586;	0.080534431023274;	0.086115603171885;	0.090109962114488;	0.095408502100753;	0.095855101343703;	0.101171463462260;	0.106966919605007;	0.111605937031458;	0.113217385950633;	0.117242478891070;	0.112765675350402;	0.116197061464320;	0.121064182934528;	0.124472119390050;	0.127893856134335;	0.133269324642299;	0.138525826577882;	0.143994006262136;	0.149650710982572;	0.154678351946445;	0.159786673817911;	0.160538045315310;	0.163938761940245;	0.167814263199493;	0.174361502762860;	0.180131744273533;	0.182482322452156;	0.191145739292921;	0.202624620499466;	0.215829111495438;	0.226681179509016;	0.232922180590301;	0.250046967542537;	0.270354519178683;	0.291565311736921;	0.318329246111535;	0.348932847642856;	0.389790615073612;	0.442623844054260;	0.508704182043785;	0.566131133385475;	0.629212434487704
0.634478315119309;	0.430387314821960;	0.372879946010552;	0.273530763735565;	0.127901513213223;	0.179611234983511;	0.217519521384438;	0.169386053245467;	0.097307013354974;	0.099850611607312;	0.102603537607534;	0.107216723239805;	0.108798761615855;	0.101630002175974;	0.102554374998525;	0.106030918489154;	0.108298351083942;	0.109979934907050;	0.118013491115712;	0.125810678049376;	0.130682109727289;	0.113649553467565;	0.114321918518047;	0.120710417947777;	0.127760050299069;	0.133536017838194;	0.135556822826974;	0.140537664259999;	0.132133854343535;	0.135930557120238;	0.141283827996719;	0.145276896972120;	0.149211487284358;	0.155177780185614;	0.160974055976980;	0.166981733792178;	0.173215063018891;	0.178800466214164;	0.184564257027247;	0.185172563828178;	0.188745898902041;	0.192715952643437;	0.199841318221669;	0.206254349826101;	0.208731811281390;	0.217859938178497;	0.230080940453981;	0.244203618253240;	0.255688868229572;	0.258867988068297;	0.276636113999993;	0.297614638481278;	0.319438735056155;	0.346821536475443;	0.377897936318151;	0.419045293976454;	0.472137029284510;	0.539681755437869;	0.598021238950917;	0.659164095874415
