0.289456473842886;	0.000000033975194;	0.000000044302952;	0.044102758419742;	0.035719019857243;	0.125497624019620;	0.190669885463859;	0.163897796646794;	0.016968957171233;	0.016719694399843;	0.016177259600844;	0.016075552933434;	0.015732312553332;	0.015748454966856;	0.015861369648173;	0.016780775198544;	0.017211738145753;	0.017505625889435;	0.018454123110359;	0.019817106837581;	0.021214723307564;	0.022591039095194;	0.022943177661767;	0.024614323224837;	0.026419229849885;	0.028041816510212;	0.029377336631082;	0.031221922407217;	0.030884828263914;	0.032754785409255;	0.035095449829373;	0.036518723202196;	0.037985125615374;	0.040190329996685;	0.042192724569461;	0.044118261100233;	0.045878681421589;	0.047202721430937;	0.048388693266329;	0.048545354185802;	0.049235450936191;	0.050399144244361;	0.052290745919883;	0.053831088711125;	0.054914726031182;	0.058100595339028;	0.062266613976709;	0.067026097954770;	0.070763655196923;	0.074083811839939;	0.080640773154904;	0.088276448801353;	0.095771866758678;	0.105429534382772;	0.116600520267801;	0.131978840118240;	0.152417071311208;	0.176423323816569;	0.196193064029608;	0.209630938311665
0.289456527704500;	0.000000072089300;	0.000000075912427;	0.044102762910218;	0.035719023709318;	0.125497627593312;	0.190669889160458;	0.163897799644341;	0.016968960002784;	0.016719697358538;	0.016177262605644;	0.016075556074898;	0.015732315731050;	0.015748458205285;	0.015861372948125;	0.016780778758196;	0.017211741834216;	0.017505629669794;	0.018454127142182;	0.019817111179010;	0.021214727915193;	0.022591043986933;	0.022943182614592;	0.024614328495192;	0.026419235462729;	0.028041822412282;	0.029377342711123;	0.031221928789405;	0.030884834538846;	0.032754791978449;	0.035095456736842;	0.036518730332837;	0.037985132973929;	0.040190337649006;	0.042192732488680;	0.044118269271666;	0.045878689821769;	0.047202730011710;	0.048388702006840;	0.048545362899585;	0.049235459774666;	0.050399153191812;	0.052290755051028;	0.053831098001514;	0.054914735343101;	0.058100604931830;	0.062266623902967;	0.067026108213289;	0.070763665736141;	0.074083822517981;	0.080640784197069;	0.088276460210979;	0.095771878498739;	0.105429546450364;	0.116600532615697;	0.131978852684885;	0.152417083951043;	0.176423336358357;	0.196193076387747;	0.213628982469272
0.289456541655390;	0.000000082184075;	0.000000084068503;	0.044102770767432;	0.035719030237891;	0.125497633404230;	0.190669894987744;	0.163897804354651;	0.030853945490035;	0.016719701802123;	0.016177267024684;	0.016075560605727;	0.015732320229535;	0.015748462709234;	0.015861377459822;	0.016780783551294;	0.017211746717391;	0.017505634596647;	0.018454132320689;	0.019817116669718;	0.021214733643464;	0.022591049977466;	0.022943188601910;	0.024614334780993;	0.026419242068468;	0.028041829273475;	0.029377349702932;	0.031221936055943;	0.030884841622973;	0.032754799319523;	0.035095464374438;	0.036518738146744;	0.037985140962975;	0.040190345872767;	0.042192740914150;	0.044118277878896;	0.045878698583390;	0.047202738877664;	0.048388710955011;	0.048545371732778;	0.049235468646577;	0.050399162080466;	0.052290764030610;	0.053852439038759;	0.054965648390461;	0.058184211376759;	0.062385105635496;	0.067179704571422;	0.070948552412911;	0.074295570644369;	0.080885373563201;	0.088556177567570;	0.096088172625241;	0.105785552311561;	0.116998387172054;	0.132421118321378;	0.152904905100292;	0.176960605765975;	0.196784451393606;	0.215311312616229
0.289456557083009;	0.000000097250884;	0.000000096108496;	0.044157774586447;	0.035719038156103;	0.125497640365872;	0.190669901941093;	0.163897810106735;	0.030853950806132;	0.016720945245431;	0.016189909616260;	0.016101536051419;	0.015770731939308;	0.015797987909405;	0.015919280246299;	0.016850147687762;	0.017289595105750;	0.017590832146425;	0.018550461374538;	0.019925882329717;	0.021334600416556;	0.022722803462760;	0.023081173816363;	0.024765651134366;	0.026585084993574;	0.028221184127211;	0.029566829522183;	0.031426047462135;	0.031091422498521;	0.032977060946982;	0.035336259934480;	0.036775742170065;	0.038259129698649;	0.040484684094393;	0.042507517659861;	0.044454187825978;	0.046236262386412;	0.047581457242133;	0.048789511938442;	0.048960290894656;	0.049672730953101;	0.050860410064070;	0.052783168088134;	0.054376572860818;	0.055515262832358;	0.058775613305716;	0.063026698879335;	0.067878063630044;	0.071705750635364;	0.075109360890660;	0.081785022365439;	0.089558530624318;	0.097210719600188;	0.107058311837463;	0.118454892317386;	0.134107072720468;	0.154876383518733;	0.179329955092660;	0.199547812566168;	0.216920959101084
0.295252603481469;	0.000864036412999;	0.000719213509595;	0.044436526763905;	0.036100243433792;	0.125720530372640;	0.190900882115178;	0.164086770213390;	0.031142109328734;	0.034710828549296;	0.016379479812201;	0.016297752426635;	0.015968047550716;	0.015999250285785;	0.016125265355070;	0.017075635303272;	0.017525142154395;	0.017834989678583;	0.018815789381036;	0.020216057427647;	0.021645726400705;	0.023058368037659;	0.023428617012102;	0.025143244629734;	0.026996391590877;	0.028664155842221;	0.030032677425662;	0.031926234365708;	0.031597120117480;	0.033518562162315;	0.035919598855142;	0.037396298821747;	0.038918788019833;	0.041191339621265;	0.043261880310972;	0.045259013797534;	0.047093393187705;	0.048490115660980;	0.049752619989196;	0.049956843976075;	0.050721422403924;	0.051966435228254;	0.053966593755759;	0.055632258977560;	0.056826572363430;	0.060180049552017;	0.064550348419313;	0.069543440779997;	0.073512606173364;	0.077042016139661;	0.083894741110484;	0.091838258554552;	0.099625356568691;	0.109593521206105;	0.121064280061751;	0.136738804940956;	0.157485140144639;	0.181973506129911;	0.202147101519097;	0.218705118852098
0.300341188445202;	0.001962308748718;	0.001636511617656;	0.044955170098629;	0.036557921501003;	0.126249982994273;	0.191330114067388;	0.164443094432122;	0.031583117628202;	0.035238236029087;	0.038479123428336;	0.043342233522302;	0.016348501222005;	0.016394060742481;	0.016527433193003;	0.017513798701436;	0.017979249061494;	0.018302290432652;	0.019321861768505;	0.020765944875199;	0.022229428182423;	0.023683427209114;	0.024073494040287;	0.025840805864638;	0.027753112263388;	0.029476013054293;	0.030880948850792;	0.032832236421797;	0.032510922297181;	0.034490992233031;	0.036961101627078;	0.038501225083000;	0.040088940344699;	0.042439210650046;	0.044586668438537;	0.046662488891220;	0.048578077158905;	0.050053986157598;	0.051401233238520;	0.051644697452815;	0.052468760912764;	0.053773762115130;	0.055857109645111;	0.057588366274908;	0.058801062625945;	0.062182348320431;	0.066592260732173;	0.071621595166936;	0.075576845594340;	0.079035543920716;	0.085861305458282;	0.093781007269103;	0.101546850883830;	0.111499877600224;	0.122952685828404;	0.138613563616530;	0.159364472240938;	0.183946117520541;	0.204191554665884;	0.224966478316575
0.306173229535251;	0.003554004175581;	0.002993530622588;	0.045917052108172;	0.037427883782432;	0.126972761547273;	0.192225938910715;	0.165045330166183;	0.032237813627682;	0.035990499684842;	0.039338621927722;	0.044291357308036;	0.047235119395439;	0.016999515866489;	0.017134279268015;	0.018215947612476;	0.018700603984488;	0.019039152708109;	0.020106283881268;	0.021611926619110;	0.023116694173593;	0.024626543938479;	0.025042076189731;	0.026881925600946;	0.028875883189029;	0.030673488240726;	0.032119532007062;	0.034143237056115;	0.033825456189781;	0.035873489580573;	0.038423858656536;	0.040038904316028;	0.041697321557554;	0.044127055102885;	0.046344043728218;	0.048482094507602;	0.050451272553538;	0.051964655107121;	0.053339217653670;	0.053534386416927;	0.054322324650473;	0.055588889247863;	0.057659537161662;	0.059384636524776;	0.060570881242345;	0.063971957398765;	0.068435810242015;	0.073542910046641;	0.077563781840424;	0.081037948976118;	0.087969583921839;	0.096016266320840;	0.103923695567193;	0.114051060694550;	0.125706058439015;	0.141611181573534;	0.162675108240175;	0.187752574268140;	0.208512169514001;	0.229904715315018
0.311893280240540;	0.016561926425945;	0.004745239377838;	0.047351722279010;	0.038704751273801;	0.128183003677204;	0.193357672894286;	0.166272522187463;	0.046005512374029;	0.036958452445557;	0.040390952225231;	0.045418591378117;	0.048592556688526;	0.050750785408699;	0.052236552686220;	0.019167661203130;	0.019669456303300;	0.020021588548345;	0.021282546672584;	0.022879653664244;	0.024439840456938;	0.026017290028488;	0.026472433280756;	0.028418644071973;	0.030531098005132;	0.032434967668574;	0.033932195536230;	0.036053034124811;	0.035736439610721;	0.037872058725717;	0.040526364973627;	0.042238791872259;	0.043985015469560;	0.046515468225389;	0.048825320207436;	0.051056141070100;	0.053120558242092;	0.054726438356483;	0.056210149822002;	0.056440589531190;	0.057313709565621;	0.058679940909082;	0.060912875367730;	0.062813385475244;	0.064124229635096;	0.067716958260872;	0.072421929251594;	0.077803005401791;	0.082061722463160;	0.085620617937043;	0.092821555484680;	0.101129700451745;	0.109254584244171;	0.119589145328920;	0.131393993344365;	0.147386434897739;	0.168497600562992;	0.193784954059371;	0.214592716014401;	0.239206913874933
0.324523955469115;	0.030642359840354;	0.021163048396573;	0.049697480523127;	0.041159258690655;	0.130244853572187;	0.195483116341950;	0.168100979155625;	0.048174260882246;	0.055204932431730;	0.059036794864188;	0.068137712406750;	0.050336420025610;	0.052834238211862;	0.054319700117215;	0.059547002071349;	0.062578893821429;	0.065352226836088;	0.023123213608498;	0.024850993387419;	0.026487506901124;	0.028267693867838;	0.028761233857849;	0.030851661685887;	0.033125516035613;	0.035170707086204;	0.036726042134068;	0.038980703977308;	0.038627320057355;	0.040879965287243;	0.043676833064687;	0.045529376910617;	0.047414717962167;	0.050106940781569;	0.052569828087584;	0.054951930640665;	0.057166955829488;	0.058910682420326;	0.060536355936104;	0.060767685920653;	0.061681781296955;	0.063080308757511;	0.065406516803374;	0.067384641002711;	0.068684878935246;	0.072314228169151;	0.077106833683699;	0.082601144455502;	0.086910021300811;	0.090229739062639;	0.097518730285350;	0.105947975660829;	0.114217653142186;	0.124744501467439;	0.136771699636782;	0.153032522033165;	0.174503301661534;	0.200452286622040;	0.221897192378237;	0.249512459797434
0.336678122648224;	0.043112191276712;	0.036453525840931;	0.066081302997868;	0.044426735460416;	0.133541398204617;	0.198837273719402;	0.170996324884714;	0.053398909087896;	0.058372626618804;	0.065378625426895;	0.074520968340993;	0.080866198660528;	0.065802949237750;	0.068755972231501;	0.062214387492010;	0.065235380210489;	0.067975862973836;	0.074193260536388;	0.079657722448675;	0.083926299587026;	0.031257806949967;	0.031834341669393;	0.034151406740181;	0.036685242908167;	0.038974756133518;	0.040659549644644;	0.043145137006057;	0.042427148691098;	0.044840625524837;	0.047830475565638;	0.049882119160908;	0.051950424015189;	0.054843259434661;	0.057489348439446;	0.060049367748835;	0.062441793006193;	0.064351273416268;	0.066162422279283;	0.066416048466773;	0.067425323410871;	0.068926195147312;	0.071470955560271;	0.073690932317891;	0.075144793252594;	0.079017300743178;	0.084138808838989;	0.090013292976617;	0.094634498185405;	0.097654011431082;	0.105286926395778;	0.114056575771963;	0.122620849441311;	0.133440985286488;	0.145702842138821;	0.162139747817200;	0.183779527405181;	0.210208409181243;	0.231949875763490;	0.262964196948246
