0.124222715175025;	0.312722671464785;	0.000000054474297;	0.000000009992250;	0.000000009063219;	0.000001867071696;	0.000001658510011;	0.000000928384852;	0.027728236686582;	0.031264683886817;	0.026072315786194;	0.025664946938594;	0.023873555831254;	0.000001097097313;	0.000001609380168;	0.000001644743009;	0.000003214899652;	0.000003575402233;	0.000006734868803;	0.000006786040681;	0.000009727616166;	0.000014810720656;	0.000013423055143;	0.000011170226502;	0.000029654635541;	0.000042578696112;	0.000029767273573;	0.000045117529765;	0.000100983487663;	0.000134720030255;	0.000107305866594;	0.000166265434395;	0.000291880776389;	0.000387082833478;	0.000364482906526;	0.000467070607273;	0.000681459668766;	0.001031084259176;	0.001260503173396;	0.001349385323556;	0.001628456867550;	0.002273624923974;	0.002708567761576;	0.003597856012713;	0.004505667826678;	0.005020191220951;	0.005777386528938;	0.006753784197540;	0.007575007137177;	0.009349731849379;	0.011610766679677;	0.013238283231527;	0.015641413144778;	0.018531733437600;	0.021306903333053;	0.024369252791138;	0.027073879481270;	0.029322305867941;	0.033456578515045;	0.037379086986518;	0.041917535743078;	0.046720265747932;	0.051948522617568;	0.057775295433888;	0.063184531383276;	0.067674361608567;	0.073756134214278;	0.081083103666217;	0.086713311131339;	0.092908382570569;	0.100513217387508;	0.107738121282772;	0.116007896952468;	0.124611959744515;	0.134502365106791;	0.143887335227389;	0.151836613269043;	0.159309889727475;	0.169156816429003;	0.178998310551569;	0.189576467253585;	0.200366408122779;	0.211858262185582;	0.221542862772094;	0.231215252765677;	0.244091024100051;	0.256346560491686;	0.267123907467114;	0.281044649713621;	0.296219972732710;	0.309875918747779;	0.324180524833185;	0.337690836825837;	0.356335214458722;	0.380133423816994;	0.405986879433823;	0.432681000099125;	0.459722481778134;	0.760962593664275;	0.000000000000000
0.128252788342210;	0.312913741124517;	0.000000062275840;	0.000000010627991;	0.000000009396227;	0.000003458190990;	0.000003299926898;	0.000001705774536;	0.027728735432271;	0.031264873398136;	0.026072695960979;	0.025665388628117;	0.023873710358935;	0.000001991404774;	0.000002755594576;	0.000002633172850;	0.000004844531716;	0.000005159577755;	0.000009214180196;	0.000009037130981;	0.000012439450597;	0.000015842749176;	0.000014319980467;	0.000011876044874;	0.000031159807027;	0.000044537506299;	0.000031107351664;	0.000046907422954;	0.000104279426378;	0.000138777067332;	0.000110470383666;	0.000170459032665;	0.000298428330802;	0.000395270445369;	0.000371680203200;	0.000475392686411;	0.000692657290774;	0.001046457075369;	0.001278111572692;	0.001367492593502;	0.001648390137529;	0.002298862541726;	0.002737762823271;	0.003633677385071;	0.004547830753468;	0.005065686272600;	0.005826705456898;	0.006808491707878;	0.007633795606112;	0.009416403238916;	0.011687268975029;	0.013322810037458;	0.015736448675203;	0.018638472972361;	0.021424008964449;	0.024496740835165;	0.027209858720852;	0.029463704674728;	0.033609497447381;	0.037542752155312;	0.042092687615507;	0.046906879373902;	0.052146324471959;	0.057984547661618;	0.063404383208160;	0.067899813930315;	0.073988044952671;	0.081323419029331;	0.086960030190746;	0.093162047165757;	0.100774676700890;	0.108006390712284;	0.116282870183191;	0.124893005264507;	0.134788639186363;	0.144178578308869;	0.152132379674267;	0.159607635378490;	0.169457735364690;	0.179302035841372;	0.189882850256718;	0.200675224980644;	0.212169318211061;	0.221855786448175;	0.231529274858897;	0.244405199257867;	0.256660452466494;	0.267436968128565;	0.281355901229727;	0.296528668760114;	0.310181920815640;	0.324483763923662;	0.337991803229213;	0.356631682646054;	0.380423753581705;	0.406267645248125;	0.432952002715408;	0.459984018964029;	0.761079107073066;	0.000000000000000
0.135046080913486;	0.313084638056517;	0.000000081366556;	0.000000012291413;	0.000000010194802;	0.000006421595060;	0.000006084404667;	0.000002908098293;	0.027729495195950;	0.031265156955291;	0.026073210768855;	0.025665919531359;	0.023873898295244;	0.000003057603115;	0.000003935810489;	0.000003609550363;	0.000006358283055;	0.000006549225732;	0.000011267850618;	0.000010852430473;	0.000014508041366;	0.000018644662505;	0.000016731120003;	0.000013762872516;	0.000034995997536;	0.000049418734715;	0.000034431338245;	0.000051231115623;	0.000111973442216;	0.000148097460500;	0.000117703607938;	0.000179738294203;	0.000312546440240;	0.000412605666208;	0.000386709299512;	0.000492497783553;	0.000715163224115;	0.001076637858249;	0.001312048568809;	0.001401805195197;	0.001685197592321;	0.002344354512304;	0.002789260011462;	0.003695349510010;	0.004618706793010;	0.005140503613830;	0.005905879631549;	0.006894228438449;	0.007723554890844;	0.009515411704372;	0.011797624180324;	0.013441271568456;	0.015865678174165;	0.018779344612026;	0.021573974600279;	0.024654961751689;	0.027373288799806;	0.029628101714245;	0.033781183942710;	0.037720089267876;	0.042275705492088;	0.047094875191715;	0.052338469766721;	0.058180674815461;	0.063603516797037;	0.068099691237571;	0.074190327960554;	0.081528997138125;	0.087167100047343;	0.093370918335903;	0.100985890388377;	0.108219214428794;	0.116497198035385;	0.125108368814258;	0.135004415531727;	0.144392688496510;	0.152346179854233;	0.159819822282319;	0.169669588421425;	0.179513154643722;	0.190092793147376;	0.200883425764340;	0.212375416330973;	0.222059748675800;	0.231731293708315;	0.244605327431210;	0.256858806773773;	0.267633714548243;	0.281550834478972;	0.296721609792655;	0.310372721522164;	0.324671831939048;	0.338176977974459;	0.356811814270157;	0.380597152852264;	0.406432654370435;	0.433107524311582;	0.460130601944108;	0.761143199747001;	0.000000000000000
0.135431657626346;	0.313276978268847;	0.000000140605372;	0.000000018036823;	0.000000012832876;	0.000015514942479;	0.000012766022579;	0.000005904993957;	0.027731334141460;	0.031265872561024;	0.026074434187763;	0.025667059864384;	0.023874322860115;	0.004180436733741;	0.000006488981226;	0.000005534905855;	0.000009278874318;	0.000009240249209;	0.000015147965733;	0.000014184044095;	0.000018285741052;	0.000022593104939;	0.000020068783303;	0.000016384712418;	0.000040053221229;	0.000055730010271;	0.000038785840697;	0.000056769252337;	0.000121405718389;	0.000159423767815;	0.000126535833713;	0.000190896213373;	0.000329203303286;	0.000432913553240;	0.000404309768038;	0.000512238536541;	0.000740857372170;	0.001110710570167;	0.001350221335758;	0.001440367552816;	0.001726453194286;	0.002394983809780;	0.002846432158024;	0.003763528453555;	0.004696886876818;	0.005223187017215;	0.005993460035310;	0.006989034769171;	0.007822993384479;	0.009625183632719;	0.011920246843778;	0.013573486070039;	0.016010494774847;	0.018937775866113;	0.021743509635341;	0.024835017229501;	0.027560914461947;	0.029818728381407;	0.033982285077802;	0.037930208245614;	0.042495254825842;	0.047323431718486;	0.052575406443444;	0.058426059044784;	0.063856337656023;	0.068355529190954;	0.074450151831484;	0.081794896253629;	0.087437000676499;	0.093645261753012;	0.101265330471189;	0.108502668814456;	0.116784401707237;	0.125398583415065;	0.135296726363903;	0.144686981547307;	0.152641856617789;	0.160114266735854;	0.169963888440418;	0.179806997314459;	0.190386062293640;	0.201178939324663;	0.212678507762689;	0.222369699207510;	0.232044325332865;	0.244917864107394;	0.257169885011094;	0.267942267994918;	0.281855477515771;	0.297021349562225;	0.310667356882672;	0.324961494324295;	0.338462462598556;	0.357091428606577;	0.380870022302934;	0.406695893426259;	0.433361882047380;	0.460376690174409;	0.761252947948462;	0.000000000000000
0.135941550016432;	0.313487478154685;	0.000000320447114;	0.000000037395629;	0.000000021265165;	0.000033350920559;	0.000030195857806;	0.000012381061932;	0.027735602713761;	0.031267490010906;	0.026076993127050;	0.025669272119889;	0.023875164179362;	0.004185036218092;	0.000010790566663;	0.000008896291305;	0.000014141130777;	0.000013478878865;	0.000021030036693;	0.000019268529631;	0.000023795241001;	0.000028301938534;	0.000024881832282;	0.000020183851193;	0.000047028641557;	0.000064291443476;	0.000044738968938;	0.000064183591059;	0.000133637911384;	0.000174014532132;	0.000138001789698;	0.000205016671739;	0.000349910316247;	0.000457975249603;	0.000426007433438;	0.000536470774704;	0.000772057298138;	0.001151612710629;	0.001395844051249;	0.001486375926966;	0.001775120147149;	0.002454170091074;	0.002912925502120;	0.003842240036218;	0.004786604092823;	0.005317820064113;	0.006093268013183;	0.007096700078102;	0.007935396341153;	0.009748565217050;	0.012057245701467;	0.013720510346502;	0.016171273083961;	0.019115414934617;	0.021935819126847;	0.025041109971459;	0.027776931353933;	0.030039222861825;	0.034215552297367;	0.038174407821943;	0.042750625488927;	0.047589273743063;	0.052850773670495;	0.058710801593381;	0.064149075820662;	0.068651342615308;	0.074751233161596;	0.082102780053958;	0.087749309684586;	0.093962442821605;	0.101588091034260;	0.108830007977213;	0.117116148564913;	0.125734062109567;	0.135635036131698;	0.145025337432800;	0.152982102024736;	0.160454239704102;	0.170305529067730;	0.180149797869757;	0.190729520758016;	0.201521833776889;	0.213019645358136;	0.222709796720701;	0.232384409970452;	0.245258333803000;	0.257511152348732;	0.268284780340799;	0.282199049928995;	0.297365931851469;	0.311013066509779;	0.325307765142933;	0.338809536786874;	0.357435655204885;	0.381208511689205;	0.407025845452345;	0.433681685624533;	0.460687838794078;	0.761394247455700;	0.000000000000000
0.136593544797427;	0.313717512052883;	0.000000868429588;	0.000000103061631;	0.000000048428081;	0.309301358150834;	0.000060497266912;	0.000028951817507;	0.027744749081761;	0.031271344633834;	0.026082677814958;	0.025673477542153;	0.023876868913062;	0.004191185725566;	0.004861199502407;	0.000014432366449;	0.000021974107868;	0.000020480739123;	0.000030450727598;	0.000026939956729;	0.000032134305590;	0.000036796324147;	0.000031892770000;	0.000025766269029;	0.000056828161941;	0.000076153067466;	0.000053150872069;	0.000074489879044;	0.000149993630253;	0.000193472776306;	0.000153386496400;	0.000223880020366;	0.000377273554318;	0.000491054392975;	0.000454718857722;	0.000568111270401;	0.000812599708862;	0.001204481057412;	0.001454840376731;	0.001545996143207;	0.001838339674464;	0.002530788706107;	0.002999017117168;	0.003944070552790;	0.004902703365372;	0.005440622287046;	0.006223071203865;	0.007236683744723;	0.008081668748797;	0.009909100627410;	0.012235718972142;	0.013912425409457;	0.016380170857105;	0.019341071692058;	0.022174523141252;	0.025292332254863;	0.028037382594815;	0.030302794890018;	0.034492354143324;	0.038462711830324;	0.043051130897678;	0.047901644387482;	0.053174371055649;	0.059045840302527;	0.064494295545333;	0.069000871606608;	0.075106590330380;	0.082467049245705;	0.088120120392630;	0.094340482054514;	0.101974256246901;	0.109223147901267;	0.117516112357542;	0.126140115162072;	0.136046231411099;	0.145441458817897;	0.153403015724368;	0.160876675730216;	0.170731988834523;	0.180580238134644;	0.191164040792241;	0.201959386223175;	0.213458160275794;	0.223149501949760;	0.232825800278933;	0.245701237718843;	0.257955729057715;	0.268731016426083;	0.282646310290452;	0.297814216677969;	0.311463674173020;	0.325762747739882;	0.339272484757262;	0.357906319804914;	0.381688152185035;	0.407513843145867;	0.434181941421591;	0.461198876856100;	0.761634295766531;	0.000000000000000
0.143297318640412;	0.314004532980212;	0.000002544355250;	0.000000327082114;	0.000000136560369;	0.309303148701061;	0.465302576137871;	0.000056299468528;	0.027768558216002;	0.031279699352942;	0.026094026642108;	0.025682009655912;	0.023880252836711;	0.004359556260215;	0.004873905144949;	0.004705490923131;	0.000035813974200;	0.000031529057652;	0.000044692710177;	0.000039157576667;	0.000044444184343;	0.000049394983840;	0.000042347272305;	0.000034113168333;	0.000070775220958;	0.000092721302220;	0.000064901061794;	0.000088545951410;	0.000171691310841;	0.000219063108623;	0.000173733327138;	0.000247966417072;	0.000411519820263;	0.000532050869047;	0.000490175497783;	0.000607105508055;	0.000861929795313;	0.001267960493283;	0.001525291551774;	0.001617028489639;	0.001912576266737;	0.002619894354394;	0.003098631231390;	0.004061075140505;	0.005035402710409;	0.005580779630932;	0.006370832195655;	0.007395863764261;	0.008247577658878;	0.010090653181354;	0.012437036908509;	0.014128705331706;	0.016615876609954;	0.019597793963400;	0.022448430970991;	0.025582397479622;	0.028339322376549;	0.030609226462879;	0.034814536037603;	0.038798432946863;	0.043400965921753;	0.048265049136175;	0.053550453805707;	0.059434689140481;	0.064894243019589;	0.069404898062144;	0.075517714948981;	0.082887936374181;	0.088548234564179;	0.094776760166224;	0.102419851813025;	0.109677151213710;	0.117978620383053;	0.126610578574706;	0.136523824321166;	0.145922987249443;	0.153891236399201;	0.161368771889228;	0.171230475181592;	0.181084877322956;	0.191674658138447;	0.202600238670585;	0.214234473684915;	0.223989662826697;	0.233712305824589;	0.246625691492061;	0.258914031492957;	0.269722660526197;	0.283672723208621;	0.298879012253043;	0.312566184016803;	0.326894674665848;	0.340427838764660;	0.359065123155717;	0.382832024268677;	0.408625061637981;	0.435249381782892;	0.462220921344620;	0.762092444350687;	0.000000000000000
0.143852369637966;	0.314308246457992;	0.000007683095654;	0.000001095936980;	0.000000424478910;	0.309324926208852;	0.465308551268237;	0.408557708009462;	0.027806870374147;	0.031302146769726;	0.026122586518169;	0.025697460478527;	0.023887377539921;	0.004367581859159;	0.005118944427425;	0.004731384727130;	0.006674470102652;	0.000050694044570;	0.000068526005230;	0.000056798395753;	0.000063095808620;	0.000068246171499;	0.000057351214490;	0.000046213599395;	0.000090024148371;	0.000115220742015;	0.000081303108810;	0.000107809115044;	0.000199914571808;	0.000252210091519;	0.000200199720745;	0.000279368953784;	0.000455555033775;	0.000584617892127;	0.000535685323334;	0.000656042528455;	0.000923355350008;	0.001346315240402;	0.001612039495152;	0.001704420393906;	0.002004030258883;	0.002728787200372;	0.003219885510387;	0.004202723603393;	0.005195344687821;	0.005749467458243;	0.006548248870036;	0.007585927295758;	0.008444879821473;	0.010324469689117;	0.012726499842106;	0.014464189336946;	0.017003731437100;	0.020041905415267;	0.022943092895039;	0.026126498564236;	0.028925072669681;	0.031222886542855;	0.035481074715650;	0.039514465171624;	0.044168856566742;	0.049084527786033;	0.054420686764312;	0.060357072149260;	0.065865688276026;	0.070409349493178;	0.076560809455952;	0.083978768142327;	0.089679663068372;	0.095951630427358;	0.103641817248072;	0.110942825709979;	0.119288092677020;	0.127961807670298;	0.137914634774806;	0.147350314199688;	0.155355699104537;	0.162860163872380;	0.172758050092027;	0.182648667296981;	0.193274766760373;	0.204111836020751;	0.215651008478686;	0.225381225439956;	0.235091466749783;	0.247993683116255;	0.260271038562848;	0.271064402698698;	0.284989932317319;	0.300161323002192;	0.313809647300721;	0.328102310971700;	0.341605838079203;	0.360208698949166;	0.383941491926502;	0.409698578996983;	0.436295297889447;	0.463247004020519;	0.762563126762742;	0.000000000000000
0.148388981845048;	0.314663332615092;	0.000023522326190;	0.000003744000732;	0.000001371196172;	0.309339027924832;	0.465359490570871;	0.408570335711219;	0.605961323070333;	0.031338040930243;	0.026164396117460;	0.025732307599843;	0.023900658428611;	0.004438833054860;	0.005187577673463;	0.004954477934257;	0.006882734572878;	0.006834358222319;	0.007291807010276;	0.000088043624309;	0.000092199441645;	0.000097106823832;	0.000081567223423;	0.000065954279723;	0.000121369165256;	0.000152324443089;	0.000108282291164;	0.000139992224793;	0.000249361572643;	0.000311420284661;	0.000248355272005;	0.000337067805964;	0.000538813383471;	0.000686040764308;	0.000625331791303;	0.000756648708535;	0.001052928248641;	0.001516472038864;	0.001804360910820;	0.001901438129118;	0.002214519641307;	0.002986852323852;	0.003512491344128;	0.004552712075088;	0.005598867490580;	0.006181590263747;	0.007011018974181;	0.008091738363510;	0.008980061168098;	0.010901733444395;	0.013346405793831;	0.015113854038600;	0.017699574941124;	0.020790836803270;	0.023735864851678;	0.026961763026510;	0.029791254200866;	0.032099231285420;	0.036399030739041;	0.040467364655248;	0.045158587228719;	0.050109719191513;	0.055479305598448;	0.061449545729805;	0.066986999584022;	0.071539896775385;	0.077708654674992;	0.085152186872343;	0.090871399187108;	0.097164144406071;	0.104877826635043;	0.112199364726583;	0.120565110449126;	0.129257134798927;	0.139225613156853;	0.148668596141389;	0.156684047443588;	0.164187354137119;	0.174087581611968;	0.183976246496377;	0.194596042448799;	0.205474330427988;	0.217066390770256;	0.226825426406446;	0.236563610767682;	0.249493758355347;	0.261801934919286;	0.272630413997074;	0.286596658129635;	0.301816313716261;	0.315516170544275;	0.329855348296583;	0.343402086547432;	0.362021292251671;	0.385747376013243;	0.411473771376217;	0.438023559224068;	0.464923370739444;	0.763326397366914;	0.000000000000000
0.160614760639989;	0.315688106738731;	0.000072126407934;	0.000012962777494;	0.000004504507507;	0.309376229516031;	0.465396854621358;	0.408618853990215;	0.606006767313526;	0.589135909934537;	0.631393597477732;	0.025782038418905;	0.023932950814542;	0.006150372283694;	0.005567641948841;	0.005061054785117;	0.007129249208122;	0.007188246432502;	0.007686132736554;	0.007006015229503;	0.000142678772838;	0.000148074288251;	0.000120888314512;	0.000098188326535;	0.000170589629338;	0.000209334830243;	0.000150850327499;	0.000189514296170;	0.000320038362320;	0.000394520868650;	0.000315445681132;	0.000416921503987;	0.000650023618780;	0.000818694786232;	0.000741067525649;	0.000881045881525;	0.001208691301436;	0.001714963934584;	0.002024586469885;	0.002123838200388;	0.002447921686962;	0.003265068507627;	0.003821829141710;	0.004914161549860;	0.006007066075889;	0.006612740218798;	0.007465302952119;	0.008578667771637;	0.009485642826844;	0.011452215521845;	0.013954280027523;	0.015764400908119;	0.018405732388130;	0.021556533626144;	0.024551437489864;	0.027826306545966;	0.030695123118963;	0.033022290834213;	0.037376087942453;	0.041494059366083;	0.046239384317801;	0.051246202774347;	0.056672510605391;	0.062703351522362;	0.068298819763624;	0.072889232828081;	0.079106018682728;	0.086612526523281;	0.092388589413120;	0.098743429974356;	0.106524972559538;	0.113911185441329;	0.122342824326818;	0.131098911444017;	0.141129931919968;	0.150631211588740;	0.158706175175064;	0.166255675697109;	0.176216194134199;	0.186165380311305;	0.196845123893041;	0.207728691800439;	0.219305246091376;	0.229072529574595;	0.238817915652839;	0.251748915245223;	0.264054158322542;	0.274871806664652;	0.288817461993285;	0.304006516776924;	0.317671894879002;	0.331980543213239;	0.345506985557593;	0.364094179608341;	0.387783977384004;	0.413463543245642;	0.439970791483905;	0.466834553585788;	0.764209132996957;	0.000000000000000
