0.257777635047605;	0.410622192300663;	0.000000122240349;	0.000000008097066;	0.000000004441255;	0.000027844623789;	0.000034845386581;	0.000017325194987;	0.005461301393488;	0.005306071299934;	0.005490762089703;	0.007787334745139;	0.006171586079067;	0.000026600387475;	0.000038215601918;	0.000037188982064;	0.000067697093876;	0.000070587146759;	0.000122934085325;	0.000118366426395;	0.000156664891237;	0.000226879070934;	0.000201342649553;	0.000154580627667;	0.000384585049721;	0.000526989952436;	0.000341527883930;	0.000487297144751;	0.001043561144340;	0.001320033361140;	0.000987102916531;	0.001407504514388;	0.002395025222087;	0.003085959080848;	0.002685123500112;	0.003258066027772;	0.004641737475622;	0.006797444141845;	0.007957444824561;	0.008213456869955;	0.009367787317866;	0.012511995562331;	0.014846629042767;	0.019119141551461;	0.023352423397778;	0.025332025454388;	0.028073491819241;	0.031993212677200;	0.034994474267737;	0.041137675603010;	0.049089241397856;	0.055369950367856;	0.064379171495245;	0.075035956692835;	0.084474659793836;	0.094141759905625;	0.101584612855689;	0.106767612267219;	0.118388446373039;	0.129103403611652;	0.141299909631795;	0.153865956502382;	0.166566173988720;	0.180431538646477;	0.193367972192069;	0.202934210422458;	0.215587136601235;	0.230799579448665;	0.241503248877568;	0.253608030976449;	0.268995657735434;	0.282874258454516;	0.298362362679929;	0.313792821554806;	0.328977275127585;	0.343386652431439;	0.357444340558555;	0.369316882837529;	0.384423696678171;	0.398460645108458;	0.413448238555284;	0.428680231643256;	0.444872344051176;	0.456556059916922;	0.468744108770885;	0.484164486105725;	0.498234122110267;	0.513054758644626;	0.528798893572983;	0.544754931890241;	0.560738569221514;	0.576963504090066;	0.593722355598446;	0.617322364959753;	0.642954931729903;	0.668482049500323;	0.695084833090131;	0.719146365900953;	0.888250904588281;	0.000000000000000
0.432624180503337;	0.418608947323766;	0.000000461383964;	0.000000035723586;	0.000000018917993;	0.000096981115688;	0.000106159006814;	0.000051102412069;	0.005482958607969;	0.005314300171091;	0.005507266078696;	0.007806508772729;	0.006178293851334;	0.000065403914386;	0.000087957552689;	0.000080078239499;	0.000138425257242;	0.000139334052863;	0.000230521405928;	0.000216048324942;	0.000274334933693;	0.000271656253701;	0.000240257324439;	0.000185203299072;	0.000449884479353;	0.000611965611809;	0.000399661326012;	0.000564940765655;	0.001186530328338;	0.001496008810472;	0.001124360090369;	0.001589391678133;	0.002678996811950;	0.003441047975231;	0.002997254153481;	0.003618966948030;	0.005127326185511;	0.007464074040821;	0.008721003910614;	0.008998633831223;	0.010232134725125;	0.013606335586255;	0.016112556978367;	0.020672380365019;	0.025180625873253;	0.027304702949681;	0.030211966917651;	0.034365335471996;	0.037543545935661;	0.044028552037025;	0.052406389689801;	0.059035047816171;	0.068499937213208;	0.079664221515600;	0.089552415209958;	0.099669717367921;	0.107480770627185;	0.112898786922937;	0.125019160517827;	0.136200105297980;	0.148894704136377;	0.161957759245807;	0.175143120935353;	0.189504986649818;	0.202901024911012;	0.212710100552384;	0.225643028374301;	0.241219821625127;	0.252201079437146;	0.264606903791294;	0.280332313339772;	0.294505956220969;	0.310284387460074;	0.325977686408503;	0.341388250498943;	0.356012337568407;	0.370265275066497;	0.382222655241022;	0.397465698979516;	0.411622703058612;	0.426723505130015;	0.442058513842952;	0.458344655880227;	0.470105693731172;	0.482336722928399;	0.497758014781786;	0.511808018496113;	0.526583267094310;	0.542236906213908;	0.558066775348127;	0.573915819365621;	0.589999661481787;	0.606601113618060;	0.629955493011719;	0.655266971700525;	0.680323686251877;	0.706463590122987;	0.730018022703630;	0.892145915860212;	0.000000000000000
0.727486682201544;	0.425753984704156;	0.000001291069431;	0.000000107993162;	0.000000053626252;	0.000225715551089;	0.000227106149554;	0.000103332354215;	0.005515944448412;	0.005326610805879;	0.005529611663733;	0.007829552761782;	0.006186450940476;	0.000111660319124;	0.000139170554791;	0.000122440828093;	0.000204118691065;	0.000199635127106;	0.000319632968439;	0.000294815332011;	0.000364089410415;	0.000393220581850;	0.000344865661324;	0.000267062958451;	0.000616307387117;	0.000823714959808;	0.000543855184342;	0.000752494610749;	0.001520271499944;	0.001900278732762;	0.001438088601448;	0.001991853169608;	0.003291303145918;	0.004192854641443;	0.003649028506166;	0.004360754004584;	0.006103299198034;	0.008772834770214;	0.010192621054120;	0.010486511130797;	0.011828178689985;	0.015578931591707;	0.018345526128685;	0.023346523652473;	0.028253840030002;	0.030548801984595;	0.033644969043122;	0.038082887917915;	0.041435514083031;	0.048321566571391;	0.057191404094562;	0.064171560922856;	0.074103362018249;	0.085772465818670;	0.096054994286572;	0.106530267889444;	0.114567212915758;	0.120027180066431;	0.132463648335737;	0.143889629641423;	0.156830568341340;	0.170109484058219;	0.183474778513399;	0.198009298727421;	0.211535690648923;	0.221377005715889;	0.234414208249817;	0.250133807312117;	0.261179677601854;	0.273663506404745;	0.289490327735610;	0.303733589981609;	0.319576976165628;	0.335314849944705;	0.350742884230350;	0.365294210224735;	0.379533108521767;	0.391419851102174;	0.406647495959694;	0.420771576665161;	0.435820063676735;	0.451077927174124;	0.467270991686315;	0.478937158289019;	0.491081040192025;	0.506416814833981;	0.520385318753265;	0.535084978827159;	0.550652434028715;	0.566386285444543;	0.582131473470215;	0.598083885177480;	0.614522591150468;	0.637628283721583;	0.662619623864772;	0.687282276999454;	0.712993313650153;	0.736112634864424;	0.894292059109026;	0.000000000000000
0.744198438280274;	0.433797159666693;	0.000003864959946;	0.000000357558956;	0.000000168259385;	0.000620644522671;	0.000517271577624;	0.000233494604936;	0.005595771665472;	0.005357674429456;	0.005582708176589;	0.007879043698834;	0.006204876670406;	0.000201771568118;	0.000249949226133;	0.000205971356227;	0.000330857091401;	0.000316399104330;	0.000487986289415;	0.000439369232854;	0.000527993290954;	0.000564520889400;	0.000489665958547;	0.000380806825547;	0.000835694713540;	0.001097492716317;	0.000732747529600;	0.000992722973462;	0.001929404849934;	0.002391546403882;	0.001821165116996;	0.002475789372463;	0.004013707620888;	0.005073573344896;	0.004412310213163;	0.005216834291471;	0.007217523591528;	0.010250359059681;	0.011847909240964;	0.012158663701641;	0.013617098975081;	0.017774285612176;	0.020824564002490;	0.026302804284878;	0.031643758634468;	0.034133974177245;	0.037442465544006;	0.042193698880294;	0.045747173447557;	0.053081285913834;	0.062508337096308;	0.069904405252569;	0.080382647146106;	0.092642100087394;	0.103406109446867;	0.114337574277532;	0.122702787809885;	0.128292905503671;	0.141183574389458;	0.153000599698978;	0.166350465114543;	0.180019954009767;	0.193748626630074;	0.208649434979691;	0.222498273095596;	0.232470397972220;	0.245680379969383;	0.261663309974000;	0.272882591904945;	0.285558923327426;	0.301606519419353;	0.316023577563378;	0.332029166028988;	0.347897127636149;	0.363415450826494;	0.378051987766889;	0.392350022629548;	0.404182394389393;	0.419402489391159;	0.433505220987010;	0.448526972143895;	0.463752204345250;	0.479906083145763;	0.491522560231874;	0.503579831921683;	0.518780922259754;	0.532594223292251;	0.547109670363805;	0.562447614223646;	0.577918002953295;	0.593394390466851;	0.609082578618775;	0.625254026073599;	0.648031911644030;	0.672654159705092;	0.696836512735765;	0.722113278683536;	0.744773400741034;	0.897368755926164;	0.000000000000000
0.766307862284710;	0.442601488309432;	0.000011677012397;	0.000001198279621;	0.000000534589521;	0.001395141592903;	0.001274020779910;	0.000514714211334;	0.005781035708267;	0.005427876096597;	0.005693752248280;	0.007975044983399;	0.006241385370574;	0.000401278056168;	0.000436575959429;	0.000351790398165;	0.000541836804242;	0.000500302583867;	0.000743187728304;	0.000659965216438;	0.000767024219426;	0.000812184480189;	0.000698465934029;	0.000545619748872;	0.001138285944313;	0.001468870260391;	0.000990979622553;	0.001314328379358;	0.002459976751831;	0.003024395771607;	0.002318465299678;	0.003088207658501;	0.004911756706562;	0.006160446914256;	0.005353268294984;	0.006267685559649;	0.008570497786293;	0.012024025622057;	0.013826242560397;	0.014153686503216;	0.015727384952815;	0.020340678020586;	0.023707774603122;	0.029715784115669;	0.035533929972148;	0.038237284659256;	0.041770150541674;	0.046862075913019;	0.050620972729319;	0.058431121112912;	0.068448623655805;	0.076279403930724;	0.087329058148172;	0.100211182730364;	0.111479436543079;	0.122881122089237;	0.131574429128834;	0.137271575695149;	0.150607357314198;	0.162795847783730;	0.176526570213599;	0.190549040957292;	0.204592914899043;	0.219800907999273;	0.233900495752267;	0.243929441706071;	0.257280334693585;	0.273460810870259;	0.284788403854743;	0.297590072285168;	0.313788773617485;	0.328319588856439;	0.344431243977270;	0.360379231779376;	0.375942913605962;	0.390509742931246;	0.404813153218983;	0.416572287816993;	0.431789713681240;	0.445866807459467;	0.460838047469583;	0.475984911177569;	0.492037753548226;	0.503555194429092;	0.515522495044003;	0.530630343017032;	0.544357605878418;	0.558795826511663;	0.574043450092648;	0.589413191394323;	0.604780958684678;	0.620323426188539;	0.636305353520514;	0.658765532432849;	0.682964041062014;	0.706620804464354;	0.731308422975814;	0.753364928907940;	0.900399341515869;	0.000000000000000
0.794588316056723;	0.452224766933152;	0.000035474571491;	0.000004049447270;	0.000001714386571;	0.004856813045915;	0.002589407589050;	0.001234132672203;	0.006177945458008;	0.005595151503090;	0.005940402372398;	0.008157519344184;	0.006315353575121;	0.000668017714525;	0.000813992924706;	0.000591933205693;	0.000881696344477;	0.000803540925760;	0.001148910315993;	0.000988337972046;	0.001122176050146;	0.001177032465870;	0.000998997324362;	0.000784228248916;	0.001554794495275;	0.001970986714049;	0.001346222515205;	0.001747677442008;	0.003142591650869;	0.003832183690184;	0.002956130969802;	0.003866103407272;	0.006032038514731;	0.007507661879334;	0.006519580737857;	0.007546952525426;	0.010199911275319;	0.014135951101529;	0.016171553377255;	0.016514020304702;	0.018219441442100;	0.023345455216043;	0.027068606895356;	0.033668366090821;	0.040016958280370;	0.042959486761929;	0.046737061102778;	0.052193298429243;	0.056171037321782;	0.064495599024853;	0.075158170791959;	0.083465085889965;	0.095133394461356;	0.108674731700911;	0.120472054316766;	0.132368941707015;	0.141413002237270;	0.147220250278134;	0.161034469799038;	0.173626860293683;	0.187775167185242;	0.202191129483097;	0.216594459681334;	0.232159687710394;	0.246564384956865;	0.256680903417635;	0.270162702343928;	0.286580125495696;	0.298055619866918;	0.311023973215727;	0.327413390527380;	0.342086840822141;	0.358326323462248;	0.374368333109373;	0.389985197103015;	0.404603058168341;	0.418933325885632;	0.430597597665507;	0.445797786263325;	0.459848418018580;	0.474786852148892;	0.489877291446649;	0.505839859373887;	0.517266174510770;	0.529118447405997;	0.544067633980585;	0.557618974866123;	0.571851452908355;	0.586844795766003;	0.601924339399785;	0.616996728226868;	0.632250675952538;	0.647942202986600;	0.670043908896747;	0.693842811209916;	0.716982638624360;	0.741216536723936;	0.762795389165183;	0.903754447166113;	0.000000000000000
0.836230221700070;	0.462760928505296;	0.000108207270561;	0.000013770076670;	0.000005538750126;	0.004921922547002;	0.007844249387041;	0.002415170225383;	0.007206900945865;	0.005956122113462;	0.006429613919592;	0.008523608310332;	0.006460694480612;	0.001513654620063;	0.001353667743167;	0.001034652376768;	0.001466254698406;	0.001267656028660;	0.001745921199817;	0.001500391013678;	0.001635537023719;	0.001699887577299;	0.001433534954719;	0.001130240178196;	0.002128887400542;	0.002651100336068;	0.001828224755963;	0.002322668716856;	0.004024935801609;	0.004868773644166;	0.003781230491616;	0.004839103691783;	0.007407357340507;	0.009147780643652;	0.007936795153913;	0.009102055002194;	0.012157880714869;	0.016643157973574;	0.018942517820963;	0.019297496073732;	0.021116116519876;	0.026806055334274;	0.030919406641007;	0.038163934339862;	0.045086044506092;	0.048286582193837;	0.052318322501965;	0.058170105262578;	0.062368498787964;	0.071235534720062;	0.082576996958001;	0.091382103860419;	0.103696450115177;	0.117929229495197;	0.130279222135158;	0.142687965960160;	0.152089426210686;	0.157990180634804;	0.172283859291125;	0.185274258178167;	0.199829032261601;	0.214621816460758;	0.229361245394034;	0.245253293469896;	0.259923529418423;	0.270070344728409;	0.283678130420492;	0.300289040936679;	0.311870271341161;	0.324962410510311;	0.341498287902633;	0.356280825829170;	0.372618463170223;	0.388730013950976;	0.404378615912694;	0.418896828464813;	0.433216793954363;	0.444780728506713;	0.459936216787364;	0.473917384964085;	0.488757452290817;	0.503722427932761;	0.519540010033308;	0.530827310674023;	0.542547034883795;	0.557353108804622;	0.570770716509085;	0.584879033019043;	0.599733766204205;	0.614664936273211;	0.629581183822448;	0.644637907250616;	0.660083601248344;	0.681791762214474;	0.705080236386067;	0.727607140681016;	0.751154306704200;	0.772030089080804;	0.906991422007042;	0.000000000000000
0.857047045122460;	0.474130990249286;	0.000330989403620;	0.000047095155070;	0.000018013616288;	0.005112337169098;	0.008056481312017;	0.007055841215285;	0.008853890945674;	0.006924048490470;	0.007658492791815;	0.009183973491795;	0.006765960522894;	0.001821825157374;	0.002746686194604;	0.001693512867996;	0.002357731529027;	0.002075430232405;	0.002745972615960;	0.002234622327099;	0.002408102416193;	0.002480152483289;	0.002054186367146;	0.001628220769544;	0.002913634994641;	0.003563620272167;	0.002491846149747;	0.003098116716763;	0.005148132705358;	0.006176930321472;	0.004825743600743;	0.006072153051117;	0.009117515005576;	0.011174297277969;	0.009688426828204;	0.010974998816964;	0.014489680083891;	0.019593716939903;	0.022187638285662;	0.022548831593312;	0.024504465247133;	0.030816320220347;	0.035359003677898;	0.043308562496196;	0.050853271797036;	0.054334334791855;	0.058631543616740;	0.064884713952994;	0.069305070886906;	0.078735319860870;	0.090792658644138;	0.100121020268930;	0.113110839824659;	0.128064082681845;	0.140988540312381;	0.153928254399010;	0.163701653530018;	0.169689461973204;	0.184477898576369;	0.197878851902898;	0.212852500018931;	0.228035105278781;	0.243124573686727;	0.259359512898677;	0.274314389308992;	0.284500789989802;	0.298189365049070;	0.315004181954967;	0.326704694644028;	0.339933189203084;	0.356622236226343;	0.371508821581761;	0.387930412775014;	0.404089186863759;	0.419741886353332;	0.434264834237295;	0.448563845769714;	0.459974559601141;	0.475070984802765;	0.488986419796626;	0.503752277506999;	0.518622602387588;	0.534317597980755;	0.545487472629816;	0.557059885091346;	0.571662584811465;	0.584858377813677;	0.598709507529789;	0.613251450484719;	0.627827448513197;	0.642376463976788;	0.657064600783420;	0.672127683675752;	0.693363153417442;	0.716121466575582;	0.737978375240143;	0.760918578018961;	0.781180140149855;	0.910198426946104;	0.000000000000000
0.886680734806151;	0.486441976794780;	0.001016965014756;	0.000161736707981;	0.000058968604486;	0.005441953058301;	0.008624198946701;	0.007310617540191;	0.015438197638523;	0.008461930471223;	0.009442678740947;	0.010669454849445;	0.007331620620230;	0.002512117117578;	0.003641800315501;	0.003084526832093;	0.004022479381439;	0.003187683416130;	0.004074702807640;	0.003449238169065;	0.003495091586974;	0.003567078867380;	0.002957363941255;	0.002352580232923;	0.003997964332259;	0.004803075043502;	0.003383075859520;	0.004115801428689;	0.006607187291368;	0.007864561151406;	0.006187726719580;	0.007601572544480;	0.011199932868359;	0.013619896736515;	0.011797421226479;	0.013255069711129;	0.017295070392336;	0.023100209882908;	0.026025513068600;	0.026387410259141;	0.028427538655749;	0.035417738653025;	0.040427500032881;	0.049139329250526;	0.057351969658579;	0.061133710882903;	0.065701643207299;	0.072395264773650;	0.077033392179038;	0.087054011727512;	0.099858084368185;	0.109729166893230;	0.123415185150994;	0.139106963470945;	0.152615298394309;	0.166090168084006;	0.176234126669272;	0.182284031053063;	0.197560863600771;	0.211361708972821;	0.226739195326060;	0.242292632668056;	0.257707951752958;	0.274255363878199;	0.289456946199112;	0.299621026161897;	0.313394130248510;	0.330367180114457;	0.342144592727387;	0.355466239920107;	0.372263591255361;	0.387222493922301;	0.403700281475245;	0.419883947958624;	0.435520904616901;	0.449879449680175;	0.464118146880741;	0.475370495109898;	0.490355313422218;	0.504132289480234;	0.518724639452637;	0.533389786119426;	0.548857802602010;	0.559812169234544;	0.571168806649746;	0.585528377282181;	0.598482470054616;	0.612089002779991;	0.626361077228838;	0.640653428098715;	0.654917594748278;	0.669306473566055;	0.684049032142632;	0.704844752270750;	0.727086359432018;	0.748362802284743;	0.770672480521620;	0.790304741936256;	0.913417675649389;	0.000000000000000
0.903643371795183;	0.499662089955278;	0.003112329031887;	0.000559544111634;	0.000193913397733;	0.006157111757641;	0.009453135109182;	0.007899208575944;	0.015917584394919;	0.014838563143997;	0.016393532626995;	0.012690560947455;	0.008678388170735;	0.003345084671178;	0.004919530831037;	0.004187175948891;	0.005932990027655;	0.005456531919487;	0.006664435853429;	0.005013265814841;	0.005211134889993;	0.005267368470877;	0.004235036440109;	0.003390252404958;	0.005471960962846;	0.006454783426736;	0.004626573910931;	0.005506964103406;	0.008441858772879;	0.009965586926665;	0.007883239973560;	0.009552486825694;	0.013802330666507;	0.016657138125486;	0.014418901568317;	0.015974986345059;	0.020603364178321;	0.027185067149066;	0.030473429500800;	0.030822678399165;	0.032997335964762;	0.040724950499280;	0.046241042261470;	0.055773712872011;	0.064699744425533;	0.068802480789577;	0.073643348826477;	0.080759598879036;	0.085607118937611;	0.096223057910043;	0.109798027290448;	0.120226164490249;	0.134623085119417;	0.151065508610424;	0.165163459317735;	0.179175182720480;	0.189688521942414;	0.195778088874489;	0.211536010345131;	0.225727200023120;	0.241496315633456;	0.257407794294676;	0.273136460591048;	0.289984191132793;	0.305424662514650;	0.315559224166530;	0.329336135194512;	0.346452168487685;	0.358297025108192;	0.371698561639268;	0.388581126967645;	0.403575604709504;	0.420060859235185;	0.436211211629655;	0.451768115821074;	0.466049159168008;	0.480177772936353;	0.491176025938941;	0.506005859451788;	0.519619034237751;	0.534032554207232;	0.548501982035210;	0.563758238562888;	0.574524861556415;	0.585680413704807;	0.599798352920409;	0.612517187262205;	0.625873963910555;	0.639865420361469;	0.653854410607607;	0.667812605718053;	0.681885393267456;	0.696289499355199;	0.716639688215001;	0.738365000422539;	0.758961855750686;	0.780653585072587;	0.799657274386099;	0.916694233524155;	0.000000000000000
