0.063855431141201;	0.014546558444046;	0.013398689572156;	0.012623039464321;	0.012204419091498;	0.011748250688984;	0.011468057583404;	0.011220422278995;	0.010983697601580;	0.010700933220931;	0.010535063605875;	0.010325696471234;	0.010185774780950;	0.010049994119643;	0.009874251530800;	0.009741829592143;	0.009610783373493;	0.009490424774501;	0.009358453105702;	0.009323569670400;	0.009364249880369;	0.009144403236248;	0.009116460209037;	0.008966390066845;	0.008977406570193;	0.008798507876882;	0.008744166134535;	0.008697549378310;	0.008585392821980;	0.008571262497606;	0.008144532365138;	0.008027157719797;	0.007931013355123;	0.007820304423165;	0.007848699901671;	0.007671179936361;	0.007663063485160;	0.007575352695564;	0.007544491754369;	0.007427395560983;	0.007445555315535;	0.007323431402745;	0.007320552267130;	0.007245100235939;	0.007190161183087;	0.007171142970085;	0.007105449685053;	0.007044274520493;	0.007057997064965;	0.006975219067081;	0.006913917817151;	0.006972516407277;	0.006839224884974;	0.006842099683732;	0.006849088623163;	0.006763879321739;	0.006751938713748;	0.006756274929086;	0.006695128411833;	0.006680712159843;	0.006683127931867;	0.006626797746638;	0.006636809489550;	0.006626346143632;	0.006580846082867;	0.006592504062608;	0.006586690000496;	0.006549329751377;	0.006560724552696;	0.006564258954552;	0.006535135059064;	0.006539924259948;	0.006562065433745;	0.006531657198855;	0.006539601252093;	0.006570069229844;	0.006542175191121;	0.006561106241673;	0.006591289311330;	0.006573268176414
0.067050854820349;	0.015697424708579;	0.014413043351535;	0.013546530015338;	0.013072822289414;	0.012564988055207;	0.012249672927539;	0.011972098366388;	0.011708200002345;	0.011395131649370;	0.011207613969805;	0.010975254226347;	0.010817736136862;	0.010664962853112;	0.010470130775181;	0.010322831917564;	0.010178005131642;	0.010045217601285;	0.009900984051132;	0.009854942489745;	0.009885850478816;	0.009662852526269;	0.009621083384849;	0.009466590036062;	0.009471602271285;	0.009285407923913;	0.009224081700962;	0.009174686882679;	0.009054643891537;	0.009132142206983;	0.008691828919329;	0.008435903143974;	0.008369704568897;	0.008258051218768;	0.008287638518379;	0.008099758353220;	0.008089808790712;	0.007995693220121;	0.007961818715915;	0.007836326401539;	0.007853865875668;	0.007723717422558;	0.007719035329127;	0.007638219024292;	0.007579291141699;	0.007557933465780;	0.007487474629057;	0.007421812165610;	0.007435172567206;	0.007346681066480;	0.007281070851369;	0.007341982611374;	0.007200511833184;	0.007202641606167;	0.007209319710503;	0.007118742271657;	0.007105154406870;	0.007108687321014;	0.007043304217349;	0.007026924908040;	0.007028393200584;	0.006968354800818;	0.006978135002966;	0.006966371830013;	0.006918086730910;	0.006930145139115;	0.006924163698956;	0.006885281103539;	0.006897669272732;	0.006901819222666;	0.006871697800317;	0.006877142232522;	0.006900703599431;	0.006869128040406;	0.006877878172468;	0.006910366609714;	0.006881426328625;	0.006901909767691;	0.006934434901062;	0.006915974198740
0.074215048411417;	0.018405262484950;	0.016827004685801;	0.015771386792180;	0.015186235889125;	0.014568677748370;	0.014179524766212;	0.013837736106242;	0.013514660591454;	0.013139245068552;	0.012910739689521;	0.012631661326366;	0.012439827331481;	0.012254820210732;	0.012022730312218;	0.011845065649285;	0.011670458541438;	0.011510032525799;	0.011336704817380;	0.011255759701265;	0.011255728999609;	0.011020416910545;	0.010937687701676;	0.010766827375308;	0.010750597418354;	0.010539520788691;	0.010454586649553;	0.010393455537699;	0.010250966605756;	0.010447114204148;	0.010190496041252;	0.009728116602976;	0.009498077946447;	0.009358744012082;	0.009391012972650;	0.009173353152864;	0.009158285490453;	0.009048127222517;	0.009006207800572;	0.008861228919540;	0.008877905782871;	0.008727563617550;	0.008719352922285;	0.008624983476635;	0.008555277275307;	0.008528287689556;	0.008445934650390;	0.008369072093781;	0.008381308178004;	0.008278933026284;	0.008202264797880;	0.008267976907918;	0.008106064999377;	0.008105751044994;	0.008110434178166;	0.008005895474853;	0.007988103869646;	0.007989589195329;	0.007913674246712;	0.007892960439902;	0.007892225278586;	0.007822283474710;	0.007830704869494;	0.007814976035284;	0.007758122919639;	0.007768795849971;	0.007759027971172;	0.007712247877228;	0.007722905912495;	0.007724321184041;	0.007687351868919;	0.007690231137138;	0.007713420017155;	0.007674908023802;	0.007681454844894;	0.007714465796008;	0.007678918633292;	0.007698432506120;	0.007729405300794;	0.007701626356542
0.081859519176213;	0.021759532101218;	0.019830986662440;	0.018530817917483;	0.017800646684091;	0.017044811758049;	0.016564660664584;	0.016142716198440;	0.015750597177829;	0.015292529033370;	0.015006606147607;	0.014665317342096;	0.014427462761917;	0.014197738129954;	0.013913856921579;	0.013697072521732;	0.013486204697277;	0.013293202685605;	0.013085921314686;	0.012963361698443;	0.012926390243491;	0.012675720018981;	0.012543673350247;	0.012353762276225;	0.012313839600660;	0.012075256697428;	0.011963799521850;	0.011889653581910;	0.011718403096072;	0.011877500405099;	0.011885402072878;	0.011721024281297;	0.011416902708787;	0.010795451808381;	0.010732961926590;	0.010486650398237;	0.010457325457892;	0.010319270447739;	0.010261199136683;	0.010085458338764;	0.010094544361068;	0.009915256978350;	0.009897078925191;	0.009781908710737;	0.009695495346103;	0.009657022393987;	0.009555995794677;	0.009461737217630;	0.009468812569264;	0.009346279595613;	0.009253477689365;	0.009322132140240;	0.009133818103609;	0.009127854161714;	0.009127981914773;	0.009004930896683;	0.008979138406562;	0.008974865065989;	0.008883593989451;	0.008854233463323;	0.008847340841674;	0.008763430840694;	0.008767477190864;	0.008744185553375;	0.008675325621332;	0.008682417760119;	0.008667563175095;	0.008611939955803;	0.008620496216615;	0.008618612525435;	0.008574175308299;	0.008574165271403;	0.008596817657915;	0.008550935192047;	0.008555341836466;	0.008589239358475;	0.008546667042419;	0.008565367632075;	0.008646712578509;	0.008727865603484
0.095351433013184;	0.027193714642019;	0.025099337301276;	0.023740469310167;	0.023071804015394;	0.022342030829368;	0.021955501274881;	0.021737112809682;	0.021371695502846;	0.020922867432319;	0.020737160387463;	0.020470096772018;	0.020334375081148;	0.020198516070897;	0.019980173928640;	0.019845284398920;	0.019710416035895;	0.019594225152642;	0.019449910863870;	0.019423855012710;	0.019523501789557;	0.019303605144216;	0.019257058733222;	0.019120228129539;	0.019220074858926;	0.019027705026016;	0.019026469539873;	0.019081797754915;	0.018979796964092;	0.019277257283411;	0.019159706774337;	0.019066816675129;	0.019056803447540;	0.018914448119212;	0.019147439766770;	0.018421559373414;	0.017959844584877;	0.017738983184903;	0.017683692887683;	0.017420779157887;	0.017469853863345;	0.017191874069755;	0.017192447109479;	0.017018985113098;	0.016892596518371;	0.016850448911973;	0.016696803276623;	0.016555445918832;	0.016591415997194;	0.016401490214266;	0.016261461806497;	0.016404114917327;	0.016096664444411;	0.016107687857336;	0.016128258243172;	0.015932283287070;	0.015908321620431;	0.015922177555996;	0.015781571492409;	0.015756246947207;	0.015779451560255;	0.015663708924065;	0.015704836103717;	0.015696806664371;	0.015605029238697;	0.015648500806012;	0.015651344953562;	0.015579262018803;	0.015623182476680;	0.015635494592069;	0.015565634291977;	0.015577027193245;	0.015630541235010;	0.015558745737525;	0.015578499905682;	0.015651786740224;	0.015586022230956;	0.015631128384637;	0.015700857300171;	0.015652482681812
0.163044057928697;	0.045863251874512;	0.041746505412489;	0.038977411335212;	0.037417691485847;	0.035808486452231;	0.034789348937647;	0.033995328171962;	0.033111271741503;	0.032134398828395;	0.031553280330679;	0.030838089380029;	0.030349377722568;	0.029867675279453;	0.029270386184984;	0.028816542807115;	0.028356835758983;	0.027931869519121;	0.027476536507898;	0.027156184348435;	0.026997809948254;	0.026530278273602;	0.026175443928660;	0.025799404183645;	0.025663307200007;	0.025166570543207;	0.024895421237328;	0.024730637537119;	0.024367666257229;	0.024571821565280;	0.024569382452933;	0.024245363574668;	0.023914630179912;	0.023370998936879;	0.023396997847681;	0.023015224625990;	0.023170096809445;	0.022921684318225;	0.022544670877059;	0.021798589595659;	0.021690336878555;	0.021391512907823;	0.021463302183146;	0.021314556824351;	0.021226336034010;	0.021248282490154;	0.021133629434107;	0.021032882559407;	0.021156288800493;	0.020992906762353;	0.020888662076215;	0.021141493864087;	0.020815545186900;	0.020903851552095;	0.021005229017389;	0.020825805583220;	0.020873890448835;	0.020974097063073;	0.020871925267937;	0.020917847656213;	0.021021166696446;	0.020935471531902;	0.021058811417376;	0.021118893996992;	0.021066206004078;	0.021195512418699;	0.021269596149110;	0.021241892066356;	0.021378194973611;	0.021496675613808;	0.021506104551246;	0.021625923232153;	0.021801666372771;	0.021801059717315;	0.021926813482248;	0.022127667322654;	0.022129330377611;	0.022288976062216;	0.022475159109187;	0.022481756207700
0.215318827555258;	0.063609798995673;	0.058095458284661;	0.054402615305121;	0.052366785985007;	0.050228332879967;	0.048895503923950;	0.047889553142690;	0.046716788202818;	0.045407659693951;	0.044672848513168;	0.043748307188045;	0.043175164999746;	0.042625334824913;	0.041807302195591;	0.041227924389510;	0.040635756313304;	0.040109972094191;	0.039532286071785;	0.039135328204412;	0.038953082692642;	0.038397422381275;	0.037915116527915;	0.037455195341185;	0.037275372362161;	0.036564785882192;	0.036159081065348;	0.035923876736976;	0.035399645210896;	0.035611668703074;	0.035511917370330;	0.035007635565211;	0.034571533431092;	0.033919790125676;	0.034080252915135;	0.033581335447598;	0.033676345669658;	0.033089577367808;	0.032811638659819;	0.032095871231185;	0.032251723648460;	0.031818270216398;	0.031351241409470;	0.030481162028680;	0.030030400393878;	0.029965273479336;	0.029768317830556;	0.029583509011970;	0.029710952157257;	0.029434842880776;	0.029248464643059;	0.029565218186952;	0.029070542473866;	0.029168956214817;	0.029304742962613;	0.029047131192889;	0.029107464109478;	0.029241074889157;	0.029092071229655;	0.029144886154130;	0.029275591059318;	0.029124655713854;	0.029261580481195;	0.029310569555308;	0.029205112818998;	0.029353030916972;	0.029422117908108;	0.029349636037668;	0.029497024850349;	0.029611657452163;	0.029576345069654;	0.029692123362982;	0.029884031695993;	0.029835958462808;	0.029961570117791;	0.030190447250038;	0.030146061113786;	0.030317270442742;	0.030537130594769;	0.030528546115657
0.276313075727316;	0.086649025693408;	0.078883137392095;	0.073721898060567;	0.070823922174491;	0.067812189913513;	0.065915996051340;	0.064446872504269;	0.062812433695734;	0.061003646726823;	0.059965013774875;	0.058680698933131;	0.057883991097255;	0.057125268292848;	0.055977815851809;	0.055187967670005;	0.054397116760841;	0.053759889381740;	0.052931417547961;	0.052287332054237;	0.051915097877348;	0.051214261375805;	0.050424616576588;	0.049815702969366;	0.049530058189764;	0.048657761880775;	0.048170873403014;	0.047940416265287;	0.047322391431853;	0.047533627209478;	0.047478661892898;	0.046972624217250;	0.046516609073816;	0.045752063635340;	0.046046497399024;	0.045390618641094;	0.045602373569256;	0.045033498776305;	0.044948076552698;	0.044120971581568;	0.044400162713129;	0.043822103662673;	0.043749500453953;	0.042989106751323;	0.042633069687410;	0.042493114624843;	0.041918864378487;	0.041125113570121;	0.040653313961304;	0.040039025301162;	0.039822242060293;	0.040250218947184;	0.039557336799255;	0.039652002269518;	0.039766882265646;	0.039343382611308;	0.039344709965676;	0.039440838463954;	0.039151905289943;	0.039132263311751;	0.039213599866869;	0.038951677921670;	0.039080523017780;	0.039089982161963;	0.038914826837375;	0.039096119527187;	0.039174107138736;	0.039064532546945;	0.039246432432223;	0.039382070341338;	0.039320284824554;	0.039462501752743;	0.039712050692133;	0.039647519768892;	0.039819022055400;	0.040132278032707;	0.040081102406971;	0.040318393315915;	0.040629539839869;	0.040645671493146
0.356210784490770;	0.119230560909407;	0.106183658068299;	0.098953286155230;	0.094874911109524;	0.090651982547259;	0.087978824786489;	0.086027795910833;	0.083782400549201;	0.081316674352254;	0.079900425954604;	0.078139766927443;	0.076982436440502;	0.075806851271112;	0.074166558231311;	0.073013716623553;	0.071858624427321;	0.070935678914971;	0.069711509013640;	0.068707989620106;	0.068095666816560;	0.067350760550173;	0.066165743613586;	0.065340481313943;	0.064921695766107;	0.063832779260700;	0.063067616401460;	0.062729793235816;	0.061925614029830;	0.062014661898644;	0.061929439612894;	0.061357027006138;	0.060823167030561;	0.059906215058572;	0.060333768769647;	0.059445790787362;	0.059681663677248;	0.058967588529853;	0.058955419891981;	0.057981617618632;	0.058412012752264;	0.057620509778055;	0.057667589094546;	0.056882488431334;	0.056723245147709;	0.056509047387216;	0.055906928338212;	0.055353601506915;	0.055453044648977;	0.054693615203229;	0.053727241512099;	0.054117366173507;	0.052568945406258;	0.051673431549287;	0.051607874223210;	0.051058930667978;	0.051044757454017;	0.051154144782189;	0.050779757422578;	0.050770292652543;	0.050886888516094;	0.050554985290322;	0.050729081567641;	0.050743959395903;	0.050480275854678;	0.050649514692152;	0.050687817677415;	0.050485067162079;	0.050661119917432;	0.050779103375833;	0.050648951455066;	0.050783869168460;	0.051053687735190;	0.050916008588439;	0.051079228272789;	0.051419939457608;	0.051302461243044;	0.051551034515411;	0.051889954848519;	0.051850704799346
0.442184906078415;	0.200083533672352;	0.141783701571419;	0.130184594239036;	0.124554239515682;	0.118794590016912;	0.115069405455120;	0.112158456766744;	0.108962960083516;	0.105507320412630;	0.103408155984521;	0.100894783505716;	0.099270411027104;	0.097730415436138;	0.095505270726626;	0.093948505390696;	0.092403592133334;	0.091241385869704;	0.089639447694527;	0.088345395095699;	0.087578809328391;	0.086540589216827;	0.085064956434217;	0.083940169630361;	0.083458610811211;	0.082077028704366;	0.081174294619848;	0.080745167305720;	0.079665582332693;	0.079754092622238;	0.079405499095342;	0.078383735435995;	0.077478412789827;	0.076177090869872;	0.076660166958175;	0.075475359985034;	0.075739433586109;	0.074801528364319;	0.074737062013168;	0.073515859073166;	0.074082674479221;	0.073183781506945;	0.073351328867454;	0.072419492237335;	0.072313271299511;	0.072236304976013;	0.071712539095029;	0.071166222171402;	0.071231927442701;	0.070733115841651;	0.069954479643802;	0.070425121768143;	0.069147459689477;	0.069001825753850;	0.068625881080933;	0.067598309201655;	0.067068313038930;	0.066227628362960;	0.064701321630839;	0.063931050353417;	0.063643924847189;	0.063160819661631;	0.063337501849645;	0.063283427841139;	0.062891073298284;	0.063044829328770;	0.063035961897888;	0.062734726153844;	0.062923663512625;	0.063039955113637;	0.062841699262361;	0.062971513083214;	0.063293338755117;	0.063114493602320;	0.063306456716414;	0.063718445882861;	0.063558285591997;	0.063838522795508;	0.064229923669823;	0.064153709334650
