0.082528777212782;	0.303258892100413;	0.000000022645556;	0.000000007892322;	0.000001278675598;	0.000000949855851;	0.000000236738500;	0.526720166795924;	0.646492976293855;	0.313411668174539;	0.316356389577436;	0.000002080192585;	0.000000993991642;	0.000000879422712;	0.000001001947189;	0.000001591300983;	0.000004094369990;	0.000005318638334;	0.000006290973411;	0.000010557244885;	0.000011454124150;	0.000020479067583;	0.000038959725299;	0.000035796143287;	0.000045602512338;	0.000107311926474;	0.000182476707326;	0.000180555200094;	0.000246827176250;	0.000407040123850;	0.000572209432294;	0.000963482595402;	0.001062494906389;	0.001131047273882;	0.001608469715561;	0.002395944971750;	0.003261591336295;	0.004573891593537;	0.005885119331100;	0.007366145450135;	0.009072489277172;	0.010615070466928;	0.011470126662073;	0.013604790507479;	0.016464387621549;	0.020106075216105;	0.024532301349097;	0.028381047726743;	0.033712728170750;	0.038301023114999;	0.043143918517088;	0.049083267010484;	0.056185973799380;	0.064192923473144;	0.072601415299199;	0.081808585854000;	0.090905968449520;	0.100493163917204;	0.114821285486388;	0.123839297106707;	0.135043548991576;	0.147065880976531;	0.158649513034004;	0.169253389861208;	0.181688410212589;	0.191945943157120;	0.205652640510129;	0.220199674225268;	0.233979715223370;	0.250013038064291;	0.266432800168724;	0.283066622840910;	0.300901005537789;	0.320423868570694;	0.346793932599048;	0.376807613010549;	0.415699064861990;	0.452495692028241;	0.845328494607724;	0.000000001869558
0.082528778430614;	0.303258896031072;	0.000000022645741;	0.000000007892404;	0.000001278701164;	0.000000949872461;	0.000000236742058;	0.526720166800011;	0.646492976298489;	0.313411668178543;	0.316356389584230;	0.000002080220358;	0.000000994004409;	0.000000879435002;	0.000001001960543;	0.000001591320414;	0.000004094410597;	0.000005318683125;	0.000006291028129;	0.000010557312094;	0.000011454194407;	0.000020479173696;	0.000038959874663;	0.000035796275047;	0.000045602659179;	0.000107312185269;	0.000182477054856;	0.000180555517531;	0.000246827562732;	0.000407040668004;	0.000572210104547;	0.000963483520831;	0.001062495873386;	0.001131048246928;	0.001608470943330;	0.002395946584280;	0.003261593304128;	0.004573894033408;	0.005885122182007;	0.007366148668280;	0.009072492864539;	0.010615074342885;	0.011470130538043;	0.013604794713432;	0.016464392252445;	0.020106080321999;	0.024532306982238;	0.028381053795157;	0.033712734744916;	0.038301030062653;	0.043143925809225;	0.049083274688878;	0.056185981877741;	0.064192931922980;	0.072601424073320;	0.081808594926597;	0.090905977766644;	0.100493173450777;	0.114821288674652;	0.123839300332338;	0.135043552286652;	0.147065884336398;	0.158649516447606;	0.169253393325495;	0.181688413723476;	0.191945946679872;	0.205652644070861;	0.220199677823162;	0.233979718858705;	0.250013041724248;	0.266432803845268;	0.283066626531184;	0.300901009232057;	0.320423872253062;	0.346793936217757;	0.376807616525582;	0.415699068195683;	0.452495695151903;	0.845328495486021;	0.000000003245887
0.082528781234717;	0.303258900646741;	0.000000022646405;	0.000000007892680;	0.000001278782711;	0.000000949921116;	0.000000236752362;	0.526720166810337;	0.646492976308405;	0.313411668187237;	0.316356389596684;	0.000002080265877;	0.000000994026253;	0.000000879455107;	0.000001001981255;	0.000001591349137;	0.000004094464218;	0.000005318739710;	0.000006291095225;	0.000010557391618;	0.000011454276516;	0.000020479290916;	0.000038960035167;	0.000035796415062;	0.000045602810627;	0.000107312441539;	0.000182477389739;	0.000180555819939;	0.000246827922242;	0.000407041160898;	0.000572210701398;	0.000963484322434;	0.001062496697894;	0.001131049063622;	0.001608471952490;	0.002395947879555;	0.003261594853656;	0.004573895915320;	0.005885124342307;	0.007366151067653;	0.009072495497303;	0.010615077146216;	0.011470133298292;	0.013604797658026;	0.016464395440901;	0.020106083778481;	0.024532310730739;	0.028381057768760;	0.033712738975952;	0.038301034461615;	0.043143930351823;	0.049083279392180;	0.056185986742238;	0.064192936924568;	0.072601429178831;	0.081808600115315;	0.090905983003673;	0.100493178715930;	0.114821295610169;	0.123839307264199;	0.135043559278951;	0.147065891374144;	0.158649523504168;	0.169253400390089;	0.181688420780105;	0.191945953652337;	0.205652651002782;	0.220199684703021;	0.233979725676859;	0.250013048446525;	0.266432810449553;	0.283066633012097;	0.300901015575501;	0.320423878437417;	0.346797002982070;	0.376824375339050;	0.415729676751144;	0.452538615502694;	0.845344354323166;	0.000000005164271
0.082528786872367;	0.303258905828787;	0.000000022648843;	0.000000007893659;	0.000001279059039;	0.000000950076352;	0.000000236785454;	0.526720166839787;	0.646492976332778;	0.313411668209256;	0.316356389623762;	0.111880724175383;	0.000000994071810;	0.000000879495756;	0.000001002021479;	0.000001591402980;	0.000004094555378;	0.000005318832920;	0.000006291203807;	0.000010557517328;	0.000011454406172;	0.000020479468241;	0.000038960274233;	0.000035796623667;	0.000045603032377;	0.000107312806642;	0.000182477859983;	0.000180556244841;	0.000246828421936;	0.000407041837057;	0.000572211514656;	0.000963485402966;	0.001062497806807;	0.001131050159824;	0.001608473298310;	0.002395949593102;	0.003261596893541;	0.004573898379716;	0.005885127164845;	0.007366154200777;	0.009072498935692;	0.010615080813008;	0.011470136912652;	0.013604801513961;	0.016464399619308;	0.020106088312273;	0.024532315652966;	0.028381062999294;	0.033733364174826;	0.038356249899803;	0.043234807182658;	0.049205348073930;	0.056328925719911;	0.064353434957883;	0.072777542814451;	0.081998743145927;	0.091107936308432;	0.100705458961378;	0.114940570407893;	0.123968360242736;	0.135183727023489;	0.147217264410347;	0.158812075005592;	0.169427605745396;	0.181874800292953;	0.192142777237901;	0.205861716681747;	0.220421475538355;	0.234214890845964;	0.250261575857894;	0.266695041669164;	0.283343626515448;	0.301193642347698;	0.320732723189154;	0.347119804060991;	0.377159334011942;	0.416071318859241;	0.452885439088077;	0.845451936559535;	0.000000008862256
0.082528798978538;	0.303258911676705;	0.000000022657855;	0.000000007897153;	0.002122672907264;	0.000000950569356;	0.000000236891969;	0.526720166923465;	0.646492976392157;	0.313411668264361;	0.316356389681630;	0.111880724346651;	0.000000994164801;	0.000000891748783;	0.000001059415427;	0.000001749286672;	0.000004542120793;	0.000005922106619;	0.000007089806378;	0.000011739167818;	0.000012805631220;	0.000022596750229;	0.000042275461512;	0.000038844910854;	0.000049053716896;	0.000113759470117;	0.000191614989651;	0.000189159936043;	0.000257607183931;	0.000422750692692;	0.000592232998159;	0.000992123406380;	0.001093017715584;	0.001162170943198;	0.001648511157746;	0.002449442028120;	0.003327850887222;	0.004657368649475;	0.005984315852687;	0.007480188103530;	0.009201929929202;	0.010757231218231;	0.011614018292462;	0.013762483520694;	0.016640189120752;	0.020302627151699;	0.024752389678976;	0.028621794616165;	0.033992261773391;	0.038627129622787;	0.043519301143954;	0.049508397335371;	0.056655273734327;	0.064704337345015;	0.073153124414471;	0.082399882652922;	0.091533947271719;	0.101156854144751;	0.115327358046726;	0.124372607415191;	0.135610782668222;	0.147668282188686;	0.159287724491876;	0.169929505100903;	0.182404204740983;	0.192696356053243;	0.206445862892391;	0.221038974353936;	0.234869245050339;	0.250955255663011;	0.267432580869974;	0.284133962998144;	0.302047612394748;	0.321663102005371;	0.348132705871369;	0.378260173208480;	0.417258640561111;	0.454151813298344;	0.845860945204752;	0.000000012423545
0.129277469037414;	0.303458751131873;	0.000000040462909;	0.000000013920261;	0.002124329784707;	0.003581390399626;	0.000000550822224;	0.526720475052239;	0.646493246636897;	0.313411941265469;	0.316356859918850;	0.112360939964535;	0.114751465480002;	0.000001783407063;	0.000001964077744;	0.000003036909347;	0.000006749179030;	0.000008294299342;	0.000009780818422;	0.000015245622235;	0.000016547850734;	0.000027761838708;	0.000049894854387;	0.000045637099975;	0.000056324021186;	0.000126566193606;	0.000209148338546;	0.000205410224690;	0.000277324833953;	0.000450603647386;	0.000627076502153;	0.001041160308971;	0.001144815731835;	0.001214547849809;	0.001715355049049;	0.002538037931057;	0.003437142789023;	0.004794828563173;	0.006148134184227;	0.007669722419660;	0.009418756456768;	0.010997428261435;	0.011858685756537;	0.014031890768977;	0.016942602624872;	0.020643441812449;	0.025137309664249;	0.029046634103701;	0.034458727519901;	0.039124462791851;	0.044046937215726;	0.050072003822207;	0.057261212801453;	0.065354308448708;	0.073847375164826;	0.083140236917433;	0.092319336743279;	0.101988693537997;	0.116108958534494;	0.125189889941077;	0.136474882031660;	0.148582357258125;	0.160255173547431;	0.170956462757169;	0.183497174739208;	0.193853869508397;	0.207688153204638;	0.222379897513198;	0.236322429935313;	0.252526464216192;	0.269115699424276;	0.285905066443090;	0.303874815526091;	0.323506060439754;	0.349930743146087;	0.379959994937037;	0.418806929029173;	0.455506696782005;	0.846225452755331;	0.000000021939987
0.133670430803306;	0.303671582114105;	0.000000203026540;	0.000000063857539;	0.002194739094750;	0.003633027685702;	0.002530251864108;	0.526721985261893;	0.646494219611272;	0.313412956109057;	0.316358168910243;	0.112501578553690;	0.115144482927697;	0.158429731026008;	0.000004072554853;	0.000006017242396;	0.000011343976982;	0.000013171685459;	0.000015215833649;	0.000022379023789;	0.000024223444957;	0.000037840996866;	0.000064793287021;	0.000058872021983;	0.000070107765030;	0.000150366185359;	0.000241435969176;	0.000235157406057;	0.000312827024128;	0.000499967465015;	0.000688133756105;	0.001126232822343;	0.001233689392961;	0.001303243174822;	0.001827181483579;	0.002684389487639;	0.003615863421720;	0.005017656871511;	0.006412209733093;	0.007974356311559;	0.009766568254419;	0.011381997404555;	0.012248528895077;	0.014458232789878;	0.017418956190127;	0.021178450757343;	0.025739923153208;	0.029710149928670;	0.035188824095831;	0.039906976911307;	0.044881300912386;	0.050965709269490;	0.058222440116132;	0.066385570128613;	0.074949718410256;	0.084317415215915;	0.093570379768123;	0.103317286901880;	0.117421931399097;	0.126568333464016;	0.137937125016257;	0.150131493815852;	0.161890521870528;	0.172672830527214;	0.185276259611674;	0.195650245304224;	0.209492843744356;	0.224166644571713;	0.238061686646237;	0.254187452862702;	0.270674249730906;	0.287366299516850;	0.305246033117634;	0.324789040965771;	0.351123439406169;	0.381071326515282;	0.419838472451131;	0.456453032103530;	0.846490108081460;	0.000000029699365
0.149632747779213;	0.304094297557218;	0.000001236056153;	0.000000361274562;	0.002213549994040;	0.003730280796400;	0.002622826994629;	0.531170020154235;	0.646497497171761;	0.313416491401582;	0.316361920879444;	0.112645418650504;	0.115490547785580;	0.159243907501324;	0.177585915360145;	0.211854051850603;	0.000020397806168;	0.000022603327171;	0.000025361533912;	0.000035499668458;	0.000038313315799;	0.000055263404378;	0.000090414584139;	0.000081552669004;	0.000092995920565;	0.000188797843010;	0.000292935996218;	0.000282378053809;	0.000368242380293;	0.000575832189192;	0.000781104391085;	0.001254825899298;	0.001366907955017;	0.001434726196284;	0.001991228822839;	0.002896500431465;	0.003872223411492;	0.005334415881437;	0.006785500451149;	0.008403787097007;	0.010255902514373;	0.011921788226062;	0.012792220665186;	0.015047328487295;	0.018072617672496;	0.021908361710020;	0.026557768226751;	0.030605922321126;	0.036171709965694;	0.040960307035839;	0.046004643910043;	0.052166594133567;	0.059508204992084;	0.067756000204398;	0.076401448941660;	0.085847286361575;	0.095163498618132;	0.104961048417020;	0.119053286653435;	0.128200254660379;	0.139568475583836;	0.151744648765159;	0.163471296268462;	0.174211177438062;	0.186764808585503;	0.197080993159906;	0.210878650163900;	0.225512398823881;	0.239373980474646;	0.255469811030744;	0.271928662549839;	0.288596626598619;	0.306452990207472;	0.325968296098194;	0.352261456959499;	0.382162799462554;	0.420871695139322;	0.457406124399350;	0.846755386168629;	0.000000052835640
0.156621467469439;	0.304674056462944;	0.000006717615091;	0.000001861433431;	0.003810254907505;	0.005570035100856;	0.002672308525243;	0.531357734421606;	0.651188663645955;	0.318391551095373;	0.316371479959391;	0.112713713529209;	0.115693518175212;	0.159674006273783;	0.178665413445023;	0.213256278370581;	0.225888683137106;	0.000038096826684;	0.000041337292975;	0.000058144586279;	0.000062606524897;	0.000083145175663;	0.000131036908374;	0.000117327803296;	0.000127999074201;	0.000245870697472;	0.000368446565195;	0.000351342872376;	0.000447696384513;	0.000682712263434;	0.000910717596512;	0.001432450775524;	0.001549233167885;	0.001612534052287;	0.002210386546240;	0.003175859378270;	0.004205777637557;	0.005741980064705;	0.007262224938639;	0.008949720002614;	0.010875559453911;	0.012602262791374;	0.013471015739242;	0.015772636432405;	0.018867613362731;	0.022785330367455;	0.027527419629747;	0.031651972569033;	0.037301198833372;	0.042151541628737;	0.047251410134120;	0.053465877989836;	0.060854059278532;	0.069138198895410;	0.077808843421187;	0.087270891521585;	0.096588505674516;	0.106381882003054;	0.120457776987746;	0.129588507073771;	0.140955717931685;	0.153134391473520;	0.164869839984336;	0.175625195838652;	0.188195019548529;	0.198516581716551;	0.212333062296764;	0.226988326743501;	0.240873819598270;	0.256990761573515;	0.273468880292244;	0.290161721265998;	0.308048704630414;	0.327598702025472;	0.353924822735577;	0.383876920554017;	0.422636587972731;	0.459207595819456;	0.847324165019530;	0.000000070553797
0.159163232156545;	0.306521021904723;	0.000033311654926;	0.000009133464420;	0.003873793158765;	0.006068279528898;	0.004505525663147;	0.532238923482833;	0.651376086457509;	0.318605248687185;	0.322109642962902;	0.114423684738813;	0.115777321020605;	0.159884323393234;	0.179147139982533;	0.213923152324905;	0.227436848800767;	0.232778105643917;	0.238304105414472;	0.000089869487376;	0.000096259312418;	0.000127152422259;	0.000194458515567;	0.000173052231361;	0.000179695971398;	0.000327366052082;	0.000474614594814;	0.000448131856349;	0.000557726341945;	0.000828455268580;	0.001086251113874;	0.001671320000500;	0.001793723036349;	0.001850042185022;	0.002501560886041;	0.003544414356770;	0.004644044553104;	0.006275264382328;	0.007884890424715;	0.009662378286523;	0.011683425458195;	0.013487816783833;	0.014351295350829;	0.016708987175783;	0.019889679079963;	0.023906240115895;	0.028758786971568;	0.032974793158504;	0.038738340692335;	0.043692054235609;	0.048895927660481;	0.055219733192307;	0.062719727574155;	0.071114722354983;	0.079895626445673;	0.089470656907087;	0.098895322908799;	0.108795727372182;	0.122735744718696;	0.131940633112938;	0.143406192522390;	0.155685320900714;	0.167525789238939;	0.178394259239505;	0.191080216862621;	0.201500135637361;	0.215450478115091;	0.230255104072328;	0.244304081916864;	0.260582940713336;	0.277205438420195;	0.294016138921784;	0.311985866388941;	0.331569490906704;	0.357844415739414;	0.387677126229858;	0.426234616695710;	0.462497762276228;	0.848247876068638;	0.000000126016426
