0.082455603880629;	0.318251266157727;	0.000000021780862;	0.000000007213469;	0.000001279642787;	0.000000950567856;	0.000000236924354;	0.526729587397151;	0.646500563505627;	0.313180418522500;	0.316093100252435;	0.000002081200378;	0.000000994415767;	0.000000879796588;	0.000001002359820;	0.000001591921651;	0.000004095944440;	0.000005320625382;	0.000006293059021;	0.000010560706324;	0.000011457463717;	0.000020484820373;	0.000038969679291;	0.000035804376210;	0.000045612459402;	0.000107332820786;	0.000182508351201;	0.000180582876419;	0.000246860698981;	0.000407087339352;	0.000572266496310;	0.000963562235753;	0.001062569002697;	0.001131112230771;	0.001608543232141;	0.002396029806403;	0.003261679339928;	0.004573982479388;	0.005885203088218;	0.007366215099238;	0.009072542215817;	0.010615112050198;	0.011470167619759;	0.013604857446905;	0.016464517129575;	0.020106328895651;	0.024532771794446;	0.028381840758628;	0.033714038141386;	0.038302991527332;	0.043146831404871;	0.049087535151996;	0.056192130382016;	0.064201627119285;	0.072613507684867;	0.081825158900470;	0.090928350961360;	0.100523012826461;	0.114860982260906;	0.123892298954418;	0.135112537441218;	0.147154910437488;	0.158764583399984;	0.169401314794213;	0.181878552316464;	0.192193782231491;	0.205975446574988;	0.220613307410584;	0.234517598864587;	0.250729504158929;	0.267392047769712;	0.284332728654967;	0.302538246943203;	0.323055026112758;	0.350277429963061;	0.381579137019040;	0.421385772903005;	0.459415962073930;	0.866271296193973;	0.000000094280485
0.082455605096248;	0.318251270055266;	0.000000021781047;	0.000000007213551;	0.000001279668365;	0.000000950584474;	0.000000236927913;	0.526729587401241;	0.646500563510263;	0.313180418526505;	0.316093100259232;	0.000002081228160;	0.000000994428536;	0.000000879808882;	0.000001002373177;	0.000001591941087;	0.000004095985057;	0.000005320670184;	0.000006293113750;	0.000010560773548;	0.000011457533986;	0.000020484926505;	0.000038969828679;	0.000035804507988;	0.000045612606261;	0.000107333079610;	0.000182508698764;	0.000180583193880;	0.000246861085488;	0.000407087883534;	0.000572267168589;	0.000963563161206;	0.001062569969713;	0.001131113203830;	0.001608544459920;	0.002396031418939;	0.003261681307764;	0.004573984919258;	0.005885205939121;	0.007366218317378;	0.009072545803179;	0.010615115926152;	0.011470171495729;	0.013604861652861;	0.016464521760481;	0.020106334001563;	0.024532777427613;	0.028381846827081;	0.033714044715602;	0.038302998475046;	0.043146838697079;	0.049087542830470;	0.056192138460460;	0.064201635569197;	0.072613516459044;	0.081825167973083;	0.090928360278442;	0.100523022359906;	0.114860985449085;	0.123892302179917;	0.135112540736085;	0.147154913797043;	0.158764586813141;	0.169401318257888;	0.181878555826506;	0.192193785753108;	0.205975450134164;	0.220613311006367;	0.234517602497056;	0.250729507814894;	0.267392051440666;	0.284332732337528;	0.302538250627039;	0.323055029777631;	0.350277433557172;	0.381579140499943;	0.421385776194750;	0.459415965145686;	0.866271296938458;	0.000000140009881
0.082455607896975;	0.318251274632295;	0.000000021781711;	0.000000007213828;	0.000001279749945;	0.000000950633150;	0.000000236938222;	0.526729587411571;	0.646500563520183;	0.313180418535203;	0.316093100271692;	0.000002081273690;	0.000000994450385;	0.000000879828992;	0.000001002393894;	0.000001591969816;	0.000004096038689;	0.000005320726781;	0.000006293180858;	0.000010560853086;	0.000011457616109;	0.000020485043745;	0.000038969989206;	0.000035804648022;	0.000045612757728;	0.000107333335906;	0.000182509033677;	0.000180583496310;	0.000246861445021;	0.000407088376451;	0.000572267765461;	0.000963563962829;	0.001062570794236;	0.001131114020535;	0.001608545469087;	0.002396032714219;	0.003261682857294;	0.004573986801169;	0.005885208099419;	0.007366220716748;	0.009072548435939;	0.010615118729480;	0.011470174255977;	0.013604864597459;	0.016464524948942;	0.020106337458056;	0.024532781176130;	0.028381850800706;	0.033714048946667;	0.038303002874043;	0.043146843239717;	0.049087547533817;	0.056192143325001;	0.064201640570821;	0.072613521564577;	0.081825173161800;	0.090928365515436;	0.100523027624976;	0.114860992384405;	0.123892309111480;	0.135112547727927;	0.147154920834120;	0.158764593868764;	0.169401325321215;	0.181878562881415;	0.192193792723299;	0.205975457063023;	0.220613317882151;	0.234517609309787;	0.250729514529775;	0.267392058034826;	0.284332738804788;	0.302538256952445;	0.323055035932360;	0.350280479620766;	0.381595738912353;	0.421416002944791;	0.459458173185048;	0.866284724888086;	0.000000190717384
0.082455613531748;	0.318251279771242;	0.000000021784149;	0.000000007214807;	0.000001280026357;	0.000000950788438;	0.000000236971327;	0.526729587441031;	0.646500563544565;	0.313180418557228;	0.316093100298778;	0.111881006075278;	0.000000994495948;	0.000000879869648;	0.000001002434126;	0.000001592023669;	0.000004096129868;	0.000005320820009;	0.000006293289459;	0.000010560978819;	0.000011457745786;	0.000020485221097;	0.000038970228305;	0.000035804856653;	0.000045612979504;	0.000107333701046;	0.000182509503960;	0.000180583921241;	0.000246861944743;	0.000407089052639;	0.000572268578747;	0.000963565043386;	0.001062571903167;	0.001131115116749;	0.001608546814917;	0.002396034427772;	0.003261684897181;	0.004573989265565;	0.005885210921953;	0.007366223849867;	0.009072551874324;	0.010615122396269;	0.011470177870337;	0.013604868453397;	0.016464529127357;	0.020106341991862;	0.024532786098378;	0.028381856031268;	0.033734674310915;	0.038358218825456;	0.043237721033354;	0.049209617608985;	0.056335083918496;	0.064362140195774;	0.072789636493682;	0.082015316751115;	0.091130318182269;	0.100735305330890;	0.114980264163931;	0.124021356982480;	0.135252706822908;	0.147306280074584;	0.158927124452585;	0.169575500257503;	0.182064897965105;	0.192390553408505;	0.206184432036279;	0.220834979473049;	0.234752590280896;	0.250977772319785;	0.267653892841801;	0.284609157252167;	0.302830063360052;	0.323362414875892;	0.350601089566774;	0.381927500201348;	0.421753407643406;	0.459799263963902;	0.866375790221087;	0.000000265011556
0.082455625637863;	0.318251285570845;	0.000000021793162;	0.000000007218304;	0.002123115318140;	0.000000951281570;	0.000000237077876;	0.526729587524734;	0.646500563603962;	0.313180418612348;	0.316093100356662;	0.111881006246574;	0.000000994588950;	0.000000892126447;	0.000001059844978;	0.000001749950068;	0.000004543814382;	0.000005924249167;	0.000007092073103;	0.000011742893340;	0.000012809234922;	0.000022602906456;	0.000042285973936;	0.000038853599738;	0.000049064150486;	0.000113781135522;	0.000191647555196;	0.000189188336625;	0.000257641468601;	0.000422798770289;	0.000592290910830;	0.000992203904221;	0.001093092493148;	0.001162236396532;	0.001648585076015;	0.002449527157206;	0.003327939055806;	0.004657459578559;	0.005984399559292;	0.007480257630880;	0.009201982709549;	0.010757272681559;	0.011614059229144;	0.013762550604074;	0.016640318994021;	0.020302881489919;	0.024752861144388;	0.028622589119974;	0.033993573818354;	0.038629100860934;	0.043522217764844;	0.049512670051030;	0.056661435319092;	0.064713045745554;	0.073165220525489;	0.082416457104373;	0.091556327465345;	0.101186694791176;	0.115367041619381;	0.124425587780635;	0.135679735800798;	0.147757256534887;	0.159402712600853;	0.170077311895390;	0.182594176265993;	0.192943955523776;	0.206768325322031;	0.221452119632028;	0.235406433700659;	0.251670701816388;	0.268390322231991;	0.285397864971153;	0.303681662917489;	0.324288397380450;	0.351607153592115;	0.383018224966856;	0.422926536038267;	0.461044966266917;	0.866720088712950;	0.000000342962261
0.129238441771025;	0.318449441673635;	0.000000039615482;	0.000000013247898;	0.002124772900360;	0.003582005539946;	0.000000551160467;	0.526729895792732;	0.646500833971132;	0.313180691720974;	0.316093570785646;	0.112361243919875;	0.114742062597507;	0.000001784004603;	0.000001964724514;	0.000003037856498;	0.000006751366918;	0.000008296968415;	0.000009783612971;	0.000015250040382;	0.000016552101583;	0.000027768883947;	0.000049906534549;	0.000045646717105;	0.000056335402614;	0.000126589290178;	0.000209182569763;	0.000205439918349;	0.000277360447851;	0.000450653195563;	0.000627135848291;	0.001041242246373;	0.001144891655718;	0.001214614143437;	0.001715429654427;	0.002538123575985;	0.003437231265911;	0.004794919604481;	0.006148217845795;	0.007669791776136;	0.009418808994382;	0.010997469532082;	0.011858726653838;	0.014031958080973;	0.016942733094732;	0.020643697246626;	0.025137782852516;	0.029047431127959;	0.034460042909470;	0.039126438163874;	0.044049858835654;	0.050076282283585;	0.057267380485345;	0.065363022521259;	0.073859475605624;	0.083156812800860;	0.092341713770006;	0.102018523672256;	0.116148621724361;	0.125242837543920;	0.136543781788718;	0.148671248790170;	0.160370038181736;	0.171104091838460;	0.183686888610724;	0.194101104219361;	0.208010086205685;	0.222792279770253;	0.236858512611496;	0.253240257435460;	0.270070995925541;	0.287165478069630;	0.305504037384239;	0.326122817149558;	0.353393248840556;	0.384703874291553;	0.424457634736943;	0.462378435855182;	0.867027420930746;	0.000000480281639
0.133630600888528;	0.318660499295814;	0.000000202305396;	0.000000063229054;	0.002195201409477;	0.003633654698045;	0.002530688765717;	0.526731406499474;	0.646501807276230;	0.313181706860241;	0.316094880193553;	0.112501894912487;	0.115135062509446;	0.158426733402067;	0.000004073625544;	0.000006018749109;	0.000011347080481;	0.000013175341783;	0.000015219605333;	0.000022384762958;	0.000024228943376;	0.000037849699636;	0.000064807162614;	0.000058883381680;	0.000070120890564;	0.000150391886815;	0.000241473220859;	0.000235189435449;	0.000312865012685;	0.000500019618083;	0.000688195631904;	0.001126317299843;	0.001233767336997;	0.001303310949560;	0.001827257309535;	0.002684476069339;	0.003615952492883;	0.005017748186140;	0.006412293402573;	0.007974425456489;	0.009766620446032;	0.011382038386566;	0.012248569725627;	0.014458300437686;	0.017419087552123;	0.021178707844381;	0.025740398952026;	0.029710950784037;	0.035190144595807;	0.039908958656562;	0.044884230300383;	0.050969996707336;	0.058228617374579;	0.066394293183474;	0.074961825852748;	0.084333993714752;	0.093592752442825;	0.103347101543213;	0.117461562478675;	0.126621229256157;	0.138005939928422;	0.150220253325224;	0.162005189421576;	0.172820177963789;	0.185465573206154;	0.195896936562313;	0.209814033146219;	0.224578038309191;	0.238596468709121;	0.254899504693943;	0.271627273440348;	0.288623806127091;	0.306871585790887;	0.327399715137662;	0.354577933466481;	0.385805701006115;	0.425477614259923;	0.463309972970501;	0.867251556856347;	0.000000611257840
0.149588515312822;	0.319079689337226;	0.000001236008979;	0.000000360863162;	0.002214018687596;	0.003730930486267;	0.002623284858939;	0.531179785478746;	0.646505085693422;	0.313185242931488;	0.316098633132019;	0.112645750243227;	0.115481121426592;	0.159240927216034;	0.177581382629379;	0.211848581396752;	0.000020402495086;	0.000022608697770;	0.000025366945794;	0.000035507647324;	0.000038320928912;	0.000055274800697;	0.000090432038953;	0.000081566867544;	0.000093011822417;	0.000188827621664;	0.000292977953555;	0.000282413715227;	0.000368284025955;	0.000575888329772;	0.000781170140908;	0.001254914289282;	0.001366989020183;	0.001434796266896;	0.001991306562665;	0.002896588518011;	0.003872313491468;	0.005334507743642;	0.006785584272531;	0.008403856054831;	0.010255954296085;	0.011921828838690;	0.012792261396645;	0.015047396555251;	0.018072750178291;	0.021908620938975;	0.026558247426168;	0.030606728181458;	0.036173037164273;	0.040962297210437;	0.046007583680375;	0.052170893704237;	0.059514395405886;	0.067764735987529;	0.076413567000385;	0.085863870298836;	0.095185868380272;	0.104990846886140;	0.119092881264935;	0.128253091866325;	0.139637197218842;	0.151833269902661;	0.163585768459777;	0.174358261808384;	0.186953771289977;	0.197327229086665;	0.211199239588890;	0.225923013909745;	0.239907738653745;	0.256180471964309;	0.272879808402615;	0.289851641024965;	0.308075281097740;	0.328573374366950;	0.355708354776402;	0.386887935788914;	0.426499437542144;	0.464248351347455;	0.867476594504979;	0.000000856956396
0.156568994947025;	0.319654633360724;	0.000006720618160;	0.000001861929785;	0.003810978533406;	0.005570848224651;	0.002672779962741;	0.531367526509642;	0.651196418648958;	0.318160377568648;	0.316108194094118;	0.112714056402745;	0.115684096697491;	0.159671055114704;	0.178660893066395;	0.213250818525703;	0.225882709743546;	0.000038104664308;	0.000041344967839;	0.000058156060357;	0.000062617440324;	0.000083160554539;	0.000131059660467;	0.000117346193961;	0.000128018988520;	0.000245906274407;	0.000368495193337;	0.000351383676705;	0.000447743154323;	0.000682773951249;	0.000910788735407;	0.001432544640387;	0.001549318609869;	0.001612607345756;	0.002210466996963;	0.003175949637815;	0.004205869236991;	0.005742072846572;	0.007262309148091;	0.008949788879928;	0.010875610828898;	0.012602302991848;	0.013471056337385;	0.015772704948054;	0.018867747126948;	0.022785591971107;	0.027527902585501;	0.031652783893796;	0.037302533203579;	0.042153540638613;	0.047254360434502;	0.053470189199942;	0.060860261229921;	0.069146944259499;	0.077820967105645;	0.087287474061008;	0.096610864267580;	0.106411655813692;	0.120497328617723;	0.129641281025347;	0.141024345747928;	0.153222878672920;	0.164984125023972;	0.175772024804891;	0.188383633512797;	0.198762350942537;	0.212653014737973;	0.227398083644205;	0.241406406540143;	0.257699776657027;	0.274417726238106;	0.291413567527748;	0.309666675346629;	0.330196090219531;	0.357360652706572;	0.388587085692960;	0.428244187368271;	0.466021408136731;	0.867957922939835;	0.000001083400204
0.159105270417410;	0.321494107606319;	0.000033326935696;	0.000009137451974;	0.003874532416356;	0.006069142825166;	0.004506222311164;	0.532248747667749;	0.651383860529668;	0.318374091664997;	0.321846331348369;	0.114424039216885;	0.115767906762548;	0.159881395902614;	0.179142647175495;	0.213917725519001;	0.227430890576004;	0.232772122970580;	0.238298524091856;	0.000089885294294;	0.000096274274194;	0.000127173533285;	0.000194488896334;	0.000173076662096;	0.000179721408326;	0.000327409442708;	0.000474672163642;	0.000448179558973;	0.000557779944933;	0.000828524309768;	0.001086329412588;	0.001671421191967;	0.001793814369311;	0.001850119836447;	0.002501645037525;	0.003544507631577;	0.004644138324693;	0.006275358567972;	0.007884975340373;	0.009662447241347;	0.011683476458047;	0.013487856550737;	0.014351335807778;	0.016709056224130;	0.019889814313385;	0.023906504451305;	0.028759274158329;	0.032975610505468;	0.038739682865485;	0.043694062866894;	0.048898889463115;	0.055224057114301;	0.062725941943502;	0.071123477465713;	0.079907754461328;	0.089487233820023;	0.098917661107275;	0.108825458610849;	0.122775225410299;	0.131993300446321;	0.143474656750727;	0.155773565573427;	0.167639723841144;	0.178540595781370;	0.191268137042425;	0.201744948444480;	0.215769083123853;	0.230662983015432;	0.244834027813675;	0.261288130150569;	0.278148792500912;	0.295260305063307;	0.313593339571973;	0.334148373523586;	0.361254299551379;	0.392355187302771;	0.431802281027224;	0.469260297479491;	0.868738748812341;	0.000001518959910
