0.131714623190090;	0.191097366032025;	0.000002306175212;	0.000001789655745;	0.000003232385289;	0.000002373192418;	0.000000578960478;	0.078865762522563;	0.092652801443606;	0.047976543647182;	0.055861738522371;	0.000009268194694;	0.000004099632801;	0.000004259495884;	0.000005107804805;	0.000008567226500;	0.000022936641694;	0.000029086745919;	0.000035920330105;	0.000054447106103;	0.000058879605301;	0.000101980577032;	0.000171035766075;	0.000152085715643;	0.000179036980003;	0.000385399676687;	0.000600732351844;	0.000557860517973;	0.000734919473426;	0.001164856244315;	0.001564356282187;	0.002501615774622;	0.002718571271261;	0.002812122452575;	0.003889962745885;	0.005706728228531;	0.007595201891081;	0.010465840425101;	0.013306693219716;	0.016288198511428;	0.019644477797444;	0.022519573625943;	0.023737156646079;	0.027400496757287;	0.032263563216013;	0.038408547906038;	0.045972033920409;	0.052599364080573;	0.061444407418791;	0.068709721290350;	0.076101064080703;	0.085103915691431;	0.095657990624438;	0.107146768062179;	0.118782369063716;	0.131179313435862;	0.142890648313495;	0.154912254959096;	0.173947263896111;	0.183725163821398;	0.196669324154276;	0.210413447533480;	0.222968069200675;	0.234203497726980;	0.247385938163809;	0.256513868412476;	0.269838448542288;	0.284574300007247;	0.298232144484376;	0.312969837959493;	0.327301632925286;	0.341493542486157;	0.356247769824081;	0.366796526548814;	0.385992957233944;	0.408275423391995;	0.440428228944915;	0.470371427637761;	0.620799299190089;	0.000000000000000
0.131981179595886;	0.191951175058011;	0.000002345204509;	0.000001806448897;	0.000008448182244;	0.000005767085433;	0.000001305265566;	0.078866601124676;	0.092653753969932;	0.047977367691623;	0.055863138808074;	0.000014989179515;	0.000006737234693;	0.000006793104190;	0.000007861666640;	0.000012574643513;	0.000031313053710;	0.000038326961056;	0.000047211170658;	0.000068316650898;	0.000073381489255;	0.000123886590962;	0.000201875817012;	0.000179294185528;	0.000209360226777;	0.000438846741571;	0.000672509055491;	0.000623421892595;	0.000814744238531;	0.001277261445370;	0.001703238695204;	0.002692836997705;	0.002918410002130;	0.003013247478354;	0.004143793048886;	0.006040168469068;	0.008002169264990;	0.010970465641963;	0.013896320791021;	0.016953766459952;	0.020386349175673;	0.023320955058327;	0.024538272484060;	0.028269508145204;	0.033220026970037;	0.039462767039064;	0.047134834949120;	0.053851704421018;	0.062801120711136;	0.070143512711890;	0.077606051525344;	0.086689214360035;	0.097327095651095;	0.108894528827468;	0.120599629489736;	0.133061554388705;	0.144827247183634;	0.156898196273377;	0.174613178398276;	0.184400653588378;	0.197361578484013;	0.211121892394970;	0.223690561835497;	0.234939481491705;	0.248135235127589;	0.257269209701072;	0.270606167218956;	0.285354762857168;	0.299025560563807;	0.313774755113488;	0.328117411039391;	0.342320341439788;	0.357084673199055;	0.367645429846175;	0.386846626228603;	0.409126059969345;	0.441263807683959;	0.471185385413533;	0.621372931968003;	0.000000000000000
0.132583281642236;	0.192953851785153;	0.000002485579588;	0.000001863400267;	0.000025101064977;	0.000015717076795;	0.000003410681430;	0.078868720761975;	0.092655793181677;	0.047979158275813;	0.055865706767675;	0.000024368971749;	0.000011251403157;	0.000010938855651;	0.000012133986547;	0.000018499437282;	0.000042376389709;	0.000050002387636;	0.000061058475372;	0.000084729675760;	0.000090331964353;	0.000148088160453;	0.000235019203819;	0.000208209940277;	0.000240637653829;	0.000491776527062;	0.000741678864771;	0.000685884134103;	0.000889003549028;	0.001379084520125;	0.001826550838999;	0.002858480121242;	0.003088808629352;	0.003182059644036;	0.004352430777398;	0.006308007211352;	0.008322625197233;	0.011359687549905;	0.014343113250678;	0.017449995781807;	0.020930808743118;	0.023900574089913;	0.025108807101557;	0.028877947449722;	0.033878635721520;	0.040176524307210;	0.047908730361622;	0.054671896814767;	0.063674471635177;	0.071051551012998;	0.078543831524954;	0.087660551857440;	0.098332468001573;	0.109929353888385;	0.121657353918311;	0.134138301774646;	0.145916033077311;	0.157995197889389;	0.176061909931265;	0.185852395071777;	0.198830640954640;	0.212605841773947;	0.225184045060591;	0.236440262244665;	0.249641124593875;	0.258764048037205;	0.272100495516103;	0.286846837312796;	0.300513246254128;	0.315252694099622;	0.329582269556039;	0.343771751300468;	0.358521018017015;	0.369070837445757;	0.388283015220777;	0.410682854420523;	0.442938376978471;	0.472966948046295;	0.622729139132799;	0.000000000000002
0.133768291383016;	0.194079638071907;	0.000003000427718;	0.000002065162481;	0.000081584365614;	0.000047488087785;	0.000010177246557;	0.078874769437060;	0.092660808192766;	0.047983694585688;	0.055871291678169;	0.010699764021897;	0.000020667753359;	0.000019322822990;	0.000020432882750;	0.000029608573122;	0.000061188699905;	0.000069238008485;	0.000083471213129;	0.000110678844805;	0.000117101324205;	0.000184702860680;	0.000284389810315;	0.000251294291081;	0.000286437448742;	0.000567190243546;	0.000838814064730;	0.000773653505808;	0.000992225627474;	0.001518775287660;	0.001994582778018;	0.003081770819306;	0.003317992232073;	0.003408652022950;	0.004630674774070;	0.006662337979901;	0.008744489385325;	0.011869376620510;	0.014926866009765;	0.018097974274754;	0.021641873909031;	0.024658735604660;	0.025855912025700;	0.029674744986017;	0.034741804130517;	0.041112849992049;	0.048925087349769;	0.055751712181881;	0.065020602058610;	0.072773021515908;	0.080645254285826;	0.090105635333211;	0.101026034141907;	0.112835913416949;	0.124751837901351;	0.137402557190160;	0.149321628731809;	0.161524891737692;	0.178702418452766;	0.188586148464766;	0.201686387827756;	0.215583283110658;	0.228279067520622;	0.239656599506530;	0.252984115183862;	0.262202888795532;	0.275667116132417;	0.290548019018266;	0.304356684855561;	0.319240063518918;	0.333720307294430;	0.348075803984846;	0.363005243022145;	0.373769898373124;	0.393184499006777;	0.415764182793953;	0.448171459910933;	0.478358036084119;	0.626821167783794;	0.000000000000003
0.136266966001001;	0.195350158364269;	0.000004904087184;	0.000002785962837;	0.002182385867568;	0.000148469299032;	0.000031973421899;	0.078891966666932;	0.092673032004004;	0.047995052748300;	0.055883231673934;	0.010735081448502;	0.000039893337314;	0.000035923293346;	0.000036605962336;	0.000051225623475;	0.000096174555199;	0.000105297984202;	0.000125658509843;	0.000160881574304;	0.000169978011113;	0.000257058942230;	0.000384973270582;	0.000340372567115;	0.000381794724480;	0.000728238580565;	0.001051791735051;	0.000969070662952;	0.001226340289160;	0.001843171089563;	0.002393197388492;	0.003626558102485;	0.003886097953483;	0.003977666411274;	0.005343062016191;	0.007587962727862;	0.009866154247513;	0.013250980746694;	0.016538383267787;	0.019919904030191;	0.023677759476396;	0.026865364819427;	0.028062383409259;	0.032062589813907;	0.037370233467412;	0.044013576290337;	0.052131309081119;	0.059218455844495;	0.068732846677931;	0.076648444997930;	0.084693389534141;	0.094379112148200;	0.105572002409134;	0.117662124285241;	0.129853032847338;	0.142784541931840;	0.154971037593342;	0.167444500059661;	0.184012515644342;	0.194067531080181;	0.207409386309493;	0.221559805665235;	0.234513398860282;	0.246164772040908;	0.259781522920565;	0.269243099724565;	0.283031501881073;	0.298268961690211;	0.312471562561105;	0.327783689134490;	0.342750429777285;	0.357698551509136;	0.373354985170328;	0.385066394578070;	0.405569983290576;	0.429295195938985;	0.463043649998469;	0.494718893794143;	0.640198356468600;	0.000000000000042
0.566998752044498;	0.198750303166844;	0.000012162616662;	0.000005442651369;	0.002204554727343;	0.003715802412596;	0.000104825319891;	0.078944194954943;	0.092705532644374;	0.048026206064678;	0.055913275585663;	0.015301230395698;	0.011053550624028;	0.000076914778417;	0.000074585675248;	0.000099816630438;	0.000167278634413;	0.000175593721086;	0.000204593057190;	0.000252675090327;	0.000265365730150;	0.000380621789657;	0.000553985813246;	0.000488757450180;	0.000536341713904;	0.000981970704914;	0.001382246273300;	0.001270713164958;	0.001581793615459;	0.002327516456735;	0.002982843700813;	0.004425663485801;	0.004715947943476;	0.004805178874309;	0.006374373696968;	0.008921421878602;	0.011478684325193;	0.015236351810534;	0.018861370391006;	0.022561639454337;	0.026650847245470;	0.030112951841901;	0.031329106911620;	0.035614539857278;	0.041305966582095;	0.048390579848875;	0.057010095684223;	0.064540550297205;	0.074522839108155;	0.082780136363903;	0.091155300962509;	0.101230858788594;	0.112876302828355;	0.125431454826817;	0.138084013116914;	0.151493073395576;	0.164141008893529;	0.177088604264726;	0.193191584877617;	0.203590521684728;	0.217405417760943;	0.232063583463825;	0.245558215095716;	0.257812843048976;	0.272106148743025;	0.282221261406250;	0.296891729486289;	0.313165598639200;	0.328554351148147;	0.345148929787394;	0.361373913782888;	0.377368819261861;	0.393785950357456;	0.405982649107465;	0.426414433229150;	0.449224588794530;	0.481806646765107;	0.511977076290311;	0.652088748160917;	0.000000000000071
0.609898915470563;	0.202437541389449;	0.000040263697820;	0.000015370909028;	0.002881069049527;	0.004222786514833;	0.002634817101329;	0.079098753714480;	0.092788721513076;	0.048108363837813;	0.055980788300022;	0.016675355979434;	0.014826047975937;	0.015261993445548;	0.000150240656320;	0.000194311499704;	0.000292912252581;	0.000297200623764;	0.000338566628153;	0.000408200618803;	0.000427681542980;	0.000582469604260;	0.000830390582356;	0.000731190285100;	0.000783632229277;	0.001381643974330;	0.001899776353627;	0.001741941648359;	0.002130861614936;	0.003067894770352;	0.003878321170116;	0.005633077330245;	0.005961714478213;	0.006037025433469;	0.007898137991301;	0.010875517666501;	0.013826867136400;	0.018112666163495;	0.022218546024616;	0.026378835877444;	0.030949549333262;	0.034811292636629;	0.036044980363073;	0.040721849305922;	0.046953826584788;	0.054665996333587;	0.064003076246244;	0.072168626251262;	0.082846469874104;	0.091641457298070;	0.100542649472155;	0.111220582471521;	0.123548400899993;	0.136806883246255;	0.150168352154396;	0.164322290464256;	0.177701865400826;	0.191417789723516;	0.207421461763428;	0.218463451962022;	0.233124774451248;	0.248667590000614;	0.263045813254127;	0.276139984496674;	0.291112192207521;	0.301451963108221;	0.316288602214287;	0.332477891618945;	0.347482858966374;	0.363401259313986;	0.378703313163426;	0.393818070307674;	0.409431062817921;	0.420937841233749;	0.440662779981815;	0.462693598638863;	0.494691191591022;	0.524308467165732;	0.660784355666867;	0.000000000001065
0.763116730744058;	0.208318786424248;	0.000150027084350;	0.000052824645154;	0.003113842780191;	0.005199477920367;	0.003522637705135;	0.083599160844078;	0.093000639509019;	0.048322333528331;	0.056135876634798;	0.017985745845572;	0.018174395218687;	0.023019926588357;	0.017432842572401;	0.020961576216042;	0.000512288898534;	0.000505060353976;	0.000561502725440;	0.000663364344452;	0.000693751733788;	0.000897385115351;	0.001259529496150;	0.001106754682790;	0.001157230532837;	0.001972423880050;	0.002658137139282;	0.002430935383537;	0.002923392247505;	0.004123602500220;	0.005146609530693;	0.007334151374159;	0.007706474747542;	0.007748095156297;	0.009998182051580;	0.013543807320313;	0.017008809938014;	0.021984748450619;	0.026721884345300;	0.031493835968468;	0.036707758917771;	0.041100666145540;	0.042330523060596;	0.047481918656344;	0.054392877551480;	0.062899176965884;	0.073145711255187;	0.082106393477364;	0.093673071662755;	0.103175568234655;	0.112773622820111;	0.124224921678911;	0.137397967489246;	0.151497278986430;	0.165664056928260;	0.180594954495961;	0.194606975065604;	0.208837704753153;	0.224754842795471;	0.235811715053629;	0.250502405476969;	0.265909651971106;	0.280013746489137;	0.292733841772228;	0.307263798513298;	0.317064626800333;	0.331506439881490;	0.347349743075204;	0.362071182746898;	0.377755340034677;	0.392851534037576;	0.407805756141776;	0.423278860654754;	0.434708688950326;	0.454230368430821;	0.475856051142542;	0.507495128668110;	0.536622857790629;	0.669391570116980;	0.000000000001826
0.832001281927300;	0.215906249674631;	0.000579767576225;	0.000194706571779;	0.004856623933870;	0.007439551476109;	0.004044499492922;	0.085418830357285;	0.097891829659948;	0.053549964641930;	0.056480761738247;	0.018772685117703;	0.020087490899900;	0.027167276061514;	0.027750784037535;	0.034327155064312;	0.025452636048704;	0.000838125187862;	0.000907791483041;	0.001075398216353;	0.001123277853418;	0.001375515860069;	0.001905173734076;	0.001669794330871;	0.001703345714677;	0.002812916498281;	0.003723773898457;	0.003396076689994;	0.004015658754891;	0.005555777146110;	0.006851144299463;	0.009600225823747;	0.010012510394611;	0.009986761418842;	0.012715862606513;	0.016952396444077;	0.021029309508873;	0.026827516936915;	0.032316060598550;	0.037821766674408;	0.043806591166284;	0.048824259809856;	0.049984196849984;	0.055612493985806;	0.063243767330174;	0.072589492399881;	0.083780023730293;	0.093511744653567;	0.105920477115447;	0.116037664033012;	0.126185586749528;	0.138163313117369;	0.151809051220555;	0.166281789566729;	0.180713009788653;	0.195823698452726;	0.209870819544845;	0.224071413945337;	0.239858376347305;	0.250720067201331;	0.265357802518113;	0.280719626452601;	0.294810046584619;	0.307550798177463;	0.322080622740833;	0.331741066261630;	0.346158347154036;	0.361978322720180;	0.376672873995352;	0.392296610630092;	0.407285407822654;	0.422131187813020;	0.437486744311392;	0.448848873516552;	0.468166092944209;	0.489391736982841;	0.520685248792081;	0.549276186027354;	0.678130495479193;	0.000000000026917
0.858005991352844;	0.235994869500767;	0.002263502742076;	0.000736880421755;	0.005629541880033;	0.008789581501655;	0.006215838412898;	0.087015413783355;	0.099764504505409;	0.055667272661019;	0.063181858775616;	0.019571134796959;	0.021123964071436;	0.029117503363569;	0.032330641505786;	0.040570467855071;	0.040295745196299;	0.031199546942236;	0.032348128551734;	0.001669277197328;	0.001735607011166;	0.002098201729483;	0.002870508180894;	0.002510128029220;	0.002482968487877;	0.003974851593582;	0.005172530527646;	0.004702884203921;	0.005471325328621;	0.007427427687263;	0.009051498212041;	0.012484813863713;	0.012919576816563;	0.012775458911309;	0.016051748432978;	0.021063102689314;	0.025805615241667;	0.032492213845829;	0.038782187472521;	0.045065468138782;	0.051854123090122;	0.057493869753450;	0.058455003859574;	0.064451184544703;	0.072699817557472;	0.082742308531318;	0.094689746410393;	0.104985707351532;	0.118007124441954;	0.128548448392281;	0.139074175593614;	0.151435713085740;	0.165480181885463;	0.180312816022983;	0.195071007394561;	0.210493769884282;	0.224782306470281;	0.239197707618725;	0.254996522958089;	0.265860708237033;	0.280621116649506;	0.296079388104116;	0.310261832518784;	0.323092285706688;	0.337653317057098;	0.347182196758926;	0.361571667519830;	0.377360914090777;	0.392027132272814;	0.407592553257607;	0.422483430438700;	0.437232046653629;	0.452477914750966;	0.463780657829215;	0.482881762379581;	0.503675349644142;	0.534582048660926;	0.562496407447536;	0.687069821366950;	0.000000000045972
