0.721138626516192;	0.067816808185500;	0.000153358805467;	0.000150001982090;	0.000062226585293;	0.000054224803009;	0.000058528588640;	0.003666663379563;	0.004762796719895;	0.002842445274304;	0.004724895506826;	0.000108515524884;	0.000074022674138;	0.000086384790668;	0.000123151239408;	0.000194505895193;	0.000550120642050;	0.000838588160687;	0.001088455502540;	0.001654272074170;	0.001868477905678;	0.003207670324737;	0.004426874017600;	0.004648017170022;	0.005736068901455;	0.008478323354233;	0.010825614406733;	0.011478717684025;	0.013812468389177;	0.017188721968640;	0.019544726040339;	0.023222030822434;	0.024667039641625;	0.025807984318140;	0.028413432307607;	0.031873583011088;	0.034632350248580;	0.038395985031498;	0.041385705264250;	0.043874200920602;	0.046029600867555;	0.047396134305602;	0.048788075459253;	0.050743855536180;	0.052604126121474;	0.054704621737994;	0.057063948066319;	0.058343737093834;	0.060190320989875;	0.061359431903056;	0.062281663534156;	0.063113197802075;	0.064050970356070;	0.065001140144172;	0.065777963276825;	0.066708933077141;	0.067324062402284;	0.067927924899780;	0.072279461149689;	0.072102391818900;	0.072340388636412;	0.072575125281190;	0.072715184666078;	0.072019657108501;	0.071755128242986;	0.071300725202446;	0.070784286295016;	0.070244192484486;	0.069443428127974;	0.068590244817960;	0.067584692529022;	0.066220903943057;	0.064608653721224;	0.062485814779283;	0.060391221147745;	0.058819362094153;	0.057911977453629;	0.056097220028105;	0.113454914440139;	0.000000000000000
0.728459655403783;	0.073596635234645;	0.000153714347703;	0.000150154960079;	0.000103892214208;	0.000082192655478;	0.000064434987865;	0.003674302225085;	0.004772283392830;	0.002851078196526;	0.004741203862434;	0.000165150412033;	0.000102848055340;	0.000115920240825;	0.000160024403393;	0.000252876296165;	0.000680631320996;	0.000991413145508;	0.001276067489246;	0.001890225810497;	0.002133335863698;	0.003612032829670;	0.004979021693375;	0.005216295309093;	0.006397027735671;	0.009451005858213;	0.012041691849756;	0.012774274284241;	0.015334016744993;	0.019083111042530;	0.021699652568548;	0.025799915776910;	0.027378944005617;	0.028594471881507;	0.031497615399180;	0.035347098160419;	0.038418249028961;	0.042600698751095;	0.045933114790228;	0.048712705555610;	0.051121642713328;	0.052668839992347;	0.054190020846687;	0.056298607918322;	0.058384000759669;	0.060737956531644;	0.063378660888198;	0.064829790700360;	0.066905748779492;	0.068234492738022;	0.069292676172038;	0.070248033803785;	0.071323097203098;	0.072413802624309;	0.073315357198297;	0.074389374087655;	0.075112337344979;	0.075822425687405;	0.074898925644307;	0.074753274855246;	0.075036946094510;	0.075318542745404;	0.075505996880300;	0.074833970100923;	0.074612210748126;	0.074197183504624;	0.073722128352901;	0.073229727576771;	0.072471444534257;	0.071663192888845;	0.070697593485297;	0.069359765749029;	0.067764810895538;	0.065636894749817;	0.063532707578431;	0.061968129279487;	0.061118101142230;	0.059129498179624;	0.118902037634434;	0.000000000000000
0.740883913783644;	0.081740763107905;	0.000155230826137;	0.000150698067260;	0.000238550070373;	0.000165053693270;	0.000081716926986;	0.003693611853297;	0.004792154902560;	0.002869379957567;	0.004769899318954;	0.000256800553970;	0.000149842764880;	0.000160630384111;	0.000211746711025;	0.000328458208949;	0.000833109330211;	0.001162368819287;	0.001478759228993;	0.002130187382110;	0.002397873515442;	0.003988594607012;	0.005485418475069;	0.005728948788935;	0.006970608863870;	0.010280146006738;	0.013061573402874;	0.013848639265780;	0.016567173210513;	0.020596419117805;	0.023399891904358;	0.027811674945569;	0.029466069877225;	0.030703101589911;	0.033805783605978;	0.037917152316899;	0.041187834233139;	0.045640414849519;	0.049183800009551;	0.052132955816021;	0.054681910997254;	0.056316304868342;	0.057876629329979;	0.060030592428670;	0.062221175185276;	0.064694873884734;	0.067468523259927;	0.068979088951774;	0.071144614962711;	0.072515484170535;	0.073598897748909;	0.074570205785202;	0.075667606488330;	0.076779792698750;	0.077691637844863;	0.078784131756211;	0.079503379663826;	0.080207331813587;	0.080638063578273;	0.080506362558394;	0.080830834443095;	0.081151278429925;	0.081373125637279;	0.080680358524471;	0.080467718747248;	0.080041827342302;	0.079551129581424;	0.079046307609301;	0.078258064431602;	0.077418870106033;	0.076413585470274;	0.075017544839684;	0.073356269803543;	0.071133597753326;	0.068939620097519;	0.067325285711250;	0.066508858814884;	0.064154205358536;	0.127564101857673;	0.000000000000000
0.758328982573825;	0.091701648451714;	0.000161161859933;	0.000152657128178;	0.000700407753130;	0.000432516474514;	0.000137813389915;	0.003749059383652;	0.004840532111857;	0.002915041541940;	0.004829680207123;	0.000439730763784;	0.000247342948252;	0.000247493155260;	0.000306116597981;	0.000460854691050;	0.001067545678402;	0.001421975352472;	0.001782086525910;	0.002471561115019;	0.002769710092058;	0.004486707094370;	0.006148654384645;	0.006393204313540;	0.007694352040895;	0.011318354259959;	0.014329903517132;	0.015185146998920;	0.018086987612518;	0.022458324907792;	0.025493085024580;	0.030292747405193;	0.032042558016855;	0.033297326283225;	0.036652083614845;	0.041094266976889;	0.044620521116571;	0.049416256497511;	0.053234727515738;	0.056410187585147;	0.059152075880269;	0.060916730568434;	0.062543192968019;	0.064759566967640;	0.067105970316797;	0.069756527694077;	0.072726163537882;	0.074343435201687;	0.076659806501171;	0.078127065833896;	0.079288265411808;	0.080326439843443;	0.081498928560969;	0.082686125803436;	0.083660560828877;	0.084828673435050;	0.085594558625870;	0.086343433062833;	0.086680180058387;	0.086550133188185;	0.086903262858840;	0.087251732794946;	0.087499971337696;	0.086783112494745;	0.086581290103153;	0.086150131417957;	0.085658230148399;	0.085163926383408;	0.084374481881795;	0.083535048320214;	0.082521373026599;	0.081094214337034;	0.079388038815082;	0.077084762923874;	0.074803758590683;	0.073130195912250;	0.072344441981957;	0.069609907486195;	0.136526188181006;	0.000000000000000
0.785367425121982;	0.103849001357184;	0.000183710854876;	0.000159946491991;	0.002371104799551;	0.001291400408406;	0.000320441787490;	0.003907966618745;	0.004958869330992;	0.003028823876058;	0.004954680296217;	0.000788623042319;	0.000447473510778;	0.000414138298733;	0.000475527967828;	0.000688290798202;	0.001423466557577;	0.001796745204595;	0.002217059220615;	0.002945019330445;	0.003278763619056;	0.005122099625508;	0.006981903607154;	0.007217348394670;	0.008566183637909;	0.012553056872116;	0.015818489349524;	0.016748568891321;	0.019844389413980;	0.024596565346455;	0.027886826495803;	0.033120457916242;	0.034963341612334;	0.036219976940094;	0.039850695244706;	0.044656091496957;	0.048460364275789;	0.053629055617508;	0.057747682095761;	0.061169470342210;	0.064122765969369;	0.066031159161402;	0.067721415911965;	0.069992273382440;	0.072508125136033;	0.075351904057455;	0.078535620269572;	0.080271678304186;	0.082741753854515;	0.084298297408459;	0.085530377086203;	0.086631528254838;	0.087881709942996;	0.089147846072134;	0.090190375620485;	0.091443184867144;	0.092264579918294;	0.093070116223110;	0.093345698548788;	0.093232180055439;	0.093630860047772;	0.094024580170290;	0.094315643186671;	0.093586037210272;	0.093402691851510;	0.092974213599509;	0.092474938184982;	0.091981571841820;	0.091177082953559;	0.090321621004666;	0.089288623311902;	0.087830163200295;	0.086089479630343;	0.083727154979909;	0.081393843877076;	0.079707667989340;	0.079012276060816;	0.075902044807769;	0.146622906739521;	0.000000000000000
0.826295957669236;	0.118046335503616;	0.000269087890583;	0.000186802394083;	0.002428975418478;	0.004266880864235;	0.000912567136073;	0.004367691236702;	0.005250201513537;	0.003314908238720;	0.005221291750056;	0.001520505696588;	0.000853584973625;	0.000741665035148;	0.000784296012478;	0.001084021542224;	0.001980611658017;	0.002347819821208;	0.002845078898935;	0.003620173551423;	0.003996257631216;	0.005949641348459;	0.008045654283321;	0.008253032675323;	0.009624476799340;	0.014026242751722;	0.017569169713282;	0.018579016556527;	0.021871233198622;	0.027040749481407;	0.030607169900316;	0.036318163300104;	0.038248105302164;	0.039481750819229;	0.043410434651305;	0.048608780076937;	0.052711157411640;	0.058279757761197;	0.062721489049862;	0.066407342052698;	0.069588775942181;	0.071653189900485;	0.073401826997188;	0.075714016159274;	0.078410772585362;	0.081462010761029;	0.084876084364245;	0.086742570646599;	0.089379874301174;	0.091036342219994;	0.092348883516486;	0.093521299975281;	0.094857386177596;	0.096208694941668;	0.097323938174904;	0.098665394303484;	0.099540579420273;	0.100397967703590;	0.100619920124931;	0.100509107764850;	0.100938296905606;	0.101362896375407;	0.101685819981652;	0.100937822339031;	0.100776529961708;	0.100387838864459;	0.099905557883585;	0.099448877484663;	0.098670411936377;	0.097837764445726;	0.096816695892649;	0.095341713630907;	0.093564096789380;	0.091120679346738;	0.088690155150606;	0.086927624790136;	0.086264087939945;	0.082718981391022;	0.156891742030456;	0.000000000000000
0.850000810264130;	0.134038000180416;	0.000592631870089;	0.000286014325746;	0.002629421237650;	0.004510359843104;	0.003024330432852;	0.005685011469550;	0.005973144554852;	0.004042245968163;	0.005792505812605;	0.002116574881001;	0.001725874374599;	0.001379035810323;	0.001361434583786;	0.001784255128869;	0.002870648980123;	0.003173847904815;	0.003761371388186;	0.004598870384007;	0.005027558292678;	0.007054579347275;	0.009431415102483;	0.009571778079721;	0.010921895980801;	0.015797224664667;	0.019640279736473;	0.020731838117593;	0.024216835357381;	0.029842242042657;	0.033704961528472;	0.039938193335906;	0.041949608918967;	0.043123623657792;	0.047371490488625;	0.052991391285392;	0.057409831429260;	0.063402477518525;	0.068187447143521;	0.072151599370430;	0.075574362231410;	0.077803915147015;	0.079606131438038;	0.081936034868902;	0.084819569762302;	0.088085709906150;	0.091738068416616;	0.093737414403028;	0.096542523207861;	0.098296111559321;	0.099685093560047;	0.100923102063847;	0.102339211118354;	0.103770005256522;	0.104955156164564;	0.106388048459606;	0.107323003217631;	0.108244374847577;	0.108447096170006;	0.108361776106400;	0.108846379935836;	0.109326804848741;	0.109703434025594;	0.108951317500760;	0.108813653035293;	0.108429426143337;	0.107922200675486;	0.107448939386963;	0.106635635197849;	0.105762563644062;	0.104701818270129;	0.103184990761384;	0.101366777120414;	0.098859637604725;	0.096371138203587;	0.094596160036956;	0.094043376609006;	0.090076754345314;	0.167439963694764;	0.000000000000000
0.879808791199236;	0.152123073435246;	0.001821397233205;	0.000653681812508;	0.003153061111716;	0.005182700547479;	0.003266201112902;	0.009875851506493;	0.007750655523820;	0.005858290401535;	0.007032176980873;	0.003049599846738;	0.002783963626287;	0.002746060974695;	0.002438055922979;	0.003016286777518;	0.004304631691808;	0.004446997708181;	0.005141359971164;	0.006033106479206;	0.006524205235792;	0.008571846312061;	0.011284949985303;	0.011278217724924;	0.012539621772060;	0.017959274155400;	0.022126418338298;	0.023277770443797;	0.026948069272994;	0.033069446224413;	0.037248655191125;	0.044051200377275;	0.046116244631287;	0.047188285672202;	0.051773405920173;	0.057839318358205;	0.062587073398604;	0.069022624994389;	0.074165482052903;	0.078415738530833;	0.082087145644506;	0.084485292670580;	0.086312304500294;	0.088626633185283;	0.091694992141505;	0.095177959851248;	0.099073365862603;	0.101210077212716;	0.104190041516965;	0.106050297103294;	0.107528133551695;	0.108844684996058;	0.110353561418844;	0.111872935906285;	0.113133041602184;	0.114657474800636;	0.115641340557775;	0.116606787810583;	0.116793237513495;	0.116697501288816;	0.117198723397385;	0.117699432200432;	0.118102631894724;	0.117335312744074;	0.117229044922197;	0.116720362983491;	0.116215918335219;	0.115772564976966;	0.114986013489516;	0.114137655966508;	0.113105885775668;	0.111613388505760;	0.109817722216550;	0.107308565983084;	0.104821164156962;	0.103096535829133;	0.102724259471497;	0.098428669686705;	0.178783144749722;	0.000000000000000
0.901624720607270;	0.172168037934318;	0.006499118020119;	0.002020084297044;	0.004975420976386;	0.007196097406752;	0.003832757943076;	0.010551160380554;	0.012594164467214;	0.011061238396499;	0.009676635877399;	0.004646772330753;	0.004314331853476;	0.004037629345622;	0.004575797284212;	0.005363864631521;	0.006639025918348;	0.006425677415669;	0.007249680961306;	0.008180315124918;	0.008733694935681;	0.010736959272498;	0.013856634318885;	0.013536436700890;	0.014615750496706;	0.020677232651161;	0.025206126615765;	0.026326324060834;	0.030167870366965;	0.036832511239885;	0.041354495039782;	0.048782242358865;	0.050799738251914;	0.051721292996670;	0.056660966684824;	0.063196680752705;	0.068288961368321;	0.075191976291982;	0.080716141995270;	0.085269479279651;	0.089209483279673;	0.091793670685171;	0.093543008389134;	0.095812375559562;	0.099067519236282;	0.102770335678943;	0.106910308791849;	0.109180599097190;	0.112324472179059;	0.114274562893894;	0.115821102406799;	0.117194642211731;	0.118775172308279;	0.120363225579942;	0.121686927811016;	0.123304178094488;	0.124351085319776;	0.125390102212856;	0.125609050482175;	0.125551611254111;	0.126133695136992;	0.126727994206410;	0.127234967072276;	0.126532051901871;	0.126536233527117;	0.125641261324532;	0.125194203733136;	0.124839904486869;	0.124142883925750;	0.123380762018731;	0.122444204134038;	0.121049278940913;	0.119353876221879;	0.116922367716938;	0.114518062481033;	0.112943766819817;	0.112863139837964;	0.108282230489820;	0.191346628194359;	0.000000000000000
0.917795493579613;	0.194226070647539;	0.024342506636003;	0.007117384897102;	0.006829289338000;	0.008508646606166;	0.005669558750750;	0.012098564962044;	0.013839425744320;	0.012288409090466;	0.016110554943996;	0.007656324597034;	0.007040688814950;	0.005865144863688;	0.006821838560647;	0.007335594050289;	0.010127422382388;	0.009604659456366;	0.010592100402205;	0.011342304323883;	0.011956305180618;	0.013914875110298;	0.017530308779655;	0.016657677194613;	0.017386240292166;	0.024225775809300;	0.029158333710405;	0.030063309171269;	0.034078345710982;	0.041359383950236;	0.046269550669267;	0.054401581043660;	0.056147062460642;	0.056858132600394;	0.062182127030112;	0.069224485371364;	0.074687171380048;	0.082094265357740;	0.088031534220926;	0.092903020301126;	0.097123223271313;	0.099893122605680;	0.101295563812363;	0.103471487336921;	0.106904427547571;	0.110822802735971;	0.115207695888799;	0.117618621670373;	0.120939415109514;	0.123002549812687;	0.124648970185318;	0.126123397996930;	0.127829240053339;	0.129539336277392;	0.130984894968471;	0.132758194801155;	0.133932141077614;	0.135110631350484;	0.135417455524738;	0.135447952262731;	0.136169050331287;	0.136917215760561;	0.137588293099349;	0.137010296363803;	0.137186604822839;	0.135582360925889;	0.135255495331402;	0.135059634872732;	0.134526331704633;	0.133922016291885;	0.133156891507748;	0.131940500296629;	0.130425658341237;	0.128147833742357;	0.125900648122990;	0.124572837184081;	0.124881864294646;	0.120213713179946;	0.205509390538912;	0.000000000000000
