0.025674766724339;	0.011261768904847;	0.011622440611043;	0.011702510547168;	0.011745597798550;	0.011770424999201;	0.011777268267757;	0.011791409547094;	0.027700250453646;	0.044485922743307;	0.028111893291835;	0.026921485208393;	0.028046545678110;	0.011468947205177;	0.011448010181498;	0.011373220542799;	0.011285253434279;	0.011219844520541;	0.011150913505408;	0.011080538565630;	0.011014572264222;	0.011494231567904;	0.011416593629183;	0.011408862284806;	0.011368432805560;	0.011333591206608;	0.011311790728836;	0.011287869633264;	0.011276879308592;	0.011267435076139;	0.011189345197136;	0.011148939605712;	0.011145590129349;	0.011096282514049;	0.011050764117562;	0.011034125153869;	0.011018818977160;	0.010989462120125;	0.010968459780855;	0.010923845042027;	0.010869170833423;	0.010816873138060;	0.010782415348880;	0.010764522260066;	0.010730981540075;	0.010683277207354;	0.010644249691806;	0.010599350072957;	0.010517885336717;	0.010448456671603;	0.010391917784984;	0.010321188805157;	0.010276203117771;	0.010223213876956;	0.010147405524301;	0.010075369205940;	0.009993820760901;	0.009910552465837;	0.009818845670685;	0.009716373837285;	0.009619708813630;	0.009516906910448;	0.009407231041328;	0.009284497710560;	0.009148888026811;	0.008991938098636;	0.008840265136591;	0.008699388445928;	0.008530712204123;	0.008343923825770;	0.008151222338101;	0.007958683416853;	0.007764829393917;	0.007560198352874;	0.007344097363609;	0.007120466305371;	0.006900645373685;	0.006668916637977;	0.006419290476458;	0.006162871085887;	0.005901943784133;	0.005638056263454;	0.005370179440342;	0.005094283482338;	0.004813573543107;	0.004520772549380;	0.004225099870839;	0.003939678275405;	0.003648382668499;	0.003348276520970;	0.003057133249222;	0.002777499544517;	0.002494925709164;	0.002222974764342;	0.001976203335191;	0.001726292316523;	0.001488734577672;	0.001215027256969;	0.000413273466130;	0.000322946782590
0.025674770285264;	0.011261770912260;	0.011622442959506;	0.011702512972110;	0.011745600283006;	0.011770427585013;	0.011777270949342;	0.011791412323129;	0.027700253339490;	0.044485925686574;	0.028111896322718;	0.026921488293390;	0.028046548783053;	0.011468950401311;	0.011448013444816;	0.011373223849743;	0.011285256772375;	0.011219847887152;	0.011150916906716;	0.011080541978332;	0.011014575702878;	0.011494232684295;	0.011416594768024;	0.011408863438198;	0.011368433985448;	0.011333592408393;	0.011311791946915;	0.011287870883279;	0.011276880598436;	0.011267436390851;	0.011189346528608;	0.011148940960653;	0.011145591516540;	0.011096283924760;	0.011050765543428;	0.011034126611167;	0.011018820466467;	0.010989463645846;	0.010968461322033;	0.010923846583335;	0.010869172394832;	0.010816874722873;	0.010782416956921;	0.010764523898970;	0.010730983204861;	0.010683278885810;	0.010644251384691;	0.010599351777133;	0.010517887052984;	0.010448458415910;	0.010391919554386;	0.010321190599468;	0.010276204946768;	0.010223215746073;	0.010147407436831;	0.010075371167404;	0.009993822761233;	0.009910554503718;	0.009818847757753;	0.009716375975973;	0.009619711007170;	0.009516909158871;	0.009407233339012;	0.009284500046543;	0.009148890392785;	0.008991940474597;	0.008840267519710;	0.008699390836135;	0.008530714588654;	0.008343926200326;	0.008151224700175;	0.007958685759378;	0.007764831716161;	0.007560200650865;	0.007344099634694;	0.007120468553499;	0.006900647575825;	0.006668918784150;	0.006419292568218;	0.006162873120426;	0.005901945766679;	0.005638058192432;	0.005370181321237;	0.005094285313035;	0.004813575318390;	0.004520774268145;	0.004225101533095;	0.003939679880553;	0.003648384210894;	0.003348277990592;	0.003057134644284;	0.002777500865684;	0.002494926947626;	0.002222975913327;	0.001976204399750;	0.001726293282041;	0.001488735426891;	0.001215027971583;	0.000413273719938;	0.000392463986756
0.025674774176623;	0.011261772741117;	0.011622445027354;	0.011702515043896;	0.011745602338668;	0.011770429651464;	0.011777273025108;	0.011791414370917;	0.027700255380375;	0.044485927707786;	0.028111898329980;	0.026921490272861;	0.028046550711918;	0.011468952324242;	0.011448015360361;	0.011373225754627;	0.011285258661300;	0.011219849764727;	0.011150918782165;	0.011080543841938;	0.011014577554897;	0.011494235127541;	0.011416597232222;	0.011408865904828;	0.011368436478863;	0.011333594915685;	0.011311794453212;	0.011287873418210;	0.011276883176792;	0.011267438978766;	0.011189349108482;	0.011148943543690;	0.011145594118707;	0.011096286528678;	0.011050768133612;	0.011034129217270;	0.011018823089375;	0.010989466293309;	0.010968463958421;	0.010923849184177;	0.010869174995285;	0.010816877329396;	0.010782419570046;	0.010764526531152;	0.010730985847811;	0.010683281520000;	0.010644254010259;	0.010599354387776;	0.010517889646676;	0.010448461008127;	0.010391922136359;	0.010321193167111;	0.010276207508423;	0.010223218301816;	0.010147409978049;	0.010075373688146;	0.009993825239277;	0.009910556927971;	0.009818850132361;	0.009716378295463;	0.009619713274065;	0.009516911370446;	0.009407235487685;	0.009284502125256;	0.009148892401164;	0.008991942427414;	0.008840269422544;	0.008699392693991;	0.008530716397252;	0.008343927962461;	0.008151226420315;	0.007958687438974;	0.007764833360646;	0.007560202263072;	0.007344101217896;	0.007120470114912;	0.006900649103359;	0.006668920273583;	0.006419294029085;	0.006162874550681;	0.005901947167609;	0.005638059561250;	0.005370182655679;	0.005094286602154;	0.004813576554072;	0.004520775447058;	0.004225102651725;	0.003939680937307;	0.003648385201991;	0.003348278911264;	0.003057135496127;	0.002777501652345;	0.002494927668048;	0.002222976568178;	0.001976204996464;	0.001726293816350;	0.001488735892848;	0.001215028361706;	0.000413273858559;	0.000416619216741
0.025674779090495;	0.011261774935424;	0.011622447406425;	0.011702517395871;	0.011745604654506;	0.011770431974756;	0.011777275362111;	0.011791416674217;	0.027700257670837;	0.044485930010922;	0.028111900660137;	0.026921492611004;	0.028046553035498;	0.013852517659799;	0.011448017752063;	0.011373228172123;	0.011285261103295;	0.011219852221916;	0.011150921273146;	0.011080546345867;	0.011014580068081;	0.011494237629772;	0.011416599742624;	0.011408868405834;	0.011368438999450;	0.011333597443477;	0.011311796971213;	0.011287875959886;	0.011276885757221;	0.011267441567396;	0.011189351689220;	0.011148946131582;	0.011145596729699;	0.011096289147708;	0.011050770746586;	0.011034131853800;	0.011018825753131;	0.010989468992682;	0.010968466659018;	0.010923851862336;	0.010869177685105;	0.010816880036340;	0.010782422294431;	0.010764529284454;	0.010730988619747;	0.010683284288882;	0.010644256774374;	0.010599357139097;	0.010517892380662;	0.010448463736833;	0.010391924851090;	0.010321195864956;	0.010276210197031;	0.010223220977913;	0.010147412636307;	0.010075376328840;	0.009993827846795;	0.009910559497653;	0.009818852676440;	0.009716380816865;	0.009619715778599;	0.009516913863002;	0.009407237969018;	0.009284504592558;	0.009148894856257;	0.008991944870768;	0.008840271859117;	0.008699395129323;	0.008530718822611;	0.008343930376425;	0.008151228822575;	0.007958689823730;	0.007764835727175;	0.007560204605945;	0.007344103531885;	0.007120472399841;	0.006900651333135;	0.006668922435024;	0.006419296117596;	0.006162876560024;	0.005901949100330;	0.005642277913813;	0.005386122916435;	0.005120750188950;	0.004846013831590;	0.004555507551604;	0.004261135061020;	0.003976219378599;	0.003684711819747;	0.003383741005579;	0.003091452609001;	0.002810592328911;	0.002526621415674;	0.002253277569423;	0.002005391451865;	0.001753925815957;	0.001514385671597;	0.001237423086985;	0.000421929567869;	0.000438869223021
0.025674784866139;	0.011261777338577;	0.011622449823543;	0.011702519738049;	0.011745606973047;	0.011770434344469;	0.011777277788425;	0.011791419090397;	0.027700260096008;	0.044485932457875;	0.028111903161775;	0.026921495133528;	0.028046555550915;	0.013852520225217;	0.011448020346609;	0.011373230785804;	0.011285263743687;	0.011219854864496;	0.011150923942869;	0.011080549017529;	0.011014582751747;	0.011494240308473;	0.011416602436245;	0.011408871096337;	0.011368441719739;	0.011333600180546;	0.011311799701557;	0.011287878723520;	0.011276888564961;	0.011267444391778;	0.011189354509602;	0.011148948959258;	0.011145599581764;	0.011096292005649;	0.011050773591462;	0.011034134716735;	0.011018828632116;	0.010989471892790;	0.010968469541944;	0.010923854701949;	0.010869180513981;	0.010816882860004;	0.010782425113636;	0.010764532111744;	0.010730991446358;	0.010683287095799;	0.010644259563804;	0.010599359907143;	0.010517895127598;	0.010448466485941;	0.010391927599347;	0.010321198610194;	0.010279266741724;	0.010237979989041;	0.010174546956134;	0.010112748342194;	0.010038224699138;	0.009960908046782;	0.009874381004454;	0.009776214908529;	0.009683225391181;	0.009583544110562;	0.009476447218132;	0.009355873311422;	0.009222219371341;	0.009067184076538;	0.008917555193791;	0.008778734756533;	0.008611736496282;	0.008426522806232;	0.008235364344759;	0.008044179319907;	0.007851676926492;	0.007648227809428;	0.007433161629672;	0.007210754041186;	0.006991403666526;	0.006759679965131;	0.006509972831591;	0.006253284370948;	0.005992264201170;	0.005731529349656;	0.005473775125592;	0.005207462742935;	0.004932150834334;	0.004641248474850;	0.004346371280333;	0.004060877457491;	0.003768437638654;	0.003465911320114;	0.003171945880836;	0.002889489421948;	0.002603634674498;	0.002328518550363;	0.002079691378768;	0.001826841238267;	0.001586544405524;	0.001304207423833;	0.000451316329701;	0.000459828853846
0.025674792172420;	0.011261780278498;	0.011622452723000;	0.011702522449159;	0.011745609587677;	0.011782442369223;	0.011777280471267;	0.011791421779289;	0.027700262786522;	0.044485935136980;	0.028111905871900;	0.026921497867544;	0.028046558259722;	0.013852522975516;	0.014876692722263;	0.011373233589126;	0.011285266576508;	0.011230429469540;	0.011188666839229;	0.011139737482524;	0.011083538502688;	0.011526173289053;	0.011454707629694;	0.011452671043827;	0.011417786870159;	0.011388014848064;	0.011370739537318;	0.011351589851643;	0.011345594877318;	0.011340267334194;	0.011265538070063;	0.011228652383727;	0.011229387082508;	0.011183628069950;	0.011140864518798;	0.011127821075650;	0.011116341399356;	0.011091040024161;	0.011072961800018;	0.011030294691907;	0.010978507165579;	0.010929199536019;	0.010897813336180;	0.010883600094676;	0.010853423101092;	0.010808358863032;	0.010772035946919;	0.010729288088782;	0.010649529247714;	0.010582664355068;	0.010528478143735;	0.010459848625447;	0.010417955820091;	0.010370076768904;	0.010300064109827;	0.010234172289234;	0.010157616683862;	0.010079075527185;	0.009992629365195;	0.009895360006462;	0.009804212283151;	0.009707003300236;	0.009602660863798;	0.009484894812682;	0.009353957244810;	0.009201260656482;	0.009054152180827;	0.008918228778079;	0.008753707681895;	0.008570950405093;	0.008382395309611;	0.008193767301864;	0.008004089162757;	0.007803428570392;	0.007591055870839;	0.007371891802190;	0.007154941601524;	0.006924987006368;	0.006676840540217;	0.006421449014983;	0.006162199979721;	0.005902468818890;	0.005644365253668;	0.005377517289797;	0.005103471574228;	0.004816514512905;	0.004527983383230;	0.004251980335717;	0.003971684680999;	0.003682745044788;	0.003403747901976;	0.003136353310151;	0.002861984266776;	0.002593439115861;	0.002344919483753;	0.002081073666723;	0.001824808851278;	0.001498075110119;	0.000525434123401;	0.000480282193028
0.034856522403249;	0.011356008408702;	0.011730360064582;	0.011813909060165;	0.011860092948787;	0.011901668540906;	0.011927978123787;	0.011920473825765;	0.027834206337871;	0.044622889812963;	0.028253596231412;	0.027067124235722;	0.028193914159339;	0.014025570841182;	0.015033358598457;	0.015234715825601;	0.011449195021346;	0.011387048408198;	0.011321422116342;	0.011254013151303;	0.011191366275531;	0.011642701629375;	0.011568142594753;	0.011563190172447;	0.011526303632345;	0.011494614990392;	0.011475590572758;	0.011455937030692;	0.011450498891623;	0.011445211240876;	0.011370085141732;	0.011333597041515;	0.011335999101898;	0.011291726328011;	0.011249933296787;	0.011239241787323;	0.011230860442204;	0.011209284250594;	0.011194125330859;	0.011153742642233;	0.011105532852644;	0.011060223523203;	0.011033293470678;	0.011024526714768;	0.010999694811220;	0.010959419639197;	0.010928255552776;	0.010890285593254;	0.010814785907090;	0.010753041192371;	0.010703945530227;	0.010640267637692;	0.010603954599199;	0.010561194005338;	0.010495213272717;	0.010433209620183;	0.010359674658374;	0.010283707357968;	0.010200420700216;	0.010106407463154;	0.010018980083523;	0.009925784965926;	0.009825434371093;	0.009711432722764;	0.009583818465728;	0.009433539814286;	0.009289141788075;	0.009156653356542;	0.008995037584579;	0.008815665470385;	0.008631414146674;	0.008447772891047;	0.008264528771942;	0.008071648898472;	0.007868728297827;	0.007662394919811;	0.007460818902948;	0.007249522669366;	0.007023092889404;	0.006793042195421;	0.006563880883748;	0.006336838938291;	0.006111465699403;	0.005872665292704;	0.005620367413174;	0.005346257530098;	0.005059328029086;	0.004774893946868;	0.004474013046020;	0.004152041184817;	0.003831994665580;	0.003518205888377;	0.003193641414899;	0.002875844353780;	0.002581896557812;	0.002275471147122;	0.001985185409750;	0.001617721441998;	0.000569003734228;	0.000502074860243
0.035047996396208;	0.011442041560645;	0.011822150495423;	0.011904340755612;	0.011948690211045;	0.011990160591984;	0.012015280683039;	0.012021318135468;	0.027917946362982;	0.044706267806274;	0.028337784774666;	0.027152015593971;	0.028278722974232;	0.014111939472847;	0.015153922419845;	0.015330696691162;	0.016320033228382;	0.011499923880068;	0.011462221263420;	0.011414289647186;	0.011361419293796;	0.011781713404799;	0.011714881982989;	0.011717234268788;	0.011687704415632;	0.011662489466899;	0.011648855655729;	0.011635471859123;	0.011637046679867;	0.011637185910994;	0.011565384269892;	0.011532602520828;	0.011540373455808;	0.011500333355782;	0.011460696329091;	0.011453800659099;	0.011450061530598;	0.011433565992268;	0.011421642437093;	0.011382953015792;	0.011337891149580;	0.011296006127013;	0.011273057842147;	0.011269662976003;	0.011249789680350;	0.011213542891381;	0.011187031439208;	0.011152991859725;	0.011080411756554;	0.011023762824392;	0.010980352440292;	0.010922003916952;	0.010891952185796;	0.010855495390518;	0.010795336705010;	0.010739611488451;	0.010671429701227;	0.010600444956206;	0.010523029442641;	0.010435361706104;	0.010355691141478;	0.010271983251361;	0.010183197578076;	0.010083414590101;	0.009973008598119;	0.009841978503968;	0.009721442542801;	0.009619053184823;	0.009490731707776;	0.009348654675366;	0.009205654041011;	0.009065898758559;	0.008928801661450;	0.008780676338823;	0.008617775409169;	0.008445857093768;	0.008269579062918;	0.008072285797178;	0.007843171238085;	0.007596404895219;	0.007340292356319;	0.007070367194777;	0.006787585391843;	0.006486828946944;	0.006172966529565;	0.005839272257017;	0.005496449374085;	0.005162614950813;	0.004817535999168;	0.004455601439994;	0.004100815495623;	0.003758107825082;	0.003406794106396;	0.003064807434881;	0.002749214543067;	0.002421078602119;	0.002112264872064;	0.001717254799259;	0.000606328497334;	0.000525070886021
0.041813970981709;	0.011622630048527;	0.012013454329048;	0.012096653107130;	0.012144087609693;	0.012193022549723;	0.012227916913499;	0.012236613322631;	0.028158293888919;	0.044928665067438;	0.028566032492782;	0.027385718420888;	0.028512986441865;	0.014366849536529;	0.015408111863175;	0.015608566738972;	0.016594308970443;	0.017313970665916;	0.018502090402489;	0.011657409005285;	0.011608027052078;	0.012016560987454;	0.011952496163952;	0.011958408654273;	0.011933039700256;	0.011911738864986;	0.011901744375723;	0.011893539822095;	0.011901911766341;	0.011908122058360;	0.011839834499009;	0.011811188701411;	0.011826429056025;	0.011792903968498;	0.011756991693384;	0.011755736450485;	0.011759451378058;	0.011751050249105;	0.011745143319611;	0.011710574485852;	0.011670974743280;	0.011634571214271;	0.011618007152434;	0.011622850747599;	0.011610852366160;	0.011581769152076;	0.011563846908959;	0.011538075261525;	0.011472712186904;	0.011426161526649;	0.011395518066949;	0.011351918401573;	0.011340845931471;	0.011327077103312;	0.011293110794258;	0.011269251339179;	0.011237279326368;	0.011207588633673;	0.011176931358781;	0.011139347813021;	0.011113164484487;	0.011084223261515;	0.011048403915636;	0.010997796879485;	0.010930029689416;	0.010826316728308;	0.010723443512229;	0.010632984679823;	0.010502109887563;	0.010345075187490;	0.010175604422122;	0.010000060204527;	0.009821150609285;	0.009624450577758;	0.009407612627853;	0.009180774942917;	0.008950026750827;	0.008700303049694;	0.008419741400378;	0.008125683473559;	0.007828802346707;	0.007522406131575;	0.007207751150493;	0.006877963919608;	0.006539099194603;	0.006182035875827;	0.005816571829799;	0.005461760331267;	0.005096087260128;	0.004713077353571;	0.004337888322678;	0.003975831440013;	0.003604713447674;	0.003243408371446;	0.002909454561908;	0.002561716270816;	0.002235540884849;	0.001814045007870;	0.000642494155624;	0.000601953695870
0.043932089678844;	0.011843836190728;	0.012244532272925;	0.012326705891674;	0.012370188757125;	0.012421484084709;	0.012462269482200;	0.012475505681341;	0.028403398357003;	0.045204803152412;	0.028857411315428;	0.027651744030737;	0.028782666280317;	0.014654076049972;	0.015715933317097;	0.015924761431010;	0.016930536222146;	0.017667002926023;	0.018871415207891;	0.019785381463834;	0.011934615757196;	0.012328919039676;	0.012269917909327;	0.012282274682228;	0.012263540064966;	0.012248480306157;	0.012244225579405;	0.012242822565475;	0.012259946585881;	0.012274792373106;	0.012210998663570;	0.012187136906816;	0.012212476016752;	0.012188570131004;	0.012158875718445;	0.012166422867014;	0.012183378494194;	0.012190634903333;	0.012200979169347;	0.012184020032723;	0.012165497189228;	0.012153775500430;	0.012167967851142;	0.012210424613631;	0.012239461705681;	0.012254953536645;	0.012287766231813;	0.012314868286293;	0.012299096075228;	0.012303955076208;	0.012328820794022;	0.012338242251857;	0.012379715040988;	0.012414363013346;	0.012418551452216;	0.012424124166094;	0.012411275566361;	0.012389609274996;	0.012354744873173;	0.012299315998166;	0.012241313187628;	0.012172495785120;	0.012091077337533;	0.011990821163154;	0.011871256030479;	0.011709735962310;	0.011551887321885;	0.011415190035242;	0.011240094139082;	0.011042976240915;	0.010837873209459;	0.010629681942920;	0.010423180723482;	0.010201687804108;	0.009961726247832;	0.009714142074236;	0.009463616676056;	0.009194925088589;	0.008894578711242;	0.008580755648700;	0.008265691910029;	0.007940240970852;	0.007606440072796;	0.007256893926816;	0.006897933717588;	0.006520046491964;	0.006133208157811;	0.005757592554867;	0.005370954514858;	0.004966175078268;	0.004569732074483;	0.004187623202432;	0.003796262281126;	0.003415535581386;	0.003063508267164;	0.002696857936642;	0.002354112362366;	0.001907709725415;	0.000677905630980;	0.000688716488205
