0.127061685995440;	0.020771176478234;	0.001207103109370;	0.001109583092735;	0.001084108050266;	0.001033714197278;	0.001069129873386;	0.001125526273579;	0.048599700677753;	0.068332312427955;	0.043108496366093;	0.038956300828106;	0.034653568356194;	0.000998369466283;	0.001410593505362;	0.001465877848617;	0.001671003455697;	0.001952775406061;	0.002265881890722;	0.002730875314998;	0.003369728023957;	0.004045019560589;	0.003932971534305;	0.004626987979452;	0.005672444675714;	0.006208270476748;	0.006609937451962;	0.007152243403158;	0.008313061830417;	0.009300489514243;	0.009155656457767;	0.009749689840294;	0.010831397103202;	0.011569420281679;	0.011697784618839;	0.012119115463827;	0.012954153433255;	0.013739102674040;	0.014184646233430;	0.014455896641954;	0.014805688893131;	0.015245456026646;	0.015572256865206;	0.016212144598979;	0.016764498282435;	0.017034859235556;	0.017413119191249;	0.017734247929113;	0.017838477440770;	0.018077740560676;	0.018444162772627;	0.018622679155233;	0.018925673508715;	0.019274015534674;	0.019521943272074;	0.019771845121614;	0.019931684678038;	0.020045056720607;	0.020240547907741;	0.020353348559854;	0.020495821702551;	0.020635254596030;	0.020757945476374;	0.020875493623327;	0.020942643707794;	0.020952798821862;	0.020991186492991;	0.021046090519414;	0.021027514663839;	0.021015112564494;	0.021027976093003;	0.020988772237474;	0.020978891733274;	0.020957878041315;	0.020925069260607;	0.020902327701092;	0.020834324965784;	0.020750008337205;	0.020664291022816;	0.020504912235346;	0.020385785165202;	0.020255649076761;	0.020124678149536;	0.019949201355731;	0.019748638596087;	0.019536663799203;	0.019297590467616;	0.019046376118936;	0.018775875993924;	0.018464456101226;	0.018122711855313;	0.017740730937935;	0.017305614780563;	0.016875700147666;	0.016439923971194;	0.015976171259999;	0.015538881998879;	0.015067557207724;	0.023810783322814;	0.000000000000000
0.127807102198141;	0.021526477659351;	0.001207946423074;	0.001109975561557;	0.001084542318225;	0.001035730623417;	0.001073318327213;	0.001130406599212;	0.048604314162960;	0.068335670727813;	0.043114729364252;	0.038968235726252;	0.034663076883751;	0.001017198107677;	0.001435220725393;	0.001499178831423;	0.001715412128134;	0.002008458835044;	0.002341533356922;	0.002824433933948;	0.003490075793029;	0.004089249362261;	0.003982352645316;	0.004676548646794;	0.005741920270208;	0.006287902610278;	0.006686331733742;	0.007241621722385;	0.008428954062377;	0.009424523135684;	0.009276614381410;	0.009885946717950;	0.010984386453556;	0.011730938176064;	0.011860836647905;	0.012294891480112;	0.013145701945526;	0.013948256164432;	0.014400446633422;	0.014672432976093;	0.015032121652569;	0.015486258384675;	0.015823228170611;	0.016480542929579;	0.017049543725251;	0.017329303478122;	0.017719033743525;	0.018052151857322;	0.018167432363123;	0.018422297521628;	0.018805384548272;	0.018997360541383;	0.019317520672409;	0.019684181928164;	0.019948584643842;	0.020215111973666;	0.020388208607618;	0.020513329125268;	0.020723954045729;	0.020849738456519;	0.021005814468357;	0.021158654687211;	0.021293639383970;	0.021422300681787;	0.021498332253151;	0.021513011327170;	0.021556307551609;	0.021616140843489;	0.021600314159815;	0.021591444311115;	0.021609283043816;	0.021573346323124;	0.021568311680207;	0.021552323374898;	0.021524958880215;	0.021508822585511;	0.021445379431369;	0.021365330854573;	0.021284033530982;	0.021126940861251;	0.021012198267802;	0.020887271219614;	0.020764053751805;	0.020595414550194;	0.020399642821772;	0.020191403026427;	0.019955061549954;	0.019705407456170;	0.019435037797124;	0.019121251693801;	0.018774936006867;	0.018385859003852;	0.017939893871970;	0.017498565824045;	0.017051974606330;	0.016575154748557;	0.016123560113169;	0.015638747611944;	0.024685104273500;	0.000000000000000
0.128582391667743;	0.022117787360934;	0.001208596717912;	0.001110270015233;	0.001084862800452;	0.001038225642078;	0.001076820791829;	0.001133832038862;	0.048609115550686;	0.068338439077919;	0.043119740910948;	0.038976835901631;	0.034669514425001;	0.001030011691657;	0.001452680971210;	0.001521821979513;	0.001744421200593;	0.002042892838016;	0.002386577461150;	0.002876763002156;	0.003554962623671;	0.004182072654919;	0.004084620958851;	0.004778395718074;	0.005882933166439;	0.006447771367925;	0.006838512184210;	0.007417941974129;	0.008655034317340;	0.009664895692790;	0.009509477206188;	0.010145925441134;	0.011273956957752;	0.012034569970105;	0.012165146027544;	0.012619787424742;	0.013496595206341;	0.014327161597922;	0.014787233084527;	0.015056721469905;	0.015428634426579;	0.015901326688242;	0.016248825693892;	0.016927314829095;	0.017514157781093;	0.017798526760845;	0.018194709558143;	0.018533518286047;	0.018651282112686;	0.018914389213786;	0.019305684025243;	0.019499185569971;	0.019823933075927;	0.020195448677386;	0.020461220762489;	0.020727976888905;	0.020896258264227;	0.021014136317611;	0.021220532547825;	0.021339508790632;	0.021491055054518;	0.021639474292111;	0.021769098511522;	0.021892411405309;	0.021962769887974;	0.021975307934264;	0.022018153628608;	0.022078023874738;	0.022060917388671;	0.022051666234149;	0.022070656791161;	0.022034990518367;	0.022031685001997;	0.022017612454534;	0.021992355726377;	0.021978831070578;	0.021915935456306;	0.021835528978254;	0.021755435025856;	0.021597043632544;	0.021481101187793;	0.021353085931493;	0.021223991666171;	0.021046675307973;	0.020841344622262;	0.020623677306855;	0.020377234145960;	0.020117364185411;	0.019836693358019;	0.019512268230602;	0.019155388996121;	0.018755636242666;	0.018298381130162;	0.017847011339980;	0.017392231754731;	0.016907281669921;	0.016448061215630;	0.015956872971184;	0.025176285601688;	0.000000000000000
0.129544860105362;	0.022785246687491;	0.001209417023260;	0.001110646094311;	0.001085284107835;	0.001044766510553;	0.001083989845496;	0.001138726559635;	0.048617293881091;	0.068343336671754;	0.043128151220545;	0.038989510289050;	0.034678233443724;	0.007339733815221;	0.001476909348978;	0.001552888370817;	0.001783718648245;	0.002089407527402;	0.002447452922034;	0.002946264455160;	0.003640843259780;	0.004274762769090;	0.004185676850425;	0.004880184436496;	0.006023557889907;	0.006607260894180;	0.006992614304144;	0.007596788208531;	0.008883254195422;	0.009909312484705;	0.009747690555731;	0.010412051353320;	0.011571008264765;	0.012347148977615;	0.012479167435874;	0.012954603367845;	0.013858101932300;	0.014716550904959;	0.015184132911239;	0.015450839294750;	0.015833952467043;	0.016323746165055;	0.016680283458434;	0.017378301848879;	0.017981152232240;	0.018268477978544;	0.018669793678089;	0.019013430089479;	0.019133470416214;	0.019405143265006;	0.019805776661415;	0.020003182412771;	0.020336379380496;	0.020718562868870;	0.020993724259969;	0.021270828952901;	0.021445792484039;	0.021569602211333;	0.021786891548318;	0.021915165574424;	0.022077402888104;	0.022236789698053;	0.022376672269237;	0.022509432717277;	0.022587378242739;	0.022605620581196;	0.022654144442748;	0.022718878358417;	0.022703094713886;	0.022694641648348;	0.022714534384101;	0.022676688267710;	0.022671604654831;	0.022654725496830;	0.022625939156287;	0.022608923529884;	0.022539655343811;	0.022452011818578;	0.022364022513451;	0.022195474759304;	0.022071378017063;	0.021999870535498;	0.022052655163606;	0.022050461178080;	0.021952767997475;	0.021785380314968;	0.021576054874629;	0.021342573622744;	0.021079583351172;	0.020764740350441;	0.020412316353396;	0.020013465408021;	0.019553979692271;	0.019104847165872;	0.018659011120392;	0.018181584973777;	0.017731098147244;	0.017249497897910;	0.027252453803831;	0.000000000000000
0.131008221926383;	0.023546828585151;	0.001210459092998;	0.001111087111213;	0.001085766565990;	0.001057413252973;	0.001100361807399;	0.001146170557067;	0.048627096790169;	0.068350886798062;	0.043141276285469;	0.039005488962872;	0.034688238600503;	0.007358815598729;	0.001504772380165;	0.001589143180656;	0.001830418187570;	0.002141519747972;	0.002515168899618;	0.003024529036022;	0.003735111342901;	0.004377346281287;	0.004295214481175;	0.004990416182422;	0.006174736451723;	0.006777846585941;	0.007157073628588;	0.007786504502721;	0.009124364856190;	0.010166661770223;	0.009997545537907;	0.010689566244404;	0.011879504847512;	0.012670711660693;	0.012803436893723;	0.013299737069758;	0.014230490180390;	0.015117845479989;	0.015593987120172;	0.015859286844374;	0.016255912450285;	0.016765888121882;	0.017135048762532;	0.017857290973959;	0.018481257717681;	0.018776536552503;	0.019188450729667;	0.019542612393289;	0.019669996476810;	0.019954291339027;	0.020368318722472;	0.020572944358705;	0.020947071762423;	0.021453851233529;	0.021855024906673;	0.022236218877817;	0.022479659365572;	0.022660788432715;	0.022935737546733;	0.023111253652865;	0.023319481744270;	0.023521828493630;	0.023700936379609;	0.023871347639169;	0.023983957769154;	0.024037129496309;	0.024123628153817;	0.024225300422201;	0.024239157226941;	0.024259969210331;	0.024311008323164;	0.024299158934179;	0.024323325944861;	0.024335649349266;	0.024336498052152;	0.024352436150499;	0.024312254331162;	0.024253718586264;	0.024199331890887;	0.024059622257910;	0.023971405529419;	0.023933817223022;	0.024014182833824;	0.024033058673400;	0.023960995160636;	0.023829211920100;	0.023656569637009;	0.023461684519015;	0.023238549034165;	0.022963614328393;	0.022655339247663;	0.022307828880207;	0.021912244719969;	0.021557684430571;	0.021247016049351;	0.020960596460733;	0.020789851135509;	0.020673147597987;	0.033667766108102;	0.000000000000000
0.132891292581016;	0.024291071829651;	0.001211853027757;	0.001111536605123;	0.001086240280207;	0.001616429489526;	0.001129167558814;	0.001161398849576;	0.048640057775227;	0.068362636954722;	0.043165429870093;	0.039027933635453;	0.034701497728889;	0.007383018619724;	0.010116500791574;	0.001634212306382;	0.001891294137424;	0.002215856279693;	0.002639089587136;	0.003188722447696;	0.003950844455403;	0.004545283986409;	0.004480379443137;	0.005191834606214;	0.006461659414807;	0.007115911115637;	0.007502046560031;	0.008195900651703;	0.009655517340479;	0.010761388739742;	0.010593663091415;	0.011365499385545;	0.012655350974836;	0.013512379649407;	0.013666800508604;	0.014229772448825;	0.015253284804659;	0.016238750461999;	0.016764354297997;	0.017052046009588;	0.017502261098896;	0.018082290849344;	0.018501888233840;	0.019309588597017;	0.020012437368147;	0.020350341720342;	0.020813871604277;	0.021214986251795;	0.021373978160891;	0.021706402670255;	0.022174146859065;	0.022413167429465;	0.022810158286498;	0.023277238624367;	0.023633718191042;	0.023997452698597;	0.024241201659037;	0.024429543768801;	0.024733524556791;	0.024940462681822;	0.025191710874027;	0.025444269870592;	0.025677432188700;	0.025905295322723;	0.026073241405771;	0.026179247239400;	0.026325228194942;	0.026491473839635;	0.026564588414568;	0.026648019243252;	0.026767800196478;	0.026820517480403;	0.026916313729053;	0.027001519692389;	0.027075636002892;	0.027169184450943;	0.027201351978899;	0.027215147982059;	0.027236759084407;	0.027167995503452;	0.027168320896204;	0.027209097211773;	0.027362495719827;	0.027511449443467;	0.027651245589387;	0.027813481357396;	0.028015558553553;	0.028287855294165;	0.028619115356792;	0.028967303755418;	0.029327511688378;	0.029646498541960;	0.029870976384045;	0.030046024197383;	0.030062136398544;	0.029940328045935;	0.029791792410741;	0.029413631317409;	0.047623475627273;	0.000000000000000
0.331624871302304;	0.026541401706111;	0.001218115026609;	0.001113479349744;	0.001088133707643;	0.001624651426331;	0.002202653085855;	0.001197069373810;	0.048680654095108;	0.068387500715900;	0.043219681637160;	0.039097617176191;	0.034744664383891;	0.009516264428871;	0.010230404952412;	0.010863515808876;	0.002083483431198;	0.002431385627705;	0.002883815047415;	0.003443045853672;	0.004249661083423;	0.004886902777759;	0.004824424029453;	0.005548258981133;	0.006930349115691;	0.007632260273731;	0.008003279593969;	0.008758660493164;	0.010346481895894;	0.011510465990203;	0.011321837736864;	0.012162482431964;	0.013548755615260;	0.014465018758122;	0.014629631259099;	0.015253278879663;	0.016368182416799;	0.017450932634059;	0.018027078559062;	0.018342132909663;	0.018850557251067;	0.019507167823167;	0.019986772332957;	0.020893492971162;	0.021690419072057;	0.022087908271853;	0.022624772551946;	0.023097120419611;	0.023310888917649;	0.023722204497977;	0.024282190927084;	0.024592826837254;	0.025082201532134;	0.025652966615595;	0.026098576167963;	0.026549994383052;	0.026865474706494;	0.027117443790768;	0.027499466804605;	0.027773657293149;	0.028098008704409;	0.028424461306291;	0.028730520862184;	0.029032708475024;	0.029269805534016;	0.029439942003397;	0.029661030425550;	0.029914815301204;	0.030075504986658;	0.030264540183654;	0.030516792676567;	0.030721478917668;	0.031013226445166;	0.031341194658849;	0.031714371684350;	0.032178888780496;	0.032652960683133;	0.033190819359068;	0.033811206704864;	0.034394163243852;	0.035118934401543;	0.035936496124597;	0.036860508410950;	0.037653861663778;	0.038296550994445;	0.038804394868901;	0.039161317844095;	0.039407869420025;	0.039516067185523;	0.039457643572751;	0.039264979101355;	0.038898871342100;	0.038377010011460;	0.037800306341477;	0.037052976365184;	0.036265334045373;	0.035582377728075;	0.034730355715851;	0.055933036666835;	0.000000000000000
0.335111006655705;	0.028607119302335;	0.001233739033176;	0.001116829501802;	0.001090225844233;	0.001752504419273;	0.002223455348999;	0.002050088907483;	0.048747591757258;	0.068430639033818;	0.043304547319622;	0.039190194703850;	0.034792470127012;	0.009579510585956;	0.014222391798237;	0.011195070340715;	0.015974005095255;	0.002650558938277;	0.003187893262462;	0.003787505946953;	0.004683397569241;	0.005297033160080;	0.005240670036576;	0.006009633822090;	0.007549552339303;	0.008334506727072;	0.008724317902493;	0.009577437287352;	0.011354016032369;	0.012640125575264;	0.012439284770411;	0.013384767298856;	0.014936865787925;	0.015967357875259;	0.016156856754442;	0.016863103375081;	0.018120706860484;	0.019351194123029;	0.020011153525387;	0.020376966693481;	0.020968445128253;	0.021727525953078;	0.022288530564098;	0.023332210911978;	0.024258046207452;	0.024738381060051;	0.025378672643006;	0.025948150912914;	0.026226230023299;	0.026728987494497;	0.027404451699428;	0.027801163695275;	0.028399065233621;	0.029080083654481;	0.029620923270950;	0.030180499361079;	0.030605459611901;	0.030976684220809;	0.031518837525393;	0.031968584626809;	0.032513391007176;	0.033109122716888;	0.033738611018560;	0.034429129959011;	0.035114292408368;	0.035775195029964;	0.036556029306325;	0.037445712492796;	0.038267580952448;	0.039147957700080;	0.040109170986127;	0.040999227621216;	0.041959926491349;	0.042898549819330;	0.043788346962141;	0.044655407459509;	0.045385937172876;	0.046030298175492;	0.046581562650949;	0.046910342797189;	0.047267826898087;	0.047533108453969;	0.047719606696388;	0.047763968769640;	0.047707229693651;	0.047568876008452;	0.047332898797635;	0.047057893005535;	0.046701750530860;	0.046227168345143;	0.045661271629178;	0.044973152234284;	0.044154458186255;	0.043304119214107;	0.042270556594815;	0.041228924684696;	0.040339512474187;	0.039266909912524;	0.063209786953510;	0.000000000000000
0.470597445213388;	0.031891485858184;	0.001274044058026;	0.001128165266658;	0.001095925793503;	0.001815127155199;	0.002586492446326;	0.002127416745036;	0.050592326664136;	0.068511439801805;	0.043438325780281;	0.039380197235732;	0.034894911930904;	0.010317767566676;	0.015317816497853;	0.015196500770735;	0.020046774888561;	0.019002277329898;	0.022098186216664;	0.004289089409305;	0.005263818097318;	0.005910960595697;	0.005834496396598;	0.006670029225010;	0.008405869189642;	0.009290147763867;	0.009714891437145;	0.010679656939224;	0.012682314692556;	0.014152712020229;	0.013943674629179;	0.015003877479313;	0.016778607655111;	0.017979855358099;	0.018212189448349;	0.019015466791537;	0.020462256293517;	0.021881222541020;	0.022664421960509;	0.023124884344096;	0.023823686747736;	0.024716123523368;	0.025399253682641;	0.026640729128205;	0.027761986074108;	0.028401161082699;	0.029249794516988;	0.030044217253517;	0.030518187022965;	0.031275813733650;	0.032295646644879;	0.033038393974710;	0.034074273164923;	0.035287803733079;	0.036398765868080;	0.037587197164546;	0.038671783838085;	0.039740925878371;	0.041028934359539;	0.042187276051579;	0.043427140573086;	0.044667634433498;	0.045852787531809;	0.046999946060016;	0.048014356587449;	0.048808897221100;	0.049609536106925;	0.050445573102138;	0.051069983225552;	0.051654190961112;	0.052227116871769;	0.052643786501429;	0.053104337358635;	0.053522207789514;	0.053885352458180;	0.054245395348878;	0.054495215559287;	0.054701329143097;	0.054850883473707;	0.054803489126615;	0.054845297206588;	0.054833789349373;	0.054782312440304;	0.054607242661379;	0.054374082368153;	0.054076798768472;	0.053684391979419;	0.053264645034386;	0.052764374871746;	0.052142449203194;	0.051427672497745;	0.050582690728400;	0.049600073027301;	0.048583441808355;	0.047349393953501;	0.046117151757524;	0.045065612933163;	0.043800925118268;	0.070531472360176;	0.000000000000000
0.509255878929545;	0.035619039794355;	0.001402680881355;	0.001160543849767;	0.001110062554610;	0.001885309623027;	0.002693546718891;	0.002392486696754;	0.051020874079689;	0.070658538919376;	0.046609978000621;	0.039626437575562;	0.035086633726857;	0.010701919968742;	0.016987028077868;	0.017052577677289;	0.025063331254027;	0.027183751892161;	0.033380762180745;	0.025486020735145;	0.006066731163853;	0.006754205471840;	0.006614032500097;	0.007570345216405;	0.009541062381578;	0.010543525301974;	0.011059574199837;	0.012150149377560;	0.014395754017135;	0.016145606348221;	0.015947835389278;	0.017150237664976;	0.019247058025842;	0.020748230361112;	0.021115121126332;	0.022104913134465;	0.023939208638867;	0.025764059784026;	0.026942456289561;	0.027856921320481;	0.029013009677298;	0.030406864791245;	0.031651572843426;	0.033612090156914;	0.035449659005543;	0.036760337061102;	0.038368670402507;	0.039904109676599;	0.040922964895243;	0.042174740383892;	0.043792587245743;	0.044974279771076;	0.046423551129648;	0.047968910537905;	0.049233171683439;	0.050461002304709;	0.051481020480859;	0.052384072884035;	0.053437493946511;	0.054240142756044;	0.055045849851915;	0.055831945695681;	0.056565664901455;	0.057280049339182;	0.057883311785424;	0.058259913108121;	0.058695851567683;	0.059252943699530;	0.059620330049904;	0.059988437143201;	0.060379344384215;	0.060612462884008;	0.060925114435183;	0.061215919440816;	0.061464630877479;	0.061723632214231;	0.061874391916067;	0.061990895025106;	0.062057066072819;	0.061912190597986;	0.061873553853506;	0.061775962808859;	0.061636965695725;	0.061364398961682;	0.061028304969859;	0.060616322372572;	0.060095954261527;	0.059543748523008;	0.058898769983319;	0.058117058500087;	0.057231101253462;	0.056200738483115;	0.055021285225447;	0.053803855607349;	0.052337185605953;	0.050885008097526;	0.049645235238978;	0.048170200459046;	0.077557834496382;	0.000000000000000
