0.151667353530157;	0.027278747288697;	0.000868442906435;	0.000820247619718;	0.000828131525046;	0.000766748105212;	0.000765598469528;	0.000803751162109;	0.056341186469822;	0.076500468622983;	0.051502179791514;	0.047238668961374;	0.040680978274590;	0.000432583095223;	0.000533629926211;	0.000519297590591;	0.000518286320747;	0.000614223947324;	0.000753563605488;	0.000982382329129;	0.001351734937683;	0.001669057276072;	0.001596533130774;	0.002006884426425;	0.002838582014028;	0.003341003735294;	0.003645383283092;	0.004202373066229;	0.005533006592551;	0.006571960960119;	0.006368033365726;	0.007156323973287;	0.008575140232003;	0.009498621722421;	0.009678013211051;	0.010377806975545;	0.011563530771390;	0.012741941439935;	0.013472286094868;	0.013854487027406;	0.014397250417777;	0.015183969152335;	0.015797319173155;	0.016892801975108;	0.017818341882777;	0.018257634082175;	0.018924992338021;	0.019483524319007;	0.019666858247350;	0.020141808386814;	0.020818737097982;	0.021167953731095;	0.021752284550625;	0.022425006448358;	0.022909107519419;	0.023367456297230;	0.023653837548828;	0.023867189841284;	0.024233032198884;	0.024450033374959;	0.024740381143413;	0.025027343054040;	0.025279662561247;	0.025540836804841;	0.025682360618130;	0.025713266538608;	0.025817615924025;	0.025947373641119;	0.025949995138051;	0.025963568263114;	0.026015603846302;	0.025969124247833;	0.025983444815602;	0.025987612898430;	0.025984018492527;	0.025994742350445;	0.025901520562564;	0.025778958230349;	0.025673148315130;	0.025441957000503;	0.025288759043606;	0.025118741145997;	0.024945163052456;	0.024697527006938;	0.024409483415588;	0.024108177217020;	0.023771859985602;	0.023415652676285;	0.023030396792836;	0.022586411140346;	0.022094654747197;	0.021548499707994;	0.020902823632092;	0.020286110963647;	0.019684684899191;	0.019031970368394;	0.018474962131425;	0.017972345573898;	0.032692008619254;	0.000000000000000
0.152290543468315;	0.027941654468279;	0.000868469172144;	0.000820253542473;	0.000828138621274;	0.000767796033538;	0.000767031837206;	0.000804451034658;	0.056341878234430;	0.076500984280917;	0.051503678519131;	0.047240910511792;	0.040682035381916;	0.000435288819111;	0.000538415857138;	0.000526101538687;	0.000529417532713;	0.000627932608055;	0.000774306051479;	0.001006206651839;	0.001384031920080;	0.001681475771444;	0.001610068910448;	0.002020299761346;	0.002861880218819;	0.003369861317991;	0.003672251196516;	0.004236787964818;	0.005584192427108;	0.006630060066723;	0.006423983815944;	0.007223639093131;	0.008656659798557;	0.009588684007229;	0.009770937810531;	0.010482302437885;	0.011682217281660;	0.012876440109507;	0.013612981635473;	0.013996904342019;	0.014550808183057;	0.015353155976727;	0.015977674823255;	0.017090336522654;	0.018031071551792;	0.018477586247256;	0.019155061338977;	0.019724833650656;	0.019917705136395;	0.020406856635877;	0.021099391819464;	0.021459860854855;	0.022059580213678;	0.022749138860709;	0.023247034350663;	0.023718372345576;	0.024014102340255;	0.024235785278804;	0.024613966198948;	0.024841186993397;	0.025142802433968;	0.025441008451068;	0.025704063974158;	0.025976009203273;	0.026127142027043;	0.026164653174674;	0.026276603982794;	0.026415065577432;	0.026424505133199;	0.026445849452216;	0.026507027449784;	0.026467696207374;	0.026490861069883;	0.026504013375653;	0.026509055629849;	0.026527910134200;	0.026438961658018;	0.026319331304824;	0.026215685805775;	0.025982789025953;	0.025829014896690;	0.025657556840433;	0.025482212383023;	0.025231438931517;	0.024939627546335;	0.024634915985344;	0.024295353720651;	0.023936156226096;	0.023547990410502;	0.023100403964371;	0.022604340312516;	0.022052898015112;	0.021398752742020;	0.020773676105869;	0.020164762118101;	0.019502716293495;	0.018937539618629;	0.018426892256217;	0.033493413104686;	0.000000000000000
0.153051443891045;	0.028485454722570;	0.000868510365517;	0.000820259660084;	0.000828144547443;	0.000769790280207;	0.000769419712566;	0.000805448655905;	0.056342792084424;	0.076501501716630;	0.051505270212853;	0.047243302840237;	0.040682980942577;	0.000437835130115;	0.000542329004094;	0.000530949336124;	0.000537331597445;	0.000637769043459;	0.000788678655377;	0.001021267603295;	0.001403329567872;	0.001709799907756;	0.001640149017822;	0.002049575865625;	0.002911748954352;	0.003430691260847;	0.003728091088654;	0.004307245627411;	0.005686780087073;	0.006745517731406;	0.006534319340167;	0.007353320406741;	0.008812096347138;	0.009758799775504;	0.009944863928862;	0.010674974128134;	0.011898543202989;	0.013118432991093;	0.013863123757555;	0.014247213954411;	0.014815522409719;	0.015639593164869;	0.016277411013155;	0.017411887920547;	0.018369644202626;	0.018819515808306;	0.019503815858649;	0.020081778823469;	0.020278181491845;	0.020775993076159;	0.021477745902810;	0.021840764234428;	0.022447834796788;	0.023146383559957;	0.023649027660720;	0.024123710401187;	0.024418333056895;	0.024637854144945;	0.025018175412072;	0.025245118416057;	0.025548676536505;	0.025848526249857;	0.026111758529611;	0.026383350228053;	0.026532617499430;	0.026569573511338;	0.026683017432092;	0.026821045643595;	0.026827272300016;	0.026845161903533;	0.026903047955937;	0.026858397027665;	0.026877310808670;	0.026886383944301;	0.026887534254818;	0.026902937646745;	0.026808986802014;	0.026684839914400;	0.026579602908718;	0.026344051421465;	0.026189489558754;	0.026017477884941;	0.025841976072801;	0.025589957992957;	0.025296159939202;	0.024989004696282;	0.024645622983106;	0.024281411532311;	0.023886671080652;	0.023430684599518;	0.022924710544699;	0.022361914954774;	0.021694499919851;	0.021056719977177;	0.020436524343970;	0.019763563525116;	0.019189660463430;	0.018672046405423;	0.033922580166894;	0.000000000000000
0.154040302462686;	0.029109440902318;	0.000868651223682;	0.000820275732937;	0.000828154697840;	0.000776115212546;	0.000775154732831;	0.000807843210367;	0.056345053329385;	0.076502561035722;	0.051508165331742;	0.047248041935394;	0.040684807240138;	0.007146636316058;	0.000549532930152;	0.000538590638643;	0.000549746841872;	0.000653527402118;	0.000811787793507;	0.001044528774950;	0.001432228604598;	0.001741554476201;	0.001672748009586;	0.002080889174065;	0.002964393312064;	0.003494482544638;	0.003786775175303;	0.004380858901201;	0.005791933308203;	0.006864484235629;	0.006648207014523;	0.007485775340341;	0.008970975650821;	0.009933058635246;	0.010123413491586;	0.010870031950107;	0.012117228218028;	0.013362492508326;	0.014115417359021;	0.014500018155484;	0.015082035298260;	0.015927735126571;	0.016579235635205;	0.017736221075738;	0.018712125712321;	0.019167105883110;	0.019860631275392;	0.020448268232358;	0.020651204550940;	0.021160439742897;	0.021875682749912;	0.022246024525700;	0.022865884360133;	0.023578926548718;	0.024091687844714;	0.024575201449139;	0.024874062930303;	0.025096535539253;	0.025484311241535;	0.025715785882250;	0.026025096786569;	0.026330207663066;	0.026597634312703;	0.026873249662223;	0.027025234765934;	0.027063906778988;	0.027178491587508;	0.027320037075426;	0.027327753214547;	0.027348169837006;	0.027410073814609;	0.027367708225464;	0.027390918678818;	0.027404752471919;	0.027410670978452;	0.027430581905681;	0.027337564567157;	0.027213090855132;	0.027106085365320;	0.026864705770713;	0.026704810181571;	0.026580450036045;	0.026549232101940;	0.026426323546537;	0.026206392795229;	0.025930296775488;	0.025609170852351;	0.025260133889583;	0.024874818201206;	0.024422896895809;	0.023917669438217;	0.023353842375959;	0.022681786644790;	0.022043873539442;	0.021429726862000;	0.020761855578026;	0.020199273788959;	0.019697800086783;	0.035813219073009;	0.000000000000000
0.155490551827931;	0.029790726972505;	0.000869065634770;	0.000820331280445;	0.000828178764732;	0.000788937894510;	0.000790653461123;	0.000812946652867;	0.056350242283056;	0.076504874507542;	0.051513298574902;	0.047255593387070;	0.040688257839773;	0.007155747616437;	0.000560801110180;	0.000549681037042;	0.000567085524314;	0.000673667158437;	0.000841551289673;	0.001075052509200;	0.001467324619482;	0.001779856024546;	0.001711018469771;	0.002117122689022;	0.003024425137497;	0.003566648510510;	0.003852660325740;	0.004462895934642;	0.005907917647815;	0.006996146113383;	0.006773422377814;	0.007629388649840;	0.009143113850396;	0.010122068097847;	0.010316405657698;	0.011079486549762;	0.012351913747068;	0.013624113337819;	0.014386234885436;	0.014772228953187;	0.015366863920106;	0.016235364334640;	0.016901539020892;	0.018082416990019;	0.019077449466380;	0.019537824758923;	0.020240967573607;	0.020836788053697;	0.021045538646643;	0.021567205753720;	0.022295844719623;	0.022672576220231;	0.023325889552418;	0.024136893349872;	0.024749478860639;	0.025318191165712;	0.025676018175226;	0.025951111392646;	0.026396730410086;	0.026677956976689;	0.027038273266743;	0.027392209852773;	0.027704446141409;	0.028023244428984;	0.028213686007612;	0.028288205593662;	0.028437679550982;	0.028615732174525;	0.028650989110648;	0.028697582231669;	0.028785845208735;	0.028762638170679;	0.028808148811543;	0.028844079005615;	0.028872086100439;	0.028914229985320;	0.028837165786321;	0.028728380480261;	0.028641858681264;	0.028414657176670;	0.028276219477506;	0.028161572882993;	0.028129271260971;	0.028018297479384;	0.027826990005282;	0.027590322324445;	0.027310499710933;	0.027004238915517;	0.026660744402120;	0.026246333143964;	0.025774111029100;	0.025238041641622;	0.024584927475872;	0.023971445232639;	0.023389785049350;	0.022764178608201;	0.022278442948761;	0.021900692916619;	0.040253151235564;	0.000000000000000
0.157508580006919;	0.030515990159475;	0.000870229322766;	0.000820520239176;	0.000828258412021;	0.001412048096907;	0.000818687120136;	0.000826379192755;	0.056361282851965;	0.076510481661154;	0.051524564404119;	0.047266956027748;	0.040695108801752;	0.007168882466838;	0.009887197775022;	0.000566299122339;	0.000592275731430;	0.000703318696974;	0.000890993353034;	0.001133546072234;	0.001540862957387;	0.001843843720692;	0.001775643274153;	0.002182666100311;	0.003135523629346;	0.003704887249424;	0.003986939228434;	0.004633764483697;	0.006156352172347;	0.007288928001900;	0.007059829869859;	0.007968948607414;	0.009560924842386;	0.010592847867835;	0.010804175732274;	0.011620772381904;	0.012971125079703;	0.014327393712956;	0.015130756359442;	0.015535333795088;	0.016178206360395;	0.017120457321128;	0.017842429711435;	0.019109354988113;	0.020179129581212;	0.020675930472305;	0.021429405391804;	0.022070876245213;	0.022314098052793;	0.022890381991852;	0.023681710605494;	0.024098766444270;	0.024792089564597;	0.025601511902026;	0.026199954490227;	0.026768288545573;	0.027132169250603;	0.027417324747761;	0.027893481554685;	0.028202499410810;	0.028600601688593;	0.028996709208975;	0.029352089568144;	0.029717202969800;	0.029950408615679;	0.030063957930255;	0.030254127074370;	0.030483222690727;	0.030562974763332;	0.030657321945998;	0.030798863215558;	0.030823974872061;	0.030927317214290;	0.031024866609994;	0.031118340536263;	0.031236506383058;	0.031222273676416;	0.031176662274869;	0.031157396832060;	0.030986358125733;	0.030914023403950;	0.030852215669945;	0.030851181529628;	0.030770080356802;	0.030621851189593;	0.030448588001887;	0.030251425920983;	0.030060236197564;	0.029876852950812;	0.029679137542766;	0.029495549542448;	0.029322878777347;	0.029094919227204;	0.028958616331070;	0.028814380535610;	0.028556793375610;	0.028382608562025;	0.028135036677380;	0.052470332512845;	0.000000000000000
0.379758767558953;	0.032594439730644;	0.000874365719274;	0.000821162221866;	0.000828552716535;	0.001415849432468;	0.001999766849778;	0.000850742963942;	0.056392069227487;	0.076523748339033;	0.051550665321164;	0.047292758319393;	0.040710058089133;	0.009718869300404;	0.009930785146444;	0.010280496211870;	0.000658032833787;	0.000773516899154;	0.000984723731356;	0.001230110875256;	0.001651802806479;	0.001970348867311;	0.001894471735341;	0.002298506657499;	0.003317682239399;	0.003918809449766;	0.004185109606026;	0.004873019610760;	0.006484930748196;	0.007666479209260;	0.007420286582325;	0.008377923253920;	0.010053849203408;	0.011140955427101;	0.011363904377048;	0.012233410030311;	0.013666913480445;	0.015113174544620;	0.015963323120680;	0.016393040920595;	0.017086240033695;	0.018110962641038;	0.018899442139700;	0.020268325895731;	0.021428968190833;	0.021977082937857;	0.022799965173789;	0.023507691908749;	0.023800956007356;	0.024447746949145;	0.025326026831168;	0.025806562175487;	0.026586953803739;	0.027494858907802;	0.028173835092291;	0.028817258972767;	0.029238137974835;	0.029574382326073;	0.030120491764548;	0.030487519972177;	0.030953907448586;	0.031421712632067;	0.031848156193714;	0.032288966286477;	0.032591077111242;	0.032765844471941;	0.033022828918369;	0.033330879453681;	0.033478667645345;	0.033645259511619;	0.033865248564633;	0.033958629184991;	0.034141210227744;	0.034321854072757;	0.034505529757989;	0.034713496668090;	0.034808292894513;	0.034895004027179;	0.035046086506320;	0.035075679014828;	0.035279088723240;	0.035559847999599;	0.035962961064122;	0.036335423553984;	0.036690517900000;	0.037043732327649;	0.037342146505754;	0.037582131025154;	0.037708169115395;	0.037653636012713;	0.037426568560023;	0.036995897750390;	0.036340724309852;	0.035657991261527;	0.034836358477508;	0.033915165614926;	0.033192847663993;	0.032480502976345;	0.060239027626078;	0.000000000000000
0.383190811741755;	0.034508262865974;	0.000888964689774;	0.000823419204332;	0.000829491402879;	0.001563161727316;	0.002017467639367;	0.001791509107135;	0.056445888430674;	0.076558989830652;	0.051614043925518;	0.047339570410640;	0.040736109232426;	0.009759293186196;	0.014273957289771;	0.010558112322352;	0.015527126353353;	0.000866518381287;	0.001118150732010;	0.001366439015903;	0.001820833638170;	0.002141079213979;	0.002050352907933;	0.002457695843824;	0.003568833047206;	0.004219636871982;	0.004478951879709;	0.005231268806901;	0.006975743801921;	0.008247341787707;	0.007984126484346;	0.009021697021184;	0.010838307437336;	0.012021877641508;	0.012263104100266;	0.013205238676045;	0.014768755363138;	0.016350732544218;	0.017273876046357;	0.017740955810651;	0.018498912083110;	0.019630005982995;	0.020504195893092;	0.022012074148569;	0.023293849808155;	0.023907526076423;	0.024823692965057;	0.025611658725874;	0.025960168978975;	0.026695642076692;	0.027691419227237;	0.028255968765842;	0.029150945607774;	0.030185923761925;	0.030971482875500;	0.031719465599524;	0.032224785543898;	0.032637996174548;	0.033283443875689;	0.033731761375570;	0.034291634996501;	0.034857067616356;	0.035381787600694;	0.035930710990998;	0.036334165228117;	0.036604041206325;	0.036972582669879;	0.037439159860297;	0.037761226418839;	0.038146890244906;	0.038642676656969;	0.039054064571382;	0.039630985312022;	0.040270052791269;	0.040968451243007;	0.041750721125412;	0.042417088257763;	0.043061596256697;	0.043703066444829;	0.044101778235340;	0.044580069199459;	0.044952825648373;	0.045222981903784;	0.045292687984015;	0.045221222520722;	0.045060811269258;	0.044792219970069;	0.044464839498943;	0.044046884363188;	0.043495021482816;	0.042833248316001;	0.042045639030438;	0.041071992624280;	0.040113815982245;	0.039017824308866;	0.037857357616990;	0.036958093881114;	0.036074079132701;	0.066832457450791;	0.000000000000000
0.532186627700538;	0.037618787666532;	0.000938148932568;	0.000831723598349;	0.000832768571106;	0.001626502498938;	0.002421199324759;	0.001860233930627;	0.058459797981325;	0.076621934840602;	0.051717318697119;	0.047444675469526;	0.040786065836301;	0.010748961171927;	0.015302449379156;	0.014737078995107;	0.019489425766208;	0.017959993421357;	0.020698563018872;	0.001581806778109;	0.002065584847802;	0.002406463865338;	0.002285967858334;	0.002697858119065;	0.003929537057034;	0.004640566507357;	0.004888747744774;	0.005719045324481;	0.007628215731658;	0.009024522439386;	0.008738269544164;	0.009865441170655;	0.011868623871455;	0.013186957607123;	0.013448922755455;	0.014480958176668;	0.016219387664307;	0.017982113623335;	0.019017208814435;	0.019553709720566;	0.020391850374945;	0.021659135748374;	0.022650207287017;	0.024347330746061;	0.025796253430154;	0.026509288077485;	0.027562611704723;	0.028462664360951;	0.028875575148876;	0.029712503308414;	0.030853153441941;	0.031518279636304;	0.032552620186456;	0.033745409673767;	0.034671348729003;	0.035574022222404;	0.036232490935020;	0.036815310214467;	0.037686865595526;	0.038374209103256;	0.039233606389280;	0.040151769895656;	0.041077372255123;	0.042087622378373;	0.042971731191943;	0.043701331670218;	0.044547881616904;	0.045527556698888;	0.046304326107334;	0.047089961444692;	0.047903690831621;	0.048507589030152;	0.049179445587838;	0.049788099139128;	0.050328785388410;	0.050813896447974;	0.051116016904307;	0.051334704081092;	0.051509445065756;	0.051419134988509;	0.051461010252978;	0.051440059597396;	0.051374625758752;	0.051154077491040;	0.050860898546819;	0.050509928846601;	0.050064021239372;	0.049577726761114;	0.049006695399682;	0.048300396091922;	0.047481366451075;	0.046528299862694;	0.045380152831956;	0.044250990117351;	0.042955942830746;	0.041605571936205;	0.040560221585725;	0.039531648211756;	0.073106562560630;	0.000000000000000
0.573308986533376;	0.041160267905507;	0.001098935330438;	0.000862623082995;	0.000844023473164;	0.001701845557675;	0.002530904896651;	0.002147574344101;	0.058917316208941;	0.078963483549073;	0.055121510074571;	0.047607750621263;	0.040899327345223;	0.011124618585871;	0.016791422729320;	0.016487378055768;	0.024081964502553;	0.025765762213115;	0.030094810453995;	0.021898182892359;	0.002424231462446;	0.002795231563794;	0.002612230701774;	0.003036882082979;	0.004419725276599;	0.005204114579883;	0.005451138752272;	0.006375863138405;	0.008476997239454;	0.010049675667619;	0.009734453747934;	0.010968207815931;	0.013217354947665;	0.014722702685876;	0.015006268260683;	0.016124887234062;	0.018081696270850;	0.020064357527232;	0.021248910871351;	0.021888688460323;	0.022819749638383;	0.024242887823408;	0.025380463132356;	0.027320901974996;	0.028997590035578;	0.029880080129202;	0.031175358178499;	0.032297344642220;	0.032884468841965;	0.033962270564956;	0.035458016149886;	0.036451697703676;	0.037902811884101;	0.039578184706711;	0.040977842891053;	0.042377944858771;	0.043529921541159;	0.044597516969020;	0.045955355898800;	0.047036603994838;	0.048218442452545;	0.049385576174092;	0.050476256167929;	0.051576379438285;	0.052424524705839;	0.052957035581659;	0.053538473276991;	0.054274321272737;	0.054745900942565;	0.055214702460249;	0.055713980636111;	0.055983646460821;	0.056364141485752;	0.056714725119151;	0.057029895135214;	0.057340627779771;	0.057472225630425;	0.057543734123142;	0.057588169829739;	0.057358546835315;	0.057289110833031;	0.057157277142801;	0.056981496944479;	0.056640266990531;	0.056222915526395;	0.055740531669681;	0.055156313470606;	0.054533053030706;	0.053822181811642;	0.052970966261603;	0.052004820306435;	0.050902295983841;	0.049600401952445;	0.048326242689147;	0.046865073744447;	0.045359210865962;	0.044201995606118;	0.043062766456756;	0.079429710634143;	0.000000000000000
