0.006277020998328;	0.003460133176509;	0.001966853365005;	0.000993127495957;
0.000678189439934;	0.000477818647735;	0.000281690646574;	0.000121993952842;
0.000527000432613;	0.000376675198277;	0.000222471029794;	0.000095557629248;
0.000453964869505;	0.000329950988170;	0.000195284593397;	0.000083088710316;
0.000427587102042;	0.000309411235966;	0.000183027346453;	0.000078067516713;
0.000402044618662;	0.000293736130252;	0.000173962417006;	0.000073800862615;
0.000387918888265;	0.000282144867838;	0.000167004614040;	0.000071028287666;
0.000382699836792;	0.000278864655272;	0.000166558218364;	0.000082053534092;
0.000373445234537;	0.000270903493871;	0.000161008080228;	0.000074077634559;
0.000371951879953;	0.000271481223257;	0.000161141751643;	0.000071338049384;
0.000368553868678;	0.000267420354333;	0.000158654194369;	0.000070760336930;
0.000367952553955;	0.000267595659763;	0.000158727895514;	0.000070123215130;
0.000366972617449;	0.000266462354587;	0.000158694459997;	0.000075345157068;
0.000373842270549;	0.000271174141724;	0.000162136677528;	0.000082071731299;
0.000366186753497;	0.000265257423934;	0.000157752031521;	0.000073619122848;
0.000374278700749;	0.000270673480058;	0.000160932366195;	0.000075108090127;
0.000380682433721;	0.000274823003395;	0.000163306478374;	0.000075842930304;
0.000385231729071;	0.000279338863886;	0.000167332318349;	0.000087174017496;
0.000385628426824;	0.000279419772463;	0.000166919649512;	0.000083580772099;
0.000391066074888;	0.000285156746760;	0.000172492657240;	0.000082586102915;
0.000403325961802;	0.000295610446111;	0.000182318387854;	0.000085171109774;
0.000413952240917;	0.000300971501226;	0.000182891930009;	0.000096368236765;
0.000414207262583;	0.000306708990588;	0.000190052585662;	0.000094214392848;
0.000423624003002;	0.000311068879109;	0.000190436128818;	0.000093391202987;
0.000432703299829;	0.000318524811153;	0.000197510804149;	0.000098780025484;
0.000449148754818;	0.000333168997575;	0.000206057702100;	0.000107616509920;
0.000448673458847;	0.000334086193055;	0.000207553998839;	0.000104530549735;
0.000453139337308;	0.000334670885040;	0.000207523335455;	0.000105370121609;
0.000495746230511;	0.000369991264786;	0.000230541240823;	0.000122500598503;
0.000467480324841;	0.000354366587516;	0.000229272679579;	0.000113604563221;
0.000502852194750;	0.000380428015473;	0.000248466350684;	0.000124434504833;
0.000522302052908;	0.000394418862743;	0.000256709499231;	0.000131534559152;
0.000507193571719;	0.000385595021882;	0.000252623143072;	0.000128849962411;
0.000542253888657;	0.000416902556207;	0.000272611396458;	0.000139031650640;
0.000551282183712;	0.000416492175512;	0.000274029810661;	0.000142937102623;
0.000571008884437;	0.000442968528740;	0.000296162730345;	0.000149917947940;
0.000570784168557;	0.000440102867468;	0.000297457408136;	0.000152678240661;
0.000609404665661;	0.000472773198865;	0.000318994005936;	0.000163404668916;
0.000610791588946;	0.000473106355582;	0.000321992070998;	0.000166931323777;
0.000625296299243;	0.000492215162292;	0.000334818799883;	0.000172831880095;
