0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.082486303139360;	0.289685068132330;	0.590467019454566;	1.019808859426437;	1.571243650914025;	2.252964947822055;	3.084945925515822;	4.028995633888306;	5.144220507900948;	6.419820138746777;	7.766627060596503;	9.279373072089706;	10.944696330904877;	12.752489876998057;	14.687907047325730;	16.701338544625365;	18.845616296136715;	21.116627180515046;	23.509962639541790;	26.020993927816519;	28.645829392459451;	31.381961736247675;	34.227337296130514;	37.180231482487137;	40.239720482734924;	43.404160595482971;	46.672632230050496;	50.044715304479794;	53.519841742949858;	57.097581532241698;	60.777644723667457;	64.559746986233975;	68.443629922879666;	72.429065279353779;	76.506760247216590;	80.680362162261460;	84.955337476077958;	89.332123192751112;	93.810528269795597;	98.390432085721045;	103.071512369937253;	107.853683626953426;	112.737168947962303;	117.721865160984038;	122.807666154277982;	127.994576081774554;	133.282558408462023;	138.671560950114213;	144.161580250165514;	149.752385897871477;	155.443834852581858;	161.236484347353610;	167.130363519899987;	173.125445967254393;	179.221705105740455;	185.419094121172208;	191.716351133767887;	198.106395038187316;	204.585786973540252;	211.167034468858645;	217.850157153578522;	224.635031113528214;	231.521764948496184;	238.510289167185931;	245.600534094070753;	252.792558177048704;	260.086212874542355;	267.481431430831776;	274.978214817899357;	282.576503653213365;	290.276309373978336;	298.077683498593331;	305.980242854428923;	313.972984512745313;	322.054323016749549;	330.238333471705403;	338.525044471621413;	346.914369856622500;	355.406110641258920;	364.000050156510156;	372.696025440387245;	381.493989701016687;	390.393832108771903;	399.395392131642836;	408.498751671303978;	417.703890125067460;	427.003857986114554;	436.392078085575974;	445.876192575420475;	455.463194545733700;	465.152800767234226;	474.945009873004210;	484.839669113977493;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.094957470326064;	0.305465651870899;	0.610797934389459;	1.044891488225466;	1.598006651511562;	2.284147252225978;	3.118623621354892;	4.063774078733441;	5.185150272308483;	6.459469962920998;	7.808587536045859;	9.323133521398576;	10.989760731526363;	12.798635463288008;	14.734668874973808;	16.748317250856662;	18.893222998002340;	21.164740741662374;	23.558477103600069;	26.069803208524647;	28.694871397544432;	31.431187771979175;	34.276708185034572;	37.229787493663274;	40.289364252057808;	43.453856564226136;	46.722372959743282;	50.094490869454901;	53.569644035905881;	57.147405548273447;	60.827486118209009;	64.609601486768938;	68.493494305733051;	72.478936517262611;	76.556476877396705;	80.730065140827236;	85.005057029500847;	89.381855271812611;	93.860270729267469;	98.440183358977961;	103.121268562075102;	107.903444028317907;	112.786940687822295;	117.771640756699071;	122.857445532495589;	128.044358805935076;	133.332343787979170;	138.721349173420265;	144.211369424899942;	149.802173162795839;	155.493626004096654;	161.286279631548013;	167.180162572839777;	173.175248511714472;	179.271510669358463;	185.468902239933385;	191.766129374805587;	198.156042408071130;	204.635444489816052;	211.216703055963364;	217.899834520558727;	224.684718132417146;	231.571461477388056;	238.559993392528355;	245.650247092149641;	252.842278682655632;	260.135939736754665;	267.531164795446614;	275.027954077015465;	282.626248348076444;	290.326059953098309;	298.127439790848030;	306.029999316696831;	314.022596099767611;	322.103948411834892;	330.287972655544252;	338.574697110096395;	346.964034533577035;	355.455785849535175;	364.049734385805209;	372.745717944501337;	381.543690339699538;	390.443539355756172;	399.445105464202413;	408.548472286635331;	417.753616219988032;	427.053515283782303;	436.441674555308225;	445.925804149988778;	455.512817089044233;	465.202435072695664;	474.994654619991309;	484.889323651860195;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.011282636835266;	0.132370971886175;	0.352807403086604;	0.671790679194134;	1.120139374622551;	1.678295653304175;	2.377694165437744;	3.219656708872104;	4.171714732667328;	5.307939565531085;	6.578419435443657;	7.934468962393929;	9.454414869325188;	11.124953933390822;	12.937072222157854;	14.873389224767383;	16.889253369550559;	19.036043103599205;	21.309081425104353;	23.704020495774920;	26.216231050649039;	28.841997412799394;	31.578865879173669;	34.424820851746752;	37.378509329858666;	40.438295560026468;	43.602944470455611;	46.871595148821640;	50.243817564380215;	53.719050914773931;	57.296877596368653;	60.977010301833694;	64.759164988373783;	68.643087454293209;	72.628550230989134;	76.705626767937076;	80.879174076524592;	85.154215689769543;	89.531051508997137;	94.009498107683058;	98.589437178748696;	103.270537138488606;	108.052738597454791;	112.936255907402227;	117.920967543844185;	123.006783667148468;	128.193706978416600;	133.481699926530553;	138.870713843338450;	144.360736949103256;	149.951534957568867;	155.642999458641015;	161.435665484131192;	167.329559731659032;	173.324656145094735;	179.420927360212545;	185.618326596216917;	191.915464097918544;	198.304984517722488;	204.784417038643454;	211.365708817277465;	218.048866621499428;	224.833779189083941;	231.720551064063670;	238.709106068555542;	245.799386086386392;	252.991440199476358;	260.285120323391311;	267.680364889291127;	275.177171854364076;	282.775482432665513;	290.475311690458170;	298.276708667612127;	306.179268703500384;	314.171430860834448;	322.252824597090807;	330.436890207060912;	338.723655025521566;	347.113028564440810;	355.604811474363828;	364.198787073690369;	372.894795456843497;	381.692792255748145;	390.592661096708866;	399.594245461881087;	408.697634132629389;	417.902794504749693;	427.202487176785382;	436.590463964504977;	446.074638873693743;	455.661684718976005;	465.351337989080207;	475.143588860952434;	485.038287265508188;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.041257656854691;	0.194726807819694;	0.431710321779446;	0.773445253868594;	1.245552518617693;	1.812110656291864;	2.536315424943595;	3.392067780088841;	4.363081087670457;	5.512588387568759;	6.776668556314757;	8.144271339640712;	9.673217115869535;	11.350275936498251;	13.169241191988272;	15.104416817448071;	17.124146900707053;	19.274076612927317;	21.549649230840984;	23.946592816066328;	26.460277454189697;	29.087207438224333;	31.824996057831157;	34.672099523908692;	37.626379056850986;	40.686514406640889;	43.851424314171396;	47.120298797285571;	50.492695389255744;	53.968062379554013;	57.545997676527335;	61.226217274541483;	65.008437491048539;	68.892409368560152;	72.877906420533321;	76.954209918837691;	81.127688969353500;	85.402813456884004;	89.779711904304662;	94.258210405042405;	98.838200738917294;	103.519336163435725;	108.301572407598485;	113.185114606702129;	118.169845522419379;	123.255680558236534;	128.442620599219197;	133.730626824116229;	139.119654959868797;	144.609682822775397;	150.200471282190534;	155.891955216214910;	161.684641905103206;	167.578554996357809;	173.573668867395185;	179.669955178302644;	185.867367190022833;	192.164355303106817;	198.553221367141390;	205.032704620022457;	211.614051752800975;	218.297253456400512;	225.082214283528657;	231.969033708523028;	238.957627195267548;	246.047951076780947;	253.240042727510854;	260.533754634452521;	267.929031712365258;	275.425868149945018;	283.024205906980569;	290.724064586057978;	298.525490128885622;	306.428051014839639;	314.419488795945824;	322.500951572517351;	330.685086126255385;	338.971918217896814;	347.361351949213713;	355.853187515744878;	364.447208220165749;	373.143257977413839;	381.941295449162510;	390.841197331630042;	399.842812124678858;	408.946237209286153;	418.151424979352498;	427.450773665123961;	436.838446313166173;	446.322696746535314;	455.909797435528958;	465.599509516387684;	475.391812595887586;	485.286559954921586;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.016511046401500;	0.118015140613542;	0.302713972523541;	0.566118294978859;	0.939020968075774;	1.430895272727254;	2.026351629970285;	2.772059295817088;	3.635516894004779;	4.630993984674837;	5.799096738421502;	7.054217325534295;	8.437994667786207;	9.979540261031621;	11.670220592879705;	13.496573985524819;	15.427855447201035;	17.452997844326141;	19.607323525986672;	21.886444158872273;	24.286194064474302;	26.801942419146620;	29.430673131729840;	32.170417178432295;	35.018486537752175;	37.973396674640220;	41.034020791901078;	44.199296095373505;	47.468483905135074;	50.841124344081493;	54.316678430246128;	57.894765788749510;	61.575107036332383;	65.357418994793207;	69.241460048533867;	73.227005085895172;	77.302226330098534;	81.475609819313959;	85.750850330844258;	90.127865057292894;	94.606457109726620;	99.186494083882152;	103.867658972987087;	108.649939741799656;	113.533516785721986;	118.518274692424654;	123.604136205759858;	128.791099668342781;	134.079124480736169;	139.468172523011219;	144.958207045916424;	150.548982136660925;	156.240493276818427;	162.033208894464025;	167.927148366936137;	173.922286678615791;	180.018594123628816;	186.216024021351075;	192.512802990370432;	198.900752956327921;	205.380307233953090;	211.961731862533867;	218.644995025262091;	225.430023415751180;	232.316909410766129;	239.305556772664374;	246.395942063333308;	253.588086266759206;	260.881842669938180;	268.277165264669122;	275.774042963758234;	283.372418771021728;	291.072318639897730;	298.873784174668401;	306.776346250714653;	314.766769905101796;	322.848329338114524;	331.032560413127669;	339.319486687222081;	347.709004687895799;	356.200913973678439;	364.794997825231235;	373.491105506212364;	382.289199919942519;	391.189148060519699;	400.190805452595839;	409.294281516605622;	418.499507643796505;	427.798374748797983;	437.185621601291871;	446.669977768513490;	456.257155238703035;	465.946949654618209;	475.739325824796879;	485.634141720100274;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.015883832770695;	0.091478090475117;	0.237206848801557;	0.444739226170657;	0.749096529392886;	1.164764627267029;	1.671762278105093;	2.306992369605585;	3.075158558368721;	3.948522897610983;	4.975453423680469;	6.167464618089313;	7.414846520255618;	8.823963934041432;	10.384540620363175;	12.085530869489249;	13.917430434357520;	15.843705114026271;	17.875806200407833;	20.035783842777271;	22.319466209198211;	24.723015457467060;	27.242437902902171;	29.873707453313319;	32.614755178568849;	35.463841269836664;	38.419562183226390;	41.480814715807035;	44.646559814061924;	47.916150472370141;	51.289104428857449;	54.764899066850283;	58.343181933035126;	62.023679587206409;	65.806109499607757;	69.690239494214367;	73.675815555010544;	77.749633288669358;	81.923036207174647;	86.198437605130195;	90.575547192539702;	95.054218569038810;	99.634299813122709;	104.315502585267396;	109.097840600058305;	113.981462444461783;	118.966255053859996;	124.052150609718410;	129.239144185787438;	134.527192896390375;	139.916266532765803;	145.406309618526308;	150.997067520980011;	156.688613640451479;	162.481366452213649;	168.375339843393959;	174.370509578756611;	180.466844196191033;	186.664297090201671;	192.960807159709333;	199.347579285282023;	205.827224880435296;	212.408749146476168;	219.092091328084109;	225.877206585751622;	232.764178170792974;	239.752894800745992;	246.843359046043503;	254.035570817221355;	261.329384429848290;	268.724765546202661;	276.221696295803952;	283.820121024788875;	291.520073851977372;	299.321590804960692;	307.224154411125426;	315.213274188302364;	323.294957893882327;	331.479313067677708;	339.766360433497482;	348.155986780487012;	356.647990848164454;	365.242155888886828;	373.938338043238957;	382.736505668088284;	391.636513283377838;	400.638225445631861;	409.741767054587797;	418.947042498081601;	428.245290427807390;	437.631989828882070;	447.116481939628329;	456.703758128498180;	466.393658403771667;	476.186128547680255;	486.081032561044310;
0.000000000000000;	0.000000000000000;	0.009052543925737;	0.039376015962276;	0.115115657404420;	0.235188950613495;	0.410793269925810;	0.664227743587893;	1.009312007935445;	1.451747124335148;	1.987557111326770;	2.662021830524544;	3.451517404420722;	4.351068326418825;	5.416930712503971;	6.603780765488907;	7.876411750198541;	9.305328876438999;	10.880249027199518;	12.593132318678693;	14.431810538486378;	16.351965817923784;	18.392571968952119;	20.561090533563881;	22.851640157178480;	25.259917545256513;	27.781899958837023;	30.415193846359792;	33.157834956513533;	36.008163720162138;	38.964875582609480;	42.026896178358761;	45.193215470236666;	48.463298498990795;	51.836635643583612;	55.312724289366464;	58.891246109384248;	62.571955519570778;	66.354556342485097;	70.238802548846778;	74.222698486991888;	78.296366052892949;	82.469951294826473;	86.745490474806772;	91.122714246730254;	95.601482574864846;	100.181617926638936;	104.862867000276680;	109.645274982374431;	114.528951582921565;	119.513786606725418;	124.599723770112192;	129.786754151553083;	135.074832071078816;	140.463936989132549;	145.953990540605076;	151.544727435147735;	157.236316307114095;	163.029114578352079;	168.923129425731304;	174.918337567817559;	181.014705395989267;	187.212186396574651;	193.508367811123577;	199.893700354003670;	206.373457559469131;	212.955103604627880;	219.638542364866566;	226.423763793529957;	233.310839988603561;	240.299641279512429;	247.390202024911503;	254.582496378897304;	261.876379914182905;	269.271832556965819;	276.768828146081944;	284.367312668282125;	292.067330222296903;	299.868910019762325;	307.771475496071844;	315.759001645547414;	323.840837239820758;	332.025344089905502;	340.312539456722959;	348.702298226987409;	357.194418139202867;	365.788682411132584;	374.484955588493676;	383.283212693599808;	392.183293000204458;	401.185072103787036;	410.288693823232677;	419.494029542207784;	428.791520702152184;	438.177550995936713;	447.662209259879774;	457.249606104914619;	466.939635763848116;	476.732220764537658;	486.627232477753694;
0.075382569277011;	0.087998710624171;	0.125847134665650;	0.188927841401449;	0.296660277959354;	0.440336539214885;	0.661155300997858;	0.954773062216140;	1.339406199164788;	1.799666132103138;	2.392927068577758;	3.099831876432458;	3.903637187407461;	4.848620849426959;	5.949017649801921;	7.119228479753765;	8.421897931040174;	9.874214717454306;	11.466086235278834;	13.194802837847107;	15.036189073367582;	16.959727812784283;	19.011139390183470;	21.186566828479130;	23.482328189936144;	25.894438194462222;	28.419446024941848;	31.055132310869265;	33.799656512266331;	36.651453888728611;	39.609336872789498;	42.672265179556270;	45.839263063897718;	49.109987036274724;	52.483849089785487;	55.960330578118139;	59.539155522589375;	63.220064026525144;	67.002793319579126;	70.887128641661661;	74.869014679333475;	78.942504774248107;	83.116305489324091;	87.392007502606361;	91.769366219864523;	96.248249127204687;	100.828448424430860;	105.509752218014896;	110.292242888748035;	115.175984201101272;	120.160869351020892;	125.246855686941188;	130.433929565639829;	135.722042004801551;	141.111183892111370;	146.601249812152673;	152.191961879164154;	157.883601276806274;	163.676453272879314;	169.570517113948142;	175.565770645798693;	181.662177723023547;	187.859691940469958;	194.155484944613107;	200.539116162492917;	207.019005271054539;	213.600795236988972;	220.284348135609463;	227.069695039086156;	233.956894864197892;	240.945796208963628;	248.036470999937336;	255.228862951787079;	262.522829122941971;	269.918366296958652;	277.415438514592438;	285.013993701501363;	292.714087750856379;	300.515741819073412;	308.418309505553964;	316.403952276837060;	324.485967375929761;	332.670653479811051;	340.958023756898513;	349.347939027396933;	357.840195846793677;	366.434577391968446;	375.130958141976521;	383.929320996477088;	392.829487210999559;	401.831345427061365;	410.935061822540320;	420.140468776175112;	429.437065571832477;	438.822305102455857;	448.307159729267823;	457.894699167952183;	467.584881734847613;	477.377602475369144;	487.272741470228368;
0.277944569583605;	0.293908598611997;	0.341800685697174;	0.421620830839135;	0.554773891569498;	0.739879201622780;	1.001147790109117;	1.334739502594016;	1.740851208127854;	2.261310609507202;	2.889544312994471;	3.616110944516676;	4.454765212335856;	5.445013926954875;	6.550764285516621;	7.735409146907226;	9.069739393218480;	10.546463044256265;	12.157974104129860;	13.896230252568277;	15.729271851409646;	17.664408406253763;	19.725239918167805;	21.908270245689028;	24.210045150810370;	26.626577405084198;	29.155076101216657;	31.793522846841729;	34.540343277776977;	37.394082486123622;	40.353448919635085;	43.417461271945932;	46.585306980217581;	49.856620510901315;	53.230883484125741;	56.707690818594195;	60.286776440712742;	63.967881534549413;	67.750759062379956;	71.635197210294237;	75.614764132035305;	79.688049452734830;	83.862098790667503;	88.137988688528978;	92.515503111942536;	96.994518226058346;	101.574791306498440;	106.256158238482087;	111.038744319179116;	115.922560299000963;	120.907503286746476;	125.993546360205457;	131.180670428047534;	136.468822697558522;	141.858007241702325;	147.348087433169155;	152.938770853029268;	158.630468549528018;	164.423382535795383;	170.317502908044531;	176.312808812700013;	182.409261177293899;	188.606813721887619;	194.902158560177980;	201.283826710749736;	207.763868015191576;	214.345824043559503;	221.029508640312827;	227.815000322420218;	234.702342797575966;	241.691359589099648;	248.782165971120946;	255.974670535890709;	263.268732056125486;	270.664366766181104;	278.161527401335150;	285.760164124446703;	293.460346437655801;	301.262086202893784;	309.164656439571843;	317.148126082171245;	325.230348302209507;	333.415241237394412;	341.702813334024142;	350.092909181715640;	358.585323970937054;	367.179840831394472;	375.876345703687548;	384.674830576720069;	393.575095915763200;	402.577045415454847;	411.680871052510611;	420.886360199983585;	430.181925036848156;	439.566252148439560;	449.051333347792536;	458.639037317610871;	468.329396316770044;	478.122273680174828;	488.017559538468447;
0.571323338701270;	0.591890595373857;	0.653592365391617;	0.756428648754552;	0.920068319550369;	1.148436191614373;	1.437747034622831;	1.789710512752157;	2.255148340837056;	2.814750522284536;	3.468507062235096;	4.214892493414044;	5.105680858031048;	6.140819921882964;	7.224811296478359;	8.448737229546289;	9.813667031469267;	11.312557854821524;	12.942449071059002;	14.691181322585605;	16.514765666523985;	18.463668787953257;	20.535921675162271;	22.728104716174869;	25.036878041542352;	27.458572782929732;	29.991056829918001;	32.632560243003752;	35.381568882825441;	38.236839557897497;	41.197392998124116;	44.262292740579618;	47.430899384994945;	50.702805115478121;	54.077522464378028;	57.554699091133735;	61.134080147919242;	64.815408043643586;	68.598453570887557;	72.483008254744476;	76.459946845097377;	80.533000088353106;	84.707331198856693;	88.983434032574607;	93.361124922964294;	97.840289871425853;	102.420646572841719;	107.102085061678252;	111.884779273667675;	116.768679876620595;	121.753688413902097;	126.839795789904912;	132.026976738776312;	137.315174149349787;	142.704407037905440;	148.194503403654522;	153.785154356743050;	159.476918125279326;	165.269902367100229;	171.164086808020414;	177.159452068521517;	183.255955758800269;	189.453551740827635;	195.748388657818168;	202.127831998774127;	208.608045791880187;	215.190190024339387;	221.874023878976601;	228.659679643532144;	235.547183788737783;	242.536331419920543;	249.627286938462390;	256.819919131208110;	264.114088713733565;	271.509833964633344;	279.007094806310306;	286.605823937118032;	294.306106282695112;	302.107943171223610;	310.010516298125481;	317.991523061550026;	326.073980018659768;	334.259107362655641;	342.546908188099849;	350.937208689943475;	359.429802511632772;	368.024472729410604;	376.721118273626701;	385.519741434328751;	394.420119114495265;	403.422172068967370;	412.526121513143607;	421.731703813633203;	431.026099097199278;	440.409392133887650;	449.894730115453910;	459.482620553890740;	469.173179509615579;	478.966234378954482;	488.861686682473874;
