0.678399721914421;	0.728598342324451;	0.879332692936630;	1.130877968899888;	1.423620772982209;	1.746842543309991;	2.175166938949774;	2.700669416342444;	3.324102756290560;	4.053789288916800;	4.893450426307359;	5.826192209035657;	6.869257840558430;	8.030317353604929;	9.302516098736403;	10.674927388890989;	12.153019945498794;	13.749024724725556;	15.460113086949448;	17.283815576613875;	19.219122485274806;	21.264928785534408;	23.420041456698304;	25.683043170103208;	28.051644481548973;	30.523248551790768;	33.098450494025322;	35.778746259027777;	38.563369821659755;	41.451635988352400;	44.442848935962218;	47.536598892866927;	50.732616986078497;	54.030549220907311;	57.430129758951338;	60.931154292525015;	64.533422764756139;	68.236725771394958;	72.040843209346917;	75.945707697286210;	79.951377620453897;	84.057967946548686;	88.265408621781361;	92.573617610988165;	96.982589959956314;	101.492058595739351;	106.101858815768480;	110.812190818032505;	115.623110585288842;	120.534493067215536;	125.546389632622663;	130.658869677099574;	135.871891102140751;	141.185471060102913;	146.599571225967594;	152.114013355301182;	157.725563076512458;	163.432856464097767;	169.239063535103099;	175.146005589244453;	181.153670254778945;	187.262042828612977;	193.471185699607474;	199.781221901416046;	206.192277925034006;	212.704522758005282;	219.318019723236688;	226.032820664914112;	232.849002702359343;	239.766534329261901;	246.777495206976454;	253.883075338838950;	261.089707681634707;	268.397760565440592;	275.806847358015773;	283.315567625723133;	290.924200803631095;	298.633779030598760;	306.443062075542457;	314.352649274281987;	322.360408829958203;	330.460710626284026;	338.657402184387990;	346.956556000812839;	355.358169310101630;	363.862015182305754;	372.467888525341095;	381.175829176521347;	389.985872112836091;	398.895458278378271;	407.896961886405222;	416.991240739714442;	426.187971278877114;	435.487218626363131;	444.889058565649520;	454.393787042660620;	464.001185012598796;	473.711342377583833;	483.518483692868244;	493.415426656844261;
0.728021501700226;	0.778220122110256;	0.929063638480761;	1.180608914444019;	1.459121614723312;	1.782343385051094;	2.214536565588469;	2.741618037599937;	3.366532261253155;	4.096218793879395;	4.937268889479653;	5.870123253689066;	6.914548465477512;	8.076667018211982;	9.349292354636678;	10.721712695769218;	12.200572763441370;	13.797172796225425;	15.508689232259302;	17.332747698534384;	19.268347148150529;	21.314391529537854;	23.469692073506337;	25.732831906354203;	28.101495401579893;	30.573121956716246;	33.148409921684298;	35.828770149067076;	38.613442070081561;	41.501741610496282;	44.492974613936802;	47.586741224121575;	50.782768984383424;	54.080705617863465;	57.480287152039658;	60.981309963555823;	64.583573997798851;	68.286870014380241;	72.090977900556382;	75.995833976642814;	80.001496673729278;	84.108081948262296;	88.315515150792308;	92.623717226528981;	97.032682735476897;	101.542140084493298;	106.151929666405053;	110.862254872733843;	115.673166890084886;	120.584540640622436;	125.596430491439250;	130.708904128797144;	135.921918700819788;	141.235492769374275;	146.649586230040597;	152.164019901949331;	157.775515296116680;	163.482766366225661;	169.288971242276261;	175.195911332808123;	181.203573822106051;	187.311944277366592;	193.521085962277624;	199.831122077659614;	206.242178959713016;	212.754426192447795;	219.367925165313267;	226.082728972334138;	232.898914093930273;	239.816448074359101;	246.827310420838046;	253.932890341051973;	261.139526210151757;	268.447584066506352;	275.856669493935271;	283.365376236953864;	290.974010696596679;	298.683589844660219;	306.492858553865972;	314.402453985643149;	322.410172907382957;	330.510413853010391;	338.707116574851170;	347.006282069608119;	355.407905860983362;	363.911760118931454;	372.517641208809550;	381.225590477270998;	390.035640964107301;	398.945202425654088;	407.946625019904388;	417.040913846135936;	426.237656117665381;	435.536912894680086;	444.938766216654187;	454.443505271257834;	464.050914680888468;	473.761082666064056;	483.568153814916968;	493.465070715136619;
0.877020254342547;	0.927329309535199;	1.078256475113153;	1.314229429691678;	1.565624139946620;	1.894545271138307;	2.332645445504554;	2.864463901372415;	3.493820776140939;	4.226495286497638;	5.068724278996538;	6.001916387649294;	7.050420340234761;	8.215716012033145;	9.489621122337502;	10.862068616403905;	12.343231217269095;	13.941617010725032;	15.654417668188863;	17.479544064295904;	19.416021136777694;	21.462779761548187;	23.618643923930446;	25.882198115107190;	28.251048161672657;	30.722742171492701;	33.298288204661247;	35.978841819184957;	38.763658815346950;	41.652058476927934;	44.643351647860570;	47.737168217885532;	50.933224979298181;	54.231174808731922;	57.630759331304624;	61.131776976648226;	64.734027696926930;	68.437302743336119;	72.241381974184748;	76.146212814712641;	80.151853833555464;	84.258423953403138;	88.465834737825162;	92.774016073151458;	97.182961062038643;	101.692384550755136;	106.302142218314771;	111.012447036837841;	115.823335804473047;	120.734683360843121;	125.746553067889053;	130.859007483889826;	136.072001496856842;	141.385557897188420;	146.799631242259636;	152.314039541893834;	157.925371954929290;	163.632496072609314;	169.438694363795690;	175.345628563499048;	181.353284524087400;	187.461648623627525;	193.670786750288073;	199.980822606390291;	206.391882063749932;	212.904136495775276;	219.517641491543003;	226.232453894594215;	233.048648268643092;	239.966189309650730;	246.976756062422766;	254.082335347691213;	261.288981795702796;	268.597054569703403;	276.006135901693654;	283.514802070646169;	291.123440375493317;	298.833022286844425;	306.642247988836573;	314.551868119726578;	322.559465139657050;	330.659523533189429;	338.856259746240880;	347.155460275993960;	355.557115513628673;	364.060994928808441;	372.666899259214802;	381.374874379519895;	390.184947517921046;	399.094434867481482;	408.095614420401887;	417.189933165400532;	426.386710634029953;	435.685995699630837;	445.087889169668301;	454.592659957049705;	464.200103685757654;	473.910303531504667;	483.717164181062969;	493.614002890013523;
1.125674982063201;	1.175984037255852;	1.312165988215090;	1.491733638397191;	1.743128348652133;	2.091393404331781;	2.530686705728054;	3.069207007659879;	3.705968300953914;	4.445587602359113;	5.288295240537715;	6.223079774640575;	7.276873464830174;	8.447464335068416;	9.723502401838875;	11.095995150795053;	12.580995306981967;	14.182357368224380;	15.897298394738129;	17.724204673898441;	19.662144451156305;	21.710093481565412;	23.866897007970625;	26.131141796362169;	28.500302761827264;	30.972109196120112;	33.548085342956156;	36.228961269381450;	39.014020057455944;	41.902586587647356;	44.893980037733499;	47.987879874158779;	51.183984970822785;	54.481956793512687;	57.881546296746237;	61.382555331802237;	64.984783862140418;	68.688023958262576;	72.492055430232028;	76.396844211495676;	80.402449099932426;	84.508993961971228;	88.716367382879895;	93.024514150855580;	97.433424939641540;	101.942791994524868;	106.552496471497633;	111.262767310344515;	116.073617328453309;	120.984921227877606;	125.996757361972072;	131.109179742377620;	136.322139490251971;	141.635666443545375;	147.049706262624738;	152.564072275134635;	158.175133052950315;	163.882045583248697;	169.688232899661443;	175.595157281317256;	181.602802360723018;	187.711155867395661;	193.920288063638850;	200.230323487608104;	206.641387237144841;	213.153653667987754;	219.767168701925868;	226.481995431694287;	233.298205226497828;	240.215758035136787;	247.225832131730613;	254.331410358756557;	261.538074438287822;	268.846172075031973;	276.255246581291033;	283.763845126800049;	291.372489840321009;	299.082076357151607;	306.891230380454260;	314.800891676532274;	322.808285526780651;	330.908039666821026;	339.104831698557064;	347.404090619970361;	355.805798268037506;	364.309719611936714;	372.915662676556849;	381.623680883268037;	390.433791774277324;	399.343155603860453;	408.343930087897661;	417.438298697508117;	426.635134827971001;	435.934467041215555;	445.336427424691692;	454.841251100036061;	464.448752027206297;	474.159004973905780;	483.965514791306248;	493.862223181475201;
1.417017760257127;	1.452931290293547;	1.560671880402808;	1.740239530584909;	2.008535193593898;	2.366980790802645;	2.817327054530504;	3.359133777492453;	4.002974835692076;	4.752316844565178;	5.595812553111580;	6.540114149074153;	7.599700294294609;	8.773295706333355;	10.050946246470241;	11.423492298942657;	12.913865032579988;	14.519393868723464;	16.237331411907100;	18.066729527341987;	20.006717091286362;	22.056332689589528;	24.214451325626875;	26.479662950119142;	28.849259202043715;	31.321223030598489;	33.897801336569032;	36.579128499656520;	39.364525796408536;	42.253325942654548;	45.244859783555597;	48.338876192941321;	51.535048958957233;	54.833051572205761;	58.232648048364503;	61.733645029017843;	65.335842493439316;	69.039033659159614;	72.842998268698238;	76.747728166991948;	80.753282472860164;	84.859791973966523;	89.067113085956535;	93.375211459641349;	97.784074368285630;	102.293362415802491;	106.902992425953627;	111.613215693253849;	116.424011462025675;	121.335254241725892;	126.347043373688294;	131.459420904260526;	136.672332681005116;	141.985818408445056;	147.399811291135819;	152.914118101671789;	158.524798590179756;	164.231414898143839;	170.037586849873520;	175.944497486262776;	181.952127332012878;	188.060466008671114;	194.269589902329955;	200.579624721313024;	206.990694479897712;	213.502977709085229;	220.116506796461891;	226.831353583634410;	233.647584967494396;	240.565154250817216;	247.574538628761616;	254.680115374248004;	261.886804137906950;	269.194936582491891;	276.604001532727295;	284.112505405415391;	291.721159091079812;	299.430752055581593;	307.239805728718977;	315.149524656060294;	323.156634068753647;	331.255962253905295;	339.452832431799663;	347.752173101537323;	356.153954124209861;	364.657934168316388;	373.263931460835806;	381.972009988515481;	390.782173733176023;	399.691364634791057;	408.691572022391824;	417.786010442458689;	426.982928699488468;	436.282326919434070;	445.684380981724473;	455.189278700216960;	464.796859705234340;	474.507186993267283;	484.313205645646917;	494.209731589521482;
1.736525335927051;	1.772438865963471;	1.884934370397154;	2.084070813290903;	2.362861833342150;	2.730193621136394;	3.185864645847939;	3.740999322155806;	4.393109704037867;	5.146799048459224;	5.991191954992264;	6.947729773345896;	8.016847275758096;	9.194282009435828;	10.472014008374305;	11.850566564374944;	13.345369751153152;	14.954587645262906;	16.675583643099007;	18.507660459627125;	20.449950214664668;	22.501511792719516;	24.661306876899204;	26.927761576378103;	29.297917482322010;	31.770083674927829;	34.347436185499873;	37.029343510010186;	39.815176032204711;	42.704276541949511;	45.695990885326879;	48.790157174233180;	51.986416943701514;	55.284459144811130;	58.684064586159415;	62.185046068295065;	65.787203590823580;	69.490331846027246;	73.294210489583335;	77.198864681201428;	81.204353952338693;	85.310817989389065;	89.518071847055069;	93.826107999508764;	98.234909347970870;	102.744095814588007;	107.353630081682780;	112.063792185565845;	116.874518205190157;	121.785682402387948;	126.797411103037717;	131.909730969538543;	137.122581069116336;	142.436013791887518;	147.849946327792964;	153.364177021505242;	158.974368566617613;	164.680604017294769;	170.486756214431892;	176.393649178335579;	182.401259437956980;	188.509579047453798;	194.718692266361359;	201.028726307505082;	207.439803792008519;	213.952108619067701;	220.565655775151072;	227.280528350414585;	234.096787491632881;	241.014377956692101;	248.022875553515775;	255.128450394165611;	262.335170894560065;	269.643348092083272;	277.052400756002555;	284.560782906492307;	292.169448127769726;	299.879049382134440;	307.687974033630780;	315.597767058310581;	323.604510765576038;	331.703291294442295;	339.900261945968680;	348.199707720694903;	356.601583082145737;	365.105638597947348;	373.711705612051503;	382.419861695262171;	391.230093394617256;	400.139061960273295;	409.138540223884320;	418.233068400252307;	427.430092248582355;	436.729575334286494;	446.131749840766645;	455.636742757592458;	465.244426719841783;	474.954849589589173;	484.760236744084864;	494.656528114152422;
2.158691109107798;	2.198518397686549;	2.318000263422797;	2.517834237206568;	2.807806707477551;	3.180628454968816;	3.649728292971344;	4.210195173276084;	4.875112798933113;	5.630040539646727;	6.483767191195735;	7.448258828854360;	8.526693586435691;	9.708820824338849;	10.986652384034826;	12.373647561743264;	13.874998537651715;	15.488925243671291;	17.213836984224585;	19.049131751260070;	20.994040398702559;	23.047668577607915;	25.208899378555831;	27.476047658096057;	29.846485768324555;	32.319440028682983;	34.897519830492747;	37.579982855203113;	40.366217408691384;	43.255579142075817;	46.247484205403659;	49.341783762190438;	52.538115107304762;	55.836185084666759;	59.235786907250848;	62.736736935979124;	66.338836049696340;	70.041880020455139;	73.845661935258818;	77.750231246705411;	81.755650300497322;	85.862056274236110;	90.069232845258512;	94.377196931164420;	98.785925260193764;	103.294992190881430;	107.904409438685065;	112.614496787280530;	117.425137557946726;	122.336205709863819;	127.347860550020329;	132.460109938211673;	137.672884654585573;	142.986252593872734;	148.400111372596143;	153.914249034635020;	159.523842982263858;	165.229612940701429;	171.035740993336532;	176.942612357535666;	182.950198678555296;	189.058494983743742;	195.267595155733062;	201.577628246184247;	207.988715173477317;	214.501046397935170;	221.114615637993410;	227.829519732034782;	234.645812798913227;	241.563429152761415;	248.570842905993061;	255.676415418509322;	262.883174708247225;	270.191406603806058;	277.600444251116699;	285.108677630030797;	292.717356950390695;	300.426968336810148;	308.235735295189670;	316.145618883283134;	324.151915617247880;	332.250026788431910;	340.447120241064169;	348.746694477442986;	357.148685141845135;	365.652832900829651;	374.258985130204110;	382.967236003508106;	391.777550758600967;	400.686247580307111;	409.684834692375091;	418.779472570888970;	427.976625475252661;	437.276212285772715;	446.678534001818207;	456.183643272162442;	465.791453071028798;	475.501992762871510;	485.306608086620201;	495.202612755367966;
2.677344566062711;	2.718769204672851;	2.843043120503273;	3.050166313553975;	3.342857113218912;	3.729161748138686;	4.203573252279829;	4.779835194515918;	5.445634677453589;	6.202020092813273;	7.072545315143810;	8.050804468746062;	9.133911700294782;	10.316973669425767;	11.596771580127113;	12.991834194996732;	14.500923467150013;	16.120415132699382;	17.849954569191176;	19.689052368644457;	21.637056070747345;	23.693126596112382;	25.856152949818775;	28.124109618498039;	30.494840032355832;	32.968912588249751;	35.547830401003594;	38.230922084686490;	41.017590496561873;	43.907212955745443;	46.899334511714102;	49.993759740154410;	53.190148267734749;	56.488231194814958;	59.887810630651266;	63.388702965534193;	66.990711208505118;	70.693631006178080;	74.497303566894729;	78.401778939285492;	82.407132322774331;	86.513441151378444;	90.720527847289219;	95.028403012931989;	99.436984613995065;	103.945915541750210;	108.555248089068698;	113.265240837264244;	118.075775878061719;	122.986757172921031;	127.998332767926172;	133.110500282366019;	138.323198922067377;	143.636489931735156;	149.050257391280923;	154.564069769770413;	160.173061260909208;	165.878435949039982;	171.684538456062285;	177.591386698249352;	183.598945053807853;	189.707213817540975;	195.916298570445065;	202.226330537350549;	208.637428624304050;	215.149791045687607;	221.763386384988848;	228.478327728495003;	235.294660889335518;	242.212307839025158;	249.218440686193503;	256.324010447279193;	263.530815578968372;	270.839112117660250;	278.248132018069782;	285.756189576030806;	293.364885558942774;	301.074508919608661;	308.883089513395703;	316.793080130977955;	324.798848623769118;	332.896168735874141;	341.093407317086132;	349.393133371781630;	357.795260303308055;	366.299517076963298;	374.905770015293513;	383.614132913253286;	392.424545825127268;	401.332921494892503;	410.330455427864194;	419.425222954368735;	428.622528379499329;	437.922237773892846;	447.324733464879102;	456.829980243926968;	466.437938758795156;	476.148616513114291;	485.952319673252816;	495.847985513168226;
3.292535892244903;	3.335458629458211;	3.464226841098136;	3.678840527164677;	3.979299687657835;	4.373243941049100;	4.860850199864254;	5.437974368412855;	6.104600347254729;	6.881379466599513;	7.761391615712399;	8.747195124111080;	9.835555538798904;	11.018753272599207;	12.310063849265731;	13.713203339855831;	15.227409899310475;	16.851403307364620;	18.584937488472406;	20.427525531597112;	22.378997230799019;	24.437885848232924;	26.602983993583713;	28.871873418961862;	31.242941106238067;	33.718304003134477;	36.298188751593045;	38.982005811013465;	41.769174828720139;	44.659098125364238;	47.651469480533855;	50.746039714728219;	53.942494222077038;	57.240592091139803;	60.640145696113294;	64.140971461174658;	67.742874853284491;	71.445651374319937;	75.249197757243863;	79.153564738416392;	83.158842348478558;	87.265039086542671;	91.472022080401587;	95.779794645740722;	100.188206945304259;	104.696978301298799;	109.306208909588705;	114.016085409205033;	118.826489479165176;	123.737370055170061;	128.748849543389554;	133.860914262551375;	139.073524561138100;	144.386714992830377;	149.800355591003324;	155.313353063833517;	160.921709792827386;	166.627051556637269;	172.433124609516966;	178.339940208156179;	184.347469153332241;	190.455720618248478;	196.664801536490415;	202.974841705019770;	209.385964711554351;	215.898357009531736;	222.511984652022818;	229.226965916957568;	236.043338790521858;	242.960860762112873;	249.965668894117073;	257.071235480475139;	264.278093506723621;	271.586464633645846;	278.995464056861806;	286.503318744492333;	294.112033953425964;	301.821671130530149;	309.630036688248708;	317.540150801395100;	325.545309785139750;	333.641717136769159;	341.839123174034512;	350.139024403710835;	358.541308566534497;	367.045691126348288;	375.652060267319712;	384.360552424497769;	393.171078594195990;	402.079083704029529;	411.075402430351687;	420.170319550691488;	429.367800961322473;	438.667651798646830;	448.070348229949445;	457.575753672886037;	467.183883783140971;	476.894720840317461;	486.697371503982822;	496.592646387553089;
4.013837476609016;	4.056760213822324;	4.187273139058276;	4.408912347610619;	4.719207239583899;	5.118200561373814;	5.607059612524522;	6.185172347351432;	6.872429101822909;	7.658455027334701;	8.549335914032319;	9.542391474415750;	10.630874133949437;	11.819610354238478;	13.119194916838307;	14.531720555353610;	16.053204369577976;	17.683249380013240;	19.421756757359685;	21.268392179655674;	23.222606835100535;	25.283589248671110;	27.449969963626380;	29.719489970444162;	32.091144798979947;	34.567719222498155;	37.148594882261079;	39.833234034184038;	42.620970405166176;	45.511234650932209;	48.503889111862904;	51.598623685911868;	54.795152970331642;	58.093267773641301;	61.492792103636930;	64.993542422900532;	68.595326984034457;	72.297941124880708;	76.101344506306205;	80.005588644098054;	84.010780377610018;	88.116850079728792;	92.323715544595601;	96.631371829590620;	101.039592254121359;	105.548182762120518;	110.157297839511386;	114.867042590737938;	119.677298227082403;	124.588064655052278;	129.599435222248019;	134.711383440094750;	139.923893618751634;	145.236970062071634;	150.650466884022109;	156.162540797105009;	161.770178129001351;	167.475482578580852;	173.281522250098931;	179.188300852717248;	185.195793782143994;	191.304025083641079;	197.513104532630962;	203.823159294562430;	210.234323097076810;	216.746749524833490;	223.360425878163085;	230.075459573663551;	236.891872457174429;	243.807719397759627;	250.812523969227414;	257.918143641268330;	265.125074587697384;	272.433448439440156;	279.842309200654142;	287.350075159805272;	294.958807588905302;	302.668397604775407;	310.476593367113367;	318.386830117910222;	326.391299101359891;	334.486671991116737;	342.684267811909422;	350.984367573230543;	359.386829931524460;	367.891355048984565;	376.497855886282821;	385.206494537241497;	394.017149065807189;	402.924734207718132;	411.919675699837455;	421.014762359857230;	430.212443220722037;	439.512454360034724;	448.915378297029065;	458.420963559039706;	468.029288144066243;	477.740305744481134;	487.541763578810105;	497.436595378522611;
4.842512572490006;	4.886840414200474;	5.019823939331880;	5.241822699023922;	5.552914822483465;	5.952890409788589;	6.450071700272051;	7.045694220813998;	7.741994703612961;	8.539098654868729;	9.437419957892951;	10.431223957502496;	11.520473709914958;	12.723113895147391;	14.034008275335822;	15.452785378824643;	16.979428496762093;	18.614134302923375;	20.357025351998402;	22.208184315721127;	24.165968554453215;	26.229575237440031;	28.397137444213886;	30.667084664028327;	33.040373924500599;	35.518173133244780;	38.099927495816516;	40.785132423685120;	43.573245084053148;	46.463805239386339;	49.456676496010481;	52.551539013213684;	55.748128337018343;	59.046255746850221;	62.445749853222154;	65.946415850711773;	69.548067600754990;	73.250500257860367;	77.053743814081770;	80.957850656330507;	84.962946410168712;	89.068874130936805;	93.275608239871261;	97.583134564481654;	101.991140540446338;	106.499528924215369;	111.108514878836729;	115.818112381862917;	120.628202121813430;	125.538840972567726;	130.550089804501624;	135.661907814996169;	140.874306094907951;	146.187255139458927;	151.600591270337191;	157.111632969584889;	162.718466269431019;	168.423729014870730;	174.229731377808179;	180.136468631932502;	186.143921308463007;	192.252130074374037;	198.461207881258645;	204.771278953463025;	211.182488351484210;	217.694952924288401;	224.308683719143431;	231.023776013511480;	237.840233614021400;	244.754208461129480;	251.759009011275623;	258.864695683091611;	266.071721107945791;	273.380069021910060;	280.788672814038705;	288.296463126150627;	295.905213056072398;	303.614530692922528;	311.422882882975102;	319.332347588979758;	327.335790020668355;	335.431195081621354;	343.628982791123747;	351.929265207895241;	360.331886537905120;	368.836548037851571;	377.443180205821420;	386.151961966217414;	394.962757239960922;	403.869873005958311;	412.863275236321499;	421.958551381866073;	431.156455157697962;	440.456645458056414;	449.859823666118075;	459.365609902387860;	468.974151841570972;	478.685371225605138;	488.485495897734666;	498.379832486076793;
