0.167168057586351;	0.213131434508412;	0.354589707252725;	0.593043395271964;	0.892538489192600;	1.200104127251721;	1.539257212300627;	1.890895873192971;	2.238066768176544;	2.587397278876841;	2.929730990994100;	3.246041904885884;	3.555976479688102;	3.840025472765896;	4.071469790619076;	4.318828260082301;	4.544284835911863;	4.729107902259157;	4.880404599797748;	5.002863997952368;	5.111856419417276;	5.231364449719766;	5.336244901926715;	5.423043935921503;	5.494741956624272;	5.554764607824710;	5.605884149973554;	5.649937215284370;	5.688453902042575;	5.722726351900035;	5.753748945524581;	5.782321497162986;	5.809418051343559;	5.835354267975712;	5.860618101757490;	5.885619767405339;	5.910568875795295;	5.935713504677384;	5.961314036644536;	5.987538203402415;	6.014511329604789;	6.042206546901152;	6.070503786025436;	6.099406304691283;	6.129050288794212;	6.159501527036840;	6.197545952539621;	6.241652965842182;	6.286908845499604;	6.333225817344506;	6.380697882975562;	6.429335092369811;	6.479137584889139;	6.530148451600672;	6.582351497132906;	6.635869066991806;	6.690983946124958;	6.747270734899709;	6.804508792329914;	6.862698783946891;	6.921848398374240;	6.981987131898609;	7.043136698026006;	7.105242141306685;	7.168208327332277;	7.231877884164944;	7.296070742428862;	7.367506852972805;	7.450564147250808;	7.535842342939841;	7.621892259409225;	7.708267446033109;	7.795086443579073;	7.882588987227208;	7.970577669497575;	8.059099480569893;	8.148265576216618;	8.237886090428260;	8.327920632368096;	8.418531938747247;	8.509455640955336;	8.600361195323067;	8.709129951836779;	8.822121772750432;	8.934930962277580;	9.047421935113315;	9.159818121775851;	9.272214647093245;	9.384568976453970;	9.497057820042203;	9.609745226033187;	9.722448915587263;	9.835358429406440;	9.948117332625921;	10.076391032370564;	10.213058919191667;	10.350247631610360;	10.486700818094759;	10.622530737281064;	10.757783996702074;
0.212589594396174;	0.259742351977612;	0.401200624721924;	0.640609821746556;	0.932002298737541;	1.232867524083169;	1.569210980476809;	1.916013187734172;	2.259431455350338;	2.606922308898749;	2.946076079736177;	3.259744099982271;	3.569032998750125;	3.850101729331243;	4.079177306345382;	4.327480761893607;	4.551137750298540;	4.734465255124428;	4.883775667340969;	5.005549682448544;	5.114862994974933;	5.233974952932688;	5.338344651199846;	5.424729045592304;	5.496099175672137;	5.555883329306140;	5.606816036894866;	5.650722635916853;	5.689125423745981;	5.723310206770555;	5.754228136763378;	5.782749765208103;	5.809815819964003;	5.835729909621927;	5.860978997950609;	5.885969358005179;	5.910910530481447;	5.936051516628518;	5.961650382778977;	5.987875352344176;	6.014849327732913;	6.042544521067349;	6.070839770453238;	6.099742559127249;	6.129387597115280;	6.159840454256653;	6.198012015715613;	6.242123588050847;	6.287379919209950;	6.333698348532443;	6.381172656891943;	6.429811721575126;	6.479616152670991;	6.530629393889995;	6.582834298671774;	6.636355361498501;	6.691476362455825;	6.747763115211051;	6.805000677085651;	6.863190345371886;	6.922339681294932;	6.982478440293655;	7.043628168786922;	7.105733195029022;	7.168698209623754;	7.232365343482408;	7.296554499701394;	7.368047085268387;	7.451185192897833;	7.536456598944932;	7.622503793402672;	7.708871939992163;	7.795685842084588;	7.883185033248232;	7.971168629869394;	8.059686160043544;	8.148848820666029;	8.238464450025422;	8.328494179858724;	8.419101985023653;	8.510020198615518;	8.600918384466750;	8.709804604273346;	8.822799039802986;	8.935597277488331;	9.048078651574921;	9.160466789153443;	9.272855877874443;	9.385202597538671;	9.497685198697823;	9.610366724679643;	9.723063473769653;	9.835967577927672;	9.948718750990109;	10.077081738525610;	10.213777789319124;	10.350956103159255;	10.487397991756994;	10.623217716116223;	10.758461110380228;
0.352422346803772;	0.399575104385209;	0.542712230485065;	0.770935763010346;	1.032859347371440;	1.325750580399361;	1.659072285005353;	1.991365131357775;	2.323525516871719;	2.665497398964471;	2.995111345962409;	3.300850685271433;	3.608202555936196;	3.880330499027283;	4.102299853524300;	4.353438267327525;	4.571689499442768;	4.747703929712899;	4.893888869970636;	5.013606735937074;	5.123882721647905;	5.241806462571457;	5.344643899019238;	5.429784374604710;	5.500170832815736;	5.559239493750431;	5.609611697658805;	5.653078897814301;	5.691139988856200;	5.725036170289094;	5.755621947162051;	5.784034569343455;	5.811009125825336;	5.836856834560572;	5.862061686529967;	5.887018129804702;	5.911935494539904;	5.937065552481918;	5.962659421182300;	5.988886799169458;	6.015863322117286;	6.043558443565937;	6.071847723736643;	6.100751322435149;	6.130399522078485;	6.160857235916090;	6.199410205243591;	6.243535454676844;	6.288793140340990;	6.335115942096255;	6.382596978641086;	6.431241609191067;	6.481051856016544;	6.532072220757962;	6.584282703288377;	6.637814245018585;	6.692953611448425;	6.749240256145079;	6.806476331352864;	6.864665029646870;	6.923813530057007;	6.983952365478795;	7.045102581069671;	7.107206356196031;	7.170167856498185;	7.233827721434799;	7.298005771518991;	7.369667782155133;	7.453048329838907;	7.538299366960206;	7.624338395383018;	7.710685421869329;	7.797484037601134;	7.884973171311302;	7.972941510984850;	8.061446198464495;	8.150598554014257;	8.240199528816905;	8.330214822330614;	8.420812123852873;	8.511713871596065;	8.602589951897802;	8.711828561583046;	8.824830840960649;	8.937596223120583;	9.050048800959743;	9.162412791286220;	9.274779570218037;	9.387103460792773;	9.499567334664679;	9.612231220619016;	9.724907148316824;	9.837795023491369;	9.950523006082667;	10.079153856990748;	10.215934399701496;	10.353081517805942;	10.489489512743701;	10.625278652621697;	10.760492451414692;
0.588066866309812;	0.636186240446865;	0.768641979047897;	0.964666490368399;	1.196676331528676;	1.475519421280268;	1.786630843554486;	2.106153258960948;	2.427338488697416;	2.762669960740079;	3.076836789672797;	3.369361660753371;	3.673485151246313;	3.930315363745140;	4.142861312724475;	4.391051154179424;	4.598476263769125;	4.769086889447517;	4.910744207686744;	5.027035158417956;	5.138915599436193;	5.254858978636070;	5.355142645384892;	5.438209922958719;	5.506956928055066;	5.564833101157580;	5.614271132265369;	5.657006000976715;	5.694314449708981;	5.727614273168792;	5.757944964493173;	5.786175909569041;	5.812997968927558;	5.838735042791646;	5.863866167495564;	5.888766082803905;	5.913643767970665;	5.938755612237587;	5.964341151854504;	5.990572543878262;	6.017553312757909;	6.045248314396917;	6.073527645875650;	6.102432594614980;	6.132086063683826;	6.162551872015154;	6.201740521123553;	6.245888565720172;	6.291148508892721;	6.337478598035942;	6.384970848222991;	6.433624755217637;	6.483444694925798;	6.534476932204574;	6.586696710982716;	6.640245717552056;	6.695415693102760;	6.751702157701792;	6.808935755131551;	6.867122836771844;	6.926269944660467;	6.986408907454029;	7.047559934874252;	7.109661624807711;	7.172617267955571;	7.236265018022118;	7.300424557881652;	7.372368943633043;	7.456153558074032;	7.541370646985661;	7.627396065350259;	7.713707891664602;	7.800481030128708;	7.887953401416421;	7.975896312843942;	8.064379595832749;	8.153514776261305;	8.243091326802713;	8.333082559783762;	8.423662355234905;	8.514536659896978;	8.605375897616216;	8.715201823765879;	8.828217176223422;	8.940927799174336;	9.053332383267778;	9.165656128174181;	9.277985724124028;	9.390271566216276;	9.502704227942774;	9.615338713851301;	9.727979939228776;	9.840840766097529;	9.953530097903601;	10.082607387765977;	10.219528750338783;	10.356623875550419;	10.492975381054878;	10.628713546797488;	10.763878019805464;
0.885198380512761;	0.925120946850192;	1.028288953074046;	1.194010268188530;	1.412478040199545;	1.682949778758106;	1.962452045342893;	2.255706069177505;	2.564013698850768;	2.877085581934621;	3.174185953892346;	3.461089935515060;	3.746410815404049;	3.984267973829281;	4.203428825403617;	4.439021554886157;	4.635977733826025;	4.799023033075981;	4.934341680489298;	5.045834949891191;	5.159961628339795;	5.273132501126531;	5.369840890296808;	5.450005690654331;	5.516457461390130;	5.572664151527590;	5.620392745136655;	5.661835210773382;	5.698401433802618;	5.731223617200367;	5.761197188756744;	5.789173785884862;	5.815782349270668;	5.841364534315152;	5.866392440847399;	5.891213217002791;	5.916035350773731;	5.941121695895522;	5.966695574795589;	5.992932586470587;	6.019919299654781;	6.047614133560291;	6.075879536870261;	6.104786375666744;	6.134447221931305;	6.164924362553843;	6.205002963355501;	6.249182921180831;	6.294446024865145;	6.340786316351503;	6.388294265637659;	6.436961159654835;	6.486794669398756;	6.537843528229831;	6.590076321754792;	6.643649779098917;	6.698862607418827;	6.755148819881190;	6.812378948421713;	6.870563766746807;	6.929708925105310;	6.989848066219357;	7.051000230200666;	7.113099000864065;	7.176046443995912;	7.239677233244365;	7.303810858789378;	7.376150569702117;	7.460500877603206;	7.545670439021300;	7.631676803304396;	7.717939349377986;	7.804676819667312;	7.892125723563588;	7.980033035446673;	8.068486352148302;	8.157597487407173;	8.247139843982843;	8.337097392218169;	8.427652679169750;	8.518488563518254;	8.609276221622000;	8.719924390821845;	8.832958045591303;	8.945592005649591;	9.057929398499027;	9.170196799817328;	9.282474339592417;	9.394706913809179;	9.507095878532105;	9.619689204376503;	9.732281846505508;	9.845104805746152;	9.957740026452907;	10.087442330851299;	10.224560841230984;	10.361583176392687;	10.497855596690526;	10.633522398643597;	10.768617815552544;
1.190582472465484;	1.223726735488381;	1.318438276033187;	1.469948141763183;	1.680321936968634;	1.909005609628915;	2.167018652465875;	2.443458915774471;	2.739738969047934;	3.024191380613318;	3.297505709759832;	3.578598607073270;	3.837097124492169;	4.053635615366034;	4.281301341705372;	4.500697784366243;	4.684193909613469;	4.837512360598293;	4.964681288378294;	5.070006110356779;	5.187020808358713;	5.296627030042836;	5.388460238711438;	5.464141603167382;	5.527278054427998;	5.581102609596075;	5.627461530829000;	5.667878906104038;	5.703656127637296;	5.735864202383822;	5.765378619952763;	5.793028198290917;	5.819362266854667;	5.844745309131087;	5.869640506585474;	5.894359532401359;	5.919110242949102;	5.944163803455726;	5.969722690005557;	5.995966926946435;	6.022961282807901;	6.050655901056056;	6.078903396720475;	6.107812665590440;	6.137482996820919;	6.167974707532158;	6.209197531939433;	6.253418521058822;	6.298685688258263;	6.345039097042939;	6.392567230885088;	6.441250822502661;	6.491101779435414;	6.542172008833733;	6.594421535604602;	6.648026429659166;	6.703294354396629;	6.759580242683273;	6.816805911223351;	6.874987819571759;	6.934130471391537;	6.994269841774777;	7.055423222176561;	7.117517099388319;	7.180451124893509;	7.244055785731859;	7.308326516586837;	7.381274493796972;	7.466067412209709;	7.551189243189937;	7.637155327205944;	7.723361016543165;	7.810058776516109;	7.897470648728811;	7.985335045790188;	8.073752985167662;	8.162827399561285;	8.252326020213783;	8.342245447214879;	8.432761422956970;	8.523540645367811;	8.614749561402281;	8.726005330825979;	8.839020662836932;	8.951564591168404;	9.063823243073088;	9.176022924312745;	9.288236818933907;	9.400405382502187;	9.512741201654357;	9.625282692194618;	9.737812870147023;	9.850587142437240;	9.963152791730586;	10.093658686246714;	10.231030672378100;	10.367959420332745;	10.504130159650643;	10.639705208160022;	10.774711838655934;
1.526721833387186;	1.557023806533185;	1.647929725971182;	1.778747318186072;	1.956612396921845;	2.164286702605798;	2.401458199845117;	2.658234246015452;	2.922890720362685;	3.184861742573476;	3.444846063169713;	3.713487965296180;	3.943490447234391;	4.140145567877717;	4.375035086969254;	4.575116238325342;	4.741786765918240;	4.882404094112409;	4.999023158575946;	5.101473616243847;	5.217067729664794;	5.320497067710946;	5.406996445090258;	5.479071012693909;	5.539583990723728;	5.591353365730516;	5.636101157786308;	5.675265644841507;	5.710078531213012;	5.741536028719156;	5.770489258081231;	5.797739146787206;	5.823737721679556;	5.848877367239451;	5.873610364709786;	5.898205028999608;	5.922868444496777;	5.947881934918196;	5.973422497484406;	5.999675565305804;	6.026679262217271;	6.054373616884214;	6.082599225426291;	6.111511464386068;	6.141193388352670;	6.171702906950098;	6.214324226875350;	6.258595365354144;	6.303868588506519;	6.350240732715075;	6.397794583949155;	6.446500530889725;	6.496376396243431;	6.547472056190997;	6.599753385499126;	6.653417333428170;	6.708710661929371;	6.764992322518298;	6.822213738103158;	6.880392302250979;	6.939534846702625;	6.999676015380084;	7.060824813122260;	7.122905804594568;	7.185813177385612;	7.249377115729714;	7.314269071838238;	7.388105995914246;	7.472824228265711;	7.557916117117868;	7.643804760755546;	7.729954400103829;	7.816615282747369;	7.903971212818815;	7.991788520000345;	8.080168674111169;	8.169189355130060;	8.258635042610710;	8.348515956255349;	8.438971557218977;	8.529669725948329;	8.622170738204513;	8.733455268404079;	8.846350130155189;	8.958788472246082;	9.070958584226604;	9.183076462905927;	9.295206650865614;	9.407306547713995;	9.519577686765388;	9.632044900073319;	9.744517737678731;	9.857212599167756;	9.970592926823683;	10.101492376567547;	10.238861503282951;	10.375680390939285;	10.511743841267018;	10.647218053335909;	10.782121113790756;
1.876588734561404;	1.901998031523657;	1.978225922410418;	2.096218895833395;	2.247510219597274;	2.438011551062707;	2.655283590129914;	2.887350430115439;	3.127345124869011;	3.362990278826513;	3.614580810976017;	3.844479300645687;	4.043688151676368;	4.252628091424696;	4.464122973996044;	4.644761825573871;	4.797382461228246;	4.926227972174294;	5.033937057026240;	5.140559098493395;	5.251004271432790;	5.347793808261645;	5.428902870810681;	5.496714860316169;	5.554127369982318;	5.603467895707582;	5.646311626008583;	5.683995426985788;	5.717668644529767;	5.748239096206368;	5.776529103142147;	5.803306631373730;	5.828908713745331;	5.853760708640246;	5.878302015220338;	5.902749706797539;	5.927309955416756;	5.952275791751111;	5.977796249160621;	6.004060983491880;	6.031073135591067;	6.058756139567196;	6.086968890819720;	6.115891434821676;	6.145593783308132;	6.177478273305614;	6.220436798308943;	6.264719224127415;	6.310011493949704;	6.356412793628028;	6.403990763618236;	6.452721912053788;	6.502628646004623;	6.553748476196279;	6.606075214086152;	6.659818745729439;	6.715111605976825;	6.771386824342884;	6.828604036628089;	6.886778980219972;	6.945921855838233;	7.006065135271995;	7.067208511512630;	7.129274274383771;	7.192150148512640;	7.255665960272633;	7.321292091680804;	7.396179589325569;	7.480809556331897;	7.565866059032695;	7.651663182223258;	7.737746580675523;	7.824363881020678;	7.911653697652457;	7.999415353157802;	8.087750851953496;	8.176708029893160;	8.266091159988894;	8.355926557848633;	8.446310806801348;	8.536913184816212;	8.630941219879878;	8.742259740087286;	8.855012227894948;	8.967325786246974;	9.079391260135305;	9.191412463061505;	9.303443724966723;	9.415462470237042;	9.527657169169332;	9.640034156444393;	9.752436668454747;	9.865031037902181;	9.979572106839282;	10.110837688224491;	10.248071633418592;	10.384743648548344;	10.520674566124077;	10.656020531151915;	10.790778676177524;
2.222171787172460;	2.243784833424442;	2.308623972180390;	2.414854944566291;	2.553118969427240;	2.730887001391318;	2.917570509871584;	3.124955856646439;	3.332878051314823;	3.559470938900155;	3.781561948703676;	3.979967273739628;	4.163588494749821;	4.379737089707860;	4.566916689796188;	4.725122118552943;	4.861531340432098;	4.976793985322622;	5.074222324468886;	5.185657731858258;	5.290161819626632;	5.379290047358607;	5.454179515872708;	5.517073146034161;	5.570908192203768;	5.617446199527275;	5.658063869959504;	5.693941155632909;	5.726241376375342;	5.755767897667353;	5.783302612336346;	5.809524510516434;	5.834694788293649;	5.859254326278859;	5.883591405154618;	5.907895305898399;	5.932384557973600;	5.957320983767723;	5.982853483287033;	6.009130955413748;	6.036142748084009;	6.063795905984219;	6.092012707359213;	6.120951059637701;	6.150677691605322;	6.184469220945502;	6.227496131438927;	6.271785329782610;	6.317099461768763;	6.363534402373743;	6.411140201697946;	6.459900428781553;	6.509842780344458;	6.560990499279296;	6.613369631686568;	6.667204990692442;	6.722497310646963;	6.778765095678946;	6.835977458003010;	6.894148224030350;	6.953291481763933;	7.013437196685739;	7.074574317347674;	7.136622508755930;	7.199462038274597;	7.262922319360617;	7.329395576114534;	7.405495274030943;	7.490023396408264;	7.575039068934418;	7.660730591609079;	7.746737558258247;	7.833304571336035;	7.920518103229736;	8.008215545262562;	8.096499518694642;	8.185383423850581;	8.274694372348341;	8.364477251994730;	8.454779171704084;	8.545271021971462;	8.641061006428377;	8.752418745875604;	8.865006956056208;	8.977176533171079;	9.089121270799190;	9.201030924779479;	9.312948041237231;	9.424873150071324;	9.536979648866192;	9.649252529180250;	9.761573896273227;	9.874052313364981;	9.989932699164971;	10.121620740136350;	10.258698706652023;	10.395201253481874;	10.530979248651452;	10.666177236324232;	10.800768171239179;
2.569012422974639;	2.588764426526203;	2.648020437180895;	2.746780454938717;	2.864735093294565;	3.013550959631116;	3.177693937905761;	3.357893173285027;	3.556890700527940;	3.759183890884951;	3.947255654545181;	4.110995041086829;	4.310681025542025;	4.496236634281355;	4.659027825927807;	4.800117909924265;	4.921563707015572;	5.024787289461802;	5.124233045563649;	5.231547237829551;	5.327895293606771;	5.409524338584235;	5.478361032945557;	5.536735319626328;	5.587095003520873;	5.630922987877475;	5.669479738917411;	5.703866688431743;	5.735006926166312;	5.763666156593167;	5.790583169103339;	5.816286577063988;	5.841080696279303;	5.865389561561888;	5.889534445351912;	5.913703435562987;	5.938130761142872;	5.963038868053217;	5.988585015296967;	6.014876923591864;	6.041888308909343;	6.069507641256845;	6.097729032770641;	6.126685301095861;	6.156439454342139;	6.192392294937374;	6.235496708986243;	6.279793582858497;	6.325132491963698;	6.371605558952220;	6.419242898188283;	6.468036081073020;	6.518018799262940;	6.569198125440050;	6.621636638300371;	6.675576068317178;	6.730867775939786;	6.787127136526482;	6.844334002227920;	6.902500033682112;	6.961643724479728;	7.021792199621316;	7.082922230627390;	7.144950507711042;	7.207748846671482;	7.271146192993664;	7.338579525139427;	7.416053050030365;	7.500465748494815;	7.585435146823038;	7.671006988913011;	7.756927332852001;	7.843437353693438;	7.930564429550652;	8.018189096314623;	8.106414674334607;	8.195215537002325;	8.284444679689043;	8.374168038693638;	8.464376651927187;	8.554743237414081;	8.652530097850006;	8.763932285769030;	8.876334314638967;	8.988340713018399;	9.100148616218258;	9.211931848059850;	9.323719599677142;	9.435538587216845;	9.547545125855965;	9.659700018280887;	9.771929421134169;	9.884276425556152;	10.001674703800754;	10.133841532303125;	10.270742722983247;	10.407053205739874;	10.542657888849144;	10.677688168852855;	10.812089598975723;
2.910730239240168;	2.927265335499785;	2.976870624278635;	3.059546105576719;	3.160806051845944;	3.285559368646974;	3.435132224591964;	3.606840095859373;	3.777345127189510;	3.945553294093028;	4.093698453344994;	4.273757606019932;	4.453127563101972;	4.614487500504577;	4.755910275800959;	4.879896074494471;	4.985613990336788;	5.075815294889154;	5.181357981159142;	5.281146798875084;	5.367790529796255;	5.441541422329468;	5.504148194855014;	5.557991027773498;	5.604800855025816;	5.645845979894646;	5.682238651282129;	5.714959930971617;	5.744803717109161;	5.772493622451431;	5.798720261960566;	5.823844180852431;	5.848217887557388;	5.872246589231155;	5.896176666748888;	5.920194874599880;	5.944552988214411;	5.969429444607592;	5.994990845190422;	6.021298888026230;	6.048309818067070;	6.075891345385074;	6.104117867053999;	6.133094159196159;	6.162879071518581;	6.201247495281231;	6.244438530950889;	6.288743983355078;	6.334110584534508;	6.380626263363459;	6.428298853089247;	6.477128868928189;	6.527156702760066;	6.578371354678539;	6.630876233927564;	6.684931978603649;	6.740223001855295;	6.796472946885494;	6.853673669302820;	6.911834409175257;	6.970978583985616;	7.031130144078724;	7.092252251351779;	7.154258271249108;	7.217010573703294;	7.280337581171777;	7.348843938755485;	7.427852917323839;	7.512136612591547;	7.597054292698554;	7.682492374135052;	7.768315904456785;	7.854762228092888;	7.941792676615206;	8.029336006313985;	8.117496318873393;	8.206204369348391;	8.295342082011008;	8.384998917945360;	8.475103247470653;	8.565329831144064;	8.665348494144771;	8.776800359767565;	8.888994303643232;	9.000818325788934;	9.112473296392512;	9.224115232902617;	9.335758400286453;	9.447458781673605;	9.559353600138651;	9.671376623746305;	9.783503243037577;	9.895703374475698;	10.014798120746628;	10.147500064724813;	10.284203682412260;	10.420299505322347;	10.555710486717153;	10.690553328737789;	10.824742959387152;
