0.166561464175965;	0.164640086179385;	0.160708039008632;	0.155840919737472;	0.150803804205651;	0.145900091779532;	0.141342929689026;	0.137011039903356;	0.132924274405353;	0.129094752533072;	0.125404873234226;	0.121865125778584;	0.118441647950333;	0.115077978270570;	0.111769234613684;	0.108521344370449;	0.105292171530282;	0.102075064112518;	0.098852681369787;	0.095624613911736;	0.092391090588498;	0.089154028941755;	0.085914742498545;	0.082657376420439;	0.079381694796576;	0.076087282429390;	0.072774221294492;	0.069443447132205;	0.066096591703257;	0.062742620770800;	0.059389795598896;	0.056022657222631;	0.052643068808536;	0.049543515569251;	0.046745813560355;	0.043999897575368;	0.041311799204667;	0.038709100753319;	0.036202558048307;	0.033752009865788;	0.031363159190072;	0.029040690666047;	0.026789359338374;	0.024613676128286;	0.022517969709883;	0.020696467120527;	0.019166646094714;	0.017661488250426;	0.016181471435909;	0.014726493525557;	0.013295998051010;	0.011890007425613;	0.010508723617177;	0.009151959884041;	0.007823021460305;	0.006524748151159;	0.005247706062958;	0.003991675320547;	0.002756655993819;	0.001549347861274;	0.000365791263868;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;
0.212589594396174;	0.210636254770475;	0.206568095549394;	0.201483187810532;	0.196223043319083;	0.191088189433863;	0.186302220174037;	0.181752072025318;	0.177469337852700;	0.173462584060219;	0.169606758898819;	0.165919237404132;	0.162360733617030;	0.158871646862088;	0.155448520516660;	0.152095743233489;	0.148767951628741;	0.145458489137698;	0.142147242426004;	0.138833807804981;	0.135518267483631;	0.132202110544881;	0.128887057676683;	0.125554544103076;	0.122203897684880;	0.118834255593032;	0.115445335130125;	0.112037777300513;	0.108613027349339;	0.105182576307883;	0.101757317051389;	0.098314563605433;	0.094855901754634;	0.091362193860293;	0.087837081560460;	0.084303645852983;	0.080765942434393;	0.077281592082715;	0.073877259581920;	0.070449190198824;	0.066999426546605;	0.063528947761225;	0.060039196415602;	0.056532217495295;	0.053011346408190;	0.050284796550673;	0.048622555848725;	0.046983022170818;	0.045366826456547;	0.043773953158247;	0.042203899968477;	0.040656792911150;	0.039132948056644;	0.037632268933000;	0.036164435243003;	0.034741580528824;	0.033337624602306;	0.031952470775336;	0.030586262097214;	0.029243145412398;	0.027921436156620;	0.026821984845633;	0.025842950876016;	0.024892249171293;	0.023969679992614;	0.023073513706353;	0.022201360415484;	0.021352241365974;	0.020529518386177;	0.019730617979835;	0.018950875645765;	0.018189227478925;	0.017444578153751;	0.016716047246185;	0.016003195440880;	0.015308390621158;	0.014627763184622;	0.013960694599814;	0.013306675729866;	0.012665242179927;	0.012036145961583;	0.011419372446374;	0.010816195300334;	0.010225480259307;	0.009645697216913;	0.009076345164949;	0.008516955386694;	0.007967119131948;	0.007426589212161;	0.006895233831810;	0.006372970067008;	0.005859414256852;	0.005354145562145;	0.004856944971799;	0.004368373831038;	0.003888427474592;	0.003416128079769;	0.002951154546565;	0.002494563356760;	0.002045851188379;
0.352422346803772;	0.350531889677249;	0.346430271151886;	0.341115914693966;	0.335456815766526;	0.329853654173852;	0.324522119603902;	0.319405120208505;	0.314595024232066;	0.310077708754672;	0.305725793629619;	0.301578410429520;	0.297581064345736;	0.293669948440657;	0.289847323823323;	0.286112408467756;	0.282413654824498;	0.278741747631342;	0.275071816461646;	0.271402868804740;	0.267734951963046;	0.264068650871131;	0.260409341723687;	0.256726699652667;	0.253018668677461;	0.249282922596021;	0.245517975657602;	0.241723476492422;	0.237900320636906;	0.234074932587904;	0.230273696070175;	0.226433057421748;	0.222552848533571;	0.218635072747287;	0.214680811250674;	0.210689756787552;	0.206663335348762;	0.202850895969186;	0.199454142200766;	0.196031194290700;	0.192583406407430;	0.189112601365289;	0.185620178179212;	0.182107191319995;	0.178575264702382;	0.175224956310563;	0.172176668247321;	0.169189125853883;	0.166258991488037;	0.163382625230663;	0.160555976098177;	0.157776456925757;	0.155042216461157;	0.152350868162153;	0.149718563520779;	0.147169857760317;	0.144656226639515;	0.142175504135465;	0.139726322423151;	0.137309419711729;	0.134924154898806;	0.132655838482073;	0.130462696776170;	0.128304425355789;	0.126185776036255;	0.124102633514268;	0.122050553877932;	0.120028882315078;	0.118047796846785;	0.116104173668523;	0.114187920034316;	0.112297482015114;	0.110431185241584;	0.108587768642227;	0.106766349111918;	0.104967833283178;	0.103189552482975;	0.101430650761743;	0.099690484470028;	0.097968467666278;	0.096264502156025;	0.094578980205551;	0.092916580239726;	0.091274807675402;	0.089649413543314;	0.088039560184785;	0.086444436314090;	0.084863349163136;	0.083297980448420;	0.081749050395005;	0.080213273977462;	0.078689917037553;	0.077178215848942;	0.075677886771744;	0.074190508060666;	0.072716366762449;	0.071253109857282;	0.069800174165091;	0.068358701149608;	0.066928362505362;
0.587873745487459;	0.586041619269522;	0.581864168596033;	0.576287978905508;	0.570188557085449;	0.564027017826513;	0.558040280031866;	0.552240602778539;	0.546797894178260;	0.541653215176803;	0.536702408042997;	0.532009197070097;	0.527493505583643;	0.523096569418919;	0.518826651371385;	0.514672903604581;	0.510580223615382;	0.506530023793491;	0.502495726634176;	0.498474616239827;	0.494466992822677;	0.490473546684449;	0.486520618628254;	0.482541207617655;	0.478530733346863;	0.474484102362861;	0.470397373435833;	0.466267594943663;	0.462093862838123;	0.458006876302575;	0.454188332810561;	0.450330029404543;	0.446431380497658;	0.442493588885223;	0.438517379017251;	0.434502530105958;	0.430450101659342;	0.426415125348467;	0.422460565318631;	0.418498777724722;	0.414529822687797;	0.410554883541828;	0.406574324199822;	0.402587754747624;	0.398595027101721;	0.394670018824439;	0.390865960369868;	0.387097347416269;	0.383365409144170;	0.379669391684951;	0.376007098741031;	0.372378208526557;	0.368783089876557;	0.365220760334771;	0.361708557652963;	0.358272964239377;	0.354868376548900;	0.351492409769102;	0.348144203796881;	0.344824566629867;	0.341536570125209;	0.338317813679273;	0.335148896360670;	0.332010297547096;	0.328911198191164;	0.325846637647244;	0.322811822028926;	0.319806890717296;	0.316841914222139;	0.313914825141264;	0.311016857584855;	0.308146372485612;	0.305301521858252;	0.302481027437017;	0.299683967036683;	0.296910681102660;	0.294159303610629;	0.291429013501491;	0.288719301280367;	0.286029697743472;	0.283360562784118;	0.280712947333684;	0.278090823168342;	0.275490991397529;	0.272909948842368;	0.270346723713565;	0.267800252099949;	0.265269632754517;	0.262766111568232;	0.260296293212650;	0.257843040172378;	0.255407476653840;	0.252984661261329;	0.250574408508872;	0.248179803798002;	0.245802149624410;	0.243436398232770;	0.241081835894742;	0.238739723181441;	0.236410078163673;
0.921656459902993;	0.919917617677096;	0.915780806529199;	0.910173490551134;	0.903791459578478;	0.897163306561099;	0.890591797674103;	0.884183171230147;	0.878140398729181;	0.872353545894437;	0.866798313130412;	0.861541406931742;	0.856472314786709;	0.851564581572783;	0.846823875741716;	0.842238543848439;	0.837746293413622;	0.833310352496552;	0.828903265612395;	0.824520883853071;	0.820162561613325;	0.815848100156124;	0.811813154453192;	0.807761527576158;	0.803686798855825;	0.799581900157756;	0.795442572281634;	0.791263288687882;	0.787041573497858;	0.782800797675288;	0.778585098971557;	0.774341027157380;	0.770066495657990;	0.765761368538912;	0.761425640650915;	0.757058659400232;	0.752660908393274;	0.748252534510659;	0.743858573194356;	0.739449215816056;	0.735025790011745;	0.730591162072296;	0.726146662505585;	0.721692496623764;	0.717228965263064;	0.712792131628003;	0.708410682871600;	0.704044226577216;	0.699694553693744;	0.695362347975665;	0.691046644352041;	0.686748180385443;	0.682468895495777;	0.678208258794911;	0.673982382155660;	0.669816274204514;	0.665673806047577;	0.661550175858981;	0.657445007041729;	0.653359486119613;	0.649299212763232;	0.645281697494412;	0.641296908781323;	0.637334486753419;	0.633402927309209;	0.629498774720858;	0.625619094270478;	0.621764876914049;	0.617945281361026;	0.614158624328171;	0.610398276316427;	0.606662717879145;	0.602950157031863;	0.599259490746215;	0.595589960493638;	0.591941724886249;	0.588313567122591;	0.584704835926310;	0.581115308152072;	0.577544726950070;	0.573994107861259;	0.570465314264693;	0.566962514387380;	0.563481634313530;	0.560019414378702;	0.556575006463615;	0.553147060319201;	0.549734385111517;	0.546351270211987;	0.543006690281360;	0.539684162970350;	0.536395277478649;	0.533118287009663;	0.529856404897029;	0.526612314676553;	0.523392592548343;	0.520182953062577;	0.516982393700617;	0.513792114699895;	0.510612276240225;
1.355259193734505;	1.353650046250933;	1.349645478910287;	1.344215010676087;	1.337697178227491;	1.330808434132956;	1.323765410425598;	1.316886713132333;	1.310319031444053;	1.303945131740938;	1.297857542118182;	1.292070737921587;	1.286461492523031;	1.281046033850328;	1.275831843655233;	1.270975173720498;	1.266272857632990;	1.261643367329762;	1.257065189645991;	1.252530256174578;	1.248041113032204;	1.243585525602896;	1.239194595305832;	1.234805770153934;	1.230408152742009;	1.225992368375755;	1.221551748659718;	1.217079785184634;	1.212572605346777;	1.208036101806833;	1.203485012668448;	1.198899651616390;	1.194278833700662;	1.189622858190640;	1.184931900553541;	1.180205694652717;	1.175444992461911;	1.170660414148820;	1.165864985908687;	1.161044691584655;	1.156201262866190;	1.151338688963648;	1.146458580464821;	1.141561300903959;	1.136647405253089;	1.131738641735592;	1.126853799279374;	1.121968674726500;	1.117084631058394;	1.112203009653640;	1.107323201837772;	1.102446308380404;	1.097576925280142;	1.092713404729969;	1.087869419147286;	1.083067383462600;	1.078279215706680;	1.073499666225251;	1.068728568761889;	1.063967078546746;	1.059220330212994;	1.054498379164253;	1.049795687488516;	1.045106491884826;	1.040438426743001;	1.035789745709670;	1.031158550148179;	1.026546661444828;	1.021962410930925;	1.017404008629699;	1.012866808207149;	1.008349361166909;	1.003849982878779;	0.999367780724132;	0.994902227292582;	0.990453549397271;	0.986020988240049;	0.981604111258274;	0.977203082531006;	0.972817823402499;	0.968450154787574;	0.964102914090565;	0.959780750648043;	0.955478458977143;	0.951192864437684;	0.946923911329418;	0.942669644472275;	0.938427947243233;	0.934213648478783;	0.930037671463884;	0.925891719687171;	0.921782742401763;	0.917682578169800;	0.913609617765395;	0.909557266314377;	0.905549137343945;	0.901550547505568;	0.897559370379328;	0.893576737696098;	0.889602915767034;
1.889621957455334;	1.888172441199588;	1.884393969242385;	1.879105106728378;	1.872675464000015;	1.865611621883117;	1.858354480473142;	1.851271278713079;	1.844263216183188;	1.837396924272932;	1.830998252788941;	1.824899090940554;	1.818985176264741;	1.813298268797285;	1.807839959852516;	1.802552320476345;	1.797434908964346;	1.792413462921987;	1.787470303472754;	1.782595726966149;	1.777790288131971;	1.773035386954389;	1.768325359530314;	1.763624558626467;	1.758920401665236;	1.754201770167068;	1.749460300117742;	1.744688706949823;	1.739882123232037;	1.735041414530859;	1.730172439473616;	1.725263188609260;	1.720312374845766;	1.715320083007500;	1.710286293534277;	1.705210780522114;	1.700094319405940;	1.694943876103056;	1.689767708490860;	1.684557666385704;	1.679315615144682;	1.674046328794136;	1.668751437173700;	1.663431086953086;	1.658085868752566;	1.652731238185437;	1.647381657656509;	1.642019273488578;	1.636645917428053;	1.631264187680602;	1.625871812831947;	1.620469965460485;	1.615064091001053;	1.609652685975803;	1.604247452642339;	1.598867980804145;	1.593490949570713;	1.588112823795366;	1.582733505801293;	1.577354095985395;	1.571978940458252;	1.566614664438286;	1.561258135070970;	1.555906180163413;	1.550565900576419;	1.545236874687282;	1.539917830900391;	1.534611327525704;	1.529324988685965;	1.524056709015674;	1.518803520147266;	1.513563885902514;	1.508336231454983;	1.503119840795647;	1.497914431875710;	1.492720389366362;	1.487537251994495;	1.482364827123402;	1.477203837305118;	1.472054120490581;	1.466918467988512;	1.461801209985631;	1.456707203254949;	1.451629449167228;	1.446564765389696;	1.441518011352491;	1.436486256216120;	1.431462316536032;	1.426460343807161;	1.421493532043404;	1.416570921709652;	1.411684473978464;	1.406804345013961;	1.401955296390395;	1.397124581697201;	1.392342454735214;	1.387573531640197;	1.382812568464806;	1.378060856949232;	1.373317254438859;
2.525156548573362;	2.523848164246029;	2.520340164776046;	2.515211652363897;	2.509039657461971;	2.502024810978701;	2.494976508190581;	2.487801462910908;	2.480622583023986;	2.473618120058264;	2.466916563705895;	2.460403208811768;	2.454093221650425;	2.448038756965922;	2.442189602886021;	2.436522016662899;	2.431027230462210;	2.425641709496581;	2.420349277019084;	2.415148032459369;	2.410028620760454;	2.404972275059955;	2.399959684285581;	2.394961627289001;	2.389963582896521;	2.384952862482322;	2.379919561553367;	2.374855431491423;	2.369754497720843;	2.364615188282931;	2.359439512044287;	2.354217939858562;	2.348948732297927;	2.343631550106066;	2.338266007891403;	2.332851703627048;	2.327389316194062;	2.321883936313090;	2.316341587023521;	2.310756892769694;	2.305131844966680;	2.299471715895146;	2.293778210690703;	2.288050901998190;	2.282290268412918;	2.276509950416418;	2.270721601264938;	2.264909625842516;	2.259075841651840;	2.253223325014472;	2.247349623799360;	2.241455869327070;	2.235546543781594;	2.229621123372078;	2.223690051703988;	2.217770380879319;	2.211842675657223;	2.205904649613486;	2.199956226272743;	2.193998484583345;	2.188035107205563;	2.182070949881367;	2.176104271498497;	2.170133528468107;	2.164165633340647;	2.158201041618247;	2.152238949058131;	2.146282534983422;	2.140338751479597;	2.134405160526194;	2.128480189034091;	2.122562026456316;	2.116649208880704;	2.110741129717040;	2.104837788500014;	2.098939753839309;	2.093046627758648;	2.087158505129592;	2.081277408092461;	2.075401878054597;	2.069535819278806;	2.063688734480616;	2.057865948728362;	2.052054256689211;	2.046250253278727;	2.040466775463927;	2.034701859995674;	2.028940765106501;	2.023196491034498;	2.017481115134989;	2.011802527756116;	2.006157871902648;	2.000517850462847;	1.994909360690396;	1.989317357107098;	1.983771581896434;	1.978239896988056;	1.972719830234420;	1.967214748060344;	1.961717104228925;
3.262143791198229;	3.260988468605760;	3.257824613473072;	3.253060690269135;	3.247356791711789;	3.240709687988687;	3.233755462277452;	3.226484999530629;	3.219245399668144;	3.212130614082806;	3.205150493317361;	3.198330975905695;	3.191719668244962;	3.185361304495101;	3.179181220629263;	3.173197577718025;	3.167376075131164;	3.161670990105909;	3.156066213478299;	3.150570771765077;	3.145163268974160;	3.139824455356488;	3.134529612325321;	3.129252368233297;	3.123976254802770;	3.118687465988689;	3.113375084424931;	3.108030212882197;	3.102645520944700;	3.097217893271279;	3.091747014504667;	3.086224448180193;	3.080647997948958;	3.075016905904322;	3.069330428784691;	3.063587971726978;	3.057790137470639;	3.051940754921212;	3.046044507040779;	3.040097975945987;	3.034103291234256;	3.028065827283198;	3.021988619896266;	3.015869746156612;	3.009709241414456;	3.003519455308641;	2.997310207728064;	2.991067899460814;	2.984793864455797;	2.978490682055251;	2.972156844627893;	2.965793448043753;	2.959404130233450;	2.952989003404937;	2.946557449601418;	2.940124375745977;	2.933673679911792;	2.927203860795303;	2.920714855951493;	2.914207735944027;	2.907685676532112;	2.901152542360570;	2.894607466694230;	2.888050046929770;	2.881487297614099;	2.874920135689875;	2.868348199149344;	2.861775189873732;	2.855207369071109;	2.848642023175146;	2.842078722098434;	2.835515265967764;	2.828950291693853;	2.822383166126565;	2.815814413288347;	2.809244855728355;	2.802673337800352;	2.796100392113179;	2.789536920187294;	2.782972231873874;	2.776411364373256;	2.769870482548868;	2.763357108052542;	2.756850602977983;	2.750347265202847;	2.743857091935299;	2.737379425670237;	2.730902360801699;	2.724437640080970;	2.717996024794981;	2.711582658808929;	2.705199145260386;	2.698817962618846;	2.692466278778470;	2.686129147550230;	2.679833725411174;	2.673551442850115;	2.667281329642115;	2.661027944756455;	2.654781340064285;
4.101216656813472;	4.100185831162838;	4.097319712714106;	4.092903083559131;	4.087506574779233;	4.081148831570931;	4.074366663716581;	4.067210834563755;	4.060068264591235;	4.052876845514597;	4.045739157874073;	4.038750000098361;	4.031985754532013;	4.025394138398511;	4.018977317810500;	4.012735674016362;	4.006644727807784;	4.000669675713102;	3.994802585173167;	3.989048896057278;	3.983387188460456;	3.977793148451407;	3.972241530681306;	3.966707357917985;	3.961173028259731;	3.955623876371768;	3.950048298957668;	3.944436758869965;	3.938781333392146;	3.933077793302676;	3.927324329067391;	3.921513122291539;	3.915641566960011;	3.909708581486209;	3.903713072178193;	3.897654269715524;	3.891532849633842;	3.885351535472056;	3.879114072601415;	3.872819836967838;	3.866470366981383;	3.860070550387070;	3.853623182548134;	3.847126307227032;	3.840579930020001;	3.833995297756421;	3.827380270244181;	3.820723422514937;	3.814025740680165;	3.807289299028229;	3.800513260551784;	3.793698713399450;	3.786848711029524;	3.779963794838861;	3.773052422291392;	3.766127733045953;	3.759176457431932;	3.752197555765945;	3.745190998556268;	3.738157852969938;	3.731100915412264;	3.724023456488118;	3.716925203776601;	3.709806658769546;	3.702675179878685;	3.695531741865766;	3.688376511661786;	3.681213613624945;	3.674048541889748;	3.666878506080463;	3.659703774154609;	3.652522004716660;	3.645331907911424;	3.638132171803849;	3.630926049754511;	3.623717822304396;	3.616499957873078;	3.609273303071564;	3.602059779079023;	3.594839413897414;	3.587618506737340;	3.580411563778247;	3.573226064600064;	3.566043916255456;	3.558861134852806;	3.551684579553870;	3.544513831879710;	3.537339909419231;	3.530173482910778;	3.523024299823108;	3.515895572729925;	3.508791429640496;	3.501686638365238;	3.494607826840502;	3.487541372625176;	3.480511258246486;	3.473492115391198;	3.466483777736590;	3.459491537228182;	3.452504600088790;
