0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.056860818253152;	0.180839274457036;	0.304186519725754;	0.432940189350557;	0.565525662932142;	0.693950169748005;	0.814477172412280;	0.944159227323105;	1.065690946731097;	1.171442007781628;	1.268359612412234;	1.367393577331589;	1.463026466431813;	1.542988954033221;	1.610081668863565;	1.666760801660712;	1.714035997063935;	1.752994956596677;	1.784802516586644;	1.810839797349064;	1.833361907397193;	1.854943997325831;	1.874963458621982;	1.891898851051004;	1.906500246527776;	1.919439497871503;	1.931401294895185;	1.942785747912082;	1.953853110725370;	1.964950520810435;	1.976338525338877;	1.988216885079172;	2.000782061792829;	2.014240941273151;	2.028811932576914;	2.044561171357756;	2.061430601199532;	2.079309025422556;	2.098267625429604;	2.118385445328745;	2.139664786832958;	2.162373189378703;	2.186678548396489;	2.212377703580029;	2.239409813936773;	2.267897531595610;	2.297787388335595;	2.329008186485268;	2.361600839457656;	2.395547369475455;	2.430886513676150;	2.467798163827455;	2.509526905087202;	2.557439154444295;	2.608353454738433;	2.660441518780721;	2.713714397852391;	2.768185974690364;	2.823793102553993;	2.880412896011867;	2.937923053242886;	2.996159776927188;	3.055059590760483;	3.114571883111026;	3.174624331902677;	3.235246474417029;	3.304377256488925;	3.380819341846535;	3.458115888743552;	3.535893536167376;	3.614537403010047;	3.695450238667709;	3.778350941701054;	3.862203412754792;	3.948250740028910;	4.035894360067094;	4.127280603152768;	4.228066885116298;	4.334404196471505;	4.440199909973021;	4.545444230732488;	4.650356718284705;	4.755137829242924;	4.859744094263190;	4.964139057778111;	5.070890639724197;	5.187649009398148;	5.313555394395009;	5.438903618021949;	5.563625918805268;	5.687655973579471;	5.810708471300281;	5.932998526626004;	6.054428726079711;	6.180788630728440;	6.319282548463018;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.000000000000000;	0.070477907066622;	0.194456363270506;	0.314527029647767;	0.441806069331341;	0.572993237028173;	0.701417743844036;	0.820620424136527;	0.950252410149013;	1.070467808532167;	1.175198641124609;	1.271725342750980;	1.370779597036111;	1.465668534651667;	1.545055361652174;	1.611736522093776;	1.668074557037209;	1.715070284415054;	1.753802344311827;	1.785431523709418;	1.811338414873268;	1.833805020365912;	1.855370339031930;	1.875308449147728;	1.892183398972976;	1.906739922284814;	1.919648847005978;	1.931593272206458;	1.942963441929475;	1.954023239488801;	1.965118142840808;	1.976506863772250;	1.988388502580702;	2.000959547771318;	2.014426744042677;	2.029008527258234;	2.044767341083823;	2.061645120034282;	2.079529730282478;	2.098496861254003;	2.118622561660037;	2.139909645151124;	2.162630219536908;	2.186947105913923;	2.212653829523505;	2.239694398482190;	2.268191507899305;	2.298088691583105;	2.329316470336304;	2.361916518795988;	2.395869453372109;	2.431215809606141;	2.468136423373206;	2.509920118333096;	2.557875237146145;	2.608792136921029;	2.660882541564424;	2.714157952073201;	2.768631985935774;	2.824240620527192;	2.880860817678325;	2.938370475214063;	2.996605178636486;	3.055503327280393;	3.115013121700146;	3.175062878401121;	3.235682995193160;	3.304912906416542;	3.381355469298541;	3.458648702165585;	3.536421558333926;	3.615066969060809;	3.695993530436823;	3.778893102302632;	3.862744790675841;	3.948806632068456;	4.036442160657253;	4.127869389532459;	4.228716990958031;	4.335043446792362;	4.440827688532129;	4.546061673969962;	4.650965887968291;	4.755739339037629;	4.860337052535777;	4.964724534742773;	5.071500996917038;	5.188340726600376;	5.314237226590907;	5.439573764349316;	5.564286703813071;	5.688303536429789;	5.811345611153964;	5.933624327735966;	6.055043985925311;	6.181474368454941;	6.319994547705959;
0.000000000000000;	0.000000000000000;	0.000000000000000;	0.014901485348454;	0.111329173507031;	0.230480686369328;	0.345548559413807;	0.468403709273693;	0.595395959316266;	0.720971535381583;	0.839050179309268;	0.968531958626736;	1.084798393935375;	1.186468541153551;	1.281822533767217;	1.380937656149677;	1.473594739311230;	1.551254584509034;	1.616701081784411;	1.672015823166702;	1.718173146468412;	1.756224507457278;	1.787318545077742;	1.812834267445879;	1.835134359272068;	1.856649364150227;	1.876343420724964;	1.893037042738892;	1.907458949555927;	1.920276894409404;	1.932169204140274;	1.943496523981654;	1.954533625779093;	1.965621008931925;	1.977011879072370;	1.988903355085291;	2.001492005706787;	2.014984152351253;	2.029598311302192;	2.045385850262025;	2.062288676538531;	2.080191844862245;	2.099184568727200;	2.119333910653914;	2.140644220105622;	2.163401310011525;	2.187752778466226;	2.213482207353931;	2.240548152118440;	2.269073436810388;	2.298992601325637;	2.330241321889413;	2.362863556810986;	2.396835705062070;	2.432203697396113;	2.469151202010459;	2.511099758070777;	2.559183485251695;	2.610108183468815;	2.662205609915533;	2.715488614735631;	2.769970019672004;	2.825583174446789;	2.882204582677697;	2.939712741127592;	2.997941383764382;	3.056834536840122;	3.116336837467505;	3.176378517896453;	3.236992557521552;	3.306519856199392;	3.382963851654560;	3.460247142431683;	3.538005624833575;	3.616655667213093;	3.697623405744166;	3.780519584107366;	3.864368924438985;	3.950474308187095;	4.038085562427729;	4.129635748671530;	4.230667308483231;	4.336961197754936;	4.442711024209453;	4.547914003682388;	4.652793397019050;	4.757543868421743;	4.862115927353536;	4.966480965636760;	5.073332068495562;	5.190415878207060;	5.316282723178605;	5.441584203331418;	5.566269058836477;	5.690246224980742;	5.813257030715015;	5.935501731065856;	6.056889765462112;	6.183531581634446;	6.322130545434780;
0.000000000000000;	0.000000000000000;	0.014110009302534;	0.082986929415803;	0.179414617574379;	0.282183235979394;	0.396136842501859;	0.512733109177612;	0.632733829796422;	0.751687794002819;	0.869553567557506;	0.997537695914032;	1.108682702940722;	1.205251707868455;	1.298651185460945;	1.397867754672288;	1.486805080410500;	1.561586622603800;	1.624975347935468;	1.678584600049190;	1.723344583224008;	1.760261446033029;	1.790463580691615;	1.815327355066897;	1.837349924115661;	1.858781072680721;	1.878068373353692;	1.894459782348753;	1.908657328341116;	1.921323640081781;	1.933129090696636;	1.944384994068618;	1.955384269596247;	1.966459119083786;	1.977853571239236;	1.989761442592940;	2.002379435599236;	2.015913166198882;	2.030581284708788;	2.046416698892362;	2.063361270712281;	2.081295369161855;	2.100330747849195;	2.120519492310375;	2.141868511696453;	2.164686460802552;	2.189095566053397;	2.214862837071308;	2.241971074845524;	2.270543318328861;	2.300499117563189;	2.331782741144595;	2.364441953502649;	2.398446124545338;	2.433850177046068;	2.470842499739213;	2.513065824300246;	2.561363898760945;	2.612301594381793;	2.664410723834047;	2.717706385839680;	2.772200075899054;	2.827820764312785;	2.884444191009984;	2.941949850983475;	3.000168392310874;	3.059053219439671;	3.118543030413104;	3.178571250388673;	3.239175161402207;	3.309198105837476;	3.385644488914592;	3.462911209541845;	3.540645735666323;	3.619303497466900;	3.700339864589738;	3.783230387115257;	3.867075814044225;	3.953253768384827;	4.040824565378523;	4.132579680569981;	4.233917837691897;	4.340157449359224;	4.445849917004995;	4.551001219869764;	4.655839245436979;	4.760551417395268;	4.865080718716468;	4.969408350460069;	5.076383854459768;	5.193874464218197;	5.319691884158100;	5.444934934968256;	5.569572983875488;	5.693484039232329;	5.816442729983433;	5.938630736615671;	6.059966064690114;	6.186960270266953;	6.325690541649482;
0.054328094906206;	0.068103478928860;	0.109429630996822;	0.178306551110090;	0.260420363851640;	0.354566805433486;	0.458198002367346;	0.571691107160525;	0.685006848468639;	0.794690556072549;	0.912205847338861;	1.030975728521517;	1.136540559911922;	1.230280183088279;	1.322233834145849;	1.421569892603943;	1.505299557949480;	1.576051475936473;	1.636559320546948;	1.687780887684673;	1.730584594681843;	1.765913160039081;	1.794866630551037;	1.818817677736323;	1.840451714896691;	1.861765464623414;	1.880483307033911;	1.896451617802557;	1.910335058640380;	1.922789084023108;	1.934472931875542;	1.945628852190369;	1.956575170940263;	1.967632473296392;	1.979031940272848;	1.990962765103648;	2.003621837448664;	2.017213785585562;	2.031957447478024;	2.047859886974833;	2.064862902555529;	2.082840303181310;	2.101935398619988;	2.122179306629419;	2.143582519923616;	2.166485671909990;	2.190975468675437;	2.216795718675638;	2.243963166663442;	2.272601152454724;	2.302608240295762;	2.333940728101850;	2.366651708870976;	2.400700711821914;	2.436155248556003;	2.473210316559469;	2.515818317021503;	2.564416477673896;	2.615372369659963;	2.667497883319967;	2.720811265385349;	2.775322154616924;	2.830953390125178;	2.887579642675186;	2.945081804781711;	3.003286204275963;	3.062159375079041;	3.121631700536943;	3.181641075877781;	3.242230806835123;	3.312947655330794;	3.389397381078636;	3.466640903496073;	3.544341890832171;	3.623010459822230;	3.704142906973538;	3.787025511326303;	3.870865459491561;	3.957145012661651;	4.044659169509635;	4.136701185227813;	4.238468578584031;	4.344632201605227;	4.450244366918751;	4.555323322532089;	4.660103433222083;	4.764761985958202;	4.869231426624573;	4.973506689212702;	5.080656354809657;	5.198716484633791;	5.324464709529392;	5.449625959259827;	5.574198478930104;	5.698016979184551;	5.820902708959220;	5.943011344385413;	6.064272883609316;	6.191760434352463;	6.330674536350064;
0.176881894227434;	0.190657278250087;	0.227956364373963;	0.280259943030544;	0.353484953149758;	0.439332542699532;	0.537990922194400;	0.638899274024805;	0.744330508602844;	0.849928216639812;	0.967044492772032;	1.073967484731141;	1.170350259998749;	1.260571756136989;	1.352708011486548;	1.446221942518640;	1.525664984726982;	1.592859832820527;	1.650430670420730;	1.699087064335093;	1.739691940367227;	1.773165970290428;	1.800527694656008;	1.823305235454157;	1.844439731615159;	1.865602539978305;	1.883588221765621;	1.899012549100306;	1.912492140453720;	1.924673226233386;	1.936200727676993;	1.947228098346905;	1.958106329811140;	1.969141071569743;	1.980546986173207;	1.992507322617415;	2.005219211255072;	2.018886010511293;	2.033726799609898;	2.049715414509438;	2.066793572068278;	2.084826646920609;	2.103998521039579;	2.124313353611048;	2.145786244787111;	2.168798943333839;	2.193392486332345;	2.219280852166917;	2.246524427572193;	2.275246939187975;	2.305319969523356;	2.336715282761179;	2.369492822915969;	2.403599466891797;	2.439118911925920;	2.476254652471227;	2.519357236234548;	2.568341221990547;	2.619320509303323;	2.671467088373292;	2.724803253372638;	2.779336255825614;	2.834981051883970;	2.891610937673303;	2.949108602522299;	3.007294819659649;	3.066153003758229;	3.125602847839022;	3.185587994363777;	3.246159493820302;	3.317768504679345;	3.394222528146692;	3.471436224294366;	3.549094090331118;	3.627776554279083;	3.709032532895567;	3.791904956740507;	3.875737860780994;	3.962148041017567;	4.049589374821064;	4.142000262645026;	4.244319531159630;	4.350385454492946;	4.455894373950724;	4.560880311669364;	4.665585960374357;	4.770175574110547;	4.874568051077851;	4.978775981894660;	5.086149569545229;	5.204941939453840;	5.330601199292484;	5.455657276206133;	5.580145544000324;	5.703845044837410;	5.826636967642372;	5.948643554375080;	6.069810222219719;	6.197932073890976;	6.337082529536527;
0.299859110590843;	0.310319826322159;	0.341701973516107;	0.393354125041074;	0.456136730174172;	0.536857222488154;	0.622835613280781;	0.718686295521390;	0.811906277569563;	0.916953227724799;	1.025032740735926;	1.124266251922730;	1.211673226771537;	1.297594789863190;	1.389954228236291;	1.475284692937035;	1.548395468535467;	1.611063218352853;	1.664881979562203;	1.710464225197405;	1.748573205233880;	1.780085048640948;	1.806091406020831;	1.828245564166877;	1.849158705542397;	1.869584068933329;	1.886886223108044;	1.901793167795039;	1.914904449099073;	1.926854147165818;	1.938217392952033;	1.949135038773782;	1.959962825292003;	1.970988922163128;	1.982415851838943;	1.994423563247287;	2.007208565360140;	2.020973337751478;	2.035923668933014;	2.052009286861932;	2.069169490039377;	2.087272362584908;	2.106532449624422;	2.126929374419453;	2.148484666959219;	2.171626275074099;	2.196346619024122;	2.222318237545148;	2.249654857571777;	2.278480678528616;	2.308634305245970;	2.340106405122580;	2.372965295637627;	2.407142389754987;	2.442741167155819;	2.479975507474487;	2.523682581939380;	2.573138131710897;	2.624146013311875;	2.676318338994024;	2.729682349801546;	2.784242379525124;	2.839903749589159;	2.896538076004334;	2.954030244205241;	3.012194238461931;	3.071034105477238;	3.130456472319340;	3.190412005846661;	3.250961222357742;	3.323660653883131;	3.400119930118761;	3.477297171936724;	3.554902334163164;	3.633601780837458;	3.715008742355825;	3.797868723357866;	3.881693017912523;	3.968262853452577;	4.055615181312811;	4.148476912821619;	4.251470695418696;	4.357417208022380;	4.462799938100914;	4.567672187281590;	4.672286826893805;	4.776792181852301;	4.881090592076302;	4.985216228505942;	5.092863498666482;	5.212550828678345;	5.338101353447373;	5.463028885807175;	5.587414179086148;	5.710968236190902;	5.833645506032893;	5.955527366584675;	6.076578080521322;	6.205475188882493;	6.344914521208871;
0.427890072477281;	0.436859016067724;	0.463765846839051;	0.508610564791264;	0.568826421451699;	0.636815866236568;	0.717757916828187;	0.798548567936603;	0.891376357395931;	0.995316503562563;	1.087131944149828;	1.173102485381480;	1.256227881726248;	1.341487188589267;	1.432120913573323;	1.509631579795140;	1.575258767581859;	1.632576310345603;	1.681960799456672;	1.723909960761955;	1.759069245530834;	1.788262141237017;	1.812573433835479;	1.834006032760219;	1.854701147721683;	1.874068945768021;	1.890585346093681;	1.904908952636530;	1.917625987847252;	1.929349852212358;	1.940527415178141;	1.951346712698382;	1.962141911686843;	1.973177321796979;	1.984646879358829;	1.996730880967654;	2.009624001363974;	2.023529068608629;	2.038603875371889;	2.054798031713680;	2.072038653218364;	2.090252428302095;	2.109614961931219;	2.130112532555613;	2.151826059015890;	2.175115038569147;	2.199929641909371;	2.226004643636499;	2.253455181209882;	2.282375471138735;	2.312615470339553;	2.344176176873770;	2.377117536170477;	2.411377755684284;	2.447073983292203;	2.484640302352316;	2.528957024865235;	2.578813980219389;	2.629852136441892;	2.682052013941783;	2.735448554672073;	2.790040525715454;	2.845721483240747;	2.902361057668280;	2.959846729830536;	3.017984460682811;	3.076802680236066;	3.136192573977898;	3.196113110326433;	3.256635992447444;	3.330624102942149;	3.407089586994843;	3.484223746423147;	3.561766622328309;	3.640486139497356;	3.722071535354312;	3.804916811178381;	3.888730930886148;	3.975489449966679;	4.062736588984874;	4.156131135757592;	4.259922071361229;	4.365727462193528;	4.470961059369319;	4.575698949368765;	4.680206032780424;	4.784611809183464;	4.888799049619926;	4.992827429046548;	5.100798142173418;	5.221543152307304;	5.346965171994061;	5.471740788062950;	5.596004384187577;	5.719386553245029;	5.841928324130780;	5.963662781014194;	6.084576458514126;	6.214389779327011;	6.354170511367095;
0.559969908830177;	0.567524291584051;	0.590187439845674;	0.627959353615046;	0.680840032892166;	0.741545372523234;	0.809906692691894;	0.890313881785428;	0.982774099784550;	1.066969430578603;	1.149645617185977;	1.228402146470048;	1.306713836807432;	1.392277484157099;	1.471751936871136;	1.541451580254576;	1.602154122960354;	1.655151169351845;	1.700710775881245;	1.739325898935647;	1.771180061258088;	1.797697248078636;	1.820052696698535;	1.840652727290998;	1.861096273313168;	1.879243803654204;	1.894853564923262;	1.908504088992096;	1.920766224864382;	1.932229511881443;	1.943192825439035;	1.953898644149844;	1.964656242142427;	1.975702398297577;	1.987221141881774;	1.999393170644999;	2.012411042906859;	2.026477988828420;	2.041696421262899;	2.058015814234928;	2.075349226117195;	2.093690965668080;	2.113171706900601;	2.133785407328104;	2.155681511388972;	2.179143401330661;	2.204071531061504;	2.230273411817751;	2.257864825765301;	2.286895019851392;	2.317239728105099;	2.348911366948758;	2.381948794620282;	2.416317194634146;	2.452147876478466;	2.490538501040723;	2.535498265392987;	2.585394212958323;	2.636467478197435;	2.688705327253931;	2.742135976800143;	2.796749661312362;	2.852438802364865;	2.909074920835323;	2.966540744834346;	3.024653503393967;	3.083444225308963;	3.142799301594405;	3.202685259002463;	3.263337987445295;	3.338658851856401;	3.415131498774937;	3.492215947753636;	3.569686954826553;	3.648429630258777;	3.730220911891027;	3.813049220202053;	3.896851599701869;	3.983827830559874;	4.070953597837256;	4.164962931452946;	4.269673658987229;	4.375316217006392;	4.480377737755941;	4.584960597930891;	4.689343578034215;	4.793634456104037;	4.897693423708722;	5.001609583516477;	5.109953500066037;	5.231918910340720;	5.357192654932546;	5.481792982973460;	5.605916159304609;	5.729099995999793;	5.851485421936036;	5.973049797663641;	6.093805356198130;	6.224675845224533;	6.364850500011199;
0.686918668462706;	0.694473051216580;	0.715472676967994;	0.746546004317384;	0.790048662606532;	0.845961641027269;	0.913765800893291;	0.993539549681387;	1.066025423829229;	1.141302622185027;	1.213508384016650;	1.285619562228723;	1.364205285980446;	1.444501993574553;	1.515958066333688;	1.576580509776780;	1.630286627873950;	1.677485010752304;	1.718293660850273;	1.753051490093202;	1.782301283142809;	1.806839400063745;	1.828013765744569;	1.848073084754792;	1.868007595882876;	1.885010237901850;	1.899690879596788;	1.912578576861738;	1.924325160150463;	1.935493126173072;	1.946213623734715;	1.956790833128168;	1.967505816658756;	1.978564151664921;	1.990138639407780;	2.002410432279325;	2.015569689988796;	2.029820098410849;	2.045201306606043;	2.061662634425675;	2.079101208735871;	2.097587974682862;	2.117202684532566;	2.137947998736929;	2.160051024078464;	2.183708879127042;	2.208765672100589;	2.235111349089836;	2.262862422928109;	2.292017175059069;	2.322480553572718;	2.354277915700411;	2.387424220863394;	2.421915225443990;	2.457898288756231;	2.497223126220919;	2.542911671324438;	2.592851810062449;	2.643964865520383;	2.696245749007698;	2.749718167972112;	2.804357466856746;	2.860053470694641;	2.916681094345325;	2.974112573892420;	3.032197024232434;	3.090945281324000;	3.150254592067952;	3.210106112196689;	3.272444036214781;	3.347772933959146;	3.424195740159357;	3.501210089531909;	3.578681101187894;	3.657565369611545;	3.739448025155683;	3.822261315109862;	3.906113102952956;	3.993261732441989;	4.080266991219128;	4.174972299907681;	4.280725458296696;	4.386183472460973;	4.491049973260779;	4.595457132967966;	4.699699462655179;	4.803860122614021;	4.907773714342691;	5.011562691915731;	5.120329572344339;	5.243678102778589;	5.368783802262829;	5.493185470538706;	5.617149504437247;	5.740108564455190;	5.862316799448658;	5.983688416533012;	6.104264773573336;	6.236333386575058;	6.376954487141186;
